00000001d9a48af8 (__DATA,__common) external _BC
00000001a58f6dc8 (__TEXT,__text) external _mvwchgat
00000001a58f6e4c (__TEXT,__text) external _mvwdelch
00000001a58f826c (__TEXT,__text) external _mvwget_wch
00000001a58f82c0 (__TEXT,__text) external _mvwget_wstr
00000001a58f6e98 (__TEXT,__text) external _mvwgetch
00000001a58f8318 (__TEXT,__text) external _mvwgetn_wstr
00000001a58f6ee4 (__TEXT,__text) external _mvwgetnstr
00000001a58f6f4c (__TEXT,__text) external _mvwgetstr
00000001a58f6fa4 (__TEXT,__text) external _mvwhline
00000001a58f8380 (__TEXT,__text) external _mvwhline_set
00000001a58e6044 (__TEXT,__text) external _mvwin
00000001a58f83e8 (__TEXT,__text) external _mvwin_wch
00000001a58f843c (__TEXT,__text) external _mvwin_wchnstr
00000001a58f84a4 (__TEXT,__text) external _mvwin_wchstr
00000001a58f700c (__TEXT,__text) external _mvwinch
00000001a58f7058 (__TEXT,__text) external _mvwinchnstr
00000001a58f70c0 (__TEXT,__text) external _mvwinchstr
00000001a58f7118 (__TEXT,__text) external _mvwinnstr
00000001a58f84fc (__TEXT,__text) external _mvwinnwstr
00000001a58f8564 (__TEXT,__text) external _mvwins_nwstr
00000001a58f85cc (__TEXT,__text) external _mvwins_wch
00000001a58f8620 (__TEXT,__text) external _mvwins_wstr
00000001a58f7180 (__TEXT,__text) external _mvwinsch
00000001a58f71d4 (__TEXT,__text) external _mvwinsnstr
00000001a58f723c (__TEXT,__text) external _mvwinsstr
00000001a58f7294 (__TEXT,__text) external _mvwinstr
00000001a58f8678 (__TEXT,__text) external _mvwinwstr
00000001a58e7a2c (__TEXT,__text) external _mvwprintw
00000001a58e88ec (__TEXT,__text) external _mvwscanw
00000001a58f72ec (__TEXT,__text) external _mvwvline
00000001a58f86cc (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
00000001a58e60ac (__TEXT,__text) external _napms
00000001a58e721c (__TEXT,__text) external _newpad
00000001d9a489c0 (__DATA,__common) external _newscr
00000001a58e615c (__TEXT,__text) external _newterm
00000001a58e65c8 (__TEXT,__text) external _newwin
00000001a58e69fc (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
00000001a58e7e44 (__TEXT,__text) external _nocbreak
00000001a58e6b54 (__TEXT,__text) external _nodelay
00000001a58e1a04 (__TEXT,__text) external _noecho
00000001a58e614c (__TEXT,__text) external _nofilter
00000001a58e6a18 (__TEXT,__text) external _nonl
00000001a58e7f30 (__TEXT,__text) external _noqiflush
00000001a58e7d40 (__TEXT,__text) external _noraw
00000001a58e6b74 (__TEXT,__text) external _notimeout
00000001d5a94260 (__DATA_CONST,__const) external _numcodes
00000001d5a954a8 (__DATA_CONST,__const) external _numfnames
00000001d5a95368 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001d9a48b06 (__DATA,__common) external _ospeed
00000001a58e6e24 (__TEXT,__text) external _overlay
00000001a58e6ee0 (__TEXT,__text) external _overwrite
00000001a58e13c0 (__TEXT,__text) external _pair_content
00000001a58e7734 (__TEXT,__text) external _pecho_wchar
00000001a58e76b4 (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
00000001a58e736c (__TEXT,__text) external _pnoutrefresh
00000001a58e7334 (__TEXT,__text) external _prefresh
00000001a58e7904 (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
00000001a58eb928 (__TEXT,__text) external _putp
00000001a58e8af0 (__TEXT,__text) external _putwin
00000001a58e7c84 (__TEXT,__text) external _qiflush
00000001a58e7a80 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001a58f735c (__TEXT,__text) external _redrawwin
00000001a58f736c (__TEXT,__text) external _refresh
                 (undefined) external _remove (from libSystem)
00000001a58ec150 (__TEXT,__text) external _reset_prog_mode
00000001a58ec1c4 (__TEXT,__text) external _reset_shell_mode
00000001a58ec2a8 (__TEXT,__text) external _resetty
00000001a58efbe4 (__TEXT,__text) external _resize_term
