
/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd (for architecture x86_64):
00000001002ed0f4 (__TEXT,__text) external _ADAMOSIdentifierCreate
00000001002f14dc (__TEXT,__text) external _ADClearTimestampForFileName
00000001003c8549 (__TEXT,__text) external _ADCloudKitCreateCloudKitContainer
00000001003c87da (__TEXT,__text) external _ADCloudKitCreateRecordZoneWithID
00000001005d77d8 (__DATA_CONST,__const) external _ADCloudKitManagerPreferencesDidSyncNotification
00000001005db910 (__DATA_CONST,__const) external _ADCloudKitOwnerFetchCompleteNotification
000000010027f65a (__TEXT,__text) external _ADCommandShouldWaitOnMyriadDecision
00000001005e42a8 (__DATA_CONST,__const) external _ADCompanionServiceCoreSpeechMessageType
00000001005e42c8 (__DATA_CONST,__const) external _ADCompanionServiceMethodNameMessageKey
00000001005e42c0 (__DATA_CONST,__const) external _ADCompanionServiceMethodTypeMessageKey
00000001005e42d8 (__DATA_CONST,__const) external _ADCompanionServiceMyriadLastWinKey
00000001005e42d0 (__DATA_CONST,__const) external _ADCompanionServiceMyriadLastWinMethodKey
00000001005e42b0 (__DATA_CONST,__const) external _ADCompanionServiceMyriadMessageType
00000001005e42b8 (__DATA_CONST,__const) external _ADCompanionServiceRequestLifecycleMessageType
00000001003721c4 (__TEXT,__text) external _ADConnectionTCPInfoMetricsConfigureLegacyProtocolBufferProxy
0000000100371c32 (__TEXT,__text) external _ADConnectionTCPInfoMetricsCreateProtocolBufferProxy
0000000100371389 (__TEXT,__text) external _ADConnectionTCPInfoMetricsCreateWithLegacyProtocolBufferProxy
0000000100370bd0 (__TEXT,__text) external _ADConnectionTCPInfoMetricsCreateWithProtocolBufferProxy
00000001005c5a60 (__TEXT,__const) external _ADContextManagerGetAggregatedContextTimeout
00000001002ede33 (__TEXT,__text) external _ADControlCenterDisabledWhileLocked
00000001002ed180 (__TEXT,__text) external _ADCreateAMOSCommittedIdentifierFromIdentifier
                 (undefined) external _ADCreateRequestLinkInfo (from AssistantServices)
00000001002ed2e4 (__TEXT,__text) external _ADCreateSyncSupportDirectoryIfNeeded
00000001002ef597 (__TEXT,__text) external _ADCreateTrimmedAudioDirectory
00000001002ee7d3 (__TEXT,__text) external _ADCurrentHostUUIDAsData
00000001005de1e0 (__DATA_CONST,__const) external _ADDaemonDidLaunchTimestampFile
00000001002ef03f (__TEXT,__text) external _ADDeleteCoreDuetEvents
00000001002f1933 (__TEXT,__text) external _ADDeleteDomainsLocalData
00000001005df208 (__DATA_CONST,__const) external _ADDeleteSyncDataServiceIdentifier
0000000100333d81 (__TEXT,__text) external _ADDeserializedSVDCapabilities
00000001005d6ed8 (__DATA_CONST,__const) external _ADDeviceAuthenticationSessionBadCertificateErrorDomain
00000001005d6ee8 (__DATA_CONST,__const) external _ADDeviceAuthenticationSessionGenericErrorDomain
00000001005d6ee0 (__DATA_CONST,__const) external _ADDeviceAuthenticationSessionStateErrorDomain
00000001003339af (__TEXT,__text) external _ADDeviceCapabilitiesGetLocalCapabilities
00000001003339f2 (__TEXT,__text) external _ADDeviceCapabilitiesGetLocalCapabilitiesV2
0000000100272327 (__TEXT,__text) external _ADDeviceCircleArePeerInfoSameDevice
0000000100268c44 (__TEXT,__text) external _ADDeviceCircleCreateRemotePeerInfoFromRapportDevice
00000001002728f3 (__TEXT,__text) external _ADDeviceCircleGetAssistantIdentifierFromRapportDevice
0000000100272d57 (__TEXT,__text) external _ADDeviceCircleGetAssistantIdentifierFromSiriInfo
00000001002731bd (__TEXT,__text) external _ADDeviceCircleGetBestAssistantIdentifierForPeerInfo
0000000100273269 (__TEXT,__text) external _ADDeviceCircleGetBestIDSDeviceUniqueIdentifierForPeerInfo
0000000100272720 (__TEXT,__text) external _ADDeviceCircleGetBestPeerInfo
00000001002730ca (__TEXT,__text) external _ADDeviceCircleGetBestPeerInfoForAssistantIdentifier
0000000100272fd7 (__TEXT,__text) external _ADDeviceCircleGetBestPeerInfoForIDSDeviceUniqueIdentifier
000000010036d141 (__TEXT,__text) external _ADDeviceContextDeduplicateTuples
000000010036e335 (__TEXT,__text) external _ADDeviceContextGetArrayFromTuples
000000010036ebbc (__TEXT,__text) external _ADDeviceContextGetBargeInOptions
000000010036d7ed (__TEXT,__text) external _ADDeviceContextTupleGetAssistantIdentifier
000000010036d913 (__TEXT,__text) external _ADDeviceContextTupleGetIDSDeviceUniqueIdentifier
000000010036e541 (__TEXT,__text) external _ADDeviceContextTuplesAdjustedForDate
000000010036deb7 (__TEXT,__text) external _ADDeviceProximityGetMapByAssistantIdentifierFromTuples
000000010036da39 (__TEXT,__text) external _ADDeviceProximityGetMapByIDSDeviceUniqueIdentifierFromTuples
000000010036e3b9 (__TEXT,__text) external _ADDeviceProximityMapGetProximityForPeerInfo
00000001005e4330 (__DATA_CONST,__const) external _ADDeviceSyncDataType
00000001001e97b7 (__TEXT,__text) external _ADDeviceSyncItemCreateFromClockTimer
00000001001e9135 (__TEXT,__text) external _ADDeviceSyncItemCreateOrModifyClockTimer
000000010039eda3 (__TEXT,__text) external _ADDeviceSyncMessageHandleRequests
000000010039efa4 (__TEXT,__text) external _ADDeviceSyncMessageHandleResponses
000000010039ed82 (__TEXT,__text) external _ADDeviceSyncMessageTypeGetName
00000001005e14e8 (__DATA_CONST,__const) external _ADDeviceSyncMessagingChannel
00000001003a4319 (__TEXT,__text) external _ADDictationSessionGetSessionsWithAnyTransactionStartingOrStarted
00000001003a42e7 (__TEXT,__text) external _ADDictationSessionGetSessionsWithAudioFileIOTransactionStopping
00000001003a42b5 (__TEXT,__text) external _ADDictationSessionGetSessionsWithSpeechRecognitionTransactionStopping
00000001003a4383 (__TEXT,__text) external _ADDictationSessionShouldHandleAudioFileIO
00000001002ee946 (__TEXT,__text) external _ADDispatchCreateRootQueueWithPriority
00000001002eea20 (__TEXT,__text) external _ADDispatchGetHighPriorityQueue
00000001002ee9f3 (__TEXT,__text) external _ADDispatchInitHighPriorityQueue
000000010022746e (__TEXT,__text) external _ADEmitOptInInconsistentStateDetectedEvent
                 (undefined) external _ADEmitRequestLinkEventMessage (from AssistantServices)
00000001005db168 (__DATA_CONST,__const) external _ADExtensionServiceIdentifier
00000001002f735c (__TEXT,__text) external _ADExternalNotificationRequestHandlerStateGetName
00000001003a1dba (__TEXT,__text) external _ADFetchSyncKeysThatNeedToBeSynced
00000001005d8b60 (__DATA_CONST,__const) external _ADFirstUnlockNotification
00000001002edd8c (__TEXT,__text) external _ADForced24HourTimeSetting
00000001002ede3b (__TEXT,__text) external _ADFullyQualifiedCommand
00000001002edd48 (__TEXT,__text) external _ADGetDescriptionOfApplicationState
00000001002f0a10 (__TEXT,__text) external _ADGetPairedBluetoothDevices
00000001002edc62 (__TEXT,__text) external _ADHandsFreeAddObserver
00000001002edcd5 (__TEXT,__text) external _ADHandsFreeRemoveObserver
00000001002edd6b (__TEXT,__text) external _ADHideNetworkActivityIndicatorForApplicationIdentifier
00000001005de548 (__DATA_CONST,__const) external _ADHomeInfoForThisDeviceDidChangeNotification
00000001005de540 (__DATA_CONST,__const) external _ADHomeInfoHomeContextDidChangeNotification
00000001005de518 (__DATA_CONST,__const) external _ADHomeInfoManagerAllowExplicitContentKey
00000001005de510 (__DATA_CONST,__const) external _ADHomeInfoManagerMultiUserIdentifyUserVoiceKey
00000001005de508 (__DATA_CONST,__const) external _ADHomeInfoManagerPersonalDomainsAuthKey
00000001005de500 (__DATA_CONST,__const) external _ADHomeInfoManagerPersonalDomainsKey
00000001005de4e0 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeHomePod
00000001005de4f0 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeRemoraAccessory
00000001005de4f8 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeRemoraOtherDevice
00000001005de4e8 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeRemoraSpeaker
00000001002ee7b0 (__TEXT,__text) external _ADIsCarryDevice
00000001002272ff (__TEXT,__text) external _ADIsCurrentOptInStatusConsistent
00000001003a1d52 (__TEXT,__text) external _ADIsDictationSyncKey
00000001002ee64d (__TEXT,__text) external _ADIsFirstUnlockNotification
00000001002ee8d0 (__TEXT,__text) external _ADIsInStoreDemoMode
000000010031204c (__TEXT,__text) external _ADIsMorphunAssetAvailableFromUodStatus
0000000100312098 (__TEXT,__text) external _ADIsNLAssetAvailableFromUodStatus
00000001003a34f5 (__TEXT,__text) external _ADIsSafetyNetSyncNeeded
0000000100312000 (__TEXT,__text) external _ADIsSpeechAssetAvailableFromUodStatus
00000001003a1cea (__TEXT,__text) external _ADIsSyncKeyAllowedToSync
00000001003a25ab (__TEXT,__text) external _ADIsSyncNotification
00000001002f1888 (__TEXT,__text) external _ADIsVoiceTriggerEnabledSettingAvailableForUSBCDisplay
00000001002edd82 (__TEXT,__text) external _ADLanguageCodeIsSupported
00000001002f1223 (__TEXT,__text) external _ADLastTimestampForFileName
00000001005e3a40 (__DATA_CONST,__const) external _ADLocationInUseEndedReasonClientConnectionInvalidated
00000001005e3a38 (__DATA_CONST,__const) external _ADLocationInUseReasonHorsemanConnected
00000001005dbd88 (__DATA_CONST,__const) external _ADLocationRestrictionDidChangeNotification
00000001002ee8bd (__TEXT,__text) external _ADLogToPowerLog
00000001002eebb3 (__TEXT,__text) external _ADMapSANavStatusValueFromNavigationStateValue
000000010036ce07 (__TEXT,__text) external _ADMostRelevantFlowContextFromDeviceContexts
00000001005e0ae8 (__DATA_CONST,__const) external _ADMultiUserDidReceiveScoresNotification
000000010036991c (__TEXT,__text) external _ADMultiUserServiceDonatedScoresFromDeviceContextTuples
00000001005df778 (__DATA_CONST,__const) external _ADMultiUserVoiceIdentificationDidChangeNotification
00000001005e0ae0 (__DATA_CONST,__const) external _ADMultiUsersDidChangeNotification
00000001005de6a0 (__DATA_CONST,__const) external _ADMuteModeDidChangeNotification
00000001003a834a (__TEXT,__text) external _ADNetworkSnapshotEventGetName
00000001003aec32 (__TEXT,__text) external _ADNotifyAndPushContextSetupListener
000000010020b679 (__TEXT,__text) external _ADObserveCurrentHomeKitHomeChanges
00000001002ee7bd (__TEXT,__text) external _ADOpenURL
00000001003497fb (__TEXT,__text) external _ADOpportuneSpeakingModuleRecommendedActionGetDescription
0000000100227446 (__TEXT,__text) external _ADOptInStateInconsistencyConditionToString
00000001002646c3 (__TEXT,__text) external _ADParsePeerHeaderData
00000001001a890a (__TEXT,__text) external _ADPeerConnectionPreheatIfNecessary
00000001001a889c (__TEXT,__text) external _ADPeerConnectionSetPrefersBTClassic
00000001001a8987 (__TEXT,__text) external _ADPeerConnectionaGetAnalyticsContext
00000001001a8a6e (__TEXT,__text) external _ADPeerDestinationsForRemoteBugCapture
00000001002645ed (__TEXT,__text) external _ADPeerHeaderDataWithURL
00000001005e3e80 (__DATA_CONST,__const) external _ADPeerInfoIDSDeviceScheme
00000001001a8a09 (__TEXT,__text) external _ADPeerIsNearby
00000001005d6ef0 (__DATA_CONST,__const) external _ADPeerStreamConnectionErrorDomain
00000001005db398 (__DATA_CONST,__const) external _ADPeerStreamServiceIdentifier
00000001002edd71 (__TEXT,__text) external _ADPostSyncNeededNotification
00000001002ee8c3 (__TEXT,__text) external _ADPowerLogEventString
00000001005df770 (__DATA_CONST,__const) external _ADPreferencesCompanionIdentifierDidChangeNotification
00000001005df780 (__DATA_CONST,__const) external _ADPreferencesEnabledBitsDidChangeNotification
00000001005df758 (__DATA_CONST,__const) external _ADPreferencesLanguageCodeDidChangeNotification
00000001005df760 (__DATA_CONST,__const) external _ADPreferencesOutputVoiceDidChangeNotification
00000001005df768 (__DATA_CONST,__const) external _ADPreferencesSharedUserIdentifierDidChangeNotification
000000010029e32d (__TEXT,__text) external _ADProximityObservationForHistoricalProximityObservations
000000010029d603 (__TEXT,__text) external _ADProximityTuplesForProximitySignals
00000001002edec1 (__TEXT,__text) external _ADPushesSharedCloudData
00000001005d9ef8 (__DATA_CONST,__const) external _ADRapportLinkAggregateContextFetchType
00000001005d9ec0 (__DATA_CONST,__const) external _ADRapportLinkAssistantIdentifierKey
00000001005d9ef0 (__DATA_CONST,__const) external _ADRapportLinkContextPushType
00000001005d9f50 (__DATA_CONST,__const) external _ADRapportLinkContextSnapshotByAssistantIdentifierKey
00000001005d9f48 (__DATA_CONST,__const) external _ADRapportLinkContextSnapshotByIDSDeviceUniqueIdentifierKey
00000001005d9f00 (__DATA_CONST,__const) external _ADRapportLinkContextSnapshotPushType
00000001005d9f58 (__DATA_CONST,__const) external _ADRapportLinkDeviceCapabilitiesFetchType
00000001005d9e98 (__DATA_CONST,__const) external _ADRapportLinkDeviceCircleManagerRequestID
00000001005d9f98 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityFetchType
00000001005d9ea0 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityManagerRequestID
00000001005d9fa8 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityObservationsKey
00000001005d9fa0 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityPushType
00000001005d9f28 (__DATA_CONST,__const) external _ADRapportLinkExcludedContextInRequestKey
00000001005d9f38 (__DATA_CONST,__const) external _ADRapportLinkExcludedContextInResponseKey
00000001005d9f80 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandExecutionContextKey
00000001005d9f68 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandRequestType
00000001005d9f70 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandResponse
00000001005d9f78 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandSerializedCommandKey
00000001005d9f10 (__DATA_CONST,__const) external _ADRapportLinkForceFetchAssistantIdentifiersKey
00000001005d9f08 (__DATA_CONST,__const) external _ADRapportLinkForceFetchIDSDeviceUniqueIdentifiersKey
00000001005d9e90 (__DATA_CONST,__const) external _ADRapportLinkGenericRequestID
00000001005d9f90 (__DATA_CONST,__const) external _ADRapportLinkGetCapabilitiesForAssistantIdsListKey
00000001005d9f88 (__DATA_CONST,__const) external _ADRapportLinkGetCapabilitiesForDeviceIDSIdentifierListKey
00000001005d9eb8 (__DATA_CONST,__const) external _ADRapportLinkHomeKitAccessoryIdentifierKey
00000001005d9ea8 (__DATA_CONST,__const) external _ADRapportLinkIDSUniqueDeviceIdentifierKey
00000001005d9f20 (__DATA_CONST,__const) external _ADRapportLinkIncludedContextInRequestKey
00000001005d9f30 (__DATA_CONST,__const) external _ADRapportLinkIncludedContextInResponseKey
00000001005d9ec8 (__DATA_CONST,__const) external _ADRapportLinkMessageIDKey
00000001005d9ed8 (__DATA_CONST,__const) external _ADRapportLinkMessagePayloadTypeKey
00000001005d9ed0 (__DATA_CONST,__const) external _ADRapportLinkMessageTypeKey
00000001005d9ee0 (__DATA_CONST,__const) external _ADRapportLinkPairedPhoneRapportEffectiveIdentifier
00000001005d9ee8 (__DATA_CONST,__const) external _ADRapportLinkPairedWatchRapportEffectiveIdentifier
00000001005d9f18 (__DATA_CONST,__const) external _ADRapportLinkPrefersAssistantIdentifiersKey
00000001005d9fb0 (__DATA_CONST,__const) external _ADRapportLinkPublishArbitrationInfoKey
00000001005d9eb0 (__DATA_CONST,__const) external _ADRapportLinkRapportEffectiveIdentifierKey
00000001005d9f40 (__DATA_CONST,__const) external _ADRapportLinkRequestIDKey
00000001005d9f60 (__DATA_CONST,__const) external _ADRapportLinkSVDCapabilitiesFetchType
00000001005d9fb8 (__DATA_CONST,__const) external _ADRapportLinkSiriInfoSharedDataKey
00000001005d9e88 (__DATA_CONST,__const) external _ADRapportLinkWakeUpServiceType
00000001005d9fe0 (__DATA_CONST,__const) external _ADRapportMUXSyncEventTimestamp
00000001005d9fd0 (__DATA_CONST,__const) external _ADRapportMUXSyncToken
00000001005d9fd8 (__DATA_CONST,__const) external _ADRapportMUXSyncTokenHost
00000001005d9fe8 (__DATA_CONST,__const) external _ADRapportMUXSyncTokenTransferReason
00000001005d9fc8 (__DATA_CONST,__const) external _ADRapportMuxTokenExchangeMessageType
00000001005d9fc0 (__DATA_CONST,__const) external _ADRapportMuxTokenExchangeRequestId
00000001002eebdd (__TEXT,__text) external _ADRecordCoreDuetEventForServiceCommandIfNeeded
00000001002ee664 (__TEXT,__text) external _ADRefreshDeviceExperimentGroup
000000010033894c (__TEXT,__text) external _ADRegisterSyncNowActivity
0000000100338c9b (__TEXT,__text) external _ADRegisterSyncUrgentActivity
0000000100338efd (__TEXT,__text) external _ADRegisterXPCActivities
00000001005d69d8 (__DATA_CONST,__const) external _ADRemoteConnectionErrorDomain
00000001003062a3 (__TEXT,__text) external _ADRequestDelayTypeGetName
000000010040a485 (__TEXT,__text) external _ADSAInputOriginForSpeechEvent
00000001002f0eea (__TEXT,__text) external _ADSHAAnchorForData
0000000100333ca2 (__TEXT,__text) external _ADSerializedSVDCapabilities
0000000100223f96 (__TEXT,__text) external _ADSessionGetDataSharingOptInStatus
00000001003a356a (__TEXT,__text) external _ADSetSessionDidFinishTimestamp
00000001003a20ad (__TEXT,__text) external _ADSetSyncNeededFlagForKeys
00000001003a1eb2 (__TEXT,__text) external _ADSetSyncNeededFlagForReason
00000001003a3559 (__TEXT,__text) external _ADSetSyncTimestamp
00000001002f139e (__TEXT,__text) external _ADSetTimestampForFileName
00000001002ede95 (__TEXT,__text) external _ADSharedCloudDataRecipientDeviceClasses
00000001005df210 (__DATA_CONST,__const) external _ADSharedDataDidChangeNotification
00000001005df228 (__DATA_CONST,__const) external _ADSharedDataDidChangePeerSetKey
00000001005df218 (__DATA_CONST,__const) external _ADSharedDataDidChangePreviousLanguageCodeKey
00000001005df220 (__DATA_CONST,__const) external _ADSharedDataDidChangePreviousOutputVoiceKey
00000001002edf37 (__TEXT,__text) external _ADSharesGizmoData
00000001002edfee (__TEXT,__text) external _ADShouldAllowDictationOnlySync
00000001002ee407 (__TEXT,__text) external _ADShouldAllowSync
00000001002ede0d (__TEXT,__text) external _ADShouldCensorSpeech
00000001005de1d8 (__DATA_CONST,__const) external _ADShouldCensorSpeechDidChangeNotification
00000001002ed55e (__TEXT,__text) external _ADShouldSpeak
00000001003a347a (__TEXT,__text) external _ADShouldSyncUponDataChangedNotification
00000001002edd65 (__TEXT,__text) external _ADShowNetworkActivityIndicatorForApplicationIdentifier
000000010033944f (__TEXT,__text) external _ADSiriDestroyActivitySchedule
0000000100339523 (__TEXT,__text) external _ADSiriDestroyActivityUnschedule
00000001005daa60 (__DATA_CONST,__const) external _ADSiriUserNotificationRequestUUIDKey
00000001003a2a17 (__TEXT,__text) external _ADSiriVocabularyNotificationForAddressBookSyncEnabled
00000001005e3090 (__DATA_CONST,__const) external _ADSpeechManagerModelInfo
00000001003272d2 (__TEXT,__text) external _ADSpeechSamplingDeleteOldData
00000001005df440 (__DATA_CONST,__const) external _ADSpeechSamplingDictationApplicationName
00000001003283f8 (__TEXT,__text) external _ADSpeechSamplingSendSampledAudioDataToServer
00000001005e1088 (__DATA_CONST,__const) external _ADSynapseServiceBundleIdentifier
00000001003a2120 (__TEXT,__text) external _ADSyncClearFlagsForKeys
00000001005d64d0 (__DATA_CONST,__const) external _ADSyncFinishedNotification
00000001005e20c0 (__DATA_CONST,__const) external _ADSyncKeyApplications
00000001005e20d0 (__DATA_CONST,__const) external _ADSyncKeyContacts
00000001005e20d8 (__DATA_CONST,__const) external _ADSyncKeyDynamiteClientState
00000001005e20b8 (__DATA_CONST,__const) external _ADSyncKeyHomeKit
00000001005e20c8 (__DATA_CONST,__const) external _ADSyncKeyIntentPolicy
00000001005e20e0 (__DATA_CONST,__const) external _ADSyncKeyMusic
00000001005e20e8 (__DATA_CONST,__const) external _ADSyncKeyNanoIntentPolicy
00000001005e20f0 (__DATA_CONST,__const) external _ADSyncKeyThirdPartyUserVocabulary
00000001003a1f26 (__TEXT,__text) external _ADSyncKeysForReason
00000001005d64e0 (__DATA_CONST,__const) external _ADSyncMetadataSyncGeneration
00000001005d64e8 (__DATA_CONST,__const) external _ADSyncMetadataSyncTimestamp
00000001003a2ab3 (__TEXT,__text) external _ADSyncNotificationShouldBeFilteredForReason
00000001003a2981 (__TEXT,__text) external _ADSyncReasonForNotificationName
00000001005d64d8 (__DATA_CONST,__const) external _ADSyncVerificationFinishedNotification
00000001002eea31 (__TEXT,__text) external _ADSystemGetBootSessionUUID
00000001002f16fa (__TEXT,__text) external _ADSystemLanguagePreferencesHasChangedSinceDaemonStartUp
0000000100233766 (__TEXT,__text) external _ADTimerStoreGetSystemTimerStore
0000000100196e0e (__TEXT,__text) external _ADTrialActiveExperimentsGet
0000000100196cb6 (__TEXT,__text) external _ADTrialActiveExperimentsUpdate
00000001002ed208 (__TEXT,__text) external _ADUserSupportBaseURL
00000001002ee643 (__TEXT,__text) external _ADUsesCompanionRouting
00000001002ede03 (__TEXT,__text) external _ADUsesExplicitContentAllowedForCensorSetting
00000001002eddf9 (__TEXT,__text) external _ADUsesMirroredCensorSetting
00000001002edee1 (__TEXT,__text) external _ADUsesOneSiriSettingsSync
00000001002edf0f (__TEXT,__text) external _ADUsesPeerAccountInformation
00000001002edf2d (__TEXT,__text) external _ADUsesPeerLocation
00000001002ede63 (__TEXT,__text) external _ADUsesProxyConnection
00000001002ede77 (__TEXT,__text) external _ADUsesSharedCloudData
00000001002ede6d (__TEXT,__text) external _ADUsesSharedPeerData
00000001002edc3b (__TEXT,__text) external _ADUsesTextToSpeech
0000000100339544 (__TEXT,__text) external _ADValidationRefreshActivitySchedule
00000001005d8b58 (__DATA_CONST,__const) external _ADVoiceAssetsUpdatedNotification
00000001002ede2b (__TEXT,__text) external _ADVoiceDialingDisabledWhileLocked
00000001002ee655 (__TEXT,__text) external _ADVoiceOverIsEnabled
00000001002f1746 (__TEXT,__text) external _ADVoiceTriggerGetEnabled
00000001002f18e0 (__TEXT,__text) external _ADVoiceTriggerSetEnabled
0000000100400fa9 (__TEXT,__text) external _ADVolumeServiceSupportsSmartSiriVolume
                 (undefined) external _AFAnalyticsContextCreateForCrossDeviceCommandHandled (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithCommand (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithError (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithRequestInfo (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithSpeechRequestOptions (from AssistantServices)
                 (undefined) external _AFAnalyticsContextKey (from AssistantServices)
                 (undefined) external _AFAnalyticsContextsMerge (from AssistantServices)
                 (undefined) external _AFAnalyticsEventTypeGetLegacyName (from AssistantServices)
                 (undefined) external _AFAnalyticsEventTypeGetName (from AssistantServices)
                 (undefined) external _AFAnalyticsEventTypeIsValid (from AssistantServices)
                 (undefined) external _AFAnalyticsLogsDirectory (from AssistantServices)
                 (undefined) external _AFAnalyticsObservationServiceGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAnalyticsObserverGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAnalyticsServiceDelegateGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAnalyticsServiceGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAppleAudioDeviceConnectedInLast24Hours (from AssistantServices)
                 (undefined) external _AFApplicationClientIdentifierForApp (from AssistantServices)
                 (undefined) external _AFApplicationStateUnknown (from AssistantServices)
                 (undefined) external _AFApplicationWorkspaceEnumerateInstalledUserVisibleApplications (from AssistantServices)
                 (undefined) external _AFAssertionGetContexts (from AssistantServices)
                 (undefined) external _AFAssertionGetCurrentOrUpNextDateIntervalFromContexts (from AssistantServices)
                 (undefined) external _AFAssertionGetEffectiveDateAndExpirationDurationFromDateInterval (from AssistantServices)
                 (undefined) external _AFAssertionRelinquishmentOptionsGetNames (from AssistantServices)
                 (undefined) external _AFAssistantEnablementDidChangeDarwinNotification (from AssistantServices)
                 (undefined) external _AFAudioPlaybackOptionsGetNames (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionGetConnectionWorkloop (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionGetCurrentAcquisitionService (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionServiceXPCInterface (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionSetLocalAcquisitionServiceProvider (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionUserInfoKey (from AssistantServices)
                 (undefined) external _AFBackedUpPreferencesSynchronize (from AssistantServices)
                 (undefined) external _AFBluetoothPairedDeviceInfoUpdated (from AssistantServices)
                 (undefined) external _AFBluetoothWirelessSplitterSessionStateChanged (from AssistantServices)
                 (undefined) external _AFBluetoothWirelessSplitterSessionStateUnknown (from AssistantServices)
                 (undefined) external _AFBuildVersion (from AssistantServices)
                 (undefined) external _AFBundleServicesCachePath (from AssistantServices)
                 (undefined) external _AFCachedFusePersonalizationTokenChanged (from AssistantServices)
                 (undefined) external _AFCallStateGetNames (from AssistantServices)
                 (undefined) external _AFCanProxyTelephony (from AssistantServices)
                 (undefined) external _AFClearInternalLogFiles (from AssistantServices)
                 (undefined) external _AFClientLiteClientObjectInterface (from AssistantServices)
                 (undefined) external _AFClientLiteEntitlement (from AssistantServices)
                 (undefined) external _AFClientLiteRemoteObjectInterface (from AssistantServices)
                 (undefined) external _AFClientLiteServiceName (from AssistantServices)
                 (undefined) external _AFClientServiceDelegateXPCInterface (from AssistantServices)
                 (undefined) external _AFClientServiceXPCInterface (from AssistantServices)
                 (undefined) external _AFClockAlarmSnapshotKey (from AssistantServices)
                 (undefined) external _AFClockTimerSnapshotKey (from AssistantServices)
                 (undefined) external _AFCommandOutcomeFromMediaRemoteStatuses (from AssistantServices)
                 (undefined) external _AFConnectionHasEntitlement (from AssistantServices)
                 (undefined) external _AFContextManagerXPCListenerName (from AssistantServices)
                 (undefined) external _AFContextProviderEntitlement (from AssistantServices)
                 (undefined) external _AFContextProviderNameForBundleId (from AssistantServices)
