00007ff811f715a8 (__TEXT,__text) non-external _CCGCMSymmInit
00007ff811f6d1b8 (__TEXT,__text) non-external (was a private external) _SSLEncodeHandshakeHeader
00007ff811f6d21f (__TEXT,__text) non-external (was a private external) _SSLEncodeInt
00007ff811f700f5 (__TEXT,__text) non-external (was a private external) _SSLEncodeKeyExchange
00007ff811f7bf54 (__TEXT,__text) non-external _SSLEncodeKeyExchange.cold.1
00007ff811f77c1e (__TEXT,__text) non-external (was a private external) _SSLEncodeNPNEncryptedExtensionMessage
00007ff811f6d247 (__TEXT,__text) non-external (was a private external) _SSLEncodeRandom
00007ff811f782f3 (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHello
00007ff811f77d46 (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHelloDone
00007ff811f782ae (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHelloRequest
00007ff811f787a5 (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHelloVerifyRequest
00007ff811f7b764 (__TEXT,__text) non-external (was a private external) _SSLEncodeServerKeyExchange
00007ff811f6d21f (__TEXT,__text) non-external (was a private external) _SSLEncodeSize
00007ff811f71ada (__TEXT,__text) non-external (was a private external) _SSLEncodeUInt64
00007ff811f6d15f (__TEXT,__text) non-external (was a private external) _SSLEncodedBufferListSize
00007ff811f76de2 (__TEXT,__text) non-external _SSLEncodedDHKeyParamsLen
00007ff811f778dc (__TEXT,__text) non-external (was a private external) _SSLFatalSessionAlert
00007ff811f6aef6 (__TEXT,__text) non-external (was a private external) _SSLFreeBuffer
00007ff811f72c57 (__TEXT,__text) non-external (was a private external) _SSLFreeCertificates
00007ff811f72c57 (__TEXT,__text) non-external (was a private external) _SSLFreeDNList
00007ff811f76db6 (__TEXT,__text) non-external _SSLGenServerDHParamsAndKey
00007ff811f76f5a (__TEXT,__text) non-external _SSLGenServerECDHParamsAndKey
00007ff8414b7f18 (__DATA_CONST,__const) non-external (was a private external) _SSLHashMD5
00007ff8414b7f50 (__DATA_CONST,__const) non-external (was a private external) _SSLHashSHA1
00007ff8414b7f88 (__DATA_CONST,__const) non-external (was a private external) _SSLHashSHA256
00007ff8414b7fc0 (__DATA_CONST,__const) non-external (was a private external) _SSLHashSHA384
00007ff8414b7ff8 (__DATA_CONST,__const) non-external (was a private external) _SSLHashSHA512
00007ff811f6d359 (__TEXT,__text) non-external (was a private external) _SSLInitMessageHashes
00007ff811f71239 (__TEXT,__text) non-external (was a private external) _SSLInitPendingCiphers
00007ff811f72b11 (__TEXT,__text) non-external (was a private external) _SSLInstallSessionFromData
00007ff811f7ca10 (__TEXT,__const) non-external (was a private external) _SSLMACPad1
00007ff811f7ca40 (__TEXT,__const) non-external (was a private external) _SSLMACPad2
00007ff811f6c427 (__TEXT,__text) non-external (was a private external) _SSLPrepareAndQueueMessage
00007ff811f7318c (__TEXT,__text) non-external (was a private external) _SSLProcessAlert
00007ff811f6f553 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificate
00007ff811f75c97 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificateRequest
00007ff811f75a0c (__TEXT,__text) non-external (was a private external) _SSLProcessCertificateStatus
00007ff811f76372 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificateVerify
00007ff811f71c37 (__TEXT,__text) non-external (was a private external) _SSLProcessChangeCipherSpec
00007ff811f78e1c (__TEXT,__text) non-external (was a private external) _SSLProcessClientHello
00007ff811f7926c (__TEXT,__text) non-external _SSLProcessClientHelloExtensions
00007ff811f77cf4 (__TEXT,__text) non-external (was a private external) _SSLProcessEncryptedExtension
00007ff811f71f71 (__TEXT,__text) non-external (was a private external) _SSLProcessFinished
00007ff811f6ef10 (__TEXT,__text) non-external _SSLProcessHandshakeMessage
00007ff811f6e720 (__TEXT,__text) non-external (was a private external) _SSLProcessHandshakeRecord
00007ff811f6ed18 (__TEXT,__text) non-external (was a private external) _SSLProcessHandshakeRecordInner
00007ff811f76840 (__TEXT,__text) non-external (was a private external) _SSLProcessKeyExchange
00007ff811f7c06a (__TEXT,__text) non-external (was a private external) _SSLProcessNewSessionTicket
00007ff811f79a05 (__TEXT,__text) non-external (was a private external) _SSLProcessSSL2ClientHello
00007ff811f77973 (__TEXT,__text) non-external (was a private external) _SSLProcessSSL2Message
00007ff811f6f268 (__TEXT,__text) non-external (was a private external) _SSLProcessServerHello
00007ff811f70086 (__TEXT,__text) non-external (was a private external) _SSLProcessServerHelloDone
00007ff811f78929 (__TEXT,__text) non-external _SSLProcessServerHelloExtensions
00007ff811f78844 (__TEXT,__text) non-external (was a private external) _SSLProcessServerHelloVerifyRequest
00007ff811f6fbf0 (__TEXT,__text) non-external (was a private external) _SSLProcessServerKeyExchange
00007ff811f73e86 (__TEXT,__text) non-external (was a private external) _SSLReallocBuffer
00007ff811f6c3ac (__TEXT,__text) non-external (was a private external) _SSLResetFlight
00007ff811f77a71 (__TEXT,__text) non-external _SSLResumeServerSide
00007ff811f72a11 (__TEXT,__text) non-external (was a private external) _SSLRetrieveSessionID
00007ff811f72a5d (__TEXT,__text) non-external (was a private external) _SSLRetrieveSessionTicket
00007ff811f730dd (__TEXT,__text) non-external (was a private external) _SSLSendAlert
00007ff811f6d746 (__TEXT,__text) non-external (was a private external) _SSLSendFlight
00007ff811f7b56e (__TEXT,__text) non-external (was a private external) _SSLServerValidateSessionData
00007ff811f77069 (__TEXT,__text) non-external _SSLSignServerKeyExchangeTls12
00007ff811f6d582 (__TEXT,__text) non-external _SSLUpdateHandshakeMacs
00007ff811f7ae81 (__TEXT,__text) non-external _SSLVerifyMac
00007ff811f7764c (__TEXT,__text) non-external _SSLVerifySignedServerKeyExchange
00007ff811f773f6 (__TEXT,__text) non-external _SSLVerifySignedServerKeyExchangeTls12
00007ff811f74c05 (__TEXT,__text) non-external (was a private external) _SelectNewCiphersuite
00007ff811f72835 (__TEXT,__text) non-external (was a private external) _SessionCacheAddEntry
00007ff811f73049 (__TEXT,__text) non-external (was a private external) _SessionCacheCleanup
00007ff811f73bcb (__TEXT,__text) non-external (was a private external) _SessionCacheDeleteEntry
00007ff811f73c22 (__TEXT,__text) non-external (was a private external) _SessionCacheEmpty
00007ff811f72937 (__TEXT,__text) non-external _SessionCacheEntryMatchKey
00007ff811f6ac7e (__TEXT,__text) non-external (was a private external) _SessionCacheInit
00007ff811f6b08f (__TEXT,__text) non-external (was a private external) _SessionCacheLookupEntry
00007ff811f7c5b0 (__TEXT,__const) external _SigAlgsCount
00007ff8414b7db8 (__DATA_CONST,__const) external _Ssl3Callouts
00007ff8414b7d70 (__DATA_CONST,__const) external _Tls12Callouts
00007ff8414b7d50 (__DATA_CONST,__const) external _Tls1Callouts
00007ff8414b8030 (__DATA_CONST,__const) non-external (was a private external) _TlsHmacMD5
00007ff8414b8070 (__DATA_CONST,__const) non-external (was a private external) _TlsHmacSHA1
00007ff8414b80b0 (__DATA_CONST,__const) non-external (was a private external) _TlsHmacSHA256
00007ff8414b80f0 (__DATA_CONST,__const) non-external (was a private external) _TlsHmacSHA384
00007ff811f6f494 (__TEXT,__text) non-external (was a private external) _ValidateSelectedCiphersuite
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ff8414b7c78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff8414b7cf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.307
00007ff8414b7c98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.43
00007ff8414b7cb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00007ff8414b7cd8 (__DATA_CONST,__const) non-external ___block_literal_global
                 (undefined) external ___bzero (from libSystem)
00007ff811f6fbd0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff811f75640 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ff811f76815 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ff811f7682c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
                 (undefined) external ___error (from libSystem)
00007ff811f76726 (__TEXT,__text) non-external ___getanalytics_send_event_lazySymbolLoc_block_invoke
                 (undefined) external ___memset_chk (from libSystem)
00007ff811f7361b (__TEXT,__text) non-external ___process_identifier_block_invoke
00007ff811f6f8a3 (__TEXT,__text) non-external ___security_debug_init
00007ff811f7afcc (__TEXT,__text) non-external (was a private external) ___ssl_add_debug_logger
00007ff811f734f0 (__TEXT,__text) non-external (was a private external) ___ssl_debug
00007ff843c79af0 (__DATA,__common) non-external (was a private external) ___ssl_debug_all
00007ff811f6f858 (__TEXT,__text) non-external (was a private external) ___ssl_debug_enabled
00007ff84371cbe0 (__DATA_DIRTY,__data) non-external ___ssl_debug_enabled.__security_debug_once
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strncpy_chk (from libSystem)
00007ff811f766f3 (__TEXT,__text) non-external ___tls_metric_calling_library_block_invoke
00007ff811f766c0 (__TEXT,__text) non-external ___tls_metric_insecure_dh_param_block_invoke
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _abort_report_np (from libSystem)
00007ff811f7c440 (__TEXT,__const) non-external _all_ciphersuites
                 (undefined) external _arc4random_uniform (from libSystem)
                 (undefined) external _asl_free (from libSystem)
                 (undefined) external _asl_log (from libSystem)
                 (undefined) external _asl_new (from libSystem)
                 (undefined) external _asl_set (from libSystem)
00007ff811f738f7 (__TEXT,__text) non-external _asl_set_bool_with_format
00007ff811f73800 (__TEXT,__text) non-external _asl_set_string_with_format
00007ff811f808c0 (__TEXT,__dlopen_cstrs) non-external _audit_stringCoreAnalytics
00007ff811f7d800 (__TEXT,__cstring) non-external _base64_chars
                 (undefined) external _ccDRBGGetRngState (from libSystem)
                 (undefined) external _cc_clear (from libSystem)
                 (undefined) external _cc_cmp_safe (from libSystem)
                 (undefined) external _ccaes_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libSystem)
                 (undefined) external _cccbc_init (from libSystem)
                 (undefined) external _cccbc_set_iv (from libSystem)
                 (undefined) external _cccbc_update (from libSystem)
                 (undefined) external _ccder_decode_dhparam_n (from libSystem)
                 (undefined) external _ccder_decode_dhparams (from libSystem)
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccdh_ccn_size (from libSystem)
                 (undefined) external _ccdh_compute_shared_secret (from libSystem)
                 (undefined) external _ccdh_ctx_public (from libSystem)
                 (undefined) external _ccdh_export_pub (from libSystem)
                 (undefined) external _ccdh_export_pub_size (from libSystem)
                 (undefined) external _ccdh_generate_key (from libSystem)
                 (undefined) external _ccdh_gp_g (from libSystem)
                 (undefined) external _ccdh_gp_n (from libSystem)
                 (undefined) external _ccdh_gp_prime (from libSystem)
                 (undefined) external _ccdh_gp_rfc5114_MODP_2048_256 (from libSystem)
                 (undefined) external _ccdh_gp_size (from libSystem)
                 (undefined) external _ccdh_import_pub (from libSystem)
                 (undefined) external _ccdh_init_gp_from_bytes (from libSystem)
                 (undefined) external _ccdigest_init (from libSystem)
                 (undefined) external _ccdigest_update (from libSystem)
                 (undefined) external _ccec_cp_256 (from libSystem)
                 (undefined) external _ccec_cp_384 (from libSystem)
                 (undefined) external _ccec_cp_521 (from libSystem)
                 (undefined) external _ccec_export_pub (from libSystem)
                 (undefined) external _ccec_generate_key (from libSystem)
                 (undefined) external _ccec_import_pub (from libSystem)
                 (undefined) external _ccec_verify (from libSystem)
                 (undefined) external _ccecdh_compute_shared_secret (from libSystem)
                 (undefined) external _ccgcm_finalize (from libSystem)
                 (undefined) external _ccgcm_gmac (from libSystem)
                 (undefined) external _ccgcm_inc_iv (from libSystem)
                 (undefined) external _ccgcm_init_with_iv (from libSystem)
                 (undefined) external _ccgcm_reset (from libSystem)
                 (undefined) external _ccgcm_update (from libSystem)
                 (undefined) external _ccmd5_di (from libSystem)
                 (undefined) external _ccn_bitlen (from libSystem)
                 (undefined) external _ccn_read_uint (from libSystem)
                 (undefined) external _ccn_swap (from libSystem)
                 (undefined) external _ccn_write_uint (from libSystem)
                 (undefined) external _ccn_write_uint_padded (from libSystem)
                 (undefined) external _ccn_write_uint_size (from libSystem)
                 (undefined) external _ccrsa_init_pub (from libSystem)
                 (undefined) external _ccrsa_pub_crypt (from libSystem)
                 (undefined) external _ccrsa_verify_pkcs1v15 (from libSystem)
                 (undefined) external _ccsha1_di (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _ccsha384_di (from libSystem)
                 (undefined) external _ccsha512_di (from libSystem)
                 (undefined) external _cczp_bitlen (from libSystem)
00007ff811f729de (__TEXT,__text) non-external (was a private external) _cipherSuiteInSet
                 (undefined) external _close (from libSystem)
00007ff811f7af40 (__TEXT,__text) non-external (was a private external) _copyHexString
00007ff811f7c3d0 (__TEXT,__const) non-external (was a private external) _coretlsVersionNumber
00007ff811f7c3a0 (__TEXT,__const) non-external (was a private external) _coretlsVersionString
                 (undefined) external _csops (from libSystem)
00007ff811f7575f (__TEXT,__text) non-external _debug_log_chain
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
00007ff843c79ae0 (__DATA,__bss) non-external _gDebugLoggers
00007ff843c79ae8 (__DATA,__bss) non-external _gDebugScope
00007ff843c79ad0 (__DATA,__bss) non-external _getanalytics_send_event_lazySymbolLoc.ptr
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff811f7c3f0 (__TEXT,__const) non-external _null_di
                 (undefined) external _open (from libSystem)
00007ff84371cbf8 (__DATA_DIRTY,__bss) non-external _process_identifier.__csops_once
00007ff84371cbf0 (__DATA_DIRTY,__bss) non-external _process_identifier_data
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _puts (from libSystem)
                 (undefined) external _read (from libSystem)
00007ff811f76617 (__TEXT,__text) non-external _soft_analytics_send_event_lazy
00007ff811f7b748 (__TEXT,__text) non-external _soft_analytics_send_event_lazy.cold.1
00007ff811f7a3ea (__TEXT,__text) non-external _ssl3CalculateFinishedMessage
00007ff811f7a33d (__TEXT,__text) non-external _ssl3ComputeCertVfyMac
00007ff811f7a282 (__TEXT,__text) non-external _ssl3ComputeFinishedMac
00007ff811f79c7f (__TEXT,__text) non-external _ssl3GenerateKeyMaterial
00007ff811f79f8c (__TEXT,__text) non-external _ssl3GenerateMasterSecret
00007ff811f6b143 (__TEXT,__text) non-external (was a private external) _sslAllocCopy
00007ff811f6aa24 (__TEXT,__text) non-external (was a private external) _sslAnalyzeCipherSpecs
00007ff811f6ad80 (__TEXT,__text) non-external _sslCipherSuiteGetDigestInfo
00007ff811f6a188 (__TEXT,__text) external _sslCipherSuiteGetKeyExchangeMethod
00007ff811f74b8c (__TEXT,__text) external _sslCipherSuiteGetKeydataSize
00007ff811f69df0 (__TEXT,__text) external _sslCipherSuiteGetMacAlgorithm
00007ff811f69958 (__TEXT,__text) external _sslCipherSuiteGetMacSize
00007ff811f7497c (__TEXT,__text) external _sslCipherSuiteGetMinSupportedTLSVersion
00007ff811f6ae24 (__TEXT,__text) non-external _sslCipherSuiteGetSymmetricCipher
00007ff811f69997 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherAlgorithm
00007ff811f6a170 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherBlockIvSize
00007ff811f6a158 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherKeySize
00007ff811f74e2b (__TEXT,__text) non-external (was a private external) _sslDhCreateKey
00007ff811f7b67f (__TEXT,__text) non-external (was a private external) _sslDhExportPub
00007ff811f74ea0 (__TEXT,__text) non-external (was a private external) _sslDhKeyExchange
00007ff811f7069d (__TEXT,__text) non-external (was a private external) _sslEcdhCreateKey
00007ff811f7078d (__TEXT,__text) non-external (was a private external) _sslEcdhExportPub
00007ff811f7070a (__TEXT,__text) non-external (was a private external) _sslEcdhKeyExchange
00007ff811f750cc (__TEXT,__text) non-external (was a private external) _sslEcdsaSign
00007ff811f74d11 (__TEXT,__text) non-external (was a private external) _sslEncodeDhParams
00007ff811f6aa04 (__TEXT,__text) non-external (was a private external) _sslFree
00007ff811f6fa15 (__TEXT,__text) non-external (was a private external) _sslFreePubKey
00007ff811f705cf (__TEXT,__text) non-external (was a private external) _sslGetEcPubKeyFromBits
00007ff811f6d11e (__TEXT,__text) non-external (was a private external) _sslGetMaxProtVersion
00007ff811f75613 (__TEXT,__text) non-external (was a private external) _sslGetMaxSigSize
00007ff811f6fa49 (__TEXT,__text) non-external (was a private external) _sslGetPubKeyFromBits
00007ff811f7b700 (__TEXT,__text) non-external _sslGetPubKeyFromBits.cold.1
00007ff811f6aa15 (__TEXT,__text) non-external (was a private external) _sslMalloc
00007ff811f755f4 (__TEXT,__text) non-external (was a private external) _sslPrivKeyLengthInBytes
00007ff811f755fe (__TEXT,__text) non-external (was a private external) _sslPubKeyLengthInBytes
00007ff811f6d2a1 (__TEXT,__text) non-external (was a private external) _sslRand
00007ff811f74fe6 (__TEXT,__text) non-external (was a private external) _sslRawSign
00007ff811f751ce (__TEXT,__text) non-external (was a private external) _sslRawVerify
00007ff811f75590 (__TEXT,__text) non-external (was a private external) _sslRsaDecrypt
00007ff811f75366 (__TEXT,__text) non-external (was a private external) _sslRsaEncrypt
00007ff811f7b6d2 (__TEXT,__text) non-external _sslRsaEncrypt.cold.1
00007ff811f75132 (__TEXT,__text) non-external (was a private external) _sslRsaSign
00007ff811f6ff90 (__TEXT,__text) non-external (was a private external) _sslRsaVerify
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
                 (undefined) external _time (from libSystem)
00007ff811f78218 (__TEXT,__text) non-external _tls12ComputeCertVfyMac
00007ff811f71782 (__TEXT,__text) non-external _tls12ComputeFinishedMac
00007ff811f707da (__TEXT,__text) non-external _tls12GenerateMasterSecret
00007ff811f78123 (__TEXT,__text) non-external _tls1ComputeCertVfyMac
00007ff811f77f9c (__TEXT,__text) non-external _tls1ComputeFinishedMac
00007ff811f712ea (__TEXT,__text) non-external _tls1GenerateKeyMaterial
00007ff811f77d8e (__TEXT,__text) non-external _tls1GenerateMasterSecret
00007ff811f70b7b (__TEXT,__text) non-external _tlsPHash
00007ff811f73d96 (__TEXT,__text) external _tls_add_debug_logger
00007ff811f7301f (__TEXT,__text) external _tls_cache_cleanup
00007ff811f6ac3c (__TEXT,__text) external _tls_cache_create
00007ff811f73e48 (__TEXT,__text) external _tls_cache_delete_session_data
00007ff811f73df8 (__TEXT,__text) external _tls_cache_destroy
00007ff811f73e18 (__TEXT,__text) external _tls_cache_empty
00007ff811f6b04c (__TEXT,__text) external _tls_cache_load_session_data
00007ff811f727e3 (__TEXT,__text) external _tls_cache_save_session_data
00007ff811f73e42 (__TEXT,__text) external _tls_cache_set_default_ttls
00007ff811f73ee9 (__TEXT,__text) non-external (was a private external) _tls_copy_buffer_list
