000000019601306c (__TEXT,__text) non-external +[CalAlarm alarm]
0000000196018a1c (__TEXT,__text) non-external -[CalAlarm relatedToString]
0000000196018390 (__TEXT,__text) non-external -[CalAlarm relatedTo]
0000000196013f10 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
0000000196013108 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
000000019601337c (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
0000000196013104 (__TEXT,__text) non-external -[CalAlarm setAction:]
0000000196018a10 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
000000019601338c (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
0000000196018308 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
0000000196018a24 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
0000000196013110 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
0000000196013384 (__TEXT,__text) non-external -[CalAlarm setSound:]
0000000196018a38 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
0000000196013394 (__TEXT,__text) non-external -[CalAlarm setUrl:]
0000000196013f00 (__TEXT,__text) non-external -[CalAlarm sound]
0000000196018404 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
0000000196018a30 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
0000000196013ef8 (__TEXT,__text) non-external -[CalAlarm url]
00000001960149a0 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00000001960143e4 (__TEXT,__text) non-external -[CalAttendee address]
00000001960143ec (__TEXT,__text) non-external -[CalAttendee commonName]
0000000196014928 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
000000019601430c (__TEXT,__text) non-external -[CalAttendee description]
000000019601498c (__TEXT,__text) non-external -[CalAttendee ekParticipant]
0000000196014674 (__TEXT,__text) non-external -[CalAttendee hash]
00000001960145d4 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
000000019601467c (__TEXT,__text) non-external -[CalAttendee isEqual:]
0000000196014994 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00000001960143f4 (__TEXT,__text) non-external -[CalAttendee status]
000000019601825c (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
0000000196013d1c (__TEXT,__text) non-external -[CalCalendar color]
00000001960181ec (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
0000000196013b98 (__TEXT,__text) non-external -[CalCalendar description]
0000000196018248 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
0000000196017dd4 (__TEXT,__text) non-external -[CalCalendar hash]
0000000196017d34 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
0000000196017c54 (__TEXT,__text) non-external -[CalCalendar init]
000000019601230c (__TEXT,__text) non-external -[CalCalendar isEditable]
0000000196017ddc (__TEXT,__text) non-external -[CalCalendar isEqual:]
0000000196013cc4 (__TEXT,__text) non-external -[CalCalendar notes]
0000000196012304 (__TEXT,__text) non-external -[CalCalendar setColor:]
0000000196018250 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00000001960122fc (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001960122f4 (__TEXT,__text) non-external -[CalCalendar setTitle:]
0000000196013cbc (__TEXT,__text) non-external -[CalCalendar title]
0000000196013d24 (__TEXT,__text) non-external -[CalCalendar type]
0000000196012878 (__TEXT,__text) non-external -[CalCalendar uid]
000000019601bdb4 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
0000000196013188 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
000000019601b0c4 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
0000000196013998 (__TEXT,__text) non-external -[CalCalendarItem alarms]
0000000196013928 (__TEXT,__text) non-external -[CalCalendarItem calendar]
000000019601bd30 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
0000000196013908 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00000001960137b8 (__TEXT,__text) non-external -[CalCalendarItem description]
000000019601bd8c (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
000000019601b0b4 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
000000019601bd28 (__TEXT,__text) non-external -[CalCalendarItem hash]
000000019601af8c (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
000000019601b45c (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
000000019601b0bc (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
0000000196013918 (__TEXT,__text) non-external -[CalCalendarItem notes]
000000019601b1bc (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
000000019601b210 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
000000019601b308 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
0000000196013260 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
000000019601bd94 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
0000000196012950 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
0000000196012880 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
000000019601bda8 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
0000000196012958 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
000000019601ba84 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
0000000196013910 (__TEXT,__text) non-external -[CalCalendarItem title]
0000000196013900 (__TEXT,__text) non-external -[CalCalendarItem uid]
000000019601bda0 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
0000000196013920 (__TEXT,__text) non-external -[CalCalendarItem url]
0000000196017c18 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00000001960161bc (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00000001960161c4 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
0000000196014c88 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001960120a8 (__TEXT,__text) non-external -[CalCalendarStore calendars]
0000000196014c84 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
0000000196015440 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
0000000196017c04 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
0000000196014d74 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000196012670 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
0000000196016358 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
000000019601512c (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00000001960149fc (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00000001960149bc (__TEXT,__text) non-external -[CalCalendarStore init]
0000000196016a14 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00000001960158ec (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
0000000196015f94 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
0000000196016474 (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
0000000196015458 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
0000000196015c0c (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
0000000196017c0c (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
0000000196015040 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
0000000196014e7c (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
0000000196019428 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
0000000196014168 (__TEXT,__text) non-external -[CalEvent attendees]
00000001960135ac (__TEXT,__text) non-external -[CalEvent compareStartDate:]
0000000196013634 (__TEXT,__text) non-external -[CalEvent description]
0000000196018b5c (__TEXT,__text) non-external -[CalEvent ekEvent]
000000019601402c (__TEXT,__text) non-external -[CalEvent endDate]
0000000196018ac4 (__TEXT,__text) non-external -[CalEvent init]
0000000196014084 (__TEXT,__text) non-external -[CalEvent isAllDay]
0000000196019278 (__TEXT,__text) non-external -[CalEvent isDetached]
0000000196018b64 (__TEXT,__text) non-external -[CalEvent isEqual:]
0000000196013fd4 (__TEXT,__text) non-external -[CalEvent location]
00000001960192b8 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
0000000196013f28 (__TEXT,__text) non-external -[CalEvent occurrence]
00000001960140c4 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
0000000196018b60 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
0000000196019414 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00000001960128ec (__TEXT,__text) non-external -[CalEvent setEndDate:]
00000001960129c4 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
0000000196012960 (__TEXT,__text) non-external -[CalEvent setLocation:]
0000000196012b30 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000196012888 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00000001960190b8 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
0000000196012a10 (__TEXT,__text) non-external -[CalEvent startDate]
000000019601a9e4 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
000000019601a8fc (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
000000019601a9c0 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
000000019601a780 (__TEXT,__text) non-external -[CalNthWeekDay description]
000000019601a9d0 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
000000019601a83c (__TEXT,__text) non-external -[CalNthWeekDay hash]
000000019601a6e0 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
000000019601a844 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
000000019601a9d8 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
000000019601a9c8 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00000001960145c0 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00000001960144f0 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00000001960125ac (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
000000019601454c (__TEXT,__text) non-external -[CalPredicate predicate]
00000001960144dc (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00000001960144cc (__TEXT,__text) non-external -[CalPredicate subpredicate]
000000019601af80 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
000000019601ad18 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
000000019601aad0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
000000019601af6c (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
000000019601af5c (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
000000019601abdc (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
000000019601aebc (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
000000019601ad6c (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
000000019601ae1c (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
000000019601abe4 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
000000019601af64 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
000000019601af74 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
000000019601aa94 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
000000019601a6d4 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
0000000196012c24 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
0000000196012e4c (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
0000000196012cb0 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
0000000196014430 (__TEXT,__text) non-external -[CalRecurrenceRule description]
000000019601a6c0 (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
000000019601a6b8 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
0000000196019ae4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
0000000196012a68 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00000001960194dc (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
0000000196019698 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00000001960195a4 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00000001960132b4 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
000000019601339c (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
000000019601943c (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00000001960197d4 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
0000000196019990 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
000000019601989c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
0000000196019aec (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
0000000196012ff4 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
0000000196012e54 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
0000000196012ffc (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
0000000196012ca8 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
0000000196012c80 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
000000019601a6c8 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
000000019601a060 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
000000019601c5bc (__TEXT,__text) non-external -[CalTask .cxx_destruct]
000000019601bf54 (__TEXT,__text) non-external -[CalTask completedDate]
000000019601c2ac (__TEXT,__text) non-external -[CalTask description]
000000019601c010 (__TEXT,__text) non-external -[CalTask dueDate]
000000019601bec0 (__TEXT,__text) non-external -[CalTask ekReminder]
000000019601be28 (__TEXT,__text) non-external -[CalTask init]
000000019601bec8 (__TEXT,__text) non-external -[CalTask isCompleted]
000000019601c3a0 (__TEXT,__text) non-external -[CalTask isEqual:]
000000019601c158 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
000000019601c0cc (__TEXT,__text) non-external -[CalTask priority]
000000019601bfac (__TEXT,__text) non-external -[CalTask setCompletedDate:]
000000019601c068 (__TEXT,__text) non-external -[CalTask setDueDate:]
000000019601bec4 (__TEXT,__text) non-external -[CalTask setEKReminder:]
000000019601c5a8 (__TEXT,__text) non-external -[CalTask setEkReminder:]
000000019601bf08 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
000000019601c10c (__TEXT,__text) non-external -[CalTask setPriority:]
000000019601dbec (__TEXT,__gcc_except_tab) non-external GCC_except_table0
000000019601dc00 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
000000019601dc18 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e8a56ff0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001e8a56ff8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001e8a57000 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001e8a57008 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001e8a56eb0 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001e8a56ed0 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001e8a56eb8 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001e8a56ec8 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001e8a56ed8 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001e8a56ea8 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001e8a56ec0 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001e8a56f78 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001e8a56f80 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001e8a56f88 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001e8a56fa8 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001e8a56f90 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001e8a56f98 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001e8a56fa0 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001e8a56fb0 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001e8a56fb8 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001e8a56f38 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001e8a56f20 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
000000019601dc40 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001e8a56f60 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001e8a56f40 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001e8a56f28 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001e8a56f50 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001e8a56f68 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001e8a57080 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001e8a56f48 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001e8a56f30 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001e8a56f58 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001e8a56f70 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001eeb60490 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001eeb603a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001eeb60440 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001eeb60620 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001eeb603f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001eeb604e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001eeb60580 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001eeb60350 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001eeb605d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001eeb60530 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001eeb60670 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001ec3a1c70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001ec3a1c74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001ec3a1c78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001ec3a1c64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001ec3a1c6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001ec3a1c8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001ec3a1c90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001ec3a1c68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001ec3a1c7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001ec3a1c84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001ec3a1c60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001ec3a1c88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001ec3a1c80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001ec3a1c94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001eeb604b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001eeb603c8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001eeb60468 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001eeb60648 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001eeb60418 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001eeb60508 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001eeb605a8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001eeb60378 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001eeb605f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001eeb60558 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001eeb60698 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
