                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc12b00ec4 (__TEXT,__text) external __crypt_blowfish_rn
00007ffc12b09020 (__TEXT,__text) external _apr_date_parse_http
00007ffc12b093cc (__TEXT,__text) external _apr_date_parse_rfc
00007ffc12b03aa1 (__TEXT,__text) external _apr_dbd_check_conn
00007ffc12b03ac2 (__TEXT,__text) external _apr_dbd_close
00007ffc12b04357 (__TEXT,__text) external _apr_dbd_datum_get
00007ffc12b03ab2 (__TEXT,__text) external _apr_dbd_error
00007ffc12b03c25 (__TEXT,__text) external _apr_dbd_escape
00007ffc12b03a03 (__TEXT,__text) external _apr_dbd_get_driver
00007ffc12b03c02 (__TEXT,__text) external _apr_dbd_get_entry
00007ffc12b03c12 (__TEXT,__text) external _apr_dbd_get_name
00007ffc12b03beb (__TEXT,__text) external _apr_dbd_get_row
00007ffc12b03906 (__TEXT,__text) external _apr_dbd_init
00007ffc12b038e4 (__TEXT,__text) external _apr_dbd_mutex_lock
00007ffc12b038f5 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007ffc12b03b76 (__TEXT,__text) external _apr_dbd_name
00007ffc12b03b7f (__TEXT,__text) external _apr_dbd_native_handle
00007ffc12b03bcf (__TEXT,__text) external _apr_dbd_num_cols
00007ffc12b03bdd (__TEXT,__text) external _apr_dbd_num_tuples
00007ffc12b03ad0 (__TEXT,__text) external _apr_dbd_open
00007ffc12b03a36 (__TEXT,__text) external _apr_dbd_open_ex
00007ffc12b041d2 (__TEXT,__text) external _apr_dbd_pbquery
00007ffc12b041ef (__TEXT,__text) external _apr_dbd_pbselect
00007ffc12b04048 (__TEXT,__text) external _apr_dbd_pquery
00007ffc12b03c3c (__TEXT,__text) external _apr_dbd_prepare
00007ffc12b0406a (__TEXT,__text) external _apr_dbd_pselect
00007ffc12b04214 (__TEXT,__text) external _apr_dbd_pvbquery
00007ffc12b042b6 (__TEXT,__text) external _apr_dbd_pvbselect
00007ffc12b0408f (__TEXT,__text) external _apr_dbd_pvquery
00007ffc12b04131 (__TEXT,__text) external _apr_dbd_pvselect
00007ffc12b03ba1 (__TEXT,__text) external _apr_dbd_query
00007ffc12b03bb5 (__TEXT,__text) external _apr_dbd_select
00007ffc12b03b8d (__TEXT,__text) external _apr_dbd_set_dbname
00007ffc4027b910 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007ffc12b03b29 (__TEXT,__text) external _apr_dbd_transaction_end
00007ffc12b03b52 (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007ffc12b03b63 (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007ffc12b03add (__TEXT,__text) external _apr_dbd_transaction_start
00007ffc12b044b7 (__TEXT,__text) external _apr_dbm_close
00007ffc12b044e1 (__TEXT,__text) external _apr_dbm_delete
00007ffc12b044f0 (__TEXT,__text) external _apr_dbm_exists
00007ffc12b044c3 (__TEXT,__text) external _apr_dbm_fetch
00007ffc12b044ff (__TEXT,__text) external _apr_dbm_firstkey
00007ffc12b0451d (__TEXT,__text) external _apr_dbm_freedatum
00007ffc12b045b1 (__TEXT,__text) external _apr_dbm_get_usednames
00007ffc12b04562 (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007ffc12b0452c (__TEXT,__text) external _apr_dbm_geterror
00007ffc12b0450e (__TEXT,__text) external _apr_dbm_nextkey
00007ffc12b04449 (__TEXT,__text) external _apr_dbm_open
00007ffc12b0436f (__TEXT,__text) external _apr_dbm_open_ex
00007ffc12b044d2 (__TEXT,__text) external _apr_dbm_store
00007ffc4027b760 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007ffc4175dc68 (__DATA,__common) external _apr_debug_module_hooks
00007ffc12b063ff (__TEXT,__text) external _apr_dynamic_fn_register
00007ffc12b063cb (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007ffc4175dc60 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007ffc4175dc58 (__DATA,__common) external _apr_hook_debug_current
00007ffc4175dc50 (__DATA,__common) external _apr_hook_debug_enabled
00007ffc12b06176 (__TEXT,__text) external _apr_hook_debug_show
00007ffc12b06127 (__TEXT,__text) external _apr_hook_deregister_all
00007ffc4175dc48 (__DATA,__common) external _apr_hook_global_pool
00007ffc12b05c0e (__TEXT,__text) external _apr_hook_sort_all
00007ffc12b05bc4 (__TEXT,__text) external _apr_hook_sort_register
00007ffc12b0f124 (__TEXT,__text) external _apr_ldap_get_option
00007ffc12b0f0f3 (__TEXT,__text) external _apr_ldap_info
00007ffc12b0f04e (__TEXT,__text) external _apr_ldap_init
00007ffc12b06460 (__TEXT,__text) external _apr_ldap_is_ldap_url
00007ffc12b065a1 (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007ffc12b0655f (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007ffc12b0f474 (__TEXT,__text) external _apr_ldap_rebind_add
00007ffc12b0f418 (__TEXT,__text) external _apr_ldap_rebind_init
00007ffc12b0f550 (__TEXT,__text) external _apr_ldap_rebind_remove
00007ffc12b0f1ac (__TEXT,__text) external _apr_ldap_set_option
00007ffc12b0f046 (__TEXT,__text) external _apr_ldap_ssl_deinit
00007ffc12b0ef9c (__TEXT,__text) external _apr_ldap_ssl_init
00007ffc12b06cc7 (__TEXT,__text) external _apr_ldap_url_parse
00007ffc12b065e3 (__TEXT,__text) external _apr_ldap_url_parse_ext
00007ffc12afe93f (__TEXT,__text) external _apr_md4
00007ffc12afe880 (__TEXT,__text) external _apr_md4_final
00007ffc12afe022 (__TEXT,__text) external _apr_md4_init
00007ffc12afe03e (__TEXT,__text) external _apr_md4_set_xlate
00007ffc12afe07b (__TEXT,__text) external _apr_md4_update
00007ffc12afec9b (__TEXT,__text) external _apr_md5
00007ffc12afed05 (__TEXT,__text) external _apr_md5_encode
00007ffc12afebd2 (__TEXT,__text) external _apr_md5_final
00007ffc12afe9a7 (__TEXT,__text) external _apr_md5_init
00007ffc12afe9c3 (__TEXT,__text) external _apr_md5_set_xlate
00007ffc12afea00 (__TEXT,__text) external _apr_md5_update
00007ffc12b0757f (__TEXT,__text) external _apr_memcache_add
00007ffc12b07eb6 (__TEXT,__text) external _apr_memcache_add_multget_key
00007ffc12b06d08 (__TEXT,__text) external _apr_memcache_add_server
00007ffc12b07217 (__TEXT,__text) external _apr_memcache_create
00007ffc12b07d73 (__TEXT,__text) external _apr_memcache_decr
00007ffc12b079e8 (__TEXT,__text) external _apr_memcache_delete
00007ffc12b06f52 (__TEXT,__text) external _apr_memcache_disable_server
00007ffc12b06f3d (__TEXT,__text) external _apr_memcache_enable_server
00007ffc12b06ede (__TEXT,__text) external _apr_memcache_find_server
00007ffc12b06d35 (__TEXT,__text) external _apr_memcache_find_server_hash
00007ffc12b06d54 (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007ffc12b075d9 (__TEXT,__text) external _apr_memcache_getp
00007ffc12b072f4 (__TEXT,__text) external _apr_memcache_hash
00007ffc12b07278 (__TEXT,__text) external _apr_memcache_hash_crc32
00007ffc12b072b2 (__TEXT,__text) external _apr_memcache_hash_default
00007ffc12b07b90 (__TEXT,__text) external _apr_memcache_incr
00007ffc12b07f3f (__TEXT,__text) external _apr_memcache_multgetp
00007ffc12b075ac (__TEXT,__text) external _apr_memcache_replace
00007ffc12b06f86 (__TEXT,__text) external _apr_memcache_server_create
00007ffc12b07347 (__TEXT,__text) external _apr_memcache_set
00007ffc12b087fc (__TEXT,__text) external _apr_memcache_stats
00007ffc12b07d8c (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007ffc12b062b1 (__TEXT,__text) external _apr_optional_hook_add
00007ffc12b06277 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007ffc12affc97 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007ffc12b0460f (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007ffc12b09c88 (__TEXT,__text) external _apr_queue_create
00007ffc12b0a0a6 (__TEXT,__text) external _apr_queue_interrupt_all
00007ffc12b09f16 (__TEXT,__text) external _apr_queue_pop
00007ffc12b09d83 (__TEXT,__text) external _apr_queue_push
00007ffc12b09f0d (__TEXT,__text) external _apr_queue_size
00007ffc12b0a0e4 (__TEXT,__text) external _apr_queue_term
00007ffc12b0a000 (__TEXT,__text) external _apr_queue_trypop
00007ffc12b09e68 (__TEXT,__text) external _apr_queue_trypush
00007ffc12b0a4d3 (__TEXT,__text) external _apr_reslist_acquire
00007ffc12b0a724 (__TEXT,__text) external _apr_reslist_acquired_count
00007ffc12b0a793 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007ffc12b0a2a6 (__TEXT,__text) external _apr_reslist_create
00007ffc12b0a4bc (__TEXT,__text) external _apr_reslist_destroy
00007ffc12b0a750 (__TEXT,__text) external _apr_reslist_invalidate
00007ffc12b0a123 (__TEXT,__text) external _apr_reslist_maintain
00007ffc12b0a65f (__TEXT,__text) external _apr_reslist_release
00007ffc12b0a71a (__TEXT,__text) external _apr_reslist_timeout_set
00007ffc12b0af93 (__TEXT,__text) external _apr_rmm_addr_get
00007ffc12b0aa94 (__TEXT,__text) external _apr_rmm_attach
00007ffc12b0adf7 (__TEXT,__text) external _apr_rmm_calloc
00007ffc12b0a964 (__TEXT,__text) external _apr_rmm_destroy
00007ffc12b0ab0f (__TEXT,__text) external _apr_rmm_detach
00007ffc12b0afa0 (__TEXT,__text) external _apr_rmm_free
00007ffc12b0a7e4 (__TEXT,__text) external _apr_rmm_init
00007ffc12b0ab17 (__TEXT,__text) external _apr_rmm_malloc
00007ffc12b0af86 (__TEXT,__text) external _apr_rmm_offset_get
00007ffc12b0b118 (__TEXT,__text) external _apr_rmm_overhead_get
00007ffc12b0aeec (__TEXT,__text) external _apr_rmm_realloc
00007ffc12b04ab8 (__TEXT,__text) external _apr_sdbm_close
00007ffc12b04d29 (__TEXT,__text) external _apr_sdbm_delete
00007ffc12b04b0a (__TEXT,__text) external _apr_sdbm_fetch
00007ffc12b051ce (__TEXT,__text) external _apr_sdbm_firstkey
00007ffc12b05438 (__TEXT,__text) external _apr_sdbm_lock
00007ffc12b052a5 (__TEXT,__text) external _apr_sdbm_nextkey
00007ffc12b0491f (__TEXT,__text) external _apr_sdbm_open
00007ffc12b04ddb (__TEXT,__text) external _apr_sdbm_rdonly
00007ffc12b04e31 (__TEXT,__text) external _apr_sdbm_store
00007ffc12b05503 (__TEXT,__text) external _apr_sdbm_unlock
00007ffc12b00de9 (__TEXT,__text) external _apr_sha1_base64
00007ffc12b00cf5 (__TEXT,__text) external _apr_sha1_final
00007ffc12affe6b (__TEXT,__text) external _apr_sha1_init
00007ffc12b00ceb (__TEXT,__text) external _apr_sha1_update
00007ffc12affe8c (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007ffc12b0c0ed (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007ffc12b0d5d2 (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007ffc12b0bc39 (__TEXT,__text) external _apr_thread_pool_busy_count
00007ffc12b0b129 (__TEXT,__text) external _apr_thread_pool_create
00007ffc12b0b746 (__TEXT,__text) external _apr_thread_pool_destroy
00007ffc12b0bc47 (__TEXT,__text) external _apr_thread_pool_idle_count
00007ffc12b0bc79 (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007ffc12b0bc8d (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007ffc12b0bc83 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007ffc12b0bd6b (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007ffc12b0b756 (__TEXT,__text) external _apr_thread_pool_push
00007ffc12b0b981 (__TEXT,__text) external _apr_thread_pool_schedule
00007ffc12b0bc25 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007ffc12b0be06 (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007ffc12b0ba94 (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007ffc12b0bc1b (__TEXT,__text) external _apr_thread_pool_tasks_count
00007ffc12b0bc5b (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007ffc12b0bc51 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007ffc12b0bd79 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007ffc12b0bd83 (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007ffc12b0bc2f (__TEXT,__text) external _apr_thread_pool_threads_count
00007ffc12b0bc65 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007ffc12b0bc6f (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007ffc12b0bdee (__TEXT,__text) external _apr_thread_pool_threshold_get
00007ffc12b0bdf8 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007ffc12b0ba84 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007ffc12b0c5cf (__TEXT,__text) external _apr_uri_parse
00007ffc12b0c9da (__TEXT,__text) external _apr_uri_parse_hostinfo
00007ffc12b0c337 (__TEXT,__text) external _apr_uri_port_of_scheme
00007ffc12b0c37d (__TEXT,__text) external _apr_uri_unparse
00007ffc12b03528 (__TEXT,__text) external _apr_uuid_format
00007ffc12b033ce (__TEXT,__text) external _apr_uuid_get
00007ffc12b035d0 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007ffc12b0ce5a (__TEXT,__text) external _apr_xlate_close
00007ffc12b0cd88 (__TEXT,__text) external _apr_xlate_conv_buffer
00007ffc12b0ce3c (__TEXT,__text) external _apr_xlate_conv_byte
00007ffc12b0cad3 (__TEXT,__text) external _apr_xlate_open
00007ffc12b0cd74 (__TEXT,__text) external _apr_xlate_sb_get
00007ffc12b0de21 (__TEXT,__text) external _apr_xml_empty_elem
00007ffc12b0cf5f (__TEXT,__text) external _apr_xml_insert_uri
00007ffc12b0d532 (__TEXT,__text) external _apr_xml_parse_file
00007ffc12b0ce71 (__TEXT,__text) external _apr_xml_parser_create
00007ffc12b0d43a (__TEXT,__text) external _apr_xml_parser_done
00007ffc12b0d3e3 (__TEXT,__text) external _apr_xml_parser_feed
00007ffc12b0d48e (__TEXT,__text) external _apr_xml_parser_geterror
00007ffc12b0d6f1 (__TEXT,__text) external _apr_xml_quote_elem
00007ffc12b0d618 (__TEXT,__text) external _apr_xml_quote_string
00007ffc12b0d788 (__TEXT,__text) external _apr_xml_to_text
00007ffc12b058d1 (__TEXT,__text) external _apu__sdbm_chkpage
00007ffc12b0570a (__TEXT,__text) external _apu__sdbm_delpair
00007ffc12b0569d (__TEXT,__text) external _apu__sdbm_duppair
00007ffc12b0553c (__TEXT,__text) external _apu__sdbm_fitpair
00007ffc12b056c2 (__TEXT,__text) external _apu__sdbm_getnkey
00007ffc12b055da (__TEXT,__text) external _apu__sdbm_getpair
00007ffc12b05358 (__TEXT,__text) external _apu__sdbm_hash
