00000001adc1be50 (__TEXT,__text) non-external +[Caller current]
00000001adc26888 (__TEXT,__text) non-external +[LASecureIOAsset asset]
00000001adc26620 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:]
00000001adc26f90 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:].cold.1
00000001adc26754 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:]
00000001adc26fa4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:].cold.1
00000001adc264c4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:]
00000001adc26f7c (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:].cold.1
00000001adc2761c (__TEXT,__text) non-external +[LASecureIODisplay displayWidth]
00000001adc2771c (__TEXT,__text) non-external +[LASecureIODisplay display]
00000001adc27568 (__TEXT,__text) non-external +[LASecureIODisplay hasPhysicalESCKey]
00000001adc27474 (__TEXT,__text) non-external +[LASecureIODisplay isDFRSupported]
00000001adc15af4 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00000001adc39544 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00000001adc3917c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00000001adc39150 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00000001adc390e4 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00000001adc39108 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00000001adc3912c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00000001adc28b34 (__TEXT,__text) non-external +[LASecureIOScene scene]
00000001adc28b5c (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:]
00000001adc28fd0 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:].cold.1
00000001adc2f27c (__TEXT,__text) non-external +[LASecureIOServer getBootArgs]
00000001adc2f06c (__TEXT,__text) non-external +[LASecureIOServer ignoreSceneDescriptionsSignature]
00000001adc2f060 (__TEXT,__text) non-external +[LASecureIOServer ignoreWarsawInstructionSignature]
00000001adc2f078 (__TEXT,__text) non-external +[LASecureIOServer isBootArgSet:]
00000001adc2f054 (__TEXT,__text) non-external +[LASecureIOServer isTestingEnabled]
00000001adc292f8 (__TEXT,__text) non-external +[LASecureIOServer server]
00000001adc26fb8 (__TEXT,__text) non-external +[LASecureIOUtils dataFromHexString:]
00000001adc271f0 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:]
00000001adc27404 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:].cold.1
00000001adc270b8 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:]
00000001adc2738c (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:].cold.1
00000001adc12bf4 (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00000001adc12ee0 (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00000001adc3926c (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00000001adc18ea4 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00000001adc397e4 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00000001adc17294 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00000001adc39640 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00000001adc19eb0 (__TEXT,__text) non-external +[Request current]
00000001adc19e30 (__TEXT,__text) non-external +[Request localRequest]
00000001adc19d10 (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00000001adc39898 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00000001adc398ac (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00000001adc1c590 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00000001adc399bc (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00000001adc14680 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00000001adc3937c (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00000001adc11fc8 (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00000001adc196ec (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00000001adc197e8 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00000001adc1972c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
00000001adc1c508 (__TEXT,__text) non-external -[Caller .cxx_destruct]
00000001adc1c4c4 (__TEXT,__text) non-external -[Caller asid]
00000001adc1c248 (__TEXT,__text) non-external -[Caller auditTokenData]
00000001adc1c4cc (__TEXT,__text) non-external -[Caller auditToken]
00000001adc1bef8 (__TEXT,__text) non-external -[Caller clientInfo]
00000001adc1c4dc (__TEXT,__text) non-external -[Caller connection]
00000001adc1c1a4 (__TEXT,__text) non-external -[Caller description]
00000001adc1c4bc (__TEXT,__text) non-external -[Caller euid]
00000001adc1c348 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00000001adc1c024 (__TEXT,__text) non-external -[Caller hash]
00000001adc1bd80 (__TEXT,__text) non-external -[Caller initWithConnection:]
00000001adc1bf68 (__TEXT,__text) non-external -[Caller isEqual:]
00000001adc1c064 (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00000001adc1c0b8 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00000001adc39964 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00000001adc39978 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00000001adc1c2c8 (__TEXT,__text) non-external -[Caller path]
00000001adc1c4b4 (__TEXT,__text) non-external -[Caller pid]
00000001adc1c240 (__TEXT,__text) non-external -[Caller processId]
00000001adc1c340 (__TEXT,__text) non-external -[Caller userId]
00000001adc1d8d0 (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00000001adc194f0 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00000001adc19420 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00000001adc19208 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00000001adc397f8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00000001adc39820 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00000001adc19470 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00000001adc194e8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00000001adc1bce0 (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00000001adc1baa8 (__TEXT,__text) non-external -[DomainStateRequest clientInfo]
00000001adc1bc4c (__TEXT,__text) non-external -[DomainStateRequest client]
00000001adc1bcc8 (__TEXT,__text) non-external -[DomainStateRequest contextID]
00000001adc1b9ac (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:originatorId:]
00000001adc1bcd8 (__TEXT,__text) non-external -[DomainStateRequest options]
00000001adc1bcd0 (__TEXT,__text) non-external -[DomainStateRequest originatorId]
00000001adc1bc78 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00000001adc1bc84 (__TEXT,__text) non-external -[DomainStateRequest setClientInfo:]
00000001adc1bb78 (__TEXT,__text) non-external -[DomainStateRequest userID]
00000001adc1b5e8 (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00000001adc1b358 (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00000001adc1b30c (__TEXT,__text) non-external -[EvaluationRequest acl]
00000001adc1b244 (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00000001adc1b504 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00000001adc1b2f4 (__TEXT,__text) non-external -[EvaluationRequest callback]
00000001adc1a658 (__TEXT,__text) non-external -[EvaluationRequest clientInfo]
00000001adc1b3f0 (__TEXT,__text) non-external -[EvaluationRequest client]
00000001adc1b2a0 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00000001adc1b4e4 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00000001adc1b4f4 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00000001adc1b43c (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00000001adc1a5e4 (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00000001adc1a5d8 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00000001adc1a3f4 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00000001adc1a5cc (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00000001adc1a26c (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00000001adc1a728 (__TEXT,__text) non-external -[EvaluationRequest isEventPaused:]
00000001adc1b290 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00000001adc1b0cc (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00000001adc1b14c (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00000001adc1b1a0 (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00000001adc1b184 (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00000001adc1b168 (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00000001adc1b1e4 (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00000001adc1b3a4 (__TEXT,__text) non-external -[EvaluationRequest options]
00000001adc1b2ec (__TEXT,__text) non-external -[EvaluationRequest originatorId]
00000001adc1a77c (__TEXT,__text) non-external -[EvaluationRequest pause:event:]
00000001adc1b550 (__TEXT,__text) non-external -[EvaluationRequest pausedEvents]
00000001adc1b59c (__TEXT,__text) non-external -[EvaluationRequest payload]
00000001adc1b2fc (__TEXT,__text) non-external -[EvaluationRequest policy]
00000001adc1b488 (__TEXT,__text) non-external -[EvaluationRequest purpose]
00000001adc1a7f0 (__TEXT,__text) non-external -[EvaluationRequest resetPausedEvents]
00000001adc1b498 (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00000001adc1abb8 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00000001adc1b314 (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00000001adc1b360 (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00000001adc1b50c (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00000001adc1b24c (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00000001adc1a83c (__TEXT,__text) non-external -[EvaluationRequest setCallback:]
00000001adc1a7f8 (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00000001adc1b3f8 (__TEXT,__text) non-external -[EvaluationRequest setClientInfo:]
00000001adc1b2a8 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00000001adc1b4ec (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00000001adc1b4fc (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00000001adc1b444 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00000001adc1b298 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00000001adc1b3ac (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00000001adc1a880 (__TEXT,__text) non-external -[EvaluationRequest setOriginatorId:]
00000001adc1b558 (__TEXT,__text) non-external -[EvaluationRequest setPausedEvents:]
00000001adc1b5a4 (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00000001adc1b304 (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00000001adc1b490 (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00000001adc1b4a0 (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00000001adc1ac24 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00000001adc1ad00 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00000001adc1a888 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00000001adc1b050 (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00000001adc18c38 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00000001adc18dc4 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00000001adc18d4c (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00000001adc18ce4 (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00000001adc17210 (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00000001adc16dfc (__TEXT,__text) non-external -[LAAnalytics _collect]
00000001adc39618 (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00000001adc171c8 (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00000001adc17024 (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00000001adc16d8c (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00000001adc171b8 (__TEXT,__text) non-external -[LAAnalytics eventName]
00000001adc16d14 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00000001adc17044 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00000001adc17038 (__TEXT,__text) non-external -[LAAnalytics logLevel]
00000001adc1704c (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00000001adc170e8 (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00000001adc171d0 (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00000001adc17204 (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00000001adc17030 (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00000001adc171d8 (__TEXT,__text) non-external -[LAAnalytics storage]
00000001adc171c0 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00000001adc14670 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00000001adc14104 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00000001adc1439c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00000001adc1452c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00000001adc142b4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00000001adc14098 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00000001adc14348 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00000001adc140f4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00000001adc14650 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00000001adc145d0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00000001adc145e0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00000001adc145f0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00000001adc14600 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00000001adc145c0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00000001adc1438c (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00000001adc145a0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00000001adc13b70 (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00000001adc140fc (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00000001adc14660 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00000001adc1437c (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00000001adc13a98 (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00000001adc14620 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00000001adc14630 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00000001adc14640 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00000001adc14610 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00000001adc14590 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00000001adc1455c (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00000001adc145b0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00000001adc14090 (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00000001adc12b1c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00000001adc12b0c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00000001adc12320 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00000001adc39208 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00000001adc126b8 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00000001adc12834 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00000001adc12104 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00000001adc128e4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00000001adc12afc (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00000001adc12160 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00000001adc391a4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00000001adc1245c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00000001adc125ec (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00000001adc12aec (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00000001adc126b0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00000001adc12624 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00000001adc16bc0 (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00000001adc33c24 (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00000001adc33b90 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00000001adc33bb8 (__TEXT,__text) non-external -[LASIORemoteCall command]
00000001adc339fc (__TEXT,__text) non-external -[LASIORemoteCall init]
00000001adc33c18 (__TEXT,__text) non-external -[LASIORemoteCall payload]
00000001adc33bdc (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00000001adc33a84 (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00000001adc33bf0 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00000001adc33c04 (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00000001adc33ba4 (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00000001adc33b9c (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00000001adc33bc0 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00000001adc33be8 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00000001adc33bfc (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00000001adc33c10 (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00000001adc33bb0 (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00000001adc33bd4 (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00000001adc33bc8 (__TEXT,__text) non-external -[LASIORemoteCall version]
00000001adc37dac (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00000001adc37d74 (__TEXT,__text) non-external -[LASecureIO delegate]
00000001adc37b9c (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00000001adc38c08 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00000001adc37980 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00000001adc38a9c (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00000001adc38b18 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00000001adc38b90 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00000001adc37d64 (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00000001adc3787c (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00000001adc38930 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00000001adc389ac (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00000001adc38a24 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00000001adc37054 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00000001adc3841c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00000001adc38494 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00000001adc3850c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00000001adc38584 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00000001adc385fc (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00000001adc36488 (__TEXT,__text) non-external -[LASecureIO init]
00000001adc37290 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00000001adc38668 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00000001adc386e0 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00000001adc36e24 (__TEXT,__text) non-external -[LASecureIO postNotification:]
