00007ffa1f051ef1 (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1f048475 (__TEXT,__text) external _glCullFace
00007ffa1f04b84c (__TEXT,__text) external _glDeleteBuffers
00007ffa1f04fe17 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa1f05196d (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa1f04c758 (__TEXT,__text) external _glDeleteFramebuffers
00007ffa1f050d68 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa1f048491 (__TEXT,__text) external _glDeleteLists
00007ffa1f05064f (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa1f04ff61 (__TEXT,__text) external _glDeleteObjectARB
00007ffa1f04c024 (__TEXT,__text) external _glDeleteProgram
00007ffa1f04e124 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa1f04eba9 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa1f04b753 (__TEXT,__text) external _glDeleteQueries
00007ffa1f04fd1e (__TEXT,__text) external _glDeleteQueriesARB
00007ffa1f04c69a (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa1f050caa (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa1f04d659 (__TEXT,__text) external _glDeleteSamplers
00007ffa1f04bf03 (__TEXT,__text) external _glDeleteShader
00007ffa1f04d43d (__TEXT,__text) external _glDeleteSync
00007ffa1f0484af (__TEXT,__text) external _glDeleteTextures
00007ffa1f04ddd6 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa1f04c99d (__TEXT,__text) external _glDeleteVertexArrays
00007ffa1f051ab0 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa1f0507f6 (__TEXT,__text) external _glDepthBoundsEXT
00007ffa1f0484ce (__TEXT,__text) external _glDepthFunc
00007ffa1f0484ea (__TEXT,__text) external _glDepthMask
00007ffa1f048506 (__TEXT,__text) external _glDepthRange
00007ffa1f04eb09 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa1f04eb2b (__TEXT,__text) external _glDepthRangeIndexed
00007ffa1f04e005 (__TEXT,__text) external _glDepthRangef
00007ffa1f04ff9a (__TEXT,__text) external _glDetachObjectARB
00007ffa1f04bf22 (__TEXT,__text) external _glDetachShader
00007ffa1f048520 (__TEXT,__text) external _glDisable
00007ffa1f04853c (__TEXT,__text) external _glDisableClientState
00007ffa1f0516c6 (__TEXT,__text) external _glDisableIndexedEXT
00007ffa1f051820 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa1f04be5f (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa1f04f0ad (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa1f04ca80 (__TEXT,__text) external _glDisablei
00007ffa1f048558 (__TEXT,__text) external _glDrawArrays
00007ffa1f04d9a1 (__TEXT,__text) external _glDrawArraysIndirect
00007ffa1f04d29b (__TEXT,__text) external _glDrawArraysInstanced
00007ffa1f05053b (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa1f048579 (__TEXT,__text) external _glDrawBuffer
00007ffa1f04b996 (__TEXT,__text) external _glDrawBuffers
00007ffa1f0504e0 (__TEXT,__text) external _glDrawBuffersARB
00007ffa1f051b29 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa1f048595 (__TEXT,__text) external _glDrawElements
00007ffa1f04d323 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa1f04d9c0 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa1f04d2bf (__TEXT,__text) external _glDrawElementsInstanced
00007ffa1f05055f (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffa1f04d37d (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffa1f0485b9 (__TEXT,__text) external _glDrawPixels
00007ffa1f051b4a (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffa1f04a5cf (__TEXT,__text) external _glDrawRangeElements
00007ffa1f04d34a (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffa1f050b76 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffa1f04de5e (__TEXT,__text) external _glDrawTransformFeedback
00007ffa1f04de7c (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffa1f0485e0 (__TEXT,__text) external _glEdgeFlag
00007ffa1f0485fc (__TEXT,__text) external _glEdgeFlagPointer
00007ffa1f04861b (__TEXT,__text) external _glEdgeFlagv
00007ffa1f051b0a (__TEXT,__text) external _glElementPointerAPPLE
00007ffa1f048638 (__TEXT,__text) external _glEnable
00007ffa1f048654 (__TEXT,__text) external _glEnableClientState
00007ffa1f0516a8 (__TEXT,__text) external _glEnableIndexedEXT
00007ffa1f051802 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffa1f04be43 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffa1f04f091 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffa1f04ca62 (__TEXT,__text) external _glEnablei
00007ffa1f048670 (__TEXT,__text) external _glEnd
00007ffa1f04cbc8 (__TEXT,__text) external _glEndConditionalRender
00007ffa1f051e03 (__TEXT,__text) external _glEndConditionalRenderNV
00007ffa1f048687 (__TEXT,__text) external _glEndList
00007ffa1f04b7ac (__TEXT,__text) external _glEndQuery
00007ffa1f04fd77 (__TEXT,__text) external _glEndQueryARB
00007ffa1f04debe (__TEXT,__text) external _glEndQueryIndexed
00007ffa1f04cad8 (__TEXT,__text) external _glEndTransformFeedback
00007ffa1f05103c (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffa1f04869e (__TEXT,__text) external _glEvalCoord1d
00007ffa1f0486b8 (__TEXT,__text) external _glEvalCoord1dv
00007ffa1f0486d5 (__TEXT,__text) external _glEvalCoord1f
00007ffa1f0486ef (__TEXT,__text) external _glEvalCoord1fv
00007ffa1f04870c (__TEXT,__text) external _glEvalCoord2d
00007ffa1f048726 (__TEXT,__text) external _glEvalCoord2dv
00007ffa1f048743 (__TEXT,__text) external _glEvalCoord2f
00007ffa1f04875d (__TEXT,__text) external _glEvalCoord2fv
00007ffa1f04877a (__TEXT,__text) external _glEvalMesh1
00007ffa1f04879b (__TEXT,__text) external _glEvalMesh2
00007ffa1f0487c2 (__TEXT,__text) external _glEvalPoint1
00007ffa1f0487de (__TEXT,__text) external _glEvalPoint2
00007ffa1f0487fc (__TEXT,__text) external _glFeedbackBuffer
00007ffa1f04d402 (__TEXT,__text) external _glFenceSync
00007ffa1f051e92 (__TEXT,__text) external _glFinalCombinerInputNV
00007ffa1f04881e (__TEXT,__text) external _glFinish
00007ffa1f0519e0 (__TEXT,__text) external _glFinishFenceAPPLE
00007ffa1f051a1a (__TEXT,__text) external _glFinishObjectAPPLE
00007ffa1f051be2 (__TEXT,__text) external _glFinishRenderAPPLE
00007ffa1f048835 (__TEXT,__text) external _glFlush
00007ffa1f04c95e (__TEXT,__text) external _glFlushMappedBufferRange
00007ffa1f051c31 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffa1f051bcb (__TEXT,__text) external _glFlushRenderAPPLE
00007ffa1f051a57 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffa1f04b254 (__TEXT,__text) external _glFogCoordPointer
00007ffa1f050b54 (__TEXT,__text) external _glFogCoordPointerEXT
00007ffa1f04b21d (__TEXT,__text) external _glFogCoordd
00007ffa1f050b1d (__TEXT,__text) external _glFogCoorddEXT
00007ffa1f04b237 (__TEXT,__text) external _glFogCoorddv
00007ffa1f050b37 (__TEXT,__text) external _glFogCoorddvEXT
00007ffa1f04b1e6 (__TEXT,__text) external _glFogCoordf
00007ffa1f050ae6 (__TEXT,__text) external _glFogCoordfEXT
00007ffa1f04b200 (__TEXT,__text) external _glFogCoordfv
00007ffa1f050b00 (__TEXT,__text) external _glFogCoordfvEXT
00007ffa1f04884c (__TEXT,__text) external _glFogf
00007ffa1f048868 (__TEXT,__text) external _glFogfv
00007ffa1f048887 (__TEXT,__text) external _glFogi
00007ffa1f0488a5 (__TEXT,__text) external _glFogiv
00007ffa1f04c834 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffa1f050e44 (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffa1f04d5d3 (__TEXT,__text) external _glFramebufferTexture
00007ffa1f04c7b2 (__TEXT,__text) external _glFramebufferTexture1D
00007ffa1f050dc2 (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffa1f04c7d9 (__TEXT,__text) external _glFramebufferTexture2D
00007ffa1f050de9 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffa1f04c800 (__TEXT,__text) external _glFramebufferTexture3D
00007ffa1f050e10 (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffa1f050f42 (__TEXT,__text) external _glFramebufferTextureEXT
00007ffa1f050f8d (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffa1f04c911 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffa1f050f66 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffa1f0488c4 (__TEXT,__text) external _glFrontFace
00007ffa1f0488e0 (__TEXT,__text) external _glFrustum
00007ffa1f04b86b (__TEXT,__text) external _glGenBuffers
00007ffa1f04fe36 (__TEXT,__text) external _glGenBuffersARB
00007ffa1f05194e (__TEXT,__text) external _glGenFencesAPPLE
00007ffa1f04c777 (__TEXT,__text) external _glGenFramebuffers
00007ffa1f050d87 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffa1f0488fa (__TEXT,__text) external _glGenLists
00007ffa1f04e143 (__TEXT,__text) external _glGenProgramPipelines
00007ffa1f04ebc8 (__TEXT,__text) external _glGenProgramsARB
00007ffa1f04b734 (__TEXT,__text) external _glGenQueries
00007ffa1f04fcff (__TEXT,__text) external _glGenQueriesARB
00007ffa1f04c6b9 (__TEXT,__text) external _glGenRenderbuffers
00007ffa1f050cc9 (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffa1f04d63a (__TEXT,__text) external _glGenSamplers
00007ffa1f048916 (__TEXT,__text) external _glGenTextures
00007ffa1f04ddf5 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffa1f04c9bc (__TEXT,__text) external _glGenVertexArrays
00007ffa1f051acf (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffa1f04c87c (__TEXT,__text) external _glGenerateMipmap
00007ffa1f050e8c (__TEXT,__text) external _glGenerateMipmapEXT
00007ffa1f04c4af (__TEXT,__text) external _glGetActiveAttrib
00007ffa1f05048f (__TEXT,__text) external _glGetActiveAttribARB
00007ffa1f04dcdf (__TEXT,__text) external _glGetActiveSubroutineName
00007ffa1f04dcab (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffa1f04dc84 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffa1f04c3e5 (__TEXT,__text) external _glGetActiveUniform
00007ffa1f0503cf (__TEXT,__text) external _glGetActiveUniformARB
00007ffa1f04d253 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffa1f04d22f (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffa1f04d1e9 (__TEXT,__text) external _glGetActiveUniformName
00007ffa1f04d1c1 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffa1f050389 (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffa1f04c354 (__TEXT,__text) external _glGetAttachedShaders
00007ffa1f04c4e2 (__TEXT,__text) external _glGetAttribLocation
00007ffa1f0504c0 (__TEXT,__text) external _glGetAttribLocationARB
00007ffa1f0510ca (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffa1f04ca1e (__TEXT,__text) external _glGetBooleani_v
00007ffa1f048935 (__TEXT,__text) external _glGetBooleanv
00007ffa1f04d5b1 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffa1f04b952 (__TEXT,__text) external _glGetBufferParameteriv
00007ffa1f04ff1d (__TEXT,__text) external _glGetBufferParameterivARB
00007ffa1f04b974 (__TEXT,__text) external _glGetBufferPointerv
00007ffa1f04ff3f (__TEXT,__text) external _glGetBufferPointervARB
00007ffa1f04b8f2 (__TEXT,__text) external _glGetBufferSubData
00007ffa1f04febd (__TEXT,__text) external _glGetBufferSubDataARB
00007ffa1f048954 (__TEXT,__text) external _glGetClipPlane
00007ffa1f04a780 (__TEXT,__text) external _glGetColorTable
00007ffa1f050878 (__TEXT,__text) external _glGetColorTableEXT
00007ffa1f04a7a4 (__TEXT,__text) external _glGetColorTableParameterfv
00007ffa1f05089c (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffa1f04a7c6 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffa1f0508be (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffa1f051e98 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffa1f051e9e (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffa1f051ea4 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffa1f051eaa (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffa1f051ec2 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffa1f04b1a8 (__TEXT,__text) external _glGetCompressedTexImage
00007ffa1f04fab8 (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffa1f04a985 (__TEXT,__text) external _glGetConvolutionFilter
00007ffa1f04a9a9 (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffa1f04a9cb (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffa1f04eb69 (__TEXT,__text) external _glGetDoublei_v
00007ffa1f048973 (__TEXT,__text) external _glGetDoublev
00007ffa1f048992 (__TEXT,__text) external _glGetError
00007ffa1f051eb0 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffa1f051eb6 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffa1f04eb47 (__TEXT,__text) external _glGetFloati_v
00007ffa1f0489a9 (__TEXT,__text) external _glGetFloatv
00007ffa1f04d61b (__TEXT,__text) external _glGetFragDataIndex
00007ffa1f04cf16 (__TEXT,__text) external _glGetFragDataLocation
00007ffa1f051592 (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffa1f04c858 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffa1f050e68 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffa1f04ff7e (__TEXT,__text) external _glGetHandleARB
00007ffa1f04aa5e (__TEXT,__text) external _glGetHistogram
00007ffa1f04aa85 (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa1f04aaa7 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa1f050363 (__TEXT,__text) external _glGetInfoLogARB
00007ffa1f04d58f (__TEXT,__text) external _glGetInteger64i_v
00007ffa1f04d4a0 (__TEXT,__text) external _glGetInteger64v
00007ffa1f0510a8 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa1f04ca40 (__TEXT,__text) external _glGetIntegeri_v
00007ffa1f0489c8 (__TEXT,__text) external _glGetIntegerv
00007ffa1f0506ff (__TEXT,__text) external _glGetInternalformativ
00007ffa1f0489e7 (__TEXT,__text) external _glGetLightfv
00007ffa1f048a09 (__TEXT,__text) external _glGetLightiv
00007ffa1f048a2b (__TEXT,__text) external _glGetMapdv
00007ffa1f048a4d (__TEXT,__text) external _glGetMapfv
00007ffa1f048a6f (__TEXT,__text) external _glGetMapiv
00007ffa1f048a91 (__TEXT,__text) external _glGetMaterialfv
00007ffa1f048ab3 (__TEXT,__text) external _glGetMaterialiv
00007ffa1f04aac9 (__TEXT,__text) external _glGetMinmax
00007ffa1f04aaf0 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa1f04ab12 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa1f04d54f (__TEXT,__text) external _glGetMultisamplefv
00007ffa1f0506b2 (__TEXT,__text) external _glGetNamedStringARB
00007ffa1f0506da (__TEXT,__text) external _glGetNamedStringivARB
00007ffa1f051786 (__TEXT,__text) external _glGetObjectLabelEXT
