                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001d7d1fd28 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018a501548 (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
000000018a506fa8 (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
000000018a503fe0 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
000000018a503da0 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.14
000000018a507230 (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001dc11c6a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001d44898d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001dc11c930 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.259
00000001d4489be8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.330
00000001dc11caf0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.400
00000001d4489b88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001dc11d0a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10.802
00000001dc11d550 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.101
00000001dc11d580 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.104
00000001dc11d5b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.109
00000001dc11ca90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11
00000001dc11cb60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11.394
00000001dc11d5e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.112
00000001dc11d610 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.115
00000001dc11d640 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.118
00000001dc11c990 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12
00000001dc11cd10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.566
00000001dc11ced0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.643
00000001dc11d670 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.124
00000001dc11d6a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.127
00000001dc11d0d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001dc11d6d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.130
00000001dc11d700 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.133
00000001dc11d730 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.136
00000001dc11d760 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.139
00000001dc11c6d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.148
00000001d4489ba8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00000001dc11cd40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15.567
00000001dc11cf00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15.644
00000001dc11c700 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.152
00000001dc11d790 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.153
00000001dc11d7c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.157
00000001d4489e08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001dc11d100 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16.812
00000001dc11d7f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.160
00000001dc11d820 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.163
00000001dc11d850 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.166
00000001dc11cdd0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001dc11d880 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.172
00000001dc11d8b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.176
00000001d44898b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.177
00000001d4489e88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.177.864
00000001dc11cd70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001dc11ce00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18.615
00000001dc11d900 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.182
00000001dc11d930 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.187
00000001dc11d130 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.19
00000001d44898f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001d4489c08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.332
00000001dc11d960 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.200
00000001d4489ea8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.201
00000001dc11d9b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.207
00000001dc11ce30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001dc11cf50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21.630
00000001dc11d160 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001dc11c760 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001dc11d190 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.25
00000001dc11c900 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.255
00000001dc11c790 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001dc11c7c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28
00000001dc11d1c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28.813
00000001d4489ce8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001d4489918 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001d4489c28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.335
00000001d4489c48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.389
00000001dc11cc80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.564
00000001d4489de8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.640
00000001dc11cfe0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.774
00000001d4489958 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001dc11c810 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31
00000001dc11d1f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31.817
00000001d4489b48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.319
00000001d4489bc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.325
00000001dc11c840 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001d4489d08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.33.498
00000001dc11d220 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001dc11c870 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.35
00000001dc11cac0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.379
00000001dc11c8a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001dc11d250 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38.819
00000001d4489938 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001dc11ca00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.337
00000001dc11d040 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.797
00000001dc11d280 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001d4489c88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.422
00000001d4489ca8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.431
00000001d4489cc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.439
00000001dc11d2b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001d4489e50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001dc11d2e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001d4489d28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.504
00000001dc11cc50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.534
00000001dc11d310 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.56
00000001dc11d340 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
00000001dc11ccb0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001dc11cda0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.603
00000001dc11d370 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.62
00000001d4489dc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.636
00000001dc11c8d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.67
00000001dc11d3a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.68
00000001dc11c730 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7
00000001dc11ca30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.362
00000001d4489c68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.403
00000001dc11cea0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.642
00000001dc11d070 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.793
00000001dc11d3d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.72
00000001d4489e28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.720
00000001dc11cf80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.742
00000001dc11d400 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.75
00000001dc11cfb0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.768
00000001dc11d430 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
00000001dc11d010 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.789
00000001d4489b68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00000001dc11ca60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.8.366
00000001dc11d460 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.81
00000001dc11d490 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000001dc11d4c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.88
00000001dc11c960 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001dc11cce0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9.565
00000001dc11d4f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.92
00000001dc11d520 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.97
00000001dc11c7f0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dc11c9e0 (__AUTH_CONST,__const) non-external ___block_literal_global.12
00000001dc11cf30 (__AUTH_CONST,__const) non-external ___block_literal_global.18
00000001dc11d990 (__AUTH_CONST,__const) non-external ___block_literal_global.203
00000001dc11c9c0 (__AUTH_CONST,__const) non-external ___block_literal_global.308
00000001dc11cbf0 (__AUTH_CONST,__const) non-external ___block_literal_global.31
00000001dc11cc10 (__AUTH_CONST,__const) non-external ___block_literal_global.35
00000001dc11cb20 (__AUTH_CONST,__const) non-external ___block_literal_global.387
00000001dc11cb90 (__AUTH_CONST,__const) non-external ___block_literal_global.420
00000001dc11cbb0 (__AUTH_CONST,__const) non-external ___block_literal_global.429
00000001dc11cbd0 (__AUTH_CONST,__const) non-external ___block_literal_global.437
00000001dc11ce80 (__AUTH_CONST,__const) non-external ___block_literal_global.5
00000001dc11cc30 (__AUTH_CONST,__const) non-external ___block_literal_global.502
00000001dc11ce60 (__AUTH_CONST,__const) non-external ___block_literal_global.629
00000001dc11d8e0 (__AUTH_CONST,__const) non-external ___block_literal_global.861
00000001dc11cb40 (__AUTH_CONST,__const) non-external ___block_literal_global.9
000000018a51af9c (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
000000018a5146c4 (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
000000018a513ce8 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
000000018a5189b8 (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
000000018a51ad44 (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
000000018a50cf74 (__TEXT,__text) non-external ___container_copy_info_block_invoke
000000018a5176a4 (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
000000018a50d6b8 (__TEXT,__text) non-external ___container_copy_object_block_invoke
000000018a50cc60 (__TEXT,__text) non-external ___container_copy_path_block_invoke
000000018a51a598 (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
000000018a50d540 (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
000000018a51b2b0 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
000000018a51bac0 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
000000018a5158d8 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
000000018a515a28 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
000000018a515cfc (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
000000018a5148bc (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
000000018a514a44 (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
000000018a51322c (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
000000018a513380 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
000000018a513508 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
000000018a514ffc (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
000000018a519c4c (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
000000018a519de4 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
000000018a5186fc (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
000000018a518510 (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
000000018a517204 (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
000000018a51707c (__TEXT,__text) non-external ___container_delete_block_invoke
000000018a519f3c (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
000000018a516d70 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
000000018a5181d4 (__TEXT,__text) non-external ___container_disk_usage_block_invoke
000000018a51a7d4 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
000000018a51a9e4 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
000000018a4fbc2c (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
000000018a516244 (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
000000018a515fbc (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
000000018a5079b8 (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
000000018a518c18 (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
000000018a507fec (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
000000018a50f580 (__TEXT,__text) non-external ___container_object_separate_from_query
000000018a502bd4 (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
000000018a502268 (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
000000018a502044 (__TEXT,__text) non-external ___container_operation_delete_block_invoke
000000018a5027e0 (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
000000018a4fe240 (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
000000018a4fe4c0 (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
000000018a4fe5fc (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
000000018a4fe380 (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
000000018a4fe790 (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
000000018a500878 (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
000000018a5016e8 (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
000000018a50104c (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
000000018a4ff3d0 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
000000018a4ffecc (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
000000018a500418 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
000000018a5000dc (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
000000018a500190 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
000000018a511f8c (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
000000018a519114 (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
000000018a51936c (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
000000018a51ab58 (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
000000018a507dc4 (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
000000018a517f4c (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
000000018a5130d4 (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
000000018a512864 (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
000000018a512c14 (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
000000018a50c2a8 (__TEXT,__text) non-external ___container_query_copy_block_invoke
000000018a50add4 (__TEXT,__text) non-external ___container_query_count_results_block_invoke
000000018a50ba00 (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
000000018a50b7b4 (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
000000018a50bce4 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
000000018a50c038 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
000000018a50c070 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.13
000000018a517964 (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
000000018a504d64 (__TEXT,__text) non-external ___container_references_add_block_invoke
000000018a5065cc (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
000000018a505a1c (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
000000018a504b04 (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
000000018a505840 (__TEXT,__text) non-external ___container_references_remove_block_invoke
000000018a50430c (__TEXT,__text) non-external ___container_references_set_class_block_invoke
000000018a50486c (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
000000018a5046ec (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
000000018a517bb4 (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
000000018a51bc28 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
000000018a51641c (__TEXT,__text) non-external ___container_replace_block_invoke
000000018a4fc500 (__TEXT,__text) non-external ___container_retry_test_block_invoke
000000018a5092dc (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
000000018a516b24 (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
000000018a518dd0 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
000000018a518f80 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
000000018a5173d8 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
000000018a4fc6e0 (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
000000018a5194fc (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
000000018a510858 (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
000000018a51a1c0 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
000000018a514e04 (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
000000018a514c0c (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
000000018a51979c (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
000000018a519ab0 (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
000000018a503814 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
000000018a50400c (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
000000018a4fa5c0 (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
000000018a5067e4 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
000000018a5070c8 (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00000001d4489e48 (__DATA_CONST,__const) non-external ___containermanager_what
000000018a5005c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
000000018a50061c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
000000018a500130 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r48r
000000018a4ffe5c (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
000000018a4fbccc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
000000018a4fa690 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
000000018a5014e8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
000000018a5005bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
000000018a5005d8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
000000018a5000e0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r48r
000000018a4ffe00 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
000000018a4fbcc0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
000000018a4fa64c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
000000018a501498 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00000001d66f2e38 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00000001d66f2e40 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00000001d66f2e30 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
000000018a506bdc (__TEXT,__text) non-external __block_invoke
000000018a513dc0 (__TEXT,__text) non-external __common_bundle_lookup
000000018a519154 (__TEXT,__text) non-external __common_perform_data_migration
000000018a5197e8 (__TEXT,__text) non-external __common_user_managed_assets_path
000000018a504db0 (__TEXT,__text) non-external __container_add_remove
000000018a5168c4 (__TEXT,__text) non-external __container_async_reclaim_disk_space
00000001d66f2e80 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00000001d66f2e78 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
000000018a50fb68 (__TEXT,__text) non-external __container_base64_decode
000000018a507798 (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
000000018a507830 (__TEXT,__text) external __container_init
000000018a5135fc (__TEXT,__text) non-external __container_legacy_lookup
000000018a515198 (__TEXT,__text) non-external __container_legacy_lookup_multiple
000000018a508e3c (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00000001d66f2cac (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00000001d66f2ca0 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00000001d66f2ca8 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00000001d66f2b1c (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00000001d66f2cb0 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00000001d4489a68 (__DATA_CONST,__const) non-external __container_paths_definition_from_type.definitions
00000001d4489978 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00000001d44899f0 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
000000018a501364 (__TEXT,__text) non-external __container_paths_in_reverse_order_from_type_do
000000018a50066c (__TEXT,__text) non-external __container_paths_passthru_dispatch_async
000000018a5129d0 (__TEXT,__text) non-external __container_pwd
000000018a50ae0c (__TEXT,__text) non-external __container_query_execute
000000018a50c118 (__TEXT,__text) external __container_query_get_servicing_pid
000000018a50a11c (__TEXT,__text) non-external __container_query_log_if_error
000000018a50a238 (__TEXT,__text) non-external __container_query_replace_error
000000018a50a0c8 (__TEXT,__text) non-external __container_query_set_usage_error
