00007ff8400abe48 (__DATA,__bss) non-external _GlobalMajor
00007ff800b36464 (__TEXT,__text) external ___atomic_store
00007ff800b369a8 (__TEXT,__text) external ___atomic_store_1
00007ff800b369ba (__TEXT,__text) external ___atomic_store_2
00007ff800b369cc (__TEXT,__text) external ___atomic_store_4
00007ff800b369dc (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff800b37410 (__TEXT,__text) external ___clzdi2
00007ff800b37440 (__TEXT,__text) external ___clzsi2
00007ff800b374b0 (__TEXT,__text) external ___clzti2
00007ff800b374ce (__TEXT,__text) external ___cmpdi2
00007ff800b374fa (__TEXT,__text) external ___cmpti2
00007ff800b3956c (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff800b3751b (__TEXT,__text) external ___ctzdi2
00007ff800b37539 (__TEXT,__text) external ___ctzsi2
00007ff800b3759d (__TEXT,__text) external ___ctzti2
00007ff800b375b8 (__TEXT,__text) external ___divdc3
00007ff800b37bec (__TEXT,__text) external ___divdi3
00007ff800b37c27 (__TEXT,__text) external ___divsc3
00007ff800b381d7 (__TEXT,__text) external ___divti3
00007ff800b38227 (__TEXT,__text) external ___divxc3
00007ff800b386f3 (__TEXT,__text) external ___extendhfsf2
00007ff800b38761 (__TEXT,__text) external ___ffsdi2
00007ff800b3877b (__TEXT,__text) external ___ffsti2
00007ff800b38797 (__TEXT,__text) external ___fixdfdi
00007ff800b387b8 (__TEXT,__text) external ___fixdfti
00007ff800b3886d (__TEXT,__text) external ___fixsfdi
00007ff800b3888b (__TEXT,__text) external ___fixsfti
00007ff800b3892d (__TEXT,__text) external ___fixunsdfdi
00007ff800b38970 (__TEXT,__text) external ___fixunsdfsi
00007ff800b389c5 (__TEXT,__text) external ___fixunsdfti
00007ff800b38a48 (__TEXT,__text) external ___fixunssfdi
00007ff800b38a8d (__TEXT,__text) external ___fixunssfsi
00007ff800b38ae3 (__TEXT,__text) external ___fixunssfti
00007ff800b38b5c (__TEXT,__text) external ___fixunsxfdi
00007ff800b38bec (__TEXT,__text) external ___fixunsxfsi
00007ff800b38c78 (__TEXT,__text) external ___fixunsxfti
00007ff800b38d41 (__TEXT,__text) external ___fixxfdi
00007ff800b38dec (__TEXT,__text) external ___fixxfti
00007ff800b38ee0 (__TEXT,__text) external ___floatdidf
00007ff800b38ee6 (__TEXT,__text) external ___floatdisf
00007ff800b38eec (__TEXT,__text) external ___floatdixf
00007ff800b38ef6 (__TEXT,__text) external ___floattidf
00007ff800b3900d (__TEXT,__text) external ___floattisf
00007ff800b390f8 (__TEXT,__text) external ___floattixf
00007ff800b39228 (__TEXT,__text) external ___floatundidf
00007ff800b39254 (__TEXT,__text) external ___floatundisf
00007ff800b39280 (__TEXT,__text) external ___floatundixf
00007ff800b39296 (__TEXT,__text) external ___floatuntidf
00007ff800b3939e (__TEXT,__text) external ___floatuntisf
00007ff800b39466 (__TEXT,__text) external ___floatuntixf
00007ff800b3aad8 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff800b3875c (__TEXT,__text) external ___gnu_h2f_ieee
00007ff800b36000 (__TEXT,__text) external ___isPlatformVersionAtLeast
00007ff800b3af18 (__TEXT,__text) non-external ___isPlatformVersionAtLeast.cold.1
00007ff800b39584 (__TEXT,__text) external ___lshrdi3
00007ff800b395b2 (__TEXT,__text) external ___lshrti3
00007ff800b395da (__TEXT,__text) external ___moddi3
00007ff800b39632 (__TEXT,__text) external ___modti3
00007ff800b396a1 (__TEXT,__text) external ___muldc3
00007ff800b39861 (__TEXT,__text) external ___muldi3
00007ff800b398e6 (__TEXT,__text) external ___mulodi4
00007ff800b3997d (__TEXT,__text) external ___mulosi4
00007ff800b399f6 (__TEXT,__text) external ___muloti4
00007ff800b39b02 (__TEXT,__text) external ___mulsc3
00007ff800b39ca1 (__TEXT,__text) external ___multi3
00007ff800b39d00 (__TEXT,__text) external ___mulvdi3
00007ff800b39e08 (__TEXT,__text) external ___mulvsi3
00007ff800b39ee6 (__TEXT,__text) external ___mulvti3
00007ff800b3a06d (__TEXT,__text) external ___mulxc3
00007ff800b3a4a6 (__TEXT,__text) external ___negdi2
00007ff800b3a4ad (__TEXT,__text) external ___negti2
00007ff800b3a4b9 (__TEXT,__text) external ___negvdi2
00007ff800b3a4db (__TEXT,__text) external ___negvsi2
00007ff800b3a4fb (__TEXT,__text) external ___negvti2
00007ff800b3a52d (__TEXT,__text) external ___paritydi2
00007ff800b3a55c (__TEXT,__text) external ___paritysi2
00007ff800b3a582 (__TEXT,__text) external ___parityti2
00007ff800b3a5b4 (__TEXT,__text) external ___popcountdi2
00007ff800b3a616 (__TEXT,__text) external ___popcountsi2
00007ff800b3a64f (__TEXT,__text) external ___popcountti2
00007ff800b3a6dd (__TEXT,__text) external ___powidf2
00007ff800b3a731 (__TEXT,__text) external ___powisf2
00007ff800b3a782 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff800b3a7e0 (__TEXT,__text) external ___subvdi3
00007ff800b3a828 (__TEXT,__text) external ___subvsi3
00007ff800b3a86b (__TEXT,__text) external ___subvti3
00007ff800b3a8bf (__TEXT,__text) external ___truncdfhf2
00007ff800b3a9ec (__TEXT,__text) external ___truncsfhf2
00007ff800b3aadd (__TEXT,__text) external ___ucmpdi2
00007ff800b3ab0c (__TEXT,__text) external ___ucmpti2
00007ff800b3ab2d (__TEXT,__text) external ___udivdi3
00007ff800b3aba7 (__TEXT,__text) external ___udivmoddi4
00007ff800b3adb7 (__TEXT,__text) external ___udivmodti4
00007ff800b3ae77 (__TEXT,__text) external ___udivti3
00007ff800b3ae7f (__TEXT,__text) external ___umoddi3
00007ff800b3aef5 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
                 (undefined) external __os_once (from libsystem_platform)
00007ff800b37360 (__TEXT,__text) external _atomic_flag_clear
00007ff800b37365 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff800b37378 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff800b37380 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff800b373b4 (__TEXT,__text) external _atomic_signal_fence
00007ff800b373e0 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff800b36067 (__TEXT,__text) non-external _initializeAvailabilityCheck
00007ff8400abe60 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
                 (undefined) external _scalbnl (from libsystem_m)
                 (undefined) external _sscanf (from libsystem_c)
                 (undefined) external _uname (from libsystem_c)
00007ff800b3baa0 (__TEXT,__const) non-external two
00007ff800b3ba70 (__TEXT,__const) non-external twop52
00007ff800b3bab0 (__TEXT,__const) non-external twop64
00007ff800b3ba90 (__TEXT,__const) non-external twop84
00007ff800b3ba80 (__TEXT,__const) non-external twop84_plus_twop52
