00000001acba5258 (__TEXT,__text) non-external +[Caller current]
00000001acbaf844 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:]
00000001acbb02fc (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:].cold.1
00000001acbb09fc (__TEXT,__text) non-external +[LASecureIODisplay displayWidth]
00000001acbb0afc (__TEXT,__text) non-external +[LASecureIODisplay display]
00000001acbb0948 (__TEXT,__text) non-external +[LASecureIODisplay hasPhysicalESCKey]
00000001acbb0854 (__TEXT,__text) non-external +[LASecureIODisplay isDFRSupported]
00000001acb9f798 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00000001acbc6c58 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00000001acbc6788 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00000001acbc675c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00000001acbc66f0 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00000001acbc6714 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00000001acbc6738 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00000001acbb20cc (__TEXT,__text) non-external +[LASecureIOScene scene]
00000001acbb20f4 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:]
00000001acbb2568 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:].cold.1
00000001acbb8838 (__TEXT,__text) non-external +[LASecureIOServer getBootArgs]
00000001acbb862c (__TEXT,__text) non-external +[LASecureIOServer ignoreSceneDescriptionsSignature]
00000001acbb8620 (__TEXT,__text) non-external +[LASecureIOServer ignoreWarsawInstructionSignature]
00000001acbb8638 (__TEXT,__text) non-external +[LASecureIOServer isBootArgSet:]
00000001acbb8614 (__TEXT,__text) non-external +[LASecureIOServer isTestingEnabled]
00000001acbb291c (__TEXT,__text) non-external +[LASecureIOServer server]
00000001acbb0338 (__TEXT,__text) non-external +[LASecureIOUtils dataFromHexString:]
00000001acbb0570 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:]
00000001acbb0770 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:].cold.1
00000001acbb0438 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:]
00000001acbb0684 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:].cold.1
00000001acb9c988 (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00000001acb9cc7c (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00000001acbc68c8 (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00000001acba2ab0 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00000001acbc6fac (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00000001acba0ee4 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00000001acbc6d54 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00000001acba3a98 (__TEXT,__text) non-external +[Request current]
00000001acba3a20 (__TEXT,__text) non-external +[Request localRequest]
00000001acba38fc (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00000001acbc7060 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00000001acbc7074 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00000001acba5990 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00000001acbc7184 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00000001acb9e3b8 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00000001acbc6a40 (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00000001acb9bf1c (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00000001acba332c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00000001acba3428 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00000001acba336c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
00000001acba5908 (__TEXT,__text) non-external -[Caller .cxx_destruct]
00000001acba58c4 (__TEXT,__text) non-external -[Caller asid]
00000001acba5650 (__TEXT,__text) non-external -[Caller auditTokenData]
00000001acba58cc (__TEXT,__text) non-external -[Caller auditToken]
00000001acba5300 (__TEXT,__text) non-external -[Caller clientInfo]
00000001acba58dc (__TEXT,__text) non-external -[Caller connection]
00000001acba55ac (__TEXT,__text) non-external -[Caller description]
00000001acba58bc (__TEXT,__text) non-external -[Caller euid]
00000001acba5748 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00000001acba542c (__TEXT,__text) non-external -[Caller hash]
00000001acba5188 (__TEXT,__text) non-external -[Caller initWithConnection:]
00000001acba5370 (__TEXT,__text) non-external -[Caller isEqual:]
00000001acba546c (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00000001acba54c0 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00000001acbc712c (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00000001acbc7140 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00000001acba56d0 (__TEXT,__text) non-external -[Caller path]
00000001acba58b4 (__TEXT,__text) non-external -[Caller pid]
00000001acba5648 (__TEXT,__text) non-external -[Caller processId]
00000001acba5740 (__TEXT,__text) non-external -[Caller userId]
00000001acba6c8c (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00000001acba3114 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00000001acba3034 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00000001acba2e04 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00000001acbc6fc0 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00000001acbc6fe8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00000001acba308c (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00000001acba3104 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00000001acba50dc (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00000001acba5074 (__TEXT,__text) non-external -[DomainStateRequest client]
00000001acba50bc (__TEXT,__text) non-external -[DomainStateRequest contextID]
00000001acba4ea8 (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:]
00000001acba50cc (__TEXT,__text) non-external -[DomainStateRequest options]
00000001acba50a8 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00000001acba4fb8 (__TEXT,__text) non-external -[DomainStateRequest userID]
00000001acba4b40 (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00000001acba49a0 (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00000001acba497c (__TEXT,__text) non-external -[EvaluationRequest acl]
00000001acba48f4 (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00000001acba4af8 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00000001acba49e8 (__TEXT,__text) non-external -[EvaluationRequest client]
00000001acba4938 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00000001acba4a98 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00000001acba4ab8 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00000001acba4a30 (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00000001acba4144 (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00000001acba4138 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00000001acba3f3c (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00000001acba412c (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00000001acba3da0 (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00000001acba4918 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00000001acba47b4 (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00000001acba4808 (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00000001acba485c (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00000001acba4840 (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00000001acba4824 (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00000001acba4894 (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00000001acba49c4 (__TEXT,__text) non-external -[EvaluationRequest options]
00000001acba4b1c (__TEXT,__text) non-external -[EvaluationRequest payload]
00000001acba495c (__TEXT,__text) non-external -[EvaluationRequest policy]
00000001acba4a54 (__TEXT,__text) non-external -[EvaluationRequest purpose]
00000001acba4a74 (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00000001acba4ad8 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00000001acba498c (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00000001acba49b0 (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00000001acba4b08 (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00000001acba4904 (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00000001acba4a1c (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00000001acba4948 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00000001acba4aa8 (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00000001acba4ac8 (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00000001acba4a40 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00000001acba4928 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00000001acba49d4 (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00000001acba4b2c (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00000001acba496c (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00000001acba4a64 (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00000001acba4a84 (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00000001acba4ae8 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00000001acba4460 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00000001acba41c0 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00000001acba4738 (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00000001acba2844 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00000001acba29d0 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00000001acba2958 (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00000001acba28f0 (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00000001acba0e60 (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00000001acba0a7c (__TEXT,__text) non-external -[LAAnalytics _collect]
00000001acbc6d2c (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00000001acba0e18 (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00000001acba0c74 (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00000001acba0a0c (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00000001acba0e08 (__TEXT,__text) non-external -[LAAnalytics eventName]
00000001acba0990 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00000001acba0c94 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00000001acba0c88 (__TEXT,__text) non-external -[LAAnalytics logLevel]
00000001acba0c9c (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00000001acba0d38 (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00000001acba0e20 (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00000001acba0e54 (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00000001acba0c80 (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00000001acba0e28 (__TEXT,__text) non-external -[LAAnalytics storage]
00000001acba0e10 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00000001acb9e3a8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00000001acb9de3c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00000001acb9e0d4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00000001acb9e264 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00000001acb9dfec (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00000001acb9ddd0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00000001acb9e080 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00000001acb9de2c (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00000001acb9e388 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00000001acb9e308 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00000001acb9e318 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00000001acb9e328 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00000001acb9e338 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00000001acb9e2f8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00000001acb9e0c4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00000001acb9e2d8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00000001acb9d8a8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00000001acb9de34 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00000001acb9e398 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00000001acb9e0b4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00000001acb9d7d0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00000001acb9e358 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00000001acb9e368 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00000001acb9e378 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00000001acb9e348 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00000001acb9e2c8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00000001acb9e294 (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00000001acb9e2e8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00000001acb9ddc8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00000001acb9c8f0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00000001acb9c8e0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00000001acb9c260 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00000001acbc683c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00000001acb9c4a0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00000001acb9c61c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00000001acb9c058 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00000001acb9c6cc (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00000001acb9c8d0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00000001acb9c0b4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00000001acbc67b0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00000001acb9c39c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00000001acb9c3d4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00000001acb9c8c0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00000001acb9c498 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00000001acb9c40c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00000001acba083c (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00000001acbc027c (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00000001acbc01e8 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00000001acbc0210 (__TEXT,__text) non-external -[LASIORemoteCall command]
00000001acbc0054 (__TEXT,__text) non-external -[LASIORemoteCall init]
00000001acbc0270 (__TEXT,__text) non-external -[LASIORemoteCall payload]
00000001acbc0234 (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00000001acbc00dc (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00000001acbc0248 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00000001acbc025c (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00000001acbc01fc (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00000001acbc01f4 (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00000001acbc0218 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00000001acbc0240 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00000001acbc0254 (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00000001acbc0268 (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00000001acbc0208 (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00000001acbc022c (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00000001acbc0220 (__TEXT,__text) non-external -[LASIORemoteCall version]
00000001acbc4ae8 (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00000001acbc4ab0 (__TEXT,__text) non-external -[LASecureIO delegate]
00000001acbc48f0 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00000001acbc6200 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00000001acbc46d4 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00000001acbc5f98 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00000001acbc6068 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00000001acbc6134 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00000001acbc4aa0 (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00000001acbc45d0 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00000001acbc5d30 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00000001acbc5e00 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00000001acbc5ecc (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00000001acbc3d98 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00000001acbc5474 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00000001acbc5540 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00000001acbc560c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00000001acbc56d8 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00000001acbc57a4 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00000001acbc31d0 (__TEXT,__text) non-external -[LASecureIO init]
00000001acbc3fd8 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00000001acbc584c (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00000001acbc5920 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00000001acbc3b6c (__TEXT,__text) non-external -[LASecureIO postNotification:]
00000001acbc53a0 (__TEXT,__text) non-external -[LASecureIO postNotification:].cold.1
00000001acbc44dc (__TEXT,__text) non-external -[LASecureIO readSceneDescriptionFromFile:]
00000001acbc4adc (__TEXT,__text) non-external -[LASecureIO setDelegate:]
00000001acbc3348 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:]
00000001acbc4b4c (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.1
00000001acbc4c38 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.2
00000001acbc4d14 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.3
00000001acbc4de0 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.4
00000001acbc4eac (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.5
00000001acbc43d8 (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:]
00000001acbc5c5c (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:].cold.1
00000001acbc4134 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:]
