0000000180ebc5e8 (__TEXT,__text) external _APL_dgemm
0000000180d739bc (__TEXT,__text) external _DSYR2
0000000180d70a6c (__TEXT,__text) external _DSYR2K
0000000180d70a6c (__TEXT,__text) external _DSYR2K_
0000000180d739bc (__TEXT,__text) external _DSYR2_
0000000180d70970 (__TEXT,__text) external _DSYRK
0000000180d70970 (__TEXT,__text) external _DSYRK_
0000000180d7392c (__TEXT,__text) external _DSYR_
0000000180d732ec (__TEXT,__text) external _DTBMV
0000000180d732ec (__TEXT,__text) external _DTBMV_
0000000180d7367c (__TEXT,__text) external _DTBSV
0000000180d7367c (__TEXT,__text) external _DTBSV_
0000000180d73428 (__TEXT,__text) external _DTPMV
0000000180d73428 (__TEXT,__text) external _DTPMV_
0000000180d737b8 (__TEXT,__text) external _DTPSV
0000000180d737b8 (__TEXT,__text) external _DTPSV_
0000000180d70670 (__TEXT,__text) external _DTRMM
0000000180d70670 (__TEXT,__text) external _DTRMM_
0000000180d731bc (__TEXT,__text) external _DTRMV
0000000180d731bc (__TEXT,__text) external _DTRMV_
0000000180d707f0 (__TEXT,__text) external _DTRSM
0000000180d707f0 (__TEXT,__text) external _DTRSM_
0000000180d7354c (__TEXT,__text) external _DTRSV
0000000180d7354c (__TEXT,__text) external _DTRSV_
0000000180d75e6c (__TEXT,__text) external _DZASUM
0000000180d75e6c (__TEXT,__text) external _DZASUM_
0000000180d75e78 (__TEXT,__text) external _DZNRM2
0000000180d75e78 (__TEXT,__text) external _DZNRM2_
0000000180db96d4 (__TEXT,__text) external _GetBLASComputeDevice
0000000180d759e4 (__TEXT,__text) external _ICAMAX
0000000180d759e4 (__TEXT,__text) external _ICAMAX_
0000000180d75be4 (__TEXT,__text) external _IDAMAX
0000000180d75be4 (__TEXT,__text) external _IDAMAX_
0000000180d75c30 (__TEXT,__text) external _ISAMAX
0000000180d75c30 (__TEXT,__text) external _ISAMAX_
0000000180d75e84 (__TEXT,__text) external _IZAMAX
0000000180d75e84 (__TEXT,__text) external _IZAMAX_
0000000180d75c6c (__TEXT,__text) external _SASUM
0000000180d75c6c (__TEXT,__text) external _SASUM_
0000000180d75c90 (__TEXT,__text) external _SAXPY
0000000180d75c90 (__TEXT,__text) external _SAXPY_
0000000180d75a20 (__TEXT,__text) external _SCASUM
0000000180d75a20 (__TEXT,__text) external _SCASUM_
0000000180d75a44 (__TEXT,__text) external _SCNRM2
0000000180d75a44 (__TEXT,__text) external _SCNRM2_
0000000180d75ccc (__TEXT,__text) external _SCOPY
0000000180d75ccc (__TEXT,__text) external _SCOPY_
0000000180d75cf4 (__TEXT,__text) external _SDOT
0000000180d75cf4 (__TEXT,__text) external _SDOT_
0000000180d75d1c (__TEXT,__text) external _SDSDOT
0000000180d75d1c (__TEXT,__text) external _SDSDOT_
0000000180d72198 (__TEXT,__text) external _SGBMV
0000000180d72198 (__TEXT,__text) external _SGBMV_
0000000180d6fd2c (__TEXT,__text) external _SGEMM
0000000180d6fd2c (__TEXT,__text) external _SGEMM_
0000000180d720d4 (__TEXT,__text) external _SGEMV
0000000180d720d4 (__TEXT,__text) external _SGEMV_
0000000180d72b8c (__TEXT,__text) external _SGER
0000000180d72b8c (__TEXT,__text) external _SGER_
0000000180d75d58 (__TEXT,__text) external _SNRM2
0000000180d75d58 (__TEXT,__text) external _SNRM2_
0000000180d75d7c (__TEXT,__text) external _SROT
0000000180d75dac (__TEXT,__text) external _SROTG
0000000180d75dac (__TEXT,__text) external _SROTG_
0000000180d75dc8 (__TEXT,__text) external _SROTM
0000000180d75df0 (__TEXT,__text) external _SROTMG
0000000180d75df0 (__TEXT,__text) external _SROTMG_
0000000180d75dc8 (__TEXT,__text) external _SROTM_
0000000180d75d7c (__TEXT,__text) external _SROT_
0000000180d7231c (__TEXT,__text) external _SSBMV
0000000180d7231c (__TEXT,__text) external _SSBMV_
0000000180d75e14 (__TEXT,__text) external _SSCAL
0000000180d75e14 (__TEXT,__text) external _SSCAL_
0000000180d723cc (__TEXT,__text) external _SSPMV
0000000180d723cc (__TEXT,__text) external _SSPMV_
0000000180d72d08 (__TEXT,__text) external _SSPR
0000000180d72d94 (__TEXT,__text) external _SSPR2
0000000180d72d94 (__TEXT,__text) external _SSPR2_
0000000180d72d08 (__TEXT,__text) external _SSPR_
0000000180d75e44 (__TEXT,__text) external _SSWAP
0000000180d75e44 (__TEXT,__text) external _SSWAP_
0000000180d6fe58 (__TEXT,__text) external _SSYMM
0000000180d6fe58 (__TEXT,__text) external _SSYMM_
0000000180d72278 (__TEXT,__text) external _SSYMV
0000000180d72278 (__TEXT,__text) external _SSYMV_
0000000180d72bdc (__TEXT,__text) external _SSYR
0000000180d72c6c (__TEXT,__text) external _SSYR2
0000000180d70348 (__TEXT,__text) external _SSYR2K
0000000180d70348 (__TEXT,__text) external _SSYR2K_
0000000180d72c6c (__TEXT,__text) external _SSYR2_
0000000180d7024c (__TEXT,__text) external _SSYRK
0000000180d7024c (__TEXT,__text) external _SSYRK_
0000000180d72bdc (__TEXT,__text) external _SSYR_
0000000180d7259c (__TEXT,__text) external _STBMV
0000000180d7259c (__TEXT,__text) external _STBMV_
0000000180d7292c (__TEXT,__text) external _STBSV
0000000180d7292c (__TEXT,__text) external _STBSV_
0000000180d726d8 (__TEXT,__text) external _STPMV
0000000180d726d8 (__TEXT,__text) external _STPMV_
0000000180d72a68 (__TEXT,__text) external _STPSV
0000000180d72a68 (__TEXT,__text) external _STPSV_
0000000180d6ff4c (__TEXT,__text) external _STRMM
0000000180d6ff4c (__TEXT,__text) external _STRMM_
0000000180d7246c (__TEXT,__text) external _STRMV
0000000180d7246c (__TEXT,__text) external _STRMV_
0000000180d700cc (__TEXT,__text) external _STRSM
0000000180d700cc (__TEXT,__text) external _STRSM_
0000000180d727fc (__TEXT,__text) external _STRSV
0000000180d727fc (__TEXT,__text) external _STRSV_
0000000180db9688 (__TEXT,__text) external _SetBLASComputeDevice
00000001810f18a8 (__TEXT,__text) external _SetBLASParamErrorProc
0000000181084708 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK
00000001810aab50 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK$ILP64
00000001810e5f78 (__TEXT,__text) external _XERBLA
00000001810e5f78 (__TEXT,__text) external _XERBLA_
0000000180d75ec0 (__TEXT,__text) external _ZAXPY
0000000180d75ec0 (__TEXT,__text) external _ZAXPY_
0000000180d75ee8 (__TEXT,__text) external _ZCOPY
0000000180d75ee8 (__TEXT,__text) external _ZCOPY_
0000000180d75f10 (__TEXT,__text) external _ZDOTC
0000000180d75f10 (__TEXT,__text) external _ZDOTC_
0000000180d75f38 (__TEXT,__text) external _ZDOTU
0000000180d75f38 (__TEXT,__text) external _ZDOTU_
0000000180d75fa0 (__TEXT,__text) external _ZDROT
0000000180d75fa0 (__TEXT,__text) external _ZDROT_
0000000180d75fd0 (__TEXT,__text) external _ZDSCAL
0000000180d75fd0 (__TEXT,__text) external _ZDSCAL_
0000000180d74ad4 (__TEXT,__text) external _ZGBMV
0000000180d74ad4 (__TEXT,__text) external _ZGBMV_
0000000180d71624 (__TEXT,__text) external _ZGEMM
0000000180d71624 (__TEXT,__text) external _ZGEMM_
0000000180d749f8 (__TEXT,__text) external _ZGEMV
0000000180d749f8 (__TEXT,__text) external _ZGEMV_
0000000180d75544 (__TEXT,__text) external _ZGERC
0000000180d75544 (__TEXT,__text) external _ZGERC_
0000000180d755a8 (__TEXT,__text) external _ZGERU
0000000180d755a8 (__TEXT,__text) external _ZGERU_
0000000180d74c74 (__TEXT,__text) external _ZHBMV
0000000180d74c74 (__TEXT,__text) external _ZHBMV_
0000000180d7176c (__TEXT,__text) external _ZHEMM
0000000180d7176c (__TEXT,__text) external _ZHEMM_
0000000180d74bc4 (__TEXT,__text) external _ZHEMV
0000000180d74bc4 (__TEXT,__text) external _ZHEMV_
0000000180d7560c (__TEXT,__text) external _ZHER
0000000180d7569c (__TEXT,__text) external _ZHER2
0000000180d71e98 (__TEXT,__text) external _ZHER2K
0000000180d71e98 (__TEXT,__text) external _ZHER2K_
0000000180d7569c (__TEXT,__text) external _ZHER2_
0000000180d71c84 (__TEXT,__text) external _ZHERK
0000000180d71c84 (__TEXT,__text) external _ZHERK_
0000000180d7560c (__TEXT,__text) external _ZHER_
0000000180d74d30 (__TEXT,__text) external _ZHPMV
0000000180d74d30 (__TEXT,__text) external _ZHPMV_
0000000180d7574c (__TEXT,__text) external _ZHPR
0000000180d757d8 (__TEXT,__text) external _ZHPR2
0000000180d757d8 (__TEXT,__text) external _ZHPR2_
0000000180d7574c (__TEXT,__text) external _ZHPR_
0000000180d75f60 (__TEXT,__text) external _ZROTG
0000000180d75f60 (__TEXT,__text) external _ZROTG_
0000000180d75f7c (__TEXT,__text) external _ZSCAL
0000000180d75f7c (__TEXT,__text) external _ZSCAL_
0000000180d76000 (__TEXT,__text) external _ZSWAP
0000000180d76000 (__TEXT,__text) external _ZSWAP_
0000000180d71868 (__TEXT,__text) external _ZSYMM
0000000180d71868 (__TEXT,__text) external _ZSYMM_
0000000180d71fb8 (__TEXT,__text) external _ZSYR2K
0000000180d71fb8 (__TEXT,__text) external _ZSYR2K_
0000000180d71d8c (__TEXT,__text) external _ZSYRK
0000000180d71d8c (__TEXT,__text) external _ZSYRK_
0000000180d74f18 (__TEXT,__text) external _ZTBMV
0000000180d74f18 (__TEXT,__text) external _ZTBMV_
0000000180d752cc (__TEXT,__text) external _ZTBSV
0000000180d752cc (__TEXT,__text) external _ZTBSV_
0000000180d75060 (__TEXT,__text) external _ZTPMV
0000000180d75060 (__TEXT,__text) external _ZTPMV_
0000000180d75414 (__TEXT,__text) external _ZTPSV
0000000180d75414 (__TEXT,__text) external _ZTPSV_
0000000180d71964 (__TEXT,__text) external _ZTRMM
0000000180d71964 (__TEXT,__text) external _ZTRMM_
0000000180d74ddc (__TEXT,__text) external _ZTRMV
0000000180d74ddc (__TEXT,__text) external _ZTRMV_
0000000180d71af4 (__TEXT,__text) external _ZTRSM
0000000180d71af4 (__TEXT,__text) external _ZTRSM_
0000000180d75190 (__TEXT,__text) external _ZTRSV
0000000180d75190 (__TEXT,__text) external _ZTRSV_
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) weak external __ZdaPv (from libc++)
                 (undefined) weak external __Znam (from libc++)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) external __tlv_bootstrap (from libSystem)
                 (undefined) external _abort_report_np (from libSystem)
00000001810d280c (__TEXT,__text) external _appleblas_dgeadd
00000001810686b0 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK
000000018108f0e8 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK$ILP64
00000001810dcb4c (__TEXT,__text) external _appleblas_sgeadd
000000018107074c (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK
0000000181096c78 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK$ILP64
                 (undefined) external _bzero (from libSystem)
00000001810e7638 (__TEXT,__text) external _catlas_caxpby
000000018107ac10 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK
00000001810a10e4 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK$ILP64
00000001810e7f10 (__TEXT,__text) external _catlas_cset
000000018107b4e8 (__TEXT,__text) external _catlas_cset$NEWLAPACK
00000001810a1954 (__TEXT,__text) external _catlas_cset$NEWLAPACK$ILP64
00000001810ad870 (__TEXT,__text) external _catlas_daxpby
0000000180f1b910 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK
0000000181055bf8 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK$ILP64
00000001810ad95c (__TEXT,__text) external _catlas_dset
0000000180f1ba30 (__TEXT,__text) external _catlas_dset$NEWLAPACK
0000000181055ce8 (__TEXT,__text) external _catlas_dset$NEWLAPACK$ILP64
00000001810ab604 (__TEXT,__text) external _catlas_saxpby
0000000180d84258 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK
0000000181050a24 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK$ILP64
00000001810ab724 (__TEXT,__text) external _catlas_sset
0000000180d84378 (__TEXT,__text) external _catlas_sset$NEWLAPACK
0000000181050b14 (__TEXT,__text) external _catlas_sset$NEWLAPACK$ILP64
00000001810e8658 (__TEXT,__text) external _catlas_zaxpby
000000018107bc30 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK
00000001810a2030 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK$ILP64
00000001810e9430 (__TEXT,__text) external _catlas_zset
000000018107c834 (__TEXT,__text) external _catlas_zset$NEWLAPACK
00000001810a2bb8 (__TEXT,__text) external _catlas_zset$NEWLAPACK$ILP64
0000000180fdf1b8 (__TEXT,__text) external _caxpby$NEWLAPACK
0000000181058af4 (__TEXT,__text) external _caxpby$NEWLAPACK$ILP64
0000000180d7587c (__TEXT,__text) external _caxpy
0000000180fdf150 (__TEXT,__text) external _caxpy$NEWLAPACK
0000000181058a8c (__TEXT,__text) external _caxpy$NEWLAPACK$ILP64
0000000180d7587c (__TEXT,__text) external _caxpy_
00000001810e7898 (__TEXT,__text) external _cblas_caxpy
000000018107ae70 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK
00000001810a132c (__TEXT,__text) external _cblas_caxpy$NEWLAPACK$ILP64
00000001810e79cc (__TEXT,__text) external _cblas_ccopy
000000018107afa4 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK
00000001810a1454 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK$ILP64
00000001810e7abc (__TEXT,__text) external _cblas_cdotc_sub
000000018107b094 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK
00000001810a1540 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK$ILP64
00000001810e7bcc (__TEXT,__text) external _cblas_cdotu_sub
000000018107b1a4 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK
00000001810a1644 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK$ILP64
00000001810c7198 (__TEXT,__text) external _cblas_cgbmv
000000018105d840 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK
000000018108481c (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK$ILP64
00000001810c7968 (__TEXT,__text) external _cblas_cgemm
000000018105e010 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK
0000000181084fc8 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK$ILP64
00000001810c902c (__TEXT,__text) external _cblas_cgemv
000000018105eed0 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK
0000000181085e10 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK$ILP64
00000001810df560 (__TEXT,__text) external _cblas_cgerc
0000000181073090 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK
00000001810994c8 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK$ILP64
00000001810dfc44 (__TEXT,__text) external _cblas_cgeru
0000000181073774 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK
0000000181099ba0 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK$ILP64
00000001810e03b8 (__TEXT,__text) external _cblas_chbmv
0000000181073ee8 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK
000000018109a304 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK$ILP64
00000001810c9ca4 (__TEXT,__text) external _cblas_chemm
000000018105fb48 (__TEXT,__text) external _cblas_chemm$NEWLAPACK
0000000181086ac4 (__TEXT,__text) external _cblas_chemm$NEWLAPACK$ILP64
00000001810e0c78 (__TEXT,__text) external _cblas_chemv
00000001810745f4 (__TEXT,__text) external _cblas_chemv$NEWLAPACK
000000018109aa28 (__TEXT,__text) external _cblas_chemv$NEWLAPACK$ILP64
00000001810e1f4c (__TEXT,__text) external _cblas_cher
00000001810758c8 (__TEXT,__text) external _cblas_cher$NEWLAPACK
000000018109bd04 (__TEXT,__text) external _cblas_cher$NEWLAPACK$ILP64
00000001810e1764 (__TEXT,__text) external _cblas_cher2
00000001810750e0 (__TEXT,__text) external _cblas_cher2$NEWLAPACK
000000018109b53c (__TEXT,__text) external _cblas_cher2$NEWLAPACK$ILP64
00000001810cacec (__TEXT,__text) external _cblas_cher2k
0000000181060b90 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK
0000000181087a9c (__TEXT,__text) external _cblas_cher2k$NEWLAPACK$ILP64
00000001810cc0c8 (__TEXT,__text) external _cblas_cherk
0000000181061f6c (__TEXT,__text) external _cblas_cherk$NEWLAPACK
0000000181088d8c (__TEXT,__text) external _cblas_cherk$NEWLAPACK$ILP64
00000001810e2784 (__TEXT,__text) external _cblas_chpmv
0000000181076100 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK
000000018109c544 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK$ILP64
00000001810e35c4 (__TEXT,__text) external _cblas_chpr
0000000181076f40 (__TEXT,__text) external _cblas_chpr$NEWLAPACK
000000018109d35c (__TEXT,__text) external _cblas_chpr$NEWLAPACK$ILP64
00000001810e2dec (__TEXT,__text) external _cblas_chpr2
0000000181076768 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK
000000018109cbb8 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK$ILP64
00000001810e7cdc (__TEXT,__text) external _cblas_crotg
000000018107b2b4 (__TEXT,__text) external _cblas_crotg$NEWLAPACK
00000001810a1748 (__TEXT,__text) external _cblas_crotg$NEWLAPACK$ILP64
00000001810e7d94 (__TEXT,__text) external _cblas_cscal
000000018107b36c (__TEXT,__text) external _cblas_cscal$NEWLAPACK
00000001810a1800 (__TEXT,__text) external _cblas_cscal$NEWLAPACK$ILP64
00000001810e7f58 (__TEXT,__text) external _cblas_csrot
000000018107b530 (__TEXT,__text) external _cblas_csrot$NEWLAPACK
00000001810a1990 (__TEXT,__text) external _cblas_csrot$NEWLAPACK$ILP64
00000001810e7fe8 (__TEXT,__text) external _cblas_csscal
000000018107b5c0 (__TEXT,__text) external _cblas_csscal$NEWLAPACK
00000001810a1a14 (__TEXT,__text) external _cblas_csscal$NEWLAPACK$ILP64
00000001810e80d0 (__TEXT,__text) external _cblas_cswap
000000018107b6a8 (__TEXT,__text) external _cblas_cswap$NEWLAPACK
00000001810a1af4 (__TEXT,__text) external _cblas_cswap$NEWLAPACK$ILP64
00000001810ccf2c (__TEXT,__text) external _cblas_csymm
0000000181062dd0 (__TEXT,__text) external _cblas_csymm$NEWLAPACK
0000000181089b60 (__TEXT,__text) external _cblas_csymm$NEWLAPACK$ILP64
00000001810cdf84 (__TEXT,__text) external _cblas_csyr2k
0000000181063e28 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK
000000018108ab48 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK$ILP64
00000001810cefdc (__TEXT,__text) external _cblas_csyrk
0000000181064e80 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK
000000018108ba04 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK$ILP64
00000001810e39e8 (__TEXT,__text) external _cblas_ctbmv
0000000181077364 (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK
000000018109d788 (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK$ILP64
00000001810e421c (__TEXT,__text) external _cblas_ctbsv
0000000181077b98 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK
000000018109dfe8 (__TEXT,__text) external _cblas_ctbsv$NEWLAPACK$ILP64
00000001810e4bb0 (__TEXT,__text) external _cblas_ctpmv
000000018107852c (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK
000000018109e9a8 (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK$ILP64
00000001810e5318 (__TEXT,__text) external _cblas_ctpsv
0000000181078c94 (__TEXT,__text) external _cblas_ctpsv$NEWLAPACK
000000018109f120 (__TEXT,__text) external _cblas_ctpsv$NEWLAPACK$ILP64
00000001810cfca0 (__TEXT,__text) external _cblas_ctrmm
0000000181065b44 (__TEXT,__text) external _cblas_ctrmm$NEWLAPACK
