00007ffc13441473 (__TEXT,__text) non-external _Done_iODBC
00007ffc1344ad01 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffc13434c2c (__TEXT,__text) external _SQLColumnPrivileges
00007ffc13434e23 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffc1343501a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffc13434970 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffc134354cd (__TEXT,__text) external _SQLColumns
00007ffc134356c4 (__TEXT,__text) external _SQLColumnsA
00007ffc134358bb (__TEXT,__text) external _SQLColumnsW
00007ffc13435211 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffc134394b2 (__TEXT,__text) external _SQLConnect
00007ffc13439df3 (__TEXT,__text) external _SQLConnectA
00007ffc13439f8a (__TEXT,__text) external _SQLConnectW
00007ffc13439649 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffc1345ee83 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffc13450589 (__TEXT,__text) external _SQLCopyDesc
00007ffc13445e91 (__TEXT,__text) external _SQLDataSources
00007ffc13445fb9 (__TEXT,__text) external _SQLDataSourcesA
00007ffc134460e1 (__TEXT,__text) external _SQLDataSourcesW
00007ffc13445a30 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffc417f4a30 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffc417f4a50 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffc417f4a58 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffc1344a73a (__TEXT,__text) external _SQLDescribeCol
00007ffc1344a927 (__TEXT,__text) external _SQLDescribeColA
00007ffc1344ab14 (__TEXT,__text) external _SQLDescribeColW
00007ffc1344a488 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffc1343e788 (__TEXT,__text) external _SQLDescribeParam
00007ffc1343caed (__TEXT,__text) external _SQLDisconnect
00007ffc1343bb6a (__TEXT,__text) external _SQLDriverConnect
00007ffc1343bd0b (__TEXT,__text) external _SQLDriverConnectA
00007ffc1343beac (__TEXT,__text) external _SQLDriverConnectW
00007ffc1343a121 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffc1345eea6 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffc1345eec9 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffc1344674a (__TEXT,__text) external _SQLDrivers
00007ffc13446872 (__TEXT,__text) external _SQLDriversA
00007ffc1344699a (__TEXT,__text) external _SQLDriversW
00007ffc13446330 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffc417f4a34 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffc417f4a60 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffc417f4a68 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffc1345135c (__TEXT,__text) external _SQLEndTran
00007ffc13441e23 (__TEXT,__text) external _SQLError
00007ffc13441f08 (__TEXT,__text) external _SQLErrorA
00007ffc13441fed (__TEXT,__text) external _SQLErrorW
00007ffc1343dca4 (__TEXT,__text) external _SQLExecDirect
00007ffc1343dde0 (__TEXT,__text) external _SQLExecDirectA
00007ffc1343df1c (__TEXT,__text) external _SQLExecDirectW
00007ffc1343da6c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffc1343d7d0 (__TEXT,__text) external _SQLExecute
00007ffc1343eea6 (__TEXT,__text) external _SQLExtendedFetch
00007ffc1343ec0c (__TEXT,__text) external _SQLFetch
00007ffc13451620 (__TEXT,__text) external _SQLFetchScroll
00007ffc1343ea54 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffc13435e53 (__TEXT,__text) external _SQLForeignKeys
00007ffc13436075 (__TEXT,__text) external _SQLForeignKeysA
00007ffc13436297 (__TEXT,__text) external _SQLForeignKeysW
00007ffc13435ab2 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffc1343fb6b (__TEXT,__text) external _SQLFreeConnect
00007ffc1343facb (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffc134413f3 (__TEXT,__text) external _SQLFreeEnv
00007ffc13441382 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffc1344bb85 (__TEXT,__text) external _SQLFreeHandle
00007ffc13444922 (__TEXT,__text) external _SQLFreeStmt
00007ffc134446f1 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffc1345ba09 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffc1344e7c9 (__TEXT,__text) external _SQLGetConnectAttr
00007ffc1344ecc2 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffc1344ee13 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffc1344e91a (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffc13440a32 (__TEXT,__text) external _SQLGetConnectOption
00007ffc13440b58 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffc13440c7e (__TEXT,__text) external _SQLGetConnectOptionW
00007ffc13449b95 (__TEXT,__text) external _SQLGetCursorName
00007ffc13449cf6 (__TEXT,__text) external _SQLGetCursorNameA
00007ffc13449e57 (__TEXT,__text) external _SQLGetCursorNameW
00007ffc1344995d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffc1343f02f (__TEXT,__text) external _SQLGetData
00007ffc1344f1e6 (__TEXT,__text) external _SQLGetDescField
00007ffc1344f366 (__TEXT,__text) external _SQLGetDescFieldA
00007ffc1344f4e6 (__TEXT,__text) external _SQLGetDescFieldW
00007ffc1344ef64 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffc1344fdf6 (__TEXT,__text) external _SQLGetDescRec
00007ffc1344ffa8 (__TEXT,__text) external _SQLGetDescRecA
00007ffc1345015a (__TEXT,__text) external _SQLGetDescRecW
00007ffc1344fbf9 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffc13443c9c (__TEXT,__text) external _SQLGetDiagField
00007ffc13443d84 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffc13443e6c (__TEXT,__text) external _SQLGetDiagFieldW
00007ffc13442b8d (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffc134428c0 (__TEXT,__text) external _SQLGetDiagRec
00007ffc134429af (__TEXT,__text) external _SQLGetDiagRecA
00007ffc13442a9e (__TEXT,__text) external _SQLGetDiagRecW
00007ffc134420d2 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffc1344c297 (__TEXT,__text) external _SQLGetEnvAttr
00007ffc134476d6 (__TEXT,__text) external _SQLGetFunctions
00007ffc134472d1 (__TEXT,__text) external _SQLGetInfo
00007ffc13447428 (__TEXT,__text) external _SQLGetInfoA
00007ffc1344757f (__TEXT,__text) external _SQLGetInfoW
00007ffc13446be9 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffc1345e891 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffc1345e8ca (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffc1345e314 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffc1345e580 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffc1344cc38 (__TEXT,__text) external _SQLGetStmtAttr
00007ffc1344cdae (__TEXT,__text) external _SQLGetStmtAttrA
00007ffc1344cf24 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffc1344c455 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffc13445144 (__TEXT,__text) external _SQLGetStmtOption
00007ffc13445281 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffc13444f45 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffc13432c38 (__TEXT,__text) external _SQLGetTypeInfo
00007ffc13432d62 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffc13432e8c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffc13432aa0 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffc1343f3da (__TEXT,__text) external _SQLMoreResults
00007ffc1343ced8 (__TEXT,__text) external _SQLNativeSql
00007ffc1343d054 (__TEXT,__text) external _SQLNativeSqlA
00007ffc1343d1d0 (__TEXT,__text) external _SQLNativeSqlW
00007ffc1343cc54 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffc1343e574 (__TEXT,__text) external _SQLNumParams
00007ffc1344a2a4 (__TEXT,__text) external _SQLNumResultCols
00007ffc1343e2e5 (__TEXT,__text) external _SQLParamData
00007ffc13448d09 (__TEXT,__text) external _SQLParamOptions
00007ffc13447f80 (__TEXT,__text) external _SQLPrepare
00007ffc134480bc (__TEXT,__text) external _SQLPrepareA
00007ffc134481f8 (__TEXT,__text) external _SQLPrepareW
00007ffc13447d88 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffc13436717 (__TEXT,__text) external _SQLPrimaryKeys
00007ffc134368e7 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffc13436ab7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffc134364b9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffc13436f43 (__TEXT,__text) external _SQLProcedureColumns
00007ffc1343713a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffc13437331 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffc13436c87 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffc13437786 (__TEXT,__text) external _SQLProcedures
00007ffc13437956 (__TEXT,__text) external _SQLProceduresA
00007ffc13437b26 (__TEXT,__text) external _SQLProceduresW
00007ffc13437528 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffc1343e058 (__TEXT,__text) external _SQLPutData
00007ffc1345b180 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffc1345b2e8 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffc13449fb8 (__TEXT,__text) external _SQLRowCount
00007ffc1345e903 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffc1344e1f7 (__TEXT,__text) external _SQLSetConnectAttr
00007ffc1344e549 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffc1344e689 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffc1344e337 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffc13440293 (__TEXT,__text) external _SQLSetConnectOption
00007ffc134403b9 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffc134404df (__TEXT,__text) external _SQLSetConnectOptionW
00007ffc134484e3 (__TEXT,__text) external _SQLSetCursorName
00007ffc13448625 (__TEXT,__text) external _SQLSetCursorNameA
00007ffc13448767 (__TEXT,__text) external _SQLSetCursorNameW
00007ffc13448334 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffc1344f7fa (__TEXT,__text) external _SQLSetDescField
00007ffc1344f94f (__TEXT,__text) external _SQLSetDescFieldA
00007ffc1344faa4 (__TEXT,__text) external _SQLSetDescFieldW
00007ffc1344f666 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffc1345030c (__TEXT,__text) external _SQLSetDescRec
00007ffc1344c0a7 (__TEXT,__text) external _SQLSetEnvAttr
00007ffc1344c1c4 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffc1345ee2f (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffc1345ee40 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffc13449550 (__TEXT,__text) external _SQLSetParam
00007ffc1343f7ba (__TEXT,__text) external _SQLSetPos
00007ffc13449017 (__TEXT,__text) external _SQLSetScrollOptions
00007ffc1344ddc8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffc1344df2d (__TEXT,__text) external _SQLSetStmtAttrA
00007ffc1344e092 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffc1344d09a (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffc13444a5a (__TEXT,__text) external _SQLSetStmtOption
00007ffc13444e09 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffc13444b96 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffc1343326a (__TEXT,__text) external _SQLSpecialColumns
00007ffc13433457 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffc13433644 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffc13432fb6 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffc13433ac6 (__TEXT,__text) external _SQLStatistics
00007ffc13433cc9 (__TEXT,__text) external _SQLStatisticsA
00007ffc13433ecc (__TEXT,__text) external _SQLStatisticsW
00007ffc13433831 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffc13437f54 (__TEXT,__text) external _SQLTablePrivileges
00007ffc13438124 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffc134382f4 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffc13437cf6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffc1343438b (__TEXT,__text) external _SQLTables
00007ffc13434582 (__TEXT,__text) external _SQLTablesA
00007ffc13434779 (__TEXT,__text) external _SQLTablesW
00007ffc134340cf (__TEXT,__text) non-external _SQLTables_Internal
00007ffc13441099 (__TEXT,__text) external _SQLTransact
00007ffc13440da4 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffc1345baf4 (__TEXT,__text) non-external _SQLValidDSN
00007ffc1345bb53 (__TEXT,__text) non-external _SQLValidDSNW
00007ffc1345af2b (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffc1345afd6 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffc1345ea64 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffc1345ec85 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffc13445e3f (__TEXT,__text) non-external _SectSorter
00007ffc1345ba56 (__TEXT,__text) non-external _ValidDSN
00007ffc1345baa8 (__TEXT,__text) non-external _ValidDSNW
00007ffc1345e95a (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffc1344bf6c (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc1343d5d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc1343d5f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffc1345cc25 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffc417f4aa0 (__DATA,__common) non-external __iodbc_env_counter
00007ffc1345b4d7 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffc13445852 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffc13445920 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffc1343ed29 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffc1344469e (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffc13440605 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffc1344a183 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffc134448ec (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffc1343fc4a (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffc1343872c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffc1343f664 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffc134458d5 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffc134455b9 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffc417f4aa8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffc134459da (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffc13432b9d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffc13432bf0 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffc1345d35d (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffc1345c594 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffc1345cdcb (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffc1345ca54 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffc1345c4ec (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffc13447bba (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffc1345d63c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffc1345ccfa (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffc13447c2d (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffc13447ab0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffc1345c5c5 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffc1345ccd4 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffc1343b881 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffc1345d66e (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffc1345cb1e (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffc13447c79 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffc1345cec9 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffc1345b723 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffc1343b619 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffc13445667 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffc13445763 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffc1343b743 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffc1343d713 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffc1343d75a (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffc1343d673 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffc1343d669 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffc1343d78c (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffc1343899e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffc13439160 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffc134445b5 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffc13440228 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffc13438529 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffc1344147c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffc1343d4e3 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffc1345b7c9 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffc1343d61a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffc417f4a48 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffc1345d84c (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffc1345d78c (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffc1344a42c (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffc1344a3d0 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffc1343d34c (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffc134384d0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffc1345ee60 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffc1343b3bc (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffc1343ba75 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffc13438603 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffc1343b9d3 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffc1344149f (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffc1345b76d (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffc1343d764 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffc13441502 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffc1345b98b (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffc1345b93b (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffc13440e83 (__TEXT,__text) non-external __iodbcdm_transact
00007ffc40294420 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffc402950c0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffc40295170 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffc402944e0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffc40294580 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffc40294c20 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffc40294c60 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffc40294930 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffc40294cb0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffc40294cd0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffc40294cf0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffc402949e0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffc40294d20 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffc40294d40 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffc402943f0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffc40294400 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffc40294900 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffc40294d70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffc40294dc0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffc40294de0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffc40294df0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffc40294e40 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffc40294e60 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffc40294ee0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffc40294ef0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffc40294f20 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffc40294f40 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffc40294fc0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffc40295000 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffc40295010 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffc40295020 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffc40295030 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffc40295050 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffc40295070 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffc40295090 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffc402950a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffc40294fe0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffc40294530 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffc40294a70 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffc40294a20 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffc40294a50 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffc40295200 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffc40295220 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffc402952e0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffc40294a90 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffc40294920 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffc40294ab0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffc402945b0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffc40294680 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffc40295300 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffc402946a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffc402946b0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffc40294ad0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffc40295320 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffc40295340 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffc40294b40 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffc40294b10 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffc40295360 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
