00000001988d20ec (__TEXT,__text) non-external +[CalAlarm alarm]
00000001988d9c20 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00000001988d9cf0 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00000001988d9d50 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00000001988d91ec (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00000001988d91c8 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00000001988db1b0 (__TEXT,__text) non-external +[CalTask task]
00000001988d7cbc (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00000001988d2f94 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00000001988d2f9c (__TEXT,__text) non-external -[CalAlarm acknowledged]
00000001988d2f34 (__TEXT,__text) non-external -[CalAlarm action]
00000001988d7b74 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00000001988d2ddc (__TEXT,__text) non-external -[CalAlarm description]
00000001988d7bd8 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00000001988d2f84 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00000001988d7668 (__TEXT,__text) non-external -[CalAlarm hash]
00000001988d7430 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00000001988d211c (__TEXT,__text) non-external -[CalAlarm init]
00000001988d7670 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00000001988d7c24 (__TEXT,__text) non-external -[CalAlarm relatedToString]
00000001988d7560 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00000001988d2f8c (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00000001988d2188 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00000001988d2400 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00000001988d2184 (__TEXT,__text) non-external -[CalAlarm setAction:]
00000001988d7be0 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00000001988d2410 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00000001988d74d0 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00000001988d7c2c (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00000001988d2190 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00000001988d2408 (__TEXT,__text) non-external -[CalAlarm setSound:]
00000001988d7c78 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00000001988d2418 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00000001988d2f7c (__TEXT,__text) non-external -[CalAlarm sound]
00000001988d75d0 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00000001988d7c70 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00000001988d2f74 (__TEXT,__text) non-external -[CalAlarm url]
00000001988d3abc (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00000001988d3458 (__TEXT,__text) non-external -[CalAttendee address]
00000001988d3460 (__TEXT,__text) non-external -[CalAttendee commonName]
00000001988d3a0c (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00000001988d3380 (__TEXT,__text) non-external -[CalAttendee description]
00000001988d3a70 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00000001988d3754 (__TEXT,__text) non-external -[CalAttendee hash]
00000001988d36b4 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00000001988d375c (__TEXT,__text) non-external -[CalAttendee isEqual:]
00000001988d3a78 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00000001988d3468 (__TEXT,__text) non-external -[CalAttendee status]
00000001988d7424 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00000001988d2d98 (__TEXT,__text) non-external -[CalCalendar color]
00000001988d737c (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00000001988d2c14 (__TEXT,__text) non-external -[CalCalendar description]
00000001988d73d8 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00000001988d6f60 (__TEXT,__text) non-external -[CalCalendar hash]
00000001988d6ec0 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00000001988d6de0 (__TEXT,__text) non-external -[CalCalendar init]
00000001988d139c (__TEXT,__text) non-external -[CalCalendar isEditable]
00000001988d6f68 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00000001988d2d40 (__TEXT,__text) non-external -[CalCalendar notes]
00000001988d1394 (__TEXT,__text) non-external -[CalCalendar setColor:]
00000001988d73e0 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00000001988d138c (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001988d1384 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00000001988d2d38 (__TEXT,__text) non-external -[CalCalendar title]
00000001988d2da0 (__TEXT,__text) non-external -[CalCalendar type]
00000001988d1908 (__TEXT,__text) non-external -[CalCalendar uid]
00000001988db16c (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00000001988d2208 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00000001988da400 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00000001988d2a14 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00000001988d29a4 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00000001988db078 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00000001988d2984 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00000001988d2834 (__TEXT,__text) non-external -[CalCalendarItem description]
00000001988db0d4 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00000001988da3f0 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00000001988db070 (__TEXT,__text) non-external -[CalCalendarItem hash]
00000001988da2c8 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00000001988da7a0 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00000001988da3f8 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00000001988d2994 (__TEXT,__text) non-external -[CalCalendarItem notes]
00000001988da4fc (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00000001988da550 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00000001988da64c (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00000001988d22e4 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00000001988db0dc (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00000001988d19e0 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00000001988d1910 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00000001988db128 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00000001988d19e8 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00000001988dadcc (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00000001988d298c (__TEXT,__text) non-external -[CalCalendarItem title]
00000001988d297c (__TEXT,__text) non-external -[CalCalendarItem uid]
00000001988db120 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00000001988d299c (__TEXT,__text) non-external -[CalCalendarItem url]
00000001988d6da4 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00000001988d532c (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00000001988d5334 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00000001988d3dfc (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001988d1138 (__TEXT,__text) non-external -[CalCalendarStore calendars]
00000001988d3dd4 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00000001988d45b0 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00000001988d6d58 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00000001988d3ee8 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00000001988d1700 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00000001988d54c4 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00000001988d429c (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00000001988d3b4c (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00000001988d3b0c (__TEXT,__text) non-external -[CalCalendarStore init]
00000001988d5b7c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00000001988d4a5c (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00000001988d5104 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00000001988d55dc (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00000001988d45c8 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00000001988d4d7c (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00000001988d6d60 (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00000001988d41b0 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00000001988d3fec (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00000001988d86e0 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00000001988d31e4 (__TEXT,__text) non-external -[CalEvent attendees]
00000001988d2628 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00000001988d26b0 (__TEXT,__text) non-external -[CalEvent description]
00000001988d7dd4 (__TEXT,__text) non-external -[CalEvent ekEvent]
00000001988d30a8 (__TEXT,__text) non-external -[CalEvent endDate]
00000001988d7d3c (__TEXT,__text) non-external -[CalEvent init]
00000001988d3100 (__TEXT,__text) non-external -[CalEvent isAllDay]
00000001988d84f4 (__TEXT,__text) non-external -[CalEvent isDetached]
00000001988d7ddc (__TEXT,__text) non-external -[CalEvent isEqual:]
00000001988d3050 (__TEXT,__text) non-external -[CalEvent location]
00000001988d8534 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00000001988d2fa4 (__TEXT,__text) non-external -[CalEvent occurrence]
00000001988d3140 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00000001988d7dd8 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00000001988d868c (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00000001988d197c (__TEXT,__text) non-external -[CalEvent setEndDate:]
00000001988d1a54 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00000001988d19f0 (__TEXT,__text) non-external -[CalEvent setLocation:]
00000001988d1bc0 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00000001988d1918 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00000001988d8334 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00000001988d1aa0 (__TEXT,__text) non-external -[CalEvent startDate]
00000001988d9ce4 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00000001988d9bc4 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00000001988d9c88 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00000001988d9a44 (__TEXT,__text) non-external -[CalNthWeekDay description]
00000001988d9c98 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00000001988d9b00 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00000001988d99a4 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00000001988d9b08 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00000001988d9ca0 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00000001988d9c90 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00000001988d36a0 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00000001988d35d0 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00000001988d1638 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00000001988d362c (__TEXT,__text) non-external -[CalPredicate predicate]
00000001988d3584 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00000001988d3540 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00000001988da2bc (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00000001988da01c (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00000001988d9dd0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00000001988da270 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00000001988da260 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00000001988d9edc (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00000001988da1c0 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00000001988da070 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00000001988da120 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00000001988d9ee4 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00000001988da268 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00000001988da278 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00000001988d9d94 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00000001988d9998 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00000001988d1cb4 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00000001988d1ed4 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00000001988d1d40 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00000001988d34a4 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00000001988d994c (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00000001988d9944 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00000001988d8d90 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00000001988d1af8 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00000001988d8794 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00000001988d894c (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00000001988d885c (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00000001988d2338 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00000001988d2420 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00000001988d86f4 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00000001988d8a88 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00000001988d8c40 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00000001988d8b50 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00000001988d8d98 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00000001988d2074 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00000001988d1edc (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00000001988d207c (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00000001988d1d38 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00000001988d1d10 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00000001988d9954 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00000001988d92e8 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00000001988db9b4 (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00000001988db30c (__TEXT,__text) non-external -[CalTask completedDate]
00000001988db660 (__TEXT,__text) non-external -[CalTask description]
00000001988db3c8 (__TEXT,__text) non-external -[CalTask dueDate]
00000001988db278 (__TEXT,__text) non-external -[CalTask ekReminder]
00000001988db1e0 (__TEXT,__text) non-external -[CalTask init]
00000001988db280 (__TEXT,__text) non-external -[CalTask isCompleted]
00000001988db754 (__TEXT,__text) non-external -[CalTask isEqual:]
00000001988db510 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001988db484 (__TEXT,__text) non-external -[CalTask priority]
00000001988db364 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00000001988db420 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001988db27c (__TEXT,__text) non-external -[CalTask setEKReminder:]
00000001988db960 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001988db2c0 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001988db4c4 (__TEXT,__text) non-external -[CalTask setPriority:]
00000001988dcfb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001988dcfc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001988dcfdc (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e63a1bc8 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001e63a1bd0 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001e63a1bd8 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001e63a1be0 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001e63a1a88 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001e63a1aa8 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001e63a1a90 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001e63a1aa0 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001e63a1ab0 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001e63a1a80 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001e63a1a98 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001e63a1b50 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001e63a1b58 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001e63a1b60 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001e63a1b80 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001e63a1b68 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001e63a1b70 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001e63a1b78 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001e63a1b88 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001e63a1b90 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001e63a1b10 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001e63a1af8 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001988dd000 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001e63a1b38 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001e63a1b18 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001e63a1b00 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001e63a1b28 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001e63a1b40 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001e63a1c20 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001e63a1b20 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001e63a1b08 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001e63a1b30 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001e63a1b48 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001ed11e448 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001ed11e358 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001ed11e3f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001ed11e5d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001ed11e3a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001ed11e498 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001ed11e538 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001ed11e308 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00000001ed11e588 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001ed11e4e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001ed11e628 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001e9d0b788 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001e9d0b78c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001e9d0b790 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001e9d0b77c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001e9d0b784 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001e9d0b7a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001e9d0b7a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001e9d0b780 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001e9d0b794 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001e9d0b79c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001e9d0b778 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001e9d0b7a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001e9d0b798 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001e9d0b7ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001ed11e470 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001ed11e380 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001ed11e420 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001ed11e600 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001ed11e3d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001ed11e4c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001ed11e560 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001ed11e330 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001ed11e5b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001ed11e510 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
