000000020d199b4c (__TEXT,__text) non-external _Done_iODBC
000000020d19a3f4 (__TEXT,__text) external _SQLErrorA
000000020d19a51c (__TEXT,__text) external _SQLErrorW
000000020d196390 (__TEXT,__text) external _SQLExecDirect
000000020d1964e0 (__TEXT,__text) external _SQLExecDirectA
000000020d196630 (__TEXT,__text) external _SQLExecDirectW
000000020d196134 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000020d195e6c (__TEXT,__text) external _SQLExecute
000000020d197578 (__TEXT,__text) external _SQLExtendedFetch
000000020d1972c0 (__TEXT,__text) external _SQLFetch
000000020d1a92c8 (__TEXT,__text) external _SQLFetchScroll
000000020d197104 (__TEXT,__text) non-external _SQLFetch_Internal
000000020d18ee28 (__TEXT,__text) external _SQLForeignKeys
000000020d18f0e4 (__TEXT,__text) external _SQLForeignKeysA
000000020d18f3a0 (__TEXT,__text) external _SQLForeignKeysW
000000020d18ead4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000020d19823c (__TEXT,__text) external _SQLFreeConnect
000000020d19818c (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000020d199aa0 (__TEXT,__text) external _SQLFreeEnv
000000020d199a14 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000020d1a3b14 (__TEXT,__text) external _SQLFreeHandle
000000020d19ca08 (__TEXT,__text) external _SQLFreeStmt
000000020d19c800 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000020d1b507c (__TEXT,__text) non-external _SQLGetConfigMode
000000020d1a6438 (__TEXT,__text) external _SQLGetConnectAttr
000000020d1a68e8 (__TEXT,__text) external _SQLGetConnectAttrA
000000020d1a6a3c (__TEXT,__text) external _SQLGetConnectAttrW
000000020d1a658c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000020d199050 (__TEXT,__text) external _SQLGetConnectOption
000000020d19917c (__TEXT,__text) external _SQLGetConnectOptionA
000000020d1992a8 (__TEXT,__text) external _SQLGetConnectOptionW
000000020d1a1af0 (__TEXT,__text) external _SQLGetCursorName
000000020d1a1c58 (__TEXT,__text) external _SQLGetCursorNameA
000000020d1a1dc0 (__TEXT,__text) external _SQLGetCursorNameW
000000020d1a18fc (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000020d1976fc (__TEXT,__text) external _SQLGetData
000000020d1a6dfc (__TEXT,__text) external _SQLGetDescField
000000020d1a6f70 (__TEXT,__text) external _SQLGetDescFieldA
000000020d1a70e4 (__TEXT,__text) external _SQLGetDescFieldW
000000020d1a6b90 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000020d1a7a00 (__TEXT,__text) external _SQLGetDescRec
000000020d1a7c34 (__TEXT,__text) external _SQLGetDescRecA
000000020d1a7e68 (__TEXT,__text) external _SQLGetDescRecW
000000020d1a7808 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000020d19bde0 (__TEXT,__text) external _SQLGetDiagField
000000020d19beec (__TEXT,__text) external _SQLGetDiagFieldA
000000020d19bff8 (__TEXT,__text) external _SQLGetDiagFieldW
000000020d19af84 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000020d19ac24 (__TEXT,__text) external _SQLGetDiagRec
000000020d19ad44 (__TEXT,__text) external _SQLGetDiagRecA
000000020d19ae64 (__TEXT,__text) external _SQLGetDiagRecW
000000020d19a644 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000020d1a4254 (__TEXT,__text) external _SQLGetEnvAttr
000000020d19f74c (__TEXT,__text) external _SQLGetFunctions
000000020d19f350 (__TEXT,__text) external _SQLGetInfo
000000020d19f4a4 (__TEXT,__text) external _SQLGetInfoA
000000020d19f5f8 (__TEXT,__text) external _SQLGetInfoW
000000020d19ed4c (__TEXT,__text) non-external _SQLGetInfo_Internal
000000020d1b7ef0 (__TEXT,__text) non-external _SQLGetKeywordValue
000000020d1b7f3c (__TEXT,__text) non-external _SQLGetKeywordValueW
000000020d1b7a34 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000020d1b7c34 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000020d1a4acc (__TEXT,__text) external _SQLGetStmtAttr
000000020d1a4c44 (__TEXT,__text) external _SQLGetStmtAttrA
000000020d1a4dbc (__TEXT,__text) external _SQLGetStmtAttrW
000000020d1a4438 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000020d19d250 (__TEXT,__text) external _SQLGetStmtOption
000000020d19d39c (__TEXT,__text) external _SQLGetStmtOptionA
000000020d19d070 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000020d18bce8 (__TEXT,__text) external _SQLGetTypeInfo
000000020d18be28 (__TEXT,__text) external _SQLGetTypeInfoA
000000020d18bf68 (__TEXT,__text) external _SQLGetTypeInfoW
000000020d18bb28 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000020d197a74 (__TEXT,__text) external _SQLMoreResults
000000020d195564 (__TEXT,__text) external _SQLNativeSql
000000020d1956d0 (__TEXT,__text) external _SQLNativeSqlA
000000020d19583c (__TEXT,__text) external _SQLNativeSqlW
000000020d1952f0 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000020d196c80 (__TEXT,__text) external _SQLNumParams
000000020d1a220c (__TEXT,__text) external _SQLNumResultCols
000000020d1969f8 (__TEXT,__text) external _SQLParamData
000000020d1a0e54 (__TEXT,__text) external _SQLParamOptions
000000020d1a00c0 (__TEXT,__text) external _SQLPrepare
000000020d1a0210 (__TEXT,__text) external _SQLPrepareA
000000020d1a0360 (__TEXT,__text) external _SQLPrepareW
000000020d19feac (__TEXT,__text) non-external _SQLPrepare_Internal
000000020d18f88c (__TEXT,__text) external _SQLPrimaryKeys
000000020d18fa34 (__TEXT,__text) external _SQLPrimaryKeysA
000000020d18fbdc (__TEXT,__text) external _SQLPrimaryKeysW
000000020d18f65c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000020d190018 (__TEXT,__text) external _SQLProcedureColumns
000000020d1901fc (__TEXT,__text) external _SQLProcedureColumnsA
000000020d1903e0 (__TEXT,__text) external _SQLProcedureColumnsW
000000020d18fd84 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000020d1907f4 (__TEXT,__text) external _SQLProcedures
000000020d19099c (__TEXT,__text) external _SQLProceduresA
000000020d190b44 (__TEXT,__text) external _SQLProceduresW
000000020d1905c4 (__TEXT,__text) non-external _SQLProcedures_Internal
000000020d196780 (__TEXT,__text) external _SQLPutData
000000020d1b4770 (__TEXT,__text) non-external _SQLReadFileDSN
000000020d1b48f8 (__TEXT,__text) non-external _SQLReadFileDSNW
000000020d1a1f28 (__TEXT,__text) external _SQLRowCount
000000020d1b7f88 (__TEXT,__text) non-external _SQLSetConfigMode
000000020d1a5e44 (__TEXT,__text) external _SQLSetConnectAttr
000000020d1a61b0 (__TEXT,__text) external _SQLSetConnectAttrA
000000020d1a62f4 (__TEXT,__text) external _SQLSetConnectAttrW
000000020d1a5f88 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000020d1988dc (__TEXT,__text) external _SQLSetConnectOption
000000020d198a08 (__TEXT,__text) external _SQLSetConnectOptionA
000000020d198b34 (__TEXT,__text) external _SQLSetConnectOptionW
000000020d1a0664 (__TEXT,__text) external _SQLSetCursorName
000000020d1a07b4 (__TEXT,__text) external _SQLSetCursorNameA
000000020d1a0904 (__TEXT,__text) external _SQLSetCursorNameW
000000020d1a04b0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000020d1a73f4 (__TEXT,__text) external _SQLSetDescField
000000020d1a7550 (__TEXT,__text) external _SQLSetDescFieldA
000000020d1a76ac (__TEXT,__text) external _SQLSetDescFieldW
000000020d1a7258 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000020d1a809c (__TEXT,__text) external _SQLSetDescRec
000000020d1a4040 (__TEXT,__text) external _SQLSetEnvAttr
000000020d1a4160 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000020d1b8438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000020d1b8444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000020d1a1568 (__TEXT,__text) external _SQLSetParam
000000020d197e74 (__TEXT,__text) external _SQLSetPos
000000020d1a1104 (__TEXT,__text) external _SQLSetScrollOptions
000000020d1a5a0c (__TEXT,__text) external _SQLSetStmtAttr
000000020d1a5b74 (__TEXT,__text) external _SQLSetStmtAttrA
000000020d1a5cdc (__TEXT,__text) external _SQLSetStmtAttrW
000000020d1a4f34 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000020d19cb54 (__TEXT,__text) external _SQLSetStmtOption
000000020d19cf24 (__TEXT,__text) external _SQLSetStmtOptionA
000000020d19cca0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000020d18c338 (__TEXT,__text) external _SQLSpecialColumns
000000020d18c578 (__TEXT,__text) external _SQLSpecialColumnsA
000000020d18c7b8 (__TEXT,__text) external _SQLSpecialColumnsW
000000020d18c0a8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000020d18cc68 (__TEXT,__text) external _SQLStatistics
000000020d18ce4c (__TEXT,__text) external _SQLStatisticsA
000000020d18d030 (__TEXT,__text) external _SQLStatisticsW
000000020d18c9f8 (__TEXT,__text) non-external _SQLStatistics_Internal
000000020d190f1c (__TEXT,__text) external _SQLTablePrivileges
000000020d1910c4 (__TEXT,__text) external _SQLTablePrivilegesA
000000020d19126c (__TEXT,__text) external _SQLTablePrivilegesW
000000020d190cec (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000020d18d4a8 (__TEXT,__text) external _SQLTables
000000020d18d68c (__TEXT,__text) external _SQLTablesA
000000020d18d870 (__TEXT,__text) external _SQLTablesW
000000020d18d214 (__TEXT,__text) non-external _SQLTables_Internal
000000020d1996e0 (__TEXT,__text) external _SQLTransact
000000020d1993d4 (__TEXT,__text) non-external _SQLTransact_Internal
000000020d1b5188 (__TEXT,__text) non-external _SQLValidDSN
000000020d1b5210 (__TEXT,__text) non-external _SQLValidDSNW
000000020d1b4534 (__TEXT,__text) non-external _SQLWriteFileDSN
000000020d1b45f0 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000020d1b8120 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000020d1b82b8 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000020d19df9c (__TEXT,__text) non-external _SectSorter
000000020d1b50d0 (__TEXT,__text) non-external _ValidDSN
000000020d1b5130 (__TEXT,__text) non-external _ValidDSNW
000000020d1b7fe8 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000020d1a3f00 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000020d1b6364 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000021bac01a0 (__DATA,__common) non-external __iodbc_env_counter
000000020d1b4ab0 (__TEXT,__text) non-external __iodbcadm_getinifile
000000020d19d97c (__TEXT,__text) non-external __iodbcdm_BindColumn
000000020d19da7c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000020d1973f4 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000020d19c7ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000020d198c60 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000020d1a20e4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000020d19c9cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000020d198324 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000020d191660 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000020d197d10 (__TEXT,__text) non-external __iodbcdm_SetPos
000000020d19da14 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000020d19d6f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000021bac01a8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000020d19db44 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000020d18bc10 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000020d18bc84 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000020d1b6a28 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000020d1b5cb8 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000020d1b6508 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000020d1b6194 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000020d1b5c0c (__TEXT,__text) non-external __iodbcdm_cfg_init
000000020d19fc68 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000020d1b6ca8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000020d1b643c (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000020d19fcec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000020d19fb38 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000020d1b5cfc (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000020d1b6410 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000020d1940a8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000020d1b6cf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000020d1b6274 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000020d19fd64 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000020d1b65fc (__TEXT,__text) non-external __iodbcdm_cfg_write
000000020d1b4d04 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000020d193e48 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000020d19d79c (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000020d19d88c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000020d193f6c (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000020d195d54 (__TEXT,__text) non-external __iodbcdm_dllclose
000000020d195dc4 (__TEXT,__text) non-external __iodbcdm_dllerror
000000020d195c9c (__TEXT,__text) non-external __iodbcdm_dllopen
000000020d195c98 (__TEXT,__text) non-external __iodbcdm_dllproc
000000020d195df8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000020d1918cc (__TEXT,__text) non-external __iodbcdm_driverload
000000020d191f24 (__TEXT,__text) non-external __iodbcdm_driverunload
000000020d19c6ac (__TEXT,__text) non-external __iodbcdm_dropstmt
000000020d198860 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000020d191480 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000020d199b50 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000020d195b4c (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000020d1b4ddc (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000020d195c38 (__TEXT,__text) non-external __iodbcdm_getproc
000000021bac0148 (__DATA,__bss) non-external __iodbcdm_initialized
000000020d1b6f08 (__TEXT,__text) non-external __iodbcdm_list_entries
000000020d1b6e3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000020d1a23b4 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000020d1a2348 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000020d1959a8 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000020d191414 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000020d1b8450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000020d193c0c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000020d1942e8 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000020d19154c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000020d19422c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000020d199b80 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000020d1b4d68 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000020d195dc8 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000020d199bf8 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000020d1b4fe0 (__TEXT,__text) non-external __iodbcdm_strlcat
000000020d1b4f84 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000020d1994d4 (__TEXT,__text) non-external __iodbcdm_transact
00000002185b3b40 (__DATA_CONST,__const) non-external __mask_CONVERT
00000002185b4718 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00000002185b47c0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00000002185b3c00 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00000002185b3c90 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00000002185b42c8 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00000002185b4300 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00000002185b4000 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00000002185b4350 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00000002185b4368 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00000002185b4388 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00000002185b40a8 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00000002185b43b0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00000002185b43c8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00000002185b3b18 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00000002185b3b28 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00000002185b3fd8 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00000002185b43f8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00000002185b4440 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00000002185b4460 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00000002185b4470 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00000002185b44c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00000002185b44e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00000002185b4558 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00000002185b4568 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00000002185b4590 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00000002185b45a8 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00000002185b4628 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00000002185b4658 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00000002185b4668 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00000002185b4678 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00000002185b4688 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00000002185b46a8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00000002185b46c8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00000002185b46e8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00000002185b46f8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00000002185b4640 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00000002185b3c48 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00000002185b4130 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00000002185b40e8 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00000002185b4110 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00000002185b4850 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00000002185b4868 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00000002185b4928 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00000002185b4148 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00000002185b3ff0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00000002185b4168 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00000002185b3cb8 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00000002185b3d80 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00000002185b4948 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00000002185b3d98 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00000002185b3da8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00000002185b4180 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00000002185b4968 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00000002185b4980 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00000002185b41f0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00000002185b41c0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00000002185b49a0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00000002185b3dc0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00000002185b3de8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00000002185b49f8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00000002185b4a18 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00000002185b4a40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00000002185b4a68 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00000002185b4ad8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00000002185b4b10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00000002185b4b88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00000002185b4be0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00000002185b4c60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00000002185b4c88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
