000000022bccb774 (__TEXT,__text) external _LLVMExtraCreateBinary
000000022bcc19d8 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
000000022bcc1aec (__TEXT,__text) external _MTLGPUArchiverBuildToFD
000000022bcbffa0 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
000000022bcc0390 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
000000022bcc00f0 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
000000022bcc04e0 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
000000022bcbfe50 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
000000022bcc0240 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
000000022bcc0630 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
000000022bcc0758 (__TEXT,__text) external _MTLGPUArchiverDestroy
000000022bcc1d44 (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
000000022bcc1e58 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
000000022bcc1c38 (__TEXT,__text) external _MTLGPUArchiverFlush
000000022bcc2024 (__TEXT,__text) external _MTLGPUArchiverFromId
000000022bcc1668 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
000000022bcc18cc (__TEXT,__text) external _MTLGPUArchiverPackUnits
000000022bcc1554 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
000000022bcc12e4 (__TEXT,__text) external _MTLGPUArchiverSetInstallName
000000022bcc141c (__TEXT,__text) external _MTLGPUArchiverSetTarget
000000022bcc11a4 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
000000022bcc0f3c (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
000000022bcc1070 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
000000022bcc1fa4 (__TEXT,__text) external _MTLGPUArchiverToId
000000022bcbfd78 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
000000022bcbfd08 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
000000022bcbfdec (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
000000022bcc528c (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
000000022bcc5508 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
000000022bcc5768 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
000000022bcc3ea8 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
000000022bcc410c (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
000000022bcc4340 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
000000022bcc2f08 (__TEXT,__text) external _MTLGPUCompilerCreate
000000022bcc2f7c (__TEXT,__text) external _MTLGPUCompilerDestroy
000000022bcc7988 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
000000022bcc75a4 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
000000022bcc7600 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
000000022bcc765c (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
000000022bcc76b8 (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
000000022bcc7714 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
000000022bcc7770 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
000000022bcc77ac (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
000000022bcc78e0 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
000000022bcc77e8 (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
000000022bcc7864 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
000000022bcc7934 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
000000022bcc7b48 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
000000022bcc7c54 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
000000022bcc7cb0 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
000000022bcc7d0c (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
000000022bcc7d68 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
000000022bcc4b68 (__TEXT,__text) external _MTLGPUCompilerLink
000000022bcc4dc8 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
000000022bcc5018 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
000000022bcc6520 (__TEXT,__text) external _MTLGPUCompilerLoadModules
000000022bcc66a4 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
000000022bcc6828 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
000000022bcc82d8 (__TEXT,__text) external _MTLGPUCompilerLowerModule
000000022bcc8440 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
000000022bcc6d38 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
000000022bcc6458 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
000000022bcc64c8 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
000000022bcc7e94 (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
000000022bcc79f0 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
000000022bcc7ba4 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
000000022bcc7c00 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
000000022bcc6da0 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
000000022bcc3e2c (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
000000022bcc3db4 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
000000022bcc5f20 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
000000022bcc60d8 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
000000022bcc628c (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
000000022bcc59e0 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
000000022bcc5ba0 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
000000022bcc5d54 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
000000022bcc6e20 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
000000022bcc7098 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
000000022bcc730c (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
000000022bccde94 (__TEXT,__text) external _MTLMakeSharedMetalModule
000000022bccf054 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
000000022bcce25c (__TEXT,__text) external _MTLMetalFunctionCreate
000000022bccdfe8 (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
000000022bcce4b8 (__TEXT,__text) external _MTLMetalFunctionDestroy
000000022bcce7d4 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
000000022bcce8c4 (__TEXT,__text) external _MTLMetalFunctionGetAlias
000000022bcce594 (__TEXT,__text) external _MTLMetalFunctionGetKind
000000022bcce6c4 (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
000000022bcce668 (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
000000022bcce84c (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
000000022bcce77c (__TEXT,__text) external _MTLMetalFunctionGetModule
000000022bcce544 (__TEXT,__text) external _MTLMetalFunctionGetName
000000022bccf004 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
000000022bcccaa0 (__TEXT,__text) external _MTLMetalLibCreateCoreImage
000000022bccc9e8 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
000000022bcccbd0 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
000000022bcccaf8 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
000000022bccc990 (__TEXT,__text) external _MTLMetalLibCreateExecutable
000000022bccc8d8 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
000000022bcccc30 (__TEXT,__text) external _MTLMetalLibDestroy
000000022bcd0474 (__TEXT,__text) external _MTLMetalLibGetAsObject
000000022bccd9cc (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
000000022bccda24 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
000000022bccccf0 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
000000022bcccc98 (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
000000022bccd918 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
000000022bccd8c0 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
000000022bccd970 (__TEXT,__text) external _MTLMetalLibGetInstallName
000000022bccdb2c (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
000000022bccdad4 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
000000022bccdbd4 (__TEXT,__text) external _MTLMetalLibGetModuleNo
000000022bccda7c (__TEXT,__text) external _MTLMetalLibGetModulesCount
000000022bccdc8c (__TEXT,__text) external _MTLMetalLibGetSourceNo
000000022bccdc34 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
000000022bccd42c (__TEXT,__text) external _MTLMetalLibGetVariableNo
000000022bccd3d4 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
000000022bcccd48 (__TEXT,__text) external _MTLMetalLibInsertFunction
000000022bccd484 (__TEXT,__text) external _MTLMetalLibInsertVariable
000000022bccdce8 (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
000000022bccde2c (__TEXT,__text) external _MTLMetalModuleDestroy
000000022bccf324 (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
000000022bccf26c (__TEXT,__text) external _MTLMetalSourceGetCommandLine
000000022bccf210 (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
000000022bccf2c8 (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
000000022bccea48 (__TEXT,__text) external _MTLMetalVariableCreate
000000022bcce914 (__TEXT,__text) external _MTLMetalVariableCreateWithModule
000000022bcceca0 (__TEXT,__text) external _MTLMetalVariableDestroy
000000022bcceec4 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
000000022bccefb4 (__TEXT,__text) external _MTLMetalVariableGetAlias
000000022bccedb4 (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
000000022bcced58 (__TEXT,__text) external _MTLMetalVariableGetMetalModule
000000022bccef3c (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
000000022bccee6c (__TEXT,__text) external _MTLMetalVariableGetModule
000000022bcced08 (__TEXT,__text) external _MTLMetalVariableGetName
000000022bcd03cc (__TEXT,__text) external _MTLModuleGetAsObject
000000022bcd00a4 (__TEXT,__text) external _MTLObjectCreate
000000022bcd02c4 (__TEXT,__text) external _MTLObjectDestroy
000000022bcd0524 (__TEXT,__text) external _MTLObjectGetAsArchive
000000022bcd0598 (__TEXT,__text) external _MTLObjectGetAsMetalLib
000000022bcd04c8 (__TEXT,__text) external _MTLObjectGetAsModule
000000022bcc2404 (__TEXT,__text) external _MTLUpgradeAIRModule
000000022bcc296c (__TEXT,__text) external _MTLVerifyAIRModule
000000022bcc2a7c (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
000000022bcc2ce4 (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
000000022bccf0a4 (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule11materializeENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule9serializeENSt3__110shared_ptrINS_6ModuleEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13setTargetArchEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler15setTargetTripleEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
