                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00000001f9896a40 (__TEXT,__text) external _PFCheckNATRule
00000001f9892850 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00000001f9892998 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00000001f9891064 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00000001f98911e4 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00000001f989266c (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00000001f98908dc (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00000001f98920a8 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00000001f98921ec (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00000001f9891650 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00000001f9891798 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00000001f9892394 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00000001f98924a8 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00000001f9890ee8 (__TEXT,__text) non-external ___PFUserGetTransArray
00000001f9891ec4 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00000001f9891b60 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00000001f9891c70 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00000001f9892ee8 (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00000001f9892ba8 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00000001f9892cb8 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00000001f98935e8 (__TEXT,__text) non-external ___PFUserRegister
00000001f9893610 (__TEXT,__text) non-external ___PFUserRelease
00000001f9891930 (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00000001f98912bc (__TEXT,__text) non-external ___PFUserRemoveTransArray
00000001f98908d4 (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00000001f98974e8 (__TEXT,__text) non-external ___PFXPCResponseHandler
00000001f98936dc (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00000001f9893854 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00000001f98936f4 (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00000001f98937b0 (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00000001f989370c (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00000001f98937c8 (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00000001f9893724 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00000001f989386c (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00000001f989744c (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00000001f9897664 (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
000000021775c8a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000021e804cf0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000021775c880 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.112
000000021e8053a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.115
000000021e8051d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.120
000000021e805200 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.124
000000021e805230 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
000000021e805260 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.132
000000021e805290 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.136
000000021e8052c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.140
000000021e8052f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.144
000000021e804d20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15
000000021e804d50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
000000021e804d80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
000000021e804db0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.29
000000021e804de0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.32
000000021e804e10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
000000021e804e40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39
000000021e804e70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
000000021e804ea0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.47
000000021e804ed0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
000000021e804f00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53
000000021e804f30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.57
000000021e804f60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.60
000000021e804f90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
000000021e804fc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.68
000000021e804ff0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
000000021e805020 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.75
000000021e805050 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
000000021775c860 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.82
000000021e805080 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
000000021e8050b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.88
000000021e8050e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.92
000000021e805110 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.95
000000021e805140 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.98
000000021e805380 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f98912a0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001f9891338 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00000001f98909a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001f9890bfc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001f98912b0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001f9891388 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00000001f98909b4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001f9890c4c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
000000021a8307e8 (__DATA,__bss) non-external ___pfDictIdentifier
000000021a830800 (__DATA,__bss) non-external ___pfLog
000000021a830808 (__DATA,__bss) non-external ___pfLogError
000000021a830458 (__DATA,__data) non-external ___pfLogInit
000000021a8307f8 (__DATA,__bss) non-external ___pfManager
000000021a830828 (__DATA,__bss) non-external ___pfManagerTypeID
000000021a830478 (__DATA,__data) non-external ___pfManagerTypeInit
000000021a830810 (__DATA,__bss) non-external ___pfQueue
000000021a830818 (__DATA,__bss) non-external ___pfQueueError
000000021a830468 (__DATA,__data) non-external ___pfQueueInit
000000021a8307f0 (__DATA,__bss) non-external ___pfUserTypeID
000000021a830448 (__DATA,__data) non-external ___pfUserTypeInit
000000021a830820 (__DATA,__bss) non-external ___pfXpcQueue
000000021a830838 (__DATA,__bss) non-external ___pfconnection
000000021a830830 (__DATA,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
000000021a8305d8 (__DATA,__data) external _kPFAction
000000021a8305c0 (__DATA,__data) external _kPFAdaptiveFirewall
000000021a830548 (__DATA,__data) external _kPFAirDrop
000000021a830678 (__DATA,__data) external _kPFAllowOpts
000000021a8307d8 (__DATA,__data) external _kPFAny
000000021a830550 (__DATA,__data) external _kPFApplicationFirewall
000000021a830560 (__DATA,__data) external _kPFBase
000000021a830580 (__DATA,__data) external _kPFBase_nat64
000000021a830588 (__DATA,__data) external _kPFBase_nat66
000000021a830570 (__DATA,__data) external _kPFBase_v4
000000021a830578 (__DATA,__data) external _kPFBase_v6
000000021a8306c8 (__DATA,__data) external _kPFBytesIn
000000021a8306d0 (__DATA,__data) external _kPFBytesOut
000000021a8305c8 (__DATA,__data) external _kPFCustomFirewall
000000021a8305b8 (__DATA,__data) external _kPFDefaultFirewall
000000021a8305e8 (__DATA,__data) external _kPFDirection
000000021a830688 (__DATA,__data) external _kPFDummyNet
000000021a830690 (__DATA,__data) external _kPFExtFilter
000000021a830698 (__DATA,__data) external _kPFExtMap
000000021a830538 (__DATA,__data) external _kPFFTPProxy
000000021a8305f8 (__DATA,__data) external _kPFFamily
000000021a830640 (__DATA,__data) non-external (was a private external) _kPFFlagSet
000000021a830638 (__DATA,__data) external _kPFFlags
000000021a830610 (__DATA,__data) external _kPFFrom
000000021a830650 (__DATA,__data) external _kPFGroup
000000021a8305a0 (__DATA,__data) external _kPFHost_v4
000000021a8305a8 (__DATA,__data) external _kPFHost_v6
000000021a830660 (__DATA,__data) external _kPFICMP
000000021a8305f0 (__DATA,__data) external _kPFInterface
000000021a830520 (__DATA,__data) external _kPFInternetSharing
000000021a830670 (__DATA,__data) external _kPFKeepState
000000021a830658 (__DATA,__data) external _kPFLog
000000021a8305b0 (__DATA,__data) external _kPFMDNS
000000021a8306b0 (__DATA,__data) external _kPFMaxStates
000000021a830620 (__DATA,__data) external _kPFNATDest
000000021a8306a8 (__DATA,__data) external _kPFNATPass
000000021a830630 (__DATA,__data) external _kPFNATRDRAddress
000000021a830618 (__DATA,__data) external _kPFNATSrc
000000021a830528 (__DATA,__data) external _kPFNLC
000000021a8306b8 (__DATA,__data) external _kPFPacketsIn
000000021a8306c0 (__DATA,__data) external _kPFPacketsOut
000000021a830568 (__DATA,__data) external _kPFPortMapping
000000021a830600 (__DATA,__data) external _kPFProtocol
000000021a830608 (__DATA,__data) external _kPFQuick
000000021a8306a0 (__DATA,__data) external _kPFRTableID
000000021a8305e0 (__DATA,__data) external _kPFReturnOptions
000000021a8306d8 (__DATA,__data) external _kPFRuleID
000000021a830668 (__DATA,__data) external _kPFScrubOptions
000000021a830540 (__DATA,__data) external _kPFServerFirewall
000000021a830590 (__DATA,__data) external _kPFShared_v4
000000021a830598 (__DATA,__data) external _kPFShared_v6
000000021a8306e8 (__DATA,__data) external _kPFSubAddress
000000021a8306e0 (__DATA,__data) external _kPFSubAddressLabel
000000021a8307c8 (__DATA,__data) external _kPFSubDummyNetPipe
000000021a8307d0 (__DATA,__data) external _kPFSubDummyNetPipeType
000000021a8306f0 (__DATA,__data) external _kPFSubDynInterface
000000021a830738 (__DATA,__data) external _kPFSubGroupName
000000021a830750 (__DATA,__data) external _kPFSubGroupOperator
000000021a830748 (__DATA,__data) external _kPFSubHighGroupID
000000021a830708 (__DATA,__data) external _kPFSubHighPort
000000021a830728 (__DATA,__data) external _kPFSubHighUserID
000000021a830770 (__DATA,__data) external _kPFSubICMPCode
000000021a830768 (__DATA,__data) external _kPFSubICMPType
000000021a830758 (__DATA,__data) external _kPFSubLogFlags
000000021a830760 (__DATA,__data) external _kPFSubLogTo
000000021a830740 (__DATA,__data) external _kPFSubLowGroupID
000000021a830700 (__DATA,__data) external _kPFSubLowPort
000000021a830720 (__DATA,__data) external _kPFSubLowUserID
000000021a8306f8 (__DATA,__data) external _kPFSubNegated
000000021a8307a8 (__DATA,__data) external _kPFSubNotTagged
000000021a830710 (__DATA,__data) external _kPFSubPortOperator
000000021a830790 (__DATA,__data) external _kPFSubReturnICMP6Code
000000021a830788 (__DATA,__data) external _kPFSubReturnICMPCode
000000021a830780 (__DATA,__data) external _kPFSubReturnTTL
000000021a830778 (__DATA,__data) external _kPFSubReturnType
000000021a8307b0 (__DATA,__data) external _kPFSubScrubFlags
000000021a8307c0 (__DATA,__data) external _kPFSubScrubMaxMSS
000000021a8307b8 (__DATA,__data) external _kPFSubScrubMinTTL
000000021a830798 (__DATA,__data) external _kPFSubTag
000000021a8307a0 (__DATA,__data) external _kPFSubTagged
000000021a830718 (__DATA,__data) external _kPFSubUserName
000000021a830730 (__DATA,__data) external _kPFSubUserOperator
000000021a830680 (__DATA,__data) external _kPFTagDict
000000021a830558 (__DATA,__data) external _kPFThreadBR
000000021a8305d0 (__DATA,__data) external _kPFThreadBR_nat64
000000021a830628 (__DATA,__data) external _kPFTo
000000021a8307e0 (__DATA,__data) external _kPFUnknown
000000021a830648 (__DATA,__data) external _kPFUser
000000021a830530 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
000000021a830488 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
000000021a8304a8 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
000000021a8304a0 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
000000021a8304d8 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
000000021a8304c8 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
000000021a8304c0 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
000000021a8304b8 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
000000021a8304b0 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
000000021a8304d0 (__DATA,__data) non-external (was a private external) _pfXPCKeyTrafficDescriptors
000000021a830498 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
000000021a8304f8 (__DATA,__data) non-external (was a private external) _pfXPCResponseArray
000000021a830500 (__DATA,__data) non-external (was a private external) _pfXPCResponseDescriptorId
000000021a830510 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountIn
000000021a830518 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountOut
000000021a830508 (__DATA,__data) non-external (was a private external) _pfXPCResponseStatesFound
000000021a830490 (__DATA,__data) non-external (was a private external) _pfXPCService
000000021a8304e8 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptor
000000021a8304f0 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptorId
000000021a8304e0 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptors
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strtol (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _uuid_copy (from libSystem)
                 (undefined) external _xpc_array_append_value (from libSystem)
                 (undefined) external _xpc_array_create (from libSystem)
                 (undefined) external _xpc_array_create_empty (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_connection_cancel (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_resume (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_bool (from libSystem)
                 (undefined) external _xpc_dictionary_get_string (from libSystem)
                 (undefined) external _xpc_dictionary_get_uint64 (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_bool (from libSystem)
                 (undefined) external _xpc_dictionary_set_data (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_uint64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_uuid (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_type_get_name (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
                 (undefined) external _xpc_uuid_get_bytes (from libSystem)
