00000001f880a648 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f8807284 (__TEXT,__text) non-external -[MGGroupsQueryAgent _queryOperation:didFindGroups:]
00000001f8805640 (__TEXT,__text) non-external -[MGGroupsQueryAgent _withLock:]
00000001f8807744 (__TEXT,__text) non-external -[MGGroupsQueryAgent addOutstandingQuery:]
00000001f8807edc (__TEXT,__text) non-external -[MGGroupsQueryAgent containers]
00000001f8807ed4 (__TEXT,__text) non-external -[MGGroupsQueryAgent currentIdentifier]
00000001f8807e88 (__TEXT,__text) non-external -[MGGroupsQueryAgent delegate]
00000001f8807d24 (__TEXT,__text) non-external -[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]
00000001f8807ecc (__TEXT,__text) non-external -[MGGroupsQueryAgent groups]
00000001f88050a8 (__TEXT,__text) non-external -[MGGroupsQueryAgent initWithDelegate:]
00000001f88052e0 (__TEXT,__text) non-external -[MGGroupsQueryAgent init]
00000001f8807ebc (__TEXT,__text) non-external -[MGGroupsQueryAgent operations]
00000001f8807efc (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00000001f8807eb4 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00000001f8807a78 (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00000001f8807ee4 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00000001f8805598 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00000001f8805448 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00000001f88052e8 (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00000001f8807ec4 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00000001f8807f04 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00000001f8807ef4 (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00000001f8807eec (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00000001f8808408 (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00000001f88083c8 (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00000001f88083e8 (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00000001f8807f94 (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00000001f88080bc (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00000001f88083d8 (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00000001f88083f8 (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00000001f8809a90 (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00000001f8809908 (__TEXT,__text) non-external -[MGOutstandingQuery _predicateRequiresCurrentDevice:]
00000001f8809a78 (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00000001f880985c (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00000001f8809a80 (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00000001f8809a88 (__TEXT,__text) non-external -[MGOutstandingQuery requiresTopology]
00000001f880f178 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00000001f880e92c (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00000001f880eb50 (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00000001f880f154 (__TEXT,__text) non-external -[MGServiceClient connection]
00000001f880e824 (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00000001f880e884 (__TEXT,__text) non-external -[MGServiceClient description]
00000001f880ef70 (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00000001f880e7e4 (__TEXT,__text) non-external -[MGServiceClient hash]
00000001f880e69c (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00000001f880e72c (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00000001f880edb8 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00000001f880f15c (__TEXT,__text) non-external -[MGServiceClient queries]
00000001f880ec88 (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00000001f880e994 (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00000001f880f16c (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00000001f880f164 (__TEXT,__text) non-external -[MGServiceClient transaction]
00000001f880f884 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00000001f880f234 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00000001f880f43c (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00000001f880f874 (__TEXT,__text) non-external -[MGServiceClientSet clients]
00000001f880f664 (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00000001f880f1c8 (__TEXT,__text) non-external -[MGServiceClientSet init]
00000001f880f558 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00000001f880f29c (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00000001f880f87c (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00000001f8805058 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00000001f8804e7c (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f8805050 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f8804dd4 (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f8804f24 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f8805048 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f8804f94 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f8810370 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f88103ac (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f881025c (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f8810318 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f88103c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f881026c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f8810280 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f8810294 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f88103e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f88102a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f881032c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f88102c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f88103f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f88102d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f8810394 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001f88102f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f8810348 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f8810248 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f8810304 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f8808b9c (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f8808bf4 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f8808f24 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f8808ff0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f8809404 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f88094ac (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f880940c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f88097c0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f8809720 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f8809684 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f8809364 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00000001f88095e8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f8809548 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f8808b44 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f8809ad4 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
000000021818c478 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
000000021b26db58 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
000000021b26db30 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f8808b3c (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f88085e8 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f8810228 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f88101e8 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAppleTVAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
000000021d227830 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
000000021d227678 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
000000021d227650 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
000000021d227740 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
000000021d227768 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
000000021d2277e0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
000000021d227880 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
000000021d2278d0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
000000021d2276f0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
000000021b26d8c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
000000021b26d8c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
000000021b26d8c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
000000021b26d8bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
000000021b26d8b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
000000021b26d8d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
000000021b26d8cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._topologyRequestHandler
000000021b26d864 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
000000021b26d868 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
000000021b26d860 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
000000021b26d854 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
000000021b26d850 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
000000021b26d858 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
000000021b26d85c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
000000021b26d890 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
000000021b26d88c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
000000021b26d87c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
000000021b26d888 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
000000021b26d878 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
000000021b26d884 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
000000021b26d898 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
000000021b26d880 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
000000021b26d894 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
000000021b26d8b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
000000021b26d8b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
000000021b26d8ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._requiresTopology
000000021b26d8d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
000000021b26d8d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
000000021b26d8dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
000000021b26d8e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
000000021b26d8e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
000000021b26d8e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
000000021b26d86c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
000000021b26d874 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
000000021b26d870 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
000000021d227858 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
000000021d2276c8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
000000021d2276a0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
000000021d227790 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
000000021d2277b8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
000000021d227808 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
000000021d2278a8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
000000021d2278f8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
000000021d227718 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f8806954 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f8809154 (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
000000021b26d89c (__DATA,__objc_ivar) non-external __MergedGlobals
000000021b26db60 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f880ff08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f880ff20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f880fb60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f880fbb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f880fd20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f880fe58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f880feb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f88100c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f8810180 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f880fcc0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
000000021818d5c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
000000021818c6d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
000000021818c5a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
000000021818cc60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
000000021818ce58 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
000000021818d0a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
000000021818d7b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
000000021818d8b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
000000021818cb38 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
000000021818d6b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
000000021818c718 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
000000021818c650 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
000000021818cd88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
000000021818cee0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
000000021818d108 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
000000021818d838 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
000000021818d900 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
000000021818cba0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
000000021818c930 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000021818d330 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000021818cf28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
