00007ffb0054a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb00533080 (__TEXT,__text) external _IORWLockAlloc
00007ffb0055ae57 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb005330b9 (__TEXT,__text) external _IORWLockFree
00007ffb005330e0 (__TEXT,__text) external _IORWLockRead
00007ffb0055ae7a (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0053310c (__TEXT,__text) external _IORWLockUnlock
00007ffb0055aec0 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb005330f6 (__TEXT,__text) external _IORWLockWrite
00007ffb0055ae9d (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb00532efa (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb00532f26 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb00532fe8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb0055adee (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb00532f3c (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb0055ad62 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb0055ad85 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb0053301c (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb0055ae11 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb0055ae34 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb00532f94 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb0055ada8 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb0055adcb (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb00532e9e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb00532eba (__TEXT,__text) external _IORecursiveLockFree
00007ffb00532ee6 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb00532ed0 (__TEXT,__text) external _IORecursiveLockLock
00007ffb00532ef0 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb00532edc (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb40023ee8 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb40023c68 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb400242f0 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb40024450 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb40024140 (__DATA_CONST,__const) external _IOService_Class
00007ffb40023d08 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb005301a8 (__TEXT,__text) external _IOSleep
00007ffb40023da8 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb00533187 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb00533122 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb00533151 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb00533166 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb400260c0 (__DATA_CONST,__const) external _IOThread_Class
00007ffb400245b0 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb40024760 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb005337c4 (__TEXT,__text) external _IOUserServerMain
00007ffb0055b16a (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb0055b2a5 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb0055b18d (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb0055b1b0 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb0055b1d3 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb0055b1f6 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb0055b219 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb0055b23c (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb0055b25f (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb0055b282 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb40024a40 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb43d756f8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb40024bf0 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb0054a45b (__TEXT,__text) external _MD5Final
00007ffb0054a270 (__TEXT,__text) external _MD5Init
00007ffb0054a3ef (__TEXT,__text) non-external _MD5ToDi
00007ffb0054a34b (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb40024d50 (__DATA_CONST,__const) external _OSAction_Class
00007ffb40024800 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb40025e50 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb0053c3c0 (__TEXT,__text) external _OSArrayAppendValue
00007ffb0053c035 (__TEXT,__text) external _OSArrayApply
00007ffb0053bfee (__TEXT,__text) external _OSArrayCreate
00007ffb0053b6b2 (__TEXT,__text) external _OSArrayGetCount
00007ffb0053c44e (__TEXT,__text) external _OSArrayGetStringValue
00007ffb0053c4be (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb0053c3f4 (__TEXT,__text) external _OSArrayGetValue
00007ffb0053c3b1 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb0053c479 (__TEXT,__text) external _OSArraySetStringValue
00007ffb0053c584 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb0053c211 (__TEXT,__text) external _OSArraySetValue
00007ffb40024f00 (__DATA_CONST,__const) external _OSArray_Class
00007ffb40024ff8 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb400250f0 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb0053a37f (__TEXT,__text) external _OSCollectionTypeID
00007ffb0055be06 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb0053a2fc (__TEXT,__text) external _OSCollectionTypeName
00007ffb0055bdc2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb400251e8 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb0053ebfe (__TEXT,__text) external _OSCollectionsInitialize
00007ffb400252e0 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb0053a3e3 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb0055be4c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0053cec1 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb0055c37a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0053cdd0 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0053b54f (__TEXT,__text) external _OSDataAppendBytes
00007ffb0053b4b9 (__TEXT,__text) external _OSDataCreate
00007ffb0055bfec (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb0053b465 (__TEXT,__text) external _OSDataGetBytes
00007ffb0053b41c (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb0053b454 (__TEXT,__text) external _OSDataGetLength
00007ffb40025440 (__DATA_CONST,__const) external _OSData_Class
00007ffb0053b6bf (__TEXT,__text) external _OSDictionaryApply
00007ffb0053b65e (__TEXT,__text) external _OSDictionaryCreate
00007ffb0053b6a5 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb0053bd6d (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb0053bf14 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0053bce8 (__TEXT,__text) external _OSDictionaryGetValue
00007ffb0053becf (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb0053bfb0 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0053b97a (__TEXT,__text) external _OSDictionarySetValue
00007ffb40025538 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb40025630 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb0053b608 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb0053b5e7 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb40025728 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0053d446 (__TEXT,__text) external _OSObjectLog
00007ffb0053a337 (__TEXT,__text) external _OSObjectRelease
00007ffb0053a32c (__TEXT,__text) external _OSObjectRetain
00007ffb40025820 (__DATA_CONST,__const) external _OSObject_Class
00007ffb400259d0 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb005306c4 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb0053cfe6 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb40025ac8 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb40025bc0 (__DATA_CONST,__const) external _OSSet_Class
00007ffb0053aeb6 (__TEXT,__text) external _OSStringCreate
00007ffb0055befb (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb0055bf1e (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb0055bf3f (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb0053ae6b (__TEXT,__text) external _OSStringGetLength
00007ffb0053ae32 (__TEXT,__text) external _OSStringGetStringPtr
00007ffb40025cb8 (__DATA_CONST,__const) external _OSString_Class
00007ffb005301c2 (__TEXT,__text) external _OSSynchronizeIO
00007ffb40d69b40 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb005309ed (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb0054a6db (__TEXT,__text) external _SHA1Final
00007ffb0054a4f0 (__TEXT,__text) external _SHA1Init
00007ffb0054a678 (__TEXT,__text) non-external _SHA1ToDi
00007ffb0054a5d3 (__TEXT,__text) external _SHA1Update
00007ffb0054aede (__TEXT,__text) external _SHA256_Final
00007ffb0054ae6b (__TEXT,__text) external _SHA256_Init
00007ffb0055caf0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb0054aeab (__TEXT,__text) external _SHA256_Update
00007ffb0054af7c (__TEXT,__text) external _SHA384_Final
00007ffb0054af03 (__TEXT,__text) external _SHA384_Init
00007ffb0055cb09 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb0054af49 (__TEXT,__text) external _SHA384_Update
00007ffb0054b01a (__TEXT,__text) external _SHA512_Final
00007ffb0054afa1 (__TEXT,__text) external _SHA512_Init
00007ffb0055cb22 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb0054afe7 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0053150a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb0054b03f (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb40025db0 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb0053187a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb0055a894 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb0055a8b7 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffb00533191 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb0055aee3 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb0055af06 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb0055af29 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb0055af4c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb0055af6f (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0053228e (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb0055abbe (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb0055abe1 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb0055ac04 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb0055ac27 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb00531b24 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb0055a943 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb0053c3d6 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb0053eba8 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb005316b8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb0055a82b (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb0055a84e (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb0055a871 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb0053c4e9 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb0053c559 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb0053c514 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb005318cf (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0053c8e4 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb0055c262 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0055c285 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0055c2a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0055c2cb (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb0055c2ee (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb0055c311 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb0052fcde (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb0052fdd6 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb00531de2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb0055a987 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb00531ed8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb005335a2 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb0053162b (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb00531593 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb0053d004 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb0055c39d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb00531a25 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb0055a8fd (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb0055a920 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb0053a3ac (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb0055be29 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb0053a342 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb0055bde3 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb0052eb70 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb0053b3cc (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb0053c5c2 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb0055c078 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb0055c09b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb0055c0be (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb0055c0e1 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb0055c104 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb0053b398 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb0053b5cb (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0053c6f9 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb0055c127 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0055c14a (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0055c16d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0053357a (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb00532ca0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb0055951e (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb0052fbee (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb00530df0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb0055a7a7 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb00539e94 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb00559432 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0053e0be (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb0055cff0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb0055a570 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb00558e5a (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb005594a0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb005595bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb005595ec (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb0053b183 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb0053b141 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb0055bf62 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb00559c34 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb0054b4fe (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb005507be (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb00538cd9 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb0055bb5f (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb0055bb82 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb0055bba5 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb00559470 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb005506ce (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb005348c2 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb0055b5eb (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb0055b60e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb0055b631 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb0055b654 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb0054dc1c (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb0055043e (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb00558804 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb005594ee (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb005333ec (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb0055b087 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb0055b0aa (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb0055b0cd (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb0055b0f0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb00534019 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb0055b3f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb0055b413 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb0055b436 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb0055b459 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb005398af (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb0055bc54 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb0055bc77 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb0055bc9a (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb0055bcbd (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb0055bce0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb0055bd03 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb0055bd26 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffb40d69b18 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffb0054b56c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffb00557060 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffb00557f5c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
