                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8121bc942 (__TEXT,__text) non-external _alone_decode
00007ff8121c9862 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff8121c0c67 (__TEXT,__text) external _lzma_str_from_filters
00007ff8121c110d (__TEXT,__text) external _lzma_str_list_filters
00007ff8121c0749 (__TEXT,__text) external _lzma_str_to_filters
00007ff8121bc3a7 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff8121be640 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff8121bc3d0 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff8121bf314 (__TEXT,__text) external _lzma_stream_decoder
00007ff8121bebb0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff8121c72ec (__TEXT,__text) external _lzma_stream_decoder_mt
00007ff8121b3698 (__TEXT,__text) external _lzma_stream_encoder
00007ff8121c9f7c (__TEXT,__text) external _lzma_stream_encoder_mt
00007ff8121ca31e (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00007ff8121bb27e (__TEXT,__text) external _lzma_stream_flags_compare
00007ff8121bf3f9 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff8121ba356 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff8121bf373 (__TEXT,__text) external _lzma_stream_header_decode
00007ff8121b3995 (__TEXT,__text) external _lzma_stream_header_encode
00007ff8121b36fb (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff8121ba924 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00007ff8121ba690 (__TEXT,__text) external _lzma_version_number
00007ff8121ba69b (__TEXT,__text) external _lzma_version_string
00007ff8121bf472 (__TEXT,__text) external _lzma_vli_decode
00007ff8121b58c6 (__TEXT,__text) external _lzma_vli_encode
00007ff8121b3e38 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
00007ff8121b9557 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff8121be92b (__TEXT,__text) non-external _microlzma_decode
00007ff8121beb8d (__TEXT,__text) non-external _microlzma_decoder_end
00007ff8121be85a (__TEXT,__text) non-external _microlzma_decoder_init
00007ff8121bbe9d (__TEXT,__text) non-external _microlzma_encode
00007ff8121bbf59 (__TEXT,__text) non-external _microlzma_encoder_end
00007ff8121bbd7c (__TEXT,__text) non-external _microlzma_encoder_init
00007ff8121c21d8 (__TEXT,__text) non-external _move_head_to_cache
00007ff8121b6e22 (__TEXT,__text) non-external _move_pos
00007ff8121c06e9 (__TEXT,__text) non-external _normalize
00007ff8121c16a0 (__TEXT,__text) non-external _parse_bcj
00007ff8121c16b7 (__TEXT,__text) non-external _parse_delta
00007ff8121c163f (__TEXT,__text) non-external _parse_lzma12
00007ff8121c16db (__TEXT,__text) non-external _parse_options
00007ff8121c9aaa (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00007ff8121b6e50 (__TEXT,__text) non-external _rc_encode
00007ff8121c8740 (__TEXT,__text) non-external _read_output_and_wait
00007ff8121c31a9 (__TEXT,__text) non-external _reverse_seek
00007ff8121c93eb (__TEXT,__text) non-external _simple_code
00007ff8121c970b (__TEXT,__text) non-external _simple_coder_end
00007ff8121c9738 (__TEXT,__text) non-external _simple_coder_update
00007ff8121cb574 (__TEXT,__text) non-external _sparc_code
00007ff8121c10c4 (__TEXT,__text) non-external _str_append_str
00007ff8121c156c (__TEXT,__text) non-external _str_append_u32
00007ff8121cf9d0 (__TEXT,__const) non-external _str_append_u32.suffixes
00007ff8121bed2d (__TEXT,__text) non-external _stream_decode
00007ff8121c7632 (__TEXT,__text) non-external _stream_decode_mt
00007ff8121bf29c (__TEXT,__text) non-external _stream_decoder_end
00007ff8121bf2d0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff8121bf2dc (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff8121c842c (__TEXT,__text) non-external _stream_decoder_mt_end
00007ff8121c8486 (__TEXT,__text) non-external _stream_decoder_mt_get_check
00007ff8121c8526 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00007ff8121c7346 (__TEXT,__text) non-external _stream_decoder_mt_init
00007ff8121c8492 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00007ff8121b5322 (__TEXT,__text) non-external _stream_encode
00007ff8121cb8a0 (__TEXT,__const) non-external _stream_encode.convert
00007ff8121ca490 (__TEXT,__text) non-external _stream_encode_mt
00007ff8121ba434 (__TEXT,__text) non-external _stream_encoder_end
00007ff8121bc6ae (__TEXT,__text) non-external _stream_encoder_init
00007ff8121cacfc (__TEXT,__text) non-external _stream_encoder_mt_end
00007ff8121c9fdc (__TEXT,__text) non-external _stream_encoder_mt_init
00007ff8121cae30 (__TEXT,__text) non-external _stream_encoder_mt_update
00007ff8121b3b32 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00007ff8121c85dc (__TEXT,__text) non-external _threads_end
00007ff8121caf08 (__TEXT,__text) non-external _threads_end
00007ff8121c86bb (__TEXT,__text) non-external _threads_stop
00007ff8121cafcd (__TEXT,__text) non-external _threads_stop
