00000001cbf83240 (__TEXT,__text) non-external +[NFPromise new]
00000001cbf802d8 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001cbf802c8 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001cbf84768 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001cbf83360 (__TEXT,__text) non-external -[NFPromise always:]
00000001cbf839f8 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001cbf832f4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001cbf845e8 (__TEXT,__text) non-external -[NFPromise delayOn]
00000001cbf844cc (__TEXT,__text) non-external -[NFPromise delay]
00000001cbf83350 (__TEXT,__text) non-external -[NFPromise error:]
00000001cbf8396c (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001cbf83f24 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001cbf83e24 (__TEXT,__text) non-external -[NFPromise error]
00000001cbf8326c (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001cbf82fac (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001cbf831b8 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001cbf82e68 (__TEXT,__text) non-external -[NFPromise init]
00000001cbf83cd0 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001cbf83b8c (__TEXT,__text) non-external -[NFPromise pipe]
00000001cbf84280 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001cbf83fb0 (__TEXT,__text) non-external -[NFPromise resolve]
00000001cbf84754 (__TEXT,__text) non-external -[NFPromise seal]
00000001cbf8475c (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001cbf83340 (__TEXT,__text) non-external -[NFPromise then:]
00000001cbf83370 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001cbf83b00 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001cbf83a78 (__TEXT,__text) non-external -[NFPromise then]
00000001cbf86814 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001cbf86888 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001cbf85b64 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001cbf85618 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001cbf8523c (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001cbf88bf8 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001cbf88cb8 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001cbf85b24 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001cbf85b48 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001cbf851b8 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001cbf85134 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001cbf850ac (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001cbf85b5c (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001cbf85780 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001cbf8531c (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001cbf85310 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001cbf8532c (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001cbf858c4 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001cbf88d78 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001cbf85b2c (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001cbf85b50 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001cbf85b40 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001cbf85b18 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001cbf85b38 (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001cbf85b10 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001cbf86200 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001cbf86034 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001cbf85f2c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001cbf861ec (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001cbf861b4 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001cbf85ee0 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001cbf85d28 (__TEXT,__text) non-external -[NFReachability init]
00000001cbf861d8 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001cbf861c4 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001cbf861f4 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001cbf861bc (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001cbf861e0 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001cbf861cc (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001cbf826e0 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001cbf81958 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001cbf818e8 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001cbf81b90 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001cbf88a78 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001cbf81a84 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001cbf889b8 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001cbf81a28 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001cbf819b4 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001cbf817fc (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001cbf81760 (__TEXT,__text) non-external -[NFStateMachine description]
00000001cbf826a8 (__TEXT,__text) non-external -[NFStateMachine events]
00000001cbf81c9c (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001cbf81628 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001cbf826bc (__TEXT,__text) non-external -[NFStateMachine lock]
00000001cbf8265c (__TEXT,__text) non-external -[NFStateMachine owner]
00000001cbf826b0 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001cbf826c4 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001cbf82688 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001cbf82650 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001cbf8269c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001cbf82640 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001cbf826d8 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001cbf82648 (__TEXT,__text) non-external -[NFStateMachine state]
00000001cbf82694 (__TEXT,__text) non-external -[NFStateMachine states]
00000001cbf826d0 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001cbf82638 (__TEXT,__text) non-external -[NFStateMachine status]
00000001cbf867b8 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001cbf865a4 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001cbf86794 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001cbf867a8 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001cbf86694 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001cbf8648c (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001cbf863b8 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001cbf864cc (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001cbf86770 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001cbf8666c (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001cbf8679c (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001cbf867b0 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001cbf86778 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001cbf86788 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001cbf86780 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001cbf87518 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001cbf874c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001cbf8736c (__TEXT,__text) non-external -[NFStateMachineState description]
00000001cbf87508 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001cbf874f8 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001cbf87254 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001cbf871d8 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001cbf87294 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001cbf874b8 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001cbf873f0 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001cbf87490 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001cbf87440 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001cbf87468 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001cbf87418 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001cbf874d0 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001cbf87510 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001cbf87500 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001cbf874c0 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001cbf874f0 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001cbf874e0 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001cbf874e8 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001cbf874d8 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001cbf8758c (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001cbf87870 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001cbf87794 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001cbf876e8 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001cbf8763c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001cbf800d4 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001cbf800c0 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001cbf7ff88 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001cbf80084 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001cbf80098 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001cbf7fe64 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001cbf800c8 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001cbf8008c (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001cbf800a0 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001cbf80078 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001cbf800b4 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001cbf80070 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001cbf800ac (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001cbf7fe54 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001cbf7fe5c (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001cbf7fd78 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001cbf7fdd4 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001cbf7fe3c (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001cbf7fddc (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001cbf7fe4c (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001cbf84784 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001cbf815b8 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001cbf82b8c (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001cbf84e0c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001cbf84f0c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001cbf827a4 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001cbf88314 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001cbf8abe0 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001cbf8ac3c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001cbf8ac58 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001cbf8132c (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001cbf8852c (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001e7d06260 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001e7d06268 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001cbf88348 (__TEXT,__text) external _NFDeviceIsA7
00000001cbf88350 (__TEXT,__text) external _NFDeviceIsA8
00000001cbf88488 (__TEXT,__text) external _NFDeviceModelString
00000001cbf88454 (__TEXT,__text) external _NFDeviceOSVersion
00000001cbf88358 (__TEXT,__text) external _NFDevicePlatform
00000001e86a8eb0 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001e86a8ea8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001cbf88448 (__TEXT,__text) external _NFGeneralDeviceString
00000001cbf7fc70 (__TEXT,__text) external _NFInternalBuild
00000001e7d06258 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001e86a8e68 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001cbf85c20 (__TEXT,__text) external _NFLockSync
00000001cbf84fe0 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001cbf7fcdc (__TEXT,__text) external _NFSeedBuild
00000001f1d5cac8 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001cbf7fce4 (__TEXT,__text) external _NFStoreDemoMode
00000001e86a8e70 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001e7d06259 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001cbf884bc (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001cbf89f40 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001cbf89f00 (__TEXT,__const) external _NewsFoundationVersionString
00000001e94ef468 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001e86a8b98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001e86a8bc0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001e86a8c38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001e86a8e18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001e86a8dc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001e94ef3f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001e86a8c88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001e86a8d28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001e86a8d78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001e94ef490 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001e94ef4e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001e94ef530 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001e94ef3a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001e86a8b48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001e86a8d00 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001e7d05fb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001e7d05fbc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001e7d05fd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001e7d05fcc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001e7d05fc4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001e7d05fc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001e7d05fc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001e7d05ff4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001e7d05ff8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001e7d05ff0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001e7d06050 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001e7d06054 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001e7d06058 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00000001e7d06024 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001e7d05fac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001e7d05fb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
