00000001e8172798 (__DATA,__bss) non-external _AGCPrinter
00000001a7719e78 (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00000001a771c4a0 (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00000001a7716e04 (__TEXT,__text) external _MTLCompilerCreate
00000001a7719d88 (__TEXT,__text) external _MTLCompilerDelete
00000001a771c580 (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
00000001a77caa24 (__TEXT,__text) non-external __Z10parseMDIntPKcPKN4llvm6MDNodeERjS5_
00000001a771835c (__TEXT,__text) non-external __Z11initPrinterRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEb13AGCTargetArch
00000001a77cb6bc (__TEXT,__text) non-external __Z11parseMDTypeIN4llvm6MDNodeEEbPKcPKS1_RjRPT_
00000001a77cab0c (__TEXT,__text) non-external __Z12parseMDUint3PKN4llvm6MDNodeEPKcRjRNSt3__15arrayIjLm3EEE
00000001a777e320 (__TEXT,__text) non-external __Z12pixelTypeMapv
00000001a7721e30 (__TEXT,__text) non-external __Z12printHexDumpRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKhmjPKcb
00000001a7718dfc (__TEXT,__text) non-external __Z12printMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKcz
00000001a777d9ac (__TEXT,__text) non-external __Z13bufferTypeMapv
00000001a77cacb4 (__TEXT,__text) non-external __Z13parseMDAccessPKN4llvm6MDNodeERjR14ResourceAccess
00000001a77cb788 (__TEXT,__text) non-external __Z13parseMDBufferPKN4llvm6MDNodeEjRjS3_S3_S3_RPS0_R14ResourceAccessRbS3_S8_
00000001a7742284 (__TEXT,__text) non-external __Z14attribute_nameRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a77cad6c (__TEXT,__text) non-external __Z14parseMDSamplerPKN4llvm6MDNodeERjS3_Rb
00000001a77caf00 (__TEXT,__text) non-external __Z14parseMDTexturePKN4llvm6MDNodeERjS3_R14ResourceAccessRbS6_S6_S3_
00000001a771fb28 (__TEXT,__text) non-external __Z16dumpShaderToFilePKc
00000001a78b8220 (__TEXT,__text) non-external __Z17SimplifyGenericIRPN4llvm6ModuleEb
00000001a77cac00 (__TEXT,__text) non-external __Z20parseMDLocationIndexPKN4llvm6MDNodeERjS3_S3_
00000001a78b8e48 (__TEXT,__text) non-external __Z21EraseInstructionChainPN4llvm5ValueE
00000001a77214c8 (__TEXT,__text) non-external __Z21isValidToPrintMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE
00000001a779c2b4 (__TEXT,__text) non-external __Z25getBackendReplyReadsTGSRsPKN16AGCCodeGenerator10ShaderInfoE
00000001a787c2b0 (__TEXT,__text) non-external __Z27AGCLLVMCreateG9TargetConfig13AGCTargetArch
00000001a786d4f8 (__TEXT,__text) non-external __Z28AGCLLVMCreateG14TargetConfig13AGCTargetArch
00000001a786ee7c (__TEXT,__text) non-external __Z28AGCLLVMCreateG15TargetConfig13AGCTargetArch
00000001a771d138 (__TEXT,__text) non-external __Z28validateUserLocalMemoryUsagejjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a771d314 (__TEXT,__text) non-external __Z32validateUserMeshLocalMemoryUsagejjjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a77a5f48 (__TEXT,__text) non-external __Z36getComputeControlFlowBitcodeFileNameRK10AGCLLVMCtx
00000001a771d7d8 (__TEXT,__text) non-external __Z37validateMaxTotalThreadsPerThreadgroupjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERj
00000001a78a6794 (__TEXT,__text) non-external __Z45newObjectArrayWithIntersectionShadersIfNeededI27_AGCFragmentContextStateAGPEP17AGCLLVMObjectBaseP17AGCLLVMUserShaderR10AGCLLVMCtxPN4llvm6ModuleEPKT_
00000001e816ffb0 (__DATA,__bss) non-external __ZGVZ12pixelTypeMapvE23localPixelFormatTypeMap
00000001e816ff90 (__DATA,__bss) non-external __ZGVZ13bufferTypeMapvE18localBufferTypeMap
00000001e8171ad8 (__DATA,__bss) non-external __ZGVZ21agcStreamToken2StringjE15mapToken2String
00000001e81724c0 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG5TargetConfig13AGCTargetArchE5g5pC0
00000001e8172550 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9gA0
00000001e8172508 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9pA0
00000001e8171b30 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG10TargetConfig13AGCTargetArchE6g10pB0
00000001e8171c08 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11gA0
00000001e8171bc0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mA0
00000001e8171c98 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mB0
00000001e8171b78 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pA0
00000001e8171c50 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pB0
00000001e8171ce0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pA0
00000001e8171d28 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pB0
00000001e9f7e938 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cA0
00000001e8171db8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cB0
00000001e8171d70 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dA0
00000001e8171e00 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dB0
00000001e9f7e818 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gA0
00000001e9f7e8a8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gB0
00000001e9f7e7d0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pA0
00000001e9f7e860 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pB0
00000001e9f7e8f0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sA0
00000001e9f7e980 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sB0
00000001e8171ed8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gA0
00000001e8171f20 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gB0
00000001e8171e48 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pA0
00000001e8171e90 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pB0
00000001e8172310 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cA0
00000001e8172358 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB0
00000001e81723a0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB1
00000001e8172160 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gA0
00000001e81721a8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gB0
00000001e81721f0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gC0
00000001e8172118 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15pB0
00000001e8172238 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sA0
00000001e8172280 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB0
00000001e81722c8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB1
00000001e81723e8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pA0
00000001e8172430 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB0
00000001e8172478 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB1
00000001e8171ff8 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cA0
00000001e8172040 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cB0
00000001e8172088 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dA0
00000001e81720d0 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dB0
00000001e8171f68 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sA0
00000001e8171fb0 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sB0
00000001e8172698 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16g_a0
00000001e81726e0 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16g_b0
00000001e8172728 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16x_a0
00000001e8172770 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16x_b0
00000001e816f1c8 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path
00000001e8172790 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.11574
00000001e816f220 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.139
00000001e9f7dcc8 (__DATA_DIRTY,__bss) non-external __ZGVZL22pluginCreateLLVMObjectR10AGCLLVMCtx15_AGCStreamTokenRN4llvm11LLVMContextEPNS2_6ModuleER16CompilationStateE9computeCS
00000001e9f7e780 (__DATA_DIRTY,__bss) non-external __ZGVZN14AGCLLVMBuilder18getVariableTypeMapEvE17variable_type_map
00000001e81727b0 (__DATA,__bss) non-external __ZGVZN16AGCTargetContext13createLLVMCtxE13AGCTargetArchE21agx_extra_llvm_attrib
00000001e9f7dcc0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCCodeGenServiceC1Ej3ApiRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_E21agx_extra_llvm_attrib
00000001e8171110 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject15verifyLoweredIREvE3log
00000001e9f7e758 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject16getBuiltinArgMapEvE15builtin_arg_map
00000001e9f7e668 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject20getSampleFunctionMapEvE19sample_function_map
00000001e9f7e730 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject22getUniqueIDFunctionSetEvE21uniqueID_function_set
00000001e81710e0 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject23createSamplerHeapGlobalEvE12bind_indices
00000001e9f7e690 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject23getDimensionFunctionMapEvE22dimension_function_map
00000001e8171160 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject24getRaytracingFunctionMapEvE23raytracing_function_map
00000001e9f7e6b8 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject26getTextureFenceFunctionSetEvE25texturefence_function_set
00000001e9f7e6e0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject27getIsNullTextureFunctionSetEvE28is_null_texture_function_set
00000001e8171138 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject27getTextureAtomicFunctionSetEvE27texture_atomic_function_set
00000001e9f7e708 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject28getGetNullTextureFunctionSetEvE29get_null_texture_function_set
00000001e9f7e640 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject33buildBindlessImageArgumentPointerEPN4llvm5ValueEN18ImageArgumentQuery4EnumEE12bind_indices
00000001e81710c0 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject34getShaderDebuggerTLSBuiltinArgMapsEvE31shader_debugger_builtin_arg_map
00000001e8171100 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject39replaceIndirectTextureWriteFunctionUsesEPN4llvm8FunctionEE20force_inline_env_var
00000001e81710f0 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject41createIntersectionFunctionTableHeapGlobalEvE12bind_indices
00000001e9f7e5e0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserShader17getVaryingModeMapEvE16varying_mode_map
00000001e9f7e608 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserShader27getInterpolationLocationMapEvE26interpolation_location_map
00000001e816ffd8 (__DATA,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins19initializeAtomicMapEvE10atomic_map
00000001e9f7df38 (__DATA_DIRTY,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins23initializePackUnpackMapEvE15pack_unpack_map
00000001e9f7df10 (__DATA_DIRTY,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins27initializeTypeConversionMapEvE11convert_map
00000001e8171190 (__DATA,__bss) non-external __ZGVZN19AGCLLVMDriverShader20getTextureHeapGlobalEbE14buffer_indices
00000001e81711a0 (__DATA,__bss) non-external __ZGVZN19AGCLLVMDriverShader23createGlobalSamplerHeapEvE12bind_indices
00000001e8170ab0 (__DATA,__bss) non-external __ZGVZN20AGCLLVMAirImageBlock24initializeImageBlockMapsEvE24image_block_function_map
00000001e816f5a8 (__DATA,__bss) non-external __ZGVZN21AGCLLVMUserMeshShader15replaceBuiltinsEvE18workitem_functions
00000001e8171098 (__DATA,__bss) non-external __ZGVZN21AGCLLVMUserTileShader24replaceWorkitemFunctionsEvE18workitem_functions
00000001e8170000 (__DATA,__bss) non-external __ZGVZN22AGCLLVMAirBuiltinsGen319initializeReduceMapEvE10reduce_map
00000001e816fa70 (__DATA,__bss) non-external __ZGVZN23AGCLLVMUserMeshShaderSW29replacePreRuntimeLinkBuiltinsEvE18workitem_functions
00000001e9f7dd40 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMAGPFragmentShader35initializeInterpolationFunctionsMapEvE27interpolation_functions_map
00000001e9f7df60 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMAirTrigIdentities28initializeTrigReplacementMapEvE17trig_replacements
00000001e9f7e990 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMGen2TargetLowerer22setSharedRegisterSizesEvE22total_shared_registers
00000001e8172610 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE13prefix_length
00000001e8172600 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE6prefix
00000001e8172630 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE9ev_prefix
00000001e8172580 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9order_map
00000001e81725b0 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9scope_map
00000001e81725e0 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9volat_map
00000001e8170a20 (__DATA,__bss) non-external __ZGVZN25AGCLLVMUserDynamicLibrary24replaceWorkitemFunctionsEvE18workitem_functions
00000001e8170a88 (__DATA,__bss) non-external __ZGVZN25AGCLLVMUserDynamicLibrary25buildStageSpecificBuiltinEPN4llvm4TypeERKNSt3__15arrayINS3_8functionIFPNS0_5ValueEvEEELm4EEERKNS4_IiLm4EEEE10stage_name
00000001e81703d0 (__DATA,__bss) non-external __ZGVZN26AGCLLVMDriverSparseShaders6createER10AGCLLVMCtxRN4llvm11LLVMContextEjE9computeCS
00000001e9f7e5a8 (__DATA_DIRTY,__bss) non-external __ZGVZN27AGCLLVMUserComputeKernelG1024replaceWorkitemFunctionsEvE18workitem_functions
00000001e816fe70 (__DATA,__bss) non-external __ZGVZN27AGCLLVMUserObjectShaderBase15replaceBuiltinsEvE18workitem_functions
00000001e9f7ded8 (__DATA_DIRTY,__bss) non-external __ZGVZN28AGCLLVMAGPFragmentShaderGen320replaceTileFunctionsEvE18workitem_functions
00000001e81703f0 (__DATA,__bss) non-external __ZGVZN29AGCLLVMDriverFastClearShaders6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK22_AGCBlitFastClearStateE9computeCS
00000001e8170330 (__DATA,__bss) non-external __ZGVZN30AGCLLVMUserComputeKernelLegacy24replaceWorkitemFunctionsEvE18workitem_functions
00000001e816fec0 (__DATA,__bss) non-external __ZGVZN31AGCLLVMDriverTessellationShader12getDefaultCSEvE9defaultCS
00000001e8170460 (__DATA,__bss) non-external __ZGVZN32AGCLLVMDriverBlitBCComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEjbE9computeCS
00000001e816ff10 (__DATA,__bss) non-external __ZGVZN33AGCLLVMDriverVRRPatchVertexShader12getDefaultCSEvE9defaultCS
00000001e816ff30 (__DATA,__bss) non-external __ZGVZN34AGCLLVMDriverGPUGatherVertexShader12getDefaultCSEvE9defaultCS
00000001e8172640 (__DATA,__bss) non-external __ZGVZN34AGCLLVMUserIntersectionShaderArrayI23RaytracingConstantsGen1EC1ER10AGCLLVMCtxPN4llvm6ModuleEPK25_AGCUserIntersectionStateE23disableParallelLeafLoop
00000001e8172650 (__DATA,__bss) non-external __ZGVZN34AGCLLVMUserIntersectionShaderArrayI23RaytracingConstantsGen1EC1ER10AGCLLVMCtxPN4llvm6ModuleEPK25_AGCUserIntersectionStateE24disableParallelLeafTests
00000001e816ff50 (__DATA,__bss) non-external __ZGVZN35AGCLLVMDriverFastClearVertexShaders12getDefaultCSEvE9defaultCS
00000001e816ff70 (__DATA,__bss) non-external __ZGVZN35AGCLLVMDriverPDSPatchUpVertexShader12getDefaultCSEvE9defaultCS
00000001e8170590 (__DATA,__bss) non-external __ZGVZN36AGCLLVMDriverBVHBuilderComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK19_AGCBVHBuilderStateE17riaBvhGenOverride
00000001e81705b0 (__DATA,__bss) non-external __ZGVZN36AGCLLVMDriverBVHBuilderComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK19_AGCBVHBuilderStateE9computeCS
00000001e816fea0 (__DATA,__bss) non-external __ZGVZN38AGCLLVMAGPVertexShaderPostTessellation15replaceBuiltinsEvE21tessellation_builtins
00000001e8170480 (__DATA,__bss) non-external __ZGVZN39AGCLLVMDriverGPUGatherComputeShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170350 (__DATA,__bss) non-external __ZGVZN41AGCLLVMDriverGPUGatherComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170370 (__DATA,__bss) non-external __ZGVZN42AGCLLVMDriverPDSPatchUpComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170ae8 (__DATA,__bss) non-external __ZGVZN43AGCLLVMUserIntersectionShaderLoopShaderPass13runOnFunctionERN4llvm8FunctionEE9arguments
00000001e8170520 (__DATA,__bss) non-external __ZGVZN44AGCLLVMDriverComputeProgressMarkerShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170500 (__DATA,__bss) non-external __ZGVZN44AGCLLVMDriverExecuteIndirectComputeShaderG106createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e9f7e5b0 (__DATA_DIRTY,__bss) non-external __ZGVZN45AGCLLVMDriverExecuteIndirectComputeShaderGen56createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170560 (__DATA,__bss) non-external __ZGVZN46AGCLLVMDriverComputeProgressMarkerShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170390 (__DATA,__bss) non-external __ZGVZN47AGCLLVMDriverExecuteIndirectComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e9f7dee0 (__DATA_DIRTY,__bss) non-external __ZGVZN47AGCLLVMDriverExecuteIndirectESLGenerationShader12getDefaultCSEvE9defaultCS
00000001e8170540 (__DATA,__bss) non-external __ZGVZN50AGCLLVMDriverComputeControlFlowPredicateShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEjbbE9computeCS
00000001e8170580 (__DATA,__bss) non-external __ZGVZN52AGCLLVMDriverComputeControlFlowPredicateShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEjbbE9computeCS
00000001e9f7dee8 (__DATA_DIRTY,__bss) non-external __ZGVZN54AGCLLVMDriverExecuteIndirectRangeExecutionVertexShader12getDefaultCSEvE9defaultCS
00000001e9f7e5b8 (__DATA_DIRTY,__bss) non-external __ZGVZN55AGCLLVMDriverExecuteIndirectRangeExecutionComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e8170410 (__DATA,__bss) non-external __ZGVZN58AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderG106createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e81703b0 (__DATA,__bss) non-external __ZGVZN61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e81704a0 (__DATA,__bss) non-external __ZGVZN61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e81704e0 (__DATA,__bss) non-external __ZGVZN63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e81704c0 (__DATA,__bss) non-external __ZGVZN66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001e9f7dd08 (__DATA_DIRTY,__bss) non-external __ZGVZN6AGCEnv12getEnvLookupEvE9envlookup
00000001e9f7dce8 (__DATA_DIRTY,__bss) non-external __ZGVZN6AGCEnv18getStatusVariablesEvE11status_vars
00000001e9f7dd18 (__DATA_DIRTY,__bss) non-external __ZGVZN6AGCEnv8getOSLogEvE3log
00000001e8171170 (__DATA,__bss) non-external __ZGVZNK20AGCLLVMTargetLowerer10getRTZModeE18_AGCFPRoundingModeE12clamp_to_f16
00000001e816fa78 (__DATA,__bss) non-external __ZL10default_cs
00000001e8170008 (__DATA,__bss) non-external __ZL10default_cs.1320
00000001e81705b8 (__DATA,__bss) non-external __ZL10default_cs.1800
00000001e8170ab9 (__DATA,__bss) non-external __ZL10default_cs.2187
00000001e8170af0 (__DATA,__bss) non-external __ZL10default_cs.2435
