                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8145b3942 (__TEXT,__text) non-external _alone_decode
00007ff8145b8e02 (__TEXT,__text) non-external _decode_buffer
00007ff8145b4941 (__TEXT,__text) non-external _decoder_find
00007ff8416d8f70 (__DATA_CONST,__const) non-external _decoders
00007ff8145bff7c (__TEXT,__text) non-external _delta_coder_end
00007ff8145c015b (__TEXT,__text) non-external _delta_decode
00007ff8145bffed (__TEXT,__text) non-external _delta_encode
00007ff8145c010a (__TEXT,__text) non-external _delta_encoder_update
00007ff8145c6950 (__TEXT,__const) non-external _delta_optmap
00007ff8145ab1ce (__TEXT,__text) non-external _encoder_find
00007ff8416d8d00 (__DATA_CONST,__const) non-external _encoders
00007ff8145c2710 (__TEXT,__const) non-external _features
00007ff8145b99ad (__TEXT,__text) non-external _file_info_decode
00007ff8145ba070 (__TEXT,__text) non-external _file_info_decoder_end
00007ff8145ba0b0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff8416d90d0 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff8145b0480 (__TEXT,__text) non-external _get_literal_price
00007ff8145c136f (__TEXT,__text) non-external _get_options
00007ff8145c1d16 (__TEXT,__text) non-external _get_progress
00007ff8145bf98d (__TEXT,__text) non-external _get_thread
00007ff8145b51f9 (__TEXT,__text) non-external _hash_append
00007ff8145b6f6a (__TEXT,__text) non-external _hc_find_func
00007ff8145c0b4a (__TEXT,__text) non-external _ia64_code
00007ff8145c8af0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff8145b1ee8 (__TEXT,__text) non-external _index_cat_helper
00007ff8145b4bd9 (__TEXT,__text) non-external _index_decode
00007ff8145b4ec4 (__TEXT,__text) non-external _index_decoder_end
00007ff8145b4ee9 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff8145b0c99 (__TEXT,__text) non-external _index_encode
00007ff8145b1534 (__TEXT,__text) non-external _index_encoder_end
00007ff8145b158e (__TEXT,__text) non-external _index_stream_end
00007ff8145aa90f (__TEXT,__text) non-external _index_tree_append
00007ff8145b153e (__TEXT,__text) non-external _index_tree_node_end
00007ff8145ab951 (__TEXT,__text) non-external _is_options_valid
00007ff8145b10db (__TEXT,__text) non-external _iter_set_info
00007ff8145ab998 (__TEXT,__text) non-external _length_encoder_reset
00007ff8145aba6a (__TEXT,__text) non-external _length_update_prices
00007ff8145b8c0e (__TEXT,__text) non-external _lz_decode
00007ff8145b8dac (__TEXT,__text) non-external _lz_decoder_end
00007ff8145acc4f (__TEXT,__text) non-external _lz_encode
00007ff8145b14a7 (__TEXT,__text) non-external _lz_encoder_end
00007ff8145abc3a (__TEXT,__text) non-external _lz_encoder_prepare
00007ff8145b6dc4 (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff8145b6d69 (__TEXT,__text) non-external _lz_encoder_update
00007ff8145b680a (__TEXT,__text) non-external _lzip_decode
00007ff8145b6c40 (__TEXT,__text) non-external _lzip_decoder_end
00007ff8145b6c68 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff8145b6c73 (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff8145c68d0 (__TEXT,__const) non-external _lzma12_mf_map
00007ff8145c68a0 (__TEXT,__const) non-external _lzma12_mode_map
00007ff8416d92b0 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff8145bdfb8 (__TEXT,__text) non-external _lzma2_decode
00007ff8145be2c4 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff8145bde91 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff8145ace5c (__TEXT,__text) non-external _lzma2_encode
00007ff8145b150c (__TEXT,__text) non-external _lzma2_encoder_end
00007ff8145ab4b1 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff8145bdcd9 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff8145c26f8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff8145c26d0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff8145aa7f0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff8145b16aa (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff8145b3c49 (__TEXT,__text) external _lzma_alone_decoder
00007ff8145b3858 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff8145b230b (__TEXT,__text) external _lzma_alone_encoder
00007ff8145b3ca8 (__TEXT,__text) external _lzma_auto_decoder
00007ff8145b2609 (__TEXT,__text) external _lzma_block_buffer_bound
00007ff8145b25c5 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff8145b3fac (__TEXT,__text) external _lzma_block_buffer_decode
00007ff8145b264d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff8145b1850 (__TEXT,__text) external _lzma_block_compressed_size
00007ff8145b4538 (__TEXT,__text) external _lzma_block_decoder
00007ff8145b40f1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff8145b2c1e (__TEXT,__text) external _lzma_block_encoder
00007ff8145aae57 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff8145b4592 (__TEXT,__text) external _lzma_block_header_decode
00007ff8145ac67d (__TEXT,__text) external _lzma_block_header_encode
00007ff8145aacae (__TEXT,__text) external _lzma_block_header_size
00007ff8145b18ad (__TEXT,__text) external _lzma_block_total_size
00007ff8145b28fe (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff8145ac79f (__TEXT,__text) external _lzma_block_unpadded_size
00007ff8145ac61c (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff8145b65cf (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff8145aafc2 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff8145aafa4 (__TEXT,__text) external _lzma_check_is_supported
00007ff8145c2870 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff8145b0906 (__TEXT,__text) external _lzma_check_size
00007ff8145c2880 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff8145adb50 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff8145ac06c (__TEXT,__text) external _lzma_code
00007ff8145b327a (__TEXT,__text) external _lzma_cputhreads
00007ff8145aa9f4 (__TEXT,__text) external _lzma_crc32
00007ff8145c2890 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff8145b65fc (__TEXT,__text) external _lzma_crc64
00007ff8145c4890 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff8145ba29e (__TEXT,__text) non-external _lzma_decode
00007ff8145c89e0 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff8145bda92 (__TEXT,__text) non-external _lzma_decoder_init
00007ff8145bd7d8 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff8145bda6e (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff8145bfe4b (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff8145bff9d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff8145c0146 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff8145bffcd (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff8145c01d0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff8145c0118 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff8145b2c7a (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff8145b4768 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff8145aa528 (__TEXT,__text) external _lzma_easy_encoder
00007ff8145b2ced (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff8145aa56f (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff8145c25f6 (__TEXT,__text) non-external _lzma_encode
00007ff8145b8f26 (__TEXT,__text) non-external _lzma_encoder_init
00007ff8145b13dc (__TEXT,__text) external _lzma_end
00007ff8145c69e0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff8145b97c4 (__TEXT,__text) external _lzma_file_info_decoder
00007ff8145b9836 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00007ff8145b4912 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff8145b307b (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff8145b4a51 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff8145ac825 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff8145aad98 (__TEXT,__text) external _lzma_filter_flags_size
00007ff8145abe8c (__TEXT,__text) external _lzma_filters_copy
00007ff8145b18c8 (__TEXT,__text) external _lzma_filters_free
00007ff8145b30aa (__TEXT,__text) external _lzma_filters_update
00007ff8145c2836 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff8145abe64 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff8145b1764 (__TEXT,__text) external _lzma_get_check
00007ff8145b173d (__TEXT,__text) external _lzma_get_progress
00007ff8145c2830 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff8145b0923 (__TEXT,__text) external _lzma_index_append
00007ff8145b0f1c (__TEXT,__text) external _lzma_index_block_count
00007ff8145b4f98 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff8145b32e0 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff8145b1ce5 (__TEXT,__text) external _lzma_index_cat
00007ff8145b1c07 (__TEXT,__text) external _lzma_index_checks
00007ff8145b4f39 (__TEXT,__text) external _lzma_index_decoder
00007ff8145b4ae4 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00007ff8145b1f4d (__TEXT,__text) external _lzma_index_dup
00007ff8145b3286 (__TEXT,__text) external _lzma_index_encoder
00007ff8145b0bd0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff8145aa826 (__TEXT,__text) external _lzma_index_end
00007ff8145b1b85 (__TEXT,__text) external _lzma_index_file_size
00007ff8145b515e (__TEXT,__text) external _lzma_index_hash_append
00007ff8145b52b8 (__TEXT,__text) external _lzma_index_hash_decode
00007ff8145b512a (__TEXT,__text) external _lzma_index_hash_end
00007ff8145b50b0 (__TEXT,__text) external _lzma_index_hash_init
00007ff8145b5134 (__TEXT,__text) external _lzma_index_hash_size
00007ff8145aa85f (__TEXT,__text) external _lzma_index_init
00007ff8145b0c79 (__TEXT,__text) external _lzma_index_iter_init
00007ff8145b21c2 (__TEXT,__text) external _lzma_index_iter_locate
00007ff8145b0f26 (__TEXT,__text) external _lzma_index_iter_next
00007ff8145b21ab (__TEXT,__text) external _lzma_index_iter_rewind
00007ff8145b1a79 (__TEXT,__text) external _lzma_index_memusage
00007ff8145b1add (__TEXT,__text) external _lzma_index_memused
00007ff8145b1302 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff8145b1a5e (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff8145b132c (__TEXT,__text) external _lzma_index_size
00007ff8145b1b3e (__TEXT,__text) external _lzma_index_stream_count
00007ff8145b1c20 (__TEXT,__text) external _lzma_index_stream_flags
00007ff8145b1c7e (__TEXT,__text) external _lzma_index_stream_padding
00007ff8145b1b51 (__TEXT,__text) external _lzma_index_stream_size
00007ff8145b1b47 (__TEXT,__text) external _lzma_index_total_size
00007ff8145b1bfd (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff8145b8a5c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff8145b8df5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff8145ab26d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff8145b6cfe (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff8145b6c9f (__TEXT,__text) external _lzma_lzip_decoder
00007ff8145b66e8 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00007ff8145bdcbd (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00007ff8145bde80 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff8145bdf3c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff8145ab25c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff8145bdca1 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff8145bdf4d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff8145ac9b7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff8145ba228 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff8145bda81 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff8145bdbaa (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff8145bdb97 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff8145ad214 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff8145ab5dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff8145b8f15 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff8145b8f46 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff8145ab74c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff8145bdb4c (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff8145b08c1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff8145b9433 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff8145ae064 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff8145aa5a6 (__TEXT,__text) external _lzma_lzma_preset
00007ff8145c69ba (__TEXT,__const) non-external _lzma_lzma_preset.depths
00007ff8145c69b0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00007ff8145bdbec (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff8145b8fca (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff8145b902f (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00007ff8145b17c6 (__TEXT,__text) external _lzma_memlimit_get
00007ff8145b180d (__TEXT,__text) external _lzma_memlimit_set
00007ff8145b177f (__TEXT,__text) external _lzma_memusage
00007ff8145b739b (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff8145b742f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff8145b74b1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff8145b7629 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff8145b00f6 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff8145adc0c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff8145b0059 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff8145b6e06 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff8145b7055 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff8145b70e8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff8145b72e9 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff8145b6de8 (__TEXT,__text) external _lzma_mf_is_supported
00007ff8145b57dd (__TEXT,__text) external _lzma_microlzma_decoder
00007ff8145b2d26 (__TEXT,__text) external _lzma_microlzma_encoder
00007ff8145b901f (__TEXT,__text) external _lzma_mode_is_supported
00007ff8145b31e3 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00007ff8145aa77f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff8145ab1fd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff8145b170c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff8145b9088 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00007ff8145b90cf (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00007ff8145b93ff (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00007ff8145b923a (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00007ff8145b92ec (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00007ff8145b915a (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00007ff8145b9346 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00007ff8145b9057 (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00007ff8145b926d (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00007ff8145b9366 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00007ff8145b1a54 (__TEXT,__text) external _lzma_physmem
00007ff8145b49fc (__TEXT,__text) external _lzma_properties_decode
00007ff8145ac976 (__TEXT,__text) external _lzma_properties_encode
00007ff8145aadeb (__TEXT,__text) external _lzma_properties_size
00007ff8145b47a1 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff8145b2f7a (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff8145ab009 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff8145b19cc (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff8145b4981 (__TEXT,__text) external _lzma_raw_decoder
00007ff8145b496d (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff8145b49e8 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff8145b317a (__TEXT,__text) external _lzma_raw_encoder
00007ff8145aaff2 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff8145b3166 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff8145c8a20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff8145bdd71 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00007ff8145bdd4e (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00007ff8145c0d56 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff8145c0d33 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff8145c0e29 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff8145c0e06 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff8145c0217 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff8145c0b27 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff8145c0b04 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff8145c0a24 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff8145c0a01 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff8145c079c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff8145c0787 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff8145c076d (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff8145c24ed (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff8145c24ca (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff8145c0857 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff8145c07ff (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff8145b7c67 (__TEXT,__text) external _lzma_str_from_filters
00007ff8145b810d (__TEXT,__text) external _lzma_str_list_filters
00007ff8145b7749 (__TEXT,__text) external _lzma_str_to_filters
00007ff8145b33a7 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff8145b5640 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff8145b33d0 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff8145b6314 (__TEXT,__text) external _lzma_stream_decoder
00007ff8145b5bb0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff8145be2ec (__TEXT,__text) external _lzma_stream_decoder_mt
00007ff8145aa698 (__TEXT,__text) external _lzma_stream_encoder
00007ff8145c0f18 (__TEXT,__text) external _lzma_stream_encoder_mt
00007ff8145c12ba (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00007ff8145b227e (__TEXT,__text) external _lzma_stream_flags_compare
00007ff8145b63f9 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff8145b1356 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff8145b6373 (__TEXT,__text) external _lzma_stream_header_decode
00007ff8145aa995 (__TEXT,__text) external _lzma_stream_header_encode
00007ff8145aa6fb (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff8145b1924 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00007ff8145b1690 (__TEXT,__text) external _lzma_version_number
00007ff8145b169b (__TEXT,__text) external _lzma_version_string
00007ff8145b6472 (__TEXT,__text) external _lzma_vli_decode
00007ff8145ac8c6 (__TEXT,__text) external _lzma_vli_encode
00007ff8145aae38 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
00007ff8145b0557 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff8145b592b (__TEXT,__text) non-external _microlzma_decode
00007ff8145b5b8d (__TEXT,__text) non-external _microlzma_decoder_end
00007ff8145b585a (__TEXT,__text) non-external _microlzma_decoder_init
00007ff8145b2e9d (__TEXT,__text) non-external _microlzma_encode
00007ff8145b2f59 (__TEXT,__text) non-external _microlzma_encoder_end
00007ff8145b2d7c (__TEXT,__text) non-external _microlzma_encoder_init
00007ff8145b91d8 (__TEXT,__text) non-external _move_head_to_cache
00007ff8145ade22 (__TEXT,__text) non-external _move_pos
00007ff8145b76e9 (__TEXT,__text) non-external _normalize
00007ff8145b86a0 (__TEXT,__text) non-external _parse_bcj
00007ff8145b86b7 (__TEXT,__text) non-external _parse_delta
00007ff8145b863f (__TEXT,__text) non-external _parse_lzma12
00007ff8145b86db (__TEXT,__text) non-external _parse_options
00007ff8145c0a47 (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00007ff8145ade50 (__TEXT,__text) non-external _rc_encode
00007ff8145bf724 (__TEXT,__text) non-external _read_output_and_wait
00007ff8145ba1a9 (__TEXT,__text) non-external _reverse_seek
00007ff8145c0388 (__TEXT,__text) non-external _simple_code
00007ff8145c06a8 (__TEXT,__text) non-external _simple_coder_end
00007ff8145c06d5 (__TEXT,__text) non-external _simple_coder_update
00007ff8145c2510 (__TEXT,__text) non-external _sparc_code
00007ff8145b80c4 (__TEXT,__text) non-external _str_append_str
00007ff8145b856c (__TEXT,__text) non-external _str_append_u32
00007ff8145c6970 (__TEXT,__const) non-external _str_append_u32.suffixes
00007ff8145b5d2d (__TEXT,__text) non-external _stream_decode
00007ff8145be632 (__TEXT,__text) non-external _stream_decode_mt
00007ff8145b629c (__TEXT,__text) non-external _stream_decoder_end
00007ff8145b62d0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff8145b62dc (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff8145bf42c (__TEXT,__text) non-external _stream_decoder_mt_end
00007ff8145bf486 (__TEXT,__text) non-external _stream_decoder_mt_get_check
00007ff8145bf526 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00007ff8145be346 (__TEXT,__text) non-external _stream_decoder_mt_init
00007ff8145bf492 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00007ff8145ac322 (__TEXT,__text) non-external _stream_encode
00007ff8145c2840 (__TEXT,__const) non-external _stream_encode.convert
00007ff8145c142c (__TEXT,__text) non-external _stream_encode_mt
00007ff8145b1434 (__TEXT,__text) non-external _stream_encoder_end
00007ff8145b36ae (__TEXT,__text) non-external _stream_encoder_init
00007ff8145c1c98 (__TEXT,__text) non-external _stream_encoder_mt_end
00007ff8145c0f78 (__TEXT,__text) non-external _stream_encoder_mt_init
00007ff8145c1dcc (__TEXT,__text) non-external _stream_encoder_mt_update
00007ff8145aab32 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00007ff8145bf5dc (__TEXT,__text) non-external _threads_end
00007ff8145c1ea4 (__TEXT,__text) non-external _threads_end
00007ff8145bf6bb (__TEXT,__text) non-external _threads_stop
00007ff8145c1f69 (__TEXT,__text) non-external _threads_stop
00007ff8145b1602 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
