0000000180c63dcc (__TEXT,__text) external _OSAtomicAdd32
0000000180c63eb4 (__TEXT,__text) external _OSAtomicOr32
0000000180c63ec0 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180c63ecc (__TEXT,__text) external _OSAtomicOr32Orig
0000000180c63ed4 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180c6404c (__TEXT,__text) external _OSAtomicTestAndClear
0000000180c6408c (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180c63fcc (__TEXT,__text) external _OSAtomicTestAndSet
0000000180c6400c (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180c63edc (__TEXT,__text) external _OSAtomicXor32
0000000180c63ee8 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180c63ef4 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180c63efc (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180c641bc (__TEXT,__text) external _OSMemoryBarrier
0000000180c628b0 (__TEXT,__text) external _OSSpinLockLock
0000000180c628cc (__TEXT,__text) external _OSSpinLockTry
0000000180c628fc (__TEXT,__text) external _OSSpinLockUnlock
0000000180c667cc (__TEXT,__cstring) non-external __0x
0000000180c667aa (__TEXT,__cstring) non-external __H
0000000180c64198 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180c64114 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180c62768 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180c627e0 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180c653e0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182cd0060 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180c60000 (__TEXT,__text) external ___libplatform_init
0000000180c632d4 (__TEXT,__text) external ___os_once_reset
0000000180c624dc (__TEXT,__text) non-external (was a private external) ___os_security_config_init
0000000180c65fdc (__TEXT,__text) non-external ___os_security_config_init.cold.1
0000000180c62224 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180c66708 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180c666d0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180c64234 (__TEXT,__text) external ___platform_sigaction
0000000182cd0048 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180c60520 (__TEXT,__text) non-external ___simple_bprintf
0000000180c646ec (__TEXT,__text) external ___sme_memchr
0000000180c64a88 (__TEXT,__text) external ___sme_memcpy
0000000180c64b5c (__TEXT,__text) external ___sme_memmove
0000000180c658ac (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180c65b08 (__TEXT,__text) external __ctx_done
0000000180c65e30 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180c60fb8 (__TEXT,__text) non-external __enlarge
0000000180c65f64 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180c60e84 (__TEXT,__text) non-external __flush
0000000180c604f0 (__TEXT,__text) non-external __flush_reset
0000000180c667bb (__TEXT,__cstring) non-external __h
0000000180c64310 (__TEXT,__text) external __longjmp
0000000180c63928 (__TEXT,__text) non-external __os_alloc
0000000180c6625c (__TEXT,__text) non-external __os_alloc.cold.1
0000000182cd0058 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180c638d8 (__TEXT,__text) external __os_alloc_once
0000000180c639e4 (__TEXT,__text) non-external __os_alloc_slow
0000000180c65ffc (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180c6294c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180c6299c (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180c62970 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180c62990 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180c63270 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180c63294 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180c632b4 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180c6618c (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180c62904 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180c62924 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180c62940 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180c66710 (__TEXT,__const) non-external __os_lock_type_base
0000000182d5c948 (__AUTH_CONST,__const) external __os_lock_type_eliding
0000000182d5c968 (__AUTH_CONST,__const) external __os_lock_type_handoff
0000000182d5c9a8 (__AUTH_CONST,__const) external __os_lock_type_nospin
0000000182d5c948 (__AUTH_CONST,__const) external __os_lock_type_spin
0000000182d5c948 (__AUTH_CONST,__const) external __os_lock_type_transactional
0000000182d5c988 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180c63000 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180c6302c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180c6304c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180c6306c (__TEXT,__text) external __os_nospin_lock_lock
0000000180c6308c (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180c63188 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180c631a4 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180c631c0 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180c6339c (__TEXT,__text) external __os_once
0000000180c66238 (__TEXT,__text) non-external __os_once.cold.1
0000000180c633f4 (__TEXT,__text) non-external __os_once_callout
0000000180c632f0 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180c66164 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180c66114 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180c6613c (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180c63468 (__TEXT,__text) non-external __os_once_gate_wait
0000000180c63cf0 (__TEXT,__text) external __os_semaphore_create
0000000180c66284 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180c662ac (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180c63d44 (__TEXT,__text) external __os_semaphore_dispose
0000000180c662d4 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180c63d74 (__TEXT,__text) external __os_semaphore_signal
0000000180c662fc (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180c63d94 (__TEXT,__text) external __os_semaphore_wait
0000000180c66324 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180c66074 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180c62a88 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180c66024 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180c62c60 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180c62d38 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180c6604c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180c653e0 (__TEXT,__text) external __platform_bzero
0000000180c64540 (__TEXT,__text) external __platform_memccpy
0000000180c64f60 (__TEXT,__text) external __platform_memchr
0000000180c65070 (__TEXT,__text) external __platform_memcmp
0000000180c65520 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180c647c0 (__TEXT,__text) external __platform_memmove
0000000180c65440 (__TEXT,__text) external __platform_memset
0000000180c65620 (__TEXT,__text) external __platform_memset_pattern16
0000000180c655e0 (__TEXT,__text) external __platform_memset_pattern4
0000000180c65600 (__TEXT,__text) external __platform_memset_pattern8
0000000180c65a00 (__TEXT,__text) external __platform_strchr
0000000180c65974 (__TEXT,__text) external __platform_strcmp
0000000180c64c70 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
0000000180c657b0 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
0000000180c64484 (__TEXT,__text) external __platform_strcpy
0000000182d5c8c0 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180c64650 (__TEXT,__text) external __platform_strlcat
0000000180c644c4 (__TEXT,__text) external __platform_strlcpy
0000000180c65260 (__TEXT,__text) external __platform_strlen
0000000180c659a8 (__TEXT,__text) external __platform_strncmp
0000000180c652d0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180c64d70 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
0000000180c645c8 (__TEXT,__text) external __platform_strncpy
0000000180c651c0 (__TEXT,__text) external __platform_strnlen
0000000180c643fc (__TEXT,__text) external __platform_strstr
0000000180c65d9c (__TEXT,__text) non-external (was a private external) __setcontext
0000000180c642b0 (__TEXT,__text) external __setjmp
0000000180c641e0 (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180c641c4 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180c6028c (__TEXT,__text) non-external __simple_asl_escape_key
0000000180c60300 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180c60488 (__TEXT,__text) external __simple_asl_log
0000000180c603a8 (__TEXT,__text) external __simple_asl_log_prog
0000000180c600f4 (__TEXT,__text) external __simple_asl_msg_new
0000000180c60140 (__TEXT,__text) external __simple_asl_msg_set
0000000180c60360 (__TEXT,__text) external __simple_asl_send
0000000180c60f00 (__TEXT,__text) external __simple_dprintf
0000000180c6125c (__TEXT,__text) external __simple_esappend
0000000180c61178 (__TEXT,__text) external __simple_esprintf
0000000180c60048 (__TEXT,__text) external __simple_getenv
0000000180c61334 (__TEXT,__text) external __simple_put
0000000180c6133c (__TEXT,__text) external __simple_putline
0000000180c60f2c (__TEXT,__text) external __simple_salloc
0000000180c611ec (__TEXT,__text) external __simple_sappend
0000000180c61384 (__TEXT,__text) external __simple_sfree
0000000180c614e8 (__TEXT,__text) external __simple_snprintf
0000000180c61140 (__TEXT,__text) external __simple_sprintf
0000000180c611b8 (__TEXT,__text) external __simple_sresize
0000000180c611a8 (__TEXT,__text) external __simple_string
0000000180c60490 (__TEXT,__text) external __simple_vdprintf
0000000180c61124 (__TEXT,__text) external __simple_vesprintf
0000000180c61418 (__TEXT,__text) external __simple_vsnprintf
0000000180c65f8c (__TEXT,__text) non-external __simple_vsnprintf.cold.1
0000000180c610fc (__TEXT,__text) external __simple_vsprintf
0000000180c614c8 (__TEXT,__text) non-external __snprintf_out_of_space
0000000180c628b0 (__TEXT,__text) external __spin_lock
0000000180c628e4 (__TEXT,__text) external __spin_lock_try
0000000180c628fc (__TEXT,__text) external __spin_unlock
0000000182cd0050 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
0000000180c624b4 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180c61514 (__TEXT,__text) non-external _dec
0000000180c64ed8 (__TEXT,__text) external _ffs
0000000180c64ef0 (__TEXT,__text) external _ffsl
0000000180c64ef0 (__TEXT,__text) external _ffsll
0000000180c64f08 (__TEXT,__text) external _fls
0000000180c64f18 (__TEXT,__text) external _flsl
0000000180c64f18 (__TEXT,__text) external _flsll
0000000182ccadc8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180c65e60 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180c61a48 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180c643c0 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180c65b30 (__TEXT,__text) external _makecontext
0000000180c6453c (__TEXT,__text) non-external (was a private external) _memset
0000000180c61864 (__TEXT,__text) non-external _oct
0000000180c63b1c (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
0000000180c63bd4 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
0000000180c63b7c (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
0000000180c63bfc (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
0000000180c63bac (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
0000000180c63c00 (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
0000000180c63cc0 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
0000000180c63c60 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
0000000180c63cec (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
0000000180c63c94 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
0000000180c62738 (__TEXT,__text) external _os_lock_lock
0000000180c62748 (__TEXT,__text) external _os_lock_trylock
0000000180c62758 (__TEXT,__text) external _os_lock_unlock
0000000180c62654 (__TEXT,__text) external _os_security_config_get
0000000180c62660 (__TEXT,__text) external _os_security_config_get_for_proc
0000000180c626e0 (__TEXT,__text) external _os_security_config_get_for_task
0000000180c63738 (__TEXT,__text) external _os_sync_wait_on_address
0000000180c635f8 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180c63698 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
0000000180c63850 (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180c637c8 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180c62e68 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180c661dc (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180c62e3c (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180c661b4 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180c62a60 (__TEXT,__text) external _os_unfair_lock_lock
0000000180c62de4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180c62e18 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180c62bfc (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180c62c20 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180c62c3c (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180c62d1c (__TEXT,__text) external _os_unfair_lock_unlock
0000000180c62e04 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180c62eb0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180c62e94 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180c660d0 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180c62f50 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180c66204 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
0000000180c62ef0 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180c62fc0 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180c66218 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180c65c8c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
0000000180c65f5c (__TEXT,__text) non-external _sb
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180c65d34 (__TEXT,__text) external _setcontext
0000000180c64380 (__TEXT,__text) external _setjmp
0000000180c643b4 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180c64374 (__TEXT,__text) external _sigsetjmp
0000000180c628b0 (__TEXT,__text) external _spin_lock
0000000180c628e4 (__TEXT,__text) external _spin_lock_try
0000000180c628fc (__TEXT,__text) external _spin_unlock
0000000180c65a78 (__TEXT,__text) external _swapcontext
0000000180c623d4 (__TEXT,__text) external _sys_cache_control
0000000180c624d4 (__TEXT,__text) external _sys_dcache_flush
0000000180c62420 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180c65ee8 (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180c65f40 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180c61dc4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180c61fb8 (__TEXT,__text) non-external _ydec
