00007ff8400abe00 (__DATA,__data) non-external _C
00007ff800b84239 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800b84253 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800b841b2 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800b843ce (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800b60987 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800b609d4 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800b60c63 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800b60c7d (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800b60bb7 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800b60df8 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800b4ff0a (__TEXT,__text) external ___Balloc_D2A
00007ff800b50053 (__TEXT,__text) external ___Bfree_D2A
00007ff800b40d4d (__TEXT,__text) external ____mb_cur_max
00007ff800b40d7b (__TEXT,__text) external ____mb_cur_max_l
00007ff800b5fa58 (__TEXT,__text) external ____runetype
00007ff800b5f9a7 (__TEXT,__text) external ____runetype_l
00007ff800b6088d (__TEXT,__text) external ____tolower
00007ff800b607e3 (__TEXT,__text) external ____tolower_l
00007ff800b6095f (__TEXT,__text) external ____toupper
00007ff800b608b5 (__TEXT,__text) external ____toupper_l
00007ff800ba393f (__TEXT,__text) non-external (was a private external) ___abort
00007ff800b4aacf (__TEXT,__text) external ___add_ovflpage
00007ff800b4a84b (__TEXT,__text) external ___addel
00007ff800b50b20 (__TEXT,__text) external ___any_on_D2A
00007ff800ba2c2a (__TEXT,__text) external ___assert_rtn
00007ff8400b8a78 (__DATA,__bss) non-external ___atexit
00007ff800b847ca (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400b8a80 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800b506df (__TEXT,__text) external ___b2d_D2A
00007ff800b4916a (__TEXT,__text) external ___big_delete
00007ff800b48eac (__TEXT,__text) external ___big_insert
00007ff800b49797 (__TEXT,__text) external ___big_keydata
00007ff800b49431 (__TEXT,__text) external ___big_return
00007ff800b49906 (__TEXT,__text) external ___big_split
00007ff800ba53a0 (__TEXT,__const) external ___bigtens_D2A
00007ff800b43d96 (__TEXT,__text) external ___bt_close
00007ff800b47aca (__TEXT,__text) external ___bt_cmp
00007ff800b47b6a (__TEXT,__text) external ___bt_defcmp
00007ff800b47bb1 (__TEXT,__text) external ___bt_defpfx
00007ff800b441fd (__TEXT,__text) external ___bt_delete
00007ff800b44857 (__TEXT,__text) external ___bt_dleaf
00007ff800b456dd (__TEXT,__text) external ___bt_fd
00007ff800b4672a (__TEXT,__text) non-external ___bt_first
00007ff800b45a9f (__TEXT,__text) external ___bt_free
00007ff800b44eb5 (__TEXT,__text) external ___bt_get
00007ff800b45ad0 (__TEXT,__text) external ___bt_new
00007ff800b44f92 (__TEXT,__text) external ___bt_open
00007ff800b44c21 (__TEXT,__text) non-external ___bt_pdelete
00007ff800b43f30 (__TEXT,__text) external ___bt_pgin
00007ff800b440b8 (__TEXT,__text) external ___bt_pgout
00007ff800b45b23 (__TEXT,__text) external ___bt_put
00007ff800b44e2c (__TEXT,__text) non-external ___bt_relink
00007ff800b47918 (__TEXT,__text) external ___bt_ret
00007ff800b460a0 (__TEXT,__text) external ___bt_search
00007ff800b46304 (__TEXT,__text) external ___bt_seq
00007ff800b466e0 (__TEXT,__text) external ___bt_setcur
00007ff800b46901 (__TEXT,__text) external ___bt_split
00007ff800b444fe (__TEXT,__text) non-external ___bt_stkacq
00007ff800b43e62 (__TEXT,__text) external ___bt_sync
00007ff800b49eda (__TEXT,__text) external ___buf_free
00007ff800b49ea2 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff8400abe08 (__DATA,__data) non-external ___c_locale
00007ff800b93e61 (__TEXT,__text) non-external ___calc_left_pad
00007ff800b489fc (__TEXT,__text) external ___call_hash
00007ff8400aced0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800ba1d09 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800ba1d1b (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800b50e5f (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800ba1d2d (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400b8bf0 (__DATA,__common) external ___cleanup
00007ff800b50583 (__TEXT,__text) external ___cmp_D2A
00007ff800b5c163 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800b5c360 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800b5c526 (__TEXT,__text) external ___collate_equiv_match
00007ff800b5c9c3 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800b5b86e (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400ac4c8 (__DATA,__data) external ___collate_load_error
00007ff800b5aba6 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400adee0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800b5b07e (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800b5bc4f (__TEXT,__text) external ___collate_lookup
00007ff800b5b929 (__TEXT,__text) external ___collate_lookup_l
00007ff800b5be1f (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800b5bd10 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800b5cb05 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400adee8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400adef0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800b5b653 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800b5b81c (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800b5bf15 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800b39d9c (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800b50aa7 (__TEXT,__text) external ___copybits_D2A
00007ff800b8ceb1 (__TEXT,__text) non-external ___cvt
00007ff8400b8af0 (__DATA,__bss) non-external ___cvt.s
00007ff800b8497b (__TEXT,__text) external ___cxa_atexit
00007ff800b84baa (__TEXT,__text) external ___cxa_finalize
00007ff800b849ae (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800b507ae (__TEXT,__text) external ___d2b_D2A
00007ff8400b8ba8 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800b47c9a (__TEXT,__text) non-external ___dberr
00007ff800b47c75 (__TEXT,__text) external ___dbpanic
00007ff8400ac3d8 (__DATA,__data) external ___default_hash
00007ff800b4a0f4 (__TEXT,__text) external ___delpair
00007ff800b600a7 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800b505cb (__TEXT,__text) external ___diff_D2A
00007ff8400adc30 (__DATA,__bss) non-external ___dirhelper_func
00007ff800b4dc5c (__TEXT,__text) external ___dtoa
00007ff8400b8c10 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800b84ee4 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400b8a84 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800b8161b (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800b67fcb (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800b488a7 (__TEXT,__text) external ___expand_table
00007ff8400af990 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800b6497b (__TEXT,__text) external ___fflush
00007ff800b64dae (__TEXT,__text) external ___fgetwc
00007ff800b688b4 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800b492a5 (__TEXT,__text) external ___find_bigpair
00007ff800b493bb (__TEXT,__text) external ___find_last_page
00007ff800b69980 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800b84e20 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800b5d0c7 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800b5d183 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800b65b0d (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800b66013 (__TEXT,__text) external ___fread
00007ff800b4b3b8 (__TEXT,__text) external ___free_ovflpage
00007ff800b4db02 (__TEXT,__text) external ___freedtoa
00007ff8400aced4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800b3aa3d (__TEXT,__text) non-external ___fts_open
00007ff800b4ebc8 (__TEXT,__text) external ___gdtoa
00007ff8400b8b58 (__DATA,__common) external ___gdtoa_locks
00007ff800b49a94 (__TEXT,__text) external ___get_buf
00007ff800b5dbc0 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800b5e0a2 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800b5e30c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800b80e47 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800b5fee2 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800b4ae72 (__TEXT,__text) external ___get_page
00007ff800b553bf (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8400af950 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff8400ab838 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800b84547 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800b47ca8 (__TEXT,__text) external ___hash_open
00007ff800b4d4a8 (__TEXT,__text) external ___hdtoa
00007ff800b8d592 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800b501c6 (__TEXT,__text) external ___hi0bits_D2A
00007ff800b4d81e (__TEXT,__text) external ___hldtoa
00007ff800b50232 (__TEXT,__text) external ___i2b_D2A
00007ff800b4b2ed (__TEXT,__text) external ___ibitmap
00007ff800b8ad31 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800b5f5ec (__TEXT,__text) external ___isctype
00007ff800b5f582 (__TEXT,__text) external ___istype
00007ff800b5f74f (__TEXT,__text) external ___istype_l
00007ff8400ac441 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800b8d830 (__TEXT,__text) external ___ldtoa
00007ff800b431ba (__TEXT,__text) external ___libc_init
00007ff800b5009e (__TEXT,__text) external ___lo0bits_D2A
00007ff800b68061 (__TEXT,__text) non-external ___loadevp
00007ff8400abdf8 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800b4a0d8 (__TEXT,__text) external ___log2
00007ff800ba6170 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800b50489 (__TEXT,__text) external ___lshift_D2A
00007ff800b5f530 (__TEXT,__text) external ___maskrune
00007ff800b5f6fa (__TEXT,__text) external ___maskrune_l
00007ff800b50a6a (__TEXT,__text) external ___match_D2A
00007ff8400ac59c (__DATA,__data) external ___mb_cur_max
00007ff8400ac5a0 (__DATA,__data) external ___mb_sb_limit
00007ff800b77276 (__TEXT,__text) non-external ___mbsconv
00007ff800b5e8a1 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800ba1efd (__TEXT,__text) external ___memccpy_chk
00007ff800ba235f (__TEXT,__text) external ___memcpy_chk
00007ff800ba1e98 (__TEXT,__text) external ___memmove_chk
00007ff800ba1d59 (__TEXT,__text) external ___memset_chk
00007ff800b5d9b9 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400adef8 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800b5dbe3 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400adf08 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800b50255 (__TEXT,__text) external ___mult_D2A
00007ff800b5012d (__TEXT,__text) external ___multadd_D2A
00007ff800b64109 (__TEXT,__text) non-external ___nls_free_resources
00007ff800ba5a7d (__TEXT,__const) non-external ___nogrouping
00007ff800b4dabf (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800b40b3c (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800b5e0c5 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400adf18 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800b6013a (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800b55c2b (__TEXT,__text) external ___opendir2
00007ff800b55d3a (__TEXT,__text) non-external ___opendir_common
00007ff800b459dd (__TEXT,__text) external ___ovfl_delete
00007ff800b4580a (__TEXT,__text) external ___ovfl_get
00007ff800b458e5 (__TEXT,__text) external ___ovfl_put
00007ff800b731fa (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8400af9b8 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff8400af9b0 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400acb80 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800b5d70f (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400b8b78 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8400ac448 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800b50382 (__TEXT,__text) external ___pow5mult_D2A
00007ff800ba5390 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800b90e4e (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800ba3c83 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800b8f114 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800ba3b12 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800b8f204 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800ba3b34 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800b8fdf0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800ba3b7a (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800b90064 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800ba3b9b (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800b915d6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800ba3ceb (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800b915b8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800b9080a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800ba3c1e (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800b908af (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800ba3c41 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800b90b4b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800ba3c62 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800b90fd3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800ba3ca6 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800b912e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800ba3cc7 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800b916d3 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800b91e7c (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800b91404 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800b6c461 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800b91533 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800b914b2 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800b91437 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800b90e91 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800b8f133 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800b8f240 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800ba3b57 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800b8fe17 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800b900e5 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800ba3bbe (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800ba3bfb (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800b915f5 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800b915c0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800b90837 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800b908ce (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800b90b81 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800b90ff2 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800b912ff (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800b54e22 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8400addb8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800b4b00b (__TEXT,__text) external ___put_page
00007ff800ba5b5f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800b4db23 (__TEXT,__text) external ___quorem_D2A
00007ff800b509be (__TEXT,__text) external ___ratio_D2A
00007ff800b4bc5a (__TEXT,__text) external ___rec_close
00007ff800b4bf61 (__TEXT,__text) external ___rec_delete
00007ff800b4c071 (__TEXT,__text) external ___rec_dleaf
00007ff800b4ca52 (__TEXT,__text) external ___rec_fd
00007ff800b4c4d8 (__TEXT,__text) external ___rec_fmap
00007ff800b4c268 (__TEXT,__text) external ___rec_fpipe
00007ff800b4c184 (__TEXT,__text) external ___rec_get
00007ff800b4cd78 (__TEXT,__text) external ___rec_iput
00007ff800b4c6ae (__TEXT,__text) external ___rec_open
00007ff800b4caa0 (__TEXT,__text) external ___rec_put
00007ff800b4d31c (__TEXT,__text) external ___rec_ret
00007ff800b4cfc8 (__TEXT,__text) external ___rec_search
00007ff800b4d168 (__TEXT,__text) external ___rec_seq
00007ff800b4bd19 (__TEXT,__text) external ___rec_sync
00007ff800b4c5eb (__TEXT,__text) external ___rec_vmap
00007ff800b4c396 (__TEXT,__text) external ___rec_vpipe
00007ff800b49fbd (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800b4fe08 (__TEXT,__text) external ___rshift_D2A
00007ff800b4da84 (__TEXT,__text) external ___rv_alloc_D2A
00007ff800b508f2 (__TEXT,__text) external ___s2b_D2A
00007ff8400ac6a0 (__DATA,__data) external ___sF
00007ff8400ac870 (__DATA,__data) non-external ___sFX
00007ff800b6b39d (__TEXT,__text) external ___sclose
00007ff8400ae150 (__DATA,__bss) non-external ___scounted
00007ff8400b8b90 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800b8ad94 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800b60242 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8400ae0f8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8400ae100 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800b93efb (__TEXT,__text) non-external ___setup_vars
00007ff800b65681 (__TEXT,__text) external ___sflags
00007ff800b64811 (__TEXT,__text) external ___sflush
00007ff800b651f6 (__TEXT,__text) external ___sfp
00007ff800b655c0 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800b66f48 (__TEXT,__text) external ___sfvwrite
00007ff8400acb10 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800b653c0 (__TEXT,__text) external ___sinit
00007ff800b649e5 (__TEXT,__text) external ___slbexpand
00007ff800b67c64 (__TEXT,__text) external ___smakebuf
00007ff800ba1f4a (__TEXT,__text) external ___snprintf_chk
00007ff800ba1fee (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800b4a231 (__TEXT,__text) external ___split_page
00007ff800b7795f (__TEXT,__text) non-external ___sprint
00007ff800ba21b8 (__TEXT,__text) external ___sprintf_chk
00007ff800ba228b (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800b6b36d (__TEXT,__text) external ___sread
00007ff800b6a9dd (__TEXT,__text) external ___srefill
00007ff800b6a82c (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800b6a984 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800b6aad9 (__TEXT,__text) external ___srget
00007ff800b6b38f (__TEXT,__text) external ___sseek
00007ff800b846ba (__TEXT,__text) external ___stack_chk_fail
00007ff8400b8bb0 (__DATA,__common) external ___stack_chk_guard
00007ff8400af980 (__DATA,__bss) non-external ___stderr_evp
00007ff8400acaf0 (__DATA,__data) external ___stderrp
00007ff8400af960 (__DATA,__bss) non-external ___stdin_evp
00007ff8400acae0 (__DATA,__data) external ___stdinp
00007ff800b50e5f (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff8400af970 (__DATA,__bss) non-external ___stdout_evp
00007ff8400acae8 (__DATA,__data) external ___stdoutp
00007ff800ba2163 (__TEXT,__text) external ___stpcpy_chk
00007ff800ba2371 (__TEXT,__text) external ___stpncpy_chk
00007ff800ba209f (__TEXT,__text) external ___strcat_chk
00007ff800b508cf (__TEXT,__text) external ___strcp_D2A
00007ff800ba1eaa (__TEXT,__text) external ___strcpy_chk
00007ff8400b8a58 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800ba1c3d (__TEXT,__text) external ___strlcat_chk
00007ff800ba1d6b (__TEXT,__text) external ___strlcpy_chk
00007ff800ba1db6 (__TEXT,__text) external ___strncat_chk
00007ff800ba1e40 (__TEXT,__text) external ___strncpy_chk
00007ff800b50b7e (__TEXT,__text) external ___sum_D2A
00007ff800b731cc (__TEXT,__text) external ___svfscanf
