0000000186668990 (__TEXT,__const) non-external _A1_Table
00000001eb0ca340 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00000001eb0ca338 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00000001eb0ca398 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00000001eb0ca378 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00000001eb0ca368 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00000001eb0ca3b8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
000000018638dcb8 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
000000018638785c (__TEXT,__text) non-external (was a private external) _CacheTable_Init
000000018667a0f0 (__TEXT,__const) non-external _CacheTable_Init.elementSize
0000000186387b18 (__TEXT,__text) non-external _CacheTable_key_hash
0000000186388a78 (__TEXT,__text) non-external _CacheTable_key_is_equal
00000001865df2a4 (__TEXT,__text) non-external _CacheTable_key_release
0000000186388a2c (__TEXT,__text) non-external _CacheTable_key_retain
0000000186387a78 (__TEXT,__text) non-external _CacheTable_setup
000000018639c974 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00000001863941a8 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00000001865df2a8 (__TEXT,__text) non-external _CacheTable_value_release
00000001863fe54c (__TEXT,__text) non-external (was a private external) _CalculateEdgePixel_Truncate
00000001df6cdaf8 (__DATA,__data) non-external _CalculateNumThreads.cpuCount
0000000186520078 (__TEXT,__text) non-external _ChunkyToPlanar16U
000000018638508c (__TEXT,__text) non-external _ChunkyToPlanar8
00000001865201a4 (__TEXT,__text) non-external _ChunkyToPlanarF
0000000186515164 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00000001864e28b4 (__TEXT,__text) non-external _CoefGeneration
00000001864ea2dc (__TEXT,__text) non-external _CoefGenerationFP16
00000001864e6a90 (__TEXT,__text) non-external _CoefGenerationVertical
00000001864ee3b4 (__TEXT,__text) non-external _CoefGenerationVertical_FP16
0000000186413aa4 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
000000018640c27c (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00000001863b4b24 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
0000000186409df0 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
000000018651b2c4 (__TEXT,__text) non-external _CompressPassesToLUT
00000001ef18d8a0 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00000001ef18d840 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00000001ef18d660 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00000001ef18d6c0 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00000001ef18d780 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00000001ef18d7e0 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00000001ef18d720 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00000001ef18d600 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
00000001863bd788 (__TEXT,__text) non-external _ComputeTileSize
00000001865df448 (__TEXT,__text) non-external _ComputeTileSize.cold.1
0000000186517cd8 (__TEXT,__text) non-external _Convert10ToF
00000001865170e8 (__TEXT,__text) non-external _Convert10toSomethingPass_Print
0000000186517e00 (__TEXT,__text) non-external _Convert11ToF
0000000186517f28 (__TEXT,__text) non-external _Convert12ToF
0000000186518050 (__TEXT,__text) non-external _Convert13ToF
0000000186518178 (__TEXT,__text) non-external _Convert14ToF
00000001865182a0 (__TEXT,__text) non-external _Convert15ToF
00000001863a8a04 (__TEXT,__text) non-external (was a private external) _Convert16UToF
00000001865183c8 (__TEXT,__text) non-external _Convert17ToF
00000001865184f0 (__TEXT,__text) non-external _Convert18ToF
0000000186518618 (__TEXT,__text) non-external _Convert19ToF
0000000186515a10 (__TEXT,__text) non-external _Convert1To8Bit
0000000186518740 (__TEXT,__text) non-external _Convert20ToF
0000000186518868 (__TEXT,__text) non-external _Convert21ToF
0000000186518990 (__TEXT,__text) non-external _Convert22ToF
0000000186518ab8 (__TEXT,__text) non-external _Convert23ToF
0000000186518be0 (__TEXT,__text) non-external _Convert24ToF
0000000186518d08 (__TEXT,__text) non-external _Convert25ToF
0000000186518e30 (__TEXT,__text) non-external _Convert26ToF
0000000186518f58 (__TEXT,__text) non-external _Convert27ToF
0000000186519080 (__TEXT,__text) non-external _Convert28ToF
00000001865191a8 (__TEXT,__text) non-external _Convert29ToF
0000000186515b28 (__TEXT,__text) non-external _Convert2To8Bit
00000001865192d0 (__TEXT,__text) non-external _Convert30ToF
00000001865193f8 (__TEXT,__text) non-external _Convert31ToF
0000000186519520 (__TEXT,__text) non-external _Convert32ToF
0000000186516070 (__TEXT,__text) non-external _Convert3To8Bit
0000000186515c40 (__TEXT,__text) non-external _Convert4To8Bit
0000000186516190 (__TEXT,__text) non-external _Convert5To8Bit
00000001865162a8 (__TEXT,__text) non-external _Convert6To8Bit
00000001865163c8 (__TEXT,__text) non-external _Convert7To8Bit
0000000186515d58 (__TEXT,__text) non-external _Convert8To1Bit
0000000186515e60 (__TEXT,__text) non-external _Convert8To2Bit
00000001865164e8 (__TEXT,__text) non-external _Convert8To3Bit
0000000186515f68 (__TEXT,__text) non-external _Convert8To4Bit
00000001865165d8 (__TEXT,__text) non-external _Convert8To5Bit
00000001865166c8 (__TEXT,__text) non-external _Convert8To6Bit
00000001865167b8 (__TEXT,__text) non-external _Convert8To7Bit
0000000186517bb0 (__TEXT,__text) non-external _Convert9ToF
000000018637ee9c (__TEXT,__text) non-external _ConvertByteOrderingToDefault
00000001ef18ac00 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed1_vtbl
00000001ef18ac60 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed2_vtbl
00000001ef18acc0 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed4_vtbl
00000001ef18ad20 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_TableLookUp_Planar8toIndexed_vtbl
000000018651974c (__TEXT,__text) non-external _ConvertFTo10
0000000186519850 (__TEXT,__text) non-external _ConvertFTo11
0000000186519954 (__TEXT,__text) non-external _ConvertFTo12
0000000186519a58 (__TEXT,__text) non-external _ConvertFTo13
0000000186519b5c (__TEXT,__text) non-external _ConvertFTo14
0000000186519c60 (__TEXT,__text) non-external _ConvertFTo15
0000000186519d64 (__TEXT,__text) non-external _ConvertFTo17
0000000186519e68 (__TEXT,__text) non-external _ConvertFTo18
0000000186519f6c (__TEXT,__text) non-external _ConvertFTo19
000000018651a070 (__TEXT,__text) non-external _ConvertFTo20
000000018651a174 (__TEXT,__text) non-external _ConvertFTo21
000000018651a278 (__TEXT,__text) non-external _ConvertFTo22
000000018651a37c (__TEXT,__text) non-external _ConvertFTo23
000000018651a480 (__TEXT,__text) non-external _ConvertFTo24
000000018651a584 (__TEXT,__text) non-external _ConvertFTo25
000000018651a688 (__TEXT,__text) non-external _ConvertFTo26
000000018651a78c (__TEXT,__text) non-external _ConvertFTo27
000000018651a890 (__TEXT,__text) non-external _ConvertFTo28
000000018651a994 (__TEXT,__text) non-external _ConvertFTo29
000000018651aa98 (__TEXT,__text) non-external _ConvertFTo30
000000018651ab9c (__TEXT,__text) non-external _ConvertFTo31
000000018651aca0 (__TEXT,__text) non-external _ConvertFTo32
0000000186519648 (__TEXT,__text) non-external _ConvertFTo9
000000018651b12c (__TEXT,__text) non-external _ConvertFloatToHalf
00000001ef1936c0 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16Q12_vtbl
00000001ef193720 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16U_vtbl
00000001ef193660 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB8888_vtbl
000000018651b060 (__TEXT,__text) non-external _ConvertHalfToFloat
00000001ef18a960 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed1toPlanar8_vtbl
00000001ef18a9c0 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed2toPlanar8_vtbl
00000001ef18aa20 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed4toPlanar8_vtbl
00000001ef18aae0 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8ToChunky_vtbl
00000001ef18aba0 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toARGB888_vtbl
00000001ef18ab40 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toRGB888_vtbl
00000001ef18aa80 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_TableLookUp_Planar8_vtbl
000000018638d458 (__TEXT,__text) non-external (was a private external) _ConvertPass_Delete
00000001864b4948 (__TEXT,__text) non-external (was a private external) _ConvertPass_Print
000000018638d4e8 (__TEXT,__text) non-external (was a private external) _ConvertPass_StandardDeallocator
00000001ef1925e0 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16Q12toCVRGB101010_vtbl
00000001ef192640 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16UtoCVRGB101010_vtbl
00000001ef192580 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB8888toCVRGB101010_vtbl
000000018651ada4 (__TEXT,__text) non-external _Convert_12UTo16U
000000018650fe4c (__TEXT,__text) non-external (was a private external) _Convert_16Q12to16U
000000018650fcac (__TEXT,__text) non-external (was a private external) _Convert_16Q12to8
000000018650ffec (__TEXT,__text) non-external (was a private external) _Convert_16Q12toF
000000018651aea0 (__TEXT,__text) non-external _Convert_16UTo12U
000000018650f9f8 (__TEXT,__text) non-external (was a private external) _Convert_16UToF
000000018650f884 (__TEXT,__text) non-external (was a private external) _Convert_16UToPlanar8
000000018650fd7c (__TEXT,__text) non-external (was a private external) _Convert_16Uto16Q12
0000000186521bb0 (__TEXT,__text) non-external _Convert_420Yp8_Cb8_Cr8ToARGB8888
0000000186521c00 (__TEXT,__text) non-external _Convert_420Yp8_CbCr8ToARGB8888
0000000186521b10 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB16U
0000000186521af0 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB8888
0000000186521a50 (__TEXT,__text) non-external _Convert_422CbYpCrYp8ToARGB8888
0000000186521be0 (__TEXT,__text) non-external _Convert_422CbYpCrYp8_AA8ToARGB8888
0000000186521b50 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB16Q12
0000000186521b30 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB8888
0000000186521c2c (__TEXT,__text) non-external _Convert_422YpCbYpCr8ToARGB8888
0000000186521ab8 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB16U
0000000186521aa0 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB8888
0000000186521a88 (__TEXT,__text) non-external _Convert_444AYpCbCr8ToARGB8888
0000000186521a70 (__TEXT,__text) non-external _Convert_444CbYpCrA8ToARGB8888
0000000186521b90 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB16Q12
0000000186521b70 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB8888
0000000186521ad0 (__TEXT,__text) non-external _Convert_444CrYpCb8ToARGB8888
000000018639de84 (__TEXT,__text) non-external (was a private external) _Convert_8to16Q12
00000001865168a8 (__TEXT,__text) non-external _Convert_ARGB1555toARGB8888
000000018651691c (__TEXT,__text) non-external _Convert_ARGB1555toBGRA8888
0000000186521934 (__TEXT,__text) non-external _Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10
0000000186521964 (__TEXT,__text) non-external _Convert_ARGB16Q12To444CrYpCb10
000000018652180c (__TEXT,__text) non-external _Convert_ARGB16Q12toCVRGB101010
0000000186521904 (__TEXT,__text) non-external _Convert_ARGB16UTo422CbYpCrYp16
00000001865218bc (__TEXT,__text) non-external _Convert_ARGB16UTo444AYpCbCr16
000000018650f954 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UToARGB8888
000000018666bcd8 (__TEXT,__const) non-external _Convert_ARGB16UToARGB8888.black
000000018652183c (__TEXT,__text) non-external _Convert_ARGB16UtoCVRGB101010
000000018650ef54 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UtoRGB16U
000000018652197c (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_Cb8_Cr8
00000001865219bc (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_CbCr8
00000001865218ec (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp16
000000018652185c (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8
00000001865219a0 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8_AA8
000000018652191c (__TEXT,__text) non-external _Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10
00000001865219d8 (__TEXT,__text) non-external _Convert_ARGB8888To422YpCbYpCr8
00000001865218a4 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr16
000000018652188c (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr8
0000000186521874 (__TEXT,__text) non-external _Convert_ARGB8888To444CbYpCrA8
000000018652194c (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb10
00000001865218d4 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb8
000000018650f658 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToARGB16U
000000018666bcc8 (__TEXT,__const) non-external _Convert_ARGB8888ToARGB16U.backColor
000000018650f6fc (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToRGB16U
000000018666bcd0 (__TEXT,__const) non-external _Convert_ARGB8888ToRGB16U.backColor
0000000186516d28 (__TEXT,__text) non-external _Convert_ARGB8888toARGB1555
00000001865217ec (__TEXT,__text) non-external _Convert_ARGB8888toCVRGB101010
00000001865173f8 (__TEXT,__text) non-external _Convert_ARGB8888toRGB101010
0000000186516dc0 (__TEXT,__text) non-external _Convert_ARGB8888toRGB565
000000018650ef0c (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888toRGB888
000000018650ef9c (__TEXT,__text) non-external (was a private external) _Convert_ARGBFFFFtoRGBFFF
00000001865139b0 (__TEXT,__text) non-external _Convert_BGR888toRGB888
000000018666bf8c (__TEXT,__const) non-external _Convert_BGR888toRGB888.permuteMap
0000000186517478 (__TEXT,__text) non-external _Convert_BGRA8888toRGB101010
0000000186516ef0 (__TEXT,__text) non-external _Convert_BGRA8888toRGB565
000000018650eef4 (__TEXT,__text) non-external (was a private external) _Convert_BGRA8888toRGB888
0000000186521a10 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16Q12
0000000186521a30 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16U
00000001865219f0 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB8888
000000018650fbc4 (__TEXT,__text) non-external (was a private external) _Convert_FTo16U
000000018650ff1c (__TEXT,__text) non-external (was a private external) _Convert_Fto16Q12
0000000186514d10 (__TEXT,__text) non-external _Convert_Indexed1toPlanar8
0000000186514fcc (__TEXT,__text) non-external _Convert_Indexed2toPlanar8
0000000186515054 (__TEXT,__text) non-external _Convert_Indexed4toPlanar8
000000018651af94 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16Q12
00000001863a0de4 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16U
000000018639e190 (__TEXT,__text) non-external _Convert_Planar16Q12toPlanar16F
000000018651b1f8 (__TEXT,__text) non-external _Convert_Planar16UtoPlanar16F
000000018650f588 (__TEXT,__text) non-external (was a private external) _Convert_Planar8To16U
0000000186515290 (__TEXT,__text) non-external _Convert_Planar8toARGB8888
00000001865152b0 (__TEXT,__text) non-external _Convert_Planar8toIndexed1
0000000186515350 (__TEXT,__text) non-external _Convert_Planar8toIndexed2
00000001865153f0 (__TEXT,__text) non-external _Convert_Planar8toIndexed4
000000018650f7a0 (__TEXT,__text) non-external (was a private external) _Convert_Planar8toPlanarF
0000000186515274 (__TEXT,__text) non-external _Convert_Planar8toRGB888
000000018650fae0 (__TEXT,__text) non-external (was a private external) _Convert_PlanarFtoPlanar8
0000000186517170 (__TEXT,__text) non-external _Convert_RGB101010toARGB8888
0000000186517220 (__TEXT,__text) non-external _Convert_RGB101010toBGRA8888
0000000186517718 (__TEXT,__text) non-external _Convert_RGB101010toRGB16U
00000001865172e8 (__TEXT,__text) non-external _Convert_RGB101010toRGB888
0000000186517588 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16Q12
0000000186517650 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16U
0000000186517020 (__TEXT,__text) non-external _Convert_RGB101010toRGBA8888
0000000186517940 (__TEXT,__text) non-external _Convert_RGB101010toRGBAFFFF
0000000186517a18 (__TEXT,__text) non-external _Convert_RGB101010toRGBFFF
000000018650ee9c (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoARGB16U
00000001865178c4 (__TEXT,__text) non-external _Convert_RGB16UtoRGB101010
000000018639f974 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoRGBA16U
0000000186516c0c (__TEXT,__text) non-external _Convert_RGB565toABGR8888
0000000186516a34 (__TEXT,__text) non-external _Convert_RGB565toARGB8888
0000000186516b94 (__TEXT,__text) non-external _Convert_RGB565toBGRA8888
0000000186516cb4 (__TEXT,__text) non-external _Convert_RGB565toRGB888
0000000186516b1c (__TEXT,__text) non-external _Convert_RGB565toRGBA8888
000000018650ee7c (__TEXT,__text) non-external (was a private external) _Convert_RGB888toARGB8888
00000001863939d0 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toBGRA8888
000000018651750c (__TEXT,__text) non-external _Convert_RGB888toRGB101010
0000000186516f88 (__TEXT,__text) non-external _Convert_RGB888toRGB565
0000000186394660 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toRGBA8888
0000000186517794 (__TEXT,__text) non-external _Convert_RGBA16Q12toRGB101010
0000000186517830 (__TEXT,__text) non-external _Convert_RGBA16UtoRGB101010
000000018650ef48 (__TEXT,__text) non-external (was a private external) _Convert_RGBA16UtoRGB16U
00000001865169c0 (__TEXT,__text) non-external _Convert_RGBA5551toRGBA8888
0000000186517364 (__TEXT,__text) non-external _Convert_RGBA8888toRGB101010
00000001863b435c (__TEXT,__text) non-external _Convert_RGBA8888toRGB565
000000018650ef00 (__TEXT,__text) non-external (was a private external) _Convert_RGBA8888toRGB888
0000000186516e58 (__TEXT,__text) non-external _Convert_RGBA8888toRGBA5551
0000000186517a98 (__TEXT,__text) non-external _Convert_RGBAFFFFtoRGB101010
000000018650ef90 (__TEXT,__text) non-external (was a private external) _Convert_RGBAFFFFtoRGBFFF
000000018650eed8 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoARGBFFFF
0000000186517b30 (__TEXT,__text) non-external _Convert_RGBFFFtoRGB101010
000000018650eebc (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoRGBAFFFF
0000000186393bd0 (__TEXT,__text) non-external (was a private external) _CopyImageTilingInfo
0000000186413080 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGB8888
000000018640bde8 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGBFFFF
000000018640f78c (__TEXT,__text) non-external (was a private external) _CopyInPlace_Planar8
000000018640957c (__TEXT,__text) non-external (was a private external) _CopyInPlace_PlanarF
000000018639441c (__TEXT,__text) non-external (was a private external) _Copy_Convert
000000018651c548 (__TEXT,__text) non-external _CorrectWithinColorspace
00000001ef192a00 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00000001ef192ac0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To444CrYpCb10_vtbl
00000001ef192940 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo422CbYpCrYp16_vtbl
00000001ef192820 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo444AYpCbCr16_vtbl
00000001ef192b20 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_Cb8_Cr8_vtbl
00000001ef192be0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_CbCr8_vtbl
00000001ef1928e0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp16_vtbl
00000001ef192b80 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp8_AA8_vtbl
00000001ef1926a0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp8_vtbl
00000001ef1929a0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00000001ef192c40 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422YpCbYpCr8_vtbl
00000001ef1927c0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444AYpCbCr16_vtbl
00000001ef192760 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444AYpCbCr8_vtbl
00000001ef192700 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444CbYpCrA8_vtbl
00000001ef192a60 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444CrYpCb10_vtbl
00000001ef192880 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444CrYpCb8_vtbl
00000001eb0ca318 (__DATA_DIRTY,__data) non-external (was a private external) _CreateCGImageFromBuffer
