00007ffa1837ff0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1837bf58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa1837e5dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1837bf3a (__TEXT,__text) external _glBlendEquationi
00007ffa1837e5be (__TEXT,__text) external _glBlendEquationiARB
00007ffa18375e66 (__TEXT,__text) external _glBlendFunc
00007ffa1837951a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa1837ebc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1837bf9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1837e61e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1837bf79 (__TEXT,__text) external _glBlendFunci
00007ffa1837e5fd (__TEXT,__text) external _glBlendFunciARB
00007ffa1837a8bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa1837eec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa183798cc (__TEXT,__text) external _glBufferData
00007ffa1837de8f (__TEXT,__text) external _glBufferDataARB
00007ffa1837fc29 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa183798f2 (__TEXT,__text) external _glBufferSubData
00007ffa1837deb5 (__TEXT,__text) external _glBufferSubDataARB
00007ffa18375e81 (__TEXT,__text) external _glCallList
00007ffa18375e9a (__TEXT,__text) external _glCallLists
00007ffa1837a7bb (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa1837edc0 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa1837abb1 (__TEXT,__text) external _glClampColor
00007ffa1837e51d (__TEXT,__text) external _glClampColorARB
00007ffa18375eb8 (__TEXT,__text) external _glClear
00007ffa18375ed1 (__TEXT,__text) external _glClearAccum
00007ffa1837b15a (__TEXT,__text) external _glClearBufferfi
00007ffa1837b138 (__TEXT,__text) external _glClearBufferfv
00007ffa1837b0f4 (__TEXT,__text) external _glClearBufferiv
00007ffa1837b116 (__TEXT,__text) external _glClearBufferuiv
00007ffa18375ee8 (__TEXT,__text) external _glClearColor
00007ffa1837f5cb (__TEXT,__text) external _glClearColorIiEXT
00007ffa1837f5ef (__TEXT,__text) external _glClearColorIuiEXT
00007ffa18375eff (__TEXT,__text) external _glClearDepth
00007ffa1837c03f (__TEXT,__text) external _glClearDepthf
00007ffa18375f16 (__TEXT,__text) external _glClearIndex
00007ffa18375f2d (__TEXT,__text) external _glClearStencil
00007ffa18378bd6 (__TEXT,__text) external _glClientActiveTexture
00007ffa1837d4de (__TEXT,__text) external _glClientActiveTextureARB
00007ffa1837b47d (__TEXT,__text) external _glClientWaitSync
00007ffa18375f49 (__TEXT,__text) external _glClipPlane
00007ffa18375f68 (__TEXT,__text) external _glColor3b
00007ffa18375f88 (__TEXT,__text) external _glColor3bv
00007ffa18375fa5 (__TEXT,__text) external _glColor3d
00007ffa18375fbf (__TEXT,__text) external _glColor3dv
00007ffa18375fdc (__TEXT,__text) external _glColor3f
00007ffa18375ff6 (__TEXT,__text) external _glColor3fv
00007ffa18376013 (__TEXT,__text) external _glColor3i
00007ffa18376033 (__TEXT,__text) external _glColor3iv
00007ffa18376050 (__TEXT,__text) external _glColor3s
00007ffa18376070 (__TEXT,__text) external _glColor3sv
00007ffa1837608d (__TEXT,__text) external _glColor3ub
00007ffa183760ad (__TEXT,__text) external _glColor3ubv
00007ffa183760ca (__TEXT,__text) external _glColor3ui
00007ffa183760ea (__TEXT,__text) external _glColor3uiv
00007ffa18376107 (__TEXT,__text) external _glColor3us
00007ffa18376127 (__TEXT,__text) external _glColor3usv
00007ffa18376144 (__TEXT,__text) external _glColor4b
00007ffa18376167 (__TEXT,__text) external _glColor4bv
00007ffa18376184 (__TEXT,__text) external _glColor4d
00007ffa1837619e (__TEXT,__text) external _glColor4dv
00007ffa183761bb (__TEXT,__text) external _glColor4f
00007ffa183761d5 (__TEXT,__text) external _glColor4fv
00007ffa183761f2 (__TEXT,__text) external _glColor4i
00007ffa18376215 (__TEXT,__text) external _glColor4iv
00007ffa18376232 (__TEXT,__text) external _glColor4s
00007ffa18376255 (__TEXT,__text) external _glColor4sv
00007ffa18376272 (__TEXT,__text) external _glColor4ub
00007ffa18376295 (__TEXT,__text) external _glColor4ubv
00007ffa183762b2 (__TEXT,__text) external _glColor4ui
00007ffa183762d5 (__TEXT,__text) external _glColor4uiv
00007ffa183762f2 (__TEXT,__text) external _glColor4us
00007ffa18376315 (__TEXT,__text) external _glColor4usv
00007ffa18376332 (__TEXT,__text) external _glColorMask
00007ffa1837f69b (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa1837aa1c (__TEXT,__text) external _glColorMaski
00007ffa18376355 (__TEXT,__text) external _glColorMaterial
00007ffa18376373 (__TEXT,__text) external _glColorPointer
00007ffa18378812 (__TEXT,__text) external _glColorSubTable
00007ffa1837e860 (__TEXT,__text) external _glColorSubTableEXT
00007ffa1837870c (__TEXT,__text) external _glColorTable
00007ffa1837e82d (__TEXT,__text) external _glColorTableEXT
00007ffa1837873f (__TEXT,__text) external _glColorTableParameterfv
00007ffa18378761 (__TEXT,__text) external _glColorTableParameteriv
00007ffa1837fe9f (__TEXT,__text) external _glCombinerInputNV
00007ffa1837fea5 (__TEXT,__text) external _glCombinerOutputNV
00007ffa1837fe8d (__TEXT,__text) external _glCombinerParameterfNV
00007ffa1837fe87 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa1837fe99 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa1837fe93 (__TEXT,__text) external _glCombinerParameterivNV
00007ffa1837fed5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa18379fb0 (__TEXT,__text) external _glCompileShader
00007ffa1837e01a (__TEXT,__text) external _glCompileShaderARB
00007ffa1837e68c (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa183790de (__TEXT,__text) external _glCompressedTexImage1D
00007ffa1837d9e6 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa183790a4 (__TEXT,__text) external _glCompressedTexImage2D
00007ffa1837d9ac (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa18379066 (__TEXT,__text) external _glCompressedTexImage3D
00007ffa1837d96e (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa1837919e (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa1837daa6 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa18379160 (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa1837da68 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa1837910e (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa1837da16 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa1837886c (__TEXT,__text) external _glConvolutionFilter1D
00007ffa1837889f (__TEXT,__text) external _glConvolutionFilter2D
00007ffa183788cf (__TEXT,__text) external _glConvolutionParameterf
00007ffa183788ed (__TEXT,__text) external _glConvolutionParameterfv
00007ffa1837890f (__TEXT,__text) external _glConvolutionParameteri
00007ffa18378930 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa1837b199 (__TEXT,__text) external _glCopyBufferSubData
00007ffa18378845 (__TEXT,__text) external _glCopyColorSubTable
00007ffa18378783 (__TEXT,__text) external _glCopyColorTable
00007ffa18378952 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa18378979 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa18376396 (__TEXT,__text) external _glCopyPixels
00007ffa183763bc (__TEXT,__text) external _glCopyTexImage1D
00007ffa183763ef (__TEXT,__text) external _glCopyTexImage2D
00007ffa1837642e (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa18376461 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa183786c8 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa18379fcf (__TEXT,__text) external _glCreateProgram
00007ffa1837e037 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa18379f6c (__TEXT,__text) external _glCreateShader
00007ffa1837dfd8 (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa1837c106 (__TEXT,__text) external _glCreateShaderProgramv
00007ffa183764a0 (__TEXT,__text) external _glCullFace
00007ffa18379872 (__TEXT,__text) external _glDeleteBuffers
00007ffa1837de35 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa1837f987 (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa1837a77d (__TEXT,__text) external _glDeleteFramebuffers
00007ffa1837ed82 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa183764bc (__TEXT,__text) external _glDeleteLists
00007ffa1837e66d (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa1837df7f (__TEXT,__text) external _glDeleteObjectARB
00007ffa1837a049 (__TEXT,__text) external _glDeleteProgram
00007ffa1837c144 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa1837cbc7 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa18379779 (__TEXT,__text) external _glDeleteQueries
00007ffa1837dd3c (__TEXT,__text) external _glDeleteQueriesARB
00007ffa1837a6bf (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa1837ecc4 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa1837b67b (__TEXT,__text) external _glDeleteSamplers
00007ffa18379f28 (__TEXT,__text) external _glDeleteShader
00007ffa1837b460 (__TEXT,__text) external _glDeleteSync
00007ffa183764da (__TEXT,__text) external _glDeleteTextures
00007ffa1837bdf6 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa1837a9c2 (__TEXT,__text) external _glDeleteVertexArrays
00007ffa1837faca (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa1837e813 (__TEXT,__text) external _glDepthBoundsEXT
00007ffa183764f9 (__TEXT,__text) external _glDepthFunc
00007ffa18376515 (__TEXT,__text) external _glDepthMask
00007ffa18376531 (__TEXT,__text) external _glDepthRange
00007ffa1837cb27 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa1837cb49 (__TEXT,__text) external _glDepthRangeIndexed
00007ffa1837c025 (__TEXT,__text) external _glDepthRangef
00007ffa1837dfb8 (__TEXT,__text) external _glDetachObjectARB
00007ffa18379f47 (__TEXT,__text) external _glDetachShader
00007ffa1837654b (__TEXT,__text) external _glDisable
00007ffa18376567 (__TEXT,__text) external _glDisableClientState
00007ffa1837f6e0 (__TEXT,__text) external _glDisableIndexedEXT
00007ffa1837f83a (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa18379e84 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa1837d0ca (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa1837aaa5 (__TEXT,__text) external _glDisablei
00007ffa18376583 (__TEXT,__text) external _glDrawArrays
00007ffa1837b9c3 (__TEXT,__text) external _glDrawArraysIndirect
00007ffa1837b2c0 (__TEXT,__text) external _glDrawArraysInstanced
00007ffa1837e559 (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa183765a4 (__TEXT,__text) external _glDrawBuffer
00007ffa183799bc (__TEXT,__text) external _glDrawBuffers
00007ffa1837e4fe (__TEXT,__text) external _glDrawBuffersARB
00007ffa1837fb43 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa183765c0 (__TEXT,__text) external _glDrawElements
00007ffa1837b348 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa1837b9e2 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa1837b2e4 (__TEXT,__text) external _glDrawElementsInstanced
00007ffa1837e57d (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffa1837b3a2 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffa183765e4 (__TEXT,__text) external _glDrawPixels
00007ffa1837fb64 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffa183785f8 (__TEXT,__text) external _glDrawRangeElements
00007ffa1837b36f (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffa1837eb91 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffa1837be7e (__TEXT,__text) external _glDrawTransformFeedback
00007ffa1837be9c (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffa1837660b (__TEXT,__text) external _glEdgeFlag
00007ffa18376627 (__TEXT,__text) external _glEdgeFlagPointer
00007ffa18376646 (__TEXT,__text) external _glEdgeFlagv
00007ffa1837fb24 (__TEXT,__text) external _glElementPointerAPPLE
00007ffa18376663 (__TEXT,__text) external _glEnable
00007ffa1837667f (__TEXT,__text) external _glEnableClientState
00007ffa1837f6c2 (__TEXT,__text) external _glEnableIndexedEXT
00007ffa1837f81c (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffa18379e68 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffa1837d0ae (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffa1837aa87 (__TEXT,__text) external _glEnablei
00007ffa1837669b (__TEXT,__text) external _glEnd
00007ffa1837abed (__TEXT,__text) external _glEndConditionalRender
00007ffa1837fe1c (__TEXT,__text) external _glEndConditionalRenderNV
00007ffa183766b2 (__TEXT,__text) external _glEndList
00007ffa183797d2 (__TEXT,__text) external _glEndQuery
00007ffa1837dd95 (__TEXT,__text) external _glEndQueryARB
00007ffa1837bede (__TEXT,__text) external _glEndQueryIndexed
00007ffa1837aafd (__TEXT,__text) external _glEndTransformFeedback
00007ffa1837f056 (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffa183766c9 (__TEXT,__text) external _glEvalCoord1d
00007ffa183766e3 (__TEXT,__text) external _glEvalCoord1dv
00007ffa18376700 (__TEXT,__text) external _glEvalCoord1f
00007ffa1837671a (__TEXT,__text) external _glEvalCoord1fv
00007ffa18376737 (__TEXT,__text) external _glEvalCoord2d
00007ffa18376751 (__TEXT,__text) external _glEvalCoord2dv
00007ffa1837676e (__TEXT,__text) external _glEvalCoord2f
00007ffa18376788 (__TEXT,__text) external _glEvalCoord2fv
00007ffa183767a5 (__TEXT,__text) external _glEvalMesh1
00007ffa183767c6 (__TEXT,__text) external _glEvalMesh2
00007ffa183767ed (__TEXT,__text) external _glEvalPoint1
00007ffa18376809 (__TEXT,__text) external _glEvalPoint2
00007ffa18376827 (__TEXT,__text) external _glFeedbackBuffer
00007ffa1837b425 (__TEXT,__text) external _glFenceSync
00007ffa1837feab (__TEXT,__text) external _glFinalCombinerInputNV
00007ffa18376849 (__TEXT,__text) external _glFinish
00007ffa1837f9fa (__TEXT,__text) external _glFinishFenceAPPLE
00007ffa1837fa34 (__TEXT,__text) external _glFinishObjectAPPLE
00007ffa1837fbfb (__TEXT,__text) external _glFinishRenderAPPLE
00007ffa18376860 (__TEXT,__text) external _glFlush
00007ffa1837a983 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffa1837fc4a (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffa1837fbe4 (__TEXT,__text) external _glFlushRenderAPPLE
00007ffa1837fa71 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffa1837927a (__TEXT,__text) external _glFogCoordPointer
00007ffa1837eb6f (__TEXT,__text) external _glFogCoordPointerEXT
00007ffa18379243 (__TEXT,__text) external _glFogCoordd
00007ffa1837eb38 (__TEXT,__text) external _glFogCoorddEXT
00007ffa1837925d (__TEXT,__text) external _glFogCoorddv
00007ffa1837eb52 (__TEXT,__text) external _glFogCoorddvEXT
00007ffa1837920c (__TEXT,__text) external _glFogCoordf
00007ffa1837eb01 (__TEXT,__text) external _glFogCoordfEXT
00007ffa18379226 (__TEXT,__text) external _glFogCoordfv
00007ffa1837eb1b (__TEXT,__text) external _glFogCoordfvEXT
00007ffa18376877 (__TEXT,__text) external _glFogf
00007ffa18376893 (__TEXT,__text) external _glFogfv
00007ffa183768b2 (__TEXT,__text) external _glFogi
00007ffa183768d0 (__TEXT,__text) external _glFogiv
00007ffa1837a858 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffa1837ee5d (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffa1837b5f5 (__TEXT,__text) external _glFramebufferTexture
00007ffa1837a7d7 (__TEXT,__text) external _glFramebufferTexture1D
00007ffa1837eddc (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffa1837a7fe (__TEXT,__text) external _glFramebufferTexture2D
00007ffa1837ee03 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffa1837a825 (__TEXT,__text) external _glFramebufferTexture3D
00007ffa1837ee2a (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffa1837ef5c (__TEXT,__text) external _glFramebufferTextureEXT
00007ffa1837efa7 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffa1837a936 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffa1837ef80 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffa183768ef (__TEXT,__text) external _glFrontFace
00007ffa1837690b (__TEXT,__text) external _glFrustum
00007ffa18379891 (__TEXT,__text) external _glGenBuffers
00007ffa1837de54 (__TEXT,__text) external _glGenBuffersARB
00007ffa1837f968 (__TEXT,__text) external _glGenFencesAPPLE
00007ffa1837a79c (__TEXT,__text) external _glGenFramebuffers
00007ffa1837eda1 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffa18376925 (__TEXT,__text) external _glGenLists
00007ffa1837c163 (__TEXT,__text) external _glGenProgramPipelines
00007ffa1837cbe6 (__TEXT,__text) external _glGenProgramsARB
00007ffa1837975a (__TEXT,__text) external _glGenQueries
00007ffa1837dd1d (__TEXT,__text) external _glGenQueriesARB
00007ffa1837a6de (__TEXT,__text) external _glGenRenderbuffers
00007ffa1837ece3 (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffa1837b65c (__TEXT,__text) external _glGenSamplers
00007ffa18376941 (__TEXT,__text) external _glGenTextures
00007ffa1837be15 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffa1837a9e1 (__TEXT,__text) external _glGenVertexArrays
00007ffa1837fae9 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffa1837a8a0 (__TEXT,__text) external _glGenerateMipmap
00007ffa1837eea5 (__TEXT,__text) external _glGenerateMipmapEXT
00007ffa1837a4d4 (__TEXT,__text) external _glGetActiveAttrib
00007ffa1837e4ad (__TEXT,__text) external _glGetActiveAttribARB
00007ffa1837bd00 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffa1837bccd (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffa1837bca6 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffa1837a40a (__TEXT,__text) external _glGetActiveUniform
00007ffa1837e3ed (__TEXT,__text) external _glGetActiveUniformARB
00007ffa1837b278 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffa1837b254 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffa1837b20e (__TEXT,__text) external _glGetActiveUniformName
00007ffa1837b1e6 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffa1837e3a7 (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffa1837a379 (__TEXT,__text) external _glGetAttachedShaders
00007ffa1837a507 (__TEXT,__text) external _glGetAttribLocation
00007ffa1837e4de (__TEXT,__text) external _glGetAttribLocationARB
00007ffa1837f0e4 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffa1837aa43 (__TEXT,__text) external _glGetBooleani_v
00007ffa18376960 (__TEXT,__text) external _glGetBooleanv
00007ffa1837b5d3 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffa18379978 (__TEXT,__text) external _glGetBufferParameteriv
00007ffa1837df3b (__TEXT,__text) external _glGetBufferParameterivARB
00007ffa1837999a (__TEXT,__text) external _glGetBufferPointerv
00007ffa1837df5d (__TEXT,__text) external _glGetBufferPointervARB
00007ffa18379918 (__TEXT,__text) external _glGetBufferSubData
00007ffa1837dedb (__TEXT,__text) external _glGetBufferSubDataARB
00007ffa1837697f (__TEXT,__text) external _glGetClipPlane
00007ffa183787aa (__TEXT,__text) external _glGetColorTable
00007ffa1837e893 (__TEXT,__text) external _glGetColorTableEXT
00007ffa183787ce (__TEXT,__text) external _glGetColorTableParameterfv
00007ffa1837e8b7 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffa183787f0 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffa1837e8d9 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffa1837feb1 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffa1837feb7 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffa1837febd (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffa1837fec3 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffa1837fedb (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffa183791ce (__TEXT,__text) external _glGetCompressedTexImage
00007ffa1837dad6 (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffa183789ac (__TEXT,__text) external _glGetConvolutionFilter
00007ffa183789d0 (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffa183789f2 (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffa1837cb87 (__TEXT,__text) external _glGetDoublei_v
00007ffa1837699e (__TEXT,__text) external _glGetDoublev
00007ffa183769bd (__TEXT,__text) external _glGetError
00007ffa1837fec9 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffa1837fecf (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffa1837cb65 (__TEXT,__text) external _glGetFloati_v
00007ffa183769d4 (__TEXT,__text) external _glGetFloatv
00007ffa1837b63d (__TEXT,__text) external _glGetFragDataIndex
00007ffa1837af3b (__TEXT,__text) external _glGetFragDataLocation
00007ffa1837f5ac (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffa1837a87c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffa1837ee81 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffa1837df9c (__TEXT,__text) external _glGetHandleARB
00007ffa18378a83 (__TEXT,__text) external _glGetHistogram
00007ffa18378aaa (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa18378acc (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa1837e381 (__TEXT,__text) external _glGetInfoLogARB
00007ffa1837b5b1 (__TEXT,__text) external _glGetInteger64i_v
00007ffa1837b4c3 (__TEXT,__text) external _glGetInteger64v
00007ffa1837f0c2 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa1837aa65 (__TEXT,__text) external _glGetIntegeri_v
00007ffa183769f3 (__TEXT,__text) external _glGetIntegerv
00007ffa1837e71d (__TEXT,__text) external _glGetInternalformativ
00007ffa18376a12 (__TEXT,__text) external _glGetLightfv
00007ffa18376a34 (__TEXT,__text) external _glGetLightiv
00007ffa18376a56 (__TEXT,__text) external _glGetMapdv
00007ffa18376a78 (__TEXT,__text) external _glGetMapfv
00007ffa18376a9a (__TEXT,__text) external _glGetMapiv
00007ffa18376abc (__TEXT,__text) external _glGetMaterialfv
00007ffa18376ade (__TEXT,__text) external _glGetMaterialiv
00007ffa18378aee (__TEXT,__text) external _glGetMinmax
00007ffa18378b15 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa18378b37 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa1837b571 (__TEXT,__text) external _glGetMultisamplefv
00007ffa1837e6d0 (__TEXT,__text) external _glGetNamedStringARB
00007ffa1837e6f8 (__TEXT,__text) external _glGetNamedStringivARB
00007ffa1837f7a0 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffa1837e33b (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffa1837fcaf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffa1837e35e (__TEXT,__text) external _glGetObjectParameterivARB
00007ffa18376b00 (__TEXT,__text) external _glGetPixelMapfv
00007ffa18376b1f (__TEXT,__text) external _glGetPixelMapuiv
00007ffa18376b3e (__TEXT,__text) external _glGetPixelMapusv
00007ffa18376b5d (__TEXT,__text) external _glGetPointerv
00007ffa18376b7c (__TEXT,__text) external _glGetPolygonStipple
00007ffa1837c059 (__TEXT,__text) external _glGetProgramBinary
00007ffa1837d2b6 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00007ffa1837d2d8 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00007ffa1837a3c3 (__TEXT,__text) external _glGetProgramInfoLog
