00000001d8a90fc0 (__DATA,__data) external _NDR_record
00000001803cd10c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001803c3790 (__TEXT,__text) external ___guarded_open_np
00000001803cd138 (__TEXT,__text) external ___identitysvc
00000001803c3ab4 (__TEXT,__text) external ___inc_remove_counter
00000001803cbedc (__TEXT,__text) external ___initgroups
00000001803c4418 (__TEXT,__text) external ___ioctl
00000001803c4788 (__TEXT,__text) external ___iopolicysys
00000001803cd164 (__TEXT,__text) external ___kdebug_trace
00000001803c2af8 (__TEXT,__text) external ___kdebug_trace64
00000001803cd190 (__TEXT,__text) external ___kdebug_trace_string
00000001803c5ad4 (__TEXT,__text) external ___kdebug_typefilter
00000001803f28b8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001803f2880 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001803c8138 (__TEXT,__text) external ___kill
00000001803c64e8 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001803c5a10 (__TEXT,__text) external ___lchown
00000001803c5b00 (__TEXT,__text) external ___libkernel_init
00000001803cf7c8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001803cf6d8 (__TEXT,__text) external ___libkernel_init_late
00000001803c5da4 (__TEXT,__text) external ___libkernel_platform_init
00000001803c0434 (__TEXT,__text) external ___libkernel_voucher_init
00000001803c87d4 (__TEXT,__text) external ___listen
00000001803cd1bc (__TEXT,__text) external ___log_data
00000001803c17f4 (__TEXT,__text) external ___lseek
00000001803ce77c (__TEXT,__text) external ___lstat
00000001803c5880 (__TEXT,__text) external ___lstat64_extended
00000001803cd1e8 (__TEXT,__text) external ___lstat_extended
00000001803cd214 (__TEXT,__text) external ___mac_execve
00000001803cd240 (__TEXT,__text) external ___mac_get_fd
00000001803cd26c (__TEXT,__text) external ___mac_get_file
00000001803cd298 (__TEXT,__text) external ___mac_get_link
00000001803cd2c4 (__TEXT,__text) external ___mac_get_mount
00000001803cd2f0 (__TEXT,__text) external ___mac_get_pid
00000001803cd31c (__TEXT,__text) external ___mac_get_proc
00000001803cd348 (__TEXT,__text) external ___mac_getfsstat
00000001803cd374 (__TEXT,__text) external ___mac_mount
00000001803cd3a0 (__TEXT,__text) external ___mac_set_fd
00000001803cd3cc (__TEXT,__text) external ___mac_set_file
00000001803cd3f8 (__TEXT,__text) external ___mac_set_link
00000001803c8774 (__TEXT,__text) external ___mac_set_proc
00000001803c1900 (__TEXT,__text) external ___mac_syscall
00000001803cd424 (__TEXT,__text) external ___mach_bridge_remote_time
00000001803cd450 (__TEXT,__text) external ___mach_eventlink_signal
00000001803cd47c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001803cd4a8 (__TEXT,__text) external ___mach_eventlink_wait_until
00000001803cd4d4 (__TEXT,__text) external ___map_with_linking_np
00000001803cd500 (__TEXT,__text) external ___memorystatus_available_memory
00000001803cd52c (__TEXT,__text) external ___microstackshot
00000001803cd558 (__TEXT,__text) external ___mkdir_extended
00000001803cd584 (__TEXT,__text) external ___mkfifo_extended
00000001803c0bc0 (__TEXT,__text) external ___mmap
00000001803c3d00 (__TEXT,__text) external ___mprotect
00000001803cd5b0 (__TEXT,__text) external ___msgctl
00000001803cd5dc (__TEXT,__text) external ___msgrcv_nocancel
00000001803cd608 (__TEXT,__text) external ___msgsnd_nocancel
00000001803cd634 (__TEXT,__text) external ___msgsys
00000001803c6458 (__TEXT,__text) external ___msync
00000001803cd660 (__TEXT,__text) external ___msync_nocancel
00000001803c3924 (__TEXT,__text) external ___munmap
00000001803cd68c (__TEXT,__text) external ___nexus_create
00000001803cd6b8 (__TEXT,__text) external ___nexus_deregister
00000001803cd6e4 (__TEXT,__text) external ___nexus_destroy
00000001803cd710 (__TEXT,__text) external ___nexus_get_opt
00000001803cd73c (__TEXT,__text) external ___nexus_open
00000001803cd768 (__TEXT,__text) external ___nexus_register
00000001803cd794 (__TEXT,__text) external ___nexus_set_opt
00000001803c0960 (__TEXT,__text) external ___open
00000001803c5908 (__TEXT,__text) external ___open_dprotected_np
00000001803cc518 (__TEXT,__text) external ___open_extended
00000001803c0af0 (__TEXT,__text) external ___open_nocancel
00000001803c1780 (__TEXT,__text) external ___openat
00000001803cd7c0 (__TEXT,__text) external ___openat_dprotected_np
00000001803c5a68 (__TEXT,__text) external ___openat_nocancel
00000001d8a91068 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000001803dad84 (__TEXT,__text) external ___os_nexus_flow_add
00000001803dae0c (__TEXT,__text) external ___os_nexus_flow_del
00000001803dae94 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001803daba4 (__TEXT,__text) external ___os_nexus_ifattach
00000001803dacc4 (__TEXT,__text) external ___os_nexus_ifdetach
00000001803c3e50 (__TEXT,__text) external ___persona
00000001803c6484 (__TEXT,__text) external ___pipe
00000001803cd7ec (__TEXT,__text) external ___poll_nocancel
00000001803c71ac (__TEXT,__text) external ___posix_spawn
00000001803cd818 (__TEXT,__text) external ___pread_nocancel
00000001803cd844 (__TEXT,__text) external ___preadv_nocancel
00000001803c12c8 (__TEXT,__text) external ___proc_info
00000001803cd870 (__TEXT,__text) external ___proc_info_extended_id
00000001803c7b6c (__TEXT,__text) external ___process_policy
00000001803c61e4 (__TEXT,__text) external ___pselect
00000001803cd89c (__TEXT,__text) external ___pselect_nocancel
00000001803c3734 (__TEXT,__text) external ___psynch_cvbroad
00000001803c3db4 (__TEXT,__text) external ___psynch_cvclrprepost
00000001803c4b64 (__TEXT,__text) external ___psynch_cvsignal
00000001803c3708 (__TEXT,__text) external ___psynch_cvwait
00000001803c2d90 (__TEXT,__text) external ___psynch_mutexdrop
00000001803c2bc0 (__TEXT,__text) external ___psynch_mutexwait
00000001803cd8c8 (__TEXT,__text) external ___psynch_rw_downgrade
00000001803cd8f4 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001803c5384 (__TEXT,__text) external ___psynch_rw_rdlock
00000001803c5358 (__TEXT,__text) external ___psynch_rw_unlock
00000001803cd920 (__TEXT,__text) external ___psynch_rw_unlock2
00000001803cd94c (__TEXT,__text) external ___psynch_rw_upgrade
00000001803c532c (__TEXT,__text) external ___psynch_rw_wrlock
00000001803cd978 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001803cc1f4 (__TEXT,__text) external ___pthread_canceled
00000001803c6f40 (__TEXT,__text) external ___pthread_chdir
00000001803c6f14 (__TEXT,__text) external ___pthread_fchdir
00000001803c871c (__TEXT,__text) external ___pthread_kill
00000001803cd9a4 (__TEXT,__text) external ___pthread_markcancel
00000001803c757c (__TEXT,__text) external ___pthread_sigmask
00000001803c8bb0 (__TEXT,__text) external ___ptrace
00000001803cd9d0 (__TEXT,__text) external ___pwrite_nocancel
00000001803cd9fc (__TEXT,__text) external ___pwritev_nocancel
00000001803c1e7c (__TEXT,__text) external ___read_nocancel
00000001803cda28 (__TEXT,__text) external ___readv_nocancel
00000001803cda54 (__TEXT,__text) external ___reboot
00000001803cda80 (__TEXT,__text) external ___record_system_event
00000001803c449c (__TEXT,__text) external ___recvfrom
00000001803c4364 (__TEXT,__text) external ___recvfrom_nocancel
00000001803c48cc (__TEXT,__text) external ___recvmsg
00000001803cdaac (__TEXT,__text) external ___recvmsg_nocancel
00000001db3e0a58 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001803c3a88 (__TEXT,__text) external ___rename
00000001803cdad8 (__TEXT,__text) external ___renameat
00000001803cdb04 (__TEXT,__text) external ___renameatx_np
00000001803c3af4 (__TEXT,__text) external ___rmdir
00000001803cd214 (__TEXT,__text) external ___sandbox_me
00000001803cd374 (__TEXT,__text) external ___sandbox_mm
00000001803c1900 (__TEXT,__text) external ___sandbox_ms
00000001803c8774 (__TEXT,__text) external ___sandbox_msp
00000001803cafe8 (__TEXT,__text) external ___select
00000001803c4338 (__TEXT,__text) external ___select_nocancel
00000001803c9868 (__TEXT,__text) external ___sem_open
00000001803cdb30 (__TEXT,__text) external ___sem_wait_nocancel
00000001803cdb5c (__TEXT,__text) external ___semctl
00000001803cdb88 (__TEXT,__text) external ___semsys
00000001803c3504 (__TEXT,__text) external ___semwait_signal
00000001803c75a8 (__TEXT,__text) external ___semwait_signal_nocancel
00000001803c5a94 (__TEXT,__text) external ___sendmsg
00000001803c43bc (__TEXT,__text) external ___sendmsg_nocancel
00000001803c4470 (__TEXT,__text) external ___sendto
00000001803c42d8 (__TEXT,__text) external ___sendto_nocancel
00000001803c3684 (__TEXT,__text) external ___setattrlist
00000001803cbeb0 (__TEXT,__text) external ___setlogin
00000001803c824c (__TEXT,__text) external ___setpriority
00000001803cdbb4 (__TEXT,__text) external ___setregid
00000001803cdbe0 (__TEXT,__text) external ___setreuid
00000001803c2bf4 (__TEXT,__text) external ___setrlimit
00000001803cdc0c (__TEXT,__text) external ___setsgroups
00000001803c95ec (__TEXT,__text) external ___settid
00000001803cdc38 (__TEXT,__text) external ___settid_with_pid
00000001803cdc64 (__TEXT,__text) external ___settimeofday
00000001803cdc90 (__TEXT,__text) external ___setwgroups
00000001803c9900 (__TEXT,__text) external ___sfi_ctl
00000001803cdcbc (__TEXT,__text) external ___sfi_pidctl
00000001803cdce8 (__TEXT,__text) external ___shared_region_check_np
00000001803cdd14 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001803c1728 (__TEXT,__text) external ___shm_open
00000001803cdd40 (__TEXT,__text) external ___shmctl
00000001803cdd6c (__TEXT,__text) external ___shmsys
00000001803c6514 (__TEXT,__text) external ___sigaction
00000001803c3600 (__TEXT,__text) external ___sigaltstack
00000001803cb93c (__TEXT,__text) external ___sigreturn
00000001803cdd98 (__TEXT,__text) external ___sigsuspend
00000001803c75e0 (__TEXT,__text) external ___sigsuspend_nocancel
00000001803cb994 (__TEXT,__text) external ___sigwait
00000001803c4390 (__TEXT,__text) external ___socketpair
00000001803cddc4 (__TEXT,__text) external ___stack_snapshot_with_config
00000001803cf1a0 (__TEXT,__text) external ___stat
00000001803c5828 (__TEXT,__text) external ___stat64_extended
00000001803cddf0 (__TEXT,__text) external ___stat_extended
00000001803cf1cc (__TEXT,__text) external ___statfs
00000001803c22f8 (__TEXT,__text) external ___syscall
00000001d8a91038 (__DATA,__common) external ___syscall_logger
00000001803c1628 (__TEXT,__text) external ___sysctl
00000001803c185c (__TEXT,__text) external ___sysctlbyname
00000001803cde1c (__TEXT,__text) external ___telemetry
00000001803ca768 (__TEXT,__text) external ___terminate_with_payload
00000001803c1c9c (__TEXT,__text) external ___thread_selfid
00000001803cde48 (__TEXT,__text) external ___thread_selfusage
00000001803c1cc8 (__TEXT,__text) external ___ulock_wait
00000001803cde74 (__TEXT,__text) external ___ulock_wait2
00000001803c1d9c (__TEXT,__text) external ___ulock_wake
00000001803cdea0 (__TEXT,__text) external ___umask_extended
00000001803c3ea8 (__TEXT,__text) external ___unlink
00000001803c9c4c (__TEXT,__text) external ___unlinkat
00000001803cdecc (__TEXT,__text) external ___vfork
00000001803c74fc (__TEXT,__text) external ___wait4
00000001803cc4ec (__TEXT,__text) external ___wait4_nocancel
00000001803cdf3c (__TEXT,__text) external ___waitid_nocancel
00000001803c8d90 (__TEXT,__text) external ___work_interval_ctl
00000001803c1bc0 (__TEXT,__text) external ___workq_kernreturn
00000001803c1bec (__TEXT,__text) external ___workq_open
00000001803c3de0 (__TEXT,__text) external ___write_nocancel
00000001803cdf68 (__TEXT,__text) external ___writev_nocancel
00000001d8a9102c (__DATA,__common) external __cpu_capabilities
00000001d8a91030 (__DATA,__common) external __cpu_has_altivec
00000001db3e0388 (__DATA_DIRTY,__data) external __current_pid
00000001db3e0a30 (__DATA_DIRTY,__bss) non-external __dlsym
00000001803d03e8 (__TEXT,__text) non-external __execve_with_filter
00000001803c760c (__TEXT,__text) external __exit
00000001803c5d68 (__TEXT,__text) external __get_cpu_capabilities
00000001d8a91050 (__DATA,__bss) non-external __gethostuuid_callback
00000001803d3dc0 (__TEXT,__text) external __getprivatesystemidentifier
00000001803e0580 (__TEXT,__text) external __host_page_size
00000001803c5d64 (__TEXT,__text) external __init_cpu_capabilities
00000001803e175c (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001803e2b30 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001803e3800 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001803e2a10 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001803e368c (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001803bfdb0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001803e53c0 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001803e4484 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001803bfe04 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001803e2da8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001803bfdbc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001803e2c88 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001803e45f8 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001803bfe10 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001803e3e04 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001803e41f4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001803bfdf8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001803ca17c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001803cabb0 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001803bfeb8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001803c541c (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001803c33b0 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001803e51e4 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001803cc05c (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001803e3aac (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001803e4718 (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001803bfec4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001803e4c08 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001803e40d4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001803bfdec (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001803e343c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001803bfde0 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001803e508c (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001803e3f6c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001803e4314 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001803e4e50 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001803e2ec8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001803bfdc8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001803e331c (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001803bfdd4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001803e272c (__TEXT,__text) external __kernelrpc_mach_port_names
00000001803e2fe8 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001803e28f0 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001803c3f00 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001803bffb4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001803c28e4 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001803cbf38 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001803e31fc (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001803e356c (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001803e495c (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001803e3c04 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001803e4ab0 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001803e4d2c (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001803c8e4c (__TEXT,__text) external __kernelrpc_mach_port_type
00000001803bffa8 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001803e483c (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001803bfed0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001803ecea8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001803e552c (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001803bfd68 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001803e5688 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001803bfd80 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001803c12f4 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001803bfda4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001803e57a8 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001803bfd98 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001803e6684 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001803bfd74 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001803e59f0 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001803e61e4 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001803e6b24 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001803f1648 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001803e398c (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001803c516c (__TEXT,__text) external __kernelrpc_thread_policy
00000001803c62f8 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001803ef4ac (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001803cc2c4 (__TEXT,__text) external __kernelrpc_vm_map
00000001803f09fc (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001803c96dc (__TEXT,__text) external __kernelrpc_vm_read
00000001803c24e4 (__TEXT,__text) external __kernelrpc_vm_remap
00000001803f0b54 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001803cf83c (__TEXT,__text) non-external __libkernel_bzero
00000001db3e0a28 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001dd15d378 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001803cf8d0 (__TEXT,__text) non-external __libkernel_memmove
00000001803cf848 (__TEXT,__text) non-external __libkernel_memset
00000001803cf804 (__TEXT,__text) non-external __libkernel_strchr
00000001803c5d7c (__TEXT,__text) non-external __libkernel_strcmp
00000001803cfca8 (__TEXT,__text) non-external __libkernel_strcpy
00000001db3e0390 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001803d0520 (__TEXT,__text) non-external __libkernel_strlcpy
00000001803cf5c0 (__TEXT,__text) non-external __libkernel_strlen
00000001db3e0398 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001803f2850 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001803d1c74 (__TEXT,__text) non-external __mach_continuous_time
00000001d3aee358 (__DATA_CONST,__const) external __mach_errors
00000001803d21d4 (__TEXT,__text) external __mach_fork_child
00000001803d26dc (__TEXT,__text) external __mach_snprintf
00000001803d2560 (__TEXT,__text) external __mach_vsnprintf
00000001db3e03e0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001d8a91008 (__DATA,__common) external __os_xbs_chrooted
00000001803c6a88 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001803cfcf0 (__TEXT,__text) non-external __posix_spawn_with_filter
00000001803d3dc4 (__TEXT,__text) external __register_gethostuuid_callback
00000001803cf9e8 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001803cfa94 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001db3e0a3c (__DATA_DIRTY,__bss) non-external __task_reply_port
00000001803cf4b8 (__TEXT,__text) external __thread_set_tsd_base
00000001803f1d38 (__TEXT,__text) non-external _abort
00000001803f1d5c (__TEXT,__text) non-external _abort.561
00000001803f1d80 (__TEXT,__text) non-external _abort.563
00000001803f1da4 (__TEXT,__text) non-external _abort.580
00000001803f1e74 (__TEXT,__text) external _abort_with_payload
00000001803f1de8 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001803f1dc8 (__TEXT,__text) external _abort_with_reason
00000001803c8800 (__TEXT,__text) external _accept
00000001803ccd70 (__TEXT,__text) external _accept$NOCANCEL
00000001803c0934 (__TEXT,__text) external _access
00000001803ccd9c (__TEXT,__text) external _accessx_np
00000001803cdf94 (__TEXT,__text) external _acct
00000001803edde4 (__TEXT,__text) external _act_get_state
00000001803ee030 (__TEXT,__text) external _act_set_state
00000001803cdfc0 (__TEXT,__text) external _adjtime
00000001803cdfec (__TEXT,__text) external _aio_cancel
00000001803ce018 (__TEXT,__text) external _aio_error
00000001803ce044 (__TEXT,__text) external _aio_fsync
00000001803ce070 (__TEXT,__text) external _aio_read
00000001803ce09c (__TEXT,__text) external _aio_return
00000001803ce0c8 (__TEXT,__text) external _aio_suspend
00000001803ccdc8 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001803ce0f4 (__TEXT,__text) external _aio_write
00000001803ce120 (__TEXT,__text) external _audit
00000001803cb968 (__TEXT,__text) external _audit_session_join
00000001803cb760 (__TEXT,__text) external _audit_session_port
00000001803c4178 (__TEXT,__text) external _audit_session_self
00000001803ce14c (__TEXT,__text) external _auditctl
00000001803c98c0 (__TEXT,__text) external _auditon
00000001803c7c2c (__TEXT,__text) external _bind
00000001db3e03a4 (__DATA_DIRTY,__common) external _bootstrap_port
00000001803cf5a0 (__TEXT,__text) non-external _bzero
00000001803c17ac (__TEXT,__text) external _cerror
00000001803c08c8 (__TEXT,__text) external _cerror_nocancel
00000001803c40b4 (__TEXT,__text) external _change_fdguard_np
00000001803c192c (__TEXT,__text) external _chdir
00000001803c8164 (__TEXT,__text) external _chflags
00000001803c3b20 (__TEXT,__text) external _chmod
00000001803c7c00 (__TEXT,__text) external _chown
00000001803ce178 (__TEXT,__text) external _chroot
00000001803dd1e0 (__TEXT,__text) external _clock_alarm
00000001803dcfb4 (__TEXT,__text) external _clock_alarm_reply
00000001803dd01c (__TEXT,__text) external _clock_get_attributes
00000001803c5628 (__TEXT,__text) external _clock_get_time
00000001803dce5c (__TEXT,__text) external _clock_set_attributes
00000001803dcd40 (__TEXT,__text) external _clock_set_time
00000001803cc220 (__TEXT,__text) external _clock_sleep
00000001803bff84 (__TEXT,__text) external _clock_sleep_trap
00000001803ca028 (__TEXT,__text) external _clonefile
00000001803c4e1c (__TEXT,__text) external _clonefileat
00000001803c0a98 (__TEXT,__text) external _close
00000001803c1754 (__TEXT,__text) external _close$NOCANCEL
00000001803d9560 (__TEXT,__text) external _coalition_create
00000001803d95d0 (__TEXT,__text) external _coalition_info_resource_usage
00000001803d9640 (__TEXT,__text) external _coalition_info_set_efficiency
00000001803d9608 (__TEXT,__text) external _coalition_info_set_name
00000001803d967c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001803d95a0 (__TEXT,__text) external _coalition_reap
00000001803d9570 (__TEXT,__text) external _coalition_terminate
00000001803c4444 (__TEXT,__text) external _connect
00000001803c42ac (__TEXT,__text) external _connect$NOCANCEL
00000001803c44c8 (__TEXT,__text) external _connectx
00000001803c1aac (__TEXT,__text) external _csops
00000001803c089c (__TEXT,__text) external _csops_audittoken
00000001803c098c (__TEXT,__text) external _csr_check
00000001803c8ba0 (__TEXT,__text) external _csr_get_active_config
