                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff80fc31c13 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff80fc3201a (__TEXT,__text) external _KClientDisposePrincipal
00007ff80fc31eaf (__TEXT,__text) external _KClientDisposeSession
00007ff80fc31d9c (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff80fc31fc2 (__TEXT,__text) external _KClientEncrypt
00007ff80fc31df4 (__TEXT,__text) external _KClientEncryptCompat
00007ff80fc31f80 (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff80fc31fee (__TEXT,__text) external _KClientGetCCacheReference
00007ff80fc31eba (__TEXT,__text) external _KClientGetClientPrincipal
00007ff80fc31ce4 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff80fc31fac (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff80fc31d26 (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007ff80fc31f1d (__TEXT,__text) external _KClientGetExpirationTime
00007ff80fc31ee6 (__TEXT,__text) external _KClientGetLocalAddress
00007ff80fc31c3f (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007ff80fc31d10 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007ff80fc31c76 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007ff80fc31c81 (__TEXT,__text) external _KClientGetNthServerDeprecated
00007ff80fc31ca2 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
00007ff80fc31cad (__TEXT,__text) external _KClientGetNthServerPortDeprecated
00007ff80fc31cce (__TEXT,__text) external _KClientGetNthSessionDeprecated
00007ff80fc31d05 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
00007ff80fc31cc3 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00007ff80fc31fb7 (__TEXT,__text) external _KClientGetProtectedServiceReply
00007ff80fc31c55 (__TEXT,__text) external _KClientGetRealmDeprecated
00007ff80fc31efc (__TEXT,__text) external _KClientGetRemoteAddress
00007ff80fc31ed0 (__TEXT,__text) external _KClientGetServerPrincipal
00007ff80fc31f5f (__TEXT,__text) external _KClientGetServiceKey
00007ff80fc31f12 (__TEXT,__text) external _KClientGetSessionKey
00007ff80fc31de9 (__TEXT,__text) external _KClientGetSessionKeyCompat
00007ff80fc31e62 (__TEXT,__text) external _KClientGetSessionUserNameCompat
00007ff80fc31f75 (__TEXT,__text) external _KClientGetTicketForService
00007ff80fc31da7 (__TEXT,__text) external _KClientGetTicketForServiceCompat
00007ff80fc31db2 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
00007ff80fc31d1b (__TEXT,__text) external _KClientGetUserNameDeprecated
00007ff80fc31e8e (__TEXT,__text) external _KClientGetVersion
00007ff80fc31f49 (__TEXT,__text) external _KClientKeyFileLogin
00007ff80fc31f33 (__TEXT,__text) external _KClientLogin
00007ff80fc31dbd (__TEXT,__text) external _KClientLoginCompat
00007ff80fc31f54 (__TEXT,__text) external _KClientLogout
00007ff80fc31dd3 (__TEXT,__text) external _KClientLogoutCompat
00007ff80fc31e6d (__TEXT,__text) external _KClientMakeSendAuthCompat
00007ff80fc31e99 (__TEXT,__text) external _KClientNewClientSession
00007ff80fc31ea4 (__TEXT,__text) external _KClientNewServerSession
00007ff80fc31d91 (__TEXT,__text) external _KClientNewSessionCompat
00007ff80fc31f3e (__TEXT,__text) external _KClientPasswordLogin
00007ff80fc31dc8 (__TEXT,__text) external _KClientPasswordLoginCompat
00007ff80fc32004 (__TEXT,__text) external _KClientPrincipalToV4String
00007ff80fc3200f (__TEXT,__text) external _KClientPrincipalToV4Triplet
00007ff80fc31fd8 (__TEXT,__text) external _KClientProtectIntegrity
00007ff80fc31e0a (__TEXT,__text) external _KClientProtectIntegrityCompat
00007ff80fc31ec5 (__TEXT,__text) external _KClientSetClientPrincipal
00007ff80fc31f28 (__TEXT,__text) external _KClientSetKeyFile
00007ff80fc31ef1 (__TEXT,__text) external _KClientSetLocalAddress
00007ff80fc31c4a (__TEXT,__text) external _KClientSetLocalRealmDeprecated
00007ff80fc31cb8 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
00007ff80fc31f07 (__TEXT,__text) external _KClientSetRemoteAddress
00007ff80fc31edb (__TEXT,__text) external _KClientSetServerPrincipal
00007ff80fc31dde (__TEXT,__text) external _KClientStatusCompat
00007ff80fc31ff9 (__TEXT,__text) external _KClientV4StringToPrincipal
00007ff80fc31fa1 (__TEXT,__text) external _KClientVerifyAuthenticator
00007ff80fc31f8b (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
00007ff80fc31fe3 (__TEXT,__text) external _KClientVerifyIntegrity
00007ff80fc31e15 (__TEXT,__text) external _KClientVerifyIntegrityCompat
00007ff80fc31f96 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
00007ff80fc31e78 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
00007ff80fc31e83 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
00007ff80fc31d86 (__TEXT,__text) external _KClientVersionCompat
00007ff80fc2c825 (__TEXT,__text) external _KLAcquireInitialTickets
00007ff80fc2c981 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
00007ff80fc2d09b (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
00007ff80fc2c8f7 (__TEXT,__text) external _KLAcquireNewInitialTickets
00007ff80fc2d0c1 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
00007ff80fc2ca3a (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
00007ff80fc2c8a2 (__TEXT,__text) external _KLAcquireNewTickets
00007ff80fc2c9f5 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
00007ff80fc2c7e3 (__TEXT,__text) external _KLAcquireTickets
00007ff80fc2c93c (__TEXT,__text) external _KLAcquireTicketsWithPassword
00007ff80fc2cb9a (__TEXT,__text) external _KLCacheHasValidTickets
00007ff80fc2d82b (__TEXT,__text) external _KLCancelAllDialogs
00007ff80fc2d090 (__TEXT,__text) external _KLChangePassword
00007ff80fc2d833 (__TEXT,__text) external _KLChangePasswordWithPasswords
00007ff80fc2dc49 (__TEXT,__text) external _KLComparePrincipal
00007ff80fc2d928 (__TEXT,__text) external _KLCountKerberosRealms
00007ff80fc2dcdf (__TEXT,__text) external _KLCreateLoginOptions
00007ff80fc2da18 (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
00007ff80fc2da47 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
00007ff80fc2d993 (__TEXT,__text) external _KLCreatePrincipalFromString
00007ff80fc2d956 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
00007ff80fc2d052 (__TEXT,__text) external _KLDestroyTickets
00007ff80fc2de97 (__TEXT,__text) external _KLDisposeLoginOptions
00007ff80fc2dca3 (__TEXT,__text) external _KLDisposePrincipal
00007ff80fc2dee4 (__TEXT,__text) external _KLDisposeString
00007ff80fc2d864 (__TEXT,__text) external _KLFindKerberosRealmByName
00007ff80fc2cb8f (__TEXT,__text) external _KLGetApplicationOptions
00007ff80fc2d84e (__TEXT,__text) external _KLGetDefaultLoginOption
00007ff80fc2dbc1 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
00007ff80fc2d7a4 (__TEXT,__text) external _KLGetErrorString
00007ff80fc2d846 (__TEXT,__text) external _KLGetIdleCallback
00007ff80fc2d933 (__TEXT,__text) external _KLGetKerberosDefaultRealm
00007ff80fc2d8c7 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
00007ff80fc2d8fb (__TEXT,__text) external _KLGetKerberosRealm
00007ff80fc2db39 (__TEXT,__text) external _KLGetStringFromPrincipal
00007ff80fc2da76 (__TEXT,__text) external _KLGetTripletFromPrincipal
00007ff80fc2d79c (__TEXT,__text) external _KLHandleError
00007ff80fc2d918 (__TEXT,__text) external _KLInsertKerberosRealm
00007ff80fc2d36c (__TEXT,__text) external _KLLastChangedTime
00007ff80fc2de1a (__TEXT,__text) external _KLLoginOptionsSetAddressless
00007ff80fc2dd7e (__TEXT,__text) external _KLLoginOptionsSetForwardable
00007ff80fc2ddb2 (__TEXT,__text) external _KLLoginOptionsSetProxiable
00007ff80fc2dde6 (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
00007ff80fc2de54 (__TEXT,__text) external _KLLoginOptionsSetServiceName
00007ff80fc2dd4a (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
00007ff80fc2de37 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
00007ff80fc2d920 (__TEXT,__text) external _KLRemoveAllKerberosRealms
00007ff80fc2d910 (__TEXT,__text) external _KLRemoveKerberosRealm
00007ff80fc2d0cc (__TEXT,__text) external _KLRenewInitialTickets
00007ff80fc2cb87 (__TEXT,__text) external _KLSetApplicationOptions
00007ff80fc2d859 (__TEXT,__text) external _KLSetDefaultLoginOption
00007ff80fc2d83e (__TEXT,__text) external _KLSetIdleCallback
00007ff80fc2d946 (__TEXT,__text) external _KLSetKerberosDefaultRealm
00007ff80fc2d94e (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
00007ff80fc2d908 (__TEXT,__text) external _KLSetKerberosRealm
00007ff80fc2d703 (__TEXT,__text) external _KLSetSystemDefaultCache
00007ff80fc2d0a6 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
00007ff80fc2d64f (__TEXT,__text) external _KLTicketExpirationTime
00007ff80fc2d59b (__TEXT,__text) external _KLTicketStartTime
00007ff80fc2d364 (__TEXT,__text) external _KLValidateInitialTickets
00007ff80fc2d0b9 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
00007ff80fc2d0b1 (__TEXT,__text) external _KLVerifyInitialTickets
00007ff80fc31920 (__TEXT,__text) external _KPCreatePreferencesFile
00007ff80fc31904 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
00007ff80fc318f9 (__TEXT,__text) external _KPGetListOfPreferencesFiles
00007ff80fc318ee (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
00007ff80fc3190a (__TEXT,__text) external _KPPreferencesFileIsReadable
00007ff80fc31915 (__TEXT,__text) external _KPPreferencesFileIsWritable
00007ff80fc31e41 (__TEXT,__text) external _KServerAddKeyCompat
00007ff80fc31e4c (__TEXT,__text) external _KServerGetKeyCompat
00007ff80fc31e36 (__TEXT,__text) external _KServerGetReplyTicketCompat
00007ff80fc31e57 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
00007ff80fc31e20 (__TEXT,__text) external _KServerNewSessionCompat
00007ff80fc31e2b (__TEXT,__text) external _KServerVerifyTicketCompat
00007ff80fc307e5 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff842b04310 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff80fc2df1a (__TEXT,__text) external ___KLAllowAutomaticPrompting
00007ff80fc2df07 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
00007ff80fc2df35 (__TEXT,__text) external ___KLAllowRememberPassword
00007ff80fc2df99 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
00007ff80fc2df3d (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
00007ff80fc2dfc8 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
00007ff80fc2dfdb (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
00007ff80fc2df6b (__TEXT,__text) external ___KLGetTripletFromPrincipal
00007ff80fc2dff6 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
00007ff80fc2e006 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
00007ff80fc2dffe (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
00007ff80fc2dfd3 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
00007ff80fc2dfe6 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
00007ff80fc2df2a (__TEXT,__text) external ___KLPromptMechanism
00007ff80fc2dfee (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
00007ff80fc2def1 (__TEXT,__text) external ___KLSetApplicationPrompter
00007ff80fc2df12 (__TEXT,__text) external ___KLSetAutomaticPrompting
00007ff80fc2def9 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
00007ff80fc2df22 (__TEXT,__text) external ___KLSetPromptMechanism
00007ff80fc2c1cc (__TEXT,__text) external ___KerberosDebugLogLevel
00007ff80fc2c1d4 (__TEXT,__text) external ___KerberosDebugPrint
00007ff80fc2c1e0 (__TEXT,__text) external ___KerberosDebugPrintMemory
00007ff80fc2c1e6 (__TEXT,__text) external ___KerberosDebugPrintSession
00007ff80fc2c1da (__TEXT,__text) external ___KerberosDebugVAPrint
00007ff842b03d48 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
00007ff80fc289c5 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00007ff842b037c8 (__DATA,__const) non-external ___block_descriptor_tmp
00007ff842b03848 (__DATA,__const) non-external ___block_descriptor_tmp.11
00007ff842b03808 (__DATA,__const) non-external ___block_descriptor_tmp.6
00007ff842b037e8 (__DATA,__const) non-external ___block_literal_global
00007ff842b03868 (__DATA,__const) non-external ___block_literal_global.12
00007ff842b03828 (__DATA,__const) non-external ___block_literal_global.7
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
00007ff80fc2b94b (__TEXT,__text) non-external ___error_message_block_invoke
00007ff80fc27e8b (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00007ff80fc2b0a7 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
00007ff80fc2ccaf (__TEXT,__text) non-external _acquireticket_ui
00007ff80fc300f6 (__TEXT,__text) non-external _add_data_to_buffer
00007ff80fc27fc1 (__TEXT,__text) external _add_error_table
00007ff80fc2eab0 (__TEXT,__text) non-external _add_to_list
00007ff80fc33499 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
00007ff80fc3357f (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ff80fc27fc9 (__TEXT,__text) external _cc_close
00007ff80fc27fd1 (__TEXT,__text) external _cc_create
00007ff80fc27fd9 (__TEXT,__text) external _cc_destroy
00007ff80fc27fe1 (__TEXT,__text) external _cc_free_NC_info
00007ff80fc27fe9 (__TEXT,__text) external _cc_free_creds
00007ff80fc27ff1 (__TEXT,__text) external _cc_free_name
00007ff80fc27ff9 (__TEXT,__text) external _cc_free_principal
00007ff842b03c28 (__DATA,__data) non-external (was a private external) _cc_functions
00007ff80fc28001 (__TEXT,__text) external _cc_get_NC_info
00007ff80fc28009 (__TEXT,__text) external _cc_get_change_time
00007ff80fc28011 (__TEXT,__text) external _cc_get_cred_version
00007ff80fc28019 (__TEXT,__text) external _cc_get_name
00007ff80fc28021 (__TEXT,__text) external _cc_get_principal
00007ff80fc298d3 (__TEXT,__text) external _cc_initialize
00007ff80fc2a8f1 (__TEXT,__text) non-external _cc_iterator_clone
00007ff80fc28fa9 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
00007ff80fc2a8b1 (__TEXT,__text) non-external _cc_iterator_release
00007ff80fc28029 (__TEXT,__text) external _cc_open
00007ff80fc28031 (__TEXT,__text) external _cc_remove_cred
00007ff80fc28039 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
00007ff80fc28041 (__TEXT,__text) external _cc_seq_fetch_NCs_end
00007ff80fc28049 (__TEXT,__text) external _cc_seq_fetch_NCs_next
00007ff80fc28051 (__TEXT,__text) external _cc_seq_fetch_creds_begin
00007ff80fc28059 (__TEXT,__text) external _cc_seq_fetch_creds_end
00007ff80fc28061 (__TEXT,__text) external _cc_seq_fetch_creds_next
00007ff80fc28069 (__TEXT,__text) external _cc_set_principal
00007ff80fc28071 (__TEXT,__text) external _cc_shutdown
00007ff80fc28079 (__TEXT,__text) external _cc_store
00007ff80fc2a805 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
00007ff80fc2a5ea (__TEXT,__text) non-external _ccache_compare
00007ff80fc29975 (__TEXT,__text) non-external _ccache_destroy
00007ff842b03c90 (__DATA,__data) non-external _ccache_functions
00007ff80fc2a5a1 (__TEXT,__text) non-external _ccache_get_change_time
00007ff80fc29a4e (__TEXT,__text) non-external _ccache_get_credentials_version
00007ff80fc2a6c5 (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00007ff80fc2a54d (__TEXT,__text) non-external _ccache_get_last_default_time
00007ff80fc29a67 (__TEXT,__text) non-external _ccache_get_name
00007ff80fc29af5 (__TEXT,__text) non-external _ccache_get_principal
00007ff842b03d30 (__DATA,__data) non-external _ccache_iterator_functions
00007ff80fc2a513 (__TEXT,__text) non-external _ccache_lock
00007ff80fc2a461 (__TEXT,__text) non-external _ccache_move
00007ff80fc2a3a1 (__TEXT,__text) non-external _ccache_new_credentials_iterator
00007ff80fc28f62 (__TEXT,__text) non-external (was a private external) _ccache_release
00007ff80fc2a1cc (__TEXT,__text) non-external _ccache_remove_credentials
00007ff80fc299d7 (__TEXT,__text) non-external _ccache_set_default
00007ff80fc2a778 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
00007ff80fc29c0e (__TEXT,__text) non-external _ccache_set_principal
00007ff80fc29d29 (__TEXT,__text) non-external _ccache_store_credentials
00007ff80fc2a530 (__TEXT,__text) non-external _ccache_unlock
00007ff80fc2a864 (__TEXT,__text) non-external _ccache_wait_for_change
00007ff80fc2a86f (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00007ff842b038f0 (__DATA,__const) non-external _conf_no
00007ff842b038b0 (__DATA,__const) non-external _conf_yes
00007ff842b03a30 (__DATA,__data) non-external _context_change_time
00007ff80fc298a7 (__TEXT,__text) non-external _context_compare
00007ff80fc293b7 (__TEXT,__text) non-external _context_create_ccache
00007ff80fc29524 (__TEXT,__text) non-external _context_create_default_ccache
00007ff80fc296ac (__TEXT,__text) non-external _context_create_new_ccache
00007ff80fc29138 (__TEXT,__text) non-external _context_get_change_time
00007ff80fc29177 (__TEXT,__text) non-external _context_get_default_ccache_name
00007ff80fc29897 (__TEXT,__text) non-external _context_lock
00007ff80fc2981f (__TEXT,__text) non-external _context_new_ccache_iterator
00007ff80fc291fe (__TEXT,__text) non-external _context_open_ccache
00007ff80fc292ee (__TEXT,__text) non-external _context_open_default_ccache
00007ff80fc29103 (__TEXT,__text) non-external _context_release
00007ff80fc2989f (__TEXT,__text) non-external _context_unlock
00007ff80fc298c8 (__TEXT,__text) non-external _context_wait_for_change
00007ff80fc28a51 (__TEXT,__text) non-external _cred_compare
00007ff80fc28f0c (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00007ff842b03c10 (__DATA,__data) non-external (was a private external) _cred_iter_functions
00007ff80fc28a62 (__TEXT,__text) non-external (was a private external) _cred_iter_next
00007ff80fc28f17 (__TEXT,__text) non-external _cred_iter_release
00007ff80fc28a12 (__TEXT,__text) non-external _cred_release
00007ff842b03c00 (__DATA,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
00007ff80fc31936 (__TEXT,__text) external _decomp_ticket
00007ff80fc31b64 (__TEXT,__text) external _dest_all_tkts
00007ff80fc31b3b (__TEXT,__text) external _dest_tkt
00007ff80fc2b0c9 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00007ff842b03ee0 (__DATA,__bss) non-external _do_log
00007ff80fc2fca8 (__TEXT,__text) non-external _dump_profile
00007ff80fc300d2 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
00007ff80fc30034 (__TEXT,__text) non-external _dump_profile_to_file_cb
00007ff80fc28081 (__TEXT,__text) external _encode_krb5_as_req
00007ff80fc2eb21 (__TEXT,__text) non-external _end_list
00007ff80fc2b8df (__TEXT,__text) external _error_message
00007ff842b03f00 (__DATA,__bss) non-external _error_message.buffer
00007ff842b03ef0 (__DATA,__bss) non-external _error_message.et_list
00007ff842b03ee8 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
00007ff80fc2d40b (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00007ff842b04308 (__DATA,__bss) non-external _g_cc_change_time
00007ff842b03d50 (__DATA,__data) non-external _g_change_time_mutex
00007ff842b04300 (__DATA,__bss) non-external _g_kl_change_time
00007ff80fc31975 (__TEXT,__text) external _get_ad_tkt
00007ff80fc319e0 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00007ff842b03b10 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00007ff842b03b30 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00007ff842b03ae0 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00007ff842b03ac0 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00007ff842b03a80 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00007ff842b03aa0 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00007ff842b03a60 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
