00007ffb1ff61257 (__TEXT,__text) non-external _Done_iODBC
00007ffb1ff55116 (__TEXT,__text) external _SQLColumns
00007ffb1ff55302 (__TEXT,__text) external _SQLColumnsA
00007ffb1ff554ee (__TEXT,__text) external _SQLColumnsW
00007ffb1ff54e5f (__TEXT,__text) non-external _SQLColumns_Internal
00007ffb1ff59187 (__TEXT,__text) external _SQLConnect
00007ffb1ff59b43 (__TEXT,__text) external _SQLConnectA
00007ffb1ff59ccf (__TEXT,__text) external _SQLConnectW
00007ffb1ff59313 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffb1ff7edc0 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb1ff70456 (__TEXT,__text) external _SQLCopyDesc
00007ffb1ff65c73 (__TEXT,__text) external _SQLDataSources
00007ffb1ff65d99 (__TEXT,__text) external _SQLDataSourcesA
00007ffb1ff65ebf (__TEXT,__text) external _SQLDataSourcesW
00007ffb1ff65820 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb42db48d0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb42db48f0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb42db48f8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb1ff6a542 (__TEXT,__text) external _SQLDescribeCol
00007ffb1ff6a732 (__TEXT,__text) external _SQLDescribeColA
00007ffb1ff6a922 (__TEXT,__text) external _SQLDescribeColW
00007ffb1ff6a282 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb1ff5e551 (__TEXT,__text) external _SQLDescribeParam
00007ffb1ff5c857 (__TEXT,__text) external _SQLDisconnect
00007ffb1ff5b90b (__TEXT,__text) external _SQLDriverConnect
00007ffb1ff5ba94 (__TEXT,__text) external _SQLDriverConnectA
00007ffb1ff5bc1d (__TEXT,__text) external _SQLDriverConnectW
00007ffb1ff59e5b (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb1ff7ede3 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb1ff7ee06 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb1ff6650b (__TEXT,__text) external _SQLDrivers
00007ffb1ff66631 (__TEXT,__text) external _SQLDriversA
00007ffb1ff66757 (__TEXT,__text) external _SQLDriversW
00007ffb1ff6610a (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffb42db48d4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffb42db4900 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffb42db4908 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffb1ff7128d (__TEXT,__text) external _SQLEndTran
00007ffb1ff61bf9 (__TEXT,__text) external _SQLError
00007ffb1ff61cde (__TEXT,__text) external _SQLErrorA
00007ffb1ff61dc3 (__TEXT,__text) external _SQLErrorW
00007ffb1ff5da6c (__TEXT,__text) external _SQLExecDirect
00007ffb1ff5dbb1 (__TEXT,__text) external _SQLExecDirectA
00007ffb1ff5dcf6 (__TEXT,__text) external _SQLExecDirectW
00007ffb1ff5d820 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffb1ff5d558 (__TEXT,__text) external _SQLExecute
00007ffb1ff5ec51 (__TEXT,__text) external _SQLExtendedFetch
00007ffb1ff5e9b4 (__TEXT,__text) external _SQLFetch
00007ffb1ff7155d (__TEXT,__text) external _SQLFetchScroll
00007ffb1ff5e7f8 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffb1ff55a69 (__TEXT,__text) external _SQLForeignKeys
00007ffb1ff55ca9 (__TEXT,__text) external _SQLForeignKeysA
00007ffb1ff55ee9 (__TEXT,__text) external _SQLForeignKeysW
00007ffb1ff556da (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffb1ff5f924 (__TEXT,__text) external _SQLFreeConnect
00007ffb1ff5f883 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffb1ff611d7 (__TEXT,__text) external _SQLFreeEnv
00007ffb1ff61166 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffb1ff6b9b1 (__TEXT,__text) external _SQLFreeHandle
00007ffb1ff646bb (__TEXT,__text) external _SQLFreeStmt
00007ffb1ff64478 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffb1ff7b98a (__TEXT,__text) non-external _SQLGetConfigMode
00007ffb1ff6e6c2 (__TEXT,__text) external _SQLGetConnectAttr
00007ffb1ff6ebc0 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffb1ff6ed12 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffb1ff6e814 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffb1ff60813 (__TEXT,__text) external _SQLGetConnectOption
00007ffb1ff6093c (__TEXT,__text) external _SQLGetConnectOptionA
00007ffb1ff60a65 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffb1ff699af (__TEXT,__text) external _SQLGetCursorName
00007ffb1ff69b0a (__TEXT,__text) external _SQLGetCursorNameA
00007ffb1ff69c65 (__TEXT,__text) external _SQLGetCursorNameW
00007ffb1ff697a1 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffb1ff5edd4 (__TEXT,__text) external _SQLGetData
00007ffb1ff6f0e6 (__TEXT,__text) external _SQLGetDescField
00007ffb1ff6f260 (__TEXT,__text) external _SQLGetDescFieldA
00007ffb1ff6f3da (__TEXT,__text) external _SQLGetDescFieldW
00007ffb1ff6ee64 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffb1ff6fcfb (__TEXT,__text) external _SQLGetDescRec
00007ffb1ff6fe9d (__TEXT,__text) external _SQLGetDescRecA
00007ffb1ff7003f (__TEXT,__text) external _SQLGetDescRecW
00007ffb1ff6faff (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffb1ff63a08 (__TEXT,__text) external _SQLGetDiagField
00007ffb1ff63af3 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffb1ff63bde (__TEXT,__text) external _SQLGetDiagFieldW
00007ffb1ff628da (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffb1ff62604 (__TEXT,__text) external _SQLGetDiagRec
00007ffb1ff626f6 (__TEXT,__text) external _SQLGetDiagRecA
00007ffb1ff627e8 (__TEXT,__text) external _SQLGetDiagRecW
00007ffb1ff61ea8 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffb1ff6c0bf (__TEXT,__text) external _SQLGetEnvAttr
00007ffb1ff674c5 (__TEXT,__text) external _SQLGetFunctions
00007ffb1ff6709f (__TEXT,__text) external _SQLGetInfo
00007ffb1ff67201 (__TEXT,__text) external _SQLGetInfoA
00007ffb1ff67363 (__TEXT,__text) external _SQLGetInfoW
00007ffb1ff669a2 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffb1ff7e7c5 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffb1ff7e7fe (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffb1ff7e1f9 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffb1ff7e468 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffb1ff6cac8 (__TEXT,__text) external _SQLGetStmtAttr
00007ffb1ff6cc3c (__TEXT,__text) external _SQLGetStmtAttrA
00007ffb1ff6cdb0 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffb1ff6c28e (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffb1ff64ef6 (__TEXT,__text) external _SQLGetStmtOption
00007ffb1ff65039 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffb1ff64cfe (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffb1ff52879 (__TEXT,__text) external _SQLGetTypeInfo
00007ffb1ff529a4 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffb1ff52acf (__TEXT,__text) external _SQLGetTypeInfoW
00007ffb1ff526e0 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffb1ff5f162 (__TEXT,__text) external _SQLMoreResults
00007ffb1ff5cc68 (__TEXT,__text) external _SQLNativeSql
00007ffb1ff5cddf (__TEXT,__text) external _SQLNativeSqlA
00007ffb1ff5cf56 (__TEXT,__text) external _SQLNativeSqlW
00007ffb1ff5c9c1 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffb1ff5e349 (__TEXT,__text) external _SQLNumParams
00007ffb1ff6a0a4 (__TEXT,__text) external _SQLNumResultCols
00007ffb1ff5e0bf (__TEXT,__text) external _SQLParamData
00007ffb1ff68b72 (__TEXT,__text) external _SQLParamOptions
00007ffb1ff67d61 (__TEXT,__text) external _SQLPrepare
00007ffb1ff67ea6 (__TEXT,__text) external _SQLPrepareA
00007ffb1ff67feb (__TEXT,__text) external _SQLPrepareW
00007ffb1ff67b6c (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffb1ff56381 (__TEXT,__text) external _SQLPrimaryKeys
00007ffb1ff5656c (__TEXT,__text) external _SQLPrimaryKeysA
00007ffb1ff56757 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffb1ff56129 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffb1ff56bf9 (__TEXT,__text) external _SQLProcedureColumns
00007ffb1ff56de5 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffb1ff56fd1 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffb1ff56942 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffb1ff57415 (__TEXT,__text) external _SQLProcedures
00007ffb1ff57600 (__TEXT,__text) external _SQLProceduresA
00007ffb1ff577eb (__TEXT,__text) external _SQLProceduresW
00007ffb1ff571bd (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffb1ff5de3b (__TEXT,__text) external _SQLPutData
00007ffb1ff7b0c7 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffb1ff7b22e (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffb1ff69dc0 (__TEXT,__text) external _SQLRowCount
00007ffb1ff7e837 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffb1ff6e11a (__TEXT,__text) external _SQLSetConnectAttr
00007ffb1ff6e45c (__TEXT,__text) external _SQLSetConnectAttrA
00007ffb1ff6e58f (__TEXT,__text) external _SQLSetConnectAttrW
00007ffb1ff6e24d (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffb1ff60067 (__TEXT,__text) external _SQLSetConnectOption
00007ffb1ff60190 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffb1ff602b9 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffb1ff682e3 (__TEXT,__text) external _SQLSetCursorName
00007ffb1ff6842b (__TEXT,__text) external _SQLSetCursorNameA
00007ffb1ff68573 (__TEXT,__text) external _SQLSetCursorNameW
00007ffb1ff68130 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffb1ff6f6e2 (__TEXT,__text) external _SQLSetDescField
00007ffb1ff6f841 (__TEXT,__text) external _SQLSetDescFieldA
00007ffb1ff6f9a0 (__TEXT,__text) external _SQLSetDescFieldW
00007ffb1ff6f554 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffb1ff701e1 (__TEXT,__text) external _SQLSetDescRec
00007ffb1ff6bed2 (__TEXT,__text) external _SQLSetEnvAttr
00007ffb1ff6bfec (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffb1ff7ed73 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffb1ff7ed84 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffb1ff693a4 (__TEXT,__text) external _SQLSetParam
00007ffb1ff5f57a (__TEXT,__text) external _SQLSetPos
00007ffb1ff68e92 (__TEXT,__text) external _SQLSetScrollOptions
00007ffb1ff6dd24 (__TEXT,__text) external _SQLSetStmtAttr
00007ffb1ff6de76 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffb1ff6dfc8 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffb1ff6cf24 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffb1ff64802 (__TEXT,__text) external _SQLSetStmtOption
00007ffb1ff64bbb (__TEXT,__text) external _SQLSetStmtOptionA
00007ffb1ff64945 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffb1ff52eba (__TEXT,__text) external _SQLSpecialColumns
00007ffb1ff530c8 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffb1ff532d6 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffb1ff52bfa (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffb1ff53793 (__TEXT,__text) external _SQLStatistics
00007ffb1ff53985 (__TEXT,__text) external _SQLStatisticsA
00007ffb1ff53b77 (__TEXT,__text) external _SQLStatisticsW
00007ffb1ff534e4 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffb1ff57c2e (__TEXT,__text) external _SQLTablePrivileges
00007ffb1ff57e19 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffb1ff58004 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffb1ff579d6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffb1ff54020 (__TEXT,__text) external _SQLTables
00007ffb1ff5420c (__TEXT,__text) external _SQLTablesA
00007ffb1ff543f8 (__TEXT,__text) external _SQLTablesW
00007ffb1ff53d69 (__TEXT,__text) non-external _SQLTables_Internal
00007ffb1ff60e86 (__TEXT,__text) external _SQLTransact
00007ffb1ff60b8e (__TEXT,__text) non-external _SQLTransact_Internal
00007ffb1ff7ba75 (__TEXT,__text) non-external _SQLValidDSN
00007ffb1ff7bad4 (__TEXT,__text) non-external _SQLValidDSNW
00007ffb1ff7ae69 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffb1ff7af14 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffb1ff7e998 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffb1ff7ebc0 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffb1ff65c21 (__TEXT,__text) non-external _SectSorter
00007ffb1ff7b9d7 (__TEXT,__text) non-external _ValidDSN
00007ffb1ff7ba29 (__TEXT,__text) non-external _ValidDSNW
00007ffb1ff7e88e (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffb1ff6bd98 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1ff5d350 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1ff5d370 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1ff7cb66 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffb42db4940 (__DATA,__common) non-external __iodbc_env_counter
00007ffb1ff7b46a (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffb1ff65630 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffb1ff65701 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffb1ff5ead5 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffb1ff64425 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffb1ff603e2 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffb1ff69f83 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffb1ff64685 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffb1ff5fa03 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffb1ff58452 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffb1ff5f41c (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffb1ff656b6 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffb1ff6539f (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffb42db4948 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffb1ff657ce (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffb1ff527de (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffb1ff52831 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffb1ff7d269 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffb1ff7c4ea (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffb1ff7cd0e (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffb1ff7c997 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffb1ff7c43e (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffb1ff6799b (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffb1ff7d542 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffb1ff7cc3b (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffb1ff67a12 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffb1ff678a0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffb1ff7c51b (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffb1ff7cc15 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffb1ff5b622 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffb1ff7d574 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffb1ff7ca64 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffb1ff67a60 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffb1ff7ce0d (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffb1ff7b6b3 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffb1ff5b3ba (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffb1ff6544d (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffb1ff65542 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffb1ff5b4e4 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffb1ff5d49b (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffb1ff5d4e3 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffb1ff5d3f3 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffb1ff5d3e9 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffb1ff5d514 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffb1ff5866e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffb1ff58e31 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffb1ff64330 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffb1ff5fffc (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffb1ff58249 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffb1ff61260 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffb1ff5d260 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffb1ff7b757 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffb1ff5d39a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffb42db48e8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffb1ff7d755 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffb1ff7d697 (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffb1ff6a226 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffb1ff6a1ca (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffb1ff5d0cd (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffb1ff581f0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffb1ff7ed9d (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffb1ff5b168 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffb1ff5b816 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffb1ff58323 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffb1ff5b775 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffb1ff61283 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffb1ff7b6fe (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffb1ff5d4ed (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffb1ff612e6 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffb1ff7b913 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffb1ff7b8c3 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffb1ff60c70 (__TEXT,__text) non-external __iodbcdm_transact
00007ffb40a15050 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffb40a15cf0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffb40a15da0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffb40a15110 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffb40a151b0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffb40a15850 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffb40a15890 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffb40a15560 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffb40a158e0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffb40a15900 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffb40a15920 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffb40a15610 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffb40a15950 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffb40a15970 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffb40a15020 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffb40a15030 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffb40a15530 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffb40a159a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffb40a159f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffb40a15a10 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffb40a15a20 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffb40a15a70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffb40a15a90 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffb40a15b10 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffb40a15b20 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffb40a15b50 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffb40a15b70 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffb40a15bf0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffb40a15c30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffb40a15c40 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffb40a15c50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffb40a15c60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffb40a15c80 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffb40a15ca0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffb40a15cc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffb40a15cd0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffb40a15c10 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffb40a15160 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffb40a156a0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffb40a15650 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffb40a15680 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffb40a15e30 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffb40a15e50 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffb40a15f10 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffb40a156c0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffb40a15550 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
