00007ffb12a8ec86 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb12a8c5f4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb12a885fe (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb12a88612 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb12a91e31 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb12a93d3a (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb12a8ee77 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb12a8d4b7 (__TEXT,__text) non-external -[CBOR array]
00007ffb12a8d2c5 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb12a8ee48 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb12a8cb78 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb12a8d421 (__TEXT,__text) non-external -[CBOR data]
00007ffb12a8d559 (__TEXT,__text) non-external -[CBOR date]
00007ffb12a8dbc7 (__TEXT,__text) non-external -[CBOR description]
00007ffb12a8d508 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb12a8d20a (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb12a8ed93 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb12a8d08b (__TEXT,__text) non-external -[CBOR hash]
00007ffb12a8cfcb (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb12a8cbb3 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb12a8dab1 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb12a8dac6 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb12a8db6f (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb12a8d09d (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb12a8da9c (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb12a8da82 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb12a8d15b (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb12a8d25e (__TEXT,__text) non-external -[CBOR numeric]
00007ffb12a8ee5c (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb12a8ee52 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb12a8ee66 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb12a8ee08 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb12a8ee23 (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb12a8ee3e (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb12a8d323 (__TEXT,__text) non-external -[CBOR string]
00007ffb12a8edfe (__TEXT,__text) non-external -[CBOR tag]
00007ffb12a8edf4 (__TEXT,__text) non-external -[CBOR type]
00007ffb12a8d1b0 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb12a8ee34 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb12a8ee19 (__TEXT,__text) non-external -[CBOR value]
00007ffb12a89f00 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb12a908b5 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb12a8f904 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb12a902e4 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb12a90879 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb12a9088d (__TEXT,__text) non-external -[COSE contentType]
00007ffb12a8f834 (__TEXT,__text) non-external -[COSE content]
00007ffb12a90883 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb12a8f06c (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb12a8eeac (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb12a8ef06 (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb12a8f462 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb12a908a1 (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb12a90897 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb12a908ab (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb12a8f731 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb12a9086f (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb12a90914 (__TEXT,__text) non-external -[COSE setType:]
00007ffb12a909b5 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb12a8f8d2 (__TEXT,__text) non-external -[COSE tag]
00007ffb12a90865 (__TEXT,__text) non-external -[COSE type]
00007ffb12a8f7b1 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb12a93cb8 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb12a92e58 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb12a93c86 (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb12a93ca4 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb12a93be8 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb12a93b79 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb12a93b9e (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb12a93bc3 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb12a909b5 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb12a93c90 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb12a93724 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb12a938be (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb12a93a2e (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb12a91ee2 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb12a91e88 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb12a93c57 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb12a93c0d (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb12a93c32 (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb12a93c9a (__TEXT,__text) non-external -[COSEKey operations]
00007ffb12a93cae (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb12a93c7c (__TEXT,__text) non-external -[COSEKey type]
00007ffb12a91e1e (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb12a91d77 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb12a91b4c (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb12a9179f (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb12a91a34 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb12a91e0d (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb12a916b7 (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb12a90b07 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb12a909e5 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb12a915fb (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb12a90d66 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb12a90ff0 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb12a91323 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb12a914b7 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb12a91294 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb12a9800c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb12a95d90 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb12a95d60 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb12a95dc8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb12a95dc9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb43fd9310 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb43fd9318 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb43fd9328 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb43fd9330 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb43fd9338 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb43fd9340 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb43fd9320 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb43fd8760 (__DATA,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb43fd87b0 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb43fd88a0 (__DATA,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb43fd8850 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb43fd8800 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb43fd8580 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb43fd8588 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb43fd8568 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb43fd8560 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb43fd8570 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb43fd8578 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb43fd85a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb43fd8590 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb43fd85b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb43fd85b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb43fd85c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb43fd85c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb43fd85d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb43fd85a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb43fd8598 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb43fd8610 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb43fd8628 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb43fd85e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb43fd85e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb43fd8618 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb43fd8620 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb43fd8600 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb43fd85f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb43fd85f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb43fd8630 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb43fd8608 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb43fd85d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb43fd8788 (__DATA,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb43fd87d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb43fd88c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb43fd8878 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb43fd8828 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb43fd8d10 (__DATA,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb41f7a840 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb41f7aae0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb41f7abd8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb43fd8638 (__DATA,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41f7acb0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41f7a938 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb12a94348 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41f7a818 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb41f7aa78 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb41f7ab70 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41f7a9c8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41f7ac68 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41f7a8d0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb41f7a7d0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb41f7aa30 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb41f7ab28 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41f7a980 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41f7ac20 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41f7a888 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb41f7acf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb12a94368 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb12a944d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb12a94508 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb12a946b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb12a94780 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb12a94870 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb12a948c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb41f7ae88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb41f7b138 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb41f7b580 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb41f7b4b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb41f7af50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb41f7b260 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb41f7b6e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb41f7b4d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb41f7b3b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb41f7ad38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb12a94938 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb12a94950 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb12a94a40 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb41f7ae20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb41f7ad80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb41f7ae28 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb41f7b0a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb41f7b328 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb41f7b7c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb41f7b4f0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb41f7b420 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb41f7a7c0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb41f7a7b8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb41f7ae40 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb41f7b0f0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb41f7b538 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb41f7b468 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb41f7b370 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb43fd92b0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb43fd9250 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb41f7be18 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb12a9057e (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb12a9072d (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb12a882dc (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb12a90559 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb12a9056f (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb41f79ec8 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb41f79ee8 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb12a73470 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb12a73490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb12a906b6 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb12a906f8 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb12a72170 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb12a72170 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb12a72260 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb12a72100 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb12a72230 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb12a72230 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb12a72230 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb12a67e30 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00007ffb12a733c0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00007ffb12a73400 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb12a87d40 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb12a85330 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb12a7b790 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
