00007ffb025a9cb2 (__TEXT,__text) non-external _DiToMD5
00007ffb025925dc (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb025ba771 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb02592530 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb025ba6e5 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb025ba708 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb02592610 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb025ba794 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb025ba7b7 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb02592588 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb025ba72b (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb025ba74e (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb0259247e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb025924a4 (__TEXT,__text) external _IORecursiveLockFree
00007ffb025924d0 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb025924ba (__TEXT,__text) external _IORecursiveLockLock
00007ffb025924da (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb025924c6 (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb40305798 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb40305518 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb40305dc8 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb40305f78 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb40305c18 (__DATA_CONST,__const) external _IOService_Class
00007ffb403055b8 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb0258f6c1 (__TEXT,__text) external _IOSleep
00007ffb40305658 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb02592797 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb02592732 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb02592761 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb02592776 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb40307d78 (__DATA_CONST,__const) external _IOThread_Class
00007ffb40306128 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb403062d8 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb02592dff (__TEXT,__text) external _IOUserServerMain
00007ffb025baaed (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb025bac28 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb025bab10 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb025bab33 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb025bab56 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb025bab79 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb025bab9c (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb025babbf (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb025babe2 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb025bac05 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb40306658 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb42709650 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb40306808 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb025a9e1b (__TEXT,__text) external _MD5Final
00007ffb025a9c30 (__TEXT,__text) external _MD5Init
00007ffb025a9daf (__TEXT,__text) non-external _MD5ToDi
00007ffb025a9d0b (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb403069b8 (__DATA_CONST,__const) external _OSAction_Class
00007ffb40306378 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb40307ab8 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb0259bd47 (__TEXT,__text) external _OSArrayAppendValue
00007ffb0259b9b2 (__TEXT,__text) external _OSArrayApply
00007ffb0259b961 (__TEXT,__text) external _OSArrayCreate
00007ffb0259b01b (__TEXT,__text) external _OSArrayGetCount
00007ffb0259bdd5 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb0259be45 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb0259bd7b (__TEXT,__text) external _OSArrayGetValue
00007ffb0259bd38 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb0259be00 (__TEXT,__text) external _OSArraySetStringValue
00007ffb0259bf0b (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb0259bb93 (__TEXT,__text) external _OSArraySetValue
00007ffb40306b68 (__DATA_CONST,__const) external _OSArray_Class
00007ffb40306c60 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb40306d58 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb02599cc3 (__TEXT,__text) external _OSCollectionTypeID
00007ffb025bb784 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb02599c40 (__TEXT,__text) external _OSCollectionTypeName
00007ffb025bb740 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb40306e50 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb0259e5a4 (__TEXT,__text) external _OSCollectionsInitialize
00007ffb40306f48 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb02599d27 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb025bb7ca (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0259c84f (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb025bbcf8 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0259c754 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0259aea0 (__TEXT,__text) external _OSDataAppendBytes
00007ffb0259ae05 (__TEXT,__text) external _OSDataCreate
00007ffb025bb96a (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb0259adb1 (__TEXT,__text) external _OSDataGetBytes
00007ffb0259ad68 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb0259ada0 (__TEXT,__text) external _OSDataGetLength
00007ffb403070a8 (__DATA_CONST,__const) external _OSData_Class
00007ffb0259b028 (__TEXT,__text) external _OSDictionaryApply
00007ffb0259afbd (__TEXT,__text) external _OSDictionaryCreate
00007ffb0259b00e (__TEXT,__text) external _OSDictionaryGetCount
00007ffb0259b6e0 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb0259b887 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0259b65b (__TEXT,__text) external _OSDictionaryGetValue
00007ffb0259b842 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb0259b923 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0259b2e8 (__TEXT,__text) external _OSDictionarySetValue
00007ffb403071a0 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb40307298 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb0259af62 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb0259af41 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb40307390 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0259cdde (__TEXT,__text) external _OSObjectLog
00007ffb02599c7b (__TEXT,__text) external _OSObjectRelease
00007ffb02599c70 (__TEXT,__text) external _OSObjectRetain
00007ffb40307488 (__DATA_CONST,__const) external _OSObject_Class
00007ffb40307638 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb0258fbe7 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb0259c97e (__TEXT,__text) external _OSSerializationGetBytes
00007ffb40307730 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb40307828 (__DATA_CONST,__const) external _OSSet_Class
00007ffb0259a7f2 (__TEXT,__text) external _OSStringCreate
00007ffb025bb879 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb025bb89c (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb025bb8bd (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb0259a7a7 (__TEXT,__text) external _OSStringGetLength
00007ffb0259a76e (__TEXT,__text) external _OSStringGetStringPtr
00007ffb40307920 (__DATA_CONST,__const) external _OSString_Class
00007ffb0258f6db (__TEXT,__text) external _OSSynchronizeIO
00007ffb42860810 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb0258ff10 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb025aa09b (__TEXT,__text) external _SHA1Final
00007ffb025a9eb0 (__TEXT,__text) external _SHA1Init
00007ffb025aa038 (__TEXT,__text) non-external _SHA1ToDi
00007ffb025a9f93 (__TEXT,__text) external _SHA1Update
00007ffb025aa89e (__TEXT,__text) external _SHA256_Final
00007ffb025aa82b (__TEXT,__text) external _SHA256_Init
00007ffb025bc470 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb025aa86b (__TEXT,__text) external _SHA256_Update
00007ffb025aa93c (__TEXT,__text) external _SHA384_Final
00007ffb025aa8c3 (__TEXT,__text) external _SHA384_Init
00007ffb025bc489 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb025aa909 (__TEXT,__text) external _SHA384_Update
00007ffb025aa9da (__TEXT,__text) external _SHA512_Final
00007ffb025aa961 (__TEXT,__text) external _SHA512_Init
00007ffb025bc4a2 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb025aa9a7 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb02590aca (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb025aa9ff (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb40307a18 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb02590e49 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb025ba217 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb025ba23a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffb025927a1 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb025ba866 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb025ba889 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb025ba8ac (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb025ba8cf (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb025ba8f2 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0259186b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb025ba541 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb025ba564 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb025ba587 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb025ba5aa (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb02591104 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb025ba2c6 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb0259bd5d (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb0259e54a (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb02590c7d (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb025ba1ae (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb025ba1d1 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb025ba1f4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb0259be70 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb0259bee0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb0259be9b (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb02590e9e (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0259c268 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb025bbbe0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb025bbc03 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb025bbc26 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb025bbc49 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb025bbc6c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb025bbc8f (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb0258f1ee (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb0258f2f0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb025913c2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb025ba30a (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb025914b8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb02592bcb (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb02590bf0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb02590b53 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb0259c99c (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb025bbd1b (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb02591008 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb025ba280 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb025ba2a3 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb02599cf0 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb025bb7a7 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb02599c86 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb025bb761 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb0258e060 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb0259ad18 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb0259bf49 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb025bb9f6 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb025bba19 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb025bba3c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb025bba5f (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb025bba82 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb0259ace4 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb0259af25 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0259c080 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb025bbaa5 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb025bbac8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb025bbaeb (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb02592b9e (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb02592276 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb025b8ee0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb0258f0fe (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb02590365 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb025ba123 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb025997ea (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb025b8df4 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0259da42 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb025bc970 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb025b9eec (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb025b881c (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb025b8e62 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb025b8f7e (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb025b8fae (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb0259aace (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb0259aa8c (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb025bb8e0 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb025b95dc (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb025aaea4 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb025b0096 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb025985df (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb025bb4e2 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb025bb505 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb025bb528 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb025b8e32 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb025affa6 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb02594040 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb025baf6e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb025baf91 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb025bafb4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb025bafd7 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb025ad56a (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb025afd2e (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb025b81d2 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb025b8eb0 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb02592a02 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb025baa0a (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb025baa2d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb025baa50 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb025baa73 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb0259375f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb025bad73 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb025bad96 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb025badb9 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb025baddc (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb025991f1 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb025bb5d7 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb025bb5fa (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb025bb61d (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb025bb640 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb025bb663 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb025bb686 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb025bb6a9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffb428607e8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffb025aaf12 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffb025b6a52 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffb025b7936 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
