00000001d83daf20 (__DATA,__data) external _NDR_record
00000001b7228654 (__TEXT,__text) external ___identitysvc
00000001b7200710 (__TEXT,__text) external ___inc_remove_counter
00000001b7205568 (__TEXT,__text) external ___initgroups
00000001b7200b4c (__TEXT,__text) external ___ioctl
00000001b7208afc (__TEXT,__text) external ___iopolicysys
00000001b7228680 (__TEXT,__text) external ___kdebug_trace
00000001b72286ac (__TEXT,__text) external ___kdebug_trace64
00000001b72286d8 (__TEXT,__text) external ___kdebug_trace_string
00000001b72003ac (__TEXT,__text) external ___kdebug_typefilter
00000001b722b690 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001b722b658 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001b72045e0 (__TEXT,__text) external ___kill
00000001b7204004 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001b720553c (__TEXT,__text) external ___lchown
00000001b7207848 (__TEXT,__text) external ___libkernel_init
00000001b7209e94 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001b7209e90 (__TEXT,__text) external ___libkernel_init_late
00000001b7205764 (__TEXT,__text) external ___libkernel_platform_init
00000001b72024d0 (__TEXT,__text) external ___libkernel_voucher_init
00000001b7209338 (__TEXT,__text) external ___listen
00000001b7228704 (__TEXT,__text) external ___log_data
00000001b71fd768 (__TEXT,__text) external ___lseek
00000001b7228730 (__TEXT,__text) external ___lstat64_extended
00000001b722875c (__TEXT,__text) external ___lstat_extended
00000001b7228788 (__TEXT,__text) external ___mac_execve
00000001b72287b4 (__TEXT,__text) external ___mac_get_fd
00000001b72287e0 (__TEXT,__text) external ___mac_get_file
00000001b722880c (__TEXT,__text) external ___mac_get_link
00000001b7228838 (__TEXT,__text) external ___mac_get_mount
00000001b7228864 (__TEXT,__text) external ___mac_get_pid
00000001b7228890 (__TEXT,__text) external ___mac_get_proc
00000001b72288bc (__TEXT,__text) external ___mac_getfsstat
00000001b72288e8 (__TEXT,__text) external ___mac_mount
00000001b7228914 (__TEXT,__text) external ___mac_set_fd
00000001b7228940 (__TEXT,__text) external ___mac_set_file
00000001b722896c (__TEXT,__text) external ___mac_set_link
00000001b7228998 (__TEXT,__text) external ___mac_set_proc
00000001b71fe668 (__TEXT,__text) external ___mac_syscall
00000001b72289c4 (__TEXT,__text) external ___mach_bridge_remote_time
00000001b72289f0 (__TEXT,__text) external ___mach_eventlink_signal
00000001b7228a1c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001b7228a48 (__TEXT,__text) external ___mach_eventlink_wait_until
00000001b7228a74 (__TEXT,__text) external ___memorystatus_available_memory
00000001b7206264 (__TEXT,__text) external ___microstackshot
00000001b7228aa0 (__TEXT,__text) external ___mkdir_extended
00000001b7228acc (__TEXT,__text) external ___mkfifo_extended
00000001b7200380 (__TEXT,__text) external ___mmap
00000001b7202808 (__TEXT,__text) external ___mprotect
00000001b7228af8 (__TEXT,__text) external ___msgctl
00000001b7228b24 (__TEXT,__text) external ___msgrcv_nocancel
00000001b7228b50 (__TEXT,__text) external ___msgsnd_nocancel
00000001b7228b7c (__TEXT,__text) external ___msgsys
00000001b7200b20 (__TEXT,__text) external ___msync
00000001b7228ba8 (__TEXT,__text) external ___msync_nocancel
00000001b71fe2cc (__TEXT,__text) external ___munmap
00000001b7228bd4 (__TEXT,__text) external ___nexus_create
00000001b7228c00 (__TEXT,__text) external ___nexus_deregister
00000001b7228c2c (__TEXT,__text) external ___nexus_destroy
00000001b7228c58 (__TEXT,__text) external ___nexus_get_opt
00000001b7228c84 (__TEXT,__text) external ___nexus_open
00000001b7228cb0 (__TEXT,__text) external ___nexus_register
00000001b7228cdc (__TEXT,__text) external ___nexus_set_opt
00000001b7228d08 (__TEXT,__text) external ___old_semwait_signal
00000001b71fdd24 (__TEXT,__text) external ___open
00000001b71ff388 (__TEXT,__text) external ___open_dprotected_np
00000001b7228d34 (__TEXT,__text) external ___open_extended
00000001b71fddb8 (__TEXT,__text) external ___open_nocancel
00000001b71fe228 (__TEXT,__text) external ___openat
00000001b71ffc9c (__TEXT,__text) external ___openat_nocancel
00000001d95b86b0 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
00000001b7211d90 (__TEXT,__text) external ___os_nexus_flow_add
00000001b7211e14 (__TEXT,__text) external ___os_nexus_flow_del
00000001b7211e98 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001b722b5cc (__TEXT,__text) non-external ___os_nexus_get_llink_info.cold.1
00000001b7211bc0 (__TEXT,__text) external ___os_nexus_ifattach
00000001b7211cdc (__TEXT,__text) external ___os_nexus_ifdetach
00000001b7205510 (__TEXT,__text) external ___persona
00000001b72000d4 (__TEXT,__text) external ___pipe
00000001b7228d60 (__TEXT,__text) external ___poll_nocancel
00000001b7200dc0 (__TEXT,__text) external ___posix_spawn
00000001b7200d58 (__TEXT,__text) non-external (was a private external) ___posix_spawnattr_init
00000001b7228d8c (__TEXT,__text) external ___pread_nocancel
00000001b7228db8 (__TEXT,__text) external ___preadv_nocancel
00000001b71fde54 (__TEXT,__text) external ___proc_info
00000001b7202144 (__TEXT,__text) external ___proc_info_extended_id
00000001b720487c (__TEXT,__text) external ___process_policy
00000001b7208d80 (__TEXT,__text) external ___pselect
00000001b7228de4 (__TEXT,__text) external ___pselect_nocancel
00000001b71fe964 (__TEXT,__text) external ___psynch_cvbroad
00000001b7202758 (__TEXT,__text) external ___psynch_cvclrprepost
00000001b71fef60 (__TEXT,__text) external ___psynch_cvsignal
00000001b71fcf1c (__TEXT,__text) external ___psynch_cvwait
00000001b71fdbe0 (__TEXT,__text) external ___psynch_mutexdrop
00000001b71fd5f8 (__TEXT,__text) external ___psynch_mutexwait
00000001b7228e10 (__TEXT,__text) external ___psynch_rw_downgrade
00000001b7228e3c (__TEXT,__text) external ___psynch_rw_longrdlock
00000001b71ff78c (__TEXT,__text) external ___psynch_rw_rdlock
00000001b71ff1f0 (__TEXT,__text) external ___psynch_rw_unlock
00000001b7228e68 (__TEXT,__text) external ___psynch_rw_unlock2
00000001b7228e94 (__TEXT,__text) external ___psynch_rw_upgrade
00000001b72006e4 (__TEXT,__text) external ___psynch_rw_wrlock
00000001b7228ec0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001b7203774 (__TEXT,__text) external ___pthread_canceled
00000001b7228eec (__TEXT,__text) external ___pthread_chdir
00000001b71fe038 (__TEXT,__text) external ___pthread_fchdir
00000001b7202b30 (__TEXT,__text) external ___pthread_kill
00000001b7228f18 (__TEXT,__text) external ___pthread_markcancel
00000001b71fef8c (__TEXT,__text) external ___pthread_sigmask
00000001b7228f44 (__TEXT,__text) external ___ptrace
00000001b7228f7c (__TEXT,__text) external ___pwrite_nocancel
00000001b7228fa8 (__TEXT,__text) external ___pwritev_nocancel
00000001b71fe6c0 (__TEXT,__text) external ___read_nocancel
00000001b7228fd4 (__TEXT,__text) external ___readv_nocancel
00000001b7229000 (__TEXT,__text) external ___reboot
00000001b7200cd0 (__TEXT,__text) external ___recvfrom
00000001b7202b04 (__TEXT,__text) external ___recvfrom_nocancel
00000001b7203188 (__TEXT,__text) external ___recvmsg
00000001b722902c (__TEXT,__text) external ___recvmsg_nocancel
00000001d95b86c8 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001b71ffaec (__TEXT,__text) external ___rename
00000001b7200bd4 (__TEXT,__text) external ___renameat
00000001b7207270 (__TEXT,__text) external ___renameatx_np
00000001b7201ff4 (__TEXT,__text) external ___rmdir
00000001b7228788 (__TEXT,__text) external ___sandbox_me
00000001b72288e8 (__TEXT,__text) external ___sandbox_mm
00000001b71fe668 (__TEXT,__text) external ___sandbox_ms
00000001b7228998 (__TEXT,__text) external ___sandbox_msp
00000001b71fd15c (__TEXT,__text) external ___select
00000001b7208d28 (__TEXT,__text) external ___select_nocancel
00000001b7203efc (__TEXT,__text) external ___sem_open
00000001b7229058 (__TEXT,__text) external ___sem_wait_nocancel
00000001b7229084 (__TEXT,__text) external ___semctl
00000001b72290b0 (__TEXT,__text) external ___semsys
00000001b71fca24 (__TEXT,__text) external ___semwait_signal
00000001b720460c (__TEXT,__text) external ___semwait_signal_nocancel
00000001b72290dc (__TEXT,__text) external ___sendmsg
00000001b7209b28 (__TEXT,__text) external ___sendmsg_nocancel
00000001b7200d2c (__TEXT,__text) external ___sendto
00000001b72065e4 (__TEXT,__text) external ___sendto_nocancel
00000001b7200dec (__TEXT,__text) external ___setattrlist
00000001b7209838 (__TEXT,__text) external ___setlogin
00000001b71ff328 (__TEXT,__text) external ___setpriority
00000001b7229108 (__TEXT,__text) external ___setregid
00000001b7229134 (__TEXT,__text) external ___setreuid
00000001b7229160 (__TEXT,__text) external ___setrlimit
00000001b722918c (__TEXT,__text) external ___setsgroups
00000001b720753c (__TEXT,__text) external ___settid
00000001b72291b8 (__TEXT,__text) external ___settid_with_pid
00000001b72291e4 (__TEXT,__text) external ___settimeofday
00000001b7229210 (__TEXT,__text) external ___setwgroups
00000001b71fe324 (__TEXT,__text) external ___sfi_ctl
00000001b722923c (__TEXT,__text) external ___sfi_pidctl
00000001b7229268 (__TEXT,__text) external ___shared_region_check_np
00000001b7229294 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001b72292c0 (__TEXT,__text) external ___shared_region_map_and_slide_np
00000001b720192c (__TEXT,__text) external ___shm_open
00000001b72292ec (__TEXT,__text) external ___shmctl
00000001b7229318 (__TEXT,__text) external ___shmsys
00000001b7202054 (__TEXT,__text) external ___sigaction
00000001b720999c (__TEXT,__text) external ___sigaltstack
00000001b7229344 (__TEXT,__text) external ___sigreturn
00000001b7229370 (__TEXT,__text) external ___sigsuspend
00000001b72043c8 (__TEXT,__text) external ___sigsuspend_nocancel
00000001b722939c (__TEXT,__text) external ___sigwait
00000001b7207118 (__TEXT,__text) external ___socketpair
00000001b7204314 (__TEXT,__text) external ___stack_snapshot_with_config
00000001b7205c54 (__TEXT,__text) external ___stat64_extended
00000001b72293c8 (__TEXT,__text) external ___stat_extended
00000001b72293f4 (__TEXT,__text) external ___syscall
00000001d83daf80 (__DATA,__common) external ___syscall_logger
00000001b71fdae4 (__TEXT,__text) external ___sysctl
00000001b71ffc70 (__TEXT,__text) external ___sysctlbyname
00000001b7229430 (__TEXT,__text) external ___telemetry
00000001b722945c (__TEXT,__text) external ___terminate_with_payload
00000001b71fdcb0 (__TEXT,__text) external ___thread_selfid
00000001b7229488 (__TEXT,__text) external ___thread_selfusage
00000001b71fd130 (__TEXT,__text) external ___ulock_wait
00000001b72294b4 (__TEXT,__text) external ___ulock_wait2
00000001b71fd1b4 (__TEXT,__text) external ___ulock_wake
00000001b72294e0 (__TEXT,__text) external ___umask_extended
00000001b72003dc (__TEXT,__text) external ___unlink
00000001b7202080 (__TEXT,__text) external ___unlinkat
00000001b722950c (__TEXT,__text) external ___vfork
00000001b71fdf3c (__TEXT,__text) external ___wait4
00000001b7201b2c (__TEXT,__text) external ___wait4_nocancel
00000001b722957c (__TEXT,__text) external ___waitid_nocancel
00000001b71fde80 (__TEXT,__text) external ___work_interval_ctl
00000001b71fca6c (__TEXT,__text) external ___workq_kernreturn
00000001b71fee78 (__TEXT,__text) external ___workq_open
00000001b71fe510 (__TEXT,__text) external ___write_nocancel
00000001b720781c (__TEXT,__text) external ___writev_nocancel
00000001d83daf78 (__DATA,__common) external __cpu_capabilities
00000001d83daf7c (__DATA,__common) external __cpu_has_altivec
00000001d95b8010 (__DATA_DIRTY,__data) external __current_pid
00000001d95b8020 (__DATA_DIRTY,__common) non-external (was a private external) __dlsym
00000001b7201ef4 (__TEXT,__text) external __exit
00000001b7200e48 (__TEXT,__text) external __get_cpu_capabilities
00000001d83daf90 (__DATA,__bss) non-external __gethostuuid_callback
00000001b720d4c0 (__TEXT,__text) external __getprivatesystemidentifier
00000001b721704c (__TEXT,__text) external __host_page_size
00000001b7208278 (__TEXT,__text) external __init_cpu_capabilities
00000001b7218084 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001b72195f0 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001b721a450 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001b72194c4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001b721a2ec (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001b71fc3fc (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001b7208438 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001b721b05c (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001b71fc450 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001b7219860 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001b71fc408 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001b7219734 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001b721b1b4 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001b71fc45c (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001b721aa2c (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001b721acac (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001b71fc444 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001b720219c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001b721a108 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001b71fc504 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001b720827c (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001b7203228 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001b721bc68 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001b7219be0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001b721a6f0 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001b721b2dc (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001b71fc510 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001b721b7b0 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001b721ab80 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001b71fc438 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001b7219ea4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001b71fc42c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001b720403c (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001b72091e4 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001b721af00 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001b721ba08 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001b721998c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001b71fc414 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001b7219d78 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001b71fc420 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001b7219094 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001b7207610 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001b7219398 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001b7205774 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001b71fc5f4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001b7204684 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001b721add8 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001b7219ab4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001b7219fdc (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001b721b530 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001b721a834 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001b721b66c (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001b721b8dc (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001b7219254 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001b71fc5e8 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001b721b408 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001b71fc51c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001b7206fe8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001b721be60 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001b71fc3b4 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001b721bfa8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001b71fc3cc (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001b7204fa8 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001b71fc3f0 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001b721c0d0 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001b71fc3e4 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001b721d060 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001b71fc3c0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001b7205138 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001b721cbf0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001b7205f64 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001b7227b08 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001b721a5c4 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001b720729c (__TEXT,__text) external __kernelrpc_thread_policy
00000001b72052f8 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001b7225238 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001b7208794 (__TEXT,__text) external __kernelrpc_vm_map
00000001b7226c68 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001b71fe350 (__TEXT,__text) external __kernelrpc_vm_read
00000001b7204180 (__TEXT,__text) external __kernelrpc_vm_remap
00000001b7226dac (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001b7209ef8 (__TEXT,__text) non-external (was a private external) __libkernel_bzero
00000001d95b8018 (__DATA_DIRTY,__common) non-external (was a private external) __libkernel_functions
00000001dd8a3020 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001b7209f8c (__TEXT,__text) non-external (was a private external) __libkernel_memmove
00000001b7209f04 (__TEXT,__text) non-external (was a private external) __libkernel_memset
00000001b7209e98 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
00000001b7209ed0 (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
00000001b720a0b8 (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
00000001d95b8000 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001b720a0f8 (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
00000001b7209d78 (__TEXT,__text) non-external (was a private external) __libkernel_strlen
00000001d95b8008 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001b722b630 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001b71fcc58 (__TEXT,__text) non-external (was a private external) __mach_continuous_time
00000001b7201ad8 (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
00000001d43fbaf0 (__DATA_CONST,__const) external __mach_errors
00000001b720320c (__TEXT,__text) external __mach_fork_child
00000001b720c520 (__TEXT,__text) external __mach_snprintf
00000001b720c390 (__TEXT,__text) external __mach_vsnprintf
00000001d95b8068 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001b7204808 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001b71fdc0c (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
00000001b7200178 (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
00000001b7209d18 (__TEXT,__text) non-external (was a private external) __pthread_set_self
00000001b720d4c4 (__TEXT,__text) external __register_gethostuuid_callback
00000001d95b805c (__DATA_DIRTY,__common) non-external (was a private external) __task_reply_port
00000001b722a890 (__TEXT,__text) external __thread_set_tsd_base
00000001b722a97c (__TEXT,__text) non-external _abort
00000001b722a9a0 (__TEXT,__text) non-external _abort
00000001b722a9c4 (__TEXT,__text) non-external _abort
00000001b722a9e8 (__TEXT,__text) non-external _abort
00000001b722ac48 (__TEXT,__text) external _abort_with_payload
00000001b722abbc (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001b722ab9c (__TEXT,__text) external _abort_with_reason
00000001b720973c (__TEXT,__text) external _accept
00000001b722833c (__TEXT,__text) external _accept$NOCANCEL
00000001b71fe694 (__TEXT,__text) external _access
00000001b7208d54 (__TEXT,__text) external _accessx_np
00000001b72295a8 (__TEXT,__text) external _acct
00000001b7223c30 (__TEXT,__text) external _act_get_state
00000001b7223ec0 (__TEXT,__text) external _act_set_state
00000001b72295d4 (__TEXT,__text) external _adjtime
00000001b7229600 (__TEXT,__text) external _aio_cancel
00000001b722962c (__TEXT,__text) external _aio_error
00000001b7229658 (__TEXT,__text) external _aio_fsync
00000001b7229684 (__TEXT,__text) external _aio_read
00000001b72296b0 (__TEXT,__text) external _aio_return
00000001b72296dc (__TEXT,__text) external _aio_suspend
00000001b7228368 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001b7229708 (__TEXT,__text) external _aio_write
00000001b7229734 (__TEXT,__text) external _audit
00000001b7229760 (__TEXT,__text) external _audit_session_join
00000001b7209b54 (__TEXT,__text) external _audit_session_port
00000001b722978c (__TEXT,__text) external _audit_session_self
00000001b72297b8 (__TEXT,__text) external _auditctl
00000001b7209a18 (__TEXT,__text) external _auditon
00000001b720a0a8 (__TEXT,__text) non-external (was a private external) _bcopy
00000001b7207c4c (__TEXT,__text) external _bind
00000001d95b8028 (__DATA_DIRTY,__common) external _bootstrap_port
00000001b7209d48 (__TEXT,__text) non-external (was a private external) _bzero
00000001b71fe930 (__TEXT,__text) external _cerror
00000001b71fe1e0 (__TEXT,__text) external _cerror_nocancel
00000001b7200a84 (__TEXT,__text) external _change_fdguard_np
00000001b7205aec (__TEXT,__text) external _chdir
00000001b7206810 (__TEXT,__text) external _chflags
00000001b720336c (__TEXT,__text) external _chmod
00000001b7202170 (__TEXT,__text) external _chown
00000001b72297e4 (__TEXT,__text) external _chroot
00000001b72137e8 (__TEXT,__text) external _clock_alarm
00000001b72135b8 (__TEXT,__text) external _clock_alarm_reply
00000001b7213624 (__TEXT,__text) external _clock_get_attributes
00000001b72058fc (__TEXT,__text) external _clock_get_time
00000001b7213448 (__TEXT,__text) external _clock_set_attributes
00000001b7213320 (__TEXT,__text) external _clock_set_time
00000001b720b78c (__TEXT,__text) external _clock_sleep
00000001b71fc5c4 (__TEXT,__text) external _clock_sleep_trap
00000001b720b4c8 (__TEXT,__text) external _clonefile
00000001b720304c (__TEXT,__text) external _clonefileat
00000001b71fd7bc (__TEXT,__text) external _close
00000001b71ff004 (__TEXT,__text) external _close$NOCANCEL
00000001b7208d18 (__TEXT,__text) external _coalition_create
00000001b72039c8 (__TEXT,__text) external _coalition_info_resource_usage
