
/Volumes/macOS Mojave/System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/libGL.dylib (for architecture x86_64):
000000000000beee (__TEXT,__text) external _CGLGetCurrentContext
00000000000011e6 (__TEXT,__text) external _glColor3ub
000000000000120e (__TEXT,__text) external _glColor3ubv
000000000000122e (__TEXT,__text) external _glColor3ui
0000000000001256 (__TEXT,__text) external _glColor3uiv
0000000000001276 (__TEXT,__text) external _glColor3us
000000000000129e (__TEXT,__text) external _glColor3usv
00000000000012be (__TEXT,__text) external _glColor4b
00000000000012e1 (__TEXT,__text) external _glColor4bv
0000000000001301 (__TEXT,__text) external _glColor4d
000000000000131b (__TEXT,__text) external _glColor4dv
000000000000133b (__TEXT,__text) external _glColor4f
0000000000001355 (__TEXT,__text) external _glColor4fv
0000000000001375 (__TEXT,__text) external _glColor4i
0000000000001398 (__TEXT,__text) external _glColor4iv
00000000000013b8 (__TEXT,__text) external _glColor4s
00000000000013db (__TEXT,__text) external _glColor4sv
00000000000013fb (__TEXT,__text) external _glColor4ub
000000000000141e (__TEXT,__text) external _glColor4ubv
000000000000143e (__TEXT,__text) external _glColor4ui
0000000000001461 (__TEXT,__text) external _glColor4uiv
0000000000001481 (__TEXT,__text) external _glColor4us
00000000000014a4 (__TEXT,__text) external _glColor4usv
00000000000014c4 (__TEXT,__text) external _glColorMask
000000000000b5e2 (__TEXT,__text) external _glColorMaskIndexedEXT
0000000000006246 (__TEXT,__text) external _glColorMaski
00000000000014e7 (__TEXT,__text) external _glColorMaterial
000000000000150b (__TEXT,__text) external _glColorPointer
0000000000003d2d (__TEXT,__text) external _glColorSubTable
000000000000a64c (__TEXT,__text) external _glColorSubTableEXT
0000000000003c11 (__TEXT,__text) external _glColorTable
000000000000a619 (__TEXT,__text) external _glColorTableEXT
0000000000003c44 (__TEXT,__text) external _glColorTableParameterfv
0000000000003c6c (__TEXT,__text) external _glColorTableParameteriv
000000000000be83 (__TEXT,__text) external _glCombinerInputNV
000000000000be89 (__TEXT,__text) external _glCombinerOutputNV
000000000000be71 (__TEXT,__text) external _glCombinerParameterfNV
000000000000be6b (__TEXT,__text) external _glCombinerParameterfvNV
000000000000be7d (__TEXT,__text) external _glCombinerParameteriNV
000000000000be77 (__TEXT,__text) external _glCombinerParameterivNV
000000000000beb9 (__TEXT,__text) external _glCombinerStageParameterfvNV
0000000000005734 (__TEXT,__text) external _glCompileShader
0000000000009d5b (__TEXT,__text) external _glCompileShaderARB
000000000000a471 (__TEXT,__text) external _glCompileShaderIncludeARB
00000000000046c7 (__TEXT,__text) external _glCompressedTexImage1D
0000000000009685 (__TEXT,__text) external _glCompressedTexImage1DARB
0000000000004688 (__TEXT,__text) external _glCompressedTexImage2D
0000000000009646 (__TEXT,__text) external _glCompressedTexImage2DARB
0000000000004644 (__TEXT,__text) external _glCompressedTexImage3D
0000000000009602 (__TEXT,__text) external _glCompressedTexImage3DARB
0000000000004793 (__TEXT,__text) external _glCompressedTexSubImage1D
0000000000009751 (__TEXT,__text) external _glCompressedTexSubImage1DARB
000000000000474f (__TEXT,__text) external _glCompressedTexSubImage2D
000000000000970d (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000000000046f7 (__TEXT,__text) external _glCompressedTexSubImage3D
00000000000096b5 (__TEXT,__text) external _glCompressedTexSubImage3DARB
0000000000003d86 (__TEXT,__text) external _glConvolutionFilter1D
0000000000003db9 (__TEXT,__text) external _glConvolutionFilter2D
0000000000003de9 (__TEXT,__text) external _glConvolutionParameterf
0000000000003e0d (__TEXT,__text) external _glConvolutionParameterfv
0000000000003e35 (__TEXT,__text) external _glConvolutionParameteri
0000000000003e5d (__TEXT,__text) external _glConvolutionParameteriv
0000000000006abb (__TEXT,__text) external _glCopyBufferSubData
0000000000003d60 (__TEXT,__text) external _glCopyColorSubTable
0000000000003c94 (__TEXT,__text) external _glCopyColorTable
0000000000003e85 (__TEXT,__text) external _glCopyConvolutionFilter1D
0000000000003eab (__TEXT,__text) external _glCopyConvolutionFilter2D
000000000000152e (__TEXT,__text) external _glCopyPixels
0000000000001554 (__TEXT,__text) external _glCopyTexImage1D
000000000000158c (__TEXT,__text) external _glCopyTexImage2D
00000000000015d1 (__TEXT,__text) external _glCopyTexSubImage1D
0000000000001604 (__TEXT,__text) external _glCopyTexSubImage2D
0000000000003bc5 (__TEXT,__text) external _glCopyTexSubImage3D
0000000000005753 (__TEXT,__text) external _glCreateProgram
0000000000009d7b (__TEXT,__text) external _glCreateProgramObjectARB
00000000000056ee (__TEXT,__text) external _glCreateShader
0000000000009d18 (__TEXT,__text) external _glCreateShaderObjectARB
0000000000007b6a (__TEXT,__text) external _glCreateShaderProgramv
0000000000001649 (__TEXT,__text) external _glCullFace
0000000000004f29 (__TEXT,__text) external _glDeleteBuffers
0000000000009b4d (__TEXT,__text) external _glDeleteBuffersARB
000000000000b916 (__TEXT,__text) external _glDeleteFencesAPPLE
0000000000005f85 (__TEXT,__text) external _glDeleteFramebuffers
000000000000abea (__TEXT,__text) external _glDeleteFramebuffersEXT
0000000000001667 (__TEXT,__text) external _glDeleteLists
000000000000a44d (__TEXT,__text) external _glDeleteNamedStringARB
0000000000009cb4 (__TEXT,__text) external _glDeleteObjectARB
00000000000057cd (__TEXT,__text) external _glDeleteProgram
0000000000007bb0 (__TEXT,__text) external _glDeleteProgramPipelines
00000000000086aa (__TEXT,__text) external _glDeleteProgramsARB
0000000000004e09 (__TEXT,__text) external _glDeleteQueries
0000000000009a2d (__TEXT,__text) external _glDeleteQueriesARB
0000000000005eb0 (__TEXT,__text) external _glDeleteRenderbuffers
000000000000ab15 (__TEXT,__text) external _glDeleteRenderbuffersEXT
0000000000006fee (__TEXT,__text) external _glDeleteSamplers
00000000000056aa (__TEXT,__text) external _glDeleteShader
0000000000006d9e (__TEXT,__text) external _glDeleteSync
000000000000168b (__TEXT,__text) external _glDeleteTextures
0000000000007812 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000000000061e0 (__TEXT,__text) external _glDeleteVertexArrays
000000000000ba84 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
000000000000a5ff (__TEXT,__text) external _glDepthBoundsEXT
00000000000016af (__TEXT,__text) external _glDepthFunc
00000000000016cd (__TEXT,__text) external _glDepthMask
00000000000016eb (__TEXT,__text) external _glDepthRange
00000000000085f0 (__TEXT,__text) external _glDepthRangeArrayv
0000000000008618 (__TEXT,__text) external _glDepthRangeIndexed
0000000000007a77 (__TEXT,__text) external _glDepthRangef
0000000000009cf2 (__TEXT,__text) external _glDetachObjectARB
00000000000056c9 (__TEXT,__text) external _glDetachShader
0000000000001705 (__TEXT,__text) external _glDisable
0000000000001723 (__TEXT,__text) external _glDisableClientState
000000000000b62c (__TEXT,__text) external _glDisableIndexedEXT
000000000000b7ae (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000000000055ec (__TEXT,__text) external _glDisableVertexAttribArray
0000000000008c48 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000000000062e0 (__TEXT,__text) external _glDisablei
0000000000001741 (__TEXT,__text) external _glDrawArrays
0000000000007390 (__TEXT,__text) external _glDrawArraysIndirect
0000000000006be8 (__TEXT,__text) external _glDrawArraysInstanced
000000000000a329 (__TEXT,__text) external _glDrawArraysInstancedARB
0000000000001769 (__TEXT,__text) external _glDrawBuffer
0000000000005090 (__TEXT,__text) external _glDrawBuffers
000000000000a2bd (__TEXT,__text) external _glDrawBuffersARB
000000000000bb0e (__TEXT,__text) external _glDrawElementArrayAPPLE
0000000000001787 (__TEXT,__text) external _glDrawElements
0000000000006c77 (__TEXT,__text) external _glDrawElementsBaseVertex
00000000000073b4 (__TEXT,__text) external _glDrawElementsIndirect
0000000000006c0b (__TEXT,__text) external _glDrawElementsInstanced
000000000000a34c (__TEXT,__text) external _glDrawElementsInstancedARB
0000000000006cd5 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000000000017aa (__TEXT,__text) external _glDrawPixels
000000000000bb36 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
0000000000003ae7 (__TEXT,__text) external _glDrawRangeElements
0000000000006c9d (__TEXT,__text) external _glDrawRangeElementsBaseVertex
000000000000a9d5 (__TEXT,__text) external _glDrawRangeElementsEXT
00000000000078a6 (__TEXT,__text) external _glDrawTransformFeedback
00000000000078ca (__TEXT,__text) external _glDrawTransformFeedbackStream
00000000000017d0 (__TEXT,__text) external _glEdgeFlag
00000000000017ee (__TEXT,__text) external _glEdgeFlagPointer
0000000000001812 (__TEXT,__text) external _glEdgeFlagv
000000000000baea (__TEXT,__text) external _glElementPointerAPPLE
0000000000001832 (__TEXT,__text) external _glEnable
0000000000001850 (__TEXT,__text) external _glEnableClientState
000000000000b608 (__TEXT,__text) external _glEnableIndexedEXT
000000000000b78a (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000000000055ce (__TEXT,__text) external _glEnableVertexAttribArray
0000000000008c2a (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000000000062bc (__TEXT,__text) external _glEnablei
000000000000186e (__TEXT,__text) external _glEnd
0000000000006447 (__TEXT,__text) external _glEndConditionalRender
000000000000bdf5 (__TEXT,__text) external _glEndConditionalRenderNV
0000000000001885 (__TEXT,__text) external _glEndList
0000000000004e6f (__TEXT,__text) external _glEndQuery
0000000000009a93 (__TEXT,__text) external _glEndQueryARB
000000000000791a (__TEXT,__text) external _glEndQueryIndexed
0000000000006346 (__TEXT,__text) external _glEndTransformFeedback
000000000000aed8 (__TEXT,__text) external _glEndTransformFeedbackEXT
000000000000189c (__TEXT,__text) external _glEvalCoord1d
00000000000018b6 (__TEXT,__text) external _glEvalCoord1dv
00000000000018d6 (__TEXT,__text) external _glEvalCoord1f
00000000000018f0 (__TEXT,__text) external _glEvalCoord1fv
0000000000001910 (__TEXT,__text) external _glEvalCoord2d
000000000000192a (__TEXT,__text) external _glEvalCoord2dv
000000000000194a (__TEXT,__text) external _glEvalCoord2f
0000000000001964 (__TEXT,__text) external _glEvalCoord2fv
0000000000001984 (__TEXT,__text) external _glEvalMesh1
00000000000019ac (__TEXT,__text) external _glEvalMesh2
00000000000019d2 (__TEXT,__text) external _glEvalPoint1
00000000000019f0 (__TEXT,__text) external _glEvalPoint2
0000000000001a14 (__TEXT,__text) external _glFeedbackBuffer
0000000000006d5a (__TEXT,__text) external _glFenceSync
000000000000be8f (__TEXT,__text) external _glFinalCombinerInputNV
0000000000001a3c (__TEXT,__text) external _glFinish
000000000000b994 (__TEXT,__text) external _glFinishFenceAPPLE
000000000000b9d6 (__TEXT,__text) external _glFinishObjectAPPLE
000000000000bbcb (__TEXT,__text) external _glFinishRenderAPPLE
0000000000001a53 (__TEXT,__text) external _glFlush
0000000000006198 (__TEXT,__text) external _glFlushMappedBufferRange
000000000000bc21 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
000000000000bbb4 (__TEXT,__text) external _glFlushRenderAPPLE
000000000000ba1e (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
000000000000487d (__TEXT,__text) external _glFogCoordPointer
000000000000a9ad (__TEXT,__text) external _glFogCoordPointerEXT
0000000000004843 (__TEXT,__text) external _glFogCoordd
000000000000a973 (__TEXT,__text) external _glFogCoorddEXT
000000000000485d (__TEXT,__text) external _glFogCoorddv
000000000000a98d (__TEXT,__text) external _glFogCoorddvEXT
0000000000004809 (__TEXT,__text) external _glFogCoordf
000000000000a939 (__TEXT,__text) external _glFogCoordfEXT
0000000000004823 (__TEXT,__text) external _glFogCoordfv
000000000000a953 (__TEXT,__text) external _glFogCoordfvEXT
0000000000001a6a (__TEXT,__text) external _glFogf
0000000000001a88 (__TEXT,__text) external _glFogfv
0000000000001aac (__TEXT,__text) external _glFogi
0000000000001ad0 (__TEXT,__text) external _glFogiv
000000000000606a (__TEXT,__text) external _glFramebufferRenderbuffer
000000000000accf (__TEXT,__text) external _glFramebufferRenderbufferEXT
0000000000006f60 (__TEXT,__text) external _glFramebufferTexture
0000000000005feb (__TEXT,__text) external _glFramebufferTexture1D
000000000000ac50 (__TEXT,__text) external _glFramebufferTexture1DEXT
0000000000006011 (__TEXT,__text) external _glFramebufferTexture2D
000000000000ac76 (__TEXT,__text) external _glFramebufferTexture2DEXT
0000000000006037 (__TEXT,__text) external _glFramebufferTexture3D
000000000000ac9c (__TEXT,__text) external _glFramebufferTexture3DEXT
000000000000adda (__TEXT,__text) external _glFramebufferTextureEXT
000000000000ae23 (__TEXT,__text) external _glFramebufferTextureFaceEXT
000000000000614d (__TEXT,__text) external _glFramebufferTextureLayer
000000000000adfd (__TEXT,__text) external _glFramebufferTextureLayerEXT
0000000000001af4 (__TEXT,__text) external _glFrontFace
0000000000001b12 (__TEXT,__text) external _glFrustum
0000000000004f4d (__TEXT,__text) external _glGenBuffers
0000000000009b71 (__TEXT,__text) external _glGenBuffersARB
000000000000b8f2 (__TEXT,__text) external _glGenFencesAPPLE
0000000000005fa9 (__TEXT,__text) external _glGenFramebuffers
000000000000ac0e (__TEXT,__text) external _glGenFramebuffersEXT
0000000000001b2c (__TEXT,__text) external _glGenLists
0000000000007bd4 (__TEXT,__text) external _glGenProgramPipelines
00000000000086ce (__TEXT,__text) external _glGenProgramsARB
0000000000004de5 (__TEXT,__text) external _glGenQueries
0000000000009a09 (__TEXT,__text) external _glGenQueriesARB
0000000000005ed4 (__TEXT,__text) external _glGenRenderbuffers
000000000000ab39 (__TEXT,__text) external _glGenRenderbuffersEXT
0000000000006fca (__TEXT,__text) external _glGenSamplers
0000000000001b4a (__TEXT,__text) external _glGenTextures
0000000000007836 (__TEXT,__text) external _glGenTransformFeedbacks
0000000000006204 (__TEXT,__text) external _glGenVertexArrays
000000000000baa8 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000000000060b0 (__TEXT,__text) external _glGenerateMipmap
000000000000ad15 (__TEXT,__text) external _glGenerateMipmapEXT
0000000000005cb5 (__TEXT,__text) external _glGetActiveAttrib
000000000000a266 (__TEXT,__text) external _glGetActiveAttribARB
0000000000007700 (__TEXT,__text) external _glGetActiveSubroutineName
00000000000076cd (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000000000076a7 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
0000000000005bdb (__TEXT,__text) external _glGetActiveUniform
000000000000a192 (__TEXT,__text) external _glGetActiveUniformARB
0000000000006b9a (__TEXT,__text) external _glGetActiveUniformBlockName
0000000000006b77 (__TEXT,__text) external _glGetActiveUniformBlockiv
0000000000006b2d (__TEXT,__text) external _glGetActiveUniformName
0000000000006b06 (__TEXT,__text) external _glGetActiveUniformsiv
000000000000a147 (__TEXT,__text) external _glGetAttachedObjectsARB
0000000000005b4d (__TEXT,__text) external _glGetAttachedShaders
0000000000005cec (__TEXT,__text) external _glGetAttribLocation
000000000000a297 (__TEXT,__text) external _glGetAttribLocationARB
000000000000af6b (__TEXT,__text) external _glGetBooleanIndexedvEXT
000000000000626c (__TEXT,__text) external _glGetBooleani_v
0000000000001b6e (__TEXT,__text) external _glGetBooleanv
0000000000006f38 (__TEXT,__text) external _glGetBufferParameteri64v
0000000000005040 (__TEXT,__text) external _glGetBufferParameteriv
0000000000009c64 (__TEXT,__text) external _glGetBufferParameterivARB
0000000000005068 (__TEXT,__text) external _glGetBufferPointerv
0000000000009c8c (__TEXT,__text) external _glGetBufferPointervARB
0000000000004fd9 (__TEXT,__text) external _glGetBufferSubData
0000000000009bfd (__TEXT,__text) external _glGetBufferSubDataARB
0000000000001b92 (__TEXT,__text) external _glGetClipPlane
0000000000003cba (__TEXT,__text) external _glGetColorTable
000000000000a67f (__TEXT,__text) external _glGetColorTableEXT
0000000000003cdd (__TEXT,__text) external _glGetColorTableParameterfv
000000000000a6a2 (__TEXT,__text) external _glGetColorTableParameterfvEXT
0000000000003d05 (__TEXT,__text) external _glGetColorTableParameteriv
000000000000a6ca (__TEXT,__text) external _glGetColorTableParameterivEXT
000000000000be95 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
000000000000be9b (__TEXT,__text) external _glGetCombinerInputParameterivNV
000000000000bea1 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
000000000000bea7 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
000000000000bebf (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000000000047c3 (__TEXT,__text) external _glGetCompressedTexImage
0000000000009781 (__TEXT,__text) external _glGetCompressedTexImageARB
0000000000003ede (__TEXT,__text) external _glGetConvolutionFilter
0000000000003f01 (__TEXT,__text) external _glGetConvolutionParameterfv
0000000000003f29 (__TEXT,__text) external _glGetConvolutionParameteriv
000000000000865e (__TEXT,__text) external _glGetDoublei_v
0000000000001bb6 (__TEXT,__text) external _glGetDoublev
0000000000001bda (__TEXT,__text) external _glGetError
000000000000bead (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
000000000000beb3 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
0000000000008636 (__TEXT,__text) external _glGetFloati_v
0000000000001bf1 (__TEXT,__text) external _glGetFloatv
0000000000006fa6 (__TEXT,__text) external _glGetFragDataIndex
00000000000067fe (__TEXT,__text) external _glGetFragDataLocation
000000000000b4d8 (__TEXT,__text) external _glGetFragDataLocationEXT
000000000000608d (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
000000000000acf2 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
0000000000009cd4 (__TEXT,__text) external _glGetHandleARB
0000000000003fbb (__TEXT,__text) external _glGetHistogram
0000000000003fe1 (__TEXT,__text) external _glGetHistogramParameterfv
0000000000004009 (__TEXT,__text) external _glGetHistogramParameteriv
000000000000a122 (__TEXT,__text) external _glGetInfoLogARB
0000000000006f10 (__TEXT,__text) external _glGetInteger64i_v
0000000000006e12 (__TEXT,__text) external _glGetInteger64v
000000000000af43 (__TEXT,__text) external _glGetIntegerIndexedvEXT
0000000000006294 (__TEXT,__text) external _glGetIntegeri_v
0000000000001c15 (__TEXT,__text) external _glGetIntegerv
000000000000a504 (__TEXT,__text) external _glGetInternalformativ
0000000000001c39 (__TEXT,__text) external _glGetLightfv
0000000000001c61 (__TEXT,__text) external _glGetLightiv
0000000000001c89 (__TEXT,__text) external _glGetMapdv
0000000000001cb1 (__TEXT,__text) external _glGetMapfv
0000000000001cd9 (__TEXT,__text) external _glGetMapiv
0000000000001d01 (__TEXT,__text) external _glGetMaterialfv
0000000000001d29 (__TEXT,__text) external _glGetMaterialiv
0000000000004031 (__TEXT,__text) external _glGetMinmax
0000000000004057 (__TEXT,__text) external _glGetMinmaxParameterfv
000000000000407f (__TEXT,__text) external _glGetMinmaxParameteriv
0000000000006ec4 (__TEXT,__text) external _glGetMultisamplefv
000000000000a4b9 (__TEXT,__text) external _glGetNamedStringARB
000000000000a4e0 (__TEXT,__text) external _glGetNamedStringivARB
000000000000b705 (__TEXT,__text) external _glGetObjectLabelEXT
000000000000a0ce (__TEXT,__text) external _glGetObjectParameterfvARB
000000000000bc9b (__TEXT,__text) external _glGetObjectParameterivAPPLE
000000000000a0f8 (__TEXT,__text) external _glGetObjectParameterivARB
0000000000001d51 (__TEXT,__text) external _glGetPixelMapfv
0000000000001d75 (__TEXT,__text) external _glGetPixelMapuiv
0000000000001d99 (__TEXT,__text) external _glGetPixelMapusv
0000000000001dbd (__TEXT,__text) external _glGetPointerv
0000000000001de1 (__TEXT,__text) external _glGetPolygonStipple
0000000000007aab (__TEXT,__text) external _glGetProgramBinary
0000000000008e78 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
0000000000008ea0 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
0000000000005b95 (__TEXT,__text) external _glGetProgramInfoLog
0000000000008ec8 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
0000000000008ef0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
0000000000007c5c (__TEXT,__text) external _glGetProgramPipelineInfoLog
0000000000007c16 (__TEXT,__text) external _glGetProgramPipelineiv
0000000000007783 (__TEXT,__text) external _glGetProgramStageiv
0000000000008f3b (__TEXT,__text) external _glGetProgramStringARB
0000000000005b25 (__TEXT,__text) external _glGetProgramiv
0000000000008f63 (__TEXT,__text) external _glGetProgramivARB
000000000000793e (__TEXT,__text) external _glGetQueryIndexediv
0000000000007204 (__TEXT,__text) external _glGetQueryObjecti64v
000000000000b692 (__TEXT,__text) external _glGetQueryObjecti64vEXT
0000000000004eb5 (__TEXT,__text) external _glGetQueryObjectiv
0000000000009ad9 (__TEXT,__text) external _glGetQueryObjectivARB
000000000000722c (__TEXT,__text) external _glGetQueryObjectui64v
000000000000b6ba (__TEXT,__text) external _glGetQueryObjectui64vEXT
0000000000004edd (__TEXT,__text) external _glGetQueryObjectuiv
0000000000009b01 (__TEXT,__text) external _glGetQueryObjectuivARB
0000000000004e8d (__TEXT,__text) external _glGetQueryiv
0000000000009ab1 (__TEXT,__text) external _glGetQueryivARB
0000000000005f1b (__TEXT,__text) external _glGetRenderbufferParameteriv
000000000000ab80 (__TEXT,__text) external _glGetRenderbufferParameterivEXT
0000000000007190 (__TEXT,__text) external _glGetSamplerParameterIiv
00000000000071b8 (__TEXT,__text) external _glGetSamplerParameterIuiv
0000000000007168 (__TEXT,__text) external _glGetSamplerParameterfv
0000000000007140 (__TEXT,__text) external _glGetSamplerParameteriv
0000000000003f51 (__TEXT,__text) external _glGetSeparableFilter
0000000000005b71 (__TEXT,__text) external _glGetShaderInfoLog
0000000000007a53 (__TEXT,__text) external _glGetShaderPrecisionFormat
0000000000005c64 (__TEXT,__text) external _glGetShaderSource
000000000000a217 (__TEXT,__text) external _glGetShaderSourceARB
0000000000005afd (__TEXT,__text) external _glGetShaderiv
