00007ff8106e37c1 (__TEXT,__const) non-external _KW_ANY
00007ff8106cc62f (__TEXT,__text) external _XML_GetBuffer
00007ff8106ccc10 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff8106ccbe7 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff8106cccce (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff8106ccc75 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff8106ccbd0 (__TEXT,__text) external _XML_GetErrorCode
00007ff8106ccedc (__TEXT,__text) external _XML_GetFeatureList
00007ff8415861a0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff8106cc20e (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff8106ccc39 (__TEXT,__text) external _XML_GetInputContext
00007ff8106ccbaf (__TEXT,__text) external _XML_GetParsingStatus
00007ff8106e30c4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff8106cc1f7 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff8106ccd69 (__TEXT,__text) external _XML_MemFree
00007ff8106ccd39 (__TEXT,__text) external _XML_MemMalloc
00007ff8106ccd50 (__TEXT,__text) external _XML_MemRealloc
00007ff8106cc4ab (__TEXT,__text) external _XML_Parse
00007ff8106e30a1 (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff8106cc845 (__TEXT,__text) external _XML_ParseBuffer
00007ff8106caa20 (__TEXT,__text) external _XML_ParserCreate
00007ff8106caa3c (__TEXT,__text) external _XML_ParserCreateNS
00007ff8106caa30 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff8106cbcf3 (__TEXT,__text) external _XML_ParserFree
00007ff8106cad49 (__TEXT,__text) external _XML_ParserReset
00007ff8106ccae0 (__TEXT,__text) external _XML_ResumeParser
00007ff8106cc419 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff8106cc13a (__TEXT,__text) external _XML_SetBase
00007ff8106ccf27 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff8106ccee9 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff8106cc292 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff8106cc25c (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff8106cc280 (__TEXT,__text) external _XML_SetCommentHandler
00007ff8106cc2cf (__TEXT,__text) external _XML_SetDefaultHandler
00007ff8106cc2e8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff8106cc301 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff8106cc407 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff8106cc225 (__TEXT,__text) external _XML_SetElementHandler
00007ff8106cb33b (__TEXT,__text) external _XML_SetEncoding
00007ff8106cc2bd (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff8106cc32c (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff8106cc24a (__TEXT,__text) external _XML_SetEndElementHandler
00007ff8106cc38d (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff8106cc42b (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff8106cc3b1 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff8106cc3c3 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff8106cc475 (__TEXT,__text) external _XML_SetHashSalt
00007ff8106cc362 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff8106cc39f (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff8106cc350 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff8106cc44f (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff8106cc26e (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff8106ccf50 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff8106cc0fd (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff8106cc3dc (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff8106cc2ab (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff8106cc31a (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff8106cc23b (__TEXT,__text) external _XML_SetStartElementHandler
00007ff8106cc37b (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff8106cc3ee (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff8106cc33e (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff8106cc11f (__TEXT,__text) external _XML_SetUserData
00007ff8106cc43d (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff8106cca71 (__TEXT,__text) external _XML_StopParser
00007ff8106cc0d0 (__TEXT,__text) external _XML_UseForeignDTD
00007ff8106cc0c1 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff8106d69fd (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff8106d6f49 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff8106d69f0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff8106d6f3c (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff8106d6a0a (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff8106d6f56 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff8106d648f (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff8106d714d (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff8106d6b05 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff8106d6ff0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff8106d4b40 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff8106d4c20 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff8106d6484 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff8106d6438 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff8106d636d (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff8106d62d8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff8106cf240 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff8106e310a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff8106d0e3d (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff8106e312d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff8106d0eba (__TEXT,__text) non-external _accountingReportStats
00007ff8106d3788 (__TEXT,__text) non-external _addBinding
00007ff8106e4c30 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff8106e4c60 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff8106d3c36 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff841587168 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff841587ab8 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff8106def0e (__TEXT,__text) non-external _ascii_toUtf8
00007ff8106d512a (__TEXT,__text) non-external _attlist0
00007ff8106d581a (__TEXT,__text) non-external _attlist1
00007ff8106d588a (__TEXT,__text) non-external _attlist2
00007ff8106d5aba (__TEXT,__text) non-external _attlist3
00007ff8106d5be5 (__TEXT,__text) non-external _attlist4
00007ff8106d5a75 (__TEXT,__text) non-external _attlist5
00007ff8106d5b4d (__TEXT,__text) non-external _attlist6
00007ff8106d5b92 (__TEXT,__text) non-external _attlist7
00007ff8106d5982 (__TEXT,__text) non-external _attlist8
00007ff8106d5b08 (__TEXT,__text) non-external _attlist9
00007ff8106e0818 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff8106e03f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff8106e0f64 (__TEXT,__text) non-external _big2_charRefNumber
00007ff8106e223c (__TEXT,__text) non-external _big2_checkPiTarget
00007ff8106df790 (__TEXT,__text) non-external _big2_contentTok
00007ff841586dc8 (__DATA_CONST,__const) non-external _big2_encoding
00007ff841587718 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff8106e0950 (__TEXT,__text) non-external _big2_entityValueTok
00007ff8106e0b91 (__TEXT,__text) non-external _big2_getAtts
00007ff8106e0674 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff8106e1204 (__TEXT,__text) non-external _big2_isPublicId
00007ff8106e0ac9 (__TEXT,__text) non-external _big2_nameLength
00007ff8106e0a84 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff8106e1022 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff8106def43 (__TEXT,__text) non-external _big2_prologTok
00007ff8106e2630 (__TEXT,__text) non-external _big2_scanAtts
00007ff8106e3f13 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff8106e20d4 (__TEXT,__text) non-external _big2_scanComment
00007ff8106e1604 (__TEXT,__text) non-external _big2_scanDecl
00007ff8106e14c4 (__TEXT,__text) non-external _big2_scanLit
00007ff8106e1be4 (__TEXT,__text) non-external _big2_scanPercent
00007ff8106e1748 (__TEXT,__text) non-external _big2_scanPi
00007ff8106e1e60 (__TEXT,__text) non-external _big2_scanPoundName
00007ff8106e22b6 (__TEXT,__text) non-external _big2_scanRef
00007ff8106e0b59 (__TEXT,__text) non-external _big2_skipS
00007ff8106e1454 (__TEXT,__text) non-external _big2_toUtf16
00007ff8106e128f (__TEXT,__text) non-external _big2_toUtf8
00007ff8106e1126 (__TEXT,__text) non-external _big2_updatePosition
00007ff8106cc99f (__TEXT,__text) non-external _callProcessor
00007ff8106d35a8 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff8106d6758 (__TEXT,__text) non-external _checkCharRefNumber
00007ff8106d5594 (__TEXT,__text) non-external _condSect0
00007ff8106d5637 (__TEXT,__text) non-external _condSect1
00007ff8106d5677 (__TEXT,__text) non-external _condSect2
00007ff8106cfb73 (__TEXT,__text) non-external _contentProcessor
00007ff8106d4920 (__TEXT,__text) non-external _copyEntityTable
00007ff8106cb3a7 (__TEXT,__text) non-external _copyString
00007ff8106d5498 (__TEXT,__text) non-external _declClose
00007ff8106cff11 (__TEXT,__text) non-external _defineAttribute
00007ff8106d32e4 (__TEXT,__text) non-external _doCdataSection
00007ff8106d11c4 (__TEXT,__text) non-external _doContent
00007ff8106d06ec (__TEXT,__text) non-external _doIgnoreSection
00007ff8106d6b46 (__TEXT,__text) non-external _doParseXmlDecl
00007ff8106cd25c (__TEXT,__text) non-external _doProlog
00007ff8106e31f3 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff8106e3210 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff8106e3209 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff8106e31f9 (__TEXT,__const) non-external _doProlog.atypeID
00007ff8106e31fc (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff8106e3202 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff8106e3219 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff8106e3221 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff8106e30e7 (__TEXT,__text) non-external _doProlog.cold.1
00007ff8106e4b16 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff8106e4b18 (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff8106e4b0c (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff8106d4d18 (__TEXT,__text) non-external _doctype0
00007ff8106d4d6a (__TEXT,__text) non-external _doctype1
00007ff8106d508d (__TEXT,__text) non-external _doctype2
00007ff8106d5048 (__TEXT,__text) non-external _doctype3
00007ff8106d6280 (__TEXT,__text) non-external _doctype4
00007ff8106d51fe (__TEXT,__text) non-external _doctype5
00007ff8106d5174 (__TEXT,__text) non-external _element0
00007ff8106d5c38 (__TEXT,__text) non-external _element1
00007ff8106d5d06 (__TEXT,__text) non-external _element2
00007ff8106d5e08 (__TEXT,__text) non-external _element3
00007ff8106d602c (__TEXT,__text) non-external _element4
00007ff8106d6076 (__TEXT,__text) non-external _element5
00007ff8106d5e87 (__TEXT,__text) non-external _element6
00007ff8106d5f58 (__TEXT,__text) non-external _element7
00007ff841586bc0 (__DATA_CONST,__const) non-external _encodings
00007ff841587340 (__DATA_CONST,__const) non-external _encodingsNS
00007ff8106d50d2 (__TEXT,__text) non-external _entity0
00007ff8106d5243 (__TEXT,__text) non-external _entity1
00007ff8106d54e5 (__TEXT,__text) non-external _entity10
00007ff8106d5288 (__TEXT,__text) non-external _entity2
00007ff8106d56fe (__TEXT,__text) non-external _entity3
00007ff8106d56b9 (__TEXT,__text) non-external _entity4
00007ff8106d5743 (__TEXT,__text) non-external _entity5
00007ff8106d57cd (__TEXT,__text) non-external _entity6
00007ff8106d534b (__TEXT,__text) non-external _entity7
00007ff8106d5453 (__TEXT,__text) non-external _entity8
00007ff8106d540e (__TEXT,__text) non-external _entity9
00007ff8106d0bd1 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff8106d42f6 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff8106e3150 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff8106d45bb (__TEXT,__text) non-external _entityValueInitProcessor
00007ff8106d4842 (__TEXT,__text) non-external _entityValueProcessor
00007ff8106d3110 (__TEXT,__text) non-external _epilogProcessor
00007ff8106d4d62 (__TEXT,__text) non-external _error
00007ff8106cca65 (__TEXT,__text) non-external _errorProcessor
00007ff8106d3bd4 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff8106cbf99 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff8106d43ec (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff8106d44dc (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff8106cbfea (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff8106d4742 (__TEXT,__text) non-external _externalParEntProcessor
00007ff8106d4c38 (__TEXT,__text) non-external _externalSubset0
00007ff8106d5539 (__TEXT,__text) non-external _externalSubset1
00007ff8106d6e20 (__TEXT,__text) non-external _findEncoding
00007ff8106d7031 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff8106d30b8 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff8106e31f0 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff8106cfc53 (__TEXT,__text) non-external _getAttributeId
00007ff8106d20e8 (__TEXT,__text) non-external _getContext
00007ff8106cd003 (__TEXT,__text) non-external _getDebugLevel
00007ff8106cfbc8 (__TEXT,__text) non-external _getElementType
00007ff8106d6a63 (__TEXT,__text) non-external _getEncodingIndex
00007ff841586b90 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff8106cd140 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff8106d0f1e (__TEXT,__text) non-external _hash
00007ff8106d48e7 (__TEXT,__text) non-external _hashTableDestroy
00007ff8106d086c (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff8106e3230 (__TEXT,__const) non-external _implicitContext
00007ff8106ded3e (__TEXT,__text) non-external _initScan
00007ff8106d6ad2 (__TEXT,__text) non-external _initScanContent
00007ff8106d6fce (__TEXT,__text) non-external _initScanContentNS
00007ff8106d6ab3 (__TEXT,__text) non-external _initScanProlog
00007ff8106d6faf (__TEXT,__text) non-external _initScanPrologNS
00007ff8106d6af4 (__TEXT,__text) non-external _initUpdatePosition
00007ff8106cd074 (__TEXT,__text) non-external _initializeEncoding
00007ff8106d40ac (__TEXT,__text) non-external _internalEntityProcessor
00007ff8106d4e43 (__TEXT,__text) non-external _internalSubset
00007ff841586620 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8415869c0 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff841586450 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8415867f0 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff8106dae05 (__TEXT,__text) non-external _isNever
00007ff841586280 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff841587378 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff8106d966c (__TEXT,__text) non-external _latin1_toUtf16
00007ff8106d95ea (__TEXT,__text) non-external _latin1_toUtf8
00007ff8106dc814 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff8106dc3fc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff8106dcf5c (__TEXT,__text) non-external _little2_charRefNumber
00007ff8106de224 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff8106db7a4 (__TEXT,__text) non-external _little2_contentTok
00007ff841586f98 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8415878e8 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff8106dc94c (__TEXT,__text) non-external _little2_entityValueTok
00007ff8106dcb8c (__TEXT,__text) non-external _little2_getAtts
00007ff8106dc674 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff8106dd1fc (__TEXT,__text) non-external _little2_isPublicId
00007ff8106dcac5 (__TEXT,__text) non-external _little2_nameLength
00007ff8106dca80 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff8106dd01a (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff8106daf65 (__TEXT,__text) non-external _little2_prologTok
00007ff8106de614 (__TEXT,__text) non-external _little2_scanAtts
00007ff8106de0bc (__TEXT,__text) non-external _little2_scanComment
00007ff8106dd5f4 (__TEXT,__text) non-external _little2_scanDecl
00007ff8106dd4ba (__TEXT,__text) non-external _little2_scanLit
00007ff8106ddbd0 (__TEXT,__text) non-external _little2_scanPercent
00007ff8106dd738 (__TEXT,__text) non-external _little2_scanPi
00007ff8106dde50 (__TEXT,__text) non-external _little2_scanPoundName
00007ff8106de29e (__TEXT,__text) non-external _little2_scanRef
00007ff8106dcb54 (__TEXT,__text) non-external _little2_skipS
00007ff8106dd44c (__TEXT,__text) non-external _little2_toUtf16
00007ff8106dd287 (__TEXT,__text) non-external _little2_toUtf8
00007ff8106dd11e (__TEXT,__text) non-external _little2_updatePosition
00007ff8106cf803 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff8106e3de0 (__TEXT,__const) non-external _namePages
00007ff8106e37e0 (__TEXT,__const) non-external _namingBitmap
00007ff8106d08e8 (__TEXT,__text) non-external _nextScaffoldPart
00007ff8106e3ce0 (__TEXT,__const) non-external _nmstrtPages
00007ff8106d8d90 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff8106d8950 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff8106d9350 (__TEXT,__text) non-external _normal_charRefNumber
00007ff8106da150 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff8106d7d10 (__TEXT,__text) non-external _normal_contentTok
00007ff8106d8ecc (__TEXT,__text) non-external _normal_entityValueTok
00007ff8106d9085 (__TEXT,__text) non-external _normal_getAtts
00007ff8106d8bf0 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff8106d9568 (__TEXT,__text) non-external _normal_isPublicId
00007ff8106d901c (__TEXT,__text) non-external _normal_nameLength
00007ff8106d8fe0 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff8106d9415 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff8106d7164 (__TEXT,__text) non-external _normal_prologTok
00007ff8106da4c2 (__TEXT,__text) non-external _normal_scanAtts
00007ff8106d9fd8 (__TEXT,__text) non-external _normal_scanComment
00007ff8106d9814 (__TEXT,__text) non-external _normal_scanDecl
00007ff8106d96af (__TEXT,__text) non-external _normal_scanLit
00007ff8106d9d50 (__TEXT,__text) non-external _normal_scanPercent
00007ff8106d9938 (__TEXT,__text) non-external _normal_scanPi
00007ff8106da1b6 (__TEXT,__text) non-external _normal_scanRef
00007ff8106d905d (__TEXT,__text) non-external _normal_skipS
00007ff8106d94a7 (__TEXT,__text) non-external _normal_updatePosition
00007ff8106d43a8 (__TEXT,__text) non-external _normalizeLines
00007ff8106cfb0d (__TEXT,__text) non-external _normalizePublicId
00007ff8106d51be (__TEXT,__text) non-external _notation0
00007ff8106d60d3 (__TEXT,__text) non-external _notation1
00007ff8106d61c9 (__TEXT,__text) non-external _notation2
00007ff8106d617c (__TEXT,__text) non-external _notation3
00007ff8106d620e (__TEXT,__text) non-external _notation4
00007ff8106e2d0c (__TEXT,__text) non-external _parsePseudoAttribute
00007ff8106caa5e (__TEXT,__text) non-external _parserCreate
00007ff8106cb16f (__TEXT,__text) non-external _parserInit
00007ff8106cfe9f (__TEXT,__text) non-external _poolAppend
00007ff8106cc185 (__TEXT,__text) non-external _poolCopyString
00007ff8106cc07d (__TEXT,__text) non-external _poolDestroy
00007ff8106d0023 (__TEXT,__text) non-external _poolGrow
00007ff8106cf7bc (__TEXT,__text) non-external _poolStoreString
00007ff8106d0a12 (__TEXT,__text) non-external _processInternalEntity
00007ff8106cf455 (__TEXT,__text) non-external _processXmlDecl
00007ff8106d4b65 (__TEXT,__text) non-external _prolog0
00007ff8106d4c58 (__TEXT,__text) non-external _prolog1
00007ff8106d4fbc (__TEXT,__text) non-external _prolog2
00007ff8106ccfb2 (__TEXT,__text) non-external _prologInitProcessor
00007ff8106cd0cf (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff8106e3754 (__TEXT,__const) non-external _reltable.attlist2
00007ff8106d0d72 (__TEXT,__text) non-external _reportComment
00007ff8106ccdca (__TEXT,__text) non-external _reportDefault
00007ff8106d0c26 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff8106cba55 (__TEXT,__text) non-external _setContext
00007ff8106d365e (__TEXT,__text) non-external _setElementTypePrefix
00007ff8106d1087 (__TEXT,__text) non-external _sip24_final
00007ff8106d0fe2 (__TEXT,__text) non-external _sip24_update
00007ff8106d1168 (__TEXT,__text) non-external _sip_round
00007ff8106cc596 (__TEXT,__text) non-external _startParsing
00007ff8106d01ef (__TEXT,__text) non-external _storeAttributeValue
00007ff8106d246e (__TEXT,__text) non-external _storeAtts
00007ff8106d0260 (__TEXT,__text) non-external _storeEntityValue
00007ff8106d200c (__TEXT,__text) non-external _storeRawNames
00007ff8106decdc (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff8106ccf6c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff8106ccf81 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff8106d6843 (__TEXT,__text) non-external _unknown_isInvalid
00007ff8106d67a5 (__TEXT,__text) non-external _unknown_isName
00007ff8106d67f4 (__TEXT,__text) non-external _unknown_isNmstrt
00007ff8106d6951 (__TEXT,__text) non-external _unknown_toUtf16
00007ff8106d6870 (__TEXT,__text) non-external _unknown_toUtf8
00007ff8106ccf96 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff841586bf8 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff841587548 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff8106dae9f (__TEXT,__text) non-external _utf8_isInvalid2
00007ff8106daebe (__TEXT,__text) non-external _utf8_isInvalid3
00007ff8106daf20 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff8106dad73 (__TEXT,__text) non-external _utf8_isName2
00007ff8106dadb6 (__TEXT,__text) non-external _utf8_isName3
00007ff8106dae0d (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff8106dae50 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff8106dac13 (__TEXT,__text) non-external _utf8_toUtf16
00007ff8106dab7c (__TEXT,__text) non-external _utf8_toUtf8
