00007ffa19628b5b (__TEXT,__text) non-external _DiToMD5
00007ffa41e69c38 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1961cc66 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41e69d30 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1961846e (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa196394fb (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1961aeae (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa19639a29 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1961adb0 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa196195a8 (__TEXT,__text) external _OSDataAppendBytes
00007ffa19619508 (__TEXT,__text) external _OSDataCreate
00007ffa1963969b (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffa196194b7 (__TEXT,__text) external _OSDataGetBytes
00007ffa1961946e (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa196194a6 (__TEXT,__text) external _OSDataGetLength
00007ffa41e69e90 (__DATA_CONST,__const) external _OSData_Class
00007ffa19619730 (__TEXT,__text) external _OSDictionaryApply
00007ffa196196c2 (__TEXT,__text) external _OSDictionaryCreate
00007ffa19619716 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa19619dab (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa19619f4e (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa19619d0e (__TEXT,__text) external _OSDictionaryGetValue
00007ffa19619f09 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa19619fed (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa196199cc (__TEXT,__text) external _OSDictionarySetValue
00007ffa41e69f88 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa41e6a080 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa19619660 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1961963f (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa41e6a178 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1961b4f8 (__TEXT,__text) external _OSObjectLog
00007ffa196183ce (__TEXT,__text) external _OSObjectRelease
00007ffa196183c3 (__TEXT,__text) external _OSObjectRetain
00007ffa41e6a270 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41e6a420 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1960ecfe (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1961afd7 (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41e6a518 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41e6a610 (__DATA_CONST,__const) external _OSSet_Class
00007ffa19618f21 (__TEXT,__text) external _OSStringCreate
00007ffa196395aa (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa196395cd (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffa196395ee (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffa19618ed6 (__TEXT,__text) external _OSStringGetLength
00007ffa19618e9e (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41e6a708 (__DATA_CONST,__const) external _OSString_Class
00007ffa1960e7e1 (__TEXT,__text) external _OSSynchronizeIO
00007ffa430ba9c0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1960f0ec (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa19628fcc (__TEXT,__text) external _SHA1Final
00007ffa19628da0 (__TEXT,__text) external _SHA1Init
00007ffa19628f5e (__TEXT,__text) non-external _SHA1ToDi
00007ffa19628ea1 (__TEXT,__text) external _SHA1Update
00007ffa19629803 (__TEXT,__text) external _SHA256_Final
00007ffa19629797 (__TEXT,__text) external _SHA256_Init
00007ffa1963a1a0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffa196297d0 (__TEXT,__text) external _SHA256_Update
00007ffa19629897 (__TEXT,__text) external _SHA384_Final
00007ffa19629828 (__TEXT,__text) external _SHA384_Init
00007ffa1963a1b9 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffa19629864 (__TEXT,__text) external _SHA384_Update
00007ffa1962992b (__TEXT,__text) external _SHA512_Final
00007ffa196298bc (__TEXT,__text) external _SHA512_Init
00007ffa1963a1d2 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffa196298f8 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1960f74a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa19629950 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffa41e6a800 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1960fabb (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa19637f0e (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa19637f31 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1961139f (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1963859f (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa196385c2 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa196385e5 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa19638608 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1963862b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa196104c6 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa19638238 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1963825b (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1963827e (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa196382a1 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa196382e3 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa1960fd7a (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa19637fbd (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1961a3fd (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1961cc04 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1960f8fa (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa19637ea5 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa19637ec8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa19637eeb (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1961a510 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1961a580 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1961a53b (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1960fb13 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1961a8ec (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa19639911 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa19639934 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa19639957 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1963997a (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1963999d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa196399c0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffa1960e2c8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1960e3c2 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1961004f (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffa19638001 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffa1961012a (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa19611aeb (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1960f86c (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1960f7d3 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1961aff5 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa19639a4c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1960fc85 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa19637f77 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa19637f9a (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffa1961843b (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa196394d8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa196183d9 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa19639492 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1960cb00 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa19637d6c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa19619422 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1961a5e9 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa19639727 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1963974a (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1963976d (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa19639790 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa196397b3 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa196193ee (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa19619623 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1961a716 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa196397d6 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa196397f9 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1963981c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa196114a0 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1963864e (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa19638671 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa19611ac3 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa19610ebc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa19636a6a (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1960e1cc (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa19618206 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa19636914 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1961c142 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1963a6b0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa19637b9c (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa19636334 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa196369b0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa19636b4e (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa19636b96 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa196191e2 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffa196191a4 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffa19639611 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffa19637214 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa19629e16 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1962e304 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa19617272 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa19639261 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa19639284 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa196392a7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa19636968 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1962e1a4 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa19612dd6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa19638ced (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa19638d10 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa19638d33 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa19638d56 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1962c5a0 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1962deee (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa19635d10 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa19636a22 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa196117a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa19638694 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa196386b7 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa196386da (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa196386fd (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa196125a0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa19638af2 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa19638b15 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa19638b38 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa19638b5b (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa19617c4f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa19639356 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa19639379 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1963939c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa196393bf (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa196393e2 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa19639405 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffa19639428 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffa430ba998 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffa19629eb2 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffa196346c8 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffa19635568 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007ffa196369f8 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
