000000018b149510 (__TEXT,__text) non-external _Annihilate
000000018b15e6cc (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018b185208 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018b150d90 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018b169b40 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018b16a984 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018b172784 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018b16b4d4 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018b16e73c (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018b16f8b0 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018b170a24 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018b16c46c (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018b171c10 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018b1735fc (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018b16d598 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018b1744a0 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018b189180 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018b152ff8 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018b150f3c (__TEXT,__text) non-external _DecodeContextMap
000000018b153a6c (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018b15352c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018b14fc40 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018b1501ec (__TEXT,__text) non-external _DecodeVarLenUint8
000000018b148d48 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018b164544 (__TEXT,__text) non-external _EncodeContextMap
000000018b1402f0 (__TEXT,__text) non-external _EncodeData
000000018b15e520 (__TEXT,__text) non-external _EvaluateNode
000000018b1a9478 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018b1e6918 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018b1435d0 (__TEXT,__text) non-external _GetBrotliStorage
000000018b143644 (__TEXT,__text) non-external _GetHashTable
000000018b189080 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018b1ff439 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018b189000 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018b15dc30 (__TEXT,__text) non-external _InitZopfliCostModel
000000018b1401b8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018b152c10 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018b159944 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018b1598f4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018b159804 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018b143554 (__TEXT,__text) non-external _PrepareH54
000000018b1434e0 (__TEXT,__text) non-external _PrepareH6
000000018b151444 (__TEXT,__text) non-external _ProcessCommands
000000018b1503b8 (__TEXT,__text) non-external _ReadHuffmanCode
000000018b152cd0 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018b153730 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018b1531bc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018b152b50 (__TEXT,__text) non-external _SafeDecodeSymbol
000000018b151e64 (__TEXT,__text) non-external _SafeProcessCommands
000000018b14fae0 (__TEXT,__text) non-external _SaveErrorCode
000000018b15f89c (__TEXT,__text) non-external _SetCost
000000018b161b80 (__TEXT,__text) non-external _Shift
000000018b1432e8 (__TEXT,__text) non-external _ShouldCompress
000000018b189190 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018b149488 (__TEXT,__text) non-external _SortPointers
000000018b189708 (__TEXT,__const) non-external _SortPointers.gaps
000000018b1de248 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018b1de048 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018b163f68 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018b165434 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018b1649ec (__TEXT,__text) non-external _StoreSymbol
000000018b164b88 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018b164330 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018b165c1c (__TEXT,__text) non-external _StoreVarLenUint8
000000018b15ddc8 (__TEXT,__text) non-external _UpdateNodes
000000018b152980 (__TEXT,__text) non-external _WrapRingBuffer
000000018b14faf4 (__TEXT,__text) non-external _WriteRingBuffer
000000018b15dcac (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d20297c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018b155f08 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018b1e5308 (__TEXT,__const) non-external (was a private external) __dist_code
000000018b1dd838 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018b1894a0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018b1e5508 (__TEXT,__const) non-external (was a private external) __length_code
000000018b182fb8 (__TEXT,__text) non-external (was a private external) __tr_align
000000018b136f18 (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018b1354b8 (__TEXT,__text) non-external (was a private external) __tr_init
000000018b182e70 (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018b18322c (__TEXT,__text) non-external (was a private external) __tr_tally
000000018b135374 (__TEXT,__text) non-external (was a private external) _adler32
000000018b154dc4 (__TEXT,__text) non-external (was a private external) _adler32_combine
000000018b154e8c (__TEXT,__text) non-external (was a private external) _adler32_combine64
000000018b154dc8 (__TEXT,__text) non-external _adler32_combine_
000000018b188950 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018b135378 (__TEXT,__text) non-external (was a private external) _adler32_z
000000018b1e5cc0 (__TEXT,__const) non-external _base_dist
000000018b1e5c4c (__TEXT,__const) non-external _base_length
000000018b18319c (__TEXT,__text) non-external _bi_flush
000000018b1383dc (__TEXT,__text) non-external _bi_windup
000000018b1e5c38 (__TEXT,__const) non-external _bl_order
000000018b1dd5d8 (__TEXT,__const) non-external _breverse.brev8
000000018b1815f8 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018b181640 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018b18168c (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
000000018b1816e0 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
000000018b18185c (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018b18177c (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018b181758 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018b137474 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018b13801c (__TEXT,__text) non-external _compress_block
000000018b139c60 (__TEXT,__text) external _compression_decode_buffer
000000018b139b98 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018b177bd8 (__TEXT,__text) external _compression_encode_buffer
000000018b177ae0 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018b1385d4 (__TEXT,__text) external _compression_stream_destroy
000000018b157464 (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018b157414 (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018b1573c4 (__TEXT,__text) external _compression_stream_get_state_size
000000018b157330 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018b134dc0 (__TEXT,__text) external _compression_stream_init
000000018b1572f8 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018b1574b4 (__TEXT,__text) external _compression_stream_is_state_valid
000000018b135508 (__TEXT,__text) external _compression_stream_process
000000018b13a500 (__TEXT,__text) external _compression_stream_reinit
00000001dab8f368 (__AUTH_CONST,__const) non-external _configuration_table
000000018b1680e8 (__TEXT,__text) external _cosmix_codec_decode
000000018b1677e0 (__TEXT,__text) external _cosmix_codec_encode
000000018b168000 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018b168b90 (__TEXT,__text) external _cosmix_codec_get_id
000000018b1689dc (__TEXT,__text) external _cosmix_codec_map
000000018b168b30 (__TEXT,__text) external _cosmix_codec_unmap
000000018b1685d0 (__TEXT,__text) external _cosmix_model_create
000000018b168728 (__TEXT,__text) external _cosmix_model_destroy
000000018b168770 (__TEXT,__text) external _cosmix_model_save_codec
000000018b167118 (__TEXT,__text) external _cosmix_model_update
000000018b181094 (__TEXT,__text) non-external (was a private external) _crc32
000000018b181324 (__TEXT,__text) non-external (was a private external) _crc32_combine
000000018b181584 (__TEXT,__text) non-external (was a private external) _crc32_combine64
000000018b181328 (__TEXT,__text) non-external _crc32_combine_
000000018b1de2a8 (__TEXT,__const) non-external _crc_table
000000018b14e56c (__TEXT,__text) non-external (was a private external) _create_thread
000000018b188b00 (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
000000018b135748 (__TEXT,__text) non-external (was a private external) _deflate
000000018b1881a4 (__TEXT,__text) non-external (was a private external) _deflateBound
000000018b1882a0 (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018b1384e4 (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018b134f84 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018b187f00 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018b1880a0 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018b188070 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018b135244 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018b187f1c (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018b188044 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018b188180 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018b1e6b68 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018b188604 (__TEXT,__text) non-external _deflate_fast
000000018b136664 (__TEXT,__text) non-external _deflate_slow
000000018b18845c (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018b1624bc (__TEXT,__text) non-external _emitMatch
000000018b1e5bec (__TEXT,__const) non-external _extra_blbits
000000018b1e5b74 (__TEXT,__const) non-external _extra_dbits
000000018b1e5b00 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018b136ac0 (__TEXT,__text) non-external _fill_window
000000018b138450 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018b1e6814 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018b1e5da0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018b1e5edc (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018b181088 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018b15cde0 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018b154e90 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018b154ea8 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018b154ebc (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018b15cd94 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
000000018b159bd0 (__TEXT,__text) non-external _header_fetch_from_payload
000000018b182d38 (__TEXT,__text) non-external _init_block
000000018b182c80 (__TEXT,__text) non-external _init_quantization_lut
000000018b14e614 (__TEXT,__text) non-external (was a private external) _join_thread
000000018b1a7710 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018b188ed0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018b188f30 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d20295f8 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018b189728 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018b188e10 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018b188e70 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018b1e6bb0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018b1a93c8 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001d20297e0 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018b189508 (__TEXT,__const) non-external _kCmdHistoSeed
000000018b1a7812 (__TEXT,__const) non-external _kCmdLut
000000018b1daad4 (__TEXT,__const) non-external _kCodeLengthBits
000000018b1a77e0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018b1daac0 (__TEXT,__const) non-external _kCodeLengthDepth
000000018b1a77f2 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018b1a7802 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018b1a9288 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018b1a9248 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018b1a96a4 (__TEXT,__const) non-external _kDistanceCacheIndex
000000018b1a96e4 (__TEXT,__const) non-external _kDistanceCacheOffset
000000018b1a9194 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018b1a9180 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018b1a91f8 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018b1a91e4 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018b1db620 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018b1dab1c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018b1d8700 (__TEXT,__const) non-external _kPrefixSuffix
000000018b1d87da (__TEXT,__const) non-external _kPrefixSuffixMap
000000018b1dcee0 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018b1dcc20 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018b1a979c (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018b1f73be (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018b1e73be (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018b1b979c (__TEXT,__const) non-external _kStaticDictionaryWords
000000018b1dd4a0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018b1dd460 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018b1d883e (__TEXT,__const) non-external _kTransformsData
000000018b1d94c0 (__TEXT,__const) non-external _kZeroRepsBits
000000018b1d89c0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018b136d10 (__TEXT,__text) non-external _longest_match
00000001d6799800 (__DATA,__common) non-external (was a private external) _lut_ok
00000001d6799c00 (__DATA,__common) non-external (was a private external) _lut_quantize
000000018b1e22b4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018b13c810 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018b13c400 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018b13c22c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018b1495e0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018b13d30c (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018b166424 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018b1664a0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018b166494 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018b166488 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018b166454 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018b165cb8 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018b165d80 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018b157b8c (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018b157a90 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000018b15fa00 (__TEXT,__text) non-external (was a private external) _lzbitmap_alloc
000000018b15fa78 (__TEXT,__text) non-external (was a private external) _lzbitmap_buf_align
