00007ffb43609d98 (__DATA,__data) non-external _.compoundliteral
00007ffb083f22d4 (__TEXT,__text) non-external _CPPpragma
00007ffb083f24d8 (__TEXT,__text) non-external _CPPundef
00007ffb083f2639 (__TEXT,__text) non-external _CPPversion
00007ffb0844c0e9 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffb0844a856 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffb0844c0a8 (__TEXT,__text) non-external _ClearJumpTable
00007ffb0844a7f5 (__TEXT,__text) non-external _ClearRegisterState
00007ffb0844845b (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffb0843ffbd (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffb08448735 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffb08443e10 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffb083d946c (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffb08445bcb (__TEXT,__text) non-external _EmulateOp
00007ffb0844a7b5 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffb0844a774 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffb083f0cb8 (__TEXT,__text) non-external _FindHashLoc
00007ffb0844c3a7 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffb083d7cf0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffb08442c59 (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffb08442ad1 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffb083f0c4f (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffb083f0ff3 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffb083f37fb (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffb0830a234 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffb0830fffc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffb4139fe50 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffb0846c8a0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffb43609d78 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffb0846bdc0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffb413a1e90 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffb0846c8b0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffb0846bd70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffb083f081a (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffb08444ffc (__TEXT,__text) non-external _GetOpRegs
00007ffb084428a4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffb08448705 (__TEXT,__text) non-external _GetRegChunk
00007ffb084410b8 (__TEXT,__text) non-external _GetRegister
00007ffb0844a6c4 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffb08443cfd (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffb083f086d (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffb0844c30c (__TEXT,__text) non-external _GetStreamArray
00007ffb083f0c3b (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffb083f0a95 (__TEXT,__text) non-external _GrowAtomTable
00007ffb43609d30 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffb0843f054 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffb0843eff4 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffb0843f131 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffb0843f247 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffb0843f236 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffb0843ef29 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffb0843f1ae (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffb0843f397 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffb0843f30f (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffb0843f4ee (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffb0843f2c1 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffb083f0887 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffb083f0e19 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffb083d7d31 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffb083f37b0 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffb0844161c (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffb08441f80 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffb084416da (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffb08445178 (__TEXT,__text) non-external _IsBadUsage
00007ffb083d960d (__TEXT,__text) non-external (was a private external) _Load
00007ffb083f05e0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffb083f0698 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffb083f5645 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffb083f56ac (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffb083f2888 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffb083f5ec8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffb083f54ac (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffb083f56f4 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffb4139eb70 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffb4139e810 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffb4139ed90 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffb4139eed0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffb4139e9d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffb4139ead0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffb4139efd0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffb4139eb40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffb083053b6 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffb0830517e (__TEXT,__text) external _PPParserAttachStream
00007ffb08305000 (__TEXT,__text) external _PPParserAttachString
00007ffb0830eed9 (__TEXT,__text) external _PPParserBuildErrorString
00007ffb08304f06 (__TEXT,__text) external _PPParserCreate
00007ffb08305ab1 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffb0830d7c0 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffb083050d0 (__TEXT,__text) external _PPParserFree
00007ffb0830578d (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffb0830ffdb (__TEXT,__text) external _PPParserGetErrorString
00007ffb0830fff2 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffb08305af0 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffb0830ff90 (__TEXT,__text) external _PPParserGetLimits
00007ffb0830ffce (__TEXT,__text) external _PPParserGetOptions
00007ffb08305840 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffb08305bf3 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffb0830ffe8 (__TEXT,__text) external _PPParserGetStream
00007ffb0830407c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffb083040ab (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffb08304162 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffb083040ed (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffb0830f061 (__TEXT,__text) non-external _PPParserInherit
00007ffb08304f81 (__TEXT,__text) external _PPParserInit
00007ffb083100d8 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffb08305147 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffb08303cc0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffb08303ce4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffb08303e55 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffb08303f38 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffb08303ddf (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffb08303dab (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffb08303eb3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffb0831007d (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffb0830dc24 (__TEXT,__text) external _PPParserParse
00007ffb08306be4 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffb0830b2c0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffb0830c827 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffb0830d5a4 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffb08306505 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffb083095e4 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffb0830a289 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffb08306383 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffb0830b48b (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffb08306616 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffb0830b838 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffb0830ac36 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffb0830fea8 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffb083068e7 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffb0830b102 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffb0830d278 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffb0830c929 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffb0830f1e5 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffb08305d71 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffb0830a426 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffb0830aaac (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffb083075ba (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffb08309400 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffb08306756 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffb0830ae20 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffb0830bc41 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffb0830f2fc (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffb0830c1ad (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffb0830bff2 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffb08307340 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffb0830c4b0 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffb0830f0bd (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffb083042fe (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffb083057ea (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffb08305a4a (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffb08304da8 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffb08304186 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffb08304d0a (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffb08304e93 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffb08304ecc (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffb08304df3 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffb0830ff9d (__TEXT,__text) external _PPParserSetLimits
00007ffb0830ff83 (__TEXT,__text) external _PPParserSetPrefs
00007ffb08304f87 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffb08306da6 (__TEXT,__text) non-external _PPParserValidateName
00007ffb08437f2d (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffb08438039 (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffb0843854c (__TEXT,__text) external _PPStreamAddConstant
00007ffb08438454 (__TEXT,__text) external _PPStreamAddLabel
00007ffb08438147 (__TEXT,__text) external _PPStreamAddOperation
00007ffb08438623 (__TEXT,__text) external _PPStreamAddOption
00007ffb08438093 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffb08437f85 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffb08437fdf (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffb084385c9 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffb08437d01 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffb08437d5b (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffb08437e79 (__TEXT,__text) external _PPStreamAddTempUsage
00007ffb08437ed3 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffb084380ed (__TEXT,__text) external _PPStreamAddTexImage
00007ffb084391df (__TEXT,__text) external _PPStreamAttachStream
00007ffb08437429 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffb08439976 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffb08437510 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffb08437e56 (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffb0843744b (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffb08437720 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffb08437a1c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffb08437aac (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffb084375d4 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffb084375f8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffb08437755 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffb08437b0c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffb08437919 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffb084377ee (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffb08437791 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffb0843783b (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffb08437879 (__TEXT,__text) external _PPStreamChunkListSort
00007ffb08439825 (__TEXT,__text) external _PPStreamCompare
00007ffb08437c10 (__TEXT,__text) external _PPStreamCreate
00007ffb08437db5 (__TEXT,__text) external _PPStreamFree
00007ffb08438678 (__TEXT,__text) external _PPStreamGetStream
00007ffb084391bd (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffb0843834d (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffb0843822a (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffb0843743a (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffb08439a3d (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffb08437418 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffb084384e8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffb0843a136 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffb0843a018 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffb0831180e (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffb083124e8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffb0843907c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffb084389de (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffb08312682 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffb083125ff (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffb08439199 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffb08312aac (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffb08312e77 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffb08312ccc (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffb08312dc5 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffb084391b3 (__TEXT,__text) external _PPStreamTokenFree
00007ffb083117e2 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffb08311790 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffb0846a520 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffb0846a5e0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffb0846a6b0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffb4139f1d0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffb08312f16 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffb4139f680 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffb0846c2d0 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffb0846c2e0 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffb0846c320 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffb0846c2f0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffb08442a9c (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffb084429fb (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffb083f5f78 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffb083f5954 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffb0844bee0 (__TEXT,__text) non-external _RecordFunctionCall
00007ffb083f581f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffb08441527 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffb084414b7 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffb0843fc5b (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffb0843fbf6 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffb08442176 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffb084410f5 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffb0844230d (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffb08442128 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffb0843f940 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffb0843fcb1 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffb0843fd29 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffb0844816f (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffb08310046 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffb083f593a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffb083f4930 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffb083f4ad9 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffb083f3834 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffb083f4c7b (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffb083d951b (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffb083e6ebe (__TEXT,__text) external _ShAttributeBindingRequest
00007ffb083e6e29 (__TEXT,__text) external _ShCleanup
00007ffb083e686c (__TEXT,__text) external _ShCompile
00007ffb083e649f (__TEXT,__text) external _ShConstructCompiler
00007ffb083e6529 (__TEXT,__text) external _ShConstructLinker
00007ffb083e65ef (__TEXT,__text) external _ShDestruct
00007ffb083e6861 (__TEXT,__text) external _ShFinalize
00007ffb083e7eb7 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffb083e76c7 (__TEXT,__text) external _ShGetActiveAttrib
00007ffb083e739e (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffb083e7389 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffb083e735b (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffb083e917b (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffb083e973b (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffb083e967a (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffb083e9521 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffb083e8f88 (__TEXT,__text) external _ShGetActiveUniform
00007ffb083e8773 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffb083e83c0 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffb083e8a00 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffb083e8c30 (__TEXT,__text) external _ShGetActiveUniformName
00007ffb083e7829 (__TEXT,__text) external _ShGetAttribLocation
00007ffb083e75b2 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffb083e97b2 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffb083e97c7 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffb083e78b5 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffb083e8021 (__TEXT,__text) external _ShGetFragDataLocation
00007ffb083e6e3e (__TEXT,__text) external _ShGetInfoLog
00007ffb083e97db (__TEXT,__text) external _ShGetInteger
00007ffb083e7b50 (__TEXT,__text) external _ShGetLinkerPPStream
00007ffb083e928b (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffb083e92d9 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffb083e8229 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffb083e8e51 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffb083e7615 (__TEXT,__text) external _ShGetMaxAttributeLength
00007ffb083e7dc5 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00007ffb083e7025 (__TEXT,__text) external _ShGetNumActiveAttributes
00007ffb083e894e (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00007ffb083e9274 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
