                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00000001804ef1e4 (__TEXT,__text) non-external _LI_get_thread_info
00000001e5c04780 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e5c047a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e5c04860 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e5c04ac8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001eddb1488 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001eddb17f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001eddb0f30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.105
00000001eddb0f60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001e5c04648 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001eddb0f90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.126
00000001eddb1828 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001eddb0fc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.140
00000001eddb1858 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001eddb14b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001eddb1888 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001eddb18b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.20
00000001eddb14e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001eddb18e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e5c04760 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00000001eddb1518 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001eddb1918 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
00000001eddb1798 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3
00000001eddb1548 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001eddb1948 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001eddb1978 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001eddb1578 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001eddb19a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001eddb0e10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001eddb15a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001e5c046c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.38
00000001eddb19d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001eddb17c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4
00000001eddb15d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001eddb1608 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
00000001e5c04880 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00000001eddb0e40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e5c04668 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00000001eddb1658 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.51
00000001eddb0e70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e5c04688 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001eddb1688 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.55
00000001eddb16b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
00000001eddb16e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.61
00000001eddb1718 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
00000001eddb1748 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.69
00000001eddb0ea0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001eddb0ed0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001eddb0f00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001eddb0dd0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eddb1158 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eddb12e0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eddb1468 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eddb1638 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eddb1778 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eddb0df0 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001e9dac368 (__DATA,__data) non-external (was a private external) ___check_rhosts_file
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
00000001805066f4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
0000000180506610 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00000001804fd99c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
000000018050638c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001804fd8ec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001804fde18 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r56r64r
                 (undefined) external ___darwin_check_fd_set_overflow (from libsystem_kernel)
000000018050dc90 (__TEXT,__text) non-external ___darwin_directory_group_all_block_invoke
000000018050dc10 (__TEXT,__text) non-external ___darwin_directory_group_bygid_block_invoke
000000018050db5c (__TEXT,__text) non-external ___darwin_directory_group_byname_block_invoke
000000018050dc50 (__TEXT,__text) non-external ___darwin_directory_group_byuuid_block_invoke
000000018050dd00 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke
000000018050dd28 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36
0000000180515b20 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36.cold.1
000000018050daec (__TEXT,__text) non-external ___darwin_directory_user_all_block_invoke
000000018050d910 (__TEXT,__text) non-external ___darwin_directory_user_byname_block_invoke
000000018050da1c (__TEXT,__text) non-external ___darwin_directory_user_byuid_block_invoke
000000018050da9c (__TEXT,__text) non-external ___darwin_directory_user_byuuid_block_invoke
0000000180506704 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
0000000180506660 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00000001804fd9ac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001805063dc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001804fd94c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
00000001804fde98 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r56r64r
00000001804fafe8 (__TEXT,__text) external ___dn_skipname
                 (undefined) external ___error (from libsystem_kernel)
0000000180513b1c (__TEXT,__text) non-external ___icheckhost
00000001805169d8 (__TEXT,__const) non-external (was a private external) ___infoVersionNumber
00000001805169b0 (__TEXT,__const) non-external (was a private external) ___infoVersionString
                 (undefined) external ___initgroups (from libsystem_kernel)
0000000180513664 (__TEXT,__text) non-external (was a private external) ___ivaliduser_sa
                 (undefined) external ___maskrune (from libsystem_c)
00000001ec7bc448 (__DATA_DIRTY,__bss) non-external ___mbr_pipe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___memmove_chk (from libsystem_c)
                 (undefined) external ___memset_chk (from libsystem_c)
00000001ec7bc468 (__DATA_DIRTY,__bss) non-external ___od_pipe
00000001e9dac768 (__DATA,__common) non-external (was a private external) ___rcmd_errstr
00000001804f4828 (__TEXT,__text) non-external ___si_async_call_block_invoke
00000001804fc278 (__TEXT,__text) non-external ___si_module_cache_byname_block_invoke
000000018050d8e8 (__TEXT,__text) non-external ___si_module_static_darwin_directory_block_invoke
00000001804ed5a0 (__TEXT,__text) non-external ___si_module_static_ds_block_invoke
00000001804ed760 (__TEXT,__text) non-external ___si_module_static_file_block_invoke
00000001804ed6a8 (__TEXT,__text) non-external ___si_module_static_mdns_block_invoke
00000001804ed0f0 (__TEXT,__text) non-external ___si_module_static_search_block_invoke
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external ___stdoutp (from libsystem_c)
                 (undefined) external ___strcat_chk (from libsystem_c)
                 (undefined) external ___strcpy_chk (from libsystem_c)
                 (undefined) external ___strlcat_chk (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___tolower (from libsystem_c)
0000000180511db8 (__TEXT,__text) non-external (was a private external) ___xdrrec_getrec
000000018050fc14 (__TEXT,__text) external __authenticate
0000000180501cac (__TEXT,__text) non-external __check_groups
00000001e9dac7a0 (__DATA,__bss) non-external __check_groups.once
000000018050db9c (__TEXT,__text) non-external __dd_extract_group
0000000180506284 (__TEXT,__text) non-external __dd_extract_result
00000001805149d0 (__TEXT,__text) non-external __dd_extract_result.cold.1
00000001805149e8 (__TEXT,__text) non-external __dd_extract_result.cold.2
000000018050d950 (__TEXT,__text) non-external __dd_extract_user
00000001805054f8 (__TEXT,__text) non-external __dd_mbr_check_membership_ext
00000001804fc47c (__TEXT,__text) non-external __ds_child
00000001804ede7c (__TEXT,__text) non-external __ds_get_validation
00000001804ef3e4 (__TEXT,__text) non-external __ds_is_valid
00000001804eddb0 (__TEXT,__text) non-external __ds_item
00000001804f9b60 (__TEXT,__text) non-external __ds_list
00000001e9dac5a0 (__DATA,__common) non-external (was a private external) __ds_port
00000001804fc3a0 (__TEXT,__text) external __ds_running
00000001804fd808 (__TEXT,__text) non-external __ds_serv_cache_free
00000001ec7bc4d0 (__DATA_DIRTY,__bss) non-external __ds_serv_cache_key
00000001804fdf00 (__TEXT,__text) non-external __extract_alias
00000001804f9d14 (__TEXT,__text) non-external __extract_fstab
00000001804ef98c (__TEXT,__text) non-external __extract_group
00000001804ff130 (__TEXT,__text) non-external __extract_mac_mac
00000001804ff2a4 (__TEXT,__text) non-external __extract_mac_name
00000001804fdad4 (__TEXT,__text) non-external __extract_netgroup
00000001804fe290 (__TEXT,__text) non-external __extract_network
00000001804fea08 (__TEXT,__text) non-external __extract_protocol
00000001804fedc4 (__TEXT,__text) non-external __extract_rpc
00000001804fe610 (__TEXT,__text) non-external __extract_service
00000001804fd870 (__TEXT,__text) non-external __extract_string_from_xpc_array_index
00000001804ff244 (__TEXT,__text) non-external __extract_string_from_xpc_dict
00000001804ee434 (__TEXT,__text) non-external __extract_string_from_xpc_object
00000001804efd44 (__TEXT,__text) non-external __extract_string_list_from_xpc_array
00000001804fd9b8 (__TEXT,__text) non-external __extract_string_list_from_xpc_array_index
00000001804ee4cc (__TEXT,__text) non-external __extract_uint32_from_xpc_object
00000001804edf38 (__TEXT,__text) non-external __extract_user
00000001804ffe44 (__TEXT,__text) non-external __fsi_append_char_to_line
00000001804f2f00 (__TEXT,__text) non-external __fsi_append_string
00000001804ff794 (__TEXT,__text) non-external __fsi_check_netgroup_cache
00000001804ffac0 (__TEXT,__text) non-external __fsi_find_netgroup
00000001804ffccc (__TEXT,__text) non-external __fsi_flatten_netgroup
00000001804ff394 (__TEXT,__text) non-external (was a private external) __fsi_free_file_netgroup
00000001804ffeec (__TEXT,__text) non-external __fsi_get_alias
0000000180500380 (__TEXT,__text) non-external __fsi_get_ether
00000001804fa164 (__TEXT,__text) non-external __fsi_get_fs
00000001804fab9c (__TEXT,__text) non-external __fsi_get_group
00000001804f8f04 (__TEXT,__text) non-external __fsi_get_host
00000001804f2c00 (__TEXT,__text) non-external (was a private external) __fsi_get_line
00000001805000cc (__TEXT,__text) non-external __fsi_get_name_number_aliases
00000001804f2824 (__TEXT,__text) non-external __fsi_get_service
00000001804f3790 (__TEXT,__text) non-external __fsi_get_user
00000001804f2ab8 (__TEXT,__text) non-external __fsi_get_validation
0000000180500504 (__TEXT,__text) non-external __fsi_parse_ether
00000001804ffb60 (__TEXT,__text) non-external __fsi_read_netgroup_line
00000001804f2cf0 (__TEXT,__text) non-external (was a private external) __fsi_tokenize
00000001804f3004 (__TEXT,__text) non-external __fsi_validate
00000001804ff770 (__TEXT,__text) non-external __fsi_validation_path
00000001804f7f54 (__TEXT,__text) non-external (was a private external) __gai_addr_sort
00000001e9dac1a8 (__DATA,__data) non-external __gai_load_libnetwork.load_once
0000000180504938 (__TEXT,__text) non-external __gai_load_libnetwork_once
0000000180514810 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.1
0000000180514850 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.2
0000000180514884 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.3
00000001805148b8 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.4
00000001805148ec (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.5
00000001e9dac830 (__DATA,__bss) non-external __gai_load_libnetwork_once.handle
00000001e9dac1a0 (__DATA,__data) non-external __gai_log
000000018050436c (__TEXT,__text) external __gai_nat64_can_v4_address_be_synthesized
00000001805147dc (__TEXT,__text) non-external __gai_nat64_can_v4_address_be_synthesized.cold.1
0000000180504434 (__TEXT,__text) non-external __gai_nat64_second_pass
00000001804f09f8 (__TEXT,__text) non-external __gai_nat64_synthesis
00000001804f0cec (__TEXT,__text) non-external __gai_numerichost
00000001804f0978 (__TEXT,__text) non-external __gai_numericserv
00000001804f7d44 (__TEXT,__text) external __gai_serv_to_port
00000001804fa95c (__TEXT,__text) external __gai_simple
00000001804f16e8 (__TEXT,__text) non-external __gai_sort_list
0000000180502d70 (__TEXT,__text) external __getaddrinfo_interface_async_call
0000000180501dc0 (__TEXT,__text) non-external __getgrouplist_2_internal
00000001804fb05c (__TEXT,__text) external __getlong
00000001804f92cc (__TEXT,__text) external __getnameinfo_interface_async_call
00000001804fb04c (__TEXT,__text) external __getshort
0000000180516c18 (__TEXT,__const) non-external __group_compat_prefix
                 (undefined) external __inet_aton_check (from libsystem_c)
00000001ec7bc460 (__DATA_DIRTY,__bss) non-external __info_key
00000001ec7bc058 (__DATA_DIRTY,__data) non-external __info_key_initialized
00000001ec7bc458 (__DATA_DIRTY,__bss) non-external __info_key_ok
00000001805039e0 (__TEXT,__text) non-external __is_v4addr_ifaddr
0000000180503a74 (__TEXT,__text) non-external __is_v6addr_ifaddr
0000000180506710 (__TEXT,__text) non-external __mbr_fork_child
00000001804f41f8 (__TEXT,__text) non-external __mbr_fork_parent
00000001804f41bc (__TEXT,__text) non-external __mbr_fork_prepare
00000001804eca48 (__TEXT,__text) non-external __mbr_od_available
00000001804eca84 (__TEXT,__text) non-external __mbr_xpc_pipe
00000001805149bc (__TEXT,__text) non-external __mbr_xpc_pipe.cold.1
00000001ec7bc450 (__DATA_DIRTY,__bss) non-external __mbr_xpc_pipe.once
0000000180503b1c (__TEXT,__text) non-external __mdns_atfork_child
00000001804f41e0 (__TEXT,__text) non-external __mdns_atfork_parent
00000001804f41d4 (__TEXT,__text) non-external __mdns_atfork_prepare
00000001804f769c (__TEXT,__text) non-external __mdns_canonicalize
00000001804f5b1c (__TEXT,__text) non-external __mdns_deadline
00000001e9dac810 (__DATA,__bss) non-external __mdns_debug
00000001804f4d9c (__TEXT,__text) non-external __mdns_debug_message
00000001e9dac818 (__DATA,__bss) non-external __mdns_generation
00000001804f76f8 (__TEXT,__text) non-external __mdns_hostent_append_addr
00000001804f7590 (__TEXT,__text) non-external __mdns_hostent_append_alias
00000001804f6894 (__TEXT,__text) non-external __mdns_hostent_clear
00000001e9dac230 (__DATA,__data) non-external __mdns_mutex
00000001804f5bac (__TEXT,__text) non-external __mdns_now
00000001e9dac7c0 (__DATA,__bss) non-external __mdns_old_sdref
00000001804f5f64 (__TEXT,__text) non-external __mdns_pack_domain_name
00000001804f8d64 (__TEXT,__text) non-external __mdns_parse_domain_name
00000001804fb08c (__TEXT,__text) non-external __mdns_query
00000001804f6080 (__TEXT,__text) non-external __mdns_query_callback
00000001804f67b4 (__TEXT,__text) non-external __mdns_query_clear
00000001804f6624 (__TEXT,__text) non-external __mdns_query_is_complete
00000001804f5bf8 (__TEXT,__text) non-external __mdns_query_start
00000001804f6938 (__TEXT,__text) non-external __mdns_reply_clear
00000001e9dac7b8 (__DATA,__bss) non-external __mdns_sdref
00000001804f4e1c (__TEXT,__text) non-external __mdns_search
00000001804f4ec8 (__TEXT,__text) non-external __mdns_search_ex
00000001e9dac6c0 (__DATA,__common) external __null_auth
00000001804fd814 (__TEXT,__text) non-external __od_fork_child
00000001804f41ec (__TEXT,__text) non-external __od_fork_parent
00000001804f41c8 (__TEXT,__text) non-external __od_fork_prepare
00000001804ecbdc (__TEXT,__text) non-external (was a private external) __od_rpc_call
00000001804edb88 (__TEXT,__text) non-external __od_running
00000001804edbd4 (__TEXT,__text) non-external __od_xpc_pipe
00000001805144d8 (__TEXT,__text) non-external __od_xpc_pipe.cold.1
00000001ec7bc498 (__DATA_DIRTY,__bss) non-external __od_xpc_pipe.once
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_feature_enabled_simple_impl (from libsystem_featureflags)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
00000001e9dac378 (__DATA,__common) external __res
000000018050f250 (__TEXT,__text) external __seterr_reply
00000001804fc384 (__TEXT,__text) external __si_disable_opendirectory
00000001e9dac370 (__DATA,__common) non-external (was a private external) __si_opendirectory_disabled
000000018050fc60 (__TEXT,__text) non-external (was a private external) __svcauth_null
000000018050fdf4 (__TEXT,__text) non-external (was a private external) __svcauth_short
000000018050fc68 (__TEXT,__text) non-external (was a private external) __svcauth_unix
0000000180516c08 (__TEXT,__const) non-external __user_compat_prefix
00000001804edd58 (__TEXT,__text) non-external __xpc_query_key_id
00000001804fed74 (__TEXT,__text) non-external __xpc_query_key_int
00000001804f3b48 (__TEXT,__text) non-external __xpc_query_key_string
00000001804f4464 (__TEXT,__text) non-external __xpc_query_key_uuid
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_bool (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_int64 (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
0000000180507438 (__TEXT,__text) external __yp_dobind
00000001e9dac2fc (__DATA,__data) non-external __yp_dobind.pid
00000001e9dac5c0 (__DATA,__common) non-external (was a private external) __yp_domain
0000000180507910 (__TEXT,__text) non-external (was a private external) __yp_unbind
00000001e9dac5b8 (__DATA,__common) non-external (was a private external) __ypbindlist
00000001e9dac2f8 (__DATA,__data) non-external (was a private external) __yplib_timeout
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _abort_with_reason (from libsystem_kernel)
                 (undefined) external _accept$NOCANCEL (from libsystem_kernel)
0000000180502008 (__TEXT,__text) external _alias_endent
0000000180501f2c (__TEXT,__text) external _alias_getbyname
0000000180501f98 (__TEXT,__text) external _alias_getent
0000000180501f8c (__TEXT,__text) external _alias_setent
0000000180516b00 (__TEXT,__const) non-external _align_64
00000001804f7848 (__TEXT,__text) non-external _append_addr
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asl_free (from libsystem_asl)
                 (undefined) external _asl_log (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _atoi (from libsystem_c)
00000001e5c04a48 (__DATA_CONST,__const) non-external _auth_errlist
00000001ed4181a8 (__AUTH,__data) non-external _auth_unix_ops
00000001805086f4 (__TEXT,__text) external _authnone_create
0000000180508824 (__TEXT,__text) non-external _authnone_destroy
00000001805087e4 (__TEXT,__text) non-external _authnone_marshal
00000001e9dac8b8 (__DATA,__bss) non-external _authnone_private
000000018050881c (__TEXT,__text) non-external _authnone_refresh
0000000180508814 (__TEXT,__text) non-external _authnone_validate
0000000180508810 (__TEXT,__text) non-external _authnone_verf
0000000180508828 (__TEXT,__text) external _authunix_create
0000000180508a44 (__TEXT,__text) external _authunix_create_default
0000000180508d08 (__TEXT,__text) non-external _authunix_destroy
0000000180508b00 (__TEXT,__text) non-external _authunix_marshal
0000000180508afc (__TEXT,__text) non-external _authunix_nextverf
0000000180508be8 (__TEXT,__text) non-external _authunix_refresh
0000000180508b20 (__TEXT,__text) non-external _authunix_validate
                 (undefined) external _bind (from libsystem_kernel)
00000001805090a4 (__TEXT,__text) external _bindresvport
0000000180508ea4 (__TEXT,__text) external _bindresvport_sa
0000000180503690 (__TEXT,__text) external _bootparams_endent
000000018050367c (__TEXT,__text) external _bootparams_getbyname
0000000180503684 (__TEXT,__text) external _bootparams_getent
000000018050368c (__TEXT,__text) external _bootparams_setent
                 (undefined) external _bootstrap_look_up (from libxpc)
                 (undefined) external _bootstrap_look_up2 (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00000001e9dac8c0 (__DATA,__bss) non-external _buf
