                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80b64b45f (__TEXT,__text) external ___cmph_dump
00007ff80b645fea (__TEXT,__text) external _bmz8_load
00007ff80b645031 (__TEXT,__text) external _bmz8_new
00007ff80b64f1b5 (__TEXT,__text) non-external _bmz8_new.cold.1
00007ff80b6461db (__TEXT,__text) external _bmz8_pack
00007ff80b646281 (__TEXT,__text) external _bmz8_packed_size
00007ff80b64610f (__TEXT,__text) external _bmz8_search
00007ff80b6462d8 (__TEXT,__text) external _bmz8_search_packed
00007ff80b6463a9 (__TEXT,__text) non-external _bmz8_traverse
00007ff80b64f1d8 (__TEXT,__text) non-external _bmz8_traverse.cold.1
00007ff80b643bd8 (__TEXT,__text) external _bmz_config_destroy
00007ff80b643bad (__TEXT,__text) external _bmz_config_new
00007ff80b643be6 (__TEXT,__text) external _bmz_config_set_hashfuncs
00007ff80b644cc7 (__TEXT,__text) external _bmz_destroy
00007ff80b644a19 (__TEXT,__text) external _bmz_dump
00007ff80b644b41 (__TEXT,__text) external _bmz_load
00007ff80b643c19 (__TEXT,__text) external _bmz_new
00007ff80b64f16f (__TEXT,__text) non-external _bmz_new.cold.1
00007ff80b644d14 (__TEXT,__text) external _bmz_pack
00007ff80b644dbd (__TEXT,__text) external _bmz_packed_size
00007ff80b644c68 (__TEXT,__text) external _bmz_search
00007ff80b644e14 (__TEXT,__text) external _bmz_search_packed
00007ff80b644ec0 (__TEXT,__text) non-external _bmz_traverse
00007ff80b64f192 (__TEXT,__text) non-external _bmz_traverse.cold.1
00007ff80b64653a (__TEXT,__text) external _brz_config_destroy
00007ff80b6464c0 (__TEXT,__text) external _brz_config_new
00007ff80b646655 (__TEXT,__text) external _brz_config_set_algo
00007ff80b64663a (__TEXT,__text) external _brz_config_set_b
00007ff80b64655b (__TEXT,__text) external _brz_config_set_hashfuncs
00007ff80b646587 (__TEXT,__text) external _brz_config_set_memory_availability
00007ff80b646622 (__TEXT,__text) external _brz_config_set_mphf_fd
00007ff80b64f1fb (__TEXT,__text) non-external _brz_config_set_mphf_fd.cold.1
00007ff80b64659b (__TEXT,__text) external _brz_config_set_tmp_dir
00007ff80b647aa1 (__TEXT,__text) external _brz_destroy
00007ff80b647580 (__TEXT,__text) external _brz_dump
00007ff80b647624 (__TEXT,__text) external _brz_load
00007ff80b64f2a8 (__TEXT,__text) non-external _brz_load.cold.1
00007ff80b64666c (__TEXT,__text) external _brz_new
00007ff80b64f21c (__TEXT,__text) non-external _brz_new.cold.1
00007ff80b64f23f (__TEXT,__text) non-external _brz_new.cold.2
00007ff80b64f262 (__TEXT,__text) non-external _brz_new.cold.3
00007ff80b64f285 (__TEXT,__text) non-external _brz_new.cold.4
00007ff80b647b75 (__TEXT,__text) external _brz_pack
00007ff80b64f2ee (__TEXT,__text) non-external _brz_pack.cold.1
00007ff80b647d40 (__TEXT,__text) external _brz_packed_size
00007ff80b64f311 (__TEXT,__text) non-external _brz_packed_size.cold.1
00007ff80b6478ce (__TEXT,__text) external _brz_search
00007ff80b64f2cb (__TEXT,__text) non-external _brz_search.cold.1
00007ff80b647e2f (__TEXT,__text) external _brz_search_packed
00007ff80b64f334 (__TEXT,__text) non-external _brz_search_packed.cold.1
00007ff80b648307 (__TEXT,__text) external _buffer_entry_destroy
00007ff80b6481a7 (__TEXT,__text) external _buffer_entry_get_capacity
00007ff80b6482b4 (__TEXT,__text) non-external _buffer_entry_load
00007ff80b648144 (__TEXT,__text) external _buffer_entry_new
00007ff80b648179 (__TEXT,__text) external _buffer_entry_open
00007ff80b6481b0 (__TEXT,__text) external _buffer_entry_read_key
00007ff80b64819e (__TEXT,__text) external _buffer_entry_set_capacity
00007ff80b648479 (__TEXT,__text) external _buffer_manager_destroy
00007ff80b648336 (__TEXT,__text) external _buffer_manager_new
00007ff80b6483d1 (__TEXT,__text) external _buffer_manager_open
00007ff80b6483e8 (__TEXT,__text) external _buffer_manager_read_key
                 (undefined) external _calloc (from libSystem)
00007ff80b648503 (__TEXT,__text) external _chd_config_destroy
00007ff80b6484c2 (__TEXT,__text) external _chd_config_new
00007ff80b648539 (__TEXT,__text) external _chd_config_set_b
00007ff80b648528 (__TEXT,__text) external _chd_config_set_hashfuncs
00007ff80b64854a (__TEXT,__text) external _chd_config_set_keys_per_bin
00007ff80b648858 (__TEXT,__text) external _chd_destroy
00007ff80b6487e9 (__TEXT,__text) external _chd_dump
00007ff80b648744 (__TEXT,__text) external _chd_load
00007ff80b64855b (__TEXT,__text) external _chd_new
00007ff80b6488b9 (__TEXT,__text) external _chd_pack
00007ff80b6488fb (__TEXT,__text) external _chd_packed_size
00007ff80b64897c (__TEXT,__text) external _chd_ph_config_destroy
00007ff80b64893d (__TEXT,__text) external _chd_ph_config_new
00007ff80b6489b5 (__TEXT,__text) external _chd_ph_config_set_b
00007ff80b64f357 (__TEXT,__text) non-external _chd_ph_config_set_b.cold.1
00007ff80b6489a2 (__TEXT,__text) external _chd_ph_config_set_hashfuncs
00007ff80b6489da (__TEXT,__text) external _chd_ph_config_set_keys_per_bin
00007ff80b64f37a (__TEXT,__text) non-external _chd_ph_config_set_keys_per_bin.cold.1
00007ff80b6497a9 (__TEXT,__text) external _chd_ph_destroy
00007ff80b6496bf (__TEXT,__text) external _chd_ph_dump
00007ff80b6495b2 (__TEXT,__text) external _chd_ph_load
00007ff80b6489ff (__TEXT,__text) external _chd_ph_new
00007ff80b64f39d (__TEXT,__text) non-external _chd_ph_new.cold.1
00007ff80b64987d (__TEXT,__text) external _chd_ph_pack
00007ff80b6498da (__TEXT,__text) external _chd_ph_packed_size
00007ff80b6497e4 (__TEXT,__text) external _chd_ph_search
00007ff80b64990b (__TEXT,__text) external _chd_ph_search_packed
00007ff80b64888c (__TEXT,__text) external _chd_search
00007ff80b64890f (__TEXT,__text) external _chd_search_packed
00007ff80b64e773 (__TEXT,__text) external _check_primality
00007ff80b649be4 (__TEXT,__text) external _chm_config_destroy
00007ff80b649bb9 (__TEXT,__text) external _chm_config_new
00007ff80b649bf2 (__TEXT,__text) external _chm_config_set_hashfuncs
00007ff80b64a3cb (__TEXT,__text) external _chm_destroy
00007ff80b64a104 (__TEXT,__text) external _chm_dump
00007ff80b64a22c (__TEXT,__text) external _chm_load
00007ff80b649c25 (__TEXT,__text) external _chm_new
00007ff80b64f3be (__TEXT,__text) non-external _chm_new.cold.1
00007ff80b64a418 (__TEXT,__text) external _chm_pack
00007ff80b64a4c6 (__TEXT,__text) external _chm_packed_size
00007ff80b64a353 (__TEXT,__text) external _chm_search
00007ff80b64a51d (__TEXT,__text) external _chm_search_packed
00007ff80b64a032 (__TEXT,__text) non-external _chm_traverse
00007ff80b64addb (__TEXT,__text) external _cmph_config_destroy
00007ff80b64f51b (__TEXT,__text) non-external _cmph_config_destroy.cold.1
00007ff80b64abc3 (__TEXT,__text) external _cmph_config_new
00007ff80b64f4b2 (__TEXT,__text) non-external _cmph_config_new.cold.1
00007ff80b64abf4 (__TEXT,__text) external _cmph_config_set_algo
00007ff80b64f4d5 (__TEXT,__text) non-external _cmph_config_set_algo.cold.1
00007ff80b64f4f8 (__TEXT,__text) non-external _cmph_config_set_algo.cold.2
00007ff80b64ad5a (__TEXT,__text) external _cmph_config_set_b
00007ff80b64af1c (__TEXT,__text) external _cmph_config_set_graphsize
00007ff80b64aea1 (__TEXT,__text) external _cmph_config_set_hashfuncs
00007ff80b64adac (__TEXT,__text) external _cmph_config_set_keys_per_bin
00007ff80b64adca (__TEXT,__text) external _cmph_config_set_memory_availability
00007ff80b64ad49 (__TEXT,__text) external _cmph_config_set_mphf_fd
00007ff80b64ad38 (__TEXT,__text) external _cmph_config_set_tmp_dir
00007ff80b64ae98 (__TEXT,__text) external _cmph_config_set_verbosity
00007ff80b64b1fd (__TEXT,__text) external _cmph_destroy
00007ff80b64f5ca (__TEXT,__text) non-external _cmph_destroy.cold.1
00007ff80b64b01c (__TEXT,__text) external _cmph_dump
00007ff80b64f561 (__TEXT,__text) non-external _cmph_dump.cold.1
00007ff8422d0f70 (__DATA,__data) external _cmph_hash_names
00007ff80b64a8dc (__TEXT,__text) external _cmph_io_byte_vector_adapter
00007ff80b64a9e0 (__TEXT,__text) external _cmph_io_byte_vector_adapter_destroy
00007ff80b64a5e4 (__TEXT,__text) external _cmph_io_nlfile_adapter
00007ff80b64f3e0 (__TEXT,__text) non-external _cmph_io_nlfile_adapter.cold.1
00007ff80b64a87a (__TEXT,__text) external _cmph_io_nlfile_adapter_destroy
00007ff80b64a884 (__TEXT,__text) external _cmph_io_nlnkfile_adapter
00007ff80b64f403 (__TEXT,__text) non-external _cmph_io_nlnkfile_adapter.cold.1
00007ff80b64a8d2 (__TEXT,__text) external _cmph_io_nlnkfile_adapter_destroy
00007ff80b64a9ff (__TEXT,__text) external _cmph_io_struct_vector_adapter
00007ff80b64f46c (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.1
00007ff80b64f48f (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.2
00007ff80b64ab03 (__TEXT,__text) external _cmph_io_struct_vector_adapter_destroy
00007ff80b64ab22 (__TEXT,__text) external _cmph_io_vector_adapter
00007ff80b64aba4 (__TEXT,__text) external _cmph_io_vector_adapter_destroy
00007ff80b64a908 (__TEXT,__text) non-external _cmph_io_vector_new
00007ff80b64f426 (__TEXT,__text) non-external _cmph_io_vector_new.cold.1
00007ff80b64f449 (__TEXT,__text) non-external _cmph_io_vector_new.cold.2
00007ff80b64b098 (__TEXT,__text) external _cmph_load
00007ff80b64f584 (__TEXT,__text) non-external _cmph_load.cold.1
00007ff8422d0f20 (__DATA,__data) external _cmph_names
00007ff80b64af27 (__TEXT,__text) external _cmph_new
00007ff80b64f53e (__TEXT,__text) non-external _cmph_new.cold.1
00007ff80b64b278 (__TEXT,__text) external _cmph_pack
00007ff80b64f5ed (__TEXT,__text) non-external _cmph_pack.cold.1
00007ff80b64b2fc (__TEXT,__text) external _cmph_packed_size
00007ff80b64f610 (__TEXT,__text) non-external _cmph_packed_size.cold.1
00007ff80b64b174 (__TEXT,__text) external _cmph_search
00007ff80b64f5a7 (__TEXT,__text) non-external _cmph_search.cold.1
00007ff80b64b378 (__TEXT,__text) external _cmph_search_packed
00007ff80b64f633 (__TEXT,__text) non-external _cmph_search_packed.cold.1
00007ff80b64b1f4 (__TEXT,__text) external _cmph_size
00007ff80b64b5d8 (__TEXT,__text) external _compressed_rank_destroy
00007ff80b64b886 (__TEXT,__text) external _compressed_rank_dump
00007ff80b64b604 (__TEXT,__text) external _compressed_rank_generate
00007ff80b64b85b (__TEXT,__text) external _compressed_rank_get_space_usage
00007ff80b64b5af (__TEXT,__text) external _compressed_rank_init
00007ff80b64b96b (__TEXT,__text) external _compressed_rank_load
00007ff80b64b9f3 (__TEXT,__text) external _compressed_rank_pack
00007ff80b64ba52 (__TEXT,__text) external _compressed_rank_packed_size
00007ff80b64b768 (__TEXT,__text) external _compressed_rank_query
00007ff80b64ba7e (__TEXT,__text) external _compressed_rank_query_packed
00007ff80b64bbaa (__TEXT,__text) external _compressed_seq_destroy
00007ff80b64bfee (__TEXT,__text) external _compressed_seq_dump
00007ff80b64bbe1 (__TEXT,__text) external _compressed_seq_generate
00007ff80b64be76 (__TEXT,__text) external _compressed_seq_get_space_usage
00007ff80b64bb7c (__TEXT,__text) external _compressed_seq_init
00007ff80b64c111 (__TEXT,__text) external _compressed_seq_load
00007ff80b64c1e7 (__TEXT,__text) external _compressed_seq_pack
00007ff80b64c246 (__TEXT,__text) external _compressed_seq_packed_size
00007ff80b64beae (__TEXT,__text) external _compressed_seq_query
00007ff80b64f656 (__TEXT,__text) non-external _compressed_seq_query.cold.1
00007ff80b64c27d (__TEXT,__text) external _compressed_seq_query_packed
00007ff80b64dc1c (__TEXT,__text) non-external _cyclic_del_edge
00007ff80b64dad3 (__TEXT,__text) non-external _del_edge_point
00007ff80b64f9dd (__TEXT,__text) non-external _del_edge_point.cold.1
                 (undefined) external _exit (from libSystem)
00007ff80b64d739 (__TEXT,__text) external _fch_buckets_destroy
00007ff80b64f8f6 (__TEXT,__text) non-external _fch_buckets_destroy.cold.1
00007ff80b64d57c (__TEXT,__text) external _fch_buckets_get_indexes_sorted_by_size
00007ff80b64f893 (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.1
00007ff80b64f8b4 (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.2
00007ff80b64d4f2 (__TEXT,__text) external _fch_buckets_get_key
00007ff80b64f7c9 (__TEXT,__text) non-external _fch_buckets_get_key.cold.1
00007ff80b64f7ea (__TEXT,__text) non-external _fch_buckets_get_key.cold.2
00007ff80b64f80b (__TEXT,__text) non-external _fch_buckets_get_key.cold.3
00007ff80b64d52e (__TEXT,__text) external _fch_buckets_get_keylength
00007ff80b64f82e (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.1
00007ff80b64f84f (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.2
00007ff80b64f870 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.3
00007ff80b64d56a (__TEXT,__text) external _fch_buckets_get_max_size
00007ff80b64d573 (__TEXT,__text) external _fch_buckets_get_nbuckets
00007ff80b64d4cb (__TEXT,__text) external _fch_buckets_get_size
00007ff80b64f785 (__TEXT,__text) non-external _fch_buckets_get_size.cold.1
00007ff80b64f7a6 (__TEXT,__text) non-external _fch_buckets_get_size.cold.2
00007ff80b64d3dc (__TEXT,__text) external _fch_buckets_insert
00007ff80b64f6ff (__TEXT,__text) non-external _fch_buckets_insert.cold.1
00007ff80b64f720 (__TEXT,__text) non-external _fch_buckets_insert.cold.2
00007ff80b64f741 (__TEXT,__text) non-external _fch_buckets_insert.cold.3
00007ff80b64f762 (__TEXT,__text) non-external _fch_buckets_insert.cold.4
00007ff80b64d3af (__TEXT,__text) external _fch_buckets_is_empty
00007ff80b64f6bb (__TEXT,__text) non-external _fch_buckets_is_empty.cold.1
00007ff80b64f6dc (__TEXT,__text) non-external _fch_buckets_is_empty.cold.2
00007ff80b64d353 (__TEXT,__text) external _fch_buckets_new
00007ff80b64f679 (__TEXT,__text) non-external _fch_buckets_new.cold.1
00007ff80b64f69a (__TEXT,__text) non-external _fch_buckets_new.cold.2
00007ff80b64d67e (__TEXT,__text) external _fch_buckets_print
00007ff80b64f8d5 (__TEXT,__text) non-external _fch_buckets_print.cold.1
00007ff80b64c483 (__TEXT,__text) external _fch_calc_b
00007ff80b64c4d4 (__TEXT,__text) external _fch_calc_p1
00007ff80b64c4ef (__TEXT,__text) external _fch_calc_p2
00007ff80b64c40c (__TEXT,__text) external _fch_config_destroy
00007ff80b64c3d9 (__TEXT,__text) external _fch_config_new
00007ff80b64c41a (__TEXT,__text) external _fch_config_set_hashfuncs
00007ff80b64d0a3 (__TEXT,__text) external _fch_destroy
00007ff80b64cd58 (__TEXT,__text) external _fch_dump
00007ff80b64ce9a (__TEXT,__text) external _fch_load
00007ff80b64c50a (__TEXT,__text) external _fch_new
00007ff80b64d0e0 (__TEXT,__text) external _fch_pack
00007ff80b64d1d0 (__TEXT,__text) external _fch_packed_size
00007ff80b64d00f (__TEXT,__text) external _fch_search
00007ff80b64d220 (__TEXT,__text) external _fch_search_packed
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgets (from libSystem)
00007ff80b64df30 (__TEXT,__text) non-external _find_degree1_edge
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b64d98f (__TEXT,__text) external _graph_add_edge
00007ff80b64f917 (__TEXT,__text) non-external _graph_add_edge.cold.1
00007ff80b64f938 (__TEXT,__text) non-external _graph_add_edge.cold.2
00007ff80b64f959 (__TEXT,__text) non-external _graph_add_edge.cold.3
00007ff80b64f97a (__TEXT,__text) non-external _graph_add_edge.cold.4
00007ff80b64d856 (__TEXT,__text) external _graph_clear_edges
00007ff80b64de31 (__TEXT,__text) external _graph_contains_edge
00007ff80b64da9c (__TEXT,__text) external _graph_del_edge
00007ff80b64d8ac (__TEXT,__text) external _graph_destroy
00007ff80b64da02 (__TEXT,__text) external _graph_edge_id
00007ff80b64f99b (__TEXT,__text) non-external _graph_edge_id.cold.1
00007ff80b64f9bc (__TEXT,__text) non-external _graph_edge_id.cold.2
00007ff80b64db7c (__TEXT,__text) external _graph_is_cyclic
00007ff80b64deda (__TEXT,__text) external _graph_ncritical_nodes
00007ff80b64dee3 (__TEXT,__text) external _graph_neighbors_it
00007ff80b64d7d6 (__TEXT,__text) external _graph_new
00007ff80b64def9 (__TEXT,__text) external _graph_next_neighbor
00007ff80b64dcb0 (__TEXT,__text) external _graph_node_is_critical
00007ff80b64dcd8 (__TEXT,__text) external _graph_obtain_critical_nodes
00007ff80b64d8e7 (__TEXT,__text) external _graph_print
00007ff80b64dec7 (__TEXT,__text) external _graph_vertex_id
00007ff80b64dfe2 (__TEXT,__text) external _hash
00007ff80b64fa21 (__TEXT,__text) non-external _hash.cold.1
00007ff80b64e1d6 (__TEXT,__text) external _hash_get_type
00007ff80b64e1a5 (__TEXT,__text) external _hash_packed
00007ff80b64fb0c (__TEXT,__text) non-external _hash_packed.cold.1
00007ff80b64e0f3 (__TEXT,__text) external _hash_state_copy
00007ff80b64fa84 (__TEXT,__text) non-external _hash_state_copy.cold.1
00007ff80b64e16b (__TEXT,__text) external _hash_state_destroy
00007ff80b64faa5 (__TEXT,__text) non-external _hash_state_destroy.cold.1
00007ff80b64e00a (__TEXT,__text) external _hash_state_dump
00007ff80b64fa63 (__TEXT,__text) non-external _hash_state_dump.cold.1
00007ff80b64e116 (__TEXT,__text) external _hash_state_load
00007ff80b64dfc6 (__TEXT,__text) external _hash_state_new
00007ff80b64fa00 (__TEXT,__text) non-external _hash_state_new.cold.1
00007ff80b64e17f (__TEXT,__text) external _hash_state_pack
00007ff80b64fac6 (__TEXT,__text) non-external _hash_state_pack.cold.1
00007ff80b64e193 (__TEXT,__text) external _hash_state_packed_size
00007ff80b64fae9 (__TEXT,__text) non-external _hash_state_packed_size.cold.1
00007ff80b64dff6 (__TEXT,__text) external _hash_vector
00007ff80b64fa42 (__TEXT,__text) non-external _hash_vector.cold.1
00007ff80b64e1bc (__TEXT,__text) external _hash_vector_packed
00007ff80b64fb2f (__TEXT,__text) non-external _hash_vector_packed.cold.1
00007ff80b64e21f (__TEXT,__text) external _jenkins_hash
00007ff80b64e5ce (__TEXT,__text) external _jenkins_hash_packed
00007ff80b64e514 (__TEXT,__text) external _jenkins_hash_vector_
00007ff80b64e612 (__TEXT,__text) external _jenkins_hash_vector_packed
00007ff80b64e565 (__TEXT,__text) external _jenkins_state_copy
00007ff80b64e215 (__TEXT,__text) external _jenkins_state_destroy
00007ff80b64e521 (__TEXT,__text) external _jenkins_state_dump
00007ff80b64e589 (__TEXT,__text) external _jenkins_state_load
00007ff80b64e1e0 (__TEXT,__text) external _jenkins_state_new
00007ff80b64e5ae (__TEXT,__text) external _jenkins_state_pack
00007ff80b64e5c3 (__TEXT,__text) external _jenkins_state_packed_size
00007ff80b64a962 (__TEXT,__text) non-external _key_byte_vector_read
00007ff80b64a863 (__TEXT,__text) non-external _key_nlfile_dispose
00007ff80b64a70d (__TEXT,__text) non-external _key_nlfile_read
00007ff80b64a870 (__TEXT,__text) non-external _key_nlfile_rewind
00007ff80b64aa9a (__TEXT,__text) non-external _key_struct_vector_read
00007ff80b64aaf6 (__TEXT,__text) non-external _key_struct_vector_rewind
00007ff80b64a9c6 (__TEXT,__text) non-external _key_vector_dispose
00007ff80b64ab4e (__TEXT,__text) non-external _key_vector_read
00007ff80b64a9d3 (__TEXT,__text) non-external _key_vector_rewind
                 (undefined) external _log (from libSystem)
00007ff80b64fed0 (__TEXT,__const) non-external _lookup_table
00007ff80b64e65a (__TEXT,__text) external _lsmap_append
00007ff80b64e73d (__TEXT,__text) external _lsmap_destroy
00007ff80b64e6e8 (__TEXT,__text) external _lsmap_foreach_key
00007ff80b64e712 (__TEXT,__text) external _lsmap_foreach_value
00007ff80b64e61e (__TEXT,__text) external _lsmap_new
00007ff80b64e6a8 (__TEXT,__text) external _lsmap_search
00007ff80b64e649 (__TEXT,__text) external _lsmap_size
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80b64c44d (__TEXT,__text) external _mixh10h11h12
                 (undefined) external _perror (from libSystem)
00007ff80b6499dc (__TEXT,__text) non-external _place_bucket_probe
00007ff80b64fec8 (__TEXT,__const) non-external _pow3_table
                 (undefined) external _printf (from libSystem)
                 (undefined) external _rand (from libSystem)
00007ff80b650680 (__TEXT,__const) non-external _rank_lookup_table
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _rewind (from libSystem)
00007ff80b64e9b7 (__TEXT,__text) external _select_destroy
00007ff80b64ec25 (__TEXT,__text) external _select_dump
00007ff80b64e9e0 (__TEXT,__text) external _select_generate
00007ff80b64e999 (__TEXT,__text) external _select_get_space_usage
00007ff80b64e985 (__TEXT,__text) external _select_init
00007ff80b64ecd0 (__TEXT,__text) external _select_load
00007ff80b650780 (__TEXT,__const) non-external _select_lookup_table
00007ff80b64ebbf (__TEXT,__text) external _select_next_query
00007ff80b64ee95 (__TEXT,__text) external _select_next_query_packed
00007ff80b64ed92 (__TEXT,__text) external _select_pack
00007ff80b64edf1 (__TEXT,__text) external _select_packed_size
00007ff80b64eb4b (__TEXT,__text) external _select_query
00007ff80b64ee10 (__TEXT,__text) external _select_query_packed
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ff80b64fea8 (__TEXT,__const) non-external _valuemask
00007ff80b64effa (__TEXT,__text) external _vqueue_destroy
00007ff80b64ef54 (__TEXT,__text) external _vqueue_insert
00007ff80b64fb52 (__TEXT,__text) non-external _vqueue_insert.cold.1
00007ff80b64ef43 (__TEXT,__text) external _vqueue_is_empty
00007ff80b64eefc (__TEXT,__text) external _vqueue_new
00007ff80b64ef9c (__TEXT,__text) external _vqueue_print
00007ff80b64ef79 (__TEXT,__text) external _vqueue_remove
00007ff80b64fb73 (__TEXT,__text) non-external _vqueue_remove.cold.1
00007ff80b64f042 (__TEXT,__text) external _vstack_destroy
00007ff80b64fbb5 (__TEXT,__text) non-external _vstack_destroy.cold.1
00007ff80b64f12c (__TEXT,__text) external _vstack_empty
00007ff80b64fcbd (__TEXT,__text) non-external _vstack_empty.cold.1
00007ff80b64f019 (__TEXT,__text) external _vstack_new
00007ff80b64fb94 (__TEXT,__text) non-external _vstack_new.cold.1
00007ff80b64f0e9 (__TEXT,__text) external _vstack_pop
00007ff80b64fc39 (__TEXT,__text) non-external _vstack_pop.cold.1
00007ff80b64fc5a (__TEXT,__text) non-external _vstack_pop.cold.2
00007ff80b64f06c (__TEXT,__text) external _vstack_push
00007ff80b64fbd6 (__TEXT,__text) non-external _vstack_push.cold.1
00007ff80b64f09d (__TEXT,__text) external _vstack_reserve
00007ff80b64fbf7 (__TEXT,__text) non-external _vstack_reserve.cold.1
00007ff80b64fc18 (__TEXT,__text) non-external _vstack_reserve.cold.2
00007ff80b64f144 (__TEXT,__text) external _vstack_size
00007ff80b64f108 (__TEXT,__text) external _vstack_top
00007ff80b64fc7b (__TEXT,__text) non-external _vstack_top.cold.1
00007ff80b64fc9c (__TEXT,__text) non-external _vstack_top.cold.2
