
/System/Library/PrivateFrameworks/CoreCDPUI.framework/PlugIns/CDPFollowUpExtension.appex/Contents/MacOS/CDPFollowUpExtension (for architecture x86_64):
00000001000032f8 (__TEXT,__const) external _CDPFollowUpExtensionVersionNumber
00000001000032c0 (__TEXT,__const) external _CDPFollowUpExtensionVersionString
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_activity_scope_enter (from libSystem)
                 (undefined) external _os_activity_scope_leave (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)

/System/Library/PrivateFrameworks/CoreCDPUI.framework/PlugIns/CDPFollowUpExtension.appex/Contents/MacOS/CDPFollowUpExtension (for architecture arm64e):
0000000100007318 (__TEXT,__const) external _CDPFollowUpExtensionVersionNumber
00000001000072e0 (__TEXT,__const) external _CDPFollowUpExtensionVersionString
                 (undefined) external _CDPFollowUpItemUserInfoKeyAltDSID (from CoreCDP)
                 (undefined) external _NSExtensionMain (from Foundation)
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_CDPAccount (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_CDPFollowUpContext (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_CDPFollowUpController (from CoreCDP)
000000010000c3a0 (__DATA,__objc_data) external _OBJC_CLASS_$_CDPFollowUpViewController
                 (undefined) external _OBJC_CLASS_$_CDPStateController (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_CDPStateUIController (from CoreCDPUI)
                 (undefined) external _OBJC_CLASS_$_CDPUIDeviceToDeviceEncryptionFlowContext (from CoreCDPUI)
                 (undefined) external _OBJC_CLASS_$_CDPUIDeviceToDeviceEncryptionHelper (from CoreCDPUI)
                 (undefined) external _OBJC_CLASS_$_CDPUtilities (from CoreCDP)
                 (undefined) external _OBJC_CLASS_$_FLExtensionViewController (from CoreFollowUpUI)
                 (undefined) external _OBJC_CLASS_$_NSImage (from AppKit)
000000010000c3c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CDPFollowUpViewController
                 (undefined) external _OBJC_METACLASS_$_FLExtensionViewController (from CoreFollowUpUI)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __CDPLogSystem (from CoreCDPUI)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_activity_create (from libSystem)
                 (undefined) external __os_activity_current (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) external _abort_report_np (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kConfirmExistingSecretActionContinue (from CoreCDPInternal)
                 (undefined) external _kOfflineLocalSecretChangeActionContinue (from CoreCDPInternal)
                 (undefined) external _kOfflineLocalSecretCreateActionContinue (from CoreCDPInternal)
                 (undefined) external _kRepairCDPStateActionContinue (from CoreCDPInternal)
                 (undefined) external _kRepairCDPStateActionRecoveryKey (from CoreCDPInternal)
                 (undefined) external _kSecureTermsActionContinue (from CoreCDPInternal)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_getClass (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_activity_scope_enter (from libSystem)
                 (undefined) external _os_activity_scope_leave (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
