                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80bdc1045 (__TEXT,__text) non-external _au_assemble
00007ff80bdcd70d (__TEXT,__text) external _audit_set_cond
00007ff80bdcdc9f (__TEXT,__text) external _audit_set_fsize
00007ff80bdcdb79 (__TEXT,__text) external _audit_set_kaudit
00007ff80bdcdc3d (__TEXT,__text) external _audit_set_kmask
00007ff80bdcdcd0 (__TEXT,__text) external _audit_set_pmask
00007ff80bdcd7d5 (__TEXT,__text) external _audit_set_policy
00007ff80bdcda7e (__TEXT,__text) external _audit_set_qctrl
00007ff80bdcd850 (__TEXT,__text) external _audit_set_sflags
00007ff80bdcd924 (__TEXT,__text) external _audit_set_sflags_mask
00007ff80bdcdd94 (__TEXT,__text) external _audit_set_stat
00007ff80bdcd0f1 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80bdcd00c (__TEXT,__text) external _audit_set_terminal_id
00007ff80bdcd172 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80bdcd041 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80bdccbc4 (__TEXT,__text) external _audit_submit
00007ff80bdc053c (__TEXT,__text) external _audit_token_to_asid
00007ff80bdc0584 (__TEXT,__text) external _audit_token_to_au32
00007ff80bdc0560 (__TEXT,__text) external _audit_token_to_auid
00007ff80bdc0569 (__TEXT,__text) external _audit_token_to_egid
00007ff80bdc054e (__TEXT,__text) external _audit_token_to_euid
00007ff80bdc0545 (__TEXT,__text) external _audit_token_to_pid
00007ff80bdc057b (__TEXT,__text) external _audit_token_to_pidversion
00007ff80bdc0572 (__TEXT,__text) external _audit_token_to_rgid
00007ff80bdc0557 (__TEXT,__text) external _audit_token_to_ruid
00007ff80bdcd1a7 (__TEXT,__text) external _audit_write
00007ff80bdcd48b (__TEXT,__text) external _audit_write_failure
00007ff80bdcd54f (__TEXT,__text) external _audit_write_failure_ex
00007ff80bdcd6b1 (__TEXT,__text) external _audit_write_failure_na
00007ff80bdcd6df (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80bdcd613 (__TEXT,__text) external _audit_write_failure_self
00007ff80bdcd332 (__TEXT,__text) external _audit_write_success
00007ff80bdcd3b6 (__TEXT,__text) external _audit_write_success_ex
00007ff80bdcd43a (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80bdc93f8 (__TEXT,__text) non-external _be64dec
00007ff80bdcf9c0 (__TEXT,__const) non-external _bsm_domains
00007ff8425882b0 (__DATA,__const) non-external _bsm_errnos
00007ff80bdcfc40 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80bdcfbf0 (__TEXT,__const) non-external _bsm_socket_types
00007ff80bdca294 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80bdc98cf (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80bdc1c0b (__TEXT,__text) external _endac
00007ff80bdc186b (__TEXT,__text) external _endauclass
00007ff80bdc259a (__TEXT,__text) external _endauevent
00007ff80bdcc74e (__TEXT,__text) external _endauuser
00007ff8425894e8 (__DATA,__bss) non-external _ev_cache
00007ff80bdc2a54 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80bdc4779 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80bdc32cc (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80bdc3341 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80bdc33b8 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80bdc345f (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80bdc47f8 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80bdc3561 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80bdc35e0 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80bdc351e (__TEXT,__text) non-external _fetch_exit_tok
00007ff80bdc365f (__TEXT,__text) non-external _fetch_file_tok
00007ff80bdc2f2b (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80bdc2e80 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80bdc311f (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80bdc305a (__TEXT,__text) non-external _fetch_header64_tok
00007ff80bdc48f0 (__TEXT,__text) non-external _fetch_identity_tok
00007ff80bdc3767 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80bdc3740 (__TEXT,__text) non-external _fetch_inaddr_tok
00007ff80bdc37d2 (__TEXT,__text) non-external _fetch_ip_tok
00007ff80bdc38f3 (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80bdc3934 (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80bdc39f4 (__TEXT,__text) non-external _fetch_iport_tok
00007ff80bdc4874 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80bdc36d6 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80bdc3a1d (__TEXT,__text) non-external _fetch_process32_tok
00007ff80bdc3b12 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80bdc3c4e (__TEXT,__text) non-external _fetch_process64_tok
00007ff80bdc3d62 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80bdc3ee3 (__TEXT,__text) non-external _fetch_return32_tok
00007ff80bdc3f24 (__TEXT,__text) non-external _fetch_return64_tok
00007ff80bdc4113 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80bdc4007 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80bdc406b (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80bdc3f67 (__TEXT,__text) non-external _fetch_socket_tok
00007ff80bdc4643 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80bdc417d (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80bdc4272 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80bdc43ae (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80bdc44c2 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80bdc3285 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff8425894e0 (__DATA,__bss) non-external _firsttime
00007ff80bdca0fe (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff842588fa0 (__DATA,__bss) non-external _fp
00007ff8425890b0 (__DATA,__bss) non-external _fp
00007ff8425891c0 (__DATA,__bss) non-external _fp
00007ff842589500 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80bdc1c44 (__TEXT,__text) external _getacdir
00007ff80bdc2276 (__TEXT,__text) external _getacexpire
00007ff80bdc1e71 (__TEXT,__text) external _getacfilesz
00007ff80bdc1fc1 (__TEXT,__text) external _getacflg
00007ff80bdc21e8 (__TEXT,__text) external _getachost
00007ff80bdc1e0e (__TEXT,__text) external _getacmin
00007ff80bdc2047 (__TEXT,__text) external _getacna
00007ff80bdc20cd (__TEXT,__text) external _getacpol
00007ff80bdc215b (__TEXT,__text) external _getacsflagsmask
00007ff80bdc1602 (__TEXT,__text) external _getauclassent
00007ff842588ea8 (__DATA,__bss) non-external _getauclassent.c
00007ff842588e60 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff842588e50 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff842588ec0 (__DATA,__bss) non-external _getauclassent.cp
00007ff80bdc1466 (__TEXT,__text) external _getauclassent_r
00007ff80bdc149a (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80bdc173d (__TEXT,__text) external _getauclassnam
00007ff842588f18 (__DATA,__bss) non-external _getauclassnam.c
00007ff842588ed0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff842588ec8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80bdc16c6 (__TEXT,__text) external _getauclassnam_r
00007ff80bdc1806 (__TEXT,__text) external _getauclassnum
00007ff842588f88 (__DATA,__bss) non-external _getauclassnum.c
00007ff842588f40 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff842588f30 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80bdc17a3 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80bdc2b72 (__TEXT,__text) external _getauditflagsbin
00007ff80bdc2ce1 (__TEXT,__text) external _getauditflagschar
00007ff80bdc26a4 (__TEXT,__text) external _getauevent
00007ff842589228 (__DATA,__bss) non-external _getauevent.e
00007ff8425891f0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff8425891d0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80bdc25d3 (__TEXT,__text) external _getauevent_r
00007ff80bdc27fb (__TEXT,__text) external _getauevnam
00007ff8425892a8 (__DATA,__bss) non-external _getauevnam.e
00007ff842589270 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff842589250 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80bdc270e (__TEXT,__text) external _getauevnam_r
00007ff80bdc2a40 (__TEXT,__text) external _getauevnonam
00007ff8425893d0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80bdc29ae (__TEXT,__text) external _getauevnonam_r
00007ff8425893a8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff8425893c8 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff842589370 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff842589350 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80bdc2942 (__TEXT,__text) external _getauevnum
00007ff842589328 (__DATA,__bss) non-external _getauevnum.e
00007ff8425892f0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff8425892d0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80bdc2868 (__TEXT,__text) external _getauevnum_r
00007ff80bdcc917 (__TEXT,__text) external _getauuserent
00007ff842589548 (__DATA,__bss) non-external _getauuserent.u
00007ff842589510 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80bdcc787 (__TEXT,__text) external _getauuserent_r
00007ff80bdcc7bb (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80bdcc9f9 (__TEXT,__text) external _getauusernam
00007ff842589598 (__DATA,__bss) non-external _getauusernam.u
00007ff842589560 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80bdcc98e (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80bdccb03 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80bdc1cc5 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff842588fb0 (__DATA,__bss) non-external _linestr
00007ff8425890c0 (__DATA,__bss) non-external _linestr
00007ff8425893e0 (__DATA,__bss) non-external _linestr
00007ff8425895b0 (__DATA,__bss) non-external _linestr
00007ff80bdca03f (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff842588c20 (__DATA,__data) non-external _mutex
00007ff842588c60 (__DATA,__data) non-external _mutex
00007ff842588ca0 (__DATA,__data) non-external _mutex
00007ff842588ce0 (__DATA,__data) non-external _mutex
00007ff842588d20 (__DATA,__data) non-external _mutex
00007ff842588d60 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff842588db0 (__DATA,__bss) non-external _open_desc_table
00007ff80bdc9778 (__TEXT,__text) non-external _print_event
00007ff80bdc9da5 (__TEXT,__text) non-external _print_group
00007ff80bdc9b44 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80bdc9e4e (__TEXT,__text) non-external _print_ipctype
00007ff80bdc9de8 (__TEXT,__text) non-external _print_mem
00007ff80bdc9eb5 (__TEXT,__text) non-external _print_retval
00007ff80bdc983e (__TEXT,__text) non-external _print_sec32
00007ff80bdc9bee (__TEXT,__text) non-external _print_sec64
00007ff80bdc9c7e (__TEXT,__text) non-external _print_string
00007ff80bdc9404 (__TEXT,__text) non-external _print_tok_type
00007ff80bdc9d62 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80bdc1b6f (__TEXT,__text) external _setac
00007ff80bdc1b97 (__TEXT,__text) non-external _setac_locked
00007ff8425890b8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80bdc1694 (__TEXT,__text) external _setauclass
00007ff80bdc2568 (__TEXT,__text) external _setauevent
00007ff80bdcc71c (__TEXT,__text) external _setauuser
00007ff80bdc2446 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff8425894f0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
