                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff8109dba86 (__TEXT,__text) external ___absvdi2
00007ff8109dbcac (__TEXT,__text) external ___atomic_is_lock_free
00007ff8109dbd00 (__TEXT,__text) external ___atomic_load
00007ff8109dc300 (__TEXT,__text) external ___atomic_load_1
00007ff8109dc311 (__TEXT,__text) external ___atomic_load_2
00007ff8109dc323 (__TEXT,__text) external ___atomic_load_4
00007ff8109dc331 (__TEXT,__text) external ___atomic_load_8
00007ff8109dbdfc (__TEXT,__text) external ___atomic_store
00007ff8109dc340 (__TEXT,__text) external ___atomic_store_1
00007ff8109dc352 (__TEXT,__text) external ___atomic_store_2
00007ff8109dc364 (__TEXT,__text) external ___atomic_store_4
00007ff8109dc374 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff8109dcda8 (__TEXT,__text) external ___clear_cache
00007ff8109dcda9 (__TEXT,__text) external ___clzdi2
00007ff8109dcdd9 (__TEXT,__text) external ___clzsi2
00007ff8109dce49 (__TEXT,__text) external ___clzti2
00007ff8109dce67 (__TEXT,__text) external ___cmpdi2
00007ff8109dce93 (__TEXT,__text) external ___cmpti2
00007ff8109df01c (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff8109dceb4 (__TEXT,__text) external ___ctzdi2
00007ff8109dced2 (__TEXT,__text) external ___ctzsi2
00007ff8109dcf36 (__TEXT,__text) external ___ctzti2
00007ff8109dcf51 (__TEXT,__text) external ___divdc3
00007ff8109db9fb (__TEXT,__text) external ___divdi3
00007ff8109dd585 (__TEXT,__text) external ___divsc3
00007ff8109dba36 (__TEXT,__text) external ___divti3
00007ff8109ddb36 (__TEXT,__text) external ___divxc3
00007ff8109de002 (__TEXT,__text) external ___enable_execute_stack
00007ff8109de023 (__TEXT,__text) external ___extendhfsf2
00007ff8109de091 (__TEXT,__text) external ___ffsdi2
00007ff8109de0ab (__TEXT,__text) external ___ffsti2
00007ff8109de0c7 (__TEXT,__text) external ___fixdfdi
00007ff8109de0e8 (__TEXT,__text) external ___fixdfti
00007ff8109de19d (__TEXT,__text) external ___fixsfdi
00007ff8109de1bb (__TEXT,__text) external ___fixsfti
00007ff8109db8e8 (__TEXT,__text) external ___fixunsdfdi
00007ff8109de25d (__TEXT,__text) external ___fixunsdfsi
00007ff8109de2b2 (__TEXT,__text) external ___fixunsdfti
00007ff8109de335 (__TEXT,__text) external ___fixunssfdi
00007ff8109de37a (__TEXT,__text) external ___fixunssfsi
00007ff8109de3d0 (__TEXT,__text) external ___fixunssfti
00007ff8109db92b (__TEXT,__text) external ___fixunsxfdi
00007ff8109de449 (__TEXT,__text) external ___fixunsxfsi
00007ff8109de4c4 (__TEXT,__text) external ___fixunsxfti
00007ff8109de57c (__TEXT,__text) external ___fixxfdi
00007ff8109de616 (__TEXT,__text) external ___fixxfti
00007ff8109de6f9 (__TEXT,__text) external ___floatdidf
00007ff8109de6ff (__TEXT,__text) external ___floatdisf
00007ff8109de705 (__TEXT,__text) external ___floatdixf
00007ff8109de70f (__TEXT,__text) external ___floattidf
00007ff8109de826 (__TEXT,__text) external ___floattisf
00007ff8109de911 (__TEXT,__text) external ___floattixf
00007ff8109dea40 (__TEXT,__text) external ___floatundidf
00007ff8109dea6c (__TEXT,__text) external ___floatundisf
00007ff8109dea98 (__TEXT,__text) external ___floatundixf
00007ff8109deaae (__TEXT,__text) external ___floatuntidf
00007ff8109debb6 (__TEXT,__text) external ___floatuntisf
00007ff8109dec7e (__TEXT,__text) external ___floatuntixf
00007ff8109ded84 (__TEXT,__text) external ___gcc_personality_v0
00007ff8109e0560 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff8109de08c (__TEXT,__text) external ___gnu_h2f_ieee
00007ff8109df034 (__TEXT,__text) external ___lshrdi3
00007ff8109df062 (__TEXT,__text) external ___lshrti3
00007ff8109db9aa (__TEXT,__text) external ___moddi3
00007ff8109df08a (__TEXT,__text) external ___modti3
00007ff8109df0f2 (__TEXT,__text) external ___muldc3
00007ff8109df2b2 (__TEXT,__text) external ___muldi3
00007ff8109df337 (__TEXT,__text) external ___mulodi4
00007ff8109df3ce (__TEXT,__text) external ___mulosi4
00007ff8109df447 (__TEXT,__text) external ___muloti4
00007ff8109df553 (__TEXT,__text) external ___mulsc3
00007ff8109df729 (__TEXT,__text) external ___multi3
00007ff8109df788 (__TEXT,__text) external ___mulvdi3
00007ff8109df890 (__TEXT,__text) external ___mulvsi3
00007ff8109df96e (__TEXT,__text) external ___mulvti3
00007ff8109dfaf5 (__TEXT,__text) external ___mulxc3
00007ff8109dff2e (__TEXT,__text) external ___negdi2
00007ff8109dff35 (__TEXT,__text) external ___negti2
00007ff8109dff41 (__TEXT,__text) external ___negvdi2
00007ff8109dff63 (__TEXT,__text) external ___negvsi2
00007ff8109dff83 (__TEXT,__text) external ___negvti2
00007ff8109dffb5 (__TEXT,__text) external ___paritydi2
00007ff8109dffe4 (__TEXT,__text) external ___paritysi2
00007ff8109e000a (__TEXT,__text) external ___parityti2
00007ff8109e003c (__TEXT,__text) external ___popcountdi2
00007ff8109e009e (__TEXT,__text) external ___popcountsi2
00007ff8109e00d7 (__TEXT,__text) external ___popcountti2
00007ff8109e0165 (__TEXT,__text) external ___powidf2
00007ff8109e01b9 (__TEXT,__text) external ___powisf2
00007ff8109e020a (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff8109e0268 (__TEXT,__text) external ___subvdi3
00007ff8109e02b0 (__TEXT,__text) external ___subvsi3
00007ff8109e02f3 (__TEXT,__text) external ___subvti3
00007ff8109e0347 (__TEXT,__text) external ___truncdfhf2
00007ff8109e0474 (__TEXT,__text) external ___truncsfhf2
00007ff8109e0565 (__TEXT,__text) external ___ucmpdi2
00007ff8109e0594 (__TEXT,__text) external ___ucmpti2
00007ff8109db7f8 (__TEXT,__text) external ___udivdi3
00007ff8109e05b5 (__TEXT,__text) external ___udivmoddi4
00007ff8109db738 (__TEXT,__text) external ___udivmodti4
00007ff8109db730 (__TEXT,__text) external ___udivti3
00007ff8109db872 (__TEXT,__text) external ___umoddi3
00007ff8109e07c8 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff8109dccf8 (__TEXT,__text) external _atomic_flag_clear
00007ff8109dccfd (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff8109dcd10 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff8109dcd18 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff8109dcd4c (__TEXT,__text) external _atomic_signal_fence
00007ff8109dcd78 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff843e9f570 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff8109def1d (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff8109e1350 (__TEXT,__const) non-external two
00007ff8109e1320 (__TEXT,__const) non-external twop52
00007ff8109e1360 (__TEXT,__const) non-external twop64
00007ff8109e1340 (__TEXT,__const) non-external twop84
00007ff8109e1330 (__TEXT,__const) non-external twop84_plus_twop52
