00007fff20c0e1cf (__TEXT,__text) external _APL_dgemm
00007fff20b3584c (__TEXT,__text) external _DGEMM
00007fff20b3584c (__TEXT,__text) external _DGEMM_
00007fff20b37e5a (__TEXT,__text) external _DGEMV
00007fff20b37e5a (__TEXT,__text) external _DGEMV_
00007fff20b387d3 (__TEXT,__text) external _DGER
00007fff20b387d3 (__TEXT,__text) external _DGER_
00007fff20b3a501 (__TEXT,__text) external _DNRM2
00007fff20b3a501 (__TEXT,__text) external _DNRM2_
00007fff20b3a50f (__TEXT,__text) external _DROT
00007fff20b3a530 (__TEXT,__text) external _DROTG
00007fff20b3a530 (__TEXT,__text) external _DROTG_
00007fff20b3a53d (__TEXT,__text) external _DROTM
00007fff20b3a551 (__TEXT,__text) external _DROTMG
00007fff20b3a551 (__TEXT,__text) external _DROTMG_
00007fff20b3a53d (__TEXT,__text) external _DROTM_
00007fff20b3a50f (__TEXT,__text) external _DROT_
00007fff20b38075 (__TEXT,__text) external _DSBMV
00007fff20b38075 (__TEXT,__text) external _DSBMV_
00007fff20b3a565 (__TEXT,__text) external _DSCAL
00007fff20b3a565 (__TEXT,__text) external _DSCAL_
00007fff20b3a5ae (__TEXT,__text) external _DSDOT
00007fff20b3a5ae (__TEXT,__text) external _DSDOT_
00007fff20b3811c (__TEXT,__text) external _DSPMV
00007fff20b3811c (__TEXT,__text) external _DSPMV_
00007fff20b38921 (__TEXT,__text) external _DSPR
00007fff20b38990 (__TEXT,__text) external _DSPR2
00007fff20b38990 (__TEXT,__text) external _DSPR2_
00007fff20b38921 (__TEXT,__text) external _DSPR_
00007fff20b3a57f (__TEXT,__text) external _DSWAP
00007fff20b3a57f (__TEXT,__text) external _DSWAP_
00007fff20b3595f (__TEXT,__text) external _DSYMM
00007fff20b3595f (__TEXT,__text) external _DSYMM_
00007fff20b37fdc (__TEXT,__text) external _DSYMV
00007fff20b37fdc (__TEXT,__text) external _DSYMV_
00007fff20b38818 (__TEXT,__text) external _DSYR
00007fff20b38890 (__TEXT,__text) external _DSYR2
00007fff20b35df6 (__TEXT,__text) external _DSYR2K
00007fff20b35df6 (__TEXT,__text) external _DSYR2K_
00007fff20b38890 (__TEXT,__text) external _DSYR2_
00007fff20b35d07 (__TEXT,__text) external _DSYRK
00007fff20b35d07 (__TEXT,__text) external _DSYRK_
00007fff20b38818 (__TEXT,__text) external _DSYR_
00007fff20b382ae (__TEXT,__text) external _DTBMV
00007fff20b382ae (__TEXT,__text) external _DTBMV_
00007fff20b385c6 (__TEXT,__text) external _DTBSV
00007fff20b385c6 (__TEXT,__text) external _DTBSV_
00007fff20b383c1 (__TEXT,__text) external _DTPMV
00007fff20b383c1 (__TEXT,__text) external _DTPMV_
00007fff20b386d9 (__TEXT,__text) external _DTPSV
00007fff20b386d9 (__TEXT,__text) external _DTPSV_
00007fff20b35a47 (__TEXT,__text) external _DTRMM
00007fff20b35a47 (__TEXT,__text) external _DTRMM_
00007fff20b381a3 (__TEXT,__text) external _DTRMV
00007fff20b381a3 (__TEXT,__text) external _DTRMV_
00007fff20b35ba7 (__TEXT,__text) external _DTRSM
00007fff20b35ba7 (__TEXT,__text) external _DTRSM_
00007fff20b384bb (__TEXT,__text) external _DTRSV
00007fff20b384bb (__TEXT,__text) external _DTRSV_
00007fff20b3a6f6 (__TEXT,__text) external _DZASUM
00007fff20b3a6f6 (__TEXT,__text) external _DZASUM_
00007fff20b3a704 (__TEXT,__text) external _DZNRM2
00007fff20b3a704 (__TEXT,__text) external _DZNRM2_
00007fff20b3a46a (__TEXT,__text) external _ICAMAX
00007fff20b3a46a (__TEXT,__text) external _ICAMAX_
00007fff20b3a593 (__TEXT,__text) external _IDAMAX
00007fff20b3a593 (__TEXT,__text) external _IDAMAX_
00007fff20b3a5bf (__TEXT,__text) external _ISAMAX
00007fff20b3a5bf (__TEXT,__text) external _ISAMAX_
00007fff20b3a712 (__TEXT,__text) external _IZAMAX
00007fff20b3a712 (__TEXT,__text) external _IZAMAX_
00007fff20b3a5da (__TEXT,__text) external _SASUM
00007fff20b3a5da (__TEXT,__text) external _SASUM_
00007fff20b3a5ed (__TEXT,__text) external _SAXPY
00007fff20b3a5ed (__TEXT,__text) external _SAXPY_
00007fff20b3a485 (__TEXT,__text) external _SCASUM
00007fff20b3a485 (__TEXT,__text) external _SCASUM_
00007fff20b3a498 (__TEXT,__text) external _SCNRM2
00007fff20b3a498 (__TEXT,__text) external _SCNRM2_
00007fff20b3a610 (__TEXT,__text) external _SCOPY
00007fff20b3a610 (__TEXT,__text) external _SCOPY_
00007fff20b3a624 (__TEXT,__text) external _SDOT
00007fff20b3a624 (__TEXT,__text) external _SDOT_
00007fff20b3a63a (__TEXT,__text) external _SDSDOT
00007fff20b3a63a (__TEXT,__text) external _SDSDOT_
00007fff20b37354 (__TEXT,__text) external _SGBMV
00007fff20b37354 (__TEXT,__text) external _SGBMV_
00007fff20b351a6 (__TEXT,__text) external _SGEMM
00007fff20b351a6 (__TEXT,__text) external _SGEMM_
00007fff20b3729c (__TEXT,__text) external _SGEMV
00007fff20b3729c (__TEXT,__text) external _SGEMV_
00007fff20b37c1e (__TEXT,__text) external _SGER
00007fff20b37c1e (__TEXT,__text) external _SGER_
00007fff20b3a65f (__TEXT,__text) external _SNRM2
00007fff20b3a65f (__TEXT,__text) external _SNRM2_
00007fff20b3a672 (__TEXT,__text) external _SROT
00007fff20b3a693 (__TEXT,__text) external _SROTG
00007fff20b3a693 (__TEXT,__text) external _SROTG_
00007fff20b3a6a0 (__TEXT,__text) external _SROTM
00007fff20b3a6b4 (__TEXT,__text) external _SROTMG
00007fff20b3a6b4 (__TEXT,__text) external _SROTMG_
00007fff20b3a6a0 (__TEXT,__text) external _SROTM_
00007fff20b3a672 (__TEXT,__text) external _SROT_
00007fff20b374c0 (__TEXT,__text) external _SSBMV
00007fff20b374c0 (__TEXT,__text) external _SSBMV_
00007fff20b3a6c8 (__TEXT,__text) external _SSCAL
00007fff20b3a6c8 (__TEXT,__text) external _SSCAL_
00007fff20b37567 (__TEXT,__text) external _SSPMV
00007fff20b37567 (__TEXT,__text) external _SSPMV_
00007fff20b37d6c (__TEXT,__text) external _SSPR
00007fff20b37ddb (__TEXT,__text) external _SSPR2
00007fff20b37ddb (__TEXT,__text) external _SSPR2_
00007fff20b37d6c (__TEXT,__text) external _SSPR_
00007fff20b3a6e2 (__TEXT,__text) external _SSWAP
00007fff20b3a6e2 (__TEXT,__text) external _SSWAP_
00007fff20b352b9 (__TEXT,__text) external _SSYMM
00007fff20b352b9 (__TEXT,__text) external _SSYMM_
00007fff20b37427 (__TEXT,__text) external _SSYMV
00007fff20b37427 (__TEXT,__text) external _SSYMV_
00007fff20b37c63 (__TEXT,__text) external _SSYR
00007fff20b37cdb (__TEXT,__text) external _SSYR2
00007fff20b35750 (__TEXT,__text) external _SSYR2K
00007fff20b35750 (__TEXT,__text) external _SSYR2K_
00007fff20b37cdb (__TEXT,__text) external _SSYR2_
00007fff20b35661 (__TEXT,__text) external _SSYRK
00007fff20b35661 (__TEXT,__text) external _SSYRK_
00007fff20b37c63 (__TEXT,__text) external _SSYR_
00007fff20b376f9 (__TEXT,__text) external _STBMV
00007fff20b376f9 (__TEXT,__text) external _STBMV_
00007fff20b37a11 (__TEXT,__text) external _STBSV
00007fff20b37a11 (__TEXT,__text) external _STBSV_
00007fff20b3780c (__TEXT,__text) external _STPMV
00007fff20b3780c (__TEXT,__text) external _STPMV_
00007fff20b37b24 (__TEXT,__text) external _STPSV
00007fff20b37b24 (__TEXT,__text) external _STPSV_
00007fff20b353a1 (__TEXT,__text) external _STRMM
00007fff20b353a1 (__TEXT,__text) external _STRMM_
00007fff20b375ee (__TEXT,__text) external _STRMV
00007fff20b375ee (__TEXT,__text) external _STRMV_
00007fff20b35501 (__TEXT,__text) external _STRSM
00007fff20b35501 (__TEXT,__text) external _STRSM_
00007fff20b37906 (__TEXT,__text) external _STRSV
00007fff20b37906 (__TEXT,__text) external _STRSV_
00007fff20cb4762 (__TEXT,__text) external _SetBLASParamErrorProc
00007fff20b3511e (__TEXT,__text) external _XERBLA
00007fff20b3511e (__TEXT,__text) external _XERBLA_
00007fff20b3a72d (__TEXT,__text) external _ZAXPY
00007fff20b3a72d (__TEXT,__text) external _ZAXPY_
00007fff20b3a741 (__TEXT,__text) external _ZCOPY
00007fff20b3a741 (__TEXT,__text) external _ZCOPY_
00007fff20b3a755 (__TEXT,__text) external _ZDOTC
00007fff20b3a755 (__TEXT,__text) external _ZDOTC_
00007fff20b3a777 (__TEXT,__text) external _ZDOTU
00007fff20b3a777 (__TEXT,__text) external _ZDOTU_
00007fff20b3a7b7 (__TEXT,__text) external _ZDROT
00007fff20b3a7b7 (__TEXT,__text) external _ZDROT_
00007fff20b3a7d8 (__TEXT,__text) external _ZDSCAL
00007fff20b3a7d8 (__TEXT,__text) external _ZDSCAL_
00007fff20b3979f (__TEXT,__text) external _ZGBMV
00007fff20b3979f (__TEXT,__text) external _ZGBMV_
00007fff20b368c7 (__TEXT,__text) external _ZGEMM
00007fff20b368c7 (__TEXT,__text) external _ZGEMM_
00007fff20b396d0 (__TEXT,__text) external _ZGEMV
00007fff20b396d0 (__TEXT,__text) external _ZGEMV_
00007fff20b3a0f4 (__TEXT,__text) external _ZGERC
00007fff20b3a0f4 (__TEXT,__text) external _ZGERC_
00007fff20b3a144 (__TEXT,__text) external _ZGERU
00007fff20b3a144 (__TEXT,__text) external _ZGERU_
00007fff20b39918 (__TEXT,__text) external _ZHBMV
00007fff20b39918 (__TEXT,__text) external _ZHBMV_
00007fff20b369f0 (__TEXT,__text) external _ZHEMM
00007fff20b369f0 (__TEXT,__text) external _ZHEMM_
00007fff20b39880 (__TEXT,__text) external _ZHEMV
00007fff20b39880 (__TEXT,__text) external _ZHEMV_
00007fff20b3a194 (__TEXT,__text) external _ZHER
00007fff20b3a20c (__TEXT,__text) external _ZHER2
00007fff20b3707b (__TEXT,__text) external _ZHER2K
00007fff20b3707b (__TEXT,__text) external _ZHER2K_
00007fff20b3a20c (__TEXT,__text) external _ZHER2_
00007fff20b36e7c (__TEXT,__text) external _ZHERK
00007fff20b36e7c (__TEXT,__text) external _ZHERK_
00007fff20b3a194 (__TEXT,__text) external _ZHER_
00007fff20b399bc (__TEXT,__text) external _ZHPMV
00007fff20b399bc (__TEXT,__text) external _ZHPMV_
00007fff20b3a29d (__TEXT,__text) external _ZHPR
00007fff20b3a30c (__TEXT,__text) external _ZHPR2
00007fff20b3a30c (__TEXT,__text) external _ZHPR2_
00007fff20b3a29d (__TEXT,__text) external _ZHPR_
00007fff20b3a799 (__TEXT,__text) external _ZROTG
00007fff20b3a799 (__TEXT,__text) external _ZROTG_
00007fff20b3a7a6 (__TEXT,__text) external _ZSCAL
00007fff20b3a7a6 (__TEXT,__text) external _ZSCAL_
00007fff20b3a7f2 (__TEXT,__text) external _ZSWAP
00007fff20b3a7f2 (__TEXT,__text) external _ZSWAP_
00007fff20b36ad1 (__TEXT,__text) external _ZSYMM
00007fff20b36ad1 (__TEXT,__text) external _ZSYMM_
00007fff20b3718d (__TEXT,__text) external _ZSYR2K
00007fff20b3718d (__TEXT,__text) external _ZSYR2K_
00007fff20b36f85 (__TEXT,__text) external _ZSYRK
00007fff20b36f85 (__TEXT,__text) external _ZSYRK_
00007fff20b39b61 (__TEXT,__text) external _ZTBMV
00007fff20b39b61 (__TEXT,__text) external _ZTBMV_
00007fff20b39ebb (__TEXT,__text) external _ZTBSV
00007fff20b39ebb (__TEXT,__text) external _ZTBSV_
00007fff20b39c8a (__TEXT,__text) external _ZTPMV
00007fff20b39c8a (__TEXT,__text) external _ZTPMV_
00007fff20b39fe4 (__TEXT,__text) external _ZTPSV
00007fff20b39fe4 (__TEXT,__text) external _ZTPSV_
00007fff20b36bb2 (__TEXT,__text) external _ZTRMM
00007fff20b36bb2 (__TEXT,__text) external _ZTRMM_
00007fff20b39a40 (__TEXT,__text) external _ZTRMV
00007fff20b39a40 (__TEXT,__text) external _ZTRMV_
00007fff20b36d17 (__TEXT,__text) external _ZTRSM
00007fff20b36d17 (__TEXT,__text) external _ZTRSM_
00007fff20b39d9a (__TEXT,__text) external _ZTRSV
00007fff20b39d9a (__TEXT,__text) external _ZTRSV_
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007fff20ca1030 (__TEXT,__text) external _appleblas_dgeadd
00007fff20ca35dd (__TEXT,__text) external _appleblas_sgeadd
00007fff20b4eb9a (__TEXT,__text) external _catlas_caxpby
00007fff20c6f2ba (__TEXT,__text) external _catlas_cset
00007fff20c10e06 (__TEXT,__text) external _catlas_daxpby
00007fff20c10f05 (__TEXT,__text) external _catlas_dset
00007fff20b5a17d (__TEXT,__text) external _catlas_saxpby
00007fff20b5a295 (__TEXT,__text) external _catlas_sset
00007fff20c1c8d4 (__TEXT,__text) external _catlas_zaxpby
00007fff20b98a80 (__TEXT,__text) external _catlas_zset
00007fff20b3a391 (__TEXT,__text) external _caxpy
00007fff20b3a391 (__TEXT,__text) external _caxpy_
00007fff20c1c590 (__TEXT,__text) external _cblas_caxpy
00007fff20b6bf44 (__TEXT,__text) external _cblas_ccopy
00007fff20ba5d7a (__TEXT,__text) external _cblas_cdotc_sub
00007fff20bc689e (__TEXT,__text) external _cblas_cdotu_sub
00007fff20c9f147 (__TEXT,__text) external _cblas_cgbmv
00007fff20be26c9 (__TEXT,__text) external _cblas_cgemm
00007fff20ca01c0 (__TEXT,__text) external _cblas_cgemv
00007fff20c4e6a9 (__TEXT,__text) external _cblas_cgerc
00007fff20bf7050 (__TEXT,__text) external _cblas_cgeru
00007fff20ca44e3 (__TEXT,__text) external _cblas_chbmv
00007fff20c20470 (__TEXT,__text) external _cblas_chemm
00007fff20ca4e9f (__TEXT,__text) external _cblas_chemv
00007fff20c45d1f (__TEXT,__text) external _cblas_cher
00007fff20ca5c4b (__TEXT,__text) external _cblas_cher2
00007fff20c6efe5 (__TEXT,__text) external _cblas_cher2k
00007fff20c0622e (__TEXT,__text) external _cblas_cherk
00007fff20ca65dd (__TEXT,__text) external _cblas_chpmv
00007fff20ca771e (__TEXT,__text) external _cblas_chpr
00007fff20ca6d3f (__TEXT,__text) external _cblas_chpr2
00007fff20cabd49 (__TEXT,__text) external _cblas_crotg
00007fff20c4d095 (__TEXT,__text) external _cblas_cscal
00007fff20c37fca (__TEXT,__text) external _cblas_csrot
00007fff20b97cdb (__TEXT,__text) external _cblas_csscal
00007fff20ba71cf (__TEXT,__text) external _cblas_cswap
00007fff20c166bb (__TEXT,__text) external _cblas_csymm
00007fff20c14f49 (__TEXT,__text) external _cblas_csyr2k
00007fff20b77df7 (__TEXT,__text) external _cblas_csyrk
00007fff20ca7b25 (__TEXT,__text) external _cblas_ctbmv
00007fff20ca848f (__TEXT,__text) external _cblas_ctbsv
00007fff20ca8f92 (__TEXT,__text) external _cblas_ctpmv
00007fff20ca97aa (__TEXT,__text) external _cblas_ctpsv
00007fff20c95718 (__TEXT,__text) external _cblas_ctrmm
00007fff20caa528 (__TEXT,__text) external _cblas_ctrmv
00007fff20bf3066 (__TEXT,__text) external _cblas_ctrsm
00007fff20cab03d (__TEXT,__text) external _cblas_ctrsv
00007fff20c10d45 (__TEXT,__text) external _cblas_dasum
00007fff20c10d79 (__TEXT,__text) external _cblas_daxpy
00007fff20c10e78 (__TEXT,__text) external _cblas_dcopy
00007fff20c10ce9 (__TEXT,__text) external _cblas_ddot
00007fff20b7f730 (__TEXT,__text) external _cblas_dgbmv
00007fff20c6fdf2 (__TEXT,__text) external _cblas_dgemm
00007fff20b34cc0 (__TEXT,__text) external _cblas_dgemv
00007fff20b31592 (__TEXT,__text) external _cblas_dger
00007fff20c10eea (__TEXT,__text) external _cblas_dnrm2
00007fff20c10fbe (__TEXT,__text) external _cblas_drot
00007fff20ca39ec (__TEXT,__text) external _cblas_drotg
00007fff20c1106b (__TEXT,__text) external _cblas_drotm
00007fff20ca3b1b (__TEXT,__text) external _cblas_drotmg
00007fff20b87e6e (__TEXT,__text) external _cblas_dsbmv
00007fff20b3155e (__TEXT,__text) external _cblas_dscal
00007fff20b59fe7 (__TEXT,__text) external _cblas_dsdot
00007fff20b5017a (__TEXT,__text) external _cblas_dspmv
00007fff20c4db29 (__TEXT,__text) external _cblas_dspr
00007fff20bcb8db (__TEXT,__text) external _cblas_dspr2
00007fff20c10f33 (__TEXT,__text) external _cblas_dswap
00007fff20b4f21c (__TEXT,__text) external _cblas_dsymm
00007fff20bf3f9c (__TEXT,__text) external _cblas_dsymv
00007fff20b7e67b (__TEXT,__text) external _cblas_dsyr
00007fff20b7e740 (__TEXT,__text) external _cblas_dsyr2
00007fff20c151f3 (__TEXT,__text) external _cblas_dsyr2k
00007fff20c4d1c6 (__TEXT,__text) external _cblas_dsyrk
00007fff20b5f140 (__TEXT,__text) external _cblas_dtbmv
00007fff20b9eb57 (__TEXT,__text) external _cblas_dtbsv
00007fff20c358c2 (__TEXT,__text) external _cblas_dtpmv
00007fff20baccac (__TEXT,__text) external _cblas_dtpsv
00007fff20c5e9bc (__TEXT,__text) external _cblas_dtrmm
00007fff20b31ecf (__TEXT,__text) external _cblas_dtrmv
00007fff20b5131a (__TEXT,__text) external _cblas_dtrsm
00007fff20b7c8e5 (__TEXT,__text) external _cblas_dtrsv
00007fff20b5fea2 (__TEXT,__text) external _cblas_dzasum
00007fff20cabe33 (__TEXT,__text) external _cblas_dznrm2
00007fff20cb47df (__TEXT,__text) external _cblas_errprn
00007fff20b89279 (__TEXT,__text) external _cblas_icamax
00007fff20b31220 (__TEXT,__text) external _cblas_idamax
00007fff20c5287d (__TEXT,__text) external _cblas_isamax
00007fff20ba6f41 (__TEXT,__text) external _cblas_izamax
00007fff20b5a0be (__TEXT,__text) external _cblas_sasum
00007fff20b5a0f2 (__TEXT,__text) external _cblas_saxpy
00007fff20c835ad (__TEXT,__text) external _cblas_scasum
00007fff20bf9be1 (__TEXT,__text) external _cblas_scnrm2
00007fff20b5a1ef (__TEXT,__text) external _cblas_scopy
00007fff20b35033 (__TEXT,__text) external _cblas_sdot
00007fff20b5a043 (__TEXT,__text) external _cblas_sdsdot
00007fff20c7b1ff (__TEXT,__text) external _cblas_sgbmv
00007fff20b683c1 (__TEXT,__text) external _cblas_sgemm
00007fff20b34e8f (__TEXT,__text) external _cblas_sgemv
00007fff20c0e7d9 (__TEXT,__text) external _cblas_sger
00007fff20b34e74 (__TEXT,__text) external _cblas_snrm2
00007fff20b5a34e (__TEXT,__text) external _cblas_srot
00007fff20ca3fd3 (__TEXT,__text) external _cblas_srotg
00007fff20b5a3fb (__TEXT,__text) external _cblas_srotm
00007fff20ca40e2 (__TEXT,__text) external _cblas_srotmg
00007fff20bc8669 (__TEXT,__text) external _cblas_ssbmv
00007fff20b5a261 (__TEXT,__text) external _cblas_sscal
00007fff20c01eff (__TEXT,__text) external _cblas_sspmv
00007fff20be259c (__TEXT,__text) external _cblas_sspr
00007fff20c0c65d (__TEXT,__text) external _cblas_sspr2
00007fff20b5a2c3 (__TEXT,__text) external _cblas_sswap
00007fff20c74892 (__TEXT,__text) external _cblas_ssymm
00007fff20c02e38 (__TEXT,__text) external _cblas_ssymv
00007fff20c0e916 (__TEXT,__text) external _cblas_ssyr
00007fff20c0e9d1 (__TEXT,__text) external _cblas_ssyr2
00007fff20b9b7be (__TEXT,__text) external _cblas_ssyr2k
00007fff20bf4ffd (__TEXT,__text) external _cblas_ssyrk
00007fff20c1e7d8 (__TEXT,__text) external _cblas_stbmv
00007fff20ba48ea (__TEXT,__text) external _cblas_stbsv
00007fff20c8ec16 (__TEXT,__text) external _cblas_stpmv
00007fff20c880a8 (__TEXT,__text) external _cblas_stpsv
00007fff20c0e427 (__TEXT,__text) external _cblas_strmm
00007fff20c0eade (__TEXT,__text) external _cblas_strmv
00007fff20c9b118 (__TEXT,__text) external _cblas_strsm
00007fff20bff92c (__TEXT,__text) external _cblas_strsv
00007fff20cb477d (__TEXT,__text) external _cblas_xerbla
00007fff20c13f97 (__TEXT,__text) external _cblas_zaxpy
00007fff20b77920 (__TEXT,__text) external _cblas_zcopy
00007fff20b6c0ca (__TEXT,__text) external _cblas_zdotc_sub
00007fff20c74525 (__TEXT,__text) external _cblas_zdotu_sub
00007fff20c45b20 (__TEXT,__text) external _cblas_zdrot
00007fff20c7473d (__TEXT,__text) external _cblas_zdscal
00007fff20cac2f0 (__TEXT,__text) external _cblas_zgbmv
00007fff20c7155f (__TEXT,__text) external _cblas_zgemm
00007fff20cacaa0 (__TEXT,__text) external _cblas_zgemv
00007fff20c6a2f0 (__TEXT,__text) external _cblas_zgerc
00007fff20c8edc1 (__TEXT,__text) external _cblas_zgeru
00007fff20cad900 (__TEXT,__text) external _cblas_zhbmv
00007fff20be2bf5 (__TEXT,__text) external _cblas_zhemm
00007fff20cae035 (__TEXT,__text) external _cblas_zhemv
00007fff20c241c8 (__TEXT,__text) external _cblas_zher
00007fff20caeca5 (__TEXT,__text) external _cblas_zher2
00007fff20c5989b (__TEXT,__text) external _cblas_zher2k
00007fff20b6bd06 (__TEXT,__text) external _cblas_zherk
00007fff20caf4ae (__TEXT,__text) external _cblas_zhpmv
00007fff20cafac3 (__TEXT,__text) external _cblas_zhpr
00007fff20cafe44 (__TEXT,__text) external _cblas_zhpr2
00007fff20cabf3c (__TEXT,__text) external _cblas_zrotg
00007fff20c1b910 (__TEXT,__text) external _cblas_zscal
00007fff20c1a761 (__TEXT,__text) external _cblas_zswap
00007fff20c1116f (__TEXT,__text) external _cblas_zsymm
00007fff20c7040d (__TEXT,__text) external _cblas_zsyr2k
00007fff20b8986b (__TEXT,__text) external _cblas_zsyrk
00007fff20cb05a8 (__TEXT,__text) external _cblas_ztbmv
00007fff20cb0ea7 (__TEXT,__text) external _cblas_ztbsv
