00007ff80c20e841 (__TEXT,__const) non-external _KW_ANY
00007ff80c1f8f73 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80c1f73a4 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80c1f8dd4 (__TEXT,__text) external _XML_FreeContentModel
00007ff80c1f8289 (__TEXT,__text) external _XML_GetBase
00007ff80c1f8788 (__TEXT,__text) external _XML_GetBuffer
00007ff80c1f8cc3 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80c1f8c9a (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80c1f8d7e (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80c1f8d25 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80c1f8c83 (__TEXT,__text) external _XML_GetErrorCode
00007ff80c1f8f88 (__TEXT,__text) external _XML_GetFeatureList
00007ff8408538b0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80c1f82b5 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80c1f8cec (__TEXT,__text) external _XML_GetInputContext
00007ff80c1f8c64 (__TEXT,__text) external _XML_GetParsingStatus
00007ff80c20e615 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80c1f829e (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80c1f8e19 (__TEXT,__text) external _XML_MemFree
00007ff80c1f8de9 (__TEXT,__text) external _XML_MemMalloc
00007ff80c1f8e00 (__TEXT,__text) external _XML_MemRealloc
00007ff80c1f8550 (__TEXT,__text) external _XML_Parse
00007ff80c1f89c4 (__TEXT,__text) external _XML_ParseBuffer
00007ff80c1f69f0 (__TEXT,__text) external _XML_ParserCreate
00007ff80c1f6a0c (__TEXT,__text) external _XML_ParserCreateNS
00007ff80c1f6a00 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80c1f7d99 (__TEXT,__text) external _XML_ParserFree
00007ff80c1f6d12 (__TEXT,__text) external _XML_ParserReset
00007ff80c1f8b90 (__TEXT,__text) external _XML_ResumeParser
00007ff80c1f84be (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80c1f81e2 (__TEXT,__text) external _XML_SetBase
00007ff80c1f8fcf (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80c1f8f95 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80c1f8330 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80c1f82fd (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80c1f831e (__TEXT,__text) external _XML_SetCommentHandler
00007ff80c1f836d (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80c1f8386 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80c1f839f (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80c1f84ac (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80c1f82cc (__TEXT,__text) external _XML_SetElementHandler
00007ff80c1f72f1 (__TEXT,__text) external _XML_SetEncoding
00007ff80c1f835b (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80c1f83ca (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80c1f82ee (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80c1f842b (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80c1f84d0 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80c1f844f (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80c1f8461 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80c1f851a (__TEXT,__text) external _XML_SetHashSalt
00007ff80c1f8400 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80c1f843d (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80c1f83ee (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80c1f84f4 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80c1f830c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80c1f81a5 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80c1f8481 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80c1f8349 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80c1f83b8 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80c1f82df (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80c1f8419 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80c1f8493 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80c1f83dc (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80c1f81c7 (__TEXT,__text) external _XML_SetUserData
00007ff80c1f84e2 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80c1f8b21 (__TEXT,__text) external _XML_StopParser
00007ff80c1f8177 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80c1f8168 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80c2027af (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80c202cd5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80c2027a2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80c202cc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80c2027bc (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80c202ce2 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80c202236 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80c202eb1 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80c2028ba (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80c202d7b (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80c200900 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80c2009e0 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80c20222b (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80c2021df (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80c20212f (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80c2020a4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80c1fb098 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80c20e65b (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80c1fcc81 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80c20e67e (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80c1fccf9 (__TEXT,__text) non-external _accountingReportStats
00007ff80c1ff610 (__TEXT,__text) non-external _addBinding
00007ff80c20fc80 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80c20fcb0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80c1ff8e4 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8408551f8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff840855b48 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80c20a651 (__TEXT,__text) non-external _ascii_toUtf8
00007ff80c200ee5 (__TEXT,__text) non-external _attlist0
00007ff80c2015e4 (__TEXT,__text) non-external _attlist1
00007ff80c201654 (__TEXT,__text) non-external _attlist2
00007ff8408542d0 (__DATA_CONST,__const) non-external _attlist2.types
00007ff80c201878 (__TEXT,__text) non-external _attlist3
00007ff80c2019a6 (__TEXT,__text) non-external _attlist4
00007ff80c201832 (__TEXT,__text) non-external _attlist5
00007ff80c20190c (__TEXT,__text) non-external _attlist6
00007ff80c201952 (__TEXT,__text) non-external _attlist7
00007ff80c20173f (__TEXT,__text) non-external _attlist8
00007ff80c2018c6 (__TEXT,__text) non-external _attlist9
00007ff80c20c8e8 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80c20c4f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80c20d00c (__TEXT,__text) non-external _big2_charRefNumber
00007ff80c20deb4 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80c20b278 (__TEXT,__text) non-external _big2_contentTok
00007ff840854e58 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8408557a8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80c20ca20 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80c20cc50 (__TEXT,__text) non-external _big2_getAtts
00007ff80c20c758 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80c20d29c (__TEXT,__text) non-external _big2_isPublicId
00007ff80c20cba1 (__TEXT,__text) non-external _big2_nameLength
00007ff80c20cb5c (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80c20d0c7 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80c20a688 (__TEXT,__text) non-external _big2_prologTok
00007ff80c20ef83 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80c20dd54 (__TEXT,__text) non-external _big2_scanComment
00007ff80c20d55a (__TEXT,__text) non-external _big2_scanLit
00007ff80c20dae8 (__TEXT,__text) non-external _big2_scanPercent
00007ff80c20d688 (__TEXT,__text) non-external _big2_scanPi
00007ff80c20df33 (__TEXT,__text) non-external _big2_scanRef
00007ff80c20cc16 (__TEXT,__text) non-external _big2_skipS
00007ff80c20d4e5 (__TEXT,__text) non-external _big2_toUtf16
00007ff80c20d327 (__TEXT,__text) non-external _big2_toUtf8
00007ff80c20d1cb (__TEXT,__text) non-external _big2_updatePosition
00007ff80c200037 (__TEXT,__text) non-external _build_node
00007ff80c1ff448 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80c202501 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80c201359 (__TEXT,__text) non-external _condSect0
00007ff80c2013fc (__TEXT,__text) non-external _condSect1
00007ff80c20143c (__TEXT,__text) non-external _condSect2
00007ff80c1fb9f9 (__TEXT,__text) non-external _contentProcessor
00007ff80c2006dd (__TEXT,__text) non-external _copyEntityTable
00007ff80c1f735f (__TEXT,__text) non-external _copyString
00007ff80c20125c (__TEXT,__text) non-external _declClose
00007ff80c1fbd9a (__TEXT,__text) non-external _defineAttribute
00007ff80c1ff198 (__TEXT,__text) non-external _doCdataSection
00007ff80c1fd028 (__TEXT,__text) non-external _doContent
00007ff80c1fc564 (__TEXT,__text) non-external _doIgnoreSection
00007ff80c2028fb (__TEXT,__text) non-external _doParseXmlDecl
00007ff80c1f92cd (__TEXT,__text) non-external _doProlog
00007ff80c20e742 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80c20e75f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80c20e758 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80c20e748 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80c20e74b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80c20e751 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80c20e768 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80c20e770 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80c20e638 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80c20fb6b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80c20fb6d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80c20fb61 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80c200ad4 (__TEXT,__text) non-external _doctype0
00007ff80c200b27 (__TEXT,__text) non-external _doctype1
00007ff80c200e46 (__TEXT,__text) non-external _doctype2
00007ff80c200e00 (__TEXT,__text) non-external _doctype3
00007ff80c202048 (__TEXT,__text) non-external _doctype4
00007ff80c200fbe (__TEXT,__text) non-external _doctype5
00007ff80c200f30 (__TEXT,__text) non-external _element0
00007ff80c2019fa (__TEXT,__text) non-external _element1
00007ff80c201acc (__TEXT,__text) non-external _element2
00007ff80c201bcc (__TEXT,__text) non-external _element3
00007ff80c201df0 (__TEXT,__text) non-external _element4
00007ff80c201e3b (__TEXT,__text) non-external _element5
00007ff80c201c4b (__TEXT,__text) non-external _element6
00007ff80c201d1c (__TEXT,__text) non-external _element7
00007ff840854c50 (__DATA_CONST,__const) non-external _encodings
00007ff8408553d0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80c200e8c (__TEXT,__text) non-external _entity0
00007ff80c201004 (__TEXT,__text) non-external _entity1
00007ff80c2012a9 (__TEXT,__text) non-external _entity10
00007ff80c20104a (__TEXT,__text) non-external _entity2
00007ff80c2014c5 (__TEXT,__text) non-external _entity3
00007ff80c20147f (__TEXT,__text) non-external _entity4
00007ff80c20150b (__TEXT,__text) non-external _entity5
00007ff80c201596 (__TEXT,__text) non-external _entity6
00007ff80c20110d (__TEXT,__text) non-external _entity7
00007ff80c201216 (__TEXT,__text) non-external _entity8
00007ff80c2011d0 (__TEXT,__text) non-external _entity9
00007ff80c1fca1f (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80c1fff84 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80c20e6a1 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80c20035e (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80c200604 (__TEXT,__text) non-external _entityValueProcessor
00007ff80c1fefbe (__TEXT,__text) non-external _epilogProcessor
00007ff80c200b1f (__TEXT,__text) non-external _error
00007ff80c1f877c (__TEXT,__text) non-external _errorProcessor
00007ff80c1ff880 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80c1f8046 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80c20018c (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80c200282 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80c1f8096 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80c200503 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80c2009f8 (__TEXT,__text) non-external _externalSubset0
00007ff80c2012fe (__TEXT,__text) non-external _externalSubset1
00007ff80c202bd3 (__TEXT,__text) non-external _findEncoding
00007ff80c202dbc (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80c1fef66 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80c1fbada (__TEXT,__text) non-external _getAttributeId
00007ff80c1f9087 (__TEXT,__text) non-external _getDebugLevel
00007ff80c1fba4e (__TEXT,__text) non-external _getElementType
00007ff80c202814 (__TEXT,__text) non-external _getEncodingIndex
00007ff840854c20 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80c1f91b0 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80c1fcd5d (__TEXT,__text) non-external _hash
00007ff80c2006a5 (__TEXT,__text) non-external _hashTableDestroy
00007ff80c1fc6e4 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80c20e780 (__TEXT,__const) non-external _implicitContext
00007ff80c20a492 (__TEXT,__text) non-external _initScan
00007ff80c202887 (__TEXT,__text) non-external _initScanContent
00007ff80c202d59 (__TEXT,__text) non-external _initScanContentNS
00007ff80c202868 (__TEXT,__text) non-external _initScanProlog
00007ff80c202d3a (__TEXT,__text) non-external _initScanPrologNS
00007ff80c2028a9 (__TEXT,__text) non-external _initUpdatePosition
00007ff80c1f90e6 (__TEXT,__text) non-external _initializeEncoding
00007ff80c1ffd6c (__TEXT,__text) non-external _internalEntityProcessor
00007ff80c200c00 (__TEXT,__text) non-external _internalSubset
00007ff8408546b0 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff840854a50 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8408544e0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff840854880 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80c206723 (__TEXT,__text) non-external _isNever
00007ff840854310 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff840855408 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80c2058d2 (__TEXT,__text) non-external _latin1_toUtf16
00007ff80c205850 (__TEXT,__text) non-external _latin1_toUtf8
00007ff80c208aa8 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80c2086bc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80c2091cc (__TEXT,__text) non-external _little2_charRefNumber
00007ff80c20a05c (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80c20747c (__TEXT,__text) non-external _little2_contentTok
00007ff840855028 (__DATA_CONST,__const) non-external _little2_encoding
00007ff840855978 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80c208be0 (__TEXT,__text) non-external _little2_entityValueTok
00007ff80c208e0f (__TEXT,__text) non-external _little2_getAtts
00007ff80c208918 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80c209458 (__TEXT,__text) non-external _little2_isPublicId
00007ff80c208d61 (__TEXT,__text) non-external _little2_nameLength
00007ff80c208d1c (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80c209283 (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80c20689c (__TEXT,__text) non-external _little2_prologTok
00007ff80c209f00 (__TEXT,__text) non-external _little2_scanComment
00007ff80c209712 (__TEXT,__text) non-external _little2_scanLit
00007ff80c209c9c (__TEXT,__text) non-external _little2_scanPercent
00007ff80c209840 (__TEXT,__text) non-external _little2_scanPi
00007ff80c20a0db (__TEXT,__text) non-external _little2_scanRef
00007ff80c208dd5 (__TEXT,__text) non-external _little2_skipS
00007ff80c2096a1 (__TEXT,__text) non-external _little2_toUtf16
00007ff80c2094e3 (__TEXT,__text) non-external _little2_toUtf8
00007ff80c209387 (__TEXT,__text) non-external _little2_updatePosition
00007ff80c1fb686 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80c20ee50 (__TEXT,__const) non-external _namePages
00007ff80c20e850 (__TEXT,__const) non-external _namingBitmap
00007ff80c1fc760 (__TEXT,__text) non-external _nextScaffoldPart
00007ff80c20ed50 (__TEXT,__const) non-external _nmstrtPages
00007ff80c205010 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80c204bb8 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80c2055cc (__TEXT,__text) non-external _normal_charRefNumber
00007ff80c2061bc (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80c203a4c (__TEXT,__text) non-external _normal_contentTok
00007ff80c205148 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80c2052fb (__TEXT,__text) non-external _normal_getAtts
00007ff80c204e70 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80c2057d0 (__TEXT,__text) non-external _normal_isPublicId
00007ff80c205294 (__TEXT,__text) non-external _normal_nameLength
00007ff80c205258 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80c205684 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80c202ec8 (__TEXT,__text) non-external _normal_prologTok
00007ff80c206030 (__TEXT,__text) non-external _normal_scanComment
00007ff80c205916 (__TEXT,__text) non-external _normal_scanLit
00007ff80c205e28 (__TEXT,__text) non-external _normal_scanPercent
00007ff80c205a7c (__TEXT,__text) non-external _normal_scanPi
00007ff80c206227 (__TEXT,__text) non-external _normal_scanRef
00007ff80c2052d1 (__TEXT,__text) non-external _normal_skipS
00007ff80c205716 (__TEXT,__text) non-external _normal_updatePosition
00007ff80c200149 (__TEXT,__text) non-external _normalizeLines
00007ff80c1fb996 (__TEXT,__text) non-external _normalizePublicId
00007ff80c200f7b (__TEXT,__text) non-external _notation0
00007ff80c201e98 (__TEXT,__text) non-external _notation1
00007ff80c201f8f (__TEXT,__text) non-external _notation2
00007ff80c201f41 (__TEXT,__text) non-external _notation3
00007ff80c201fd5 (__TEXT,__text) non-external _notation4
00007ff80c20e280 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80c1f6a2a (__TEXT,__text) non-external _parserCreate
00007ff80c1f7131 (__TEXT,__text) non-external _parserInit
00007ff80c1fbd28 (__TEXT,__text) non-external _poolAppend
00007ff80c1f822d (__TEXT,__text) non-external _poolCopyString
00007ff80c1f8124 (__TEXT,__text) non-external _poolDestroy
00007ff80c1fbe92 (__TEXT,__text) non-external _poolGrow
00007ff80c1fb63f (__TEXT,__text) non-external _poolStoreString
00007ff80c1fc870 (__TEXT,__text) non-external _processInternalEntity
00007ff80c1fb2bd (__TEXT,__text) non-external _processXmlDecl
00007ff80c200925 (__TEXT,__text) non-external _prolog0
00007ff80c200a18 (__TEXT,__text) non-external _prolog1
00007ff80c200d78 (__TEXT,__text) non-external _prolog2
00007ff80c1f9037 (__TEXT,__text) non-external _prologInitProcessor
00007ff80c1f9141 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80c1fcbb6 (__TEXT,__text) non-external _reportComment
00007ff80c1f8e7a (__TEXT,__text) non-external _reportDefault
00007ff80c1fca6a (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80c1f7b0b (__TEXT,__text) non-external _setContext
00007ff80c1ff4fe (__TEXT,__text) non-external _setElementTypePrefix
00007ff80c1fcee2 (__TEXT,__text) non-external _sip24_final
00007ff80c1fce21 (__TEXT,__text) non-external _sip24_update
00007ff80c1fcfcc (__TEXT,__text) non-external _sip_round
00007ff80c1f86e3 (__TEXT,__text) non-external _startParsing
00007ff80c1fc05c (__TEXT,__text) non-external _storeAttributeValue
00007ff80c1fe2bc (__TEXT,__text) non-external _storeAtts
00007ff80c1fc0cb (__TEXT,__text) non-external _storeEntityValue
00007ff80c1fe1f0 (__TEXT,__text) non-external _storeRawNames
00007ff80c20a430 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80c1f8ff4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80c1f9009 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80c2025f0 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80c20254e (__TEXT,__text) non-external _unknown_isName
00007ff80c20259f (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80c202704 (__TEXT,__text) non-external _unknown_toUtf16
00007ff80c20261d (__TEXT,__text) non-external _unknown_toUtf8
00007ff80c1f901e (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff840854c88 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8408555d8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80c2067c3 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80c2067e2 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80c206849 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80c20668b (__TEXT,__text) non-external _utf8_isName2
00007ff80c2066d1 (__TEXT,__text) non-external _utf8_isName3
00007ff80c20672b (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80c206771 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80c20652b (__TEXT,__text) non-external _utf8_toUtf16
00007ff80c206495 (__TEXT,__text) non-external _utf8_toUtf8
