                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007ff80e26ef55 (__TEXT,__text) external _CMCloneProfileRef
00007ff80e26e5f7 (__TEXT,__text) external _CMGetGammaByAVID
00007ff842709088 (__DATA,__bss) non-external _CMGetGammaByAVID.func
00007ff80e26e52e (__TEXT,__text) external _CMGetIndNamedColorValue
00007ff842709080 (__DATA,__bss) non-external _CMGetIndNamedColorValue.func
00007ff80e26e465 (__TEXT,__text) external _CMGetIndProfileElement
00007ff842709078 (__DATA,__bss) non-external _CMGetIndProfileElement.func
00007ff80e26e390 (__TEXT,__text) external _CMGetIndProfileElementInfo
00007ff842709070 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.func
00007ff80e26e2d9 (__TEXT,__text) external _CMGetNamedColorIndex
00007ff842709068 (__DATA,__bss) non-external _CMGetNamedColorIndex.func
00007ff80e26e1f2 (__TEXT,__text) external _CMGetNamedColorInfo
00007ff842709060 (__DATA,__bss) non-external _CMGetNamedColorInfo.func
00007ff80e26e13b (__TEXT,__text) external _CMGetNamedColorName
00007ff842709058 (__DATA,__bss) non-external _CMGetNamedColorName.func
00007ff80e26e06f (__TEXT,__text) external _CMGetNamedColorValue
00007ff842709050 (__DATA,__bss) non-external _CMGetNamedColorValue.func
00007ff80e26df2a (__TEXT,__text) external _CMGetPS2ColorRendering
00007ff842709048 (__DATA,__bss) non-external _CMGetPS2ColorRendering.func
00007ff80e26de55 (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
00007ff842709040 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.func
00007ff80e26dd1e (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
00007ff842709038 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.func
00007ff80e26dc49 (__TEXT,__text) external _CMGetPS2ColorSpace
00007ff842709030 (__DATA,__bss) non-external _CMGetPS2ColorSpace.func
00007ff80e26db7a (__TEXT,__text) external _CMGetPartialProfileElement
00007ff842709028 (__DATA,__bss) non-external _CMGetPartialProfileElement.func
00007ff80e26db35 (__TEXT,__text) external _CMGetProfileByAVID
00007ff842709020 (__DATA,__bss) non-external _CMGetProfileByAVID.func
00007ff80e26da4e (__TEXT,__text) external _CMGetProfileDescriptions
00007ff842709018 (__DATA,__bss) non-external _CMGetProfileDescriptions.func
00007ff80e26d985 (__TEXT,__text) external _CMGetProfileElement
00007ff842709010 (__DATA,__bss) non-external _CMGetProfileElement.func
00007ff80e26d896 (__TEXT,__text) external _CMGetProfileGamma
00007ff842709008 (__DATA,__bss) non-external _CMGetProfileGamma.func
00007ff80e26d7e4 (__TEXT,__text) external _CMGetProfileHeader
00007ff842709000 (__DATA,__bss) non-external _CMGetProfileHeader.func
00007ff80e26d79d (__TEXT,__text) external _CMGetProfileLocation
00007ff842708ff8 (__DATA,__bss) non-external _CMGetProfileLocation.func
00007ff80e26d6eb (__TEXT,__text) external _CMGetProfileMD5
00007ff842708ff0 (__DATA,__bss) non-external _CMGetProfileMD5.func
00007ff80e26d639 (__TEXT,__text) external _CMGetProfileRefCount
00007ff842708fe8 (__DATA,__bss) non-external _CMGetProfileRefCount.func
00007ff80e26d55c (__TEXT,__text) external _CMGetProfileTransformInfo
00007ff842708fe0 (__DATA,__bss) non-external _CMGetProfileTransformInfo.func
00007ff80e26d518 (__TEXT,__text) external _CMGetSystemProfile
00007ff842708fd8 (__DATA,__bss) non-external _CMGetSystemProfile.func
00007ff80e26d4d4 (__TEXT,__text) external _CMGetSystemProfileAVID
00007ff842708fd0 (__DATA,__bss) non-external _CMGetSystemProfileAVID.func
00007ff80e26d48d (__TEXT,__text) external _CMGetSystemProfilePriv
00007ff842708fc8 (__DATA,__bss) non-external _CMGetSystemProfilePriv.func
00007ff80e26d431 (__TEXT,__text) external _CMIterateCMMInfo
00007ff842708fc0 (__DATA,__bss) non-external _CMIterateCMMInfo.func
00007ff80e26d3d2 (__TEXT,__text) external _CMIterateColorDevices
00007ff842708fb8 (__DATA,__bss) non-external _CMIterateColorDevices.func
00007ff80e26d373 (__TEXT,__text) external _CMIterateColorSyncFolder
00007ff842708fb0 (__DATA,__bss) non-external _CMIterateColorSyncFolder.func
00007ff80e26d2ff (__TEXT,__text) external _CMIterateDeviceProfiles
00007ff842708fa8 (__DATA,__bss) non-external _CMIterateDeviceProfiles.func
00007ff80e26d2f4 (__TEXT,__text) external _CMLaunchControlPanel
00007ff80e26d2ad (__TEXT,__text) external _CMMakeProfile
00007ff842708fa0 (__DATA,__bss) non-external _CMMakeProfile.func
00007ff80e26d251 (__TEXT,__text) external _CMMatchFloatBitmap
00007ff842708f98 (__DATA,__bss) non-external _CMMatchFloatBitmap.func
00007ff80e26d20a (__TEXT,__text) external _CMNewProfile
00007ff842708f90 (__DATA,__bss) non-external _CMNewProfile.func
00007ff80e26d1c3 (__TEXT,__text) external _CMOpenProfile
00007ff842708f88 (__DATA,__bss) non-external _CMOpenProfile.func
00007ff80e26f328 (__TEXT,__text) external _CMPostLegacyDeviceNotification
00007ff842709160 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
00007ff80e26d10f (__TEXT,__text) external _CMProfileCopyICCData
00007ff842708f80 (__DATA,__bss) non-external _CMProfileCopyICCData.func
00007ff80e26d058 (__TEXT,__text) external _CMProfileElementExists
00007ff842708f78 (__DATA,__bss) non-external _CMProfileElementExists.func
00007ff80e26d011 (__TEXT,__text) external _CMProfileModified
00007ff842708f70 (__DATA,__bss) non-external _CMProfileModified.func
00007ff80e26f2e6 (__TEXT,__text) external _CMProfileWriteToFile
00007ff842709158 (__DATA,__bss) non-external _CMProfileWriteToFile.func
00007ff80e26cfb4 (__TEXT,__text) external _CMRegisterColorDevice
00007ff842708f68 (__DATA,__bss) non-external _CMRegisterColorDevice.func
00007ff80e26cf6d (__TEXT,__text) external _CMRemoveProfileElement
00007ff842708f60 (__DATA,__bss) non-external _CMRemoveProfileElement.func
00007ff80e26cf28 (__TEXT,__text) external _CMSetDefaultDevice
00007ff842708f58 (__DATA,__bss) non-external _CMSetDefaultDevice.func
00007ff80e26cece (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00007ff842708f50 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
00007ff80e26ce71 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00007ff842708f48 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
00007ff80e26cdff (__TEXT,__text) external _CMSetDeviceProfile
00007ff842708f40 (__DATA,__bss) non-external _CMSetDeviceProfile.func
00007ff80e26cda5 (__TEXT,__text) external _CMSetDeviceState
00007ff842708f38 (__DATA,__bss) non-external _CMSetDeviceState.func
00007ff80e26cd4b (__TEXT,__text) external _CMSetDeviceTrackingByUse
00007ff842708f30 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
00007ff80e26cd06 (__TEXT,__text) external _CMSetGammaByAVID
00007ff842708f28 (__DATA,__bss) non-external _CMSetGammaByAVID.func
00007ff80e26cc92 (__TEXT,__text) external _CMSetPartialProfileElement
00007ff842708f20 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
00007ff80e26cc4d (__TEXT,__text) external _CMSetProfileByAVID
00007ff842708f18 (__DATA,__bss) non-external _CMSetProfileByAVID.func
00007ff80e26cbd0 (__TEXT,__text) external _CMSetProfileDescriptions
00007ff842708f10 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
00007ff80e26cb71 (__TEXT,__text) external _CMSetProfileElement
00007ff842708f08 (__DATA,__bss) non-external _CMSetProfileElement.func
00007ff80e26cb15 (__TEXT,__text) external _CMSetProfileElementReference
00007ff842708f00 (__DATA,__bss) non-external _CMSetProfileElementReference.func
00007ff80e26cab9 (__TEXT,__text) external _CMSetProfileElementSize
00007ff842708ef8 (__DATA,__bss) non-external _CMSetProfileElementSize.func
00007ff80e26ca72 (__TEXT,__text) external _CMSetProfileHeader
00007ff842708ef0 (__DATA,__bss) non-external _CMSetProfileHeader.func
00007ff80e26ca16 (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00007ff842708ee8 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
00007ff80e26c9d2 (__TEXT,__text) external _CMSetSystemProfile
00007ff842708ee0 (__DATA,__bss) non-external _CMSetSystemProfile.func
00007ff80e26f2a4 (__TEXT,__text) external _CMSetSystemProfileAVID
00007ff842709150 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
00007ff80e26c98d (__TEXT,__text) external _CMUnregisterColorDevice
00007ff842708ed8 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
00007ff80e26c92d (__TEXT,__text) external _CMUpdateProfile
00007ff842708ed0 (__DATA,__bss) non-external _CMUpdateProfile.func
00007ff80e26c876 (__TEXT,__text) external _CMValidateProfile
00007ff842708ec8 (__DATA,__bss) non-external _CMValidateProfile.func
00007ff80e26c802 (__TEXT,__text) external _CWCheckBitmap
00007ff842708ec0 (__DATA,__bss) non-external _CWCheckBitmap.func
00007ff80e26c7a3 (__TEXT,__text) external _CWCheckColors
00007ff842708eb8 (__DATA,__bss) non-external _CWCheckColors.func
00007ff80e26bf1b (__TEXT,__text) external _CWColorWorldGetProperty
00007ff842708e50 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
00007ff80e26bec4 (__TEXT,__text) external _CWColorWorldSetProperty
00007ff842708e48 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
00007ff80e26c663 (__TEXT,__text) external _CWConcatColorWorld
00007ff842708eb0 (__DATA,__bss) non-external _CWConcatColorWorld.func
00007ff80e26c624 (__TEXT,__text) external _CWDisposeColorWorld
00007ff842708ea8 (__DATA,__bss) non-external _CWDisposeColorWorld.func
00007ff80e26c5b0 (__TEXT,__text) external _CWFillLookupTexture
00007ff842708ea0 (__DATA,__bss) non-external _CWFillLookupTexture.func
00007ff80e26c56f (__TEXT,__text) external _CWGetCMMSignature
00007ff842708e98 (__DATA,__bss) non-external _CWGetCMMSignature.func
00007ff80e26c4fb (__TEXT,__text) external _CWMatchBitmap
00007ff842708e90 (__DATA,__bss) non-external _CWMatchBitmap.func
00007ff80e26c49f (__TEXT,__text) external _CWMatchColors
00007ff842708e88 (__DATA,__bss) non-external _CWMatchColors.func
00007ff80e26c358 (__TEXT,__text) external _CWNewLinkProfile
00007ff842708e80 (__DATA,__bss) non-external _CWNewLinkProfile.func
00007ff80e26f4b8 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
00007ff80e26f480 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
00007ff80e26ba14 (__TEXT,__text) non-external (was a private external) _ColorSyncLoadLegacyFunction
00007ff842708e30 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00007ff842708de0 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
00007ff80e26c010 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00007ff842709170 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
00007ff80e26f37f (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00007ff842709168 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
00007ff80e26c1d8 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
00007ff80e26c352 (__TEXT,__text) external _DisposeCMConcatCallBackUPP
00007ff80e26c34c (__TEXT,__text) external _DisposeCMFlattenUPP
00007ff80e26c346 (__TEXT,__text) external _DisposeCMMIterateUPP
00007ff80e26c340 (__TEXT,__text) external _DisposeCMProfileAccessUPP
00007ff80e26c33a (__TEXT,__text) external _DisposeCMProfileIterateUPP
00007ff80e26c333 (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
00007ff80e26c32c (__TEXT,__text) external _InvokeCMConcatCallBackUPP
00007ff80e26c324 (__TEXT,__text) external _InvokeCMFlattenUPP
00007ff80e26c31d (__TEXT,__text) external _InvokeCMMIterateUPP
00007ff80e26c315 (__TEXT,__text) external _InvokeCMProfileAccessUPP
00007ff80e26c30e (__TEXT,__text) external _InvokeCMProfileIterateUPP
00007ff80e26f0f5 (__TEXT,__text) external _NCMGetProfileLocation
00007ff842709140 (__DATA,__bss) non-external _NCMGetProfileLocation.func
00007ff80e26f151 (__TEXT,__text) external _NCWConcatColorWorld
00007ff842709148 (__DATA,__bss) non-external _NCWConcatColorWorld.func
00007ff80e26c1de (__TEXT,__text) external _NCWNewColorWorld
00007ff842708e78 (__DATA,__bss) non-external _NCWNewColorWorld.func
00007ff80e26ef99 (__TEXT,__text) external _NCWNewLinkProfile
00007ff842709138 (__DATA,__bss) non-external _NCWNewLinkProfile.func
00007ff80e26c1cf (__TEXT,__text) external _NewCMBitmapCallBackUPP
00007ff80e26c1c6 (__TEXT,__text) external _NewCMConcatCallBackUPP
00007ff80e26c1bd (__TEXT,__text) external _NewCMFlattenUPP
00007ff80e26c1b4 (__TEXT,__text) external _NewCMMIterateUPP
00007ff80e26c1ab (__TEXT,__text) external _NewCMProfileAccessUPP
00007ff80e26c1a2 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
00007ff80e26c144 (__TEXT,__text) external __CMGetProfileOfSuite
00007ff842708e70 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
00007ff80e26c102 (__TEXT,__text) external __CMLoadProfileLutsByAVID
00007ff842708e68 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
00007ff80e26c051 (__TEXT,__text) external __CMProfileGetProperty
00007ff842708e60 (__DATA,__bss) non-external __CMProfileGetProperty.func
00007ff80e26bf5f (__TEXT,__text) external __CMProfileSetProperty
00007ff842708e58 (__DATA,__bss) non-external __CMProfileSetProperty.func
00007ff80e26be80 (__TEXT,__text) external __CWColorWorldGetProperty
00007ff842708e40 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
00007ff80e26be29 (__TEXT,__text) external __CWColorWorldSetProperty
00007ff842708e38 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _fclose (from libSystem)
00007ff842709180 (__DATA,__bss) non-external _fetchApplicationName.aName
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBundleIdentifierKey (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
00007ff80e26f4c0 (__TEXT,__const) external _kCMIlluminantD50
00007ff80e26f4cc (__TEXT,__const) external _kCMIlluminantD65
                 (undefined) external _localtime (from libSystem)
00007ff80e26bb18 (__TEXT,__text) non-external _logLegacyCall
00007ff842708e20 (__DATA,__data) non-external _logLegacyCall.logExists
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _time (from libSystem)
                 (undefined) external _vsnprintf_l (from libSystem)
