0000000283b38888 (__TEXT,__text) non-external _Done_iODBC
0000000283b3cddc (__TEXT,__text) external _SQLDataSources
0000000283b3cf20 (__TEXT,__text) external _SQLDataSourcesA
0000000283b3d064 (__TEXT,__text) external _SQLDataSourcesW
0000000283b3c970 (__TEXT,__text) non-external _SQLDataSources_Internal
0000000297c11220 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000297c11240 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000297c11248 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
0000000283b41518 (__TEXT,__text) external _SQLDescribeCol
0000000283b416f4 (__TEXT,__text) external _SQLDescribeColA
0000000283b418d0 (__TEXT,__text) external _SQLDescribeColW
0000000283b4126c (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000283b35b4c (__TEXT,__text) external _SQLDescribeParam
0000000283b33dcc (__TEXT,__text) external _SQLDisconnect
0000000283b33028 (__TEXT,__text) external _SQLDriverConnect
0000000283b331a4 (__TEXT,__text) external _SQLDriverConnectA
0000000283b33320 (__TEXT,__text) external _SQLDriverConnectW
0000000283b31840 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000283b57378 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000283b573a4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
0000000283b3d690 (__TEXT,__text) external _SQLDrivers
0000000283b3d7d4 (__TEXT,__text) external _SQLDriversA
0000000283b3d918 (__TEXT,__text) external _SQLDriversW
0000000283b3d29c (__TEXT,__text) non-external _SQLDrivers_Internal
0000000297c11224 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
0000000297c11250 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
0000000297c11258 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000283b47ebc (__TEXT,__text) external _SQLEndTran
0000000283b39044 (__TEXT,__text) external _SQLError
0000000283b3916c (__TEXT,__text) external _SQLErrorA
0000000283b39294 (__TEXT,__text) external _SQLErrorW
0000000283b35014 (__TEXT,__text) external _SQLExecDirect
0000000283b35164 (__TEXT,__text) external _SQLExecDirectA
0000000283b352b4 (__TEXT,__text) external _SQLExecDirectW
0000000283b34da8 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000283b34ac4 (__TEXT,__text) external _SQLExecute
0000000283b36260 (__TEXT,__text) external _SQLExtendedFetch
0000000283b35f94 (__TEXT,__text) external _SQLFetch
0000000283b48170 (__TEXT,__text) external _SQLFetchScroll
0000000283b35dc0 (__TEXT,__text) non-external _SQLFetch_Internal
0000000283b2da28 (__TEXT,__text) external _SQLForeignKeys
0000000283b2dcf4 (__TEXT,__text) external _SQLForeignKeysA
0000000283b2dfc0 (__TEXT,__text) external _SQLForeignKeysW
0000000283b2d6d8 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000283b36f4c (__TEXT,__text) external _SQLFreeConnect
0000000283b36e9c (__TEXT,__text) non-external _SQLFreeConnect_Internal
0000000283b387dc (__TEXT,__text) external _SQLFreeEnv
0000000283b38744 (__TEXT,__text) non-external _SQLFreeEnv_Internal
0000000283b428fc (__TEXT,__text) external _SQLFreeHandle
0000000283b3b7ec (__TEXT,__text) external _SQLFreeStmt
0000000283b3b5e4 (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000283b53f4c (__TEXT,__text) non-external _SQLGetConfigMode
0000000283b45228 (__TEXT,__text) external _SQLGetConnectAttr
0000000283b456f0 (__TEXT,__text) external _SQLGetConnectAttrA
0000000283b45844 (__TEXT,__text) external _SQLGetConnectAttrW
0000000283b4537c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000283b37d74 (__TEXT,__text) external _SQLGetConnectOption
0000000283b37ea0 (__TEXT,__text) external _SQLGetConnectOptionA
0000000283b37fcc (__TEXT,__text) external _SQLGetConnectOptionW
0000000283b40928 (__TEXT,__text) external _SQLGetCursorName
0000000283b40a90 (__TEXT,__text) external _SQLGetCursorNameA
0000000283b40bf8 (__TEXT,__text) external _SQLGetCursorNameW
0000000283b40714 (__TEXT,__text) non-external _SQLGetCursorName_Internal
0000000283b363e4 (__TEXT,__text) external _SQLGetData
0000000283b45c2c (__TEXT,__text) external _SQLGetDescField
0000000283b45da0 (__TEXT,__text) external _SQLGetDescFieldA
0000000283b45f14 (__TEXT,__text) external _SQLGetDescFieldW
0000000283b45998 (__TEXT,__text) non-external _SQLGetDescField_Internal
0000000283b4686c (__TEXT,__text) external _SQLGetDescRec
0000000283b46ac4 (__TEXT,__text) external _SQLGetDescRecA
0000000283b46d1c (__TEXT,__text) external _SQLGetDescRecW
0000000283b46638 (__TEXT,__text) non-external _SQLGetDescRec_Internal
0000000283b3ab34 (__TEXT,__text) external _SQLGetDiagField
0000000283b3ac40 (__TEXT,__text) external _SQLGetDiagFieldA
0000000283b3ad4c (__TEXT,__text) external _SQLGetDiagFieldW
0000000283b39d5c (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000000283b399fc (__TEXT,__text) external _SQLGetDiagRec
0000000283b39b1c (__TEXT,__text) external _SQLGetDiagRecA
0000000283b39c3c (__TEXT,__text) external _SQLGetDiagRecW
0000000283b393bc (__TEXT,__text) non-external _SQLGetDiagRec_Internal
0000000283b4301c (__TEXT,__text) external _SQLGetEnvAttr
0000000283b3e58c (__TEXT,__text) external _SQLGetFunctions
0000000283b3e190 (__TEXT,__text) external _SQLGetInfo
0000000283b3e2e4 (__TEXT,__text) external _SQLGetInfoA
0000000283b3e438 (__TEXT,__text) external _SQLGetInfoW
0000000283b3db50 (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000283b56d94 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000283b56de0 (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000283b568ac (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000283b56aac (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
0000000283b438ac (__TEXT,__text) external _SQLGetStmtAttr
0000000283b43a20 (__TEXT,__text) external _SQLGetStmtAttrA
0000000283b43b94 (__TEXT,__text) external _SQLGetStmtAttrW
0000000283b43200 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
0000000283b3c034 (__TEXT,__text) external _SQLGetStmtOption
0000000283b3c180 (__TEXT,__text) external _SQLGetStmtOptionA
0000000283b3be54 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
0000000283b2a978 (__TEXT,__text) external _SQLGetTypeInfo
0000000283b2aab4 (__TEXT,__text) external _SQLGetTypeInfoA
0000000283b2abf0 (__TEXT,__text) external _SQLGetTypeInfoW
0000000283b2a7b8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000000283b3676c (__TEXT,__text) external _SQLMoreResults
0000000283b341cc (__TEXT,__text) external _SQLNativeSql
0000000283b34338 (__TEXT,__text) external _SQLNativeSqlA
0000000283b344a4 (__TEXT,__text) external _SQLNativeSqlW
0000000283b33f54 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000283b35950 (__TEXT,__text) external _SQLNumParams
0000000283b41058 (__TEXT,__text) external _SQLNumResultCols
0000000283b35698 (__TEXT,__text) external _SQLParamData
0000000283b3fcac (__TEXT,__text) external _SQLParamOptions
0000000283b3ef28 (__TEXT,__text) external _SQLPrepare
0000000283b3f078 (__TEXT,__text) external _SQLPrepareA
0000000283b3f1c8 (__TEXT,__text) external _SQLPrepareW
0000000283b3ed00 (__TEXT,__text) non-external _SQLPrepare_Internal
0000000283b2e4b8 (__TEXT,__text) external _SQLPrimaryKeys
0000000283b2e660 (__TEXT,__text) external _SQLPrimaryKeysA
0000000283b2e808 (__TEXT,__text) external _SQLPrimaryKeysW
0000000283b2e28c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
0000000283b2ec40 (__TEXT,__text) external _SQLProcedureColumns
0000000283b2ee1c (__TEXT,__text) external _SQLProcedureColumnsA
0000000283b2eff8 (__TEXT,__text) external _SQLProcedureColumnsW
0000000283b2e9b0 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
0000000283b2f400 (__TEXT,__text) external _SQLProcedures
0000000283b2f5a8 (__TEXT,__text) external _SQLProceduresA
0000000283b2f750 (__TEXT,__text) external _SQLProceduresW
0000000283b2f1d4 (__TEXT,__text) non-external _SQLProcedures_Internal
0000000283b35404 (__TEXT,__text) external _SQLPutData
0000000283b53648 (__TEXT,__text) non-external _SQLReadFileDSN
0000000283b537d8 (__TEXT,__text) non-external _SQLReadFileDSNW
0000000283b40d60 (__TEXT,__text) external _SQLRowCount
0000000283b56e2c (__TEXT,__text) non-external _SQLSetConfigMode
0000000283b44c24 (__TEXT,__text) external _SQLSetConnectAttr
0000000283b44fa0 (__TEXT,__text) external _SQLSetConnectAttrA
0000000283b450e4 (__TEXT,__text) external _SQLSetConnectAttrW
0000000283b44d68 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
0000000283b375f0 (__TEXT,__text) external _SQLSetConnectOption
0000000283b3771c (__TEXT,__text) external _SQLSetConnectOptionA
0000000283b37848 (__TEXT,__text) external _SQLSetConnectOptionW
0000000283b3f4c4 (__TEXT,__text) external _SQLSetCursorName
0000000283b3f614 (__TEXT,__text) external _SQLSetCursorNameA
0000000283b3f764 (__TEXT,__text) external _SQLSetCursorNameW
0000000283b3f318 (__TEXT,__text) non-external _SQLSetCursorName_Internal
0000000283b46224 (__TEXT,__text) external _SQLSetDescField
0000000283b46380 (__TEXT,__text) external _SQLSetDescFieldA
0000000283b464dc (__TEXT,__text) external _SQLSetDescFieldW
0000000283b46088 (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000283b46f74 (__TEXT,__text) external _SQLSetDescRec
0000000283b42e08 (__TEXT,__text) external _SQLSetEnvAttr
0000000283b42f28 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
0000000283b57308 (__TEXT,__text) non-external _SQLSetKeywordValue
0000000283b57314 (__TEXT,__text) non-external _SQLSetKeywordValueW
0000000283b40390 (__TEXT,__text) external _SQLSetParam
0000000283b36b74 (__TEXT,__text) external _SQLSetPos
0000000283b3ff5c (__TEXT,__text) external _SQLSetScrollOptions
0000000283b447f8 (__TEXT,__text) external _SQLSetStmtAttr
0000000283b4495c (__TEXT,__text) external _SQLSetStmtAttrA
0000000283b44ac0 (__TEXT,__text) external _SQLSetStmtAttrW
0000000283b43d08 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
0000000283b3b938 (__TEXT,__text) external _SQLSetStmtOption
0000000283b3bd08 (__TEXT,__text) external _SQLSetStmtOptionA
0000000283b3ba84 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
0000000283b2afb8 (__TEXT,__text) external _SQLSpecialColumns
0000000283b2b1f4 (__TEXT,__text) external _SQLSpecialColumnsA
0000000283b2b430 (__TEXT,__text) external _SQLSpecialColumnsW
0000000283b2ad2c (__TEXT,__text) non-external _SQLSpecialColumns_Internal
0000000283b2b8d8 (__TEXT,__text) external _SQLStatistics
0000000283b2bab4 (__TEXT,__text) external _SQLStatisticsA
0000000283b2bc90 (__TEXT,__text) external _SQLStatisticsW
0000000283b2b66c (__TEXT,__text) non-external _SQLStatistics_Internal
0000000283b2fb24 (__TEXT,__text) external _SQLTablePrivileges
0000000283b2fccc (__TEXT,__text) external _SQLTablePrivilegesA
0000000283b2fe74 (__TEXT,__text) external _SQLTablePrivilegesW
0000000283b2f8f8 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
0000000283b2c0fc (__TEXT,__text) external _SQLTables
0000000283b2c2d8 (__TEXT,__text) external _SQLTablesA
0000000283b2c4b4 (__TEXT,__text) external _SQLTablesW
0000000283b2be6c (__TEXT,__text) non-external _SQLTables_Internal
0000000283b38400 (__TEXT,__text) external _SQLTransact
0000000283b380f8 (__TEXT,__text) non-external _SQLTransact_Internal
0000000283b54060 (__TEXT,__text) non-external _SQLValidDSN
0000000283b540e8 (__TEXT,__text) non-external _SQLValidDSNW
0000000283b533e0 (__TEXT,__text) non-external _SQLWriteFileDSN
0000000283b5349c (__TEXT,__text) non-external _SQLWriteFileDSNW
0000000283b56fc4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
0000000283b5715c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
0000000283b3cd70 (__TEXT,__text) non-external _SectSorter
0000000283b53fa0 (__TEXT,__text) non-external _ValidDSN
0000000283b54004 (__TEXT,__text) non-external _ValidDSNW
0000000283b56e8c (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000283b42cc8 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000283b551f0 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
0000000283b565e4 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000297c11290 (__DATA,__common) non-external __iodbc_env_counter
0000000283b539c4 (__TEXT,__text) non-external __iodbcadm_getinifile
0000000283b3c72c (__TEXT,__text) non-external __iodbcdm_BindColumn
0000000283b3c844 (__TEXT,__text) non-external __iodbcdm_ConvBindData
0000000283b360c8 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
0000000283b3b590 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
0000000283b37974 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
0000000283b40f1c (__TEXT,__text) non-external __iodbcdm_NumResultCols
0000000283b3b7b0 (__TEXT,__text) non-external __iodbcdm_RemoveBind
0000000283b37034 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
0000000283b3026c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
0000000283b369fc (__TEXT,__text) non-external __iodbcdm_SetPos
0000000283b3c7d8 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
0000000283b3c4dc (__TEXT,__text) non-external __iodbcdm_alloc_param
0000000297c11298 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
0000000283b3c904 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
0000000283b2a8a0 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
0000000283b2a914 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
0000000283b55884 (__TEXT,__text) non-external __iodbcdm_cfg_commit
0000000283b54bcc (__TEXT,__text) non-external __iodbcdm_cfg_done
0000000283b55398 (__TEXT,__text) non-external __iodbcdm_cfg_find
0000000283b55024 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
0000000283b54b04 (__TEXT,__text) non-external __iodbcdm_cfg_init
0000000283b3eaac (__TEXT,__text) non-external __iodbcdm_cfg_init_str
0000000283b55b08 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
0000000283b552d0 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
0000000283b3eb40 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
0000000283b3e97c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
0000000283b54c10 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
0000000283b552a4 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
0000000283b32cbc (__TEXT,__text) non-external __iodbcdm_cfg_savefile
0000000283b55b50 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
0000000283b55104 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
0000000283b3ebb8 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
0000000283b55498 (__TEXT,__text) non-external __iodbcdm_cfg_write
0000000283b53c34 (__TEXT,__text) non-external __iodbcdm_check_for_string
0000000283b32a60 (__TEXT,__text) non-external __iodbcdm_con_settracing
0000000283b3c574 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
0000000283b3c650 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
0000000283b32b84 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
0000000283b349a8 (__TEXT,__text) non-external __iodbcdm_dllclose
0000000283b34a1c (__TEXT,__text) non-external __iodbcdm_dllerror
0000000283b348e0 (__TEXT,__text) non-external __iodbcdm_dllopen
0000000283b348dc (__TEXT,__text) non-external __iodbcdm_dllproc
0000000283b34a50 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
0000000283b304e4 (__TEXT,__text) non-external __iodbcdm_driverload
0000000283b30b4c (__TEXT,__text) non-external __iodbcdm_driverunload
0000000283b3b464 (__TEXT,__text) non-external __iodbcdm_dropstmt
0000000283b3756c (__TEXT,__text) non-external __iodbcdm_drvopt_store
0000000283b3008c (__TEXT,__text) non-external __iodbcdm_finish_disconnect
0000000283b3888c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
0000000283b347a4 (__TEXT,__text) non-external __iodbcdm_getInfo_init
0000000283b53d0c (__TEXT,__text) non-external __iodbcdm_getdsnfile
0000000283b34878 (__TEXT,__text) non-external __iodbcdm_getproc
0000000297c11238 (__DATA,__bss) non-external __iodbcdm_initialized
0000000283b55d68 (__TEXT,__text) non-external __iodbcdm_list_entries
0000000283b55c9c (__TEXT,__text) non-external __iodbcdm_list_sections
0000000283b41200 (__TEXT,__text) non-external __iodbcdm_map_c_type
0000000283b41194 (__TEXT,__text) non-external __iodbcdm_map_sql_type
0000000283b34610 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
0000000283b3001c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
0000000283b57320 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
0000000283b32824 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
0000000283b32f08 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
0000000283b30158 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
0000000283b32e4c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
0000000283b388c0 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
0000000283b53c98 (__TEXT,__text) non-external __iodbcdm_remove_quotes
0000000283b34a20 (__TEXT,__text) non-external __iodbcdm_safe_unload
0000000283b38948 (__TEXT,__text) non-external __iodbcdm_sqlerror
0000000283b53eb0 (__TEXT,__text) non-external __iodbcdm_strlcat
0000000283b53e34 (__TEXT,__text) non-external __iodbcdm_strlcpy
0000000283b381f4 (__TEXT,__text) non-external __iodbcdm_transact
0000000291919298 (__DATA_CONST,__const) non-external __mask_CONVERT
0000000291919e70 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
0000000291919f18 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
0000000291919358 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00000002919193e8 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
0000000291919a20 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
0000000291919a58 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
0000000291919758 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
0000000291919aa8 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
0000000291919ac0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
0000000291919ae0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
0000000291919800 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
0000000291919b08 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
0000000291919b20 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
0000000291919270 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
0000000291919280 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
0000000291919730 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
0000000291919b50 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
0000000291919b98 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
0000000291919bb8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
0000000291919bc8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
0000000291919c18 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
0000000291919c38 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
0000000291919cb0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
0000000291919cc0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
0000000291919ce8 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
0000000291919d00 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
0000000291919d80 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
0000000291919db0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
0000000291919dc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
0000000291919dd0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
0000000291919de0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
0000000291919e00 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
0000000291919e20 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
0000000291919e40 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
0000000291919e50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
0000000291919d98 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00000002919193a0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
0000000291919888 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
0000000291919840 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
0000000291919868 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
0000000291919fa8 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
0000000291919fc0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000029191a080 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00000002919198a0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
0000000291919748 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00000002919198c0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
0000000291919410 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00000002919194d8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000029191a0a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00000002919194f0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
0000000291919500 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00000002919198d8 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000029191a0c0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000029191a0d8 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
0000000291919948 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
0000000291919918 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000029191a0f8 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
0000000291919518 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
0000000291919540 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000029191a150 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000029191a170 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000029191a198 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000029191a1c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000029191a230 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000029191a268 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000029191a2e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000029191a338 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000029191a3b8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
