00007ffa1b262ebb (__TEXT,__text) external _AMFDRDecodeCertificate
00007ffa1b25c368 (__TEXT,__text) non-external _AMFDRDecodeLogInternal
00007ffa1b25a6da (__TEXT,__text) external _AMFDRDecodeLogSetHandler
00007ffa1b25f9e6 (__TEXT,__text) external _AMFDRDecodeManifestBody
00007ffa1b26538a (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.1
00007ffa1b2653a9 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.2
00007ffa1b2653c7 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.3
00007ffa1b2653e5 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.4
00007ffa1b265403 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.5
00007ffa1b265421 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.6
00007ffa1b25fd1c (__TEXT,__text) external _AMFDRDecodeManifestBodyDestroy
00007ffa1b25fb0d (__TEXT,__text) external _AMFDRDecodeManifestBodyNext
00007ffa1b26543f (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.1
00007ffa1b26545d (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.2
00007ffa1b2644f2 (__TEXT,__text) external _AMFDRDecodeMetaProperty
00007ffa1b264199 (__TEXT,__text) external _AMFDRDecodeMetadata
00007ffa1b263ca2 (__TEXT,__text) external _AMFDRDecodeMultiResponse
00007ffa1b2637d9 (__TEXT,__text) external _AMFDRDecodeMultiSealingResponse
00007ffa1b25f56e (__TEXT,__text) external _AMFDRDecodeOfflineBlob
00007ffa1b263753 (__TEXT,__text) external _AMFDRDecodeParseDERLengthFromBuffer
00007ffa1b262d00 (__TEXT,__text) external _AMFDRDecodePublicKey
00007ffa1b25ccc1 (__TEXT,__text) external _AMFDRDecodeSealingRequest
00007ffa1b25f6d4 (__TEXT,__text) external _AMFDRDecodeTrustEvaluation
00007ffa1b25c286 (__TEXT,__text) external _AMFDRDecodeTrustObject
00007ffa1b25ee63 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuer
00007ffa1b25ef9e (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuerNoRevocation
00007ffa1b25ee72 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions
00007ffa1b26536b (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions.cold.1
00007ffa1b25e63e (__TEXT,__text) external _AMFDRDecodeVerifyMultiCombinedDataIntegrity
00007ffa1b265326 (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.1
00007ffa1b265349 (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.2
00007ffa1b25c4bc (__TEXT,__text) external _AMFDRDecodeVerifySealingManifest
00007ffa1b264f3a (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.1
00007ffa1b26504f (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.10
00007ffa1b26506d (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.11
00007ffa1b26508b (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.12
00007ffa1b2650a9 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.13
00007ffa1b2650c7 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.14
00007ffa1b2650e5 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.15
00007ffa1b265103 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.16
00007ffa1b264f59 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.2
00007ffa1b264f7a (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.3
00007ffa1b264f9b (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.4
00007ffa1b264fb9 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.5
00007ffa1b264fd7 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.6
00007ffa1b264ff5 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.7
00007ffa1b265013 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.8
00007ffa1b265031 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.9
00007ffa1b25ca75 (__TEXT,__text) external _AMFDRDecodeVerifySealingRequest
00007ffa1b25d0be (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest
00007ffa1b265121 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.1
00007ffa1b265236 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.10
00007ffa1b265254 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.11
00007ffa1b265272 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.12
00007ffa1b265290 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.13
00007ffa1b2652ae (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.14
00007ffa1b2652cc (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00007ffa1b2652ea (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00007ffa1b265140 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00007ffa1b265161 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00007ffa1b265182 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00007ffa1b2651a0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00007ffa1b2651be (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00007ffa1b2651dc (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00007ffa1b2651fa (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00007ffa1b265218 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00007ffa1b25a6d0 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00007ffa1b266110 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00007ffa1b266080 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00007ffa1b2617af (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00007ffa1b2617bb (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00007ffa1b261c34 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00007ffa1b261b8d (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00007ffa1b261c5e (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00007ffa1b2660c0 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00007ffa1b265a40 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00007ffa1b2659f0 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00007ffa1b265ec0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00007ffa1b265e60 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00007ffa1b265e90 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00007ffa1b265a90 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00007ffa1b265cd0 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00007ffa1b265c70 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00007ffa1b265e00 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00007ffa1b265ca0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00007ffa1b265b40 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00007ffa1b265b70 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00007ffa1b265c10 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00007ffa1b265bc0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00007ffa1b265ac0 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00007ffa1b266140 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00007ffa1b2660b0 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00007ffa1b266108 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00007ffa1b266078 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00007ffa1b266180 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00007ffa1b2620a0 (__TEXT,__text) non-external (was a private external) _DEROidCompare
00007ffa1b2619c0 (__TEXT,__text) non-external (was a private external) _DERParseBitString
00007ffa1b261a7c (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00007ffa1b261ab3 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00007ffa1b261b19 (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00007ffa1b261d98 (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00007ffa1b261cf1 (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00007ffa1b266030 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00007ffa1b266150 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00007ffa1b265d80 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00007ffa1b265d00 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00007ffa1b265f20 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00007ffa1b25df11 (__TEXT,__text) non-external __AMFDRDecodeCombined
00007ffa1b2620d3 (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00007ffa1b25cfae (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00007ffa1b25b2b9 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00007ffa1b264d73 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00007ffa1b264e81 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00007ffa1b264e9f (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00007ffa1b264d91 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00007ffa1b264daf (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00007ffa1b264dcd (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00007ffa1b264deb (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00007ffa1b264e09 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00007ffa1b264e27 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00007ffa1b264e45 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00007ffa1b264e63 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00007ffa1b25b87b (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00007ffa1b2605ea (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00007ffa1b260ef4 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00007ffa1b2654b7 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00007ffa1b2654da (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00007ffa1b2654f8 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00007ffa1b265524 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00007ffa1b265542 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00007ffa1b25fcb6 (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00007ffa1b25c05e (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00007ffa1b25e310 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00007ffa1b265308 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00007ffa1b260767 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00007ffa1b263e41 (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00007ffa1b263978 (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00007ffa1b2630e4 (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00007ffa1b25c098 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00007ffa1b264edf (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00007ffa1b264efd (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00007ffa1b264f1b (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00007ffa1b262df7 (__TEXT,__text) non-external __AMFDRDecodePubKey
00007ffa1b26091a (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00007ffa1b26547b (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00007ffa1b265499 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00007ffa1b261516 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00007ffa1b2655d9 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00007ffa1b2655f7 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00007ffa1b25e98c (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00007ffa1b25efac (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00007ffa1b25a6e7 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00007ffa1b264cec (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00007ffa1b25b6dd (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00007ffa1b260a64 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00007ffa1b25b883 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00007ffa1b264ebd (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00007ffa1b25fff9 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00007ffa1b260310 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00007ffa1b25af0a (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00007ffa1b264d17 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00007ffa1b264d35 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00007ffa1b264d54 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00007ffa1b26118c (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00007ffa1b265561 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00007ffa1b26557f (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00007ffa1b26559d (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00007ffa1b2655bb (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00007ffa1b25fe60 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00007ffa423a3b20 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00007ffa423a3b30 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
                 (undefined) external ___bzero (from libSystem)
00007ffa1b266018 (__TEXT,__const) non-external ___oidAppleFDRClientID
00007ffa1b266021 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffa43fcf108 (__DATA,__data) non-external __dyld_private
00007ffa42ec76f0 (__DATA_DIRTY,__bss) non-external __logHandler
00007ffa1b2661ea (__TEXT,__const) non-external __oidAnsip224r1
00007ffa1b2661ef (__TEXT,__const) non-external __oidAnsip384r1
00007ffa1b2661e2 (__TEXT,__const) non-external __oidEcPrime256v1
00007ffa1b2661b4 (__TEXT,__const) non-external __oidEcPubKey
00007ffa1b266190 (__TEXT,__const) non-external __oidRsa
00007ffa1b2661cb (__TEXT,__const) non-external __oidSha1
00007ffa1b266199 (__TEXT,__const) non-external __oidSha1Rsa
00007ffa1b2661d0 (__TEXT,__const) non-external __oidSha256
00007ffa1b2661bb (__TEXT,__const) non-external __oidSha256Ecdsa
00007ffa1b2661a2 (__TEXT,__const) non-external __oidSha256Rsa
00007ffa1b2661d9 (__TEXT,__const) non-external __oidSha384
00007ffa1b2661c3 (__TEXT,__const) non-external __oidSha384Ecdsa
00007ffa1b2661ab (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _free (from libSystem)
00007ffa423a3b08 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00007ffa43fcf0f0 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00007ffa423a3a08 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00007ffa423a39c8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00007ffa423a39e8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00007ffa423a3a98 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00007ffa423a3a28 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00007ffa423a3a60 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00007ffa423a3ad0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00007ffa423a3998 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00007ffa423a39b0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00007ffa1b265920 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00007ffa1b2658e7 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00007ffa1b2658e2 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00007ffa1b2658b0 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00007ffa1b2658d3 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00007ffa1b2658c4 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00007ffa1b2658ec (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00007ffa1b2658d8 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00007ffa1b2658b5 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00007ffa1b2658bf (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00007ffa1b2658c9 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00007ffa1b2658ce (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00007ffa1b2658dd (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00007ffa1b2658ba (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ffa423a3bf0 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00007ffa423a3c00 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00007ffa423a3be0 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00007ffa423a3b80 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00007ffa423a3b40 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00007ffa423a3bb0 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
00007ffa423a3b50 (__DATA_CONST,__const) non-external (was a private external) _oidSha1Rsa
00007ffa423a3bc0 (__DATA_CONST,__const) non-external (was a private external) _oidSha256
00007ffa423a3b90 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Ecdsa
00007ffa423a3b60 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Rsa
00007ffa423a3bd0 (__DATA_CONST,__const) non-external (was a private external) _oidSha384
00007ffa423a3ba0 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Ecdsa
00007ffa423a3b70 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Rsa
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
