00007ff80e0499b0 (__TEXT,__const) non-external _SHA256_K
00007ff80e0452b4 (__TEXT,__text) non-external _ia64_code
00007ff80e04bbf0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff80e03a381 (__TEXT,__text) non-external _index_cat_helper
00007ff80e03cb3b (__TEXT,__text) non-external _index_decode
00007ff80e03ce48 (__TEXT,__text) non-external _index_decoder_end
00007ff80e03c933 (__TEXT,__text) non-external _index_decoder_init
00007ff80e03ce6d (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80e0392df (__TEXT,__text) non-external _index_encode
00007ff80e039bbc (__TEXT,__text) non-external _index_encoder_end
00007ff80e039c24 (__TEXT,__text) non-external _index_stream_end
00007ff80e033a7b (__TEXT,__text) non-external _index_tree_append
00007ff80e039bc6 (__TEXT,__text) non-external _index_tree_node_end
00007ff80e0349f4 (__TEXT,__text) non-external _is_options_valid
00007ff80e039749 (__TEXT,__text) non-external _iter_set_info
00007ff80e038da7 (__TEXT,__text) non-external _length
00007ff80e034a35 (__TEXT,__text) non-external _length_encoder_reset
00007ff80e034b03 (__TEXT,__text) non-external _length_update_prices
00007ff80e03fb8e (__TEXT,__text) non-external _lz_decode
00007ff80e03fcf6 (__TEXT,__text) non-external _lz_decoder_end
00007ff80e035be3 (__TEXT,__text) non-external _lz_encode
00007ff80e039b34 (__TEXT,__text) non-external _lz_encoder_end
00007ff80e034ca0 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80e03f0c2 (__TEXT,__text) non-external _lz_encoder_update
00007ff80e044375 (__TEXT,__text) non-external _lzma2_decode
00007ff80e044668 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80e04424d (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80e035dc4 (__TEXT,__text) non-external _lzma2_encode
00007ff80e039b94 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80e0345bd (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80e0441cd (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80e045828 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80e045800 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80e033960 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80e03bb25 (__TEXT,__text) external _lzma_alone_decoder
00007ff80e03b74c (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80e03a794 (__TEXT,__text) external _lzma_alone_encoder
00007ff80e03bb81 (__TEXT,__text) external _lzma_auto_decoder
00007ff80e03aa2e (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80e03be51 (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80e03aa6e (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80e039de2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80e03c31c (__TEXT,__text) external _lzma_block_decoder
00007ff80e03bf85 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80e03afbf (__TEXT,__text) external _lzma_block_encoder
00007ff80e033f37 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80e03c372 (__TEXT,__text) external _lzma_block_header_decode
00007ff80e035635 (__TEXT,__text) external _lzma_block_header_encode
00007ff80e033d9b (__TEXT,__text) external _lzma_block_header_size
00007ff80e039e41 (__TEXT,__text) external _lzma_block_total_size
00007ff80e035775 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80e0355da (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80e03dfaf (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80e03408d (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80e03406f (__TEXT,__text) external _lzma_check_is_supported
00007ff80e045960 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80e038f78 (__TEXT,__text) external _lzma_check_size
00007ff80e045970 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80e036863 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80e035080 (__TEXT,__text) external _lzma_code
00007ff80e033b5f (__TEXT,__text) external _lzma_crc32
00007ff80e045980 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80e03dfd6 (__TEXT,__text) external _lzma_crc64
00007ff80e047980 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80e0403da (__TEXT,__text) non-external _lzma_decode
00007ff80e04baf0 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80e04400b (__TEXT,__text) non-external _lzma_decoder_init
00007ff80e043d74 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80e043fed (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80e04468d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80e0447d8 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80e04497d (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80e04480c (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80e044a08 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80e04494f (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80e03b015 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80e03c577 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80e0334e0 (__TEXT,__text) external _lzma_easy_encoder
00007ff80e03b086 (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80e033529 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80e03ff7c (__TEXT,__text) non-external _lzma_encode
00007ff80e03fe95 (__TEXT,__text) non-external _lzma_encoder_init
00007ff80e039a48 (__TEXT,__text) external _lzma_end
00007ff80e049af0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80e03c723 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80e03b1b2 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80e03c845 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80e0357ee (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80e033e7c (__TEXT,__text) external _lzma_filter_flags_size
00007ff80e034ef6 (__TEXT,__text) external _lzma_filters_copy
00007ff80e03b1e1 (__TEXT,__text) external _lzma_filters_update
00007ff80e045926 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80e034ece (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80e039ced (__TEXT,__text) external _lzma_get_check
00007ff80e045920 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80e038f95 (__TEXT,__text) external _lzma_index_append
00007ff80e039580 (__TEXT,__text) external _lzma_index_block_count
00007ff80e03ca23 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80e03b370 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80e03a16c (__TEXT,__text) external _lzma_index_cat
00007ff80e03a097 (__TEXT,__text) external _lzma_index_checks
00007ff80e03c8d8 (__TEXT,__text) external _lzma_index_decoder
00007ff80e03a3e5 (__TEXT,__text) external _lzma_index_dup
00007ff80e03b31a (__TEXT,__text) external _lzma_index_encoder
00007ff80e039218 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80e033992 (__TEXT,__text) external _lzma_index_end
00007ff80e03a015 (__TEXT,__text) external _lzma_index_file_size
00007ff80e03cf6e (__TEXT,__text) external _lzma_index_hash_append
00007ff80e03d0c6 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80e03cf3a (__TEXT,__text) external _lzma_index_hash_end
00007ff80e03cec0 (__TEXT,__text) external _lzma_index_hash_init
00007ff80e03cf44 (__TEXT,__text) external _lzma_index_hash_size
00007ff80e0339cb (__TEXT,__text) external _lzma_index_init
00007ff80e0392bf (__TEXT,__text) external _lzma_index_iter_init
00007ff80e03a653 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80e03958a (__TEXT,__text) external _lzma_index_iter_next
00007ff80e03a63c (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80e039f09 (__TEXT,__text) external _lzma_index_memusage
00007ff80e039f6e (__TEXT,__text) external _lzma_index_memused
00007ff80e03996f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80e039eee (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80e039999 (__TEXT,__text) external _lzma_index_size
00007ff80e039fce (__TEXT,__text) external _lzma_index_stream_count
00007ff80e03a0b0 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80e03a10b (__TEXT,__text) external _lzma_index_stream_padding
00007ff80e039fe1 (__TEXT,__text) external _lzma_index_stream_size
00007ff80e039fd7 (__TEXT,__text) external _lzma_index_total_size
00007ff80e03a08d (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80e03f9f6 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80e03fd46 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80e03fd53 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80e0343d9 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80e03f05a (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80e04423c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80e0442f7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80e0343c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80e0441b3 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80e044308 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80e03596d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80e040364 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80e043ffa (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80e0440c7 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80e0440b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80e0361b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80e0346dd (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80e03fe84 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80e03feaa (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80e0347e8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80e044069 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80e038f3e (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80e03ff99 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80e036ccc (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80e033560 (__TEXT,__text) external _lzma_lzma_preset
00007ff80e0440fe (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80e03ff24 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80e039d4f (__TEXT,__text) external _lzma_memlimit_get
00007ff80e039d96 (__TEXT,__text) external _lzma_memlimit_set
00007ff80e039d08 (__TEXT,__text) external _lzma_memusage
00007ff80e03f68d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80e03f721 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80e03f79d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80e03f8f2 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80e038733 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80e0368c1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80e0386a8 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80e03f144 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80e03f37c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80e03f407 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80e03f5e1 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80e03f11d (__TEXT,__text) external _lzma_mf_is_supported
00007ff80e03ff69 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80e0338ef (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80e034369 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80e039cbd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80e039ee4 (__TEXT,__text) external _lzma_physmem
00007ff80e03c807 (__TEXT,__text) external _lzma_properties_decode
00007ff80e035939 (__TEXT,__text) external _lzma_properties_encode
00007ff80e033ecd (__TEXT,__text) external _lzma_properties_size
00007ff80e03c5b0 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80e03b0bf (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80e0340ce (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80e039e5c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80e03c78f (__TEXT,__text) external _lzma_raw_decoder
00007ff80e03c77b (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80e03c7f3 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80e03b2b3 (__TEXT,__text) external _lzma_raw_encoder
00007ff80e0340b7 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80e03b29f (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80e04bb20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80e03ef71 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80e03e0b6 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80e049990 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80e03e0da (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80e045501 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80e0454de (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80e0455c8 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80e0455a5 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80e044a4e (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80e045291 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80e04526e (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80e045192 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80e04516f (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80e044f1c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80e044f07 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80e044eed (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80e0456c8 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80e0456a5 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80e044fd7 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80e044f7f (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80e03b458 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80e03d458 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80e03b481 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80e03dcfc (__TEXT,__text) external _lzma_stream_decoder
00007ff80e03d5c8 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80e033689 (__TEXT,__text) external _lzma_stream_encoder
00007ff80e03377c (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80e03a70f (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80e03dddd (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80e0399c3 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80e03dd57 (__TEXT,__text) external _lzma_stream_header_decode
00007ff80e033b01 (__TEXT,__text) external _lzma_stream_header_encode
00007ff80e0336e4 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80e039ca4 (__TEXT,__text) external _lzma_version_number
00007ff80e039caf (__TEXT,__text) external _lzma_version_string
00007ff80e03de53 (__TEXT,__text) external _lzma_vli_decode
00007ff80e03588f (__TEXT,__text) external _lzma_vli_encode
00007ff80e033f18 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80e038b65 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80e036aae (__TEXT,__text) non-external _move_pos
00007ff80e03f9bd (__TEXT,__text) non-external _normalize
00007ff80e0451b5 (__TEXT,__text) non-external _powerpc_code
00007ff80e03e142 (__TEXT,__text) non-external _process
00007ff80e036adb (__TEXT,__text) non-external _rc_encode
00007ff80e044baf (__TEXT,__text) non-external _simple_code
00007ff80e044e28 (__TEXT,__text) non-external _simple_coder_end
00007ff80e044e55 (__TEXT,__text) non-external _simple_coder_update
00007ff80e0456eb (__TEXT,__text) non-external _sparc_code
00007ff80e03d729 (__TEXT,__text) non-external _stream_decode
00007ff80e03dc84 (__TEXT,__text) non-external _stream_decoder_end
00007ff80e03dcb8 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80e03dcc4 (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80e0352df (__TEXT,__text) non-external _stream_encode
00007ff80e045940 (__TEXT,__const) non-external _stream_encode.convert
00007ff80e039aa0 (__TEXT,__text) non-external _stream_encoder_end
00007ff80e033c9b (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80e039c3b (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80e03428d (__TEXT,__text) non-external _validate_chain
00007ff80e044fe3 (__TEXT,__text) non-external _x86_code
00007ff80e04bba0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80e044f8e (__TEXT,__text) non-external _x86_coder_init
