00007ff84004b8a8 (__DATA,__data) non-external _C
00007ff80032405e (__TEXT,__text) external ___add_ovflpage
00007ff800323de8 (__TEXT,__text) external ___addel
00007ff80032a9c5 (__TEXT,__text) external ___any_on_D2A
00007ff80037eb7e (__TEXT,__text) external ___assert_rtn
00007ff840059108 (__DATA,__bss) non-external ___atexit
00007ff800361a7a (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff840059110 (__DATA,__bss) non-external ___atexit_new_registration
00007ff80032a583 (__TEXT,__text) external ___b2d_D2A
00007ff800322747 (__TEXT,__text) external ___big_delete
00007ff800322470 (__TEXT,__text) external ___big_insert
00007ff800322d93 (__TEXT,__text) external ___big_keydata
00007ff800322a1e (__TEXT,__text) external ___big_return
00007ff800322f00 (__TEXT,__text) external ___big_split
00007ff8003802d0 (__TEXT,__const) external ___bigtens_D2A
00007ff80031d58c (__TEXT,__text) external ___bt_close
00007ff80032114e (__TEXT,__text) external ___bt_cmp
00007ff8003211ee (__TEXT,__text) external ___bt_defcmp
00007ff800321233 (__TEXT,__text) external ___bt_defpfx
00007ff80031d9ed (__TEXT,__text) external ___bt_delete
00007ff80031e00e (__TEXT,__text) external ___bt_dleaf
00007ff80031eee5 (__TEXT,__text) external ___bt_fd
00007ff80031fdce (__TEXT,__text) non-external ___bt_first
00007ff80031f1b8 (__TEXT,__text) external ___bt_free
00007ff80031e661 (__TEXT,__text) external ___bt_get
00007ff80031f1e9 (__TEXT,__text) external ___bt_new
00007ff80031e737 (__TEXT,__text) external ___bt_open
00007ff80031e3ab (__TEXT,__text) non-external ___bt_pdelete
00007ff80031d724 (__TEXT,__text) external ___bt_pgin
00007ff80031d8aa (__TEXT,__text) external ___bt_pgout
00007ff80031f23c (__TEXT,__text) external ___bt_put
00007ff80031e5db (__TEXT,__text) non-external ___bt_relink
00007ff800320fb1 (__TEXT,__text) external ___bt_ret
00007ff80031f787 (__TEXT,__text) external ___bt_search
00007ff80031f9c4 (__TEXT,__text) external ___bt_seq
00007ff80031fd84 (__TEXT,__text) external ___bt_setcur
00007ff80031ffaa (__TEXT,__text) external ___bt_split
00007ff80031d655 (__TEXT,__text) external ___bt_sync
00007ff8003234b9 (__TEXT,__text) external ___buf_free
00007ff800323481 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff84004b8b0 (__DATA,__data) non-external ___c_locale
00007ff80036fee9 (__TEXT,__text) non-external ___calc_left_pad
00007ff800321ff8 (__TEXT,__text) external ___call_hash
00007ff84004c950 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80037de69 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80037de7b (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff80037de63 (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff80037de8d (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff840059250 (__DATA,__common) external ___cleanup
00007ff80032a42e (__TEXT,__text) external ___cmp_D2A
00007ff800338e34 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800338fd0 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800339154 (__TEXT,__text) external ___collate_equiv_match
00007ff800339586 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff80033866d (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff84004bf90 (__DATA,__data) external ___collate_load_error
00007ff800337d6d (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff84004e590 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff80033897d (__TEXT,__text) external ___collate_lookup
00007ff80033872a (__TEXT,__text) external ___collate_lookup_l
00007ff800338b42 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800338a3d (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff8003396b0 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff84004e598 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff84004e5a0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800338468 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800338625 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800338bf8 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800313ae0 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff80032a953 (__TEXT,__text) external ___copybits_D2A
00007ff800369891 (__TEXT,__text) non-external ___cvt
00007ff840059180 (__DATA,__bss) non-external ___cvt.s
00007ff800361c07 (__TEXT,__text) external ___cxa_atexit
00007ff800361e36 (__TEXT,__text) external ___cxa_finalize
00007ff800361c33 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff80032a655 (__TEXT,__text) external ___d2b_D2A
00007ff840059200 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff80032131a (__TEXT,__text) non-external ___dberr
00007ff8003212f5 (__TEXT,__text) external ___dbpanic
00007ff80032bfcd (__TEXT,__text) external ___decrement_D2A
00007ff84004be88 (__DATA,__data) external ___default_hash
00007ff8003236c8 (__TEXT,__text) external ___delpair
00007ff80033d28e (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff80032a475 (__TEXT,__text) external ___diff_D2A
00007ff84004e2e0 (__DATA,__bss) non-external ___dirhelper_func
00007ff8003270f0 (__TEXT,__text) external ___dtoa
00007ff840059270 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff80036214c (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff840059114 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff80035e9d8 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800344d6f (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800321ec0 (__TEXT,__text) external ___expand_table
00007ff840050020 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800341a70 (__TEXT,__text) external ___fflush
00007ff800341e7a (__TEXT,__text) external ___fgetwc
00007ff800345550 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800322892 (__TEXT,__text) external ___find_bigpair
00007ff8003229ab (__TEXT,__text) external ___find_last_page
00007ff800346ad4 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff8003620a9 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8003804b0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00007ff80033a1ab (__TEXT,__text) external ___fix_locale_grouping_str
00007ff80033a251 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800342b06 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800342ffb (__TEXT,__text) external ___fread
00007ff800324932 (__TEXT,__text) external ___free_ovflpage
00007ff800326f88 (__TEXT,__text) external ___freedtoa
00007ff84004c954 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff80031468c (__TEXT,__text) non-external ___fts_open
00007ff800327f9c (__TEXT,__text) external ___gdtoa
00007ff8400591b0 (__DATA,__common) external ___gdtoa_locks
00007ff800323092 (__TEXT,__text) external ___get_buf
00007ff80033ac66 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff80033b16c (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff80033b44d (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff80035e1ab (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff80033d0d5 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff8003243f6 (__TEXT,__text) external ___get_page
00007ff80033289b (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff840050000 (__DATA,__bss) non-external ___getevp.predicate
00007ff800329144 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff84004b2d8 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800361805 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800321328 (__TEXT,__text) external ___hash_open
00007ff800326930 (__TEXT,__text) external ___hdtoa
00007ff800369f57 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8003801c0 (__TEXT,__const) external ___hexdig_D2A
00007ff800329c55 (__TEXT,__text) external ___hexdig_init_D2A
00007ff800329c5b (__TEXT,__text) external ___hexnan_D2A
00007ff80032a062 (__TEXT,__text) external ___hi0bits_D2A
00007ff800326c99 (__TEXT,__text) external ___hldtoa
00007ff80032a0ce (__TEXT,__text) external ___i2b_D2A
00007ff800324878 (__TEXT,__text) external ___ibitmap
00007ff80032bf42 (__TEXT,__text) external ___increment_D2A
00007ff800367871 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff80033c71a (__TEXT,__text) external ___isctype
00007ff80033c6b1 (__TEXT,__text) external ___istype
00007ff80033c878 (__TEXT,__text) external ___istype_l
00007ff84004bf09 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff80033a9f9 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff80036a1fc (__TEXT,__text) external ___ldtoa
00007ff80031cbc5 (__TEXT,__text) external ___libc_init
00007ff800329f37 (__TEXT,__text) external ___lo0bits_D2A
00007ff800344d9a (__TEXT,__text) non-external ___loadevp
00007ff84004b8a0 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff8003236ac (__TEXT,__text) external ___log2
00007ff8003811b0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff80032a327 (__TEXT,__text) external ___lshift_D2A
00007ff80033c660 (__TEXT,__text) external ___maskrune
00007ff80033c824 (__TEXT,__text) external ___maskrune_l
00007ff80032a916 (__TEXT,__text) external ___match_D2A
00007ff84004bf98 (__DATA,__data) external ___mb_cur_max
00007ff84004bf9c (__DATA,__data) external ___mb_sb_limit
00007ff80035460e (__TEXT,__text) non-external ___mbsconv
00007ff80033b9a7 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80037e05d (__TEXT,__text) external ___memccpy_chk
00007ff80037e4a5 (__TEXT,__text) external ___memcpy_chk
00007ff80037dff8 (__TEXT,__text) external ___memmove_chk
00007ff80037deb9 (__TEXT,__text) external ___memset_chk
00007ff80033aa0d (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff84004e5a8 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff80033ac89 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff84004e5b8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff80032a0f1 (__TEXT,__text) external ___mult_D2A
00007ff800329fc0 (__TEXT,__text) external ___multadd_D2A
00007ff80034126d (__TEXT,__text) non-external ___nls_free_resources
00007ff800380b81 (__TEXT,__const) non-external ___nogrouping
00007ff800326f47 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff80031a448 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff80033b18f (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff84004e5c8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff80033d31f (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff80033306c (__TEXT,__text) external ___opendir2
00007ff800333152 (__TEXT,__text) non-external ___opendir_common
00007ff80031f0f9 (__TEXT,__text) external ___ovfl_delete
00007ff80031ef32 (__TEXT,__text) external ___ovfl_get
00007ff80031f007 (__TEXT,__text) external ___ovfl_put
00007ff8003506fe (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff840050048 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff840050040 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff84004c570 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff80033a7c5 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400591d0 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff84004bf10 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff80032a21a (__TEXT,__text) external ___pow5mult_D2A
00007ff8003802c0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff80036d0a9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff80037fb77 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff80036b462 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff80037fa07 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff80036b54c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff80037fa28 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff80036c050 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff80037fa6e (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff80036c2d6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff80037fa8f (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff80036d806 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff80037fbdc (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80036d7e8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff80036cab6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80037fb12 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff80036cb57 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff80037fb35 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff80036cdee (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff80037fb56 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff80036d1f6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff80037fb9a (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff80036d537 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff80037fbbb (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff80036d88f (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff80036dfea (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff80036d64c (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800349cd3 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff80036d75a (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff80036d6e9 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff80036d67f (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff80036d0e8 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff80036b47d (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff80036b584 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff80037fa4b (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80036c073 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff80036c353 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff80037fab2 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80037faef (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff80036d821 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff80036d7f0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff80036cadf (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff80036cb72 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff80036ce20 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff80036d211 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80036d552 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800332387 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff84004e468 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800324596 (__TEXT,__text) external ___put_page
00007ff800380c1f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800326fa9 (__TEXT,__text) external ___quorem_D2A
00007ff80032a873 (__TEXT,__text) external ___ratio_D2A
00007ff80032516f (__TEXT,__text) external ___rec_close
00007ff80032547a (__TEXT,__text) external ___rec_delete
00007ff800325586 (__TEXT,__text) external ___rec_dleaf
00007ff800325ef9 (__TEXT,__text) external ___rec_fd
00007ff8003259d6 (__TEXT,__text) external ___rec_fmap
00007ff80032577a (__TEXT,__text) external ___rec_fpipe
00007ff80032568a (__TEXT,__text) external ___rec_get
00007ff800326204 (__TEXT,__text) external ___rec_iput
00007ff800325bae (__TEXT,__text) external ___rec_open
00007ff800325f48 (__TEXT,__text) external ___rec_put
00007ff8003267a0 (__TEXT,__text) external ___rec_ret
00007ff800326441 (__TEXT,__text) external ___rec_search
00007ff8003265e8 (__TEXT,__text) external ___rec_seq
00007ff80032522b (__TEXT,__text) external ___rec_sync
00007ff800325af7 (__TEXT,__text) external ___rec_vmap
00007ff8003258a8 (__TEXT,__text) external ___rec_vpipe
00007ff80032358f (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800329b4d (__TEXT,__text) external ___rshift_D2A
00007ff80032c098 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00007ff800326f0c (__TEXT,__text) external ___rv_alloc_D2A
00007ff80032a79f (__TEXT,__text) external ___s2b_D2A
00007ff84004c090 (__DATA,__data) external ___sF
00007ff84004c260 (__DATA,__data) non-external ___sFX
00007ff800348d35 (__TEXT,__text) external ___sclose
00007ff84004e800 (__DATA,__bss) non-external ___scounted
00007ff8400591e8 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff80032bffe (__TEXT,__text) external ___set_ones_D2A
00007ff8003678c6 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff80033d432 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff84004e7a8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff84004e7b0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff80036ff78 (__TEXT,__text) non-external ___setup_vars
00007ff8003426dc (__TEXT,__text) external ___sflags
00007ff8003418ff (__TEXT,__text) external ___sflush
00007ff80034228d (__TEXT,__text) external ___sfp
00007ff80034261b (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800343e44 (__TEXT,__text) external ___sfvwrite
00007ff84004c500 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff80034244d (__TEXT,__text) external ___sinit
00007ff800341ada (__TEXT,__text) external ___slbexpand
00007ff800344acf (__TEXT,__text) external ___smakebuf
00007ff80037e0aa (__TEXT,__text) external ___snprintf_chk
00007ff80037e148 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff8003237fa (__TEXT,__text) external ___split_page
00007ff800354c83 (__TEXT,__text) non-external ___sprint
00007ff80037e30c (__TEXT,__text) external ___sprintf_chk
00007ff80037e3d8 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800348d05 (__TEXT,__text) external ___sread
00007ff800348410 (__TEXT,__text) external ___srefill
00007ff80034825f (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff8003483b7 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff8003484e3 (__TEXT,__text) external ___srget
00007ff800348d27 (__TEXT,__text) external ___sseek
00007ff800361978 (__TEXT,__text) external ___stack_chk_fail
00007ff840059210 (__DATA,__common) external ___stack_chk_guard
00007ff84004c4e0 (__DATA,__data) external ___stderrp
00007ff84004c4d0 (__DATA,__data) external ___stdinp
00007ff80037e52d (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff840050010 (__DATA,__bss) non-external ___stdout_evp
00007ff84004c4d8 (__DATA,__data) external ___stdoutp
00007ff80037e2b7 (__TEXT,__text) external ___stpcpy_chk
00007ff80037e4b7 (__TEXT,__text) external ___stpncpy_chk
00007ff80037e1f3 (__TEXT,__text) external ___strcat_chk
00007ff80032a77c (__TEXT,__text) external ___strcp_D2A
00007ff80037e00a (__TEXT,__text) external ___strcpy_chk
00007ff84004e808 (__DATA,__bss) non-external ___stream_max
00007ff8400590e8 (__DATA,__bss) non-external ___strerror_ebuf
00007ff80037dd93 (__TEXT,__text) external ___strlcat_chk
00007ff80037decb (__TEXT,__text) external ___strlcpy_chk
00007ff80037df16 (__TEXT,__text) external ___strncat_chk
00007ff80037dfa0 (__TEXT,__text) external ___strncpy_chk
00007ff80032c3b6 (__TEXT,__text) external ___strtodg
00007ff80032df8c (__TEXT,__text) external ___strtopdd
00007ff800380540 (__TEXT,__const) non-external ___strtopdd.fpi0
00007ff80032e354 (__TEXT,__text) external ___strtopx
00007ff84004bed0 (__DATA,__data) non-external ___strtopx.fpi0
00007ff80032e508 (__TEXT,__text) external ___sum_D2A
00007ff8003506d0 (__TEXT,__text) external ___svfscanf
00007ff80034e4b9 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800380c70 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800357a16 (__TEXT,__text) external ___swbuf
00007ff800344cc0 (__TEXT,__text) external ___swhatbuf
00007ff800348d16 (__TEXT,__text) external ___swrite
00007ff800357dc7 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff84004c818 (__DATA,__data) non-external ___systemfn_mutex
00007ff84004c910 (__DATA,__data) non-external ___systemfn_mutex
00007ff800380330 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800317c6c (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800317a70 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff80035e1ce (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400590e0 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff800380300 (__TEXT,__const) external ___tinytens_D2A
00007ff80033c77c (__TEXT,__text) external ___tolower
00007ff80033c908 (__TEXT,__text) external ___tolower_l
00007ff80033c73c (__TEXT,__text) external ___toupper
00007ff80033c8e9 (__TEXT,__text) external ___toupper_l
00007ff800329c0a (__TEXT,__text) external ___trailz_D2A
00007ff80032e65e (__TEXT,__text) external ___ulp_D2A
00007ff80034e002 (__TEXT,__text) non-external ___ultoa
