00007ffa17b1cf0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa17b12e48 (__TEXT,__text) external _glBitmap
00007ffa17b155c2 (__TEXT,__text) external _glBlendColor
00007ffa17b1bc36 (__TEXT,__text) external _glBlendColorEXT
00007ffa17b155dc (__TEXT,__text) external _glBlendEquation
00007ffa17b1bc50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa17b1758f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa17b1cd80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa17b1bc6c (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa17b18f58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa17b1b5dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa17b18f3a (__TEXT,__text) external _glBlendEquationi
00007ffa17b1b5be (__TEXT,__text) external _glBlendEquationiARB
00007ffa17b12e66 (__TEXT,__text) external _glBlendFunc
00007ffa17b1651a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa17b1bbc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa17b18f9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa17b1b61e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa17b18f79 (__TEXT,__text) external _glBlendFunci
00007ffa17b1b5fd (__TEXT,__text) external _glBlendFunciARB
00007ffa17b178bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa17b1bec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa17b168cc (__TEXT,__text) external _glBufferData
00007ffa17b1ae8f (__TEXT,__text) external _glBufferDataARB
00007ffa17b1cc29 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa17b168f2 (__TEXT,__text) external _glBufferSubData
00007ffa17b1aeb5 (__TEXT,__text) external _glBufferSubDataARB
00007ffa17b12e81 (__TEXT,__text) external _glCallList
00007ffa17b12e9a (__TEXT,__text) external _glCallLists
00007ffa17b177bb (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa17b1bdc0 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa17b17bb1 (__TEXT,__text) external _glClampColor
00007ffa17b1b51d (__TEXT,__text) external _glClampColorARB
00007ffa17b12eb8 (__TEXT,__text) external _glClear
00007ffa17b12ed1 (__TEXT,__text) external _glClearAccum
00007ffa17b1815a (__TEXT,__text) external _glClearBufferfi
00007ffa17b18138 (__TEXT,__text) external _glClearBufferfv
00007ffa17b180f4 (__TEXT,__text) external _glClearBufferiv
00007ffa17b18116 (__TEXT,__text) external _glClearBufferuiv
00007ffa17b12ee8 (__TEXT,__text) external _glClearColor
00007ffa17b1c5cb (__TEXT,__text) external _glClearColorIiEXT
00007ffa17b1c5ef (__TEXT,__text) external _glClearColorIuiEXT
00007ffa17b12eff (__TEXT,__text) external _glClearDepth
00007ffa17b1903f (__TEXT,__text) external _glClearDepthf
00007ffa17b12f16 (__TEXT,__text) external _glClearIndex
00007ffa17b12f2d (__TEXT,__text) external _glClearStencil
00007ffa17b15bd6 (__TEXT,__text) external _glClientActiveTexture
00007ffa17b1a4de (__TEXT,__text) external _glClientActiveTextureARB
00007ffa17b1847d (__TEXT,__text) external _glClientWaitSync
00007ffa17b12f49 (__TEXT,__text) external _glClipPlane
00007ffa17b12f68 (__TEXT,__text) external _glColor3b
00007ffa17b12f88 (__TEXT,__text) external _glColor3bv
00007ffa17b12fa5 (__TEXT,__text) external _glColor3d
00007ffa17b12fbf (__TEXT,__text) external _glColor3dv
00007ffa17b12fdc (__TEXT,__text) external _glColor3f
00007ffa17b12ff6 (__TEXT,__text) external _glColor3fv
00007ffa17b13013 (__TEXT,__text) external _glColor3i
00007ffa17b13033 (__TEXT,__text) external _glColor3iv
00007ffa17b13050 (__TEXT,__text) external _glColor3s
00007ffa17b13070 (__TEXT,__text) external _glColor3sv
00007ffa17b1308d (__TEXT,__text) external _glColor3ub
00007ffa17b130ad (__TEXT,__text) external _glColor3ubv
00007ffa17b130ca (__TEXT,__text) external _glColor3ui
00007ffa17b130ea (__TEXT,__text) external _glColor3uiv
00007ffa17b13107 (__TEXT,__text) external _glColor3us
00007ffa17b13127 (__TEXT,__text) external _glColor3usv
00007ffa17b13144 (__TEXT,__text) external _glColor4b
00007ffa17b13167 (__TEXT,__text) external _glColor4bv
00007ffa17b13184 (__TEXT,__text) external _glColor4d
00007ffa17b1319e (__TEXT,__text) external _glColor4dv
00007ffa17b131bb (__TEXT,__text) external _glColor4f
00007ffa17b131d5 (__TEXT,__text) external _glColor4fv
00007ffa17b131f2 (__TEXT,__text) external _glColor4i
00007ffa17b13215 (__TEXT,__text) external _glColor4iv
00007ffa17b13232 (__TEXT,__text) external _glColor4s
00007ffa17b13255 (__TEXT,__text) external _glColor4sv
00007ffa17b13272 (__TEXT,__text) external _glColor4ub
00007ffa17b13295 (__TEXT,__text) external _glColor4ubv
00007ffa17b132b2 (__TEXT,__text) external _glColor4ui
00007ffa17b132d5 (__TEXT,__text) external _glColor4uiv
00007ffa17b132f2 (__TEXT,__text) external _glColor4us
00007ffa17b13315 (__TEXT,__text) external _glColor4usv
00007ffa17b13332 (__TEXT,__text) external _glColorMask
00007ffa17b1c69b (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa17b17a1c (__TEXT,__text) external _glColorMaski
00007ffa17b13355 (__TEXT,__text) external _glColorMaterial
00007ffa17b13373 (__TEXT,__text) external _glColorPointer
00007ffa17b15812 (__TEXT,__text) external _glColorSubTable
00007ffa17b1b860 (__TEXT,__text) external _glColorSubTableEXT
00007ffa17b1570c (__TEXT,__text) external _glColorTable
00007ffa17b1b82d (__TEXT,__text) external _glColorTableEXT
00007ffa17b1573f (__TEXT,__text) external _glColorTableParameterfv
00007ffa17b15761 (__TEXT,__text) external _glColorTableParameteriv
00007ffa17b1ce9f (__TEXT,__text) external _glCombinerInputNV
00007ffa17b1cea5 (__TEXT,__text) external _glCombinerOutputNV
00007ffa17b1ce8d (__TEXT,__text) external _glCombinerParameterfNV
00007ffa17b1ce87 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa17b1ce99 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa17b1ce93 (__TEXT,__text) external _glCombinerParameterivNV
00007ffa17b1ced5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa17b16fb0 (__TEXT,__text) external _glCompileShader
00007ffa17b1b01a (__TEXT,__text) external _glCompileShaderARB
00007ffa17b1b68c (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa17b160de (__TEXT,__text) external _glCompressedTexImage1D
00007ffa17b1a9e6 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa17b160a4 (__TEXT,__text) external _glCompressedTexImage2D
00007ffa17b1a9ac (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa17b16066 (__TEXT,__text) external _glCompressedTexImage3D
00007ffa17b1a96e (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa17b1619e (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa17b1aaa6 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa17b16160 (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa17b1aa68 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa17b1610e (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa17b1aa16 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa17b1586c (__TEXT,__text) external _glConvolutionFilter1D
00007ffa17b1589f (__TEXT,__text) external _glConvolutionFilter2D
00007ffa17b158cf (__TEXT,__text) external _glConvolutionParameterf
00007ffa17b158ed (__TEXT,__text) external _glConvolutionParameterfv
00007ffa17b1590f (__TEXT,__text) external _glConvolutionParameteri
00007ffa17b15930 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa17b18199 (__TEXT,__text) external _glCopyBufferSubData
00007ffa17b15845 (__TEXT,__text) external _glCopyColorSubTable
00007ffa17b15783 (__TEXT,__text) external _glCopyColorTable
00007ffa17b15952 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa17b15979 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa17b13396 (__TEXT,__text) external _glCopyPixels
00007ffa17b133bc (__TEXT,__text) external _glCopyTexImage1D
00007ffa17b133ef (__TEXT,__text) external _glCopyTexImage2D
00007ffa17b1342e (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa17b13461 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa17b156c8 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa17b16fcf (__TEXT,__text) external _glCreateProgram
00007ffa17b1b037 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa17b16f6c (__TEXT,__text) external _glCreateShader
00007ffa17b1afd8 (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa17b19106 (__TEXT,__text) external _glCreateShaderProgramv
00007ffa17b134a0 (__TEXT,__text) external _glCullFace
00007ffa17b16872 (__TEXT,__text) external _glDeleteBuffers
00007ffa17b1ae35 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa17b1c987 (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa17b1777d (__TEXT,__text) external _glDeleteFramebuffers
00007ffa17b1bd82 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa17b134bc (__TEXT,__text) external _glDeleteLists
00007ffa17b1b66d (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa17b1af7f (__TEXT,__text) external _glDeleteObjectARB
00007ffa17b17049 (__TEXT,__text) external _glDeleteProgram
00007ffa17b19144 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa17b19bc7 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa17b16779 (__TEXT,__text) external _glDeleteQueries
00007ffa17b1ad3c (__TEXT,__text) external _glDeleteQueriesARB
00007ffa17b176bf (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa17b1bcc4 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa17b1867b (__TEXT,__text) external _glDeleteSamplers
00007ffa17b16f28 (__TEXT,__text) external _glDeleteShader
00007ffa17b18460 (__TEXT,__text) external _glDeleteSync
00007ffa17b134da (__TEXT,__text) external _glDeleteTextures
00007ffa17b18df6 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa17b179c2 (__TEXT,__text) external _glDeleteVertexArrays
00007ffa17b1caca (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa17b1b813 (__TEXT,__text) external _glDepthBoundsEXT
00007ffa17b134f9 (__TEXT,__text) external _glDepthFunc
00007ffa17b13515 (__TEXT,__text) external _glDepthMask
00007ffa17b13531 (__TEXT,__text) external _glDepthRange
00007ffa17b19b27 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa17b19b49 (__TEXT,__text) external _glDepthRangeIndexed
00007ffa17b19025 (__TEXT,__text) external _glDepthRangef
00007ffa17b1afb8 (__TEXT,__text) external _glDetachObjectARB
00007ffa17b16f47 (__TEXT,__text) external _glDetachShader
00007ffa17b1354b (__TEXT,__text) external _glDisable
00007ffa17b13567 (__TEXT,__text) external _glDisableClientState
00007ffa17b1c6e0 (__TEXT,__text) external _glDisableIndexedEXT
00007ffa17b1c83a (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa17b16e84 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa17b1a0ca (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa17b17aa5 (__TEXT,__text) external _glDisablei
00007ffa17b13583 (__TEXT,__text) external _glDrawArrays
00007ffa17b189c3 (__TEXT,__text) external _glDrawArraysIndirect
00007ffa17b182c0 (__TEXT,__text) external _glDrawArraysInstanced
00007ffa17b1b559 (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa17b135a4 (__TEXT,__text) external _glDrawBuffer
00007ffa17b169bc (__TEXT,__text) external _glDrawBuffers
00007ffa17b1b4fe (__TEXT,__text) external _glDrawBuffersARB
00007ffa17b1cb43 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa17b135c0 (__TEXT,__text) external _glDrawElements
00007ffa17b18348 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa17b189e2 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa17b182e4 (__TEXT,__text) external _glDrawElementsInstanced
00007ffa17b1b57d (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffa17b183a2 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffa17b135e4 (__TEXT,__text) external _glDrawPixels
00007ffa17b1cb64 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffa17b155f8 (__TEXT,__text) external _glDrawRangeElements
00007ffa17b1836f (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffa17b1bb91 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffa17b18e7e (__TEXT,__text) external _glDrawTransformFeedback
00007ffa17b18e9c (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffa17b1360b (__TEXT,__text) external _glEdgeFlag
00007ffa17b13627 (__TEXT,__text) external _glEdgeFlagPointer
00007ffa17b13646 (__TEXT,__text) external _glEdgeFlagv
00007ffa17b1cb24 (__TEXT,__text) external _glElementPointerAPPLE
00007ffa17b13663 (__TEXT,__text) external _glEnable
00007ffa17b1367f (__TEXT,__text) external _glEnableClientState
00007ffa17b1c6c2 (__TEXT,__text) external _glEnableIndexedEXT
00007ffa17b1c81c (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffa17b16e68 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffa17b1a0ae (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffa17b17a87 (__TEXT,__text) external _glEnablei
00007ffa17b1369b (__TEXT,__text) external _glEnd
00007ffa17b17bed (__TEXT,__text) external _glEndConditionalRender
00007ffa17b1ce1c (__TEXT,__text) external _glEndConditionalRenderNV
00007ffa17b136b2 (__TEXT,__text) external _glEndList
00007ffa17b167d2 (__TEXT,__text) external _glEndQuery
00007ffa17b1ad95 (__TEXT,__text) external _glEndQueryARB
00007ffa17b18ede (__TEXT,__text) external _glEndQueryIndexed
00007ffa17b17afd (__TEXT,__text) external _glEndTransformFeedback
00007ffa17b1c056 (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffa17b136c9 (__TEXT,__text) external _glEvalCoord1d
00007ffa17b136e3 (__TEXT,__text) external _glEvalCoord1dv
00007ffa17b13700 (__TEXT,__text) external _glEvalCoord1f
00007ffa17b1371a (__TEXT,__text) external _glEvalCoord1fv
00007ffa17b13737 (__TEXT,__text) external _glEvalCoord2d
00007ffa17b13751 (__TEXT,__text) external _glEvalCoord2dv
00007ffa17b1376e (__TEXT,__text) external _glEvalCoord2f
00007ffa17b13788 (__TEXT,__text) external _glEvalCoord2fv
00007ffa17b137a5 (__TEXT,__text) external _glEvalMesh1
00007ffa17b137c6 (__TEXT,__text) external _glEvalMesh2
00007ffa17b137ed (__TEXT,__text) external _glEvalPoint1
00007ffa17b13809 (__TEXT,__text) external _glEvalPoint2
00007ffa17b13827 (__TEXT,__text) external _glFeedbackBuffer
00007ffa17b18425 (__TEXT,__text) external _glFenceSync
00007ffa17b1ceab (__TEXT,__text) external _glFinalCombinerInputNV
00007ffa17b13849 (__TEXT,__text) external _glFinish
00007ffa17b1c9fa (__TEXT,__text) external _glFinishFenceAPPLE
00007ffa17b1ca34 (__TEXT,__text) external _glFinishObjectAPPLE
00007ffa17b1cbfb (__TEXT,__text) external _glFinishRenderAPPLE
00007ffa17b13860 (__TEXT,__text) external _glFlush
00007ffa17b17983 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffa17b1cc4a (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffa17b1cbe4 (__TEXT,__text) external _glFlushRenderAPPLE
00007ffa17b1ca71 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffa17b1627a (__TEXT,__text) external _glFogCoordPointer
00007ffa17b1bb6f (__TEXT,__text) external _glFogCoordPointerEXT
00007ffa17b16243 (__TEXT,__text) external _glFogCoordd
00007ffa17b1bb38 (__TEXT,__text) external _glFogCoorddEXT
00007ffa17b1625d (__TEXT,__text) external _glFogCoorddv
00007ffa17b1bb52 (__TEXT,__text) external _glFogCoorddvEXT
00007ffa17b1620c (__TEXT,__text) external _glFogCoordf
00007ffa17b1bb01 (__TEXT,__text) external _glFogCoordfEXT
00007ffa17b16226 (__TEXT,__text) external _glFogCoordfv
00007ffa17b1bb1b (__TEXT,__text) external _glFogCoordfvEXT
00007ffa17b13877 (__TEXT,__text) external _glFogf
00007ffa17b13893 (__TEXT,__text) external _glFogfv
00007ffa17b138b2 (__TEXT,__text) external _glFogi
00007ffa17b138d0 (__TEXT,__text) external _glFogiv
00007ffa17b17858 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffa17b1be5d (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffa17b185f5 (__TEXT,__text) external _glFramebufferTexture
00007ffa17b177d7 (__TEXT,__text) external _glFramebufferTexture1D
00007ffa17b1bddc (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffa17b177fe (__TEXT,__text) external _glFramebufferTexture2D
00007ffa17b1be03 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffa17b17825 (__TEXT,__text) external _glFramebufferTexture3D
00007ffa17b1be2a (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffa17b1bf5c (__TEXT,__text) external _glFramebufferTextureEXT
00007ffa17b1bfa7 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffa17b17936 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffa17b1bf80 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffa17b138ef (__TEXT,__text) external _glFrontFace
00007ffa17b1390b (__TEXT,__text) external _glFrustum
00007ffa17b16891 (__TEXT,__text) external _glGenBuffers
00007ffa17b1ae54 (__TEXT,__text) external _glGenBuffersARB
00007ffa17b1c968 (__TEXT,__text) external _glGenFencesAPPLE
00007ffa17b1779c (__TEXT,__text) external _glGenFramebuffers
00007ffa17b1bda1 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffa17b13925 (__TEXT,__text) external _glGenLists
00007ffa17b19163 (__TEXT,__text) external _glGenProgramPipelines
00007ffa17b19be6 (__TEXT,__text) external _glGenProgramsARB
00007ffa17b1675a (__TEXT,__text) external _glGenQueries
00007ffa17b1ad1d (__TEXT,__text) external _glGenQueriesARB
00007ffa17b176de (__TEXT,__text) external _glGenRenderbuffers
00007ffa17b1bce3 (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffa17b1865c (__TEXT,__text) external _glGenSamplers
00007ffa17b13941 (__TEXT,__text) external _glGenTextures
00007ffa17b18e15 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffa17b179e1 (__TEXT,__text) external _glGenVertexArrays
00007ffa17b1cae9 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffa17b178a0 (__TEXT,__text) external _glGenerateMipmap
00007ffa17b1bea5 (__TEXT,__text) external _glGenerateMipmapEXT
00007ffa17b174d4 (__TEXT,__text) external _glGetActiveAttrib
00007ffa17b1b4ad (__TEXT,__text) external _glGetActiveAttribARB
00007ffa17b18d00 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffa17b18ccd (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffa17b18ca6 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffa17b1740a (__TEXT,__text) external _glGetActiveUniform
00007ffa17b1b3ed (__TEXT,__text) external _glGetActiveUniformARB
00007ffa17b18278 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffa17b18254 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffa17b1820e (__TEXT,__text) external _glGetActiveUniformName
00007ffa17b181e6 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffa17b1b3a7 (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffa17b17379 (__TEXT,__text) external _glGetAttachedShaders
00007ffa17b17507 (__TEXT,__text) external _glGetAttribLocation
00007ffa17b1b4de (__TEXT,__text) external _glGetAttribLocationARB
00007ffa17b1c0e4 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffa17b17a43 (__TEXT,__text) external _glGetBooleani_v
00007ffa17b13960 (__TEXT,__text) external _glGetBooleanv
00007ffa17b185d3 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffa17b16978 (__TEXT,__text) external _glGetBufferParameteriv
00007ffa17b1af3b (__TEXT,__text) external _glGetBufferParameterivARB
00007ffa17b1699a (__TEXT,__text) external _glGetBufferPointerv
00007ffa17b1af5d (__TEXT,__text) external _glGetBufferPointervARB
00007ffa17b16918 (__TEXT,__text) external _glGetBufferSubData
00007ffa17b1aedb (__TEXT,__text) external _glGetBufferSubDataARB
00007ffa17b1397f (__TEXT,__text) external _glGetClipPlane
00007ffa17b157aa (__TEXT,__text) external _glGetColorTable
00007ffa17b1b893 (__TEXT,__text) external _glGetColorTableEXT
00007ffa17b157ce (__TEXT,__text) external _glGetColorTableParameterfv
00007ffa17b1b8b7 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffa17b157f0 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffa17b1b8d9 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffa17b1ceb1 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffa17b1ceb7 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffa17b1cebd (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffa17b1cec3 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffa17b1cedb (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffa17b161ce (__TEXT,__text) external _glGetCompressedTexImage
00007ffa17b1aad6 (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffa17b159ac (__TEXT,__text) external _glGetConvolutionFilter
00007ffa17b159d0 (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffa17b159f2 (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffa17b19b87 (__TEXT,__text) external _glGetDoublei_v
00007ffa17b1399e (__TEXT,__text) external _glGetDoublev
00007ffa17b139bd (__TEXT,__text) external _glGetError
00007ffa17b1cec9 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffa17b1cecf (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffa17b19b65 (__TEXT,__text) external _glGetFloati_v
00007ffa17b139d4 (__TEXT,__text) external _glGetFloatv
00007ffa17b1863d (__TEXT,__text) external _glGetFragDataIndex
00007ffa17b17f3b (__TEXT,__text) external _glGetFragDataLocation
00007ffa17b1c5ac (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffa17b1787c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffa17b1be81 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffa17b1af9c (__TEXT,__text) external _glGetHandleARB
00007ffa17b15a83 (__TEXT,__text) external _glGetHistogram
00007ffa17b15aaa (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa17b15acc (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa17b1b381 (__TEXT,__text) external _glGetInfoLogARB
00007ffa17b185b1 (__TEXT,__text) external _glGetInteger64i_v
00007ffa17b184c3 (__TEXT,__text) external _glGetInteger64v
00007ffa17b1c0c2 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa17b17a65 (__TEXT,__text) external _glGetIntegeri_v
00007ffa17b139f3 (__TEXT,__text) external _glGetIntegerv
00007ffa17b1b71d (__TEXT,__text) external _glGetInternalformativ
00007ffa17b13a12 (__TEXT,__text) external _glGetLightfv
00007ffa17b13a34 (__TEXT,__text) external _glGetLightiv
00007ffa17b13a56 (__TEXT,__text) external _glGetMapdv
00007ffa17b13a78 (__TEXT,__text) external _glGetMapfv
00007ffa17b13a9a (__TEXT,__text) external _glGetMapiv
00007ffa17b13abc (__TEXT,__text) external _glGetMaterialfv
00007ffa17b13ade (__TEXT,__text) external _glGetMaterialiv
00007ffa17b15aee (__TEXT,__text) external _glGetMinmax
00007ffa17b15b15 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa17b15b37 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa17b18571 (__TEXT,__text) external _glGetMultisamplefv
00007ffa17b1b6d0 (__TEXT,__text) external _glGetNamedStringARB
00007ffa17b1b6f8 (__TEXT,__text) external _glGetNamedStringivARB
00007ffa17b1c7a0 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffa17b1b33b (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffa17b1ccaf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffa17b1b35e (__TEXT,__text) external _glGetObjectParameterivARB
00007ffa17b13b00 (__TEXT,__text) external _glGetPixelMapfv
