00000001db862fe4 (__TEXT,__text) non-external _DiToMD5
00000001db874dbc (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001db874dfc (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001db846b3c (__TEXT,__text) external _IORWLockAlloc
00000001db87521c (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001db846b80 (__TEXT,__text) external _IORWLockFree
00000001db846bc4 (__TEXT,__text) external _IORWLockRead
00000001db875248 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001db846c04 (__TEXT,__text) external _IORWLockUnlock
00000001db8752a0 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001db846be4 (__TEXT,__text) external _IORWLockWrite
00000001db875274 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001db84695c (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001db846998 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001db846a80 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001db875198 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001db8469a8 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001db8750e8 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001db875114 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001db846ac4 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001db8751c4 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001db8751f0 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001db846a10 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001db875140 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001db87516c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001db846914 (__TEXT,__text) external _IORecursiveLockAlloc
00000001db846938 (__TEXT,__text) external _IORecursiveLockFree
00000001db846954 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001db846948 (__TEXT,__text) external _IORecursiveLockLock
00000001db846958 (__TEXT,__text) external _IORecursiveLockTryLock
00000001db846950 (__TEXT,__text) external _IORecursiveLockUnlock
00000001f2254628 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000001f22543a8 (__AUTH_CONST,__const) external _IOReporter_Class
00000001f2254c58 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000001f2254e08 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000001f2254aa8 (__AUTH_CONST,__const) external _IOService_Class
00000001f2254448 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001db84367c (__TEXT,__text) external _IOSleep
00000001f22544e8 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001db846cd0 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001db846c24 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001db846c74 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001db846c9c (__TEXT,__text) external _IOThreadLocalStorageSet
00000001f2256c08 (__AUTH_CONST,__const) external _IOThread_Class
00000001f2254fb8 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001f2255168 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001db8473a8 (__TEXT,__text) external _IOUserServerMain
00000001db8755f8 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001db875784 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001db875624 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001db875650 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001db87567c (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001db8756a8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001db8756d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001db875700 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001db87572c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001db875758 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000001f22554e8 (__AUTH_CONST,__const) external _IOUserServer_Class
00000001e86222a8 (__DATA_DIRTY,__common) external _IOVMPageSize
00000001f2255698 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001db8631a8 (__TEXT,__text) external _MD5Final
00000001db862f34 (__TEXT,__text) external _MD5Init
00000001db86312c (__TEXT,__text) non-external _MD5ToDi
00000001db863054 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000001f2255848 (__AUTH_CONST,__const) external _OSAction_Class
00000001f2255208 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000001f2256948 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001db85212c (__TEXT,__text) external _OSArrayAppendValue
00000001db851c94 (__TEXT,__text) external _OSArrayApply
00000001db851c30 (__TEXT,__text) external _OSArrayCreate
00000001db851108 (__TEXT,__text) external _OSArrayGetCount
00000001db8521d4 (__TEXT,__text) external _OSArrayGetStringValue
00000001db852284 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001db852160 (__TEXT,__text) external _OSArrayGetValue
00000001db852124 (__TEXT,__text) external _OSArrayReplaceValue
00000001db852200 (__TEXT,__text) external _OSArraySetStringValue
00000001db85238c (__TEXT,__text) external _OSArraySetUInt64Value
00000001db851f3c (__TEXT,__text) external _OSArraySetValue
00000001f22559f8 (__AUTH_CONST,__const) external _OSArray_Class
00000001f2255af0 (__AUTH_CONST,__const) external _OSBoolean_Class
00000001f2255be8 (__AUTH_CONST,__const) external _OSBundle_Class
00000001db84fce4 (__TEXT,__text) external _OSCollectionTypeID
00000001db8765ec (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001db84fc14 (__TEXT,__text) external _OSCollectionTypeName
00000001db876594 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000001f2255ce0 (__AUTH_CONST,__const) external _OSCollection_Class
00000001db85538c (__TEXT,__text) external _OSCollectionsInitialize
00000001f2255dd8 (__AUTH_CONST,__const) external _OSContainer_Class
00000001db84fd6c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001db876644 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001db852e30 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001db876ccc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001db852d08 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001db850f4c (__TEXT,__text) external _OSDataAppendBytes
00000001db850ea0 (__TEXT,__text) external _OSDataCreate
00000001db876854 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001db850e34 (__TEXT,__text) external _OSDataGetBytes
00000001db850de8 (__TEXT,__text) external _OSDataGetBytesPtr
00000001db850e24 (__TEXT,__text) external _OSDataGetLength
00000001f2255f38 (__AUTH_CONST,__const) external _OSData_Class
00000001db851114 (__TEXT,__text) external _OSDictionaryApply
00000001db851098 (__TEXT,__text) external _OSDictionaryCreate
00000001db8510fc (__TEXT,__text) external _OSDictionaryGetCount
00000001db8518d8 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001db851ae4 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001db851838 (__TEXT,__text) external _OSDictionaryGetValue
00000001db851a60 (__TEXT,__text) external _OSDictionarySetStringValue
00000001db851bb0 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001db851464 (__TEXT,__text) external _OSDictionarySetValue
00000001f2256030 (__AUTH_CONST,__const) external _OSDictionary_Class
00000001f2256128 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001db851028 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001db851000 (__TEXT,__text) external _OSNumberGetUInt64Value
00000001f2256220 (__AUTH_CONST,__const) external _OSNumber_Class
00000001db85340c (__TEXT,__text) external _OSObjectLog
00000001db84fc74 (__TEXT,__text) external _OSObjectRelease
00000001db84fc50 (__TEXT,__text) external _OSObjectRetain
00000001f2256318 (__AUTH_CONST,__const) external _OSObject_Class
00000001f22564c8 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001db843c04 (__TEXT,__text) external _OSReportWithBacktrace
00000001db852f64 (__TEXT,__text) external _OSSerializationGetBytes
00000001f22565c0 (__AUTH_CONST,__const) external _OSSerialization_Class
00000001f22566b8 (__AUTH_CONST,__const) external _OSSet_Class
00000001db8507c4 (__TEXT,__text) external _OSStringCreate
00000001db876720 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001db87674c (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001db876778 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001db85076c (__TEXT,__text) external _OSStringGetLength
00000001db850730 (__TEXT,__text) external _OSStringGetStringPtr
00000001f22567b0 (__AUTH_CONST,__const) external _OSString_Class
00000001db84368c (__TEXT,__text) external _OSSynchronizeIO
00000001e7d9cad0 (__DATA,__bss) non-external _OSUniqueStrings
00000001db843fec (__TEXT,__text) external _PE_i_can_has_debugger
00000001db8634dc (__TEXT,__text) external _SHA1Final
00000001db863264 (__TEXT,__text) external _SHA1Init
00000001db863464 (__TEXT,__text) non-external _SHA1ToDi
00000001db86338c (__TEXT,__text) external _SHA1Update
00000001db863fd4 (__TEXT,__text) external _SHA256_Final
00000001db863f34 (__TEXT,__text) external _SHA256_Init
00000001db8777b0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001db863f84 (__TEXT,__text) external _SHA256_Update
00000001db8640b8 (__TEXT,__text) external _SHA384_Final
00000001db864018 (__TEXT,__text) external _SHA384_Init
00000001db8777d8 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001db864068 (__TEXT,__text) external _SHA384_Update
00000001db86419c (__TEXT,__text) external _SHA512_Final
00000001db8640fc (__TEXT,__text) external _SHA512_Init
00000001db877800 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001db86414c (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001db844c00 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001db8641e0 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00000001f22568a8 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000001e7d9caa0 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001db844f5c (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001db874ad8 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001db874b04 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001db846cd4 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001db8752cc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001db8752f8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001db875324 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001db875350 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001db87537c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001db845b34 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001db874ed8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001db874f04 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001db874f30 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001db874f5c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001db845248 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001db874bb4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001db85213c (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001db855324 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001db844dc0 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001db874a54 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001db874a80 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001db874aac (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001db8522b0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001db852360 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001db8522dc (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001db844fbc (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001db85278c (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001db876b6c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001db876b98 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001db876bc4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001db876bf0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001db876c1c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001db876c48 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001db8431f0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001db843334 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001db845588 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001db874c0c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001db845708 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001db847120 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001db844d2c (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001db844c78 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001db852f80 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001db876cf8 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001db84514c (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001db874b5c (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001db874b88 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001db84fd28 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001db876618 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001db84fc98 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001db8765c0 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001db84205c (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001db850d80 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001db85240c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001db876904 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001db876930 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001db87695c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001db876988 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001db8769b4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001db850d48 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001db850fdc (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001db852550 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001db8769e0 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001db876a0c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001db876a38 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001db8470e0 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001db8465d0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001db873268 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001db8430c0 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001db844460 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001db8749d0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001db84f788 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001db873078 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001db854514 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001db878420 (__TEXT,__const) non-external __ZL11yytranslate
00000001db874734 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001db87298c (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001db873168 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001db8733c0 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001db873428 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001db850afc (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001db850aac (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001db8767a4 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001db873bf0 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001db864790 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001db86a2c4 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001db84e0d4 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001db8762a8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001db8762d4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001db876300 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001db873100 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001db86a0bc (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001db848670 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001db875b9c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001db875bc8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001db875bf4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001db875c20 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001db867288 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001db869d94 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001db872294 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001db873200 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001db846f24 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001db8754dc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001db875508 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001db875534 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001db875560 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001db847c48 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001db875920 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001db87594c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001db875978 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001db8759a4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001db84f184 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001db8763dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001db876408 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001db876434 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001db876460 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001db87648c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001db8764b8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001db8764e4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000001e7d9cab8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001db864880 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001db8709c0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001db871a08 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001db8731d0 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001db84f11c (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001db846db8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001db8753a8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001db8753d4 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001db875400 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001db87542c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001db875458 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00000001db875484 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00000001db8754b0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.7
