00007fff85bc4f60 (__DATA,__data) non-external _.compoundliteral
00007fff6bbd0b65 (__TEXT,__text) non-external _ClearRegisterState
00007fff6bbce9b8 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007fff6bbc658c (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007fff6bbcec94 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007fff6bbca420 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007fff6bb51c7c (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007fff6bbcc0ed (__TEXT,__text) non-external _EmulateOp
00007fff6bbd0b25 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007fff6bbd0ae9 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007fff6bb691bf (__TEXT,__text) non-external _FindHashLoc
00007fff6bbd288f (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007fff6bb50550 (__TEXT,__text) non-external (was a private external) _FinishType
00007fff6bbc925e (__TEXT,__text) non-external (was a private external) _FlattenIf
00007fff6bbc90bf (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007fff6bb69152 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007fff6bb69502 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007fff6bb6bc57 (__TEXT,__text) non-external (was a private external) _FreeScanner
00007fff6ba80f08 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007fff6ba862d6 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007fff8cfef710 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007fff6bbf5620 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007fff85bc4ec8 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007fff6bbf4dc0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007fff8cff1750 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007fff6bbf5630 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007fff6bbf4d70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007fff6bb68deb (__TEXT,__text) non-external (was a private external) _GetAtomString
00007fff6bbcb5a0 (__TEXT,__text) non-external _GetOpRegs
00007fff6bbc8eb8 (__TEXT,__text) non-external _GetOrAddBlock
00007fff6bbcec39 (__TEXT,__text) non-external _GetRegChunk
00007fff6bbc77a0 (__TEXT,__text) non-external _GetRegister
00007fff6bbd0a53 (__TEXT,__text) non-external _GetRegisterIndicies
00007fff6bbca315 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007fff6bb68e3d (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007fff6bbd2814 (__TEXT,__text) non-external _GetStreamArray
00007fff6bb6913e (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007fff6bb68fab (__TEXT,__text) non-external _GrowAtomTable
00007fff85bc4e80 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007fff6bbc54a5 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007fff6bbc5442 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007fff6bbc55a4 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007fff6bbc56c5 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007fff6bbc56b4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007fff6bbc5387 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007fff6bbc5626 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007fff6bbc5803 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007fff6bbc5773 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007fff6bbc597a (__TEXT,__text) non-external (was a private external) _HashTableGet
00007fff6bbc572b (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007fff6bb68e57 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007fff6bb69328 (__TEXT,__text) non-external (was a private external) _InitCPP
00007fff6bb50591 (__TEXT,__text) non-external (was a private external) _InitReg
00007fff6bb6bc0c (__TEXT,__text) non-external (was a private external) _InitScanner
00007fff6bbc7c5e (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007fff6bbc8588 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007fff6bbc7d22 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007fff6bbcb69d (__TEXT,__text) non-external _IsBadUsage
00007fff6bb51e49 (__TEXT,__text) non-external (was a private external) _Load
00007fff6bb68bd0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007fff6bb68c86 (__TEXT,__text) non-external _LookUpAddStringHash
00007fff6bb6da24 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007fff6bb6da89 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007fff6bb6ad49 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007fff6bb6e2a8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007fff6bb6d878 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007fff6bb6dad4 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007fff8cfed6f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007fff8cfed390 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007fff8cfed910 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007fff8cfeda50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007fff8cfed550 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007fff8cfed650 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007fff8cfedb50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007fff8cfed6c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007fff6ba7c540 (__TEXT,__text) external _PPParserAttachLLVMIR
00007fff6ba7c307 (__TEXT,__text) external _PPParserAttachStream
00007fff6ba7c18b (__TEXT,__text) external _PPParserAttachString
00007fff6ba8551a (__TEXT,__text) external _PPParserBuildErrorString
00007fff6ba7c0a6 (__TEXT,__text) external _PPParserCreate
00007fff6ba7cbc5 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007fff6ba83e7a (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007fff6ba7c258 (__TEXT,__text) external _PPParserFree
00007fff6ba7c8ee (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007fff6ba862b5 (__TEXT,__text) external _PPParserGetErrorString
00007fff6ba862cc (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007fff6ba7cc04 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007fff6ba8623e (__TEXT,__text) external _PPParserGetLimits
00007fff6ba862a8 (__TEXT,__text) external _PPParserGetOptions
00007fff6ba7c9a2 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007fff6ba7cca0 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007fff6ba862c2 (__TEXT,__text) external _PPParserGetStream
00007fff6ba7b165 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007fff6ba7b18f (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007fff6ba7b247 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007fff6ba7b1d7 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007fff6ba8562b (__TEXT,__text) non-external _PPParserInherit
00007fff6ba7c106 (__TEXT,__text) external _PPParserInit
00007fff6ba863aa (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007fff6ba7c2cf (__TEXT,__text) non-external _PPParserLabelsFree
00007fff6ba7adf0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007fff6ba7ae0f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007fff6ba7af76 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007fff6ba7b03f (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007fff6ba7af05 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007fff6ba7aed5 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007fff6ba7afd8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007fff6ba86354 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007fff6ba842b0 (__TEXT,__text) external _PPParserParse
00007fff6ba7d9b8 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007fff6ba81d1d (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007fff6ba83017 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007fff6ba83cc5 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007fff6ba7d465 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007fff6ba803ae (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007fff6ba80f5a (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007fff6ba7d369 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007fff6ba81e8a (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007fff6ba7d51c (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007fff6ba821e8 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007fff6ba81870 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007fff6ba861b0 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007fff6ba7d71f (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007fff6ba81bba (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007fff6ba839e4 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007fff6ba830be (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007fff6ba8576a (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007fff6ba7cdb5 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007fff6ba8109d (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007fff6ba81740 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007fff6ba7e28d (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007fff6ba80224 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007fff6ba7d602 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007fff6ba819f4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007fff6ba825a7 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007fff6ba85827 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007fff6ba82a5d (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007fff6ba82908 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007fff6ba7e094 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007fff6ba82d04 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007fff6ba8568f (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007fff6ba7b498 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007fff6ba7c151 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00007fff6ba7c94b (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007fff6ba7cb61 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007fff6ba7bf38 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007fff6ba7b26b (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007fff6ba7be96 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007fff6ba7c033 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007fff6ba7c06c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007fff6ba7bf83 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007fff6ba7bfc0 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00007fff6ba7bff9 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00007fff6ba8624b (__TEXT,__text) external _PPParserSetLimits
00007fff6ba86231 (__TEXT,__text) external _PPParserSetPrefs
00007fff6ba7c10c (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007fff6ba7db10 (__TEXT,__text) non-external _PPParserValidateName
00007fff6bbbe61d (__TEXT,__text) external _PPStreamAddAddressUsage
00007fff6bbbe749 (__TEXT,__text) external _PPStreamAddAttribBinding
00007fff6bbbebef (__TEXT,__text) external _PPStreamAddConstant
00007fff6bbbeb19 (__TEXT,__text) external _PPStreamAddLabel
00007fff6bbbe887 (__TEXT,__text) external _PPStreamAddOperation
00007fff6bbbecb6 (__TEXT,__text) external _PPStreamAddOption
00007fff6bbbe7b3 (__TEXT,__text) external _PPStreamAddOutputBinding
00007fff6bbbe67d (__TEXT,__text) external _PPStreamAddParamBinding
00007fff6bbbe6e7 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007fff6bbbec54 (__TEXT,__text) external _PPStreamAddRasterOp
00007fff6bbbe3d2 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007fff6bbbe430 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007fff6bbbe551 (__TEXT,__text) external _PPStreamAddTempUsage
00007fff6bbbe5bb (__TEXT,__text) external _PPStreamAddTempUsageArray
00007fff6bbbe81d (__TEXT,__text) external _PPStreamAddTexImage
00007fff6bbbf79d (__TEXT,__text) external _PPStreamAttachStream
00007fff6bbbdb09 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007fff6bbbff35 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007fff6bbbdbec (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007fff6bbbe533 (__TEXT,__text) non-external _PPStreamChunkCreate
00007fff6bbbdb2b (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007fff6bbbde00 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007fff6bbbe102 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007fff6bbbe194 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007fff6bbbdcb0 (__TEXT,__text) external _PPStreamChunkListCreate
00007fff6bbbdccf (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007fff6bbbde35 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007fff6bbbe1eb (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007fff6bbbdff3 (__TEXT,__text) external _PPStreamChunkListGetStream
00007fff6bbbdece (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007fff6bbbde6e (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007fff6bbbdf29 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007fff6bbbdf6b (__TEXT,__text) external _PPStreamChunkListSort
00007fff6bbbfddd (__TEXT,__text) external _PPStreamCompare
00007fff6bbbe2f0 (__TEXT,__text) external _PPStreamCreate
00007fff6bbbe492 (__TEXT,__text) external _PPStreamFree
00007fff6bbbed17 (__TEXT,__text) external _PPStreamGetStream
00007fff6bbbf778 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007fff6bbbea38 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007fff6bbbe947 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007fff6bbbdb1a (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007fff6bbbffd8 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007fff6bbbdaf8 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007fff6bbbebad (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007fff6bbc0688 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007fff6bbc056c (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007fff6ba879ad (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007fff6ba885e0 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007fff6bbbf654 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007fff6bbbf04b (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007fff6ba88782 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007fff6ba88701 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007fff6bbbf759 (__TEXT,__text) external _PPStreamTokenAlloc
00007fff6ba88ad8 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007fff6ba88eb7 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007fff6ba88cda (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007fff6ba88e06 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007fff6bbbf76e (__TEXT,__text) external _PPStreamTokenFree
00007fff6ba87981 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007fff6ba87930 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007fff6bbf3b30 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007fff6bbf3bf0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007fff6bbf3cc0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007fff8cfedf40 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007fff6ba88f5b (__TEXT,__text) external _PPStreamTokenValidateOptions
00007fff8cfeee80 (__DATA_CONST,__const) non-external _PROMOTIONS
00007fff6bbf50f0 (__TEXT,__const) non-external _PROMOTIONS_110
00007fff6bbf5100 (__TEXT,__const) non-external _PROMOTIONS_120
00007fff6bbf5140 (__TEXT,__const) non-external _PROMOTIONS_400
00007fff6bbf5110 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007fff6bbc908a (__TEXT,__text) non-external (was a private external) _ProgramFree
00007fff6bbc8ffa (__TEXT,__text) non-external (was a private external) _ProgramNew
00007fff6bb6e35b (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007fff6bb6dd51 (__TEXT,__text) non-external (was a private external) _ReadToken
00007fff6bbd23f6 (__TEXT,__text) non-external _RecordFunctionCall
00007fff6bb6dc20 (__TEXT,__text) non-external (was a private external) _RecordToken
00007fff6bbc7b7f (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007fff6bbc7b0f (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007fff6bbc6133 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007fff6bbc60ce (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007fff6bbc8784 (__TEXT,__text) non-external (was a private external) _Registerify
00007fff6bbc781c (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007fff6bbc8934 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007fff6bbc8737 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007fff6bbc5e23 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007fff6bbc619b (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007fff6bbc6216 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007fff6bbce6d8 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007fff6ba86320 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007fff6bb6dd37 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007fff6bb6cd6a (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007fff6bb6cf00 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007fff6bb6bc90 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007fff6bb6d08f (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007fff6bb51d4d (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007fff6bb5f827 (__TEXT,__text) external _ShAttributeBindingRequest
00007fff6bb5f792 (__TEXT,__text) external _ShCleanup
00007fff6bb5f229 (__TEXT,__text) external _ShCompile
00007fff6bb5ee4f (__TEXT,__text) external _ShConstructCompiler
00007fff6bb5eedc (__TEXT,__text) external _ShConstructLinker
00007fff6bb5efaf (__TEXT,__text) external _ShDestruct
00007fff6bb5f21e (__TEXT,__text) external _ShFinalize
00007fff6bb60834 (__TEXT,__text) external _ShFragDataBindingRequest
00007fff6bb60008 (__TEXT,__text) external _ShGetActiveAttrib
00007fff6bb5fcf7 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007fff6bb5fce2 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007fff6bb5fcb3 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007fff6bb61907 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007fff6bb61ea1 (__TEXT,__text) external _ShGetActiveSubroutineName
00007fff6bb61df1 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007fff6bb61ca7 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007fff6bb61726 (__TEXT,__text) external _ShGetActiveUniform
00007fff6bb60f7f (__TEXT,__text) external _ShGetActiveUniformBlockName
00007fff6bb60d42 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007fff6bb61200 (__TEXT,__text) external _ShGetActiveUniformIndex
00007fff6bb61408 (__TEXT,__text) external _ShGetActiveUniformName
00007fff6bb60163 (__TEXT,__text) external _ShGetAttribLocation
00007fff6bb5fef1 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007fff6bb61f16 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007fff6bb61f2b (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007fff6bb601ee (__TEXT,__text) external _ShGetContextStateUniforms
00007fff6bb609a2 (__TEXT,__text) external _ShGetFragDataLocation
00007fff6bb5f7a7 (__TEXT,__text) external _ShGetInfoLog
00007fff6bb61f3f (__TEXT,__text) external _ShGetInteger
00007fff6bb6048d (__TEXT,__text) external _ShGetLinkerPPStream
00007fff6bb61a20 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007fff6bb61a6e (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
