00007ffa438436b0 (__DATA,__data) non-external _.compoundliteral
00007ffa43843618 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa19304ac0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa417281f0 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa19305280 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa19304a70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa1927cc1c (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa192dc100 (__TEXT,__text) non-external _GetOpRegs
00007ffa192d9b84 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa192df5fa (__TEXT,__text) non-external _GetRegChunk
00007ffa192d83ec (__TEXT,__text) non-external _GetRegister
00007ffa192e15d6 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa192daf25 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa1927cc6e (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa192e3410 (__TEXT,__text) non-external _GetStreamArray
00007ffa1927cf60 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa1927cdd4 (__TEXT,__text) non-external _GrowAtomTable
00007ffa438435d0 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa192d6162 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa192d6102 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa192d624b (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa192d6372 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa192d6361 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa192d6047 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa192d62d0 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa192d64b6 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa192d6420 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa192d65fc (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa192d63d8 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa1927cc88 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa1927d148 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa19264271 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa1927f9bc (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa192d8998 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa192d9268 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa192d8a5f (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa192dc1fd (__TEXT,__text) non-external _IsBadUsage
00007ffa19265bb4 (__TEXT,__text) non-external (was a private external) _Load
00007ffa1927c9e0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa1927ca8f (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa19281837 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa1928189c (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa1927eabb (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa192820bc (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa1928169c (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa192818e8 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa41724220 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa41723ec0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa41724440 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa41724580 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa41724080 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa41724180 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa41724680 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa417241f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa1919122a (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa19190ff1 (__TEXT,__text) external _PPParserAttachStream
00007ffa19190e75 (__TEXT,__text) external _PPParserAttachString
00007ffa1919a01f (__TEXT,__text) external _PPParserBuildErrorString
00007ffa19190d92 (__TEXT,__text) external _PPParserCreate
00007ffa191918be (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa19198a82 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa19190f42 (__TEXT,__text) external _PPParserFree
00007ffa191915e7 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa1919aebd (__TEXT,__text) external _PPParserGetErrorString
00007ffa1919aed4 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa191918fd (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa1919ae72 (__TEXT,__text) external _PPParserGetLimits
00007ffa1919aeb0 (__TEXT,__text) external _PPParserGetOptions
00007ffa1919169b (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa1919199a (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa1919aeca (__TEXT,__text) external _PPParserGetStream
00007ffa1918fe64 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa1918fe8e (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa1918ff46 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa1918fed6 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa1919a12d (__TEXT,__text) non-external _PPParserInherit
00007ffa19190dec (__TEXT,__text) external _PPParserInit
00007ffa1919afb2 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa19190fb9 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa1918fae0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa1918faff (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa1918fc66 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa1918fd2c (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa1918fbf5 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa1918fbc5 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa1918fcc5 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa1919af5c (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa19198e7f (__TEXT,__text) external _PPParserParse
00007ffa19192698 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa191969e2 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa19197cdc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa191988cd (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa19192144 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa19194ffe (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa19195c1a (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa19192048 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa19196b50 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa191921fb (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa19196eac (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa19196533 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa1919ade4 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa191923fe (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa19196876 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa191985ec (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa19197d84 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa1919a283 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa19191a9a (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa19195d5d (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa19196403 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa19192f6a (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa19194e74 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa191922e1 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa191966b0 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa1919727b (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa1919a340 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa19197728 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa191975d3 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa19192d70 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa191979d0 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa1919a1a7 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa19190191 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa19190e37 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00007ffa19191644 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa1919185a (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa19190c1c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa1918ff6a (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa19190b7a (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa19190d1f (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa19190d58 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa19190c67 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa19190ca4 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00007ffa19190ce1 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00007ffa1919ae7f (__TEXT,__text) external _PPParserSetLimits
00007ffa1919ae65 (__TEXT,__text) external _PPParserSetPrefs
00007ffa19190df2 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa191927f0 (__TEXT,__text) non-external _PPParserValidateName
00007ffa192cf2cd (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa192cf3f1 (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa192cf8d3 (__TEXT,__text) external _PPStreamAddConstant
00007ffa192cf7fd (__TEXT,__text) external _PPStreamAddLabel
00007ffa192cf517 (__TEXT,__text) external _PPStreamAddOperation
00007ffa192cf99a (__TEXT,__text) external _PPStreamAddOption
00007ffa192cf453 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa192cf32d (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa192cf38f (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa192cf938 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa192cf08a (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa192cf0e8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa192cf209 (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa192cf26b (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa192cf4b5 (__TEXT,__text) external _PPStreamAddTexImage
00007ffa192d0545 (__TEXT,__text) external _PPStreamAttachStream
00007ffa192ce7e1 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa192d0ccc (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa192ce8cc (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa192cf1eb (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa192ce803 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa192cead8 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa192cedbb (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa192cee4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa192ce990 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa192ce9af (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa192ceb0d (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa192ceea3 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa192cecc1 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa192ceba6 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa192ceb46 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa192cebf7 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa192cec39 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa192d0b74 (__TEXT,__text) external _PPStreamCompare
00007ffa192cefa8 (__TEXT,__text) external _PPStreamCreate
00007ffa192cf14a (__TEXT,__text) external _PPStreamFree
00007ffa192cf9fb (__TEXT,__text) external _PPStreamGetStream
00007ffa192d0520 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa192cf6fe (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa192cf5f5 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa192ce7f2 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa192d0d6f (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa192ce7d0 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa192cf891 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa192d1420 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa192d1304 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa1919c5ad (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa1919d250 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa192d03fc (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa192cfd6c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa1919d401 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa1919d380 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa192d0501 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa1919d775 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa1919db22 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa1919d97b (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa1919da6c (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa192d0516 (__TEXT,__text) external _PPStreamTokenFree
00007ffa1919c581 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa1919c530 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa193036c0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa19303780 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa19303850 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa41724a70 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa1919dc0f (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa417259d0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa19304df0 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa19304e00 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa19304e40 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa19304e10 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa192d9d53 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa192d9cc6 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa1928216f (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa19281b63 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa192e2fd6 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa19281a32 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa192d88b7 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa192d8847 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa192d6dd7 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa192d6d72 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa192d9461 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa192d8468 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa192d9611 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa192d9414 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa192d6ab4 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa192d6e3f (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa192d6eba (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa192df0a3 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa1919af28 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa19281b49 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa19280bae (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa19280d44 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa1927fa40 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa19280ec5 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa19265adb (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa192734b2 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa1927341d (__TEXT,__text) external _ShCleanup
00007ffa19272e64 (__TEXT,__text) external _ShCompile
00007ffa19272a9f (__TEXT,__text) external _ShConstructCompiler
00007ffa19272b24 (__TEXT,__text) external _ShConstructLinker
00007ffa19272be5 (__TEXT,__text) external _ShDestruct
00007ffa19272e59 (__TEXT,__text) external _ShFinalize
00007ffa19274490 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa19273c80 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa1927397c (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa19273967 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa19273938 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa192755f7 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa19275b58 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa19275aa8 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa19275983 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa1927541f (__TEXT,__text) external _ShGetActiveUniform
00007ffa19274cab (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa19274963 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa19274f07 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa19275110 (__TEXT,__text) external _ShGetActiveUniformName
00007ffa19273dd3 (__TEXT,__text) external _ShGetAttribLocation
00007ffa19273b73 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa19275bcd (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa19275be2 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa19273e5e (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa192745fe (__TEXT,__text) external _ShGetFragDataLocation
00007ffa19273432 (__TEXT,__text) external _ShGetInfoLog
00007ffa19275bf6 (__TEXT,__text) external _ShGetInteger
00007ffa192740e6 (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa19275706 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa19275754 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffa192747f4 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffa19275304 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffa19273bd4 (__TEXT,__text) external _ShGetMaxAttributeLength
00007ffa192743a0 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00007ffa1927361c (__TEXT,__text) external _ShGetNumActiveAttributes
00007ffa19274e5b (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00007ffa192756ef (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00007ffa19275643 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00007ffa19275628 (__TEXT,__text) external _ShGetNumActiveSubroutines
