00007ffb08b35e91 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb08b37da7 (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00007ffb08b3b54c (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00007ffb08b31934 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00007ffb08b3194b (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00007ffb08b3048a (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb08b3049e (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb08b39270 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb08b3b559 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb08b3606e (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb08b347bb (__TEXT,__text) non-external -[CBOR array]
00007ffb08b34617 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb08b33eb0 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb08b34725 (__TEXT,__text) non-external -[CBOR data]
00007ffb08b3484f (__TEXT,__text) non-external -[CBOR date]
00007ffb08b34eca (__TEXT,__text) non-external -[CBOR description]
00007ffb08b34805 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb08b3455c (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb08b35f9e (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb08b34057 (__TEXT,__text) non-external -[CBOR hash]
00007ffb08b33f97 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb08b33eeb (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb08b34db4 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb08b34dc9 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb08b34e72 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb08b343ef (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb08b34d9f (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb08b34d81 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb08b344ad (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb08b345b0 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb08b36053 (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb08b3605d (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb08b36013 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb08b3602e (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb08b36049 (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb08b34673 (__TEXT,__text) non-external -[CBOR string]
00007ffb08b36009 (__TEXT,__text) non-external -[CBOR tag]
00007ffb08b35fff (__TEXT,__text) non-external -[CBOR type]
00007ffb08b34502 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb08b3603f (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb08b36024 (__TEXT,__text) non-external -[CBOR value]
00007ffb08b339d0 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb08b37c79 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb08b36bff (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb08b37698 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb08b37c3d (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb08b37c51 (__TEXT,__text) non-external -[COSE contentType]
00007ffb08b37c33 (__TEXT,__text) non-external -[COSE content]
00007ffb08b37c47 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb08b36264 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb08b360a4 (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb08b360fe (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb08b367fa (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb08b37c65 (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb08b37c5b (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb08b37c6f (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb08b36acd (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb08b37c29 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb08b37ce3 (__TEXT,__text) non-external -[COSE setType:]
00007ffb08b37d84 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb08b36bd0 (__TEXT,__text) non-external -[COSE tag]
00007ffb08b37c1f (__TEXT,__text) non-external -[COSE type]
00007ffb08b36b4d (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb08b3b4d7 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb08b3a634 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb08b3b4a5 (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb08b3b4c3 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb08b3b413 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb08b3b3ad (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb08b3b3cf (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb08b3b3f1 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb08b3b38a (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb08b3b4af (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb08b3af38 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb08b3b0d2 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb08b3b242 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb08b3931e (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb08b392c4 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb08b3b479 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb08b3b435 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb08b3b457 (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb08b3b4b9 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb08b3b4cd (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb08b3b49b (__TEXT,__text) non-external -[COSEKey type]
00007ffb08b3925d (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb08b391b6 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb08b38f8b (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb08b38bdd (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb08b38e76 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb08b3924c (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb08b38af5 (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb08b37ed6 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb08b37db4 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb08b38a39 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb08b38135 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb08b383f2 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb08b3875b (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb08b388f2 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb08b386c9 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb08b3f1a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ffb08b3d1c0 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb08b3d190 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb08b3d1f8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb08b3d1f9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb417a32b8 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb417a32c0 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb417a32d0 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb417a32d8 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb417a32e0 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb417a32e8 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb417a32c8 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb417a27a8 (__DATA,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb417a27f8 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb417a28e8 (__DATA,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb417a2898 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb417a2848 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb417a25e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb417a25c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb417a25c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb417a25d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb417a25d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb417a2608 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb417a25e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb417a2600 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._content
00007ffb417a2618 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb417a2610 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb417a2628 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb417a2620 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb417a2630 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb417a25f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb417a25f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb417a2670 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb417a2688 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb417a2640 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb417a2648 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb417a2678 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb417a2680 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb417a2660 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb417a2650 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb417a2658 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb417a2690 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb417a2668 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb417a2638 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb417a27d0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb417a2820 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb417a2910 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb417a28c0 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb417a2870 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb417a2d38 (__DATA,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb43459038 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb434592d8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb434593f0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb417a2698 (__DATA,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb434594c8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb43459130 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb43459010 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb43459270 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb43459368 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb434591c0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb43459480 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb434590c8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb43458fc8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb43459228 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb43459320 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb43459178 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb43459438 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb43459080 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb43459510 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb08b3bb18 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|COSE|COSEKey)
00007ffb08b3bae0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb08b3bc10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|COSE|COSEKey)
00007ffb08b3bda8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb08b3bf38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb08b3be70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb08b3bec0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb08b3bac0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb434598b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb43459b30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb43459f98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb43459ec8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb43459958 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb43459c78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb4345a100 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb43459ef0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb43459dd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb43459740 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb43459828 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb43459550 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb43459720 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb43459848 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb43459788 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb43459850 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb43459aa0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb43459d40 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb4345a1d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb43459f08 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb43459e38 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb43458fb8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb43458fb0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb43459868 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb43459ae8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb43459f50 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb43459e80 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb43459d88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb417a3258 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb417a31f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb4345a758 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb08b37938 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb08b37ae7 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb08b30149 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb08b37913 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb08b37929 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb434586c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb434586e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb08b1fec0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb08b1fee0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb08b37a70 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb08b37ab2 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb08b1e810 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb08b28930 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb08b1e7a0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb08b204a0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb08b1e910 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb08b2e450 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb08b15050 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00007ffb08b1fe30 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00007ffb08b1fe70 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb08b2e050 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb08b26c80 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffb08b1eae0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00007ffb08b274c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00007ffb08b2e190 (__TEXT,__text) non-external (was a private external) ___swift_memcpy2_1
00007ffb08b1ece0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00007ffb08b1fd70 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00007ffb08b26c90 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00007ffb08b2e6f0 (__TEXT,__text) non-external ___swift_project_boxed_opaque_existential_0Tm
00007ffb08b1e7e0 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00007ffb08b3d0d0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00007ffb08b3cdb8 (__TEXT,__const) non-external ___unnamed_22
00007ffb08b3c228 (__TEXT,__const) non-external ___unnamed_5
00007ffb08b34cae (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
