000000018f80f6a0 (__TEXT,__const) non-external _KW_ANY
000000018f802cec (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018f7fe208 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018f80f598 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
000000018f7fb15c (__TEXT,__text) non-external _getAttributeId
000000018f7fd464 (__TEXT,__text) non-external _getContext
000000018f7f8c38 (__TEXT,__text) non-external _getDebugLevel
000000018f7fb0cc (__TEXT,__text) non-external _getElementType
000000018f8026ac (__TEXT,__text) non-external _getEncodingIndex
00000001dfecdc68 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018f7f8dd0 (__TEXT,__text) non-external _handleUnknownEncoding
000000018f7fc420 (__TEXT,__text) non-external _hash
000000018f7ffc08 (__TEXT,__text) non-external _hashTableDestroy
000000018f7fbda8 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018f80f5d2 (__TEXT,__const) non-external _implicitContext
000000018f80af24 (__TEXT,__text) non-external _initScan
000000018f802730 (__TEXT,__text) non-external _initScanContent
000000018f802c70 (__TEXT,__text) non-external _initScanContentNS
000000018f802710 (__TEXT,__text) non-external _initScanProlog
000000018f802c50 (__TEXT,__text) non-external _initScanPrologNS
000000018f802750 (__TEXT,__text) non-external _initUpdatePosition
000000018f7f8cc4 (__TEXT,__text) non-external _initializeEncoding
000000018f7ff2d8 (__TEXT,__text) non-external _internalEntityProcessor
000000018f800234 (__TEXT,__text) non-external _internalSubset
00000001e74bdb00 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001e74bdea0 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001e74bd930 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001e74bdcd0 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018f806f28 (__TEXT,__text) non-external _isNever
00000001e74bd760 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001e74be7b0 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018f805540 (__TEXT,__text) non-external _latin1_toUtf16
000000018f8054a8 (__TEXT,__text) non-external _latin1_toUtf8
000000018f808848 (__TEXT,__text) non-external _little2_attributeValueTok
000000018f8083d8 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018f80909c (__TEXT,__text) non-external _little2_charRefNumber
000000018f80a474 (__TEXT,__text) non-external _little2_checkPiTarget
000000018f8078c4 (__TEXT,__text) non-external _little2_contentTok
00000001e74be410 (__AUTH_CONST,__const) non-external _little2_encoding
00000001e74bed20 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018f8089b4 (__TEXT,__text) non-external _little2_entityValueTok
000000018f808c78 (__TEXT,__text) non-external _little2_getAtts
000000018f808678 (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018f8093d0 (__TEXT,__text) non-external _little2_isPublicId
000000018f808b84 (__TEXT,__text) non-external _little2_nameLength
000000018f808b38 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018f809174 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018f8070e4 (__TEXT,__text) non-external _little2_prologTok
000000018f80a840 (__TEXT,__text) non-external _little2_scanAtts
000000018f80a2d8 (__TEXT,__text) non-external _little2_scanComment
000000018f809818 (__TEXT,__text) non-external _little2_scanDecl
000000018f80969c (__TEXT,__text) non-external _little2_scanLit
000000018f809e00 (__TEXT,__text) non-external _little2_scanPercent
000000018f8099a4 (__TEXT,__text) non-external _little2_scanPi
000000018f80a074 (__TEXT,__text) non-external _little2_scanPoundName
000000018f80a510 (__TEXT,__text) non-external _little2_scanRef
000000018f808c24 (__TEXT,__text) non-external _little2_skipS
000000018f809618 (__TEXT,__text) non-external _little2_toUtf16
000000018f809484 (__TEXT,__text) non-external _little2_toUtf8
000000018f8092cc (__TEXT,__text) non-external _little2_updatePosition
000000018f7fac88 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018f80fcb0 (__TEXT,__const) non-external _namePages
000000018f80f6b0 (__TEXT,__const) non-external _namingBitmap
000000018f7fbe58 (__TEXT,__text) non-external _nextScaffoldPart
000000018f80fbb0 (__TEXT,__const) non-external _nmstrtPages
000000018f804a80 (__TEXT,__text) non-external _normal_attributeValueTok
000000018f8045dc (__TEXT,__text) non-external _normal_cdataSectionTok
000000018f805150 (__TEXT,__text) non-external _normal_charRefNumber
000000018f8061a4 (__TEXT,__text) non-external _normal_checkPiTarget
000000018f80394c (__TEXT,__text) non-external _normal_contentTok
000000018f804bec (__TEXT,__text) non-external _normal_entityValueTok
000000018f804e18 (__TEXT,__text) non-external _normal_getAtts
000000018f80489c (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018f8053fc (__TEXT,__text) non-external _normal_isPublicId
000000018f804d90 (__TEXT,__text) non-external _normal_nameLength
000000018f804d4c (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018f805224 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018f802e1c (__TEXT,__text) non-external _normal_prologTok
000000018f806594 (__TEXT,__text) non-external _normal_scanAtts
000000018f805ff4 (__TEXT,__text) non-external _normal_scanComment
000000018f805754 (__TEXT,__text) non-external _normal_scanDecl
000000018f805594 (__TEXT,__text) non-external _normal_scanLit
000000018f805d2c (__TEXT,__text) non-external _normal_scanPercent
000000018f8058bc (__TEXT,__text) non-external _normal_scanPi
000000018f806228 (__TEXT,__text) non-external _normal_scanRef
000000018f804ddc (__TEXT,__text) non-external _normal_skipS
000000018f80530c (__TEXT,__text) non-external _normal_updatePosition
000000018f7ff5d8 (__TEXT,__text) non-external _normalizeLines
000000018f7fafe0 (__TEXT,__text) non-external _normalizePublicId
000000018f8006cc (__TEXT,__text) non-external _notation0
000000018f801c14 (__TEXT,__text) non-external _notation1
000000018f801d58 (__TEXT,__text) non-external _notation2
000000018f801cf0 (__TEXT,__text) non-external _notation3
000000018f801db8 (__TEXT,__text) non-external _notation4
000000018f80efc0 (__TEXT,__text) non-external _parsePseudoAttribute
000000018f7f6998 (__TEXT,__text) non-external _parserCreate
000000018f7f6fa8 (__TEXT,__text) non-external _parserInit
000000018f7fb37c (__TEXT,__text) non-external _poolAppend
000000018f7f7df0 (__TEXT,__text) non-external _poolCopyString
000000018f7f7cbc (__TEXT,__text) non-external _poolDestroy
000000018f7fb530 (__TEXT,__text) non-external _poolGrow
000000018f7fac2c (__TEXT,__text) non-external _poolStoreString
000000018f7fbf60 (__TEXT,__text) non-external _processInternalEntity
000000018f7fa910 (__TEXT,__text) non-external _processXmlDecl
000000018f7ffe54 (__TEXT,__text) non-external _prolog0
000000018f7fffac (__TEXT,__text) non-external _prolog1
000000018f80041c (__TEXT,__text) non-external _prolog2
000000018f7f8bbc (__TEXT,__text) non-external _prologInitProcessor
000000018f7f8d48 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018f7fc2ac (__TEXT,__text) non-external _reportComment
000000018f7f89d8 (__TEXT,__text) non-external _reportDefault
000000018f7fc17c (__TEXT,__text) non-external _reportProcessingInstruction
000000018f7f76a4 (__TEXT,__text) non-external _setContext
000000018f7fe850 (__TEXT,__text) non-external _setElementTypePrefix
000000018f7fc604 (__TEXT,__text) non-external _sip24_final
000000018f7fc510 (__TEXT,__text) non-external _sip24_update
000000018f7fc710 (__TEXT,__text) non-external _sip_round
000000018f7f8144 (__TEXT,__text) non-external _startParsing
000000018f7fb6ec (__TEXT,__text) non-external _storeAttributeValue
000000018f7fd7a4 (__TEXT,__text) non-external _storeAtts
000000018f7fb77c (__TEXT,__text) non-external _storeEntityValue
000000018f7fd378 (__TEXT,__text) non-external _storeRawNames
000000018f80aecc (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018f7f8b90 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018f7f8b9c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018f80242c (__TEXT,__text) non-external _unknown_isInvalid
000000018f80236c (__TEXT,__text) non-external _unknown_isName
000000018f8023cc (__TEXT,__text) non-external _unknown_isNmstrt
000000018f802558 (__TEXT,__text) non-external _unknown_toUtf16
000000018f802460 (__TEXT,__text) non-external _unknown_toUtf8
000000018f7f8ba8 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001e74be070 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001e74be980 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018f806fb8 (__TEXT,__text) non-external _utf8_isInvalid2
000000018f806fec (__TEXT,__text) non-external _utf8_isInvalid3
000000018f807078 (__TEXT,__text) non-external _utf8_isInvalid4
000000018f806ea0 (__TEXT,__text) non-external _utf8_isName2
000000018f806ee0 (__TEXT,__text) non-external _utf8_isName3
000000018f806f30 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018f806f70 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018f806d64 (__TEXT,__text) non-external _utf8_toUtf16
000000018f806cb4 (__TEXT,__text) non-external _utf8_toUtf8
