00007ffd430e4198 (__DATA,__bss) non-external _A
00007ffd0a18bc19 (__TEXT,__text) non-external _can_contain
00007ffd0a1a0f08 (__TEXT,__text) non-external _can_contain
00007ffd0a18a7db (__TEXT,__text) non-external _check_domain
00007ffd0a199dc8 (__TEXT,__text) non-external _chop_trailing_hashtags
00007ffd0a1a2c0e (__TEXT,__text) non-external _chop_trailing_hashtags.cold.1
00007ffd0a1a2c2f (__TEXT,__text) non-external _chop_trailing_hashtags.cold.2
00007ffd0a19f5a5 (__TEXT,__text) non-external _chunk_clone
00007ffd0a1a240a (__TEXT,__text) external _cmark_arena_pop
00007ffd0a1a2353 (__TEXT,__text) external _cmark_arena_push
00007ffd0a1a2488 (__TEXT,__text) external _cmark_arena_reset
00007ffd0a1a0458 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffd0a19b866 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffd0a19b7d9 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffd0a19b70d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffd0a1a2c9b (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffd0a1a2cbc (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffd0a18c074 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffd0a1a3830 (__TEXT,__const) non-external _cmark_ctype_class
00007ffd0a199edc (__TEXT,__text) external _cmark_enable_safety_checks
00007ffd41668a00 (__DATA_CONST,__const) non-external _cmark_entities
00007ffd0a18abfc (__TEXT,__text) external _cmark_find_syntax_extension
00007ffd0a196e45 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffd0a1a2a2a (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffd0a196eb4 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffd0a1a2601 (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffd0a187d3e (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffd0a196f2a (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffd0a1a1c64 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffd0a1a1d52 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffd0a1a1d82 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffd0a1a1c41 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffd0a1a1d05 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffd0a18901b (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffd0a1a1cac (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffd0a1a1db3 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffd0a1a1ddf (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffd0a1a1c84 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffd0a1a1d28 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffd0a188fc9 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffd0a199f7b (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffd0a19f0f9 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffd0a19f127 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffd0a19f114 (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffd0a19f1b0 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffd0a19f1ba (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffd0a19f102 (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffd0a19f131 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffd0a19ee07 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffd0a19edf6 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffd0a19edd3 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffd0a1a3276 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffd0a19eeb9 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffd0a19ef43 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffd0a19ef4d (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffd0a1a32bc (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffd0a19f10b (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffd0a19ee18 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffd0a1a3299 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffd0a19b899 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffd0a19b8bb (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffd0a188f76 (__TEXT,__text) external _cmark_isalnum
00007ffd0a188faf (__TEXT,__text) external _cmark_isalpha
00007ffd0a188f95 (__TEXT,__text) external _cmark_isdigit
00007ffd0a188f5c (__TEXT,__text) external _cmark_ispunct
00007ffd0a188f42 (__TEXT,__text) external _cmark_isspace
00007ffd0a18bf9c (__TEXT,__text) external _cmark_iter_free
00007ffd0a18c061 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffd0a18c057 (__TEXT,__text) external _cmark_iter_get_node
00007ffd0a18c06a (__TEXT,__text) external _cmark_iter_get_root
00007ffd0a18bf54 (__TEXT,__text) external _cmark_iter_new
00007ffd0a18bfa7 (__TEXT,__text) external _cmark_iter_next
00007ffd0a1a29e4 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffd0a18c046 (__TEXT,__text) external _cmark_iter_reset
00007ffd0a18ab90 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffd0a18cf63 (__TEXT,__text) external _cmark_llist_append
00007ffd0a18cfef (__TEXT,__text) external _cmark_llist_free
00007ffd0a18cfad (__TEXT,__text) external _cmark_llist_free_full
00007ffd0a197ced (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffd0a1971a4 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffd0a197030 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffd0a1971e9 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffd0a187d4b (__TEXT,__text) external _cmark_markdown_to_html
00007ffd0a19b501 (__TEXT,__text) external _cmark_node_append_child
00007ffd0a199f81 (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffd0a19b557 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffd0a19a5b9 (__TEXT,__text) external _cmark_node_first_child
00007ffd0a19a10d (__TEXT,__text) external _cmark_node_free
00007ffd0a19aee3 (__TEXT,__text) external _cmark_node_get_attributes
00007ffd0a19a79e (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffd0a19b330 (__TEXT,__text) external _cmark_node_get_end_column
00007ffd0a19b31e (__TEXT,__text) external _cmark_node_get_end_line
00007ffd0a19aa95 (__TEXT,__text) external _cmark_node_get_fence_info
00007ffd0a19abd9 (__TEXT,__text) external _cmark_node_get_fenced
00007ffd0a19a8f0 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffd0a19aa50 (__TEXT,__text) external _cmark_node_get_item_index
00007ffd0a19a982 (__TEXT,__text) external _cmark_node_get_list_delim
00007ffd0a19a9cb (__TEXT,__text) external _cmark_node_get_list_start
00007ffd0a19aa10 (__TEXT,__text) external _cmark_node_get_list_tight
00007ffd0a19a939 (__TEXT,__text) external _cmark_node_get_list_type
00007ffd0a19a670 (__TEXT,__text) external _cmark_node_get_literal
00007ffd0a19b027 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffd0a19b17b (__TEXT,__text) external _cmark_node_get_on_exit
00007ffd0a19b30c (__TEXT,__text) external _cmark_node_get_start_column
00007ffd0a19b2fa (__TEXT,__text) external _cmark_node_get_start_line
00007ffd0a19a8d6 (__TEXT,__text) external _cmark_node_get_string_content
00007ffd0a19b2cf (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffd0a19ad93 (__TEXT,__text) external _cmark_node_get_title
00007ffd0a19a1e7 (__TEXT,__text) external _cmark_node_get_type
00007ffd0a19a3d0 (__TEXT,__text) external _cmark_node_get_type_string
00007ffd0a19ac43 (__TEXT,__text) external _cmark_node_get_url
00007ffd0a19a62d (__TEXT,__text) external _cmark_node_get_user_data
00007ffd0a19b3ec (__TEXT,__text) external _cmark_node_insert_after
00007ffd0a19b366 (__TEXT,__text) external _cmark_node_insert_before
00007ffd0a19a5cc (__TEXT,__text) external _cmark_node_last_child
00007ffd0a19a0fa (__TEXT,__text) external _cmark_node_new
00007ffd0a19a0da (__TEXT,__text) external _cmark_node_new_with_ext
00007ffd0a19a0ee (__TEXT,__text) external _cmark_node_new_with_mem
00007ffd0a19a03c (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffd0a19a580 (__TEXT,__text) external _cmark_node_next
00007ffd0a19a5df (__TEXT,__text) external _cmark_node_nth_child
00007ffd0a18c204 (__TEXT,__text) external _cmark_node_own
00007ffd0a19a5a6 (__TEXT,__text) external _cmark_node_parent
00007ffd0a19a617 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffd0a19b4ab (__TEXT,__text) external _cmark_node_prepend_child
00007ffd0a19a593 (__TEXT,__text) external _cmark_node_previous
00007ffd0a19b472 (__TEXT,__text) external _cmark_node_replace
00007ffd0a19af6a (__TEXT,__text) external _cmark_node_set_attributes
00007ffd0a19ab1c (__TEXT,__text) external _cmark_node_set_fence_info
00007ffd0a19ac0f (__TEXT,__text) external _cmark_node_set_fenced
00007ffd0a19a90b (__TEXT,__text) external _cmark_node_set_heading_level
00007ffd0a19aa6b (__TEXT,__text) external _cmark_node_set_item_index
00007ffd0a19a99d (__TEXT,__text) external _cmark_node_set_list_delim
00007ffd0a19a9e6 (__TEXT,__text) external _cmark_node_set_list_start
00007ffd0a19aa2c (__TEXT,__text) external _cmark_node_set_list_tight
00007ffd0a19a954 (__TEXT,__text) external _cmark_node_set_list_type
00007ffd0a19a7a7 (__TEXT,__text) external _cmark_node_set_literal
00007ffd0a19b0b8 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffd0a19b20c (__TEXT,__text) external _cmark_node_set_on_exit
00007ffd0a19a8e0 (__TEXT,__text) external _cmark_node_set_string_content
00007ffd0a19b2e2 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffd0a19ae20 (__TEXT,__text) external _cmark_node_set_title
00007ffd0a19a1fa (__TEXT,__text) external _cmark_node_set_type
00007ffd0a19acd0 (__TEXT,__text) external _cmark_node_set_url
00007ffd0a19a640 (__TEXT,__text) external _cmark_node_set_user_data
00007ffd0a19a658 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffd0a19b342 (__TEXT,__text) external _cmark_node_unlink
00007ffd0a19f162 (__TEXT,__text) external _cmark_node_unput
00007ffd0a198461 (__TEXT,__text) external _cmark_parse_document
00007ffd0a197d55 (__TEXT,__text) external _cmark_parse_file
00007ffd0a19b8dd (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffd0a1a2cdd (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffd0a1a2e18 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffd0a1a2e3b (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffd0a1a2e5e (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffd0a1a2e81 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffd0a1a2ea4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffd0a1a2ec7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffd0a1a2eea (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffd0a1a2f0d (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffd0a1a2f30 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffd0a1a2f53 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffd0a1a2d00 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffd0a1a2d23 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffd0a1a2d46 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffd0a1a2d69 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffd0a1a2d8c (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffd0a1a2daf (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffd0a1a2dd2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffd0a1a2df5 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffd0a19ebec (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffd0a1a31c7 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffd0a1a31ea (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffd0a1a320d (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffd0a1a3230 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffd0a1a3253 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffd0a19e51f (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffd0a1a2f99 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffd0a1a2fbc (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffd0a1a2fdf (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffd0a1a3002 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffd0a1a3025 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffd0a1a3048 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffd0a1a306b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffd0a199657 (__TEXT,__text) external _cmark_parser_add_child
00007ffd0a19972b (__TEXT,__text) external _cmark_parser_advance_offset
00007ffd0a197a20 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffd0a197cbf (__TEXT,__text) non-external _cmark_parser_dispose
00007ffd0a1984b6 (__TEXT,__text) external _cmark_parser_feed
00007ffd0a1984c2 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffd0a197fb6 (__TEXT,__text) external _cmark_parser_finish
00007ffd0a197c4d (__TEXT,__text) external _cmark_parser_free
00007ffd0a199616 (__TEXT,__text) external _cmark_parser_get_column
00007ffd0a19961f (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffd0a199628 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffd0a199631 (__TEXT,__text) external _cmark_parser_get_indent
00007ffd0a19964e (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffd0a199604 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffd0a19960d (__TEXT,__text) external _cmark_parser_get_offset
00007ffd0a19981c (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffd0a199644 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffd0a19963a (__TEXT,__text) external _cmark_parser_is_blank
00007ffd0a197c3c (__TEXT,__text) external _cmark_parser_new
00007ffd0a197ad1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffd0a197b29 (__TEXT,__text) non-external _cmark_parser_reset
00007ffd0a19980f (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffd0a18bad5 (__TEXT,__text) external _cmark_plugin_free
00007ffd0a18bab5 (__TEXT,__text) external _cmark_plugin_new
00007ffd0a18ba8b (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffd0a18bb05 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffd0a19781c (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffd0a1a2ad4 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffd0a1978e1 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffd0a1a2af5 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffd0a19797f (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffd0a199f19 (__TEXT,__text) external _cmark_register_node_flag
00007ffd0a1a2c50 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffd0a1a2c75 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffd430e3e40 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffd0a18aa8b (__TEXT,__text) external _cmark_register_plugin
00007ffd0a18ab36 (__TEXT,__text) external _cmark_release_plugins
00007ffd0a18acc6 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffd0a18ac7d (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffd0a18aca6 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffd0a186d34 (__TEXT,__text) external _cmark_render_commonmark
00007ffd0a186d5d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffd0a187d7c (__TEXT,__text) external _cmark_render_html
00007ffd0a187d89 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffd0a1a2932 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffd0a18c424 (__TEXT,__text) external _cmark_render_latex
00007ffd0a18c446 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffd0a1893f4 (__TEXT,__text) external _cmark_render_man
00007ffd0a189416 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffd0a19feec (__TEXT,__text) external _cmark_render_plaintext
00007ffd0a19ff15 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffd0a19f5fc (__TEXT,__text) external _cmark_render_xml
00007ffd0a19f609 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffd0a19b6e4 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffd430e4050 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffd0a19b870 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd430e3e50 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd430e41a4 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd0a19730b (__TEXT,__text) external _cmark_strbuf_clear
00007ffd0a197547 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd0a197488 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd0a1a2ab3 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd0a197511 (__TEXT,__text) external _cmark_strbuf_detach
