00007ffa42c1a960 (__DATA,__data) non-external _.compoundliteral
00007ffa1a008f16 (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00007ffa1a008d86 (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00007ffa1a008dfe (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00007ffa1a008b9e (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00007ffa1a008e3c (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00007ffa1a013f8e (__TEXT,__text) non-external (was a private external) _BlockAdd
00007ffa1a0148df (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffa1a014050 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffa1a014347 (__TEXT,__text) non-external (was a private external) _Blockify
00007ffa1a014954 (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffa1a011320 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffa1a011598 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffa1a01149f (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffa19fc298a (__TEXT,__text) non-external _CPPelse
00007ffa19fc3460 (__TEXT,__text) non-external _CPPerror
00007ffa19fc362f (__TEXT,__text) non-external _CPPextension
00007ffa19fc2bda (__TEXT,__text) non-external _CPPif
00007ffa19fc2c9a (__TEXT,__text) non-external _CPPifdef
00007ffa19fc2dcf (__TEXT,__text) non-external _CPPinclude
00007ffa19fc302e (__TEXT,__text) non-external _CPPline
00007ffa19fc31df (__TEXT,__text) non-external _CPPpragma
00007ffa19fc33cb (__TEXT,__text) non-external _CPPundef
00007ffa19fc3531 (__TEXT,__text) non-external _CPPversion
00007ffa1a01debe (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffa1a01c43f (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffa1a01de7d (__TEXT,__text) non-external _ClearJumpTable
00007ffa1a01c3e1 (__TEXT,__text) non-external _ClearRegisterState
00007ffa1a01a037 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffa1a011eb4 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffa1a01a304 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffa1a015ca8 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffa19faa8cc (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffa1a01785d (__TEXT,__text) non-external _EmulateOp
00007ffa1a01c3a1 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffa1a01c365 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa19fc1c5d (__TEXT,__text) non-external _FindHashLoc
00007ffa1a01e179 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa19fa90c0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa1a014bef (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa1a014a69 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa19fc1bf4 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa19fc1fa2 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa19fc46bf (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa19eddb84 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa19ee2e4e (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa41b0b930 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa1a03ff00 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa42c1a8c8 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa1a03f420 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa41b0d970 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa1a03ff10 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa1a03f3d0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa19fc1896 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa1a016d64 (__TEXT,__text) non-external _GetOpRegs
00007ffa1a014864 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa1a01a2ac (__TEXT,__text) non-external _GetRegChunk
00007ffa1a0130c4 (__TEXT,__text) non-external _GetRegister
00007ffa1a01c2cf (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa1a015b9d (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa19fc18e8 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1a01e0fc (__TEXT,__text) non-external _GetStreamArray
00007ffa19fc1be0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa19fc1a51 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42c1a880 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1a010da6 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1a010d46 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1a010eb2 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1a010fd8 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1a010fc7 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1a010c95 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1a010f37 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1a01111e (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1a011088 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1a011289 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1a011040 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa19fc1902 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa19fc1dc8 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa19fa9101 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa19fc4674 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa1a013688 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa1a013f60 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa1a013748 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa1a016e5b (__TEXT,__text) non-external _IsBadUsage
00007ffa19faaa55 (__TEXT,__text) non-external (was a private external) _Load
00007ffa19fc1660 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa19fc1712 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa19fc6544 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa19fc65af (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa19fc3780 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa19fc6e00 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa19fc63a7 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa19fc65f8 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa41b0a650 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa41b0a2f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa41b0a870 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa41b0a9b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa41b0a4b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa41b0a5b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa41b0aab0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa41b0a620 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa19ed934f (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa19ed9117 (__TEXT,__text) external _PPParserAttachStream
00007ffa19ed8f9e (__TEXT,__text) external _PPParserAttachString
00007ffa19ee1fc2 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa19ed8eaf (__TEXT,__text) external _PPParserCreate
00007ffa19ed99bd (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa19ee09d8 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa19ed9069 (__TEXT,__text) external _PPParserFree
00007ffa19ed96fa (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa19ee2e2d (__TEXT,__text) external _PPParserGetErrorString
00007ffa19ee2e44 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa19ed99fc (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa19ee2de2 (__TEXT,__text) external _PPParserGetLimits
00007ffa19ee2e20 (__TEXT,__text) external _PPParserGetOptions
00007ffa19ed97ae (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa19ed9a9a (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa19ee2e3a (__TEXT,__text) external _PPParserGetStream
00007ffa19ed7f8f (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa19ed7fb9 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa19ed806b (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa19ed7ffb (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa19ee20c8 (__TEXT,__text) non-external _PPParserInherit
00007ffa19ed8f25 (__TEXT,__text) external _PPParserInit
00007ffa19ee2f20 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa19ed90e0 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa19ed7c10 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa19ed7c2f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa19ed7d8c (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa19ed7e4f (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa19ed7d1b (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa19ed7cec (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa19ed7dea (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa19ee2eca (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa19ee0dbf (__TEXT,__text) external _PPParserParse
00007ffa19eda7cc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa19ede93a (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa19edfc4b (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa19ee081b (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa19eda278 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa19edd09a (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa19eddbd9 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa19eda14f (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa19edeaab (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa19eda32f (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa19edee10 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa19ede468 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa19ee2d54 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa19eda532 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa19ede7d6 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa19ee0538 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa19edfcf3 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa19ee2200 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa19ed9ba8 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa19eddd1c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa19ede338 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa19edb0a6 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa19edcf10 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa19eda415 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa19ede5fc (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa19edf1d9 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa19ee22bd (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa19edf68a (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa19edf537 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa19edaea8 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa19edf938 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa19ee2124 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa19ed82d4 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa19ed9757 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa19ed9959 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa19ed8d53 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa19ed808f (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa19ed8cba (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa19ed8e3c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa19ed8e75 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa19ed8d9e (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa19ee2def (__TEXT,__text) external _PPParserSetLimits
00007ffa19ee2dd5 (__TEXT,__text) external _PPParserSetPrefs
00007ffa19ed8f2b (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa19eda924 (__TEXT,__text) non-external _PPParserValidateName
00007ffa1a009c90 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa1a009dcb (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa1a00a2d3 (__TEXT,__text) external _PPStreamAddConstant
00007ffa1a00a1ff (__TEXT,__text) external _PPStreamAddLabel
00007ffa1a009f09 (__TEXT,__text) external _PPStreamAddOperation
00007ffa1a00a3cc (__TEXT,__text) external _PPStreamAddOption
00007ffa1a009e35 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa1a009cf8 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa1a009d62 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa1a00a363 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa1a009a2c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa1a009a95 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa1a009bbd (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa1a009c27 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa1a009e9f (__TEXT,__text) external _PPStreamAddTexImage
00007ffa1a00af45 (__TEXT,__text) external _PPStreamAttachStream
00007ffa1a009185 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa1a00b75d (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa1a00926c (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa1a009b9f (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa1a0091a7 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa1a009474 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa1a009754 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa1a0097e8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa1a009330 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa1a00934f (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa1a0094a9 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa1a00983c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa1a009662 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa1a009545 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa1a0094e5 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa1a009596 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa1a0095d8 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa1a00b60c (__TEXT,__text) external _PPStreamCompare
00007ffa1a009940 (__TEXT,__text) external _PPStreamCreate
00007ffa1a009afe (__TEXT,__text) external _PPStreamFree
00007ffa1a00a432 (__TEXT,__text) external _PPStreamGetStream
00007ffa1a00af23 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa1a00a105 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa1a009fe7 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa1a009196 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa1a00b80b (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa1a009174 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa1a00a293 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa1a00beb8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa1a00bd9c (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa19ee457d (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa19ee5274 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa1a00adf4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa1a00a759 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa19ee540b (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa19ee5387 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa1a00af04 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa19ee5783 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa19ee5b2a (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa19ee5987 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa19ee5a74 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa1a00af19 (__TEXT,__text) external _PPStreamTokenFree
00007ffa19ee4551 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa19ee4500 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa1a03d9b0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa1a03da70 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa1a03db40 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa41b0acb0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa19ee5bc2 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa41b0b160 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1a03f930 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1a03f940 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1a03f980 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1a03f950 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa1a014a34 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa1a0149a7 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa19fc6eb1 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa19fc6858 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa1a01dcb3 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa19fc6723 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa1a01358f (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1a01351f (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1a011a64 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1a0119ff (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa1a014151 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa1a013140 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa1a0142e8 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa1a014103 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1a01175b (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1a011ac8 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1a011b44 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa1a019d49 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa19ee2e98 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa19ee2f8e (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa19fc683e (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa19fc5874 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa19fc5a10 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa19fc46f8 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa19fc5b99 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa19faa97b (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa19fb8370 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa19fb82db (__TEXT,__text) external _ShCleanup
00007ffa19fb7d22 (__TEXT,__text) external _ShCompile
00007ffa19fb795f (__TEXT,__text) external _ShConstructCompiler
00007ffa19fb79e4 (__TEXT,__text) external _ShConstructLinker
00007ffa19fb7aa5 (__TEXT,__text) external _ShDestruct
00007ffa19fb7d17 (__TEXT,__text) external _ShFinalize
00007ffa19fb9310 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa19fb8b38 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa19fb8834 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa19fb881f (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa19fb87f0 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa19fba4b7 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa19fbaa21 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa19fba96f (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa19fba84b (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa19fba2e3 (__TEXT,__text) external _ShGetActiveUniform
00007ffa19fb9b47 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa19fb97e9 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa19fb9da5 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa19fb9fb4 (__TEXT,__text) external _ShGetActiveUniformName
00007ffa19fb8c97 (__TEXT,__text) external _ShGetAttribLocation
00007ffa19fb8a29 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa19fbaa98 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa19fbaaad (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa19fb8d25 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa19fb947f (__TEXT,__text) external _ShGetFragDataLocation
00007ffa19fb82f0 (__TEXT,__text) external _ShGetInfoLog
00007ffa19fbaac1 (__TEXT,__text) external _ShGetInteger
00007ffa19fb8fb4 (__TEXT,__text) external _ShGetLinkerPPStream
