00007ffb1c73b4bc (__TEXT,__text) non-external _Done_iODBC
00007ffb1c737a6c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffb1c7377a4 (__TEXT,__text) external _SQLExecute
00007ffb1c738ea2 (__TEXT,__text) external _SQLExtendedFetch
00007ffb1c738c04 (__TEXT,__text) external _SQLFetch
00007ffb1c74b84d (__TEXT,__text) external _SQLFetchScroll
00007ffb1c738a48 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffb1c72fcf9 (__TEXT,__text) external _SQLForeignKeys
00007ffb1c72ff39 (__TEXT,__text) external _SQLForeignKeysA
00007ffb1c730179 (__TEXT,__text) external _SQLForeignKeysW
00007ffb1c72f96a (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffb1c739b74 (__TEXT,__text) external _SQLFreeConnect
00007ffb1c739ad3 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffb1c73b43c (__TEXT,__text) external _SQLFreeEnv
00007ffb1c73b3cb (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffb1c745c35 (__TEXT,__text) external _SQLFreeHandle
00007ffb1c73e943 (__TEXT,__text) external _SQLFreeStmt
00007ffb1c73e700 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffb1c755c14 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffb1c748942 (__TEXT,__text) external _SQLGetConnectAttr
00007ffb1c748e49 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffb1c748f9b (__TEXT,__text) external _SQLGetConnectAttrW
00007ffb1c748a94 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffb1c73aa78 (__TEXT,__text) external _SQLGetConnectOption
00007ffb1c73aba1 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffb1c73acca (__TEXT,__text) external _SQLGetConnectOptionW
00007ffb1c743c32 (__TEXT,__text) external _SQLGetCursorName
00007ffb1c743d8d (__TEXT,__text) external _SQLGetCursorNameA
00007ffb1c743ee8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffb1c743a21 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffb1c739025 (__TEXT,__text) external _SQLGetData
00007ffb1c74936f (__TEXT,__text) external _SQLGetDescField
00007ffb1c7494e9 (__TEXT,__text) external _SQLGetDescFieldA
00007ffb1c749663 (__TEXT,__text) external _SQLGetDescFieldW
00007ffb1c7490ed (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffb1c749f84 (__TEXT,__text) external _SQLGetDescRec
00007ffb1c74a126 (__TEXT,__text) external _SQLGetDescRecA
00007ffb1c74a2c8 (__TEXT,__text) external _SQLGetDescRecW
00007ffb1c749d88 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffb1c73dc90 (__TEXT,__text) external _SQLGetDiagField
00007ffb1c73dd7b (__TEXT,__text) external _SQLGetDiagFieldA
00007ffb1c73de66 (__TEXT,__text) external _SQLGetDiagFieldW
00007ffb1c73cb6a (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffb1c73c894 (__TEXT,__text) external _SQLGetDiagRec
00007ffb1c73c986 (__TEXT,__text) external _SQLGetDiagRecA
00007ffb1c73ca78 (__TEXT,__text) external _SQLGetDiagRecW
00007ffb1c73c112 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffb1c746331 (__TEXT,__text) external _SQLGetEnvAttr
00007ffb1c741736 (__TEXT,__text) external _SQLGetFunctions
00007ffb1c741310 (__TEXT,__text) external _SQLGetInfo
00007ffb1c741472 (__TEXT,__text) external _SQLGetInfoA
00007ffb1c7415d4 (__TEXT,__text) external _SQLGetInfoW
00007ffb1c740c10 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffb1c7589f6 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffb1c758a2f (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffb1c75842a (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffb1c758699 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffb1c746d38 (__TEXT,__text) external _SQLGetStmtAttr
00007ffb1c746eac (__TEXT,__text) external _SQLGetStmtAttrA
00007ffb1c747020 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffb1c746500 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffb1c73f17e (__TEXT,__text) external _SQLGetStmtOption
00007ffb1c73f2c1 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffb1c73ef86 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffb1c72cb09 (__TEXT,__text) external _SQLGetTypeInfo
00007ffb1c72cc34 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffb1c72cd5f (__TEXT,__text) external _SQLGetTypeInfoW
00007ffb1c72c970 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffb1c7393b3 (__TEXT,__text) external _SQLMoreResults
00007ffb1c737054 (__TEXT,__text) external _SQLNativeSql
00007ffb1c7371cb (__TEXT,__text) external _SQLNativeSqlA
00007ffb1c737342 (__TEXT,__text) external _SQLNativeSqlW
00007ffb1c736dad (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffb1c738596 (__TEXT,__text) external _SQLNumParams
00007ffb1c744327 (__TEXT,__text) external _SQLNumResultCols
00007ffb1c73830c (__TEXT,__text) external _SQLParamData
00007ffb1c742dd2 (__TEXT,__text) external _SQLParamOptions
00007ffb1c741fc1 (__TEXT,__text) external _SQLPrepare
00007ffb1c742106 (__TEXT,__text) external _SQLPrepareA
00007ffb1c74224b (__TEXT,__text) external _SQLPrepareW
00007ffb1c741dcc (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffb1c730611 (__TEXT,__text) external _SQLPrimaryKeys
00007ffb1c7307fc (__TEXT,__text) external _SQLPrimaryKeysA
00007ffb1c7309e7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffb1c7303b9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffb1c730e89 (__TEXT,__text) external _SQLProcedureColumns
00007ffb1c731075 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffb1c731261 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffb1c730bd2 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffb1c7316a5 (__TEXT,__text) external _SQLProcedures
00007ffb1c731890 (__TEXT,__text) external _SQLProceduresA
00007ffb1c731a7b (__TEXT,__text) external _SQLProceduresW
00007ffb1c73144d (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffb1c738087 (__TEXT,__text) external _SQLPutData
00007ffb1c75538c (__TEXT,__text) non-external _SQLReadFileDSN
00007ffb1c7554f3 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffb1c744043 (__TEXT,__text) external _SQLRowCount
00007ffb1c758a68 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffb1c74839a (__TEXT,__text) external _SQLSetConnectAttr
00007ffb1c7486dc (__TEXT,__text) external _SQLSetConnectAttrA
00007ffb1c74880f (__TEXT,__text) external _SQLSetConnectAttrW
00007ffb1c7484cd (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffb1c73a2d8 (__TEXT,__text) external _SQLSetConnectOption
00007ffb1c73a401 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffb1c73a52a (__TEXT,__text) external _SQLSetConnectOptionW
00007ffb1c742543 (__TEXT,__text) external _SQLSetCursorName
00007ffb1c74268b (__TEXT,__text) external _SQLSetCursorNameA
00007ffb1c7427d3 (__TEXT,__text) external _SQLSetCursorNameW
00007ffb1c742390 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffb1c74996b (__TEXT,__text) external _SQLSetDescField
00007ffb1c749aca (__TEXT,__text) external _SQLSetDescFieldA
00007ffb1c749c29 (__TEXT,__text) external _SQLSetDescFieldW
00007ffb1c7497dd (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffb1c74a46a (__TEXT,__text) external _SQLSetDescRec
00007ffb1c746144 (__TEXT,__text) external _SQLSetEnvAttr
00007ffb1c74625e (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffb1c758fa4 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffb1c758fb5 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffb1c743624 (__TEXT,__text) external _SQLSetParam
00007ffb1c7397ca (__TEXT,__text) external _SQLSetPos
00007ffb1c7430f2 (__TEXT,__text) external _SQLSetScrollOptions
00007ffb1c747fa4 (__TEXT,__text) external _SQLSetStmtAttr
00007ffb1c7480f6 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffb1c748248 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffb1c747194 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffb1c73ea8a (__TEXT,__text) external _SQLSetStmtOption
00007ffb1c73ee43 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffb1c73ebcd (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffb1c72d14a (__TEXT,__text) external _SQLSpecialColumns
00007ffb1c72d358 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffb1c72d566 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffb1c72ce8a (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffb1c72da23 (__TEXT,__text) external _SQLStatistics
00007ffb1c72dc15 (__TEXT,__text) external _SQLStatisticsA
00007ffb1c72de07 (__TEXT,__text) external _SQLStatisticsW
00007ffb1c72d774 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffb1c731ebe (__TEXT,__text) external _SQLTablePrivileges
00007ffb1c7320a9 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffb1c732294 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffb1c731c66 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffb1c72e2b0 (__TEXT,__text) external _SQLTables
00007ffb1c72e49c (__TEXT,__text) external _SQLTablesA
00007ffb1c72e688 (__TEXT,__text) external _SQLTablesW
00007ffb1c72dff9 (__TEXT,__text) non-external _SQLTables_Internal
00007ffb1c73b0eb (__TEXT,__text) external _SQLTransact
00007ffb1c73adf3 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffb1c755cff (__TEXT,__text) non-external _SQLValidDSN
00007ffb1c755d62 (__TEXT,__text) non-external _SQLValidDSNW
00007ffb1c75512e (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffb1c7551d9 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffb1c758bc9 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffb1c758df1 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffb1c73fe9d (__TEXT,__text) non-external _SectSorter
00007ffb1c755c61 (__TEXT,__text) non-external _ValidDSN
00007ffb1c755cb3 (__TEXT,__text) non-external _ValidDSNW
00007ffb1c758abf (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1c7375a0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1c7375c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1c756ded (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffb42aa2810 (__DATA,__common) non-external __iodbc_env_counter
00007ffb1c75572f (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffb1c73f8b8 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffb1c73f989 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffb1c738d25 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffb1c73e6ad (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffb1c73a653 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffb1c744206 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffb1c73e90d (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffb1c739c53 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffb1c7326db (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffb1c73966c (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffb1c73f93e (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffb1c73f627 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffb42aa2818 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffb1c73fa56 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffb1c72ca6e (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffb1c72cac1 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffb1c7574c4 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffb1c75676f (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffb1c756f70 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffb1c756c1c (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffb1c7566c3 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffb1c741bfb (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffb1c757777 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffb1c756ebb (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffb1c741c72 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffb1c741b00 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffb1c7567a0 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffb1c756e95 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffb1c7577a9 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffb1c756ce9 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffb1c741cc0 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffb1c75706f (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffb1c755978 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffb1c7358f6 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffb1c73f6d5 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffb1c73f7ca (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffb1c735a20 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffb1c7376e8 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffb1c737730 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffb1c737640 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffb1c737636 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffb1c737760 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffb1c7328f6 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffb1c7330b9 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffb1c73e5b8 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffb1c7324d2 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffb1c73b4c4 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffb1c7374b9 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffb1c755a1c (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffb1c7375ea (__TEXT,__text) non-external __iodbcdm_getproc
00007ffb42aa27b8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffb1c75798a (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffb1c7578cc (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffb1c7444a9 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffb1c74444d (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffb1c732480 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffb1c758fd1 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffb1c735500 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffb1c735bff (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffb1c7325ac (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffb1c735b5e (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffb1c73b4e7 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffb1c7559c3 (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffb1c73773a (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffb1c73b54a (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffb1c755b9a (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffb1c755b49 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffb1c73aed5 (__TEXT,__text) non-external __iodbcdm_transact
00007ffb408e7fe0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffb408e8c80 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffb408e8d30 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffb408e80a0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffb408e8140 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffb408e87e0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffb408e8820 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffb408e84f0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffb408e8870 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffb408e8890 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffb408e88b0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffb408e85a0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffb408e88e0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffb408e8900 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffb408e7fb0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffb408e7fc0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffb408e84c0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffb408e8930 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffb408e8980 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffb408e89a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffb408e89b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffb408e8a00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffb408e8a20 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffb408e8aa0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffb408e8ab0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffb408e8ae0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffb408e8b00 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffb408e8b80 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffb408e8bc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffb408e8bd0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffb408e8be0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffb408e8bf0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffb408e8c10 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffb408e8c30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffb408e8c50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffb408e8c60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffb408e8ba0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffb408e80f0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffb408e8630 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffb408e85e0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffb408e8610 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffb408e8dc0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffb408e8de0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffb408e8ea0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffb408e8650 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffb408e84e0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffb408e8670 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffb408e8170 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffb408e8240 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffb408e8ec0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffb408e8260 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffb408e8270 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffb408e8690 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffb408e8ee0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
