00007ffa1aa3b6eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1aa3953a (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa1aa39444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa1aa3951c (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa1aa3af9e (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa1aa3af8a (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa1aa3ad84 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa1aa3af94 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa1aa3aefe (__TEXT,__text) non-external -[NFLazy reset]
00007ffa1aa3ae30 (__TEXT,__text) non-external -[NFLazy value]
00007ffa1aa400e2 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa1aa3f86e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa1aa400b3 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa1aa3fa99 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa1aa400bd (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa1aa3f865 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa1aa3fecd (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa1aa3f756 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa1aa3f76b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa1aa400c7 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa1aa3fcdd (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa1aa3f909 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa1aa3f9a4 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa1aa3fb27 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa1aa400d1 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa1aa3e2c2 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa1aa3e22e (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa1aa3e21a (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa1aa3e34b (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa1aa3e2fc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa1aa3e359 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa1aa38446 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa1aa382b4 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa1aa383f9 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa1aa3842d (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa1aa38414 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa1aa38403 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa1aa38437 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa1aa3841e (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa1aa3c8e2 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa1aa3b801 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa1aa3be1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa1aa3b789 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa1aa3c798 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa1aa3c6c6 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa1aa3b7e5 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa1aa3bd85 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa1aa3c248 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa1aa3c18b (__TEXT,__text) non-external -[NFPromise error]
00007ffa1aa3b707 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa1aa3b479 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa1aa3b669 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa1aa3b30e (__TEXT,__text) non-external -[NFPromise init]
00007ffa1aa3c07f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa1aa3bf7d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa1aa3c4ed (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa1aa3c2b2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa1aa3c8c7 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa1aa3c8d1 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa1aa3b7c9 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa1aa3b81d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa1aa3bf13 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa1aa3beac (__TEXT,__text) non-external -[NFPromise then]
00007ffa1aa3e7ac (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa1aa3e80b (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa1aa3dc58 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa1aa3d60f (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa1aa3d273 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa1aa40d11 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa1aa40df2 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa1aa3dc04 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa1aa3dc33 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa1aa3d200 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa1aa3d18d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa1aa3d110 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa1aa3dc4e (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa1aa3d736 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa1aa3d386 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa1aa3d36f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa1aa3d3a3 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa1aa3d89e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa1aa40ed3 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa1aa3dc0e (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa1aa3dc3d (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa1aa3dc29 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa1aa3dbf3 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa1aa3dc1f (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa1aa3dbe9 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa1aa3e1e7 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa1aa3e032 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa1aa3df39 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa1aa3e1cc (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa1aa3e182 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa1aa3deff (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa1aa3dd54 (__TEXT,__text) non-external -[NFReachability init]
00007ffa1aa3e1b1 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa1aa3e196 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa1aa3e1d6 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa1aa3e18c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa1aa3e1bb (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa1aa3e1a0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa1aa3ac87 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa1aa39d22 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa1aa39ca4 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa1aa39f69 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa1aa40b1f (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa1aa39e3c (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa1aa40a3e (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa1aa39dee (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa1aa39d70 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa1aa39bb6 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa1aa39b18 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa1aa3ac3d (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa1aa3a096 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa1aa399cd (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa1aa3ac58 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa1aa3abfb (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa1aa3ac47 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa1aa3ac62 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa1aa3ac11 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa1aa3abea (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa1aa3ac2c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa1aa3abd6 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa1aa3ac7d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa1aa3abe0 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa1aa3ac22 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa1aa3ac73 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa1aa3abcc (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa1aa3e76e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa1aa3e540 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa1aa3e73a (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa1aa3e755 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa1aa3e629 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa1aa3e41f (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa1aa3e367 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa1aa3e463 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa1aa3e706 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa1aa3e609 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa1aa3e744 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa1aa3e75f (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa1aa3e710 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa1aa3e729 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa1aa3e71f (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa1aa3f345 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa1aa3f2c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa1aa3f19e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa1aa3f32c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa1aa3f313 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa1aa3f07d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa1aa3f012 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa1aa3f0c1 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa1aa3f2af (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa1aa3f20f (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa1aa3f28f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa1aa3f24f (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa1aa3f26f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa1aa3f22f (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa1aa3f2d2 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa1aa3f336 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa1aa3f31d (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa1aa3f2b9 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa1aa3f304 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa1aa3f2eb (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa1aa3f2fa (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa1aa3f2e1 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa1aa3f399 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa1aa3f679 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa1aa3f59c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa1aa3f4f4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa1aa3f44c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa1aa3826b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa1aa38250 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa1aa380fb (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa1aa381ff (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa1aa3821a (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa1aa37ff7 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa1aa3825a (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa1aa38209 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa1aa38224 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa1aa381ee (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa1aa3823f (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa1aa381e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa1aa38235 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa1aa37fdb (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa1aa37fe9 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa1aa37f07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa1aa37f50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa1aa37fbc (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa1aa37f64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa1aa37fcd (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa1aa3c8fd (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa1aa39955 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa1aa3b0cf (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa1aa3ce9a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa1aa3cf93 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa1aa3acce (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa1aa402d1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa1aa4023f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa1aa42c04 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa1aa42c60 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa1aa42c7c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa1aa396e8 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa1aa4049d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa1aa40fe4 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa43019190 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa43019188 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa1aa4034a (__TEXT,__text) external _NFDeviceIsA7
00007ffa1aa40352 (__TEXT,__text) external _NFDeviceIsA8
00007ffa1aa40434 (__TEXT,__text) external _NFDeviceModelString
00007ffa1aa40419 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa1aa4035a (__TEXT,__text) external _NFDevicePlatform
00007ffa1aa40fcc (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa43019180 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa43019178 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa1aa4040c (__TEXT,__text) external _NFGeneralDeviceString
00007ffa1aa37e70 (__TEXT,__text) external _NFInternalBuild
00007ffa1aa404c8 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa430191a0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa43019198 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa1aa3dc96 (__TEXT,__text) external _NFLockSync
00007ffa1aa3d05d (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa1aa37ea6 (__TEXT,__text) external _NFSeedBuild
00007ffa423def78 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa1aa37eae (__TEXT,__text) external _NFStoreDemoMode
00007ffa1aa404e0 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa43019170 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa430191a1 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa1aa4044f (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa1aa41f50 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa1aa41f10 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa430190c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa43019028 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa43019000 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa43018fd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa430190f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa43018fb0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa43019050 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa43018f88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa43018f60 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa43018f38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa43018f10 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa43018ee8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa43018ec0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa43018e98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa43018e70 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa43018e48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
