                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
000000018050516c (__TEXT,__text) non-external _LI_get_thread_info
00000001e599d9e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e599da00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e599dac0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e599dd28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001edd86580 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001edd868f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001edd86028 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.105
00000001edd86058 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001e599d8a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001edd86088 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.126
00000001edd86920 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001edd860b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.140
00000001edd86950 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001edd865b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001edd86980 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001edd869b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.20
00000001edd865e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001edd869e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e599d9c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00000001edd86610 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001edd86a10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
00000001edd86890 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3
00000001edd86640 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001edd86a40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001edd86a70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001edd86670 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001edd86aa0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001edd85f08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001edd866a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001e599d928 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.38
00000001edd86ad0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001edd868c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4
00000001edd866d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001edd86700 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
00000001e599dae0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00000001edd85f38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e599d8c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00000001edd86750 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.51
00000001edd85f68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e599d8e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001edd86780 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.55
00000001edd867b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
00000001edd867e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.61
00000001edd86810 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
00000001edd86840 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.69
00000001edd85f98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001edd85fc8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001edd85ff8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001edd85ec8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001edd86250 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001edd863d8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001edd86560 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001edd86730 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001edd86870 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001edd85ee8 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001e9c5c320 (__DATA,__data) non-external (was a private external) ___check_rhosts_file
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
000000018051c4c0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
000000018051c3dc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
0000000180513744 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
000000018051c158 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
0000000180513694 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
0000000180513bc0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r56r64r
                 (undefined) external ___darwin_check_fd_set_overflow (from libsystem_kernel)
00000001805239b0 (__TEXT,__text) non-external ___darwin_directory_group_all_block_invoke
0000000180523930 (__TEXT,__text) non-external ___darwin_directory_group_bygid_block_invoke
000000018052387c (__TEXT,__text) non-external ___darwin_directory_group_byname_block_invoke
0000000180523970 (__TEXT,__text) non-external ___darwin_directory_group_byuuid_block_invoke
0000000180523a20 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke
0000000180523a48 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36
000000018052b3b8 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36.cold.1
000000018052380c (__TEXT,__text) non-external ___darwin_directory_user_all_block_invoke
0000000180523630 (__TEXT,__text) non-external ___darwin_directory_user_byname_block_invoke
000000018052373c (__TEXT,__text) non-external ___darwin_directory_user_byuid_block_invoke
00000001805237bc (__TEXT,__text) non-external ___darwin_directory_user_byuuid_block_invoke
000000018051c4d0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
000000018051c42c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
0000000180513754 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
000000018051c1a8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001805136f4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
0000000180513c40 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r56r64r
0000000180510d9c (__TEXT,__text) external ___dn_skipname
                 (undefined) external ___error (from libsystem_kernel)
000000018052981c (__TEXT,__text) non-external ___icheckhost
000000018052c278 (__TEXT,__const) non-external (was a private external) ___infoVersionNumber
000000018052c250 (__TEXT,__const) non-external (was a private external) ___infoVersionString
                 (undefined) external ___initgroups (from libsystem_kernel)
0000000180529364 (__TEXT,__text) non-external (was a private external) ___ivaliduser_sa
                 (undefined) external ___maskrune (from libsystem_c)
00000001ec718458 (__DATA_DIRTY,__bss) non-external ___mbr_pipe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___memmove_chk (from libsystem_c)
                 (undefined) external ___memset_chk (from libsystem_c)
00000001ec718478 (__DATA_DIRTY,__bss) non-external ___od_pipe
00000001e9c5c720 (__DATA,__common) non-external (was a private external) ___rcmd_errstr
000000018050a760 (__TEXT,__text) non-external ___si_async_call_block_invoke
000000018051202c (__TEXT,__text) non-external ___si_module_cache_byname_block_invoke
0000000180523608 (__TEXT,__text) non-external ___si_module_static_darwin_directory_block_invoke
00000001805035ac (__TEXT,__text) non-external ___si_module_static_ds_block_invoke
000000018050376c (__TEXT,__text) non-external ___si_module_static_file_block_invoke
00000001805036b4 (__TEXT,__text) non-external ___si_module_static_mdns_block_invoke
00000001805030f8 (__TEXT,__text) non-external ___si_module_static_search_block_invoke
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external ___stdoutp (from libsystem_c)
                 (undefined) external ___strcat_chk (from libsystem_c)
                 (undefined) external ___strcpy_chk (from libsystem_c)
                 (undefined) external ___strlcat_chk (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___tolower (from libsystem_c)
0000000180527ac4 (__TEXT,__text) non-external (was a private external) ___xdrrec_getrec
000000018052593c (__TEXT,__text) external __authenticate
0000000180517a3c (__TEXT,__text) non-external __check_groups
00000001e9c5c758 (__DATA,__bss) non-external __check_groups.once
00000001805238bc (__TEXT,__text) non-external __dd_extract_group
000000018051c050 (__TEXT,__text) non-external __dd_extract_result
000000018052a5d0 (__TEXT,__text) non-external __dd_extract_result.cold.1
000000018052a5e8 (__TEXT,__text) non-external __dd_extract_result.cold.2
0000000180523670 (__TEXT,__text) non-external __dd_extract_user
000000018051b2b0 (__TEXT,__text) non-external __dd_mbr_check_membership_ext
0000000180512224 (__TEXT,__text) non-external __ds_child
0000000180503e70 (__TEXT,__text) non-external __ds_get_validation
000000018050536c (__TEXT,__text) non-external __ds_is_valid
0000000180503da4 (__TEXT,__text) non-external __ds_item
000000018050f928 (__TEXT,__text) non-external __ds_list
00000001e9c5c558 (__DATA,__common) non-external (was a private external) __ds_port
0000000180512148 (__TEXT,__text) external __ds_running
00000001805135b0 (__TEXT,__text) non-external __ds_serv_cache_free
00000001ec7184e0 (__DATA_DIRTY,__bss) non-external __ds_serv_cache_key
0000000180513ca8 (__TEXT,__text) non-external __extract_alias
000000018050fadc (__TEXT,__text) non-external __extract_fstab
00000001805058f0 (__TEXT,__text) non-external __extract_group
0000000180514ed8 (__TEXT,__text) non-external __extract_mac_mac
000000018051504c (__TEXT,__text) non-external __extract_mac_name
000000018051387c (__TEXT,__text) non-external __extract_netgroup
0000000180514038 (__TEXT,__text) non-external __extract_network
00000001805147b0 (__TEXT,__text) non-external __extract_protocol
0000000180514b6c (__TEXT,__text) non-external __extract_rpc
00000001805143b8 (__TEXT,__text) non-external __extract_service
0000000180513618 (__TEXT,__text) non-external __extract_string_from_xpc_array_index
0000000180514fec (__TEXT,__text) non-external __extract_string_from_xpc_dict
0000000180504420 (__TEXT,__text) non-external __extract_string_from_xpc_object
0000000180505ca8 (__TEXT,__text) non-external __extract_string_list_from_xpc_array
0000000180513760 (__TEXT,__text) non-external __extract_string_list_from_xpc_array_index
00000001805044b8 (__TEXT,__text) non-external __extract_uint32_from_xpc_object
0000000180503f24 (__TEXT,__text) non-external __extract_user
0000000180515bc4 (__TEXT,__text) non-external __fsi_append_char_to_line
0000000180508e60 (__TEXT,__text) non-external __fsi_append_string
0000000180515518 (__TEXT,__text) non-external __fsi_check_netgroup_cache
0000000180515850 (__TEXT,__text) non-external __fsi_find_netgroup
0000000180515a54 (__TEXT,__text) non-external __fsi_flatten_netgroup
000000018051513c (__TEXT,__text) non-external (was a private external) __fsi_free_file_netgroup
0000000180515c5c (__TEXT,__text) non-external __fsi_get_alias
00000001805160f4 (__TEXT,__text) non-external __fsi_get_ether
000000018050ff2c (__TEXT,__text) non-external __fsi_get_fs
0000000180510958 (__TEXT,__text) non-external __fsi_get_group
000000018050ed0c (__TEXT,__text) non-external __fsi_get_host
0000000180508b58 (__TEXT,__text) non-external (was a private external) __fsi_get_line
0000000180515e3c (__TEXT,__text) non-external __fsi_get_name_number_aliases
0000000180508784 (__TEXT,__text) non-external __fsi_get_service
00000001805096c8 (__TEXT,__text) non-external __fsi_get_user
0000000180508a14 (__TEXT,__text) non-external __fsi_get_validation
000000018051628c (__TEXT,__text) non-external __fsi_parse_ether
00000001805158ec (__TEXT,__text) non-external __fsi_read_netgroup_line
0000000180508c48 (__TEXT,__text) non-external (was a private external) __fsi_tokenize
0000000180508f54 (__TEXT,__text) non-external __fsi_validate
000000018050ddc8 (__TEXT,__text) non-external (was a private external) __gai_addr_sort
00000001e9c5c160 (__DATA,__data) non-external __gai_load_libnetwork.load_once
000000018051a6e8 (__TEXT,__text) non-external __gai_load_libnetwork_once
000000018052a430 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.1
000000018052a468 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.2
000000018052a494 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.3
000000018052a4c0 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.4
000000018052a4ec (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.5
00000001e9c5c7d0 (__DATA,__bss) non-external __gai_load_libnetwork_once.handle
00000001e9c5c158 (__DATA,__data) non-external __gai_log
000000018051a128 (__TEXT,__text) external __gai_nat64_can_v4_address_be_synthesized
000000018052a404 (__TEXT,__text) non-external __gai_nat64_can_v4_address_be_synthesized.cold.1
000000018051a1f0 (__TEXT,__text) non-external __gai_nat64_second_pass
0000000180506960 (__TEXT,__text) non-external __gai_nat64_synthesis
0000000180506c54 (__TEXT,__text) non-external __gai_numerichost
00000001805068e0 (__TEXT,__text) non-external __gai_numericserv
000000018050dbb8 (__TEXT,__text) external __gai_serv_to_port
000000018051071c (__TEXT,__text) external __gai_simple
0000000180507664 (__TEXT,__text) non-external __gai_sort_list
0000000180518b00 (__TEXT,__text) external __getaddrinfo_interface_async_call
0000000180517b50 (__TEXT,__text) non-external __getgrouplist_2_internal
0000000180510e10 (__TEXT,__text) external __getlong
000000018050f0a0 (__TEXT,__text) external __getnameinfo_interface_async_call
0000000180510e00 (__TEXT,__text) external __getshort
000000018052c4b8 (__TEXT,__const) non-external __group_compat_prefix
                 (undefined) external __inet_aton_check (from libsystem_c)
00000001ec718470 (__DATA_DIRTY,__bss) non-external __info_key
00000001ec718068 (__DATA_DIRTY,__data) non-external __info_key_initialized
00000001ec718468 (__DATA_DIRTY,__bss) non-external __info_key_ok
0000000180519770 (__TEXT,__text) non-external __is_v4addr_ifaddr
0000000180519804 (__TEXT,__text) non-external __is_v6addr_ifaddr
000000018051c4dc (__TEXT,__text) non-external __mbr_fork_child
000000018050a130 (__TEXT,__text) non-external __mbr_fork_parent
000000018050a0f4 (__TEXT,__text) non-external __mbr_fork_prepare
0000000180502a54 (__TEXT,__text) non-external __mbr_od_available
0000000180502a90 (__TEXT,__text) non-external __mbr_xpc_pipe
000000018052a5bc (__TEXT,__text) non-external __mbr_xpc_pipe.cold.1
00000001ec718460 (__DATA_DIRTY,__bss) non-external __mbr_xpc_pipe.once
00000001805198ac (__TEXT,__text) non-external __mdns_atfork_child
000000018050a118 (__TEXT,__text) non-external __mdns_atfork_parent
000000018050a10c (__TEXT,__text) non-external __mdns_atfork_prepare
000000018050d500 (__TEXT,__text) non-external __mdns_canonicalize
00000001e9c5c7b0 (__DATA,__bss) non-external __mdns_debug
000000018050acd4 (__TEXT,__text) non-external __mdns_debug_message
00000001e9c5c7b8 (__DATA,__bss) non-external __mdns_generation
000000018050d55c (__TEXT,__text) non-external __mdns_hostent_append_addr
000000018050d3f8 (__TEXT,__text) non-external __mdns_hostent_append_alias
000000018050c6fc (__TEXT,__text) non-external __mdns_hostent_clear
00000001e9c5c1e8 (__DATA,__data) non-external __mdns_mutex
00000001e9c5c778 (__DATA,__bss) non-external __mdns_old_sdref
000000018050bdf4 (__TEXT,__text) non-external __mdns_pack_domain_name
000000018050eb6c (__TEXT,__text) non-external __mdns_parse_domain_name
0000000180510e40 (__TEXT,__text) non-external __mdns_query
000000018050bf0c (__TEXT,__text) non-external __mdns_query_callback
000000018050c624 (__TEXT,__text) non-external __mdns_query_clear
000000018050c4a8 (__TEXT,__text) non-external __mdns_query_is_complete
000000018050ba80 (__TEXT,__text) non-external __mdns_query_start
000000018050c7a0 (__TEXT,__text) non-external __mdns_reply_clear
00000001e9c5c770 (__DATA,__bss) non-external __mdns_sdref
000000018050ad54 (__TEXT,__text) non-external __mdns_search
000000018050ae00 (__TEXT,__text) non-external __mdns_search_ex
00000001e9c5c678 (__DATA,__common) external __null_auth
00000001805135bc (__TEXT,__text) non-external __od_fork_child
000000018050a124 (__TEXT,__text) non-external __od_fork_parent
000000018050a100 (__TEXT,__text) non-external __od_fork_prepare
0000000180502be8 (__TEXT,__text) non-external (was a private external) __od_rpc_call
0000000180503b7c (__TEXT,__text) non-external __od_running
0000000180503bc8 (__TEXT,__text) non-external __od_xpc_pipe
000000018052a1b8 (__TEXT,__text) non-external __od_xpc_pipe.cold.1
00000001ec7184a8 (__DATA_DIRTY,__bss) non-external __od_xpc_pipe.once
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_feature_enabled_simple_impl (from libsystem_featureflags)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
00000001e9c5c330 (__DATA,__common) external __res
0000000180524f7c (__TEXT,__text) external __seterr_reply
000000018051212c (__TEXT,__text) external __si_disable_opendirectory
00000001e9c5c328 (__DATA,__common) non-external (was a private external) __si_opendirectory_disabled
0000000180525988 (__TEXT,__text) non-external (was a private external) __svcauth_null
0000000180525b18 (__TEXT,__text) non-external (was a private external) __svcauth_short
0000000180525990 (__TEXT,__text) non-external (was a private external) __svcauth_unix
000000018052c4a8 (__TEXT,__const) non-external __user_compat_prefix
0000000180503d4c (__TEXT,__text) non-external __xpc_query_key_id
0000000180514b1c (__TEXT,__text) non-external __xpc_query_key_int
0000000180509a80 (__TEXT,__text) non-external __xpc_query_key_string
000000018050a39c (__TEXT,__text) non-external __xpc_query_key_uuid
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_bool (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_int64 (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
000000018051d1ec (__TEXT,__text) external __yp_dobind
00000001e9c5c2b4 (__DATA,__data) non-external __yp_dobind.pid
00000001e9c5c578 (__DATA,__common) non-external (was a private external) __yp_domain
000000018051d6dc (__TEXT,__text) non-external (was a private external) __yp_unbind
00000001e9c5c570 (__DATA,__common) non-external (was a private external) __ypbindlist
00000001e9c5c2b0 (__DATA,__data) non-external (was a private external) __yplib_timeout
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _abort_with_reason (from libsystem_kernel)
                 (undefined) external _accept$NOCANCEL (from libsystem_kernel)
0000000180517d98 (__TEXT,__text) external _alias_endent
0000000180517cbc (__TEXT,__text) external _alias_getbyname
0000000180517d28 (__TEXT,__text) external _alias_getent
0000000180517d1c (__TEXT,__text) external _alias_setent
000000018052c3a0 (__TEXT,__const) non-external _align_64
000000018050d6ac (__TEXT,__text) non-external _append_addr
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asl_free (from libsystem_asl)
                 (undefined) external _asl_log (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _atoi (from libsystem_c)
00000001e599dca8 (__DATA_CONST,__const) non-external _auth_errlist
00000001ed3c01a8 (__AUTH,__data) non-external _auth_unix_ops
000000018051e48c (__TEXT,__text) external _authnone_create
000000018051e5bc (__TEXT,__text) non-external _authnone_destroy
000000018051e57c (__TEXT,__text) non-external _authnone_marshal
00000001e9c5c858 (__DATA,__bss) non-external _authnone_private
000000018051e5b4 (__TEXT,__text) non-external _authnone_refresh
000000018051e5ac (__TEXT,__text) non-external _authnone_validate
000000018051e5a8 (__TEXT,__text) non-external _authnone_verf
000000018051e5c0 (__TEXT,__text) external _authunix_create
000000018051e7dc (__TEXT,__text) external _authunix_create_default
000000018051eaa0 (__TEXT,__text) non-external _authunix_destroy
000000018051e898 (__TEXT,__text) non-external _authunix_marshal
000000018051e894 (__TEXT,__text) non-external _authunix_nextverf
000000018051e980 (__TEXT,__text) non-external _authunix_refresh
000000018051e8b8 (__TEXT,__text) non-external _authunix_validate
                 (undefined) external _bind (from libsystem_kernel)
000000018051ee3c (__TEXT,__text) external _bindresvport
000000018051ec3c (__TEXT,__text) external _bindresvport_sa
0000000180519420 (__TEXT,__text) external _bootparams_endent
000000018051940c (__TEXT,__text) external _bootparams_getbyname
0000000180519414 (__TEXT,__text) external _bootparams_getent
000000018051941c (__TEXT,__text) external _bootparams_setent
                 (undefined) external _bootstrap_look_up (from libxpc)
                 (undefined) external _bootstrap_look_up2 (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00000001e9c5c860 (__DATA,__bss) non-external _buf
                 (undefined) external _bzero (from libsystem_c)
