                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007fff2a641361 (__TEXT,__text) external ___absvdi2
00007fff2a641ba1 (__TEXT,__text) external ___atomic_load_2
00007fff2a641bb3 (__TEXT,__text) external ___atomic_load_4
00007fff2a641bc1 (__TEXT,__text) external ___atomic_load_8
00007fff2a64167c (__TEXT,__text) external ___atomic_store
00007fff2a641bd0 (__TEXT,__text) external ___atomic_store_1
00007fff2a641be2 (__TEXT,__text) external ___atomic_store_2
00007fff2a641bf4 (__TEXT,__text) external ___atomic_store_4
00007fff2a641c04 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007fff2a642670 (__TEXT,__text) external ___clear_cache
00007fff2a642671 (__TEXT,__text) external ___clzdi2
00007fff2a64268e (__TEXT,__text) external ___clzsi2
00007fff2a6426fd (__TEXT,__text) external ___clzti2
00007fff2a642716 (__TEXT,__text) external ___cmpdi2
00007fff2a642745 (__TEXT,__text) external ___cmpti2
00007fff2a6442a8 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007fff2a642769 (__TEXT,__text) external ___ctzdi2
00007fff2a642783 (__TEXT,__text) external ___ctzsi2
00007fff2a6427e4 (__TEXT,__text) external ___ctzti2
00007fff2a6427fa (__TEXT,__text) external ___divdc3
00007fff2a6412f3 (__TEXT,__text) external ___divdi3
00007fff2a642bc3 (__TEXT,__text) external ___divsc3
00007fff2a641321 (__TEXT,__text) external ___divti3
00007fff2a642f2e (__TEXT,__text) external ___divxc3
00007fff2a643271 (__TEXT,__text) external ___enable_execute_stack
00007fff2a643292 (__TEXT,__text) external ___extendhfsf2
00007fff2a643301 (__TEXT,__text) external ___ffsdi2
00007fff2a64331d (__TEXT,__text) external ___ffsti2
00007fff2a643339 (__TEXT,__text) external ___fixdfdi
00007fff2a64335a (__TEXT,__text) external ___fixdfti
00007fff2a643423 (__TEXT,__text) external ___fixsfdi
00007fff2a643441 (__TEXT,__text) external ___fixsfti
00007fff2a6411f8 (__TEXT,__text) external ___fixunsdfdi
00007fff2a6434eb (__TEXT,__text) external ___fixunsdfsi
00007fff2a643536 (__TEXT,__text) external ___fixunsdfti
00007fff2a6435b5 (__TEXT,__text) external ___fixunssfdi
00007fff2a6435fa (__TEXT,__text) external ___fixunssfsi
00007fff2a643644 (__TEXT,__text) external ___fixunssfti
00007fff2a64123b (__TEXT,__text) external ___fixunsxfdi
00007fff2a6436b9 (__TEXT,__text) external ___fixunsxfsi
00007fff2a64372c (__TEXT,__text) external ___fixunsxfti
00007fff2a6437e3 (__TEXT,__text) external ___fixxfdi
00007fff2a643880 (__TEXT,__text) external ___fixxfti
00007fff2a643966 (__TEXT,__text) external ___floatdidf
00007fff2a64396c (__TEXT,__text) external ___floatdisf
00007fff2a643972 (__TEXT,__text) external ___floatdixf
00007fff2a64397c (__TEXT,__text) external ___floattidf
00007fff2a643a94 (__TEXT,__text) external ___floattisf
00007fff2a643b96 (__TEXT,__text) external ___floattixf
00007fff2a643cc8 (__TEXT,__text) external ___floatundidf
00007fff2a643cf4 (__TEXT,__text) external ___floatundisf
00007fff2a643d20 (__TEXT,__text) external ___floatundixf
00007fff2a643d36 (__TEXT,__text) external ___floatuntidf
00007fff2a643e3c (__TEXT,__text) external ___floatuntisf
00007fff2a643f04 (__TEXT,__text) external ___floatuntixf
00007fff2a64400c (__TEXT,__text) external ___gcc_personality_v0
00007fff2a645706 (__TEXT,__text) external ___gnu_f2h_ieee
00007fff2a6432fc (__TEXT,__text) external ___gnu_h2f_ieee
00007fff2a6442c0 (__TEXT,__text) external ___lshrdi3
00007fff2a6442ee (__TEXT,__text) external ___lshrti3
00007fff2a6412b2 (__TEXT,__text) external ___moddi3
00007fff2a644316 (__TEXT,__text) external ___modti3
00007fff2a644369 (__TEXT,__text) external ___muldc3
00007fff2a64452e (__TEXT,__text) external ___muldi3
00007fff2a6445a7 (__TEXT,__text) external ___mulodi4
00007fff2a64463e (__TEXT,__text) external ___mulosi4
00007fff2a6446b6 (__TEXT,__text) external ___muloti4
00007fff2a6447d7 (__TEXT,__text) external ___mulsc3
00007fff2a644a12 (__TEXT,__text) external ___multi3
00007fff2a644a6a (__TEXT,__text) external ___mulvdi3
00007fff2a644b6c (__TEXT,__text) external ___mulvsi3
00007fff2a644c49 (__TEXT,__text) external ___mulvti3
00007fff2a644ddd (__TEXT,__text) external ___mulxc3
00007fff2a645120 (__TEXT,__text) external ___negdi2
00007fff2a645127 (__TEXT,__text) external ___negti2
00007fff2a645133 (__TEXT,__text) external ___negvdi2
00007fff2a645162 (__TEXT,__text) external ___negvsi2
00007fff2a645188 (__TEXT,__text) external ___negvti2
00007fff2a6451ba (__TEXT,__text) external ___paritydi2
00007fff2a6451ca (__TEXT,__text) external ___paritysi2
00007fff2a6451ed (__TEXT,__text) external ___parityti2
00007fff2a6451f5 (__TEXT,__text) external ___popcountdi2
00007fff2a645257 (__TEXT,__text) external ___popcountsi2
00007fff2a645290 (__TEXT,__text) external ___popcountti2
00007fff2a64531e (__TEXT,__text) external ___powidf2
00007fff2a645372 (__TEXT,__text) external ___powisf2
00007fff2a6453c3 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007fff2a645421 (__TEXT,__text) external ___subvdi3
00007fff2a645469 (__TEXT,__text) external ___subvsi3
00007fff2a6454ac (__TEXT,__text) external ___subvti3
00007fff2a645500 (__TEXT,__text) external ___truncdfhf2
00007fff2a64561f (__TEXT,__text) external ___truncsfhf2
00007fff2a64570b (__TEXT,__text) external ___ucmpdi2
00007fff2a64573a (__TEXT,__text) external ___ucmpti2
00007fff2a6411d6 (__TEXT,__text) external ___udivdi3
00007fff2a64575e (__TEXT,__text) external ___udivmoddi4
00007fff2a640f30 (__TEXT,__text) external ___udivmodti4
00007fff2a640f28 (__TEXT,__text) external ___udivti3
00007fff2a6411dd (__TEXT,__text) external ___umoddi3
00007fff2a645a08 (__TEXT,__text) external ___umodti3
00007fff81167170 (__DATA,__data) non-external __dyld_private
00007fff2a6425c0 (__TEXT,__text) external _atomic_flag_clear
00007fff2a6425c5 (__TEXT,__text) external _atomic_flag_clear_explicit
00007fff2a6425d8 (__TEXT,__text) external _atomic_flag_test_and_set
00007fff2a6425e0 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007fff2a642614 (__TEXT,__text) external _atomic_signal_fence
00007fff2a642640 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007fff81167180 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007fff2a6441ad (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbn (from libsystem_m)
                 (undefined) external _scalbnf (from libsystem_m)
                 (undefined) external _scalbnl (from libsystem_m)
                 (undefined) external dyld_stub_binder (from libdyld)
00007fff2a6467a0 (__TEXT,__const) non-external two
00007fff2a646770 (__TEXT,__const) non-external twop52
00007fff2a6467b0 (__TEXT,__const) non-external twop64
00007fff2a646790 (__TEXT,__const) non-external twop84
00007fff2a646780 (__TEXT,__const) non-external twop84_plus_twop52
