00000001e53c2ad4 (__TEXT,__text) external _CGLGetCurrentContext
00000001e53be1b4 (__TEXT,__text) external _glClearBufferfv
00000001e53be174 (__TEXT,__text) external _glClearBufferiv
00000001e53be194 (__TEXT,__text) external _glClearBufferuiv
00000001e53b9568 (__TEXT,__text) external _glClearColor
00000001e53c2244 (__TEXT,__text) external _glClearColorIiEXT
00000001e53c2268 (__TEXT,__text) external _glClearColorIuiEXT
00000001e53b957c (__TEXT,__text) external _glClearDepth
00000001e53befe4 (__TEXT,__text) external _glClearDepthf
00000001e53b9590 (__TEXT,__text) external _glClearIndex
00000001e53b95a4 (__TEXT,__text) external _glClearStencil
00000001e53bbe74 (__TEXT,__text) external _glClientActiveTexture
00000001e53c0360 (__TEXT,__text) external _glClientActiveTextureARB
00000001e53be4cc (__TEXT,__text) external _glClientWaitSync
00000001e53b95bc (__TEXT,__text) external _glClipPlane
00000001e53b95d8 (__TEXT,__text) external _glColor3b
00000001e53b95f8 (__TEXT,__text) external _glColor3bv
00000001e53b9610 (__TEXT,__text) external _glColor3d
00000001e53b9624 (__TEXT,__text) external _glColor3dv
00000001e53b963c (__TEXT,__text) external _glColor3f
00000001e53b9650 (__TEXT,__text) external _glColor3fv
00000001e53b9668 (__TEXT,__text) external _glColor3i
00000001e53b9688 (__TEXT,__text) external _glColor3iv
00000001e53b96a0 (__TEXT,__text) external _glColor3s
00000001e53b96c0 (__TEXT,__text) external _glColor3sv
00000001e53b96d8 (__TEXT,__text) external _glColor3ub
00000001e53b96f8 (__TEXT,__text) external _glColor3ubv
00000001e53b9710 (__TEXT,__text) external _glColor3ui
00000001e53b9730 (__TEXT,__text) external _glColor3uiv
00000001e53b9748 (__TEXT,__text) external _glColor3us
00000001e53b9768 (__TEXT,__text) external _glColor3usv
00000001e53b9780 (__TEXT,__text) external _glColor4b
00000001e53b97a4 (__TEXT,__text) external _glColor4bv
00000001e53b97bc (__TEXT,__text) external _glColor4d
00000001e53b97d0 (__TEXT,__text) external _glColor4dv
00000001e53b97e8 (__TEXT,__text) external _glColor4f
00000001e53b97fc (__TEXT,__text) external _glColor4fv
00000001e53b9814 (__TEXT,__text) external _glColor4i
00000001e53b9838 (__TEXT,__text) external _glColor4iv
00000001e53b9850 (__TEXT,__text) external _glColor4s
00000001e53b9874 (__TEXT,__text) external _glColor4sv
00000001e53b988c (__TEXT,__text) external _glColor4ub
00000001e53b98b0 (__TEXT,__text) external _glColor4ubv
00000001e53b98c8 (__TEXT,__text) external _glColor4ui
00000001e53b98ec (__TEXT,__text) external _glColor4uiv
00000001e53b9904 (__TEXT,__text) external _glColor4us
00000001e53b9928 (__TEXT,__text) external _glColor4usv
00000001e53b9940 (__TEXT,__text) external _glColorMask
00000001e53c230c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001e53bdaf8 (__TEXT,__text) external _glColorMaski
00000001e53b9964 (__TEXT,__text) external _glColorMaterial
00000001e53b9980 (__TEXT,__text) external _glColorPointer
00000001e53bbacc (__TEXT,__text) external _glColorSubTable
00000001e53c15b4 (__TEXT,__text) external _glColorSubTableEXT
00000001e53bb9d4 (__TEXT,__text) external _glColorTable
00000001e53c1588 (__TEXT,__text) external _glColorTableEXT
00000001e53bba00 (__TEXT,__text) external _glColorTableParameterfv
00000001e53bba20 (__TEXT,__text) external _glColorTableParameteriv
00000001e53c2a80 (__TEXT,__text) external _glCombinerInputNV
00000001e53c2a84 (__TEXT,__text) external _glCombinerOutputNV
00000001e53c2a74 (__TEXT,__text) external _glCombinerParameterfNV
00000001e53c2a70 (__TEXT,__text) external _glCombinerParameterfvNV
00000001e53c2a7c (__TEXT,__text) external _glCombinerParameteriNV
00000001e53c2a78 (__TEXT,__text) external _glCombinerParameterivNV
00000001e53c2aa4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001e53bd0f4 (__TEXT,__text) external _glCompileShader
00000001e53c0dfc (__TEXT,__text) external _glCompileShaderARB
00000001e53c1400 (__TEXT,__text) external _glCompileShaderIncludeARB
00000001e53bc344 (__TEXT,__text) external _glCompressedTexImage1D
00000001e53c0830 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001e53bc2f0 (__TEXT,__text) external _glCompressedTexImage2D
00000001e53c07dc (__TEXT,__text) external _glCompressedTexImage2DARB
00000001e53bc294 (__TEXT,__text) external _glCompressedTexImage3D
00000001e53c0780 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001e53bc434 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001e53c0920 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001e53bc3d8 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001e53c08c4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001e53bc374 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001e53c0860 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001e53bbb20 (__TEXT,__text) external _glConvolutionFilter1D
00000001e53bbb4c (__TEXT,__text) external _glConvolutionFilter2D
00000001e53bbb7c (__TEXT,__text) external _glConvolutionParameterf
00000001e53bbb98 (__TEXT,__text) external _glConvolutionParameterfv
00000001e53bbbb8 (__TEXT,__text) external _glConvolutionParameteri
00000001e53bbbd8 (__TEXT,__text) external _glConvolutionParameteriv
00000001e53be210 (__TEXT,__text) external _glCopyBufferSubData
00000001e53bbaf8 (__TEXT,__text) external _glCopyColorSubTable
00000001e53bba40 (__TEXT,__text) external _glCopyColorTable
00000001e53bbbf8 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001e53bbc20 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001e53b99a4 (__TEXT,__text) external _glCopyPixels
00000001e53b99cc (__TEXT,__text) external _glCopyTexImage1D
00000001e53b99fc (__TEXT,__text) external _glCopyTexImage2D
00000001e53b9a50 (__TEXT,__text) external _glCopyTexSubImage1D
00000001e53b9a7c (__TEXT,__text) external _glCopyTexSubImage2D
00000001e53bb97c (__TEXT,__text) external _glCopyTexSubImage3D
00000001e53bd110 (__TEXT,__text) external _glCreateProgram
00000001e53c0e14 (__TEXT,__text) external _glCreateProgramObjectARB
00000001e53bd0a0 (__TEXT,__text) external _glCreateShader
00000001e53c0dc0 (__TEXT,__text) external _glCreateShaderObjectARB
00000001e53bf0a0 (__TEXT,__text) external _glCreateShaderProgramv
00000001e53b9ad0 (__TEXT,__text) external _glCullFace
00000001e53bca44 (__TEXT,__text) external _glDeleteBuffers
00000001e53c0c44 (__TEXT,__text) external _glDeleteBuffersARB
00000001e53c25d8 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001e53bd874 (__TEXT,__text) external _glDeleteFramebuffers
00000001e53c1a50 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001e53b9ae8 (__TEXT,__text) external _glDeleteLists
00000001e53c13e4 (__TEXT,__text) external _glDeleteNamedStringARB
00000001e53c0d74 (__TEXT,__text) external _glDeleteObjectARB
00000001e53bd194 (__TEXT,__text) external _glDeleteProgram
00000001e53bf0d8 (__TEXT,__text) external _glDeleteProgramPipelines
00000001e53bfb08 (__TEXT,__text) external _glDeleteProgramsARB
00000001e53bc960 (__TEXT,__text) external _glDeleteQueries
00000001e53c0b60 (__TEXT,__text) external _glDeleteQueriesARB
00000001e53bd7c4 (__TEXT,__text) external _glDeleteRenderbuffers
00000001e53c19a0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001e53be6a8 (__TEXT,__text) external _glDeleteSamplers
00000001e53bd060 (__TEXT,__text) external _glDeleteShader
00000001e53be4b4 (__TEXT,__text) external _glDeleteSync
00000001e53b9b04 (__TEXT,__text) external _glDeleteTextures
00000001e53bedc4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001e53bdaa8 (__TEXT,__text) external _glDeleteVertexArrays
00000001e53c26f8 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001e53c1574 (__TEXT,__text) external _glDepthBoundsEXT
00000001e53b9b20 (__TEXT,__text) external _glDepthFunc
00000001e53b9b38 (__TEXT,__text) external _glDepthMask
00000001e53b9b50 (__TEXT,__text) external _glDepthRange
00000001e53bfa74 (__TEXT,__text) external _glDepthRangeArrayv
00000001e53bfa94 (__TEXT,__text) external _glDepthRangeIndexed
00000001e53befd0 (__TEXT,__text) external _glDepthRangef
00000001e53c0da4 (__TEXT,__text) external _glDetachObjectARB
00000001e53bd07c (__TEXT,__text) external _glDetachShader
00000001e53b9b64 (__TEXT,__text) external _glDisable
00000001e53b9b7c (__TEXT,__text) external _glDisableClientState
00000001e53c2350 (__TEXT,__text) external _glDisableIndexedEXT
00000001e53c2494 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001e53bcfc8 (__TEXT,__text) external _glDisableVertexAttribArray
00000001e53bff90 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001e53bdb7c (__TEXT,__text) external _glDisablei
00000001e53b9b94 (__TEXT,__text) external _glDrawArrays
00000001e53be9cc (__TEXT,__text) external _glDrawArraysIndirect
00000001e53be334 (__TEXT,__text) external _glDrawArraysInstanced
00000001e53c12d8 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001e53b9bb4 (__TEXT,__text) external _glDrawBuffer
00000001e53bcb74 (__TEXT,__text) external _glDrawBuffers
00000001e53c1284 (__TEXT,__text) external _glDrawBuffersARB
00000001e53c2764 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001e53b9bcc (__TEXT,__text) external _glDrawElements
00000001e53be3b8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001e53be9e8 (__TEXT,__text) external _glDrawElementsIndirect
00000001e53be358 (__TEXT,__text) external _glDrawElementsInstanced
00000001e53c12fc (__TEXT,__text) external _glDrawElementsInstancedARB
00000001e53be410 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001e53b9bf0 (__TEXT,__text) external _glDrawPixels
00000001e53c2784 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001e53bb8a8 (__TEXT,__text) external _glDrawRangeElements
00000001e53be3e0 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001e53c1888 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001e53bee3c (__TEXT,__text) external _glDrawTransformFeedback
00000001e53bee58 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001e53b9c18 (__TEXT,__text) external _glEdgeFlag
00000001e53b9c30 (__TEXT,__text) external _glEdgeFlagPointer
00000001e53b9c4c (__TEXT,__text) external _glEdgeFlagv
00000001e53c2748 (__TEXT,__text) external _glElementPointerAPPLE
00000001e53b9c64 (__TEXT,__text) external _glEnable
00000001e53b9c7c (__TEXT,__text) external _glEnableClientState
00000001e53c2334 (__TEXT,__text) external _glEnableIndexedEXT
00000001e53c2478 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001e53bcfb0 (__TEXT,__text) external _glEnableVertexAttribArray
00000001e53bff78 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001e53bdb60 (__TEXT,__text) external _glEnablei
00000001e53b9c94 (__TEXT,__text) external _glEnd
00000001e53bdcb4 (__TEXT,__text) external _glEndConditionalRender
00000001e53c2a10 (__TEXT,__text) external _glEndConditionalRenderNV
00000001e53b9ca8 (__TEXT,__text) external _glEndList
00000001e53bc9b0 (__TEXT,__text) external _glEndQuery
00000001e53c0bb0 (__TEXT,__text) external _glEndQueryARB
00000001e53bee98 (__TEXT,__text) external _glEndQueryIndexed
00000001e53bdbcc (__TEXT,__text) external _glEndTransformFeedback
00000001e53c1d18 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001e53b9cbc (__TEXT,__text) external _glEvalCoord1d
00000001e53b9cd0 (__TEXT,__text) external _glEvalCoord1dv
00000001e53b9ce8 (__TEXT,__text) external _glEvalCoord1f
00000001e53b9cfc (__TEXT,__text) external _glEvalCoord1fv
00000001e53b9d14 (__TEXT,__text) external _glEvalCoord2d
00000001e53b9d28 (__TEXT,__text) external _glEvalCoord2dv
00000001e53b9d40 (__TEXT,__text) external _glEvalCoord2f
00000001e53b9d54 (__TEXT,__text) external _glEvalCoord2fv
00000001e53b9d6c (__TEXT,__text) external _glEvalMesh1
00000001e53b9d8c (__TEXT,__text) external _glEvalMesh2
00000001e53b9db4 (__TEXT,__text) external _glEvalPoint1
00000001e53b9dcc (__TEXT,__text) external _glEvalPoint2
00000001e53b9de8 (__TEXT,__text) external _glFeedbackBuffer
00000001e53be480 (__TEXT,__text) external _glFenceSync
00000001e53c2a88 (__TEXT,__text) external _glFinalCombinerInputNV
00000001e53b9e08 (__TEXT,__text) external _glFinish
00000001e53c263c (__TEXT,__text) external _glFinishFenceAPPLE
00000001e53c2670 (__TEXT,__text) external _glFinishObjectAPPLE
00000001e53c2810 (__TEXT,__text) external _glFinishRenderAPPLE
00000001e53b9e1c (__TEXT,__text) external _glFlush
00000001e53bda70 (__TEXT,__text) external _glFlushMappedBufferRange
00000001e53c2858 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001e53c27fc (__TEXT,__text) external _glFlushRenderAPPLE
00000001e53c26a8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001e53bc4f4 (__TEXT,__text) external _glFogCoordPointer
00000001e53c1868 (__TEXT,__text) external _glFogCoordPointerEXT
00000001e53bc4c8 (__TEXT,__text) external _glFogCoordd
00000001e53c183c (__TEXT,__text) external _glFogCoorddEXT
00000001e53bc4dc (__TEXT,__text) external _glFogCoorddv
00000001e53c1850 (__TEXT,__text) external _glFogCoorddvEXT
00000001e53bc49c (__TEXT,__text) external _glFogCoordf
00000001e53c1810 (__TEXT,__text) external _glFogCoordfEXT
00000001e53bc4b0 (__TEXT,__text) external _glFogCoordfv
00000001e53c1824 (__TEXT,__text) external _glFogCoordfvEXT
00000001e53b9e30 (__TEXT,__text) external _glFogf
00000001e53b9e48 (__TEXT,__text) external _glFogfv
00000001e53b9e64 (__TEXT,__text) external _glFogi
00000001e53b9e80 (__TEXT,__text) external _glFogiv
00000001e53bd940 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001e53c1b1c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001e53be628 (__TEXT,__text) external _glFramebufferTexture
00000001e53bd8c4 (__TEXT,__text) external _glFramebufferTexture1D
00000001e53c1aa0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001e53bd8ec (__TEXT,__text) external _glFramebufferTexture2D
00000001e53c1ac8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001e53bd914 (__TEXT,__text) external _glFramebufferTexture3D
00000001e53c1af0 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001e53c1c20 (__TEXT,__text) external _glFramebufferTextureEXT
00000001e53c1c6c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001e53bda24 (__TEXT,__text) external _glFramebufferTextureLayer
00000001e53c1c44 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001e53b9e9c (__TEXT,__text) external _glFrontFace
00000001e53b9eb4 (__TEXT,__text) external _glFrustum
00000001e53bca60 (__TEXT,__text) external _glGenBuffers
00000001e53c0c60 (__TEXT,__text) external _glGenBuffersARB
00000001e53c25bc (__TEXT,__text) external _glGenFencesAPPLE
00000001e53bd890 (__TEXT,__text) external _glGenFramebuffers
00000001e53c1a6c (__TEXT,__text) external _glGenFramebuffersEXT
00000001e53b9ec8 (__TEXT,__text) external _glGenLists
00000001e53bf0f4 (__TEXT,__text) external _glGenProgramPipelines
00000001e53bfb24 (__TEXT,__text) external _glGenProgramsARB
00000001e53bc944 (__TEXT,__text) external _glGenQueries
00000001e53c0b44 (__TEXT,__text) external _glGenQueriesARB
00000001e53bd7e0 (__TEXT,__text) external _glGenRenderbuffers
00000001e53c19bc (__TEXT,__text) external _glGenRenderbuffersEXT
00000001e53be68c (__TEXT,__text) external _glGenSamplers
00000001e53b9ee0 (__TEXT,__text) external _glGenTextures
00000001e53bede0 (__TEXT,__text) external _glGenTransformFeedbacks
00000001e53bdac4 (__TEXT,__text) external _glGenVertexArrays
00000001e53c2714 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001e53bd988 (__TEXT,__text) external _glGenerateMipmap
00000001e53c1b64 (__TEXT,__text) external _glGenerateMipmapEXT
00000001e53bd5e4 (__TEXT,__text) external _glGetActiveAttrib
00000001e53c1238 (__TEXT,__text) external _glGetActiveAttribARB
00000001e53bece0 (__TEXT,__text) external _glGetActiveSubroutineName
00000001e53becb4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001e53bec8c (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001e53bd51c (__TEXT,__text) external _glGetActiveUniform
00000001e53c1184 (__TEXT,__text) external _glGetActiveUniformARB
00000001e53be2ec (__TEXT,__text) external _glGetActiveUniformBlockName
00000001e53be2c8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001e53be284 (__TEXT,__text) external _glGetActiveUniformName
00000001e53be25c (__TEXT,__text) external _glGetActiveUniformsiv
00000001e53c1144 (__TEXT,__text) external _glGetAttachedObjectsARB
00000001e53bd490 (__TEXT,__text) external _glGetAttachedShaders
00000001e53bd618 (__TEXT,__text) external _glGetAttribLocation
00000001e53c1268 (__TEXT,__text) external _glGetAttribLocationARB
00000001e53c1da0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001e53bdb20 (__TEXT,__text) external _glGetBooleani_v
00000001e53b9efc (__TEXT,__text) external _glGetBooleanv
00000001e53be608 (__TEXT,__text) external _glGetBufferParameteri64v
00000001e53bcb34 (__TEXT,__text) external _glGetBufferParameteriv
00000001e53c0d34 (__TEXT,__text) external _glGetBufferParameterivARB
00000001e53bcb54 (__TEXT,__text) external _glGetBufferPointerv
00000001e53c0d54 (__TEXT,__text) external _glGetBufferPointervARB
00000001e53bcadc (__TEXT,__text) external _glGetBufferSubData
00000001e53c0cdc (__TEXT,__text) external _glGetBufferSubDataARB
00000001e53b9f18 (__TEXT,__text) external _glGetClipPlane
00000001e53bba68 (__TEXT,__text) external _glGetColorTable
00000001e53c15e0 (__TEXT,__text) external _glGetColorTableEXT
00000001e53bba8c (__TEXT,__text) external _glGetColorTableParameterfv
00000001e53c1604 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001e53bbaac (__TEXT,__text) external _glGetColorTableParameteriv
00000001e53c1624 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001e53c2a8c (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001e53c2a90 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001e53c2a94 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001e53c2a98 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001e53c2aa8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001e53bc464 (__TEXT,__text) external _glGetCompressedTexImage
00000001e53c0950 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001e53bbc4c (__TEXT,__text) external _glGetConvolutionFilter
00000001e53bbc70 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001e53bbc90 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001e53bfacc (__TEXT,__text) external _glGetDoublei_v
00000001e53b9f34 (__TEXT,__text) external _glGetDoublev
00000001e53b9f50 (__TEXT,__text) external _glGetError
00000001e53c2a9c (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001e53c2aa0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001e53bfaac (__TEXT,__text) external _glGetFloati_v
00000001e53b9f64 (__TEXT,__text) external _glGetFloatv
00000001e53be670 (__TEXT,__text) external _glGetFragDataIndex
00000001e53bdfd0 (__TEXT,__text) external _glGetFragDataLocation
00000001e53c2228 (__TEXT,__text) external _glGetFragDataLocationEXT
00000001e53bd964 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001e53c1b40 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001e53c0d8c (__TEXT,__text) external _glGetHandleARB
00000001e53bbd30 (__TEXT,__text) external _glGetHistogram
00000001e53bbd58 (__TEXT,__text) external _glGetHistogramParameterfv
00000001e53bbd78 (__TEXT,__text) external _glGetHistogramParameteriv
00000001e53c1120 (__TEXT,__text) external _glGetInfoLogARB
00000001e53be5e8 (__TEXT,__text) external _glGetInteger64i_v
00000001e53be50c (__TEXT,__text) external _glGetInteger64v
00000001e53c1d80 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001e53bdb40 (__TEXT,__text) external _glGetIntegeri_v
00000001e53b9f80 (__TEXT,__text) external _glGetIntegerv
00000001e53c148c (__TEXT,__text) external _glGetInternalformativ
00000001e53b9f9c (__TEXT,__text) external _glGetLightfv
00000001e53b9fbc (__TEXT,__text) external _glGetLightiv
00000001e53b9fdc (__TEXT,__text) external _glGetMapdv
00000001e53b9ffc (__TEXT,__text) external _glGetMapfv
00000001e53ba01c (__TEXT,__text) external _glGetMapiv
00000001e53ba03c (__TEXT,__text) external _glGetMaterialfv
00000001e53ba05c (__TEXT,__text) external _glGetMaterialiv
00000001e53bbd98 (__TEXT,__text) external _glGetMinmax
00000001e53bbdc0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001e53bbde0 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001e53be5ac (__TEXT,__text) external _glGetMultisamplefv
00000001e53c1440 (__TEXT,__text) external _glGetNamedStringARB
00000001e53c1468 (__TEXT,__text) external _glGetNamedStringivARB
00000001e53c2404 (__TEXT,__text) external _glGetObjectLabelEXT
00000001e53c10e0 (__TEXT,__text) external _glGetObjectParameterfvARB
00000001e53c28b8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001e53c1100 (__TEXT,__text) external _glGetObjectParameterivARB
00000001e53ba07c (__TEXT,__text) external _glGetPixelMapfv
00000001e53ba098 (__TEXT,__text) external _glGetPixelMapuiv
00000001e53ba0b4 (__TEXT,__text) external _glGetPixelMapusv
00000001e53ba0d0 (__TEXT,__text) external _glGetPointerv
00000001e53ba0ec (__TEXT,__text) external _glGetPolygonStipple
00000001e53beff8 (__TEXT,__text) external _glGetProgramBinary
00000001e53c0160 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000001e53c0180 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000001e53bd4d8 (__TEXT,__text) external _glGetProgramInfoLog
00000001e53c01a0 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000001e53c01c0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00000001e53bf160 (__TEXT,__text) external _glGetProgramPipelineInfoLog
00000001e53bf128 (__TEXT,__text) external _glGetProgramPipelineiv
00000001e53bed4c (__TEXT,__text) external _glGetProgramStageiv
00000001e53c0204 (__TEXT,__text) external _glGetProgramStringARB
00000001e53bd470 (__TEXT,__text) external _glGetProgramiv
00000001e53c0224 (__TEXT,__text) external _glGetProgramivARB
