                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c558e40 (__TEXT,__text) non-external _au_assemble
000000018c562c64 (__TEXT,__text) external _au_to_groups
000000018c5650cc (__TEXT,__text) external _au_to_header
000000018c564fbc (__TEXT,__text) external _au_to_header32
000000018c564f08 (__TEXT,__text) external _au_to_header32_ex
000000018c564c4c (__TEXT,__text) external _au_to_header32_ex_tm
000000018c564b3c (__TEXT,__text) external _au_to_header32_tm
000000018c565044 (__TEXT,__text) external _au_to_header64
000000018c564dd4 (__TEXT,__text) external _au_to_header64_tm
000000018c5650d0 (__TEXT,__text) external _au_to_header_ex
000000018c5649cc (__TEXT,__text) external _au_to_identity
000000018c562d24 (__TEXT,__text) external _au_to_in_addr
000000018c562d90 (__TEXT,__text) external _au_to_in_addr_ex
000000018c562e04 (__TEXT,__text) external _au_to_ip
000000018c562e78 (__TEXT,__text) external _au_to_ipc
000000018c562f08 (__TEXT,__text) external _au_to_ipc_perm
000000018c562fdc (__TEXT,__text) external _au_to_iport
000000018c56515c (__TEXT,__text) external _au_to_kevent
000000018c564918 (__TEXT,__text) external _au_to_krb5_principal
000000018c564740 (__TEXT,__text) external _au_to_me
000000018c562c70 (__TEXT,__text) external _au_to_newgroups
000000018c56304c (__TEXT,__text) external _au_to_opaque
000000018c5632a8 (__TEXT,__text) external _au_to_path
000000018c56367c (__TEXT,__text) external _au_to_process
000000018c563354 (__TEXT,__text) external _au_to_process32
000000018c563680 (__TEXT,__text) external _au_to_process32_ex
000000018c5634c8 (__TEXT,__text) external _au_to_process64
000000018c563884 (__TEXT,__text) external _au_to_process64_ex
000000018c563ac8 (__TEXT,__text) external _au_to_process_ex
000000018c563c0c (__TEXT,__text) external _au_to_return
000000018c563acc (__TEXT,__text) external _au_to_return32
000000018c563b5c (__TEXT,__text) external _au_to_return64
000000018c563c10 (__TEXT,__text) external _au_to_seq
000000018c563fbc (__TEXT,__text) external _au_to_sock_inet
000000018c563f38 (__TEXT,__text) external _au_to_sock_inet128
000000018c563ebc (__TEXT,__text) external _au_to_sock_inet32
000000018c563e0c (__TEXT,__text) external _au_to_sock_unix
000000018c563c90 (__TEXT,__text) external _au_to_socket_ex
000000018c5647f0 (__TEXT,__text) non-external _au_to_strings
000000018c5642e8 (__TEXT,__text) external _au_to_subject
000000018c563fc0 (__TEXT,__text) external _au_to_subject32
000000018c5642ec (__TEXT,__text) external _au_to_subject32_ex
000000018c564134 (__TEXT,__text) external _au_to_subject64
000000018c5644f4 (__TEXT,__text) external _au_to_subject64_ex
000000018c56473c (__TEXT,__text) external _au_to_subject_ex
000000018c5631fc (__TEXT,__text) external _au_to_text
000000018c5650d4 (__TEXT,__text) external _au_to_trailer
000000018c564920 (__TEXT,__text) external _au_to_zonename
000000018c5654c4 (__TEXT,__text) external _au_user_mask
000000018c558cb8 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001e7139250 (__DATA,__bss) non-external _audit_free_q
000000018c566afc (__TEXT,__text) external _audit_get_car
000000018c5667a8 (__TEXT,__text) external _audit_get_class
000000018c565990 (__TEXT,__text) external _audit_get_cond
000000018c566b0c (__TEXT,__text) external _audit_get_ctlmode
000000018c566aec (__TEXT,__text) external _audit_get_cwd
000000018c566b58 (__TEXT,__text) external _audit_get_expire_after
000000018c5668d8 (__TEXT,__text) external _audit_get_fsize
000000018c566710 (__TEXT,__text) external _audit_get_kaudit
000000018c566840 (__TEXT,__text) external _audit_get_kmask
000000018c5669bc (__TEXT,__text) external _audit_get_pinfo
000000018c566a08 (__TEXT,__text) external _audit_get_pinfo_addr
000000018c566420 (__TEXT,__text) external _audit_get_policy
000000018c566598 (__TEXT,__text) external _audit_get_qctrl
000000018c566510 (__TEXT,__text) external _audit_get_sflags
000000018c566550 (__TEXT,__text) external _audit_get_sflags_mask
000000018c558ae4 (__TEXT,__text) external _audit_get_sinfo_addr
000000018c566a54 (__TEXT,__text) external _audit_get_stat
00000001e7139248 (__DATA,__bss) non-external _audit_rec_count
000000018c566700 (__TEXT,__text) external _audit_send_trigger
000000018c5667f4 (__TEXT,__text) external _audit_set_class
000000018c5663a8 (__TEXT,__text) external _audit_set_cond
000000018c566924 (__TEXT,__text) external _audit_set_fsize
000000018c56675c (__TEXT,__text) external _audit_set_kaudit
000000018c56688c (__TEXT,__text) external _audit_set_kmask
000000018c566970 (__TEXT,__text) external _audit_set_pmask
000000018c566498 (__TEXT,__text) external _audit_set_policy
000000018c56664c (__TEXT,__text) external _audit_set_qctrl
000000018c566520 (__TEXT,__text) external _audit_set_sflags
000000018c566574 (__TEXT,__text) external _audit_set_sflags_mask
000000018c566aa0 (__TEXT,__text) external _audit_set_stat
000000018c565b38 (__TEXT,__text) non-external _audit_set_terminal_host
000000018c565a08 (__TEXT,__text) external _audit_set_terminal_id
000000018c565bfc (__TEXT,__text) external _audit_set_terminal_id_ex
000000018c565a5c (__TEXT,__text) non-external _audit_set_terminal_port
000000018c565660 (__TEXT,__text) external _audit_submit
000000018c5583cc (__TEXT,__text) external _audit_token_to_asid
000000018c55840c (__TEXT,__text) external _audit_token_to_au32
000000018c5583ec (__TEXT,__text) external _audit_token_to_auid
000000018c5583f4 (__TEXT,__text) external _audit_token_to_egid
000000018c5583dc (__TEXT,__text) external _audit_token_to_euid
000000018c5583d4 (__TEXT,__text) external _audit_token_to_pid
000000018c558404 (__TEXT,__text) external _audit_token_to_pidversion
000000018c5583fc (__TEXT,__text) external _audit_token_to_rgid
000000018c5583e4 (__TEXT,__text) external _audit_token_to_ruid
000000018c565c50 (__TEXT,__text) external _audit_write
000000018c566024 (__TEXT,__text) external _audit_write_failure
000000018c566130 (__TEXT,__text) external _audit_write_failure_ex
000000018c566320 (__TEXT,__text) external _audit_write_failure_na
000000018c566364 (__TEXT,__text) external _audit_write_failure_na_ex
000000018c56623c (__TEXT,__text) external _audit_write_failure_self
000000018c565e30 (__TEXT,__text) external _audit_write_success
000000018c565ee4 (__TEXT,__text) external _audit_write_success_ex
000000018c565f98 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018c56175c (__TEXT,__text) non-external _be64dec
000000018c567108 (__TEXT,__const) non-external _bsm_domains
00000001e4dc4cc0 (__DATA_CONST,__const) non-external _bsm_errnos
000000018c567390 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018c567330 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018c562898 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018c561ca0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018c559b94 (__TEXT,__text) external _endac
000000018c5596ec (__TEXT,__text) external _endauclass
000000018c55a6cc (__TEXT,__text) external _endauevent
000000018c5651b4 (__TEXT,__text) external _endauuser
00000001e7139930 (__DATA,__bss) non-external _ev_cache
000000018c55ab18 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018c55cbf0 (__TEXT,__text) non-external _fetch_arb_tok
000000018c55b5c4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018c55b648 (__TEXT,__text) non-external _fetch_arg64_tok
000000018c55b6cc (__TEXT,__text) non-external _fetch_attr32_tok
000000018c55b790 (__TEXT,__text) non-external _fetch_attr64_tok
000000018c55cc80 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018c55b8cc (__TEXT,__text) non-external _fetch_execarg_tok
000000018c55b964 (__TEXT,__text) non-external _fetch_execenv_tok
000000018c55b878 (__TEXT,__text) non-external _fetch_exit_tok
000000018c55b9fc (__TEXT,__text) non-external _fetch_file_tok
000000018c55b190 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018c55b0c8 (__TEXT,__text) non-external _fetch_header32_tok
000000018c55b3f0 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018c55b304 (__TEXT,__text) non-external _fetch_header64_tok
000000018c55cdb0 (__TEXT,__text) non-external _fetch_identity_tok
000000018c55baf4 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018c55bb6c (__TEXT,__text) non-external _fetch_ip_tok
000000018c55bc78 (__TEXT,__text) non-external _fetch_ipc_tok
000000018c55bcc8 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018c55cd18 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018c55ba84 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018c55bda8 (__TEXT,__text) non-external _fetch_process32_tok
000000018c55bebc (__TEXT,__text) non-external _fetch_process32ex_tok
000000018c55c014 (__TEXT,__text) non-external _fetch_process64_tok
000000018c55c158 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018c55c2dc (__TEXT,__text) non-external _fetch_return32_tok
000000018c55c32c (__TEXT,__text) non-external _fetch_return64_tok
000000018c55c52c (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018c55c418 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018c55c484 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018c55c37c (__TEXT,__text) non-external _fetch_socket_tok
000000018c55cacc (__TEXT,__text) non-external _fetch_socketex32_tok
000000018c55c598 (__TEXT,__text) non-external _fetch_subject32_tok
000000018c55c6ac (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018c55c804 (__TEXT,__text) non-external _fetch_subject64_tok
000000018c55c948 (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018c55b56c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001e7139928 (__DATA,__bss) non-external _firsttime
000000018c562678 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001e7139438 (__DATA,__bss) non-external _fp
00000001e7139540 (__DATA,__bss) non-external _fp
00000001e7139650 (__DATA,__bss) non-external _fp
00000001e7139940 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018c559be8 (__TEXT,__text) external _getacdir
000000018c55a314 (__TEXT,__text) external _getacexpire
000000018c559e84 (__TEXT,__text) external _getacfilesz
000000018c55a030 (__TEXT,__text) external _getacflg
000000018c55a264 (__TEXT,__text) external _getachost
000000018c559e00 (__TEXT,__text) external _getacmin
000000018c55a0e0 (__TEXT,__text) external _getacna
000000018c55a190 (__TEXT,__text) external _getacpol
000000018c55a240 (__TEXT,__text) external _getacsflagsmask
000000018c55949c (__TEXT,__text) external _getauclassent
00000001e7139348 (__DATA,__bss) non-external _getauclassent.c
00000001e7139300 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001e71392f8 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001e7139360 (__DATA,__bss) non-external _getauclassent.cp
000000018c5592fc (__TEXT,__text) external _getauclassent_r
000000018c559344 (__TEXT,__text) non-external _getauclassent_r_locked
000000018c5595f4 (__TEXT,__text) external _getauclassnam
00000001e71393b8 (__DATA,__bss) non-external _getauclassnam.c
00000001e7139370 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001e7139368 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018c559568 (__TEXT,__text) external _getauclassnam_r
000000018c5596b0 (__TEXT,__text) external _getauclassnum
00000001e7139420 (__DATA,__bss) non-external _getauclassnum.c
00000001e71393d8 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001e71393d0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018c559630 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018c55ac4c (__TEXT,__text) external _getauditflagsbin
000000018c55adb8 (__TEXT,__text) external _getauditflagschar
000000018c55a7e4 (__TEXT,__text) external _getauevent
00000001e71396a8 (__DATA,__bss) non-external _getauevent.e
00000001e7139676 (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001e7139658 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018c55a720 (__TEXT,__text) external _getauevent_r
000000018c55a914 (__TEXT,__text) external _getauevnam
00000001e7139718 (__DATA,__bss) non-external _getauevnam.e
00000001e71396e6 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001e71396c8 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018c55a824 (__TEXT,__text) external _getauevnam_r
000000018c55ab08 (__TEXT,__text) external _getauevnonam
00000001e7139820 (__DATA,__bss) non-external _getauevnonam.event
000000018c55aa84 (__TEXT,__text) external _getauevnonam_r
00000001e71397f8 (__DATA,__bss) non-external _getauevnonam_r.e
00000001e7139818 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001e71397c6 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001e71397a8 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018c55aa40 (__TEXT,__text) external _getauevnum
00000001e7139788 (__DATA,__bss) non-external _getauevnum.e
00000001e7139756 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001e7139738 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018c55a958 (__TEXT,__text) external _getauevnum_r
000000018c5653a0 (__TEXT,__text) external _getauuserent
00000001e7139980 (__DATA,__bss) non-external _getauuserent.u
00000001e7139948 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018c565208 (__TEXT,__text) external _getauuserent_r
000000018c565250 (__TEXT,__text) non-external _getauuserent_r_locked
000000018c565494 (__TEXT,__text) external _getauusernam
00000001e71399d0 (__DATA,__bss) non-external _getauusernam.u
00000001e7139998 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018c56540c (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018c565588 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018c559c94 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001e7139440 (__DATA,__bss) non-external _linestr
00000001e7139550 (__DATA,__bss) non-external _linestr
00000001e7139822 (__DATA,__bss) non-external _linestr
00000001e71399e8 (__DATA,__bss) non-external _linestr
000000018c5625c0 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001e71390c8 (__DATA,__data) non-external _mutex
00000001e7139108 (__DATA,__data) non-external _mutex
00000001e7139148 (__DATA,__data) non-external _mutex
00000001e7139188 (__DATA,__data) non-external _mutex
00000001e71391c8 (__DATA,__data) non-external _mutex
00000001e7139208 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001e7139258 (__DATA,__bss) non-external _open_desc_table
000000018c561b38 (__TEXT,__text) non-external _print_event
000000018c562250 (__TEXT,__text) non-external _print_group
000000018c561f44 (__TEXT,__text) non-external _print_ip_ex_address
000000018c56235c (__TEXT,__text) non-external _print_ipctype
000000018c5622d4 (__TEXT,__text) non-external _print_mem
000000018c5623fc (__TEXT,__text) non-external _print_retval
000000018c561c0c (__TEXT,__text) non-external _print_sec32
000000018c562030 (__TEXT,__text) non-external _print_sec64
000000018c5620c0 (__TEXT,__text) non-external _print_string
000000018c561768 (__TEXT,__text) non-external _print_tok_type
000000018c5621cc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018c559ac0 (__TEXT,__text) external _setac
000000018c559b04 (__TEXT,__text) non-external _setac_locked
00000001e7139548 (__DATA,__bss) non-external _setac_locked.lastctime
000000018c559518 (__TEXT,__text) external _setauclass
000000018c55a67c (__TEXT,__text) external _setauevent
000000018c565164 (__TEXT,__text) external _setauuser
000000018c55a4f8 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001e7139938 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
