                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff813465a70 (__TEXT,__text) external ___absvdi2
00007ff8134666b4 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff8134666e8 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff813466af8 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff813466b70 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff813466bf0 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff813466c60 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff813465c98 (__TEXT,__text) external ___atomic_is_lock_free
00007ff813465cec (__TEXT,__text) external ___atomic_load
00007ff8134662ec (__TEXT,__text) external ___atomic_load_1
00007ff8134662fd (__TEXT,__text) external ___atomic_load_2
00007ff81346630f (__TEXT,__text) external ___atomic_load_4
00007ff81346631d (__TEXT,__text) external ___atomic_load_8
00007ff813465de8 (__TEXT,__text) external ___atomic_store
00007ff81346632c (__TEXT,__text) external ___atomic_store_1
00007ff81346633e (__TEXT,__text) external ___atomic_store_2
00007ff813466350 (__TEXT,__text) external ___atomic_store_4
00007ff813466360 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff813466d98 (__TEXT,__text) external ___clear_cache
00007ff813466d99 (__TEXT,__text) external ___clzdi2
00007ff813466dc9 (__TEXT,__text) external ___clzsi2
00007ff813466e39 (__TEXT,__text) external ___clzti2
00007ff813466e57 (__TEXT,__text) external ___cmpdi2
00007ff813466e83 (__TEXT,__text) external ___cmpti2
00007ff813469048 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff813466ea4 (__TEXT,__text) external ___ctzdi2
00007ff813466ec2 (__TEXT,__text) external ___ctzsi2
00007ff813466f26 (__TEXT,__text) external ___ctzti2
00007ff813466f41 (__TEXT,__text) external ___divdc3
00007ff8134659e5 (__TEXT,__text) external ___divdi3
00007ff813467587 (__TEXT,__text) external ___divsc3
00007ff813465a20 (__TEXT,__text) external ___divti3
00007ff813467b5c (__TEXT,__text) external ___divxc3
00007ff813468026 (__TEXT,__text) external ___enable_execute_stack
00007ff813468047 (__TEXT,__text) external ___extendhfsf2
00007ff8134680b5 (__TEXT,__text) external ___ffsdi2
00007ff8134680cf (__TEXT,__text) external ___ffsti2
00007ff8134680eb (__TEXT,__text) external ___fixdfdi
00007ff81346810c (__TEXT,__text) external ___fixdfti
00007ff8134681c1 (__TEXT,__text) external ___fixsfdi
00007ff8134681df (__TEXT,__text) external ___fixsfti
00007ff8134658d2 (__TEXT,__text) external ___fixunsdfdi
00007ff813468281 (__TEXT,__text) external ___fixunsdfsi
00007ff8134682d6 (__TEXT,__text) external ___fixunsdfti
00007ff813468359 (__TEXT,__text) external ___fixunssfdi
00007ff81346839e (__TEXT,__text) external ___fixunssfsi
00007ff8134683f4 (__TEXT,__text) external ___fixunssfti
00007ff813465915 (__TEXT,__text) external ___fixunsxfdi
00007ff81346846d (__TEXT,__text) external ___fixunsxfsi
00007ff8134684e8 (__TEXT,__text) external ___fixunsxfti
00007ff8134685a0 (__TEXT,__text) external ___fixxfdi
00007ff81346863a (__TEXT,__text) external ___fixxfti
00007ff81346871d (__TEXT,__text) external ___floatdidf
00007ff813468723 (__TEXT,__text) external ___floatdisf
00007ff813468729 (__TEXT,__text) external ___floatdixf
00007ff813468733 (__TEXT,__text) external ___floattidf
00007ff81346884a (__TEXT,__text) external ___floattisf
00007ff813468935 (__TEXT,__text) external ___floattixf
00007ff813468a64 (__TEXT,__text) external ___floatundidf
00007ff813468a90 (__TEXT,__text) external ___floatundisf
00007ff813468abc (__TEXT,__text) external ___floatundixf
00007ff813468ad2 (__TEXT,__text) external ___floatuntidf
00007ff813468bda (__TEXT,__text) external ___floatuntisf
00007ff813468ca2 (__TEXT,__text) external ___floatuntixf
00007ff813468da8 (__TEXT,__text) external ___gcc_personality_v0
00007ff81346a4fa (__TEXT,__text) external ___gnu_f2h_ieee
00007ff8134680b0 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff813469060 (__TEXT,__text) external ___lshrdi3
00007ff81346908e (__TEXT,__text) external ___lshrti3
00007ff813465994 (__TEXT,__text) external ___moddi3
00007ff8134690b6 (__TEXT,__text) external ___modti3
00007ff81346911e (__TEXT,__text) external ___muldc3
00007ff8134692dd (__TEXT,__text) external ___muldi3
00007ff813469362 (__TEXT,__text) external ___mulodi4
00007ff8134693f9 (__TEXT,__text) external ___mulosi4
00007ff813469472 (__TEXT,__text) external ___muloti4
00007ff81346957e (__TEXT,__text) external ___mulsc3
00007ff8134696d7 (__TEXT,__text) external ___multi3
00007ff813469736 (__TEXT,__text) external ___mulvdi3
00007ff81346983e (__TEXT,__text) external ___mulvsi3
00007ff81346991c (__TEXT,__text) external ___mulvti3
00007ff813469aa3 (__TEXT,__text) external ___mulxc3
00007ff813469ec8 (__TEXT,__text) external ___negdi2
00007ff813469ecf (__TEXT,__text) external ___negti2
00007ff813469edb (__TEXT,__text) external ___negvdi2
00007ff813469efd (__TEXT,__text) external ___negvsi2
00007ff813469f1d (__TEXT,__text) external ___negvti2
00007ff813469f4f (__TEXT,__text) external ___paritydi2
00007ff813469f7e (__TEXT,__text) external ___paritysi2
00007ff813469fa4 (__TEXT,__text) external ___parityti2
00007ff813469fd6 (__TEXT,__text) external ___popcountdi2
00007ff81346a038 (__TEXT,__text) external ___popcountsi2
00007ff81346a071 (__TEXT,__text) external ___popcountti2
00007ff81346a0ff (__TEXT,__text) external ___powidf2
00007ff81346a153 (__TEXT,__text) external ___powisf2
00007ff81346a1a4 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff81346a202 (__TEXT,__text) external ___subvdi3
00007ff81346a24a (__TEXT,__text) external ___subvsi3
00007ff81346a28d (__TEXT,__text) external ___subvti3
00007ff81346a2e1 (__TEXT,__text) external ___truncdfhf2
00007ff81346a40e (__TEXT,__text) external ___truncsfhf2
00007ff81346a4ff (__TEXT,__text) external ___ucmpdi2
00007ff81346a52e (__TEXT,__text) external ___ucmpti2
00007ff8134657f8 (__TEXT,__text) external ___udivdi3
00007ff81346a54f (__TEXT,__text) external ___udivmoddi4
00007ff813465738 (__TEXT,__text) external ___udivmodti4
00007ff813465730 (__TEXT,__text) external ___udivti3
00007ff813465867 (__TEXT,__text) external ___umoddi3
00007ff81346a766 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff813466ce4 (__TEXT,__text) external _atomic_flag_clear
00007ff813466ce9 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff813466cfc (__TEXT,__text) external _atomic_flag_test_and_set
00007ff813466d04 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff813466d38 (__TEXT,__text) external _atomic_signal_fence
00007ff813466d64 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8437af8d0 (__DATA_DIRTY,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff813468f49 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff81346b4c0 (__TEXT,__const) non-external two
00007ff81346b490 (__TEXT,__const) non-external twop52
00007ff81346b4d0 (__TEXT,__const) non-external twop64
00007ff81346b4b0 (__TEXT,__const) non-external twop84
00007ff81346b4a0 (__TEXT,__const) non-external twop84_plus_twop52
